"transab_cat2","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","1984","Employed","in school","9","","","","0"
"Very low transfer dependency","1984","Employed","inadequately","588","0.89132407686076","0.867097728932299","0.915550424789222","0"
"Very low transfer dependency","1984","Employed","general elemantary","1608","0.956355293557283","0.946632062896785","0.966078524217781","0"
"Very low transfer dependency","1984","Employed","middle vocational","3666","0.965241112590375","0.959434848554723","0.971047376626027","0"
"Very low transfer dependency","1984","Employed","vocational + Abi","208","0.933059529304305","0.900690520027889","0.965428538580721","0"
"Very low transfer dependency","1984","Employed","higher vocational","461","0.972052861104529","0.95721495774007","0.986890764468987","0"
"Very low transfer dependency","1984","Employed","higher education","618","0.977644526082836","0.966127809933501","0.989161242232171","0"
"High transfer dependency","1985","Not Employed","higher education","3","","","","2"
"High transfer dependency","1985","Employed","in school","","","","","2"
"High transfer dependency","1985","Not Employed","higher vocational","4","","","","2"
"High transfer dependency","1985","Employed","inadequately","1","","","","2"
"High transfer dependency","1985","Not Employed","vocational + Abi","2","","","","2"
"High transfer dependency","1985","Not Employed","in school","2","","","","2"
"High transfer dependency","1985","Not Employed","inadequately","10","","","","2"
"High transfer dependency","1985","Not Employed","general elemantary","30","0.0166867864319497","0.0102703663845463","0.023103206479353","2"
"High transfer dependency","1985","Not Employed","middle vocational","28","","","","2"
"High transfer dependency","1985","Employed","general elemantary","13","","","","2"
"High transfer dependency","1985","Employed","middle vocational","29","","","","2"
"High transfer dependency","1985","Employed","vocational + Abi","4","","","","2"
"High transfer dependency","1985","Employed","higher vocational","6","","","","2"
"High transfer dependency","1985","Employed","higher education","1","","","","2"
"Low transfer dependency","1985","Employed","vocational + Abi","9","","","","1"
"Low transfer dependency","1985","Not Employed","general elemantary","53","0.0252030737223076","0.0173517239354361","0.0330544235091792","1"
"Low transfer dependency","1985","Employed","higher vocational","10","","","","1"
"Low transfer dependency","1985","Employed","middle vocational","74","0.0182780852549036","0.0138185109544468","0.0227376595553604","1"
"Low transfer dependency","1985","Not Employed","inadequately","35","0.121370491181043","0.0862964811771513","0.156444501184934","1"
"Low transfer dependency","1985","Not Employed","middle vocational","60","0.0246126518341113","0.0172774774111167","0.0319478262571059","1"
"Low transfer dependency","1985","Not Employed","vocational + Abi","6","","","","1"
"Low transfer dependency","1985","Not Employed","higher vocational","5","","","","1"
"Low transfer dependency","1985","Employed","higher education","4","","","","1"
"Low transfer dependency","1985","Not Employed","in school","8","","","","1"
"Low transfer dependency","1985","Employed","inadequately","17","","","","1"
"Low transfer dependency","1985","Employed","general elemantary","60","0.0346616698727107","0.0255227830854071","0.0438005566600143","1"
"Low transfer dependency","1985","Not Employed","higher education","6","","","","1"
"Low transfer dependency","1985","Employed","in school","","","","","1"
"Very high transfer dependency","1985","Not Employed","general elemantary","66","0.0374143655700048","0.0279083312841887","0.0469203998558209","3"
"Very high transfer dependency","1985","Employed","vocational + Abi","","","","","3"
"Very high transfer dependency","1985","Employed","higher vocational","","","","","3"
"Very high transfer dependency","1985","Employed","higher education","","","","","3"
"Very high transfer dependency","1985","Not Employed","inadequately","26","","","","3"
"Very high transfer dependency","1985","Not Employed","middle vocational","69","0.0367452251484026","0.0278385887362129","0.0456518615605922","3"
"Very high transfer dependency","1985","Not Employed","vocational + Abi","6","","","","3"
"Very high transfer dependency","1985","Employed","middle vocational","7","","","","3"
"Very high transfer dependency","1985","Not Employed","higher vocational","5","","","","3"
"Very high transfer dependency","1985","Not Employed","in school","4","","","","3"
"Very high transfer dependency","1985","Not Employed","higher education","2","","","","3"
"Very high transfer dependency","1985","Employed","in school","","","","","3"
"Very high transfer dependency","1985","Employed","inadequately","","","","","3"
"Very high transfer dependency","1985","Employed","general elemantary","2","","","","3"
"Very low transfer dependency","1985","Not Employed","in school","166","0.92635374153349","0.888196619381593","0.964510863685388","0"
"Very low transfer dependency","1985","Not Employed","inadequately","262","0.744087081131959","0.697218267389982","0.790955894873936","0"
"Very low transfer dependency","1985","Not Employed","general elemantary","1382","0.920695774275738","0.907160510140835","0.934231038410641","0"
"Very low transfer dependency","1985","Not Employed","middle vocational","1557","0.926301494273605","0.913932106468059","0.938670882079151","0"
"Very low transfer dependency","1985","Not Employed","vocational + Abi","65","0.857277851825719","0.780144707778641","0.934410995872797","0"
"Very low transfer dependency","1985","Not Employed","higher vocational","155","0.923230031072604","0.883092063055318","0.963367999089891","0"
"Very low transfer dependency","1985","Not Employed","higher education","139","0.949529217735435","0.914496272841408","0.984562162629462","0"
"Very low transfer dependency","1985","Employed","in school","7","","","","0"
"Very low transfer dependency","1985","Employed","inadequately","484","0.945981383786086","0.926206713328579","0.965756054243593","0"
"Very low transfer dependency","1985","Employed","general elemantary","1464","0.954026895410923","0.943563780217912","0.964490010603935","0"
"Very low transfer dependency","1985","Employed","middle vocational","3356","0.971804273073151","0.966293470380837","0.977315075765465","0"
"Very low transfer dependency","1985","Employed","vocational + Abi","187","0.956002993392911","0.927579707453802","0.98442627933202","0"
"Very low transfer dependency","1985","Employed","higher vocational","436","0.962338178022576","0.944787520385231","0.979888835659922","0"
"Very low transfer dependency","1985","Employed","higher education","603","0.991262015973133","0.983864325482972","0.998659706463295","0"
"High transfer dependency","1986","Not Employed","higher education","2","","","","2"
"High transfer dependency","1986","Employed","in school","","","","","2"
"High transfer dependency","1986","Employed","inadequately","2","","","","2"
"High transfer dependency","1986","Not Employed","vocational + Abi","2","","","","2"
"High transfer dependency","1986","Not Employed","higher vocational","3","","","","2"
"High transfer dependency","1986","Not Employed","in school","2","","","","2"
"High transfer dependency","1986","Not Employed","inadequately","14","","","","2"
"High transfer dependency","1986","Not Employed","general elemantary","24","","","","2"
"High transfer dependency","1986","Not Employed","middle vocational","23","","","","2"
"High transfer dependency","1986","Employed","general elemantary","18","","","","2"
"High transfer dependency","1986","Employed","middle vocational","24","","","","2"
"High transfer dependency","1986","Employed","vocational + Abi","5","","","","2"
"High transfer dependency","1986","Employed","higher vocational","1","","","","2"
"High transfer dependency","1986","Employed","higher education","1","","","","2"
"Low transfer dependency","1986","Not Employed","general elemantary","48","0.0289508777821904","0.0200756229511019","0.0378261326132789","1"
"Low transfer dependency","1986","Not Employed","middle vocational","47","0.0241148396690295","0.0166675913475992","0.0315620879904598","1"
"Low transfer dependency","1986","Employed","vocational + Abi","10","","","","1"
"Low transfer dependency","1986","Not Employed","inadequately","31","0.0794102883693934","0.0497862305349946","0.109034346203792","1"
"Low transfer dependency","1986","Not Employed","vocational + Abi","5","","","","1"
"Low transfer dependency","1986","Employed","higher vocational","6","","","","1"
"Low transfer dependency","1986","Employed","middle vocational","88","0.0260552062697084","0.0206752780946786","0.0314351344447382","1"
"Low transfer dependency","1986","Not Employed","higher vocational","6","","","","1"
"Low transfer dependency","1986","Employed","higher education","8","","","","1"
"Low transfer dependency","1986","Not Employed","in school","3","","","","1"
"Low transfer dependency","1986","Employed","in school","","","","","1"
"Low transfer dependency","1986","Employed","inadequately","25","","","","1"
"Low transfer dependency","1986","Employed","general elemantary","40","0.0234433157763614","0.0158617200498191","0.0310249115029037","1"
"Low transfer dependency","1986","Not Employed","higher education","2","","","","1"
"Very high transfer dependency","1986","Not Employed","general elemantary","53","0.0336505143003209","0.0241051539851872","0.0431958746154547","3"
"Very high transfer dependency","1986","Employed","vocational + Abi","1","","","","3"
"Very high transfer dependency","1986","Employed","higher vocational","","","","","3"
"Very high transfer dependency","1986","Not Employed","vocational + Abi","5","","","","3"
"Very high transfer dependency","1986","Not Employed","higher vocational","8","","","","3"
"Very high transfer dependency","1986","Employed","higher education","","","","","3"
"Very high transfer dependency","1986","Not Employed","middle vocational","55","0.0308071362623744","0.0224186218036755","0.0391956507210733","3"
"Very high transfer dependency","1986","Not Employed","inadequately","22","","","","3"
"Very high transfer dependency","1986","Employed","middle vocational","6","","","","3"
"Very high transfer dependency","1986","Not Employed","in school","3","","","","3"
"Very high transfer dependency","1986","Not Employed","higher education","8","","","","3"
"Very high transfer dependency","1986","Employed","in school","","","","","3"
"Very high transfer dependency","1986","Employed","inadequately","2","","","","3"
"Very high transfer dependency","1986","Employed","general elemantary","4","","","","3"
"Very low transfer dependency","1986","Not Employed","in school","174","0.950147621890542","0.918528421714654","0.981766822066431","0"
"Very low transfer dependency","1986","Not Employed","inadequately","253","0.762599597451285","0.715980687645869","0.809218507256701","0"
"Very low transfer dependency","1986","Not Employed","general elemantary","1246","0.922731833201438","0.908597757282808","0.936865909120068","0"
"Very low transfer dependency","1986","Not Employed","middle vocational","1505","0.933831899972118","0.921764520391286","0.945899279552951","0"
"Very low transfer dependency","1986","Not Employed","vocational + Abi","61","0.882294398841816","0.808369287567463","0.956219510116169","0"
"Very low transfer dependency","1986","Not Employed","higher vocational","146","0.884624956385859","0.835580511700227","0.933669401071492","0"
"Very low transfer dependency","1986","Not Employed","higher education","130","0.922572992534159","0.878613717211244","0.966532267857075","0"
"Very low transfer dependency","1986","Employed","in school","5","","","","0"
"Very low transfer dependency","1986","Employed","inadequately","435","0.931130877007985","0.908089589597919","0.95417216441805","0"
"Very low transfer dependency","1986","Employed","general elemantary","1468","0.960650931897891","0.950908835882367","0.970393027913415","0"
"Very low transfer dependency","1986","Employed","middle vocational","3250","0.963824372555093","0.95751815371098","0.970130591399206","0"
"Very low transfer dependency","1986","Employed","vocational + Abi","188","0.925407188199159","0.889353646752758","0.961460729645559","0"
"Very low transfer dependency","1986","Employed","higher vocational","411","0.981439645308289","0.968501116876222","0.994378173740356","0"
"Very low transfer dependency","1986","Employed","higher education","596","0.980212648553095","0.969115168104663","0.991310129001527","0"
"High transfer dependency","1987","Not Employed","in school","3","","","","2"
"High transfer dependency","1987","Not Employed","inadequately","15","","","","2"
"High transfer dependency","1987","Employed","inadequately","7","","","","2"
"High transfer dependency","1987","Employed","general elemantary","11","","","","2"
"High transfer dependency","1987","Not Employed","general elemantary","18","","","","2"
"High transfer dependency","1987","Employed","vocational + Abi","4","","","","2"
"High transfer dependency","1987","Employed","higher vocational","2","","","","2"
"High transfer dependency","1987","Employed","higher education","","","","","2"
"High transfer dependency","1987","Employed","middle vocational","25","","","","2"
"High transfer dependency","1987","Not Employed","middle vocational","19","","","","2"
"High transfer dependency","1987","Not Employed","vocational + Abi","2","","","","2"
"High transfer dependency","1987","Not Employed","higher vocational","2","","","","2"
"High transfer dependency","1987","Not Employed","higher education","2","","","","2"
"High transfer dependency","1987","Employed","in school","","","","","2"
"Low transfer dependency","1987","Not Employed","middle vocational","65","0.0334024667597601","0.0245648542966658","0.0422400792228545","1"
"Low transfer dependency","1987","Not Employed","vocational + Abi","4","","","","1"
"Low transfer dependency","1987","Not Employed","general elemantary","57","0.0355081188773054","0.0254829571271884","0.0455332806274223","1"
"Low transfer dependency","1987","Not Employed","inadequately","17","","","","1"
"Low transfer dependency","1987","Employed","vocational + Abi","5","","","","1"
"Low transfer dependency","1987","Employed","higher vocational","8","","","","1"
"Low transfer dependency","1987","Employed","middle vocational","69","0.0204746944049795","0.0157039593458441","0.025245429464115","1"
"Low transfer dependency","1987","Employed","higher education","11","","","","1"
"Low transfer dependency","1987","Not Employed","higher vocational","5","","","","1"
"Low transfer dependency","1987","Not Employed","in school","8","","","","1"
"Low transfer dependency","1987","Employed","in school","","","","","1"
"Low transfer dependency","1987","Employed","inadequately","16","","","","1"
"Low transfer dependency","1987","Employed","general elemantary","61","0.0384395970831967","0.0288343955857582","0.0480447985806352","1"
"Low transfer dependency","1987","Not Employed","higher education","5","","","","1"
"Very high transfer dependency","1987","Not Employed","middle vocational","53","0.0304137863456376","0.021967781948247","0.0388597907430282","3"
"Very high transfer dependency","1987","Not Employed","general elemantary","42","0.0278963450454451","0.0189754545417089","0.0368172355491813","3"
"Very high transfer dependency","1987","Employed","higher education","1","","","","3"
"Very high transfer dependency","1987","Not Employed","inadequately","19","","","","3"
"Very high transfer dependency","1987","Employed","higher vocational","1","","","","3"
"Very high transfer dependency","1987","Employed","vocational + Abi","","","","","3"
"Very high transfer dependency","1987","Not Employed","vocational + Abi","4","","","","3"
"Very high transfer dependency","1987","Not Employed","in school","1","","","","3"
"Very high transfer dependency","1987","Not Employed","higher vocational","4","","","","3"
"Very high transfer dependency","1987","Not Employed","higher education","6","","","","3"
"Very high transfer dependency","1987","Employed","middle vocational","3","","","","3"
"Very high transfer dependency","1987","Employed","in school","","","","","3"
"Very high transfer dependency","1987","Employed","inadequately","1","","","","3"
"Very high transfer dependency","1987","Employed","general elemantary","7","","","","3"
"Very low transfer dependency","1987","Not Employed","in school","164","0.936097741943043","0.899964206366233","0.972231277519853","0"
"Very low transfer dependency","1987","Not Employed","inadequately","240","0.795386385314325","0.749035510343779","0.841737260284872","0"
"Very low transfer dependency","1987","Not Employed","general elemantary","1192","0.928284507102015","0.914307141897628","0.942261872306401","0"
"Very low transfer dependency","1987","Not Employed","middle vocational","1451","0.925196145881479","0.912257115376847","0.93813517638611","0"
"Very low transfer dependency","1987","Not Employed","vocational + Abi","61","0.866743702389205","0.787692562731464","0.945794842046946","0"
"Very low transfer dependency","1987","Not Employed","higher vocational","150","0.938217032840756","0.901027459974332","0.97540660570718","0"
"Very low transfer dependency","1987","Not Employed","higher education","129","0.895171612089019","0.844787161985984","0.945556062192054","0"
"Very low transfer dependency","1987","Employed","in school","12","","","","0"
"Very low transfer dependency","1987","Employed","inadequately","444","0.918745808679154","0.89399178875928","0.943499828599027","0"
"Very low transfer dependency","1987","Employed","general elemantary","1460","0.947224680566911","0.936054229277174","0.958395131856649","0"
"Very low transfer dependency","1987","Employed","middle vocational","3288","0.97214806507088","0.966604838264961","0.977691291876799","0"
"Very low transfer dependency","1987","Employed","vocational + Abi","197","0.960860553788189","0.934378479385091","0.987342628191287","0"
"Very low transfer dependency","1987","Employed","higher vocational","396","0.970731583734437","0.954355876025035","0.987107291443839","0"
"Very low transfer dependency","1987","Employed","higher education","589","0.978470882606636","0.96686714442409","0.990074620789181","0"
"High transfer dependency","1988","Not Employed","middle vocational","22","","","","2"
"High transfer dependency","1988","Not Employed","vocational + Abi","1","","","","2"
"High transfer dependency","1988","Not Employed","higher vocational","4","","","","2"
"High transfer dependency","1988","Not Employed","higher education","1","","","","2"
"High transfer dependency","1988","Employed","in school","","","","","2"
"High transfer dependency","1988","Employed","inadequately","2","","","","2"
"High transfer dependency","1988","Employed","general elemantary","17","","","","2"
"High transfer dependency","1988","Employed","middle vocational","10","","","","2"
"High transfer dependency","1988","Employed","vocational + Abi","1","","","","2"
"High transfer dependency","1988","Employed","higher vocational","3","","","","2"
"High transfer dependency","1988","Not Employed","in school","1","","","","2"
"High transfer dependency","1988","Not Employed","inadequately","5","","","","2"
"High transfer dependency","1988","Not Employed","general elemantary","17","","","","2"
"High transfer dependency","1988","Employed","higher education","1","","","","2"
"Low transfer dependency","1988","Not Employed","general elemantary","49","0.0279757753913572","0.0186804509882773","0.0372710997944372","1"
"Low transfer dependency","1988","Not Employed","vocational + Abi","","","","","1"
"Low transfer dependency","1988","Employed","higher education","6","","","","1"
"Low transfer dependency","1988","Not Employed","middle vocational","46","0.0217738189821555","0.0143782900691922","0.0291693478951188","1"
"Low transfer dependency","1988","Employed","vocational + Abi","8","","","","1"
"Low transfer dependency","1988","Employed","higher vocational","6","","","","1"
"Low transfer dependency","1988","Not Employed","inadequately","31","0.106047350290659","0.0710305035661572","0.14106419701516","1"
"Low transfer dependency","1988","Employed","middle vocational","68","0.0218251960287066","0.0167948728456761","0.026855519211737","1"
"Low transfer dependency","1988","Not Employed","higher vocational","5","","","","1"
"Low transfer dependency","1988","Not Employed","in school","7","","","","1"
"Low transfer dependency","1988","Not Employed","higher education","4","","","","1"
"Low transfer dependency","1988","Employed","in school","1","","","","1"
"Low transfer dependency","1988","Employed","inadequately","20","","","","1"
"Low transfer dependency","1988","Employed","general elemantary","47","0.0322369866142696","0.0233545742057366","0.0411193990228025","1"
"Very high transfer dependency","1988","Employed","higher vocational","","","","","3"
"Very high transfer dependency","1988","Not Employed","general elemantary","58","0.0416690976915925","0.0304049137174276","0.0529332816657575","3"
"Very high transfer dependency","1988","Not Employed","vocational + Abi","3","","","","3"
"Very high transfer dependency","1988","Employed","higher education","","","","","3"
"Very high transfer dependency","1988","Not Employed","middle vocational","45","0.0291220636882761","0.0206013556646357","0.0376427717119165","3"
"Very high transfer dependency","1988","Employed","vocational + Abi","","","","","3"
"Very high transfer dependency","1988","Not Employed","inadequately","24","","","","3"
"Very high transfer dependency","1988","Not Employed","higher vocational","1","","","","3"
"Very high transfer dependency","1988","Not Employed","in school","3","","","","3"
"Very high transfer dependency","1988","Employed","middle vocational","5","","","","3"
"Very high transfer dependency","1988","Not Employed","higher education","1","","","","3"
"Very high transfer dependency","1988","Employed","in school","","","","","3"
"Very high transfer dependency","1988","Employed","inadequately","2","","","","3"
"Very high transfer dependency","1988","Employed","general elemantary","8","","","","3"
"Very low transfer dependency","1988","Not Employed","in school","144","0.917011021479781","0.873582031498317","0.960440011461246","0"
"Very low transfer dependency","1988","Not Employed","inadequately","237","0.760702837446765","0.712180003351258","0.809225671542273","0"
"Very low transfer dependency","1988","Not Employed","general elemantary","1085","0.920193067102209","0.90491759190774","0.935468542296678","0"
"Very low transfer dependency","1988","Not Employed","middle vocational","1383","0.935300455777044","0.922834990942586","0.947765920611501","0"
"Very low transfer dependency","1988","Not Employed","vocational + Abi","66","0.954905751890978","0.906294153568027","1.00351735021393","0"
"Very low transfer dependency","1988","Not Employed","higher vocational","141","0.933578953772517","0.893860896317871","0.973297011227162","0"
"Very low transfer dependency","1988","Not Employed","higher education","123","0.965674758249209","0.934256979429241","0.997092537069177","0"
"Very low transfer dependency","1988","Employed","in school","7","","","","0"
"Very low transfer dependency","1988","Employed","inadequately","374","0.908987959796705","0.880730374621965","0.937245544971445","0"
"Very low transfer dependency","1988","Employed","general elemantary","1447","0.948623063433583","0.937521090957339","0.959725035909826","0"
"Very low transfer dependency","1988","Employed","middle vocational","3158","0.973238772280168","0.967682656419734","0.978794888140603","0"
"Very low transfer dependency","1988","Employed","vocational + Abi","190","0.969944101456536","0.946221639218255","0.993666563694816","0"
"Very low transfer dependency","1988","Employed","higher vocational","380","0.978606325837445","0.964227613732181","0.992985037942709","0"
"Very low transfer dependency","1988","Employed","higher education","565","0.986001067786447","0.976373064617621","0.995629070955274","0"
"High transfer dependency","1989","Not Employed","in school","3","","","","2"
"High transfer dependency","1989","Not Employed","inadequately","8","","","","2"
"High transfer dependency","1989","Not Employed","general elemantary","17","","","","2"
"High transfer dependency","1989","Not Employed","middle vocational","26","","","","2"
"High transfer dependency","1989","Not Employed","vocational + Abi","3","","","","2"
"High transfer dependency","1989","Not Employed","higher vocational","","","","","2"
"High transfer dependency","1989","Not Employed","higher education","","","","","2"
"High transfer dependency","1989","Employed","in school","","","","","2"
"High transfer dependency","1989","Employed","inadequately","3","","","","2"
"High transfer dependency","1989","Employed","general elemantary","19","","","","2"
"High transfer dependency","1989","Employed","middle vocational","16","","","","2"
"High transfer dependency","1989","Employed","vocational + Abi","3","","","","2"
"High transfer dependency","1989","Employed","higher vocational","1","","","","2"
"High transfer dependency","1989","Employed","higher education","","","","","2"
"Low transfer dependency","1989","Employed","vocational + Abi","8","","","","1"
"Low transfer dependency","1989","Not Employed","general elemantary","52","0.0318010869099439","0.0216241210806988","0.041978052739189","1"
"Low transfer dependency","1989","Not Employed","vocational + Abi","4","","","","1"
"Low transfer dependency","1989","Employed","higher vocational","8","","","","1"
"Low transfer dependency","1989","Employed","higher education","4","","","","1"
"Low transfer dependency","1989","Not Employed","middle vocational","38","0.0199750450099419","0.0127759677340255","0.0271741222858584","1"
"Low transfer dependency","1989","Not Employed","inadequately","27","","","","1"
"Low transfer dependency","1989","Employed","middle vocational","67","0.019739695535988","0.0148988365174576","0.0245805545545185","1"
"Low transfer dependency","1989","Not Employed","higher vocational","3","","","","1"
"Low transfer dependency","1989","Not Employed","in school","5","","","","1"
"Low transfer dependency","1989","Not Employed","higher education","6","","","","1"
"Low transfer dependency","1989","Employed","in school","5","","","","1"
"Low transfer dependency","1989","Employed","inadequately","15","","","","1"
"Low transfer dependency","1989","Employed","general elemantary","43","0.0213926303870079","0.0139012589523151","0.0288840018217006","1"
"Very high transfer dependency","1989","Not Employed","vocational + Abi","2","","","","3"
"Very high transfer dependency","1989","Not Employed","higher vocational","1","","","","3"
"Very high transfer dependency","1989","Not Employed","middle vocational","48","0.0338437363425513","0.0245395752062561","0.0431478974788466","3"
"Very high transfer dependency","1989","Not Employed","general elemantary","55","0.0435107955582916","0.0316789201604394","0.0553426709561437","3"
"Very high transfer dependency","1989","Employed","vocational + Abi","","","","","3"
"Very high transfer dependency","1989","Not Employed","inadequately","25","","","","3"
"Very high transfer dependency","1989","Not Employed","in school","2","","","","3"
"Very high transfer dependency","1989","Employed","middle vocational","4","","","","3"
"Very high transfer dependency","1989","Employed","higher vocational","1","","","","3"
"Very high transfer dependency","1989","Employed","higher education","","","","","3"
"Very high transfer dependency","1989","Not Employed","higher education","2","","","","3"
"Very high transfer dependency","1989","Employed","in school","","","","","3"
"Very high transfer dependency","1989","Employed","inadequately","","","","","3"
"Very high transfer dependency","1989","Employed","general elemantary","5","","","","3"
"Very low transfer dependency","1989","Not Employed","vocational + Abi","69","0.879947435477542","0.807817610977116","0.952077259977969","0"
"Very low transfer dependency","1989","Not Employed","higher vocational","138","0.978194652980585","0.954173266956323","1.00221603900485","0"
"Very low transfer dependency","1989","Not Employed","higher education","117","0.933823790219278","0.890244866897371","0.977402713541185","0"
"Very low transfer dependency","1989","Employed","in school","14","","","","0"
"Very low transfer dependency","1989","Employed","inadequately","351","0.941456651583922","0.917502882904689","0.965410420263155","0"
"Very low transfer dependency","1989","Not Employed","in school","145","0.935476164599025","0.896798638089803","0.974153691108248","0"
"Very low transfer dependency","1989","Not Employed","inadequately","224","0.733004087229479","0.681553015484861","0.784455158974097","0"
"Very low transfer dependency","1989","Not Employed","general elemantary","1018","0.917460335818396","0.901500073071063","0.933420598565729","0"
"Very low transfer dependency","1989","Not Employed","middle vocational","1339","0.930726423586034","0.917661429677699","0.943791417494369","0"
"Very low transfer dependency","1989","Employed","general elemantary","1366","0.958843213806584","0.948557853203014","0.969128574410155","0"
"Very low transfer dependency","1989","Employed","middle vocational","3085","0.971846953245738","0.966090656939407","0.977603249552069","0"
"Very low transfer dependency","1989","Employed","vocational + Abi","201","0.956484798981987","0.929022322767997","0.983947275195977","0"
"Very low transfer dependency","1989","Employed","higher vocational","363","0.981544641517216","0.967885923281608","0.995203359752824","0"
"Very low transfer dependency","1989","Employed","higher education","570","0.992372372981634","0.985254926640217","0.99948981932305","0"
"High transfer dependency","1990","Not Employed","in school","2","","","","2"
"High transfer dependency","1990","Not Employed","inadequately","10","","","","2"
"High transfer dependency","1990","Not Employed","general elemantary","26","","","","2"
"High transfer dependency","1990","Not Employed","middle vocational","15","","","","2"
"High transfer dependency","1990","Not Employed","vocational + Abi","","","","","2"
"High transfer dependency","1990","Not Employed","higher vocational","1","","","","2"
"High transfer dependency","1990","Not Employed","higher education","","","","","2"
"High transfer dependency","1990","Employed","in school","1","","","","2"
"High transfer dependency","1990","Employed","inadequately","4","","","","2"
"High transfer dependency","1990","Employed","general elemantary","18","","","","2"
"High transfer dependency","1990","Employed","middle vocational","18","","","","2"
"High transfer dependency","1990","Employed","vocational + Abi","2","","","","2"
"High transfer dependency","1990","Employed","higher vocational","1","","","","2"
"High transfer dependency","1990","Employed","higher education","1","","","","2"
"Low transfer dependency","1990","Not Employed","general elemantary","47","0.0286947130907984","0.0187195323129493","0.0386698938686474","1"
"Low transfer dependency","1990","Employed","vocational + Abi","8","","","","1"
"Low transfer dependency","1990","Employed","higher vocational","4","","","","1"
"Low transfer dependency","1990","Not Employed","middle vocational","39","0.0211852998556397","0.013695478347162","0.0286751213641173","1"
