"transab_cat2","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1985","16-34 y.","lower secondary degree","1495","0.921052459002915","0.907949608032475","0.934155309973355"
"Very low transfer dependency","1985","16-34 y.","secondary school degree","926","0.954246505272334","0.941164404863863","0.967328605680805"
"Very low transfer dependency","1985","16-34 y.","college entrance qualification","574","0.902584072485451","0.879611114321499","0.925557030649403"
"Very low transfer dependency","1985","16-34 y.","Other degree","367","0.902332239039063","0.873203579720585","0.93146089835754"
"Very low transfer dependency","1985","16-34 y.","no degree/no degree yet","383","0.891062250510565","0.861614163649958","0.920510337371173"
"Very low transfer dependency","1985","35-65 y.","lower secondary degree","2860","0.943955934114465","0.93575133789682","0.952160530332111"
"Very low transfer dependency","1985","35-65 y.","secondary school degree","716","0.983588170511854","0.97436522859919","0.992811112424518"
"Very low transfer dependency","1985","35-65 y.","college entrance qualification","493","0.979047439528524","0.966518432530744","0.991576446526305"
"Very low transfer dependency","1985","35-65 y.","Other degree","742","0.908387612676792","0.888545734525118","0.928229490828467"
"Very low transfer dependency","1985","35-65 y.","no degree/no degree yet","588","0.904906869205515","0.882250950749416","0.927562787661613"
"Very low transfer dependency","1985","66 and older","lower secondary degree","813","0.973971500109157","0.963159070720621","0.984783929497692"
"Very low transfer dependency","1985","66 and older","secondary school degree","167","0.97886273988883","0.957240092058328","1.00048538771933"
"Very low transfer dependency","1985","66 and older","college entrance qualification","87","1","1","1"
"Very low transfer dependency","1985","66 and older","Other degree","6","","",""
"Very low transfer dependency","1985","66 and older","no degree/no degree yet","14","","",""
"Low transfer dependency","1985","16-34 y.","lower secondary degree","71","0.0393275027364313","0.0298827590086562","0.0487722464642064"
"Low transfer dependency","1985","16-34 y.","secondary school degree","28","","",""
"Low transfer dependency","1985","16-34 y.","college entrance qualification","26","","",""
"Low transfer dependency","1985","16-34 y.","Other degree","17","","",""
"Low transfer dependency","1985","16-34 y.","no degree/no degree yet","25","","",""
"Low transfer dependency","1985","35-65 y.","lower secondary degree","78","0.0264791754290756","0.0207519881348616","0.0322063627232897"
"Low transfer dependency","1985","35-65 y.","secondary school degree","6","","",""
"Low transfer dependency","1985","35-65 y.","college entrance qualification","4","","",""
"Low transfer dependency","1985","35-65 y.","Other degree","44","0.0536020920989589","0.0381104365341993","0.0690937476637185"
"Low transfer dependency","1985","35-65 y.","no degree/no degree yet","36","0.0646923288548807","0.0456942888309538","0.0836903688788076"
"Low transfer dependency","1985","66 and older","lower secondary degree","10","","",""
"Low transfer dependency","1985","66 and older","secondary school degree","","","",""
"Low transfer dependency","1985","66 and older","college entrance qualification","","","",""
"Low transfer dependency","1985","66 and older","Other degree","","","",""
"Low transfer dependency","1985","66 and older","no degree/no degree yet","1","","",""
"High transfer dependency","1985","16-34 y.","lower secondary degree","24","","",""
"High transfer dependency","1985","16-34 y.","secondary school degree","10","","",""
"High transfer dependency","1985","16-34 y.","college entrance qualification","23","","",""
"High transfer dependency","1985","16-34 y.","Other degree","8","","",""
"High transfer dependency","1985","16-34 y.","no degree/no degree yet","4","","",""
"High transfer dependency","1985","35-65 y.","lower secondary degree","26","","",""
"High transfer dependency","1985","35-65 y.","secondary school degree","1","","",""
"High transfer dependency","1985","35-65 y.","college entrance qualification","3","","",""
"High transfer dependency","1985","35-65 y.","Other degree","15","","",""
"High transfer dependency","1985","35-65 y.","no degree/no degree yet","8","","",""
"High transfer dependency","1985","66 and older","lower secondary degree","7","","",""
"High transfer dependency","1985","66 and older","secondary school degree","3","","",""
"High transfer dependency","1985","66 and older","college entrance qualification","","","",""
"High transfer dependency","1985","66 and older","Other degree","","","",""
"High transfer dependency","1985","66 and older","no degree/no degree yet","","","",""
"Very high transfer dependency","1985","16-34 y.","lower secondary degree","37","0.0272978723175584","0.0193799972213199","0.035215747413797"
"Very high transfer dependency","1985","16-34 y.","secondary school degree","16","","",""
"Very high transfer dependency","1985","16-34 y.","college entrance qualification","17","","",""
"Very high transfer dependency","1985","16-34 y.","Other degree","7","","",""
"Very high transfer dependency","1985","16-34 y.","no degree/no degree yet","18","","",""
"Very high transfer dependency","1985","35-65 y.","lower secondary degree","55","0.0199836515727642","0.0149916970612783","0.0249756060842502"
"Very high transfer dependency","1985","35-65 y.","secondary school degree","6","","",""
"Very high transfer dependency","1985","35-65 y.","college entrance qualification","2","","",""
"Very high transfer dependency","1985","35-65 y.","Other degree","11","","",""
"Very high transfer dependency","1985","35-65 y.","no degree/no degree yet","12","","",""
"Very high transfer dependency","1985","66 and older","lower secondary degree","3","","",""
"Very high transfer dependency","1985","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1985","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","1985","66 and older","Other degree","1","","",""
"Very high transfer dependency","1985","66 and older","no degree/no degree yet","2","","",""
"Very low transfer dependency","1986","16-34 y.","lower secondary degree","1476","0.926739906350534","0.913916329862178","0.93956348283889"
"Very low transfer dependency","1986","16-34 y.","secondary school degree","909","0.949164265622528","0.935283424109596","0.963045107135459"
"Very low transfer dependency","1986","16-34 y.","college entrance qualification","617","0.900379416169626","0.877785915577288","0.922972916761964"
"Very low transfer dependency","1986","16-34 y.","Other degree","315","0.868273211080939","0.832791820596929","0.90375460156495"
"Very low transfer dependency","1986","16-34 y.","no degree/no degree yet","372","0.90223509849375","0.873591709059907","0.930878487927593"
"Very low transfer dependency","1986","35-65 y.","lower secondary degree","2670","0.940819406434999","0.932105809649999","0.949533003219998"
"Very low transfer dependency","1986","35-65 y.","secondary school degree","689","0.97508388615067","0.963586294409436","0.986581477891904"
"Very low transfer dependency","1986","35-65 y.","college entrance qualification","479","0.968275887921342","0.952773391445086","0.983778384397598"
"Very low transfer dependency","1986","35-65 y.","Other degree","753","0.928188287163163","0.910342498265991","0.946034076060335"
"Very low transfer dependency","1986","35-65 y.","no degree/no degree yet","531","0.896982917122997","0.872578318398812","0.921387515847182"
"Very low transfer dependency","1986","66 and older","lower secondary degree","750","0.983865120797455","0.97491340255768","0.99281683903723"
"Very low transfer dependency","1986","66 and older","secondary school degree","164","0.972742370186196","0.94804601762074","0.997438722751653"
"Very low transfer dependency","1986","66 and older","college entrance qualification","88","1","1","1"
"Very low transfer dependency","1986","66 and older","Other degree","5","","",""
"Very low transfer dependency","1986","66 and older","no degree/no degree yet","18","","",""
"Low transfer dependency","1986","16-34 y.","lower secondary degree","56","0.0364213074420376","0.0272015847331522","0.0456410301509231"
"Low transfer dependency","1986","16-34 y.","secondary school degree","33","0.0290489464472657","0.0184362823967251","0.0396616104978063"
"Low transfer dependency","1986","16-34 y.","college entrance qualification","28","","",""
"Low transfer dependency","1986","16-34 y.","Other degree","20","","",""
"Low transfer dependency","1986","16-34 y.","no degree/no degree yet","20","","",""
"Low transfer dependency","1986","35-65 y.","lower secondary degree","77","0.0285310727991739","0.0223831532531747","0.0346789923451731"
"Low transfer dependency","1986","35-65 y.","secondary school degree","12","","",""
"Low transfer dependency","1986","35-65 y.","college entrance qualification","4","","",""
"Low transfer dependency","1986","35-65 y.","Other degree","22","","",""
"Low transfer dependency","1986","35-65 y.","no degree/no degree yet","39","0.0564559597838973","0.0379265772804302","0.0749853422873643"
"Low transfer dependency","1986","66 and older","lower secondary degree","4","","",""
"Low transfer dependency","1986","66 and older","secondary school degree","2","","",""
"Low transfer dependency","1986","66 and older","college entrance qualification","","","",""
"Low transfer dependency","1986","66 and older","Other degree","","","",""
"Low transfer dependency","1986","66 and older","no degree/no degree yet","2","","",""
"High transfer dependency","1986","16-34 y.","lower secondary degree","24","","",""
"High transfer dependency","1986","16-34 y.","secondary school degree","10","","",""
"High transfer dependency","1986","16-34 y.","college entrance qualification","7","","",""
"High transfer dependency","1986","16-34 y.","Other degree","7","","",""
"High transfer dependency","1986","16-34 y.","no degree/no degree yet","7","","",""
"High transfer dependency","1986","35-65 y.","lower secondary degree","27","","",""
"High transfer dependency","1986","35-65 y.","secondary school degree","2","","",""
"High transfer dependency","1986","35-65 y.","college entrance qualification","3","","",""
"High transfer dependency","1986","35-65 y.","Other degree","13","","",""
"High transfer dependency","1986","35-65 y.","no degree/no degree yet","12","","",""
"High transfer dependency","1986","66 and older","lower secondary degree","5","","",""
"High transfer dependency","1986","66 and older","secondary school degree","1","","",""
"High transfer dependency","1986","66 and older","college entrance qualification","","","",""
"High transfer dependency","1986","66 and older","Other degree","1","","",""
"High transfer dependency","1986","66 and older","no degree/no degree yet","1","","",""
"Very high transfer dependency","1986","16-34 y.","lower secondary degree","30","0.0207545157438761","0.0137383701826139","0.0277706613051383"
"Very high transfer dependency","1986","16-34 y.","secondary school degree","10","","",""
"Very high transfer dependency","1986","16-34 y.","college entrance qualification","23","","",""
"Very high transfer dependency","1986","16-34 y.","Other degree","7","","",""
"Very high transfer dependency","1986","16-34 y.","no degree/no degree yet","14","","",""
"Very high transfer dependency","1986","35-65 y.","lower secondary degree","43","0.0191312658308313","0.0140726468836199","0.0241898847780428"
"Very high transfer dependency","1986","35-65 y.","secondary school degree","3","","",""
"Very high transfer dependency","1986","35-65 y.","college entrance qualification","5","","",""
"Very high transfer dependency","1986","35-65 y.","Other degree","16","","",""
"Very high transfer dependency","1986","35-65 y.","no degree/no degree yet","14","","",""
"Very high transfer dependency","1986","66 and older","lower secondary degree","2","","",""
"Very high transfer dependency","1986","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1986","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","1986","66 and older","Other degree","","","",""
"Very high transfer dependency","1986","66 and older","no degree/no degree yet","","","",""
"Very low transfer dependency","1987","16-34 y.","lower secondary degree","1460","0.924371400114065","0.911334155091981","0.937408645136148"
"Very low transfer dependency","1987","16-34 y.","secondary school degree","928","0.957110289156429","0.944399259445567","0.969821318867292"
"Very low transfer dependency","1987","16-34 y.","college entrance qualification","601","0.915136478143778","0.893712758728251","0.936560197559306"
"Very low transfer dependency","1987","16-34 y.","Other degree","303","0.90152616781967","0.869182528961496","0.933869806677843"
"Very low transfer dependency","1987","16-34 y.","no degree/no degree yet","347","0.897934582173457","0.867655400294876","0.928213764052039"
"Very low transfer dependency","1987","35-65 y.","lower secondary degree","2586","0.940525406543058","0.931656731332839","0.949394081753277"
"Very low transfer dependency","1987","35-65 y.","secondary school degree","664","0.970945687752205","0.958349459910175","0.983541915594234"
"Very low transfer dependency","1987","35-65 y.","college entrance qualification","474","0.967835316537074","0.952181200320625","0.983489432753523"
"Very low transfer dependency","1987","35-65 y.","Other degree","764","0.933165054036777","0.916040546275607","0.950289561797947"
"Very low transfer dependency","1987","35-65 y.","no degree/no degree yet","543","0.917862056523237","0.89581830118731","0.939905811859164"
"Very low transfer dependency","1987","66 and older","lower secondary degree","778","0.976919755101679","0.966468675642751","0.987370834560607"
"Very low transfer dependency","1987","66 and older","secondary school degree","170","0.993433621551694","0.981328130318312","1.00553911278508"
"Very low transfer dependency","1987","66 and older","college entrance qualification","90","0.986313092449379","0.962441166381271","1.01018501851749"
"Very low transfer dependency","1987","66 and older","Other degree","7","","",""
"Very low transfer dependency","1987","66 and older","no degree/no degree yet","18","","",""
"Low transfer dependency","1987","16-34 y.","lower secondary degree","83","0.0499066849157132","0.0391697074904488","0.0606436623409776"
"Low transfer dependency","1987","16-34 y.","secondary school degree","25","","",""
"Low transfer dependency","1987","16-34 y.","college entrance qualification","26","","",""
"Low transfer dependency","1987","16-34 y.","Other degree","13","","",""
"Low transfer dependency","1987","16-34 y.","no degree/no degree yet","18","","",""
"Low transfer dependency","1987","35-65 y.","lower secondary degree","76","0.0286300678747789","0.0223767391334859","0.0348833966160718"
"Low transfer dependency","1987","35-65 y.","secondary school degree","13","","",""
"Low transfer dependency","1987","35-65 y.","college entrance qualification","10","","",""
"Low transfer dependency","1987","35-65 y.","Other degree","26","","",""
"Low transfer dependency","1987","35-65 y.","no degree/no degree yet","27","","",""
"Low transfer dependency","1987","66 and older","lower secondary degree","12","","",""
"Low transfer dependency","1987","66 and older","secondary school degree","1","","",""
"Low transfer dependency","1987","66 and older","college entrance qualification","","","",""
"Low transfer dependency","1987","66 and older","Other degree","","","",""
"Low transfer dependency","1987","66 and older","no degree/no degree yet","1","","",""
"High transfer dependency","1987","16-34 y.","lower secondary degree","14","","",""
"High transfer dependency","1987","16-34 y.","secondary school degree","10","","",""
"High transfer dependency","1987","16-34 y.","college entrance qualification","8","","",""
"High transfer dependency","1987","16-34 y.","Other degree","5","","",""
"High transfer dependency","1987","16-34 y.","no degree/no degree yet","9","","",""
"High transfer dependency","1987","35-65 y.","lower secondary degree","27","","",""
"High transfer dependency","1987","35-65 y.","secondary school degree","4","","",""
"High transfer dependency","1987","35-65 y.","college entrance qualification","2","","",""
"High transfer dependency","1987","35-65 y.","Other degree","13","","",""
"High transfer dependency","1987","35-65 y.","no degree/no degree yet","13","","",""
"High transfer dependency","1987","66 and older","lower secondary degree","2","","",""
"High transfer dependency","1987","66 and older","secondary school degree","","","",""
"High transfer dependency","1987","66 and older","college entrance qualification","","","",""
"High transfer dependency","1987","66 and older","Other degree","1","","",""
"High transfer dependency","1987","66 and older","no degree/no degree yet","1","","",""
"Very high transfer dependency","1987","16-34 y.","lower secondary degree","23","","",""
"Very high transfer dependency","1987","16-34 y.","secondary school degree","13","","",""
"Very high transfer dependency","1987","16-34 y.","college entrance qualification","15","","",""
"Very high transfer dependency","1987","16-34 y.","Other degree","5","","",""
"Very high transfer dependency","1987","16-34 y.","no degree/no degree yet","10","","",""
"Very high transfer dependency","1987","35-65 y.","lower secondary degree","43","0.0201610842608644","0.0148907030656653","0.0254314654560634"
"Very high transfer dependency","1987","35-65 y.","secondary school degree","2","","",""
"Very high transfer dependency","1987","35-65 y.","college entrance qualification","2","","",""
"Very high transfer dependency","1987","35-65 y.","Other degree","14","","",""
"Very high transfer dependency","1987","35-65 y.","no degree/no degree yet","13","","",""
"Very high transfer dependency","1987","66 and older","lower secondary degree","1","","",""
"Very high transfer dependency","1987","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1987","66 and older","college entrance qualification","1","","",""
"Very high transfer dependency","1987","66 and older","Other degree","","","",""
"Very high transfer dependency","1987","66 and older","no degree/no degree yet","","","",""
"Very low transfer dependency","1988","16-34 y.","lower secondary degree","1428","0.931544847610166","0.918907952927258","0.944181742293074"
"Very low transfer dependency","1988","16-34 y.","secondary school degree","883","0.956747702423292","0.943645451790089","0.969849953056494"
"Very low transfer dependency","1988","16-34 y.","college entrance qualification","581","0.953345272316922","0.936622802377184","0.970067742256661"
"Very low transfer dependency","1988","16-34 y.","Other degree","262","0.884727831460399","0.847781253557358","0.921674409363441"
"Very low transfer dependency","1988","16-34 y.","no degree/no degree yet","306","0.876141061938242","0.841022199947959","0.911259923928525"
"Very low transfer dependency","1988","35-65 y.","lower secondary degree","2444","0.939959212492087","0.930787116820942","0.949131308163231"
"Very low transfer dependency","1988","35-65 y.","secondary school degree","653","0.974704325763482","0.962787934603871","0.986620716923092"
"Very low transfer dependency","1988","35-65 y.","college entrance qualification","467","0.972487744673462","0.957839502901129","0.987135986445796"
"Very low transfer dependency","1988","35-65 y.","Other degree","711","0.901657666526872","0.8806113539835","0.922703979070244"
"Very low transfer dependency","1988","35-65 y.","no degree/no degree yet","483","0.868229504248837","0.839858276530162","0.896600731967512"
"Very low transfer dependency","1988","66 and older","lower secondary degree","757","0.984600091393703","0.975891328057553","0.993308854729853"
"Very low transfer dependency","1988","66 and older","secondary school degree","169","0.991700889492961","0.978063546755125","1.0053382322308"
"Very low transfer dependency","1988","66 and older","college entrance qualification","87","1","1","1"
"Very low transfer dependency","1988","66 and older","Other degree","8","","",""
"Very low transfer dependency","1988","66 and older","no degree/no degree yet","19","","",""
"Low transfer dependency","1988","16-34 y.","lower secondary degree","58","0.0354474589934867","0.0261942811271496","0.0447006368598238"
"Low transfer dependency","1988","16-34 y.","secondary school degree","25","","",""
"Low transfer dependency","1988","16-34 y.","college entrance qualification","18","","",""
"Low transfer dependency","1988","16-34 y.","Other degree","14","","",""
"Low transfer dependency","1988","16-34 y.","no degree/no degree yet","19","","",""
"Low transfer dependency","1988","35-65 y.","lower secondary degree","63","0.0252264175429175","0.0191720253964453","0.0312808096893897"
"Low transfer dependency","1988","35-65 y.","secondary school degree","10","","",""
"Low transfer dependency","1988","35-65 y.","college entrance qualification","9","","",""
"Low transfer dependency","1988","35-65 y.","Other degree","31","0.0483003578748148","0.0331469592323835","0.0634537565172461"
"Low transfer dependency","1988","35-65 y.","no degree/no degree yet","43","0.086330956426114","0.0627734400798066","0.109888472772421"
"Low transfer dependency","1988","66 and older","lower secondary degree","4","","",""
"Low transfer dependency","1988","66 and older","secondary school degree","1","","",""
"Low transfer dependency","1988","66 and older","college entrance qualification","","","",""
"Low transfer dependency","1988","66 and older","Other degree","","","",""
"Low transfer dependency","1988","66 and older","no degree/no degree yet","","","",""
"High transfer dependency","1988","16-34 y.","lower secondary degree","21","","",""
"High transfer dependency","1988","16-34 y.","secondary school degree","9","","",""
"High transfer dependency","1988","16-34 y.","college entrance qualification","7","","",""
"High transfer dependency","1988","16-34 y.","Other degree","1","","",""
"High transfer dependency","1988","16-34 y.","no degree/no degree yet","1","","",""
"High transfer dependency","1988","35-65 y.","lower secondary degree","20","","",""
"High transfer dependency","1988","35-65 y.","secondary school degree","1","","",""
"High transfer dependency","1988","35-65 y.","college entrance qualification","2","","",""
"High transfer dependency","1988","35-65 y.","Other degree","12","","",""
"High transfer dependency","1988","35-65 y.","no degree/no degree yet","6","","",""
"High transfer dependency","1988","66 and older","lower secondary degree","3","","",""
"High transfer dependency","1988","66 and older","secondary school degree","","","",""
"High transfer dependency","1988","66 and older","college entrance qualification","","","",""
"High transfer dependency","1988","66 and older","Other degree","1","","",""
"High transfer dependency","1988","66 and older","no degree/no degree yet","1","","",""
"Very high transfer dependency","1988","16-34 y.","lower secondary degree","27","","",""
"Very high transfer dependency","1988","16-34 y.","secondary school degree","9","","",""
"Very high transfer dependency","1988","16-34 y.","college entrance qualification","5","","",""
"Very high transfer dependency","1988","16-34 y.","Other degree","10","","",""
"Very high transfer dependency","1988","16-34 y.","no degree/no degree yet","12","","",""
"Very high transfer dependency","1988","35-65 y.","lower secondary degree","50","0.0257909886428831","0.019670995323403","0.0319109819623632"
"Very high transfer dependency","1988","35-65 y.","secondary school degree","3","","",""
"Very high transfer dependency","1988","35-65 y.","college entrance qualification","1","","",""
"Very high transfer dependency","1988","35-65 y.","Other degree","15","","",""
"Very high transfer dependency","1988","35-65 y.","no degree/no degree yet","14","","",""
"Very high transfer dependency","1988","66 and older","lower secondary degree","4","","",""
"Very high transfer dependency","1988","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1988","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","1988","66 and older","Other degree","","","",""
"Very high transfer dependency","1988","66 and older","no degree/no degree yet","","","",""
"Very low transfer dependency","1989","16-34 y.","lower secondary degree","1374","0.936566446318655","0.924152799641691","0.948980092995619"
"Very low transfer dependency","1989","16-34 y.","secondary school degree","878","0.961489027387367","0.948979797922424","0.973998256852309"
"Very low transfer dependency","1989","16-34 y.","college entrance qualification","592","0.930262965162434","0.910373989292683","0.950151941032184"
"Very low transfer dependency","1989","16-34 y.","Other degree","230","0.867742623987055","0.825998702316543","0.909486545657566"
"Very low transfer dependency","1989","16-34 y.","no degree/no degree yet","303","0.874985921687871","0.839674668167137","0.910297175208606"
"Very low transfer dependency","1989","35-65 y.","lower secondary degree","2299","0.940968915383456","0.931588539543794","0.950349291223119"
"Very low transfer dependency","1989","35-65 y.","secondary school degree","622","0.974147686685455","0.961814320098643","0.986481053272268"
"Very low transfer dependency","1989","35-65 y.","college entrance qualification","474","0.980102584893077","0.967648591724453","0.992556578061701"
"Very low transfer dependency","1989","35-65 y.","Other degree","703","0.904976393897835","0.884263675166334","0.925689112629337"
"Very low transfer dependency","1989","35-65 y.","no degree/no degree yet","470","0.860782741167168","0.831283314897384","0.890282167436952"
"Very low transfer dependency","1989","66 and older","lower secondary degree","730","0.978432873888771","0.968008731520207","0.988857016257335"
"Very low transfer dependency","1989","66 and older","secondary school degree","167","1","1","1"
"Very low transfer dependency","1989","66 and older","college entrance qualification","89","0.997547048266626","0.987327350988032","1.00776674554522"
"Very low transfer dependency","1989","66 and older","Other degree","8","","",""
"Very low transfer dependency","1989","66 and older","no degree/no degree yet","14","","",""
"Low transfer dependency","1989","16-34 y.","lower secondary degree","63","0.0328845358075508","0.0238020321060856","0.041967039509016"
"Low transfer dependency","1989","16-34 y.","secondary school degree","13","","",""
"Low transfer dependency","1989","16-34 y.","college entrance qualification","23","","",""
"Low transfer dependency","1989","16-34 y.","Other degree","10","","",""
"Low transfer dependency","1989","16-34 y.","no degree/no degree yet","18","","",""
"Low transfer dependency","1989","35-65 y.","lower secondary degree","59","0.0235877713752776","0.0175475580184039","0.0296279847321512"
"Low transfer dependency","1989","35-65 y.","secondary school degree","7","","",""
"Low transfer dependency","1989","35-65 y.","college entrance qualification","9","","",""
"Low transfer dependency","1989","35-65 y.","Other degree","36","0.0442779725072903","0.0297480803993611","0.0588078646152195"
"Low transfer dependency","1989","35-65 y.","no degree/no degree yet","35","0.0824512619308242","0.0590125641304923","0.105889959731156"
"Low transfer dependency","1989","66 and older","lower secondary degree","9","","",""
"Low transfer dependency","1989","66 and older","secondary school degree","","","",""
"Low transfer dependency","1989","66 and older","college entrance qualification","1","","",""
"Low transfer dependency","1989","66 and older","Other degree","","","",""
"Low transfer dependency","1989","66 and older","no degree/no degree yet","1","","",""
"High transfer dependency","1989","16-34 y.","lower secondary degree","18","","",""
"High transfer dependency","1989","16-34 y.","secondary school degree","9","","",""
"High transfer dependency","1989","16-34 y.","college entrance qualification","12","","",""
"High transfer dependency","1989","16-34 y.","Other degree","3","","",""
"High transfer dependency","1989","16-34 y.","no degree/no degree yet","6","","",""
"High transfer dependency","1989","35-65 y.","lower secondary degree","20","","",""
"High transfer dependency","1989","35-65 y.","secondary school degree","4","","",""
"High transfer dependency","1989","35-65 y.","college entrance qualification","","","",""
"High transfer dependency","1989","35-65 y.","Other degree","12","","",""
"High transfer dependency","1989","35-65 y.","no degree/no degree yet","10","","",""
"High transfer dependency","1989","66 and older","lower secondary degree","4","","",""
"High transfer dependency","1989","66 and older","secondary school degree","","","",""
"High transfer dependency","1989","66 and older","college entrance qualification","","","",""
"High transfer dependency","1989","66 and older","Other degree","","","",""
"High transfer dependency","1989","66 and older","no degree/no degree yet","","","",""
"Very high transfer dependency","1989","16-34 y.","lower secondary degree","26","","",""
"Very high transfer dependency","1989","16-34 y.","secondary school degree","9","","",""
"Very high transfer dependency","1989","16-34 y.","college entrance qualification","3","","",""
"Very high transfer dependency","1989","16-34 y.","Other degree","10","","",""
"Very high transfer dependency","1989","16-34 y.","no degree/no degree yet","10","","",""
