"transab_cat2","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1984","(1a) inadequately completed","Male","10","","",""
"High transfer dependency","1984","(1a) inadequately completed","Female","7","","",""
"High transfer dependency","1984","(1b) general elementary school","Male","13","","",""
"High transfer dependency","1984","(1b) general elementary school","Female","31","0.0132446474198827","0.00824440358522556","0.0182448912545399"
"High transfer dependency","1984","(1c) basic vocational qualification","Male","16","","",""
"High transfer dependency","1984","(1c) basic vocational qualification","Female","13","","",""
"High transfer dependency","1984","(2b) intermediate general qualification","Male","","","",""
"High transfer dependency","1984","(2b) intermediate general qualification","Female","2","","",""
"High transfer dependency","1984","(2a) intermediate vocational","Male","3","","",""
"High transfer dependency","1984","(2a) intermediate vocational","Female","5","","",""
"High transfer dependency","1984","(2c_gen) general maturity certificate","Male","9","","",""
"High transfer dependency","1984","(2c_gen) general maturity certificate","Female","6","","",""
"High transfer dependency","1984","(2c_voc) vocational maturity certificate","Male","5","","",""
"High transfer dependency","1984","(2c_voc) vocational maturity certificate","Female","6","","",""
"High transfer dependency","1984","(3a) lower tertiary education","Male","","","",""
"High transfer dependency","1984","(3a) lower tertiary education","Female","","","",""
"High transfer dependency","1984","(3b) higher tertiary education","Male","3","","",""
"High transfer dependency","1984","(3b) higher tertiary education","Female","1","","",""
"Very high transfer dependency","1984","(0) in school","Male","1","","",""
"Very high transfer dependency","1984","(0) in school","Female","1","","",""
"Very high transfer dependency","1984","(1a) inadequately completed","Male","17","","",""
"Very high transfer dependency","1984","(1a) inadequately completed","Female","20","","",""
"Very high transfer dependency","1984","(1b) general elementary school","Male","25","","",""
"Very high transfer dependency","1984","(1b) general elementary school","Female","37","0.0178273095426284","0.0120396487916743","0.0236149702935824"
"Very high transfer dependency","1984","(1c) basic vocational qualification","Male","25","","",""
"Very high transfer dependency","1984","(1c) basic vocational qualification","Female","32","0.0192330628172356","0.0127536622619054","0.0257124633725657"
"Very high transfer dependency","1984","(2b) intermediate general qualification","Male","","","",""
"Very high transfer dependency","1984","(2b) intermediate general qualification","Female","6","","",""
"Very high transfer dependency","1984","(2a) intermediate vocational","Male","3","","",""
"Very high transfer dependency","1984","(2a) intermediate vocational","Female","10","","",""
"Very high transfer dependency","1984","(2c_gen) general maturity certificate","Male","6","","",""
"Very high transfer dependency","1984","(2c_gen) general maturity certificate","Female","11","","",""
"Very high transfer dependency","1984","(2c_voc) vocational maturity certificate","Male","8","","",""
"Very high transfer dependency","1984","(2c_voc) vocational maturity certificate","Female","4","","",""
"Very high transfer dependency","1984","(3a) lower tertiary education","Male","4","","",""
"Very high transfer dependency","1984","(3a) lower tertiary education","Female","1","","",""
"Very high transfer dependency","1984","(3b) higher tertiary education","Male","1","","",""
"Very high transfer dependency","1984","(3b) higher tertiary education","Female","2","","",""
"Very low transfer dependency","1985","(0) in school","Male","106","0.943891346182172","0.901271192988268","0.986511499376077"
"Very low transfer dependency","1985","(0) in school","Female","67","0.907360390343589","0.841744998615289","0.972975782071889"
"Very low transfer dependency","1985","(1a) inadequately completed","Male","359","0.884208935733361","0.852773352121332","0.91564451934539"
"Very low transfer dependency","1985","(1a) inadequately completed","Female","454","0.845867654964132","0.814468761949544","0.87726654797872"
"Very low transfer dependency","1985","(1b) general elementary school","Male","791","0.909763691394144","0.890735654972679","0.928791727815609"
"Very low transfer dependency","1985","(1b) general elementary school","Female","1634","0.935819246340995","0.924340263394883","0.947298229287108"
"Very low transfer dependency","1985","(1c) basic vocational qualification","Male","2162","0.958906125603748","0.950727460879541","0.967084790327955"
"Very low transfer dependency","1985","(1c) basic vocational qualification","Female","1473","0.943760426502815","0.932346296606304","0.955174556399325"
"Very low transfer dependency","1985","(2b) intermediate general qualification","Male","170","0.950724264732275","0.919016515024878","0.982432014439672"
"Very low transfer dependency","1985","(2b) intermediate general qualification","Female","273","0.949283559325725","0.924244993693979","0.974322124957471"
"Very low transfer dependency","1985","(2a) intermediate vocational","Male","563","0.980747719263027","0.969526072450466","0.991969366075587"
"Very low transfer dependency","1985","(2a) intermediate vocational","Female","740","0.96933564916793","0.957118458451288","0.981552839884571"
"Very low transfer dependency","1985","(2c_gen) general maturity certificate","Male","184","0.876356522232772","0.832150207948133","0.920562836517412"
"Very low transfer dependency","1985","(2c_gen) general maturity certificate","Female","141","0.899253314070228","0.852468389154696","0.94603823898576"
"Very low transfer dependency","1985","(2c_voc) vocational maturity certificate","Male","233","0.949244017355363","0.922035138868337","0.97645289584239"
"Very low transfer dependency","1985","(2c_voc) vocational maturity certificate","Female","144","0.882008365302298","0.832635523154883","0.931381207449712"
"Very low transfer dependency","1985","(3a) lower tertiary education","Male","172","0.9705454622111","0.945637080898478","0.995453843523722"
"Very low transfer dependency","1985","(3a) lower tertiary education","Female","67","0.943916147657928","0.890397572431835","0.997434722884021"
"Very low transfer dependency","1985","(3b) higher tertiary education","Male","329","0.995163508240153","0.98772326207083","1.00260375440948"
"Very low transfer dependency","1985","(3b) higher tertiary education","Female","174","0.986373713212452","0.969245925773417","1.00350150065149"
"Low transfer dependency","1985","(0) in school","Male","4","","",""
"Low transfer dependency","1985","(0) in school","Female","4","","",""
"Low transfer dependency","1985","(1a) inadequately completed","Male","23","","",""
"Low transfer dependency","1985","(1a) inadequately completed","Female","31","0.0711352339886231","0.048782283211238","0.0934881847660081"
"Low transfer dependency","1985","(1b) general elementary school","Male","46","0.0423352228022723","0.0289632127134581","0.0557072328910864"
"Low transfer dependency","1985","(1b) general elementary school","Female","54","0.0284491994828234","0.0206621524065753","0.0362362465590714"
"Low transfer dependency","1985","(1c) basic vocational qualification","Male","60","0.0226033528954858","0.0164794588325978","0.0287272469583738"
"Low transfer dependency","1985","(1c) basic vocational qualification","Female","48","0.0260491990015806","0.0181577525047371","0.0339406454984241"
"Low transfer dependency","1985","(2b) intermediate general qualification","Male","3","","",""
"Low transfer dependency","1985","(2b) intermediate general qualification","Female","12","","",""
"Low transfer dependency","1985","(2a) intermediate vocational","Male","7","","",""
"Low transfer dependency","1985","(2a) intermediate vocational","Female","12","","",""
"Low transfer dependency","1985","(2c_gen) general maturity certificate","Male","9","","",""
"Low transfer dependency","1985","(2c_gen) general maturity certificate","Female","4","","",""
"Low transfer dependency","1985","(2c_voc) vocational maturity certificate","Male","10","","",""
"Low transfer dependency","1985","(2c_voc) vocational maturity certificate","Female","9","","",""
"Low transfer dependency","1985","(3a) lower tertiary education","Male","2","","",""
"Low transfer dependency","1985","(3a) lower tertiary education","Female","2","","",""
"Low transfer dependency","1985","(3b) higher tertiary education","Male","5","","",""
"Low transfer dependency","1985","(3b) higher tertiary education","Female","1","","",""
"High transfer dependency","1985","(0) in school","Male","1","","",""
"High transfer dependency","1985","(0) in school","Female","1","","",""
"High transfer dependency","1985","(1a) inadequately completed","Male","5","","",""
"High transfer dependency","1985","(1a) inadequately completed","Female","6","","",""
"High transfer dependency","1985","(1b) general elementary school","Male","9","","",""
"High transfer dependency","1985","(1b) general elementary school","Female","26","","",""
"High transfer dependency","1985","(1c) basic vocational qualification","Male","19","","",""
"High transfer dependency","1985","(1c) basic vocational qualification","Female","18","","",""
"High transfer dependency","1985","(2b) intermediate general qualification","Male","5","","",""
"High transfer dependency","1985","(2b) intermediate general qualification","Female","4","","",""
"High transfer dependency","1985","(2a) intermediate vocational","Male","1","","",""
"High transfer dependency","1985","(2a) intermediate vocational","Female","3","","",""
"High transfer dependency","1985","(2c_gen) general maturity certificate","Male","12","","",""
"High transfer dependency","1985","(2c_gen) general maturity certificate","Female","8","","",""
"High transfer dependency","1985","(2c_voc) vocational maturity certificate","Male","5","","",""
"High transfer dependency","1985","(2c_voc) vocational maturity certificate","Female","6","","",""
"High transfer dependency","1985","(3a) lower tertiary education","Male","2","","",""
"High transfer dependency","1985","(3a) lower tertiary education","Female","1","","",""
"High transfer dependency","1985","(3b) higher tertiary education","Male","","","",""
"High transfer dependency","1985","(3b) higher tertiary education","Female","1","","",""
"Very high transfer dependency","1985","(0) in school","Male","1","","",""
"Very high transfer dependency","1985","(0) in school","Female","3","","",""
"Very high transfer dependency","1985","(1a) inadequately completed","Male","11","","",""
"Very high transfer dependency","1985","(1a) inadequately completed","Female","17","","",""
"Very high transfer dependency","1985","(1b) general elementary school","Male","25","","",""
"Very high transfer dependency","1985","(1b) general elementary school","Female","37","0.0215116502800576","0.0147161769559776","0.0283071236041377"
"Very high transfer dependency","1985","(1c) basic vocational qualification","Male","22","","",""
"Very high transfer dependency","1985","(1c) basic vocational qualification","Female","26","","",""
"Very high transfer dependency","1985","(2b) intermediate general qualification","Male","1","","",""
"Very high transfer dependency","1985","(2b) intermediate general qualification","Female","6","","",""
"Very high transfer dependency","1985","(2a) intermediate vocational","Male","5","","",""
"Very high transfer dependency","1985","(2a) intermediate vocational","Female","10","","",""
"Very high transfer dependency","1985","(2c_gen) general maturity certificate","Male","8","","",""
"Very high transfer dependency","1985","(2c_gen) general maturity certificate","Female","6","","",""
"Very high transfer dependency","1985","(2c_voc) vocational maturity certificate","Male","2","","",""
"Very high transfer dependency","1985","(2c_voc) vocational maturity certificate","Female","5","","",""
"Very high transfer dependency","1985","(3a) lower tertiary education","Male","1","","",""
"Very high transfer dependency","1985","(3a) lower tertiary education","Female","1","","",""
"Very high transfer dependency","1985","(3b) higher tertiary education","Male","","","",""
"Very high transfer dependency","1985","(3b) higher tertiary education","Female","","","",""
"Very low transfer dependency","1986","(0) in school","Male","112","0.972137441370762","0.942057741159373","1.00221714158215"
"Very low transfer dependency","1986","(0) in school","Female","68","0.920008812952999","0.857778250598039","0.982239375307958"
"Very low transfer dependency","1986","(1a) inadequately completed","Male","328","0.897557696211263","0.866743738871915","0.92837165355061"
"Very low transfer dependency","1986","(1a) inadequately completed","Female","417","0.840169389727667","0.807214892333529","0.873123887121805"
"Very low transfer dependency","1986","(1b) general elementary school","Male","784","0.921988363722085","0.903895001349987","0.940081726094183"
"Very low transfer dependency","1986","(1b) general elementary school","Female","1517","0.937911597327647","0.926167791484048","0.949655403171247"
"Very low transfer dependency","1986","(1c) basic vocational qualification","Male","2034","0.951920748922997","0.942839747693078","0.961001750152916"
"Very low transfer dependency","1986","(1c) basic vocational qualification","Female","1423","0.953973340726251","0.943326531518831","0.964620149933672"
"Very low transfer dependency","1986","(2b) intermediate general qualification","Male","169","0.960372785628717","0.931551825031027","0.989193746226407"
"Very low transfer dependency","1986","(2b) intermediate general qualification","Female","268","0.947446488972781","0.921630702755082","0.973262275190479"
"Very low transfer dependency","1986","(2a) intermediate vocational","Male","547","0.970736651709072","0.956802111115119","0.984671192303025"
"Very low transfer dependency","1986","(2a) intermediate vocational","Female","717","0.962596402611957","0.948971018364202","0.976221786859712"
"Very low transfer dependency","1986","(2c_gen) general maturity certificate","Male","206","0.885141546686025","0.844112451129291","0.926170642242759"
"Very low transfer dependency","1986","(2c_gen) general maturity certificate","Female","155","0.908309160129203","0.865054803343595","0.951563516914811"
"Very low transfer dependency","1986","(2c_voc) vocational maturity certificate","Male","224","0.935676156829127","0.90470279518751","0.966649518470745"
"Very low transfer dependency","1986","(2c_voc) vocational maturity certificate","Female","150","0.889297427163088","0.842131757446173","0.936463096880004"
"Very low transfer dependency","1986","(3a) lower tertiary education","Male","168","0.944640580142481","0.910855821449178","0.978425338835784"
"Very low transfer dependency","1986","(3a) lower tertiary education","Female","68","0.951958389825958","0.901860800150906","1.00205597950101"
"Very low transfer dependency","1986","(3b) higher tertiary education","Male","322","0.993744906073907","0.985199580966338","1.00229023118148"
"Very low transfer dependency","1986","(3b) higher tertiary education","Female","168","0.952967097404585","0.921510386517445","0.984423808291725"
"Low transfer dependency","1986","(0) in school","Male","1","","",""
"Low transfer dependency","1986","(0) in school","Female","2","","",""
"Low transfer dependency","1986","(1a) inadequately completed","Male","24","","",""
"Low transfer dependency","1986","(1a) inadequately completed","Female","34","0.0702846646230202","0.047296379664859","0.0932729495811814"
"Low transfer dependency","1986","(1b) general elementary school","Male","30","0.0324081276134562","0.0204613729906456","0.0443548822362667"
"Low transfer dependency","1986","(1b) general elementary school","Female","44","0.0248276956736085","0.0172553304552452","0.0324000608919719"
"Low transfer dependency","1986","(1c) basic vocational qualification","Male","60","0.0276668092479266","0.0207046879729041","0.0346289305229491"
"Low transfer dependency","1986","(1c) basic vocational qualification","Female","34","0.0222014478304853","0.0147152384624677","0.0296876571985029"
"Low transfer dependency","1986","(2b) intermediate general qualification","Male","5","","",""
"Low transfer dependency","1986","(2b) intermediate general qualification","Female","11","","",""
"Low transfer dependency","1986","(2a) intermediate vocational","Male","11","","",""
"Low transfer dependency","1986","(2a) intermediate vocational","Female","18","","",""
"Low transfer dependency","1986","(2c_gen) general maturity certificate","Male","12","","",""
"Low transfer dependency","1986","(2c_gen) general maturity certificate","Female","3","","",""
"Low transfer dependency","1986","(2c_voc) vocational maturity certificate","Male","10","","",""
"Low transfer dependency","1986","(2c_voc) vocational maturity certificate","Female","10","","",""
"Low transfer dependency","1986","(3a) lower tertiary education","Male","6","","",""
"Low transfer dependency","1986","(3a) lower tertiary education","Female","","","",""
"Low transfer dependency","1986","(3b) higher tertiary education","Male","2","","",""
"Low transfer dependency","1986","(3b) higher tertiary education","Female","2","","",""
"High transfer dependency","1986","(0) in school","Male","1","","",""
"High transfer dependency","1986","(0) in school","Female","1","","",""
"High transfer dependency","1986","(1a) inadequately completed","Male","8","","",""
"High transfer dependency","1986","(1a) inadequately completed","Female","11","","",""
"High transfer dependency","1986","(1b) general elementary school","Male","11","","",""
"High transfer dependency","1986","(1b) general elementary school","Female","26","","",""
"High transfer dependency","1986","(1c) basic vocational qualification","Male","20","","",""
"High transfer dependency","1986","(1c) basic vocational qualification","Female","12","","",""
"High transfer dependency","1986","(2b) intermediate general qualification","Male","1","","",""
"High transfer dependency","1986","(2b) intermediate general qualification","Female","5","","",""
"High transfer dependency","1986","(2a) intermediate vocational","Male","2","","",""
"High transfer dependency","1986","(2a) intermediate vocational","Female","4","","",""
"High transfer dependency","1986","(2c_gen) general maturity certificate","Male","5","","",""
"High transfer dependency","1986","(2c_gen) general maturity certificate","Female","3","","",""
"High transfer dependency","1986","(2c_voc) vocational maturity certificate","Male","3","","",""
"High transfer dependency","1986","(2c_voc) vocational maturity certificate","Female","5","","",""
"High transfer dependency","1986","(3a) lower tertiary education","Male","","","",""
"High transfer dependency","1986","(3a) lower tertiary education","Female","","","",""
"High transfer dependency","1986","(3b) higher tertiary education","Male","1","","",""
"High transfer dependency","1986","(3b) higher tertiary education","Female","2","","",""
"Very high transfer dependency","1986","(0) in school","Male","1","","",""
"Very high transfer dependency","1986","(0) in school","Female","2","","",""
"Very high transfer dependency","1986","(1a) inadequately completed","Male","12","","",""
"Very high transfer dependency","1986","(1a) inadequately completed","Female","13","","",""
"Very high transfer dependency","1986","(1b) general elementary school","Male","19","","",""
"Very high transfer dependency","1986","(1b) general elementary school","Female","35","0.0211327603166089","0.0141333302817321","0.0281321903514857"
"Very high transfer dependency","1986","(1c) basic vocational qualification","Male","18","","",""
"Very high transfer dependency","1986","(1c) basic vocational qualification","Female","19","","",""
"Very high transfer dependency","1986","(2b) intermediate general qualification","Male","1","","",""
"Very high transfer dependency","1986","(2b) intermediate general qualification","Female","3","","",""
"Very high transfer dependency","1986","(2a) intermediate vocational","Male","2","","",""
"Very high transfer dependency","1986","(2a) intermediate vocational","Female","6","","",""
"Very high transfer dependency","1986","(2c_gen) general maturity certificate","Male","9","","",""
"Very high transfer dependency","1986","(2c_gen) general maturity certificate","Female","10","","",""
"Very high transfer dependency","1986","(2c_voc) vocational maturity certificate","Male","4","","",""
"Very high transfer dependency","1986","(2c_voc) vocational maturity certificate","Female","5","","",""
"Very high transfer dependency","1986","(3a) lower tertiary education","Male","2","","",""
"Very high transfer dependency","1986","(3a) lower tertiary education","Female","2","","",""
"Very high transfer dependency","1986","(3b) higher tertiary education","Male","2","","",""
"Very high transfer dependency","1986","(3b) higher tertiary education","Female","2","","",""
"Very low transfer dependency","1987","(0) in school","Male","98","0.97865870276512","0.950474001070543","1.0068434044597"
"Very low transfer dependency","1987","(0) in school","Female","79","0.903370542891753","0.841640797284225","0.965100288499281"
"Very low transfer dependency","1987","(1a) inadequately completed","Male","323","0.89956348882619","0.868427096062027","0.930699881590352"
"Very low transfer dependency","1987","(1a) inadequately completed","Female","415","0.872362281617975","0.841901882866815","0.902822680369134"
"Very low transfer dependency","1987","(1b) general elementary school","Male","781","0.917906821287413","0.899409205937218","0.936404436637607"
"Very low transfer dependency","1987","(1b) general elementary school","Female","1488","0.936221504340727","0.92424444225041","0.948198566431045"
"Very low transfer dependency","1987","(1c) basic vocational qualification","Male","2021","0.956292182823445","0.947570930812874","0.965013434834016"
"Very low transfer dependency","1987","(1c) basic vocational qualification","Female","1396","0.944906972327899","0.933251307969848","0.956562636685949"
"Very low transfer dependency","1987","(2b) intermediate general qualification","Male","165","0.963192506430751","0.935053514328517","0.991331498532985"
"Very low transfer dependency","1987","(2b) intermediate general qualification","Female","244","0.946125108374582","0.918734900636955","0.973515316112209"
"Very low transfer dependency","1987","(2a) intermediate vocational","Male","555","0.970292447256148","0.956415340397309","0.984169554114987"
"Very low transfer dependency","1987","(2a) intermediate vocational","Female","733","0.972610031994419","0.960967706151063","0.984252357837775"
"Very low transfer dependency","1987","(2c_gen) general maturity certificate","Male","205","0.905969626843433","0.868000897687558","0.943938355999308"
"Very low transfer dependency","1987","(2c_gen) general maturity certificate","Female","141","0.923015597355548","0.880777118672106","0.96525407603899"
"Very low transfer dependency","1987","(2c_voc) vocational maturity certificate","Male","216","0.937300739282959","0.90597113836058","0.968630340205338"
"Very low transfer dependency","1987","(2c_voc) vocational maturity certificate","Female","166","0.95739426381342","0.927471030819582","0.987317496807258"
"Very low transfer dependency","1987","(3a) lower tertiary education","Male","169","0.961549961128489","0.933061867658522","0.990038054598455"
"Very low transfer dependency","1987","(3a) lower tertiary education","Female","71","0.966100165781134","0.92458597981383","1.00761435174844"
"Very low transfer dependency","1987","(3b) higher tertiary education","Male","311","0.967098079612665","0.947553830664686","0.986642328560643"
"Very low transfer dependency","1987","(3b) higher tertiary education","Female","167","0.940837142503747","0.905882017089815","0.975792267917679"
"Low transfer dependency","1987","(0) in school","Male","1","","",""
"Low transfer dependency","1987","(0) in school","Female","7","","",""
"Low transfer dependency","1987","(1a) inadequately completed","Male","17","","",""
"Low transfer dependency","1987","(1a) inadequately completed","Female","21","","",""
"Low transfer dependency","1987","(1b) general elementary school","Male","44","0.0492493642462709","0.0346680544862022","0.0638306740063396"
"Low transfer dependency","1987","(1b) general elementary school","Female","63","0.0351934413900461","0.0261616301835533","0.0442252525965389"
"Low transfer dependency","1987","(1c) basic vocational qualification","Male","50","0.0230151102243689","0.016618433138781","0.0294117873099568"
"Low transfer dependency","1987","(1c) basic vocational qualification","Female","48","0.0323873410626262","0.0233439230816551","0.0414307590435974"
"Low transfer dependency","1987","(2b) intermediate general qualification","Male","3","","",""
"Low transfer dependency","1987","(2b) intermediate general qualification","Female","9","","",""
"Low transfer dependency","1987","(2a) intermediate vocational","Male","10","","",""
"Low transfer dependency","1987","(2a) intermediate vocational","Female","16","","",""
"Low transfer dependency","1987","(2c_gen) general maturity certificate","Male","11","","",""
"Low transfer dependency","1987","(2c_gen) general maturity certificate","Female","4","","",""
"Low transfer dependency","1987","(2c_voc) vocational maturity certificate","Male","7","","",""
"Low transfer dependency","1987","(2c_voc) vocational maturity certificate","Female","4","","",""
"Low transfer dependency","1987","(3a) lower tertiary education","Male","4","","",""
"Low transfer dependency","1987","(3a) lower tertiary education","Female","","","",""
"Low transfer dependency","1987","(3b) higher tertiary education","Male","7","","",""
"Low transfer dependency","1987","(3b) higher tertiary education","Female","5","","",""
"High transfer dependency","1987","(0) in school","Male","2","","",""
"High transfer dependency","1987","(0) in school","Female","1","","",""
"High transfer dependency","1987","(1a) inadequately completed","Male","8","","",""
"High transfer dependency","1987","(1a) inadequately completed","Female","13","","",""
"High transfer dependency","1987","(1b) general elementary school","Male","13","","",""
"High transfer dependency","1987","(1b) general elementary school","Female","14","","",""
"High transfer dependency","1987","(1c) basic vocational qualification","Male","18","","",""
"High transfer dependency","1987","(1c) basic vocational qualification","Female","11","","",""
"High transfer dependency","1987","(2b) intermediate general qualification","Male","1","","",""
"High transfer dependency","1987","(2b) intermediate general qualification","Female","3","","",""
"High transfer dependency","1987","(2a) intermediate vocational","Male","5","","",""
"High transfer dependency","1987","(2a) intermediate vocational","Female","4","","",""
"High transfer dependency","1987","(2c_gen) general maturity certificate","Male","4","","",""
"High transfer dependency","1987","(2c_gen) general maturity certificate","Female","3","","",""
"High transfer dependency","1987","(2c_voc) vocational maturity certificate","Male","3","","",""
"High transfer dependency","1987","(2c_voc) vocational maturity certificate","Female","5","","",""
"High transfer dependency","1987","(3a) lower tertiary education","Male","1","","",""
"High transfer dependency","1987","(3a) lower tertiary education","Female","1","","",""
"High transfer dependency","1987","(3b) higher tertiary education","Male","","","",""
"High transfer dependency","1987","(3b) higher tertiary education","Female","","","",""
"Very high transfer dependency","1987","(0) in school","Male","","","",""
"Very high transfer dependency","1987","(0) in school","Female","1","","",""
"Very high transfer dependency","1987","(1a) inadequately completed","Male","10","","",""
"Very high transfer dependency","1987","(1a) inadequately completed","Female","12","","",""
"Very high transfer dependency","1987","(1b) general elementary school","Male","8","","",""
"Very high transfer dependency","1987","(1b) general elementary school","Female","34","0.0202030496724333","0.0133070002290757","0.027099099115791"
"Very high transfer dependency","1987","(1c) basic vocational qualification","Male","22","","",""
"Very high transfer dependency","1987","(1c) basic vocational qualification","Female","17","","",""
"Very high transfer dependency","1987","(2b) intermediate general qualification","Male","3","","",""
"Very high transfer dependency","1987","(2b) intermediate general qualification","Female","5","","",""
"Very high transfer dependency","1987","(2a) intermediate vocational","Male","5","","",""
"Very high transfer dependency","1987","(2a) intermediate vocational","Female","2","","",""
"Very high transfer dependency","1987","(2c_gen) general maturity certificate","Male","7","","",""
"Very high transfer dependency","1987","(2c_gen) general maturity certificate","Female","5","","",""
"Very high transfer dependency","1987","(2c_voc) vocational maturity certificate","Male","4","","",""
"Very high transfer dependency","1987","(2c_voc) vocational maturity certificate","Female","","","",""
"Very high transfer dependency","1987","(3a) lower tertiary education","Male","1","","",""
"Very high transfer dependency","1987","(3a) lower tertiary education","Female","1","","",""
"Very high transfer dependency","1987","(3b) higher tertiary education","Male","2","","",""
"Very high transfer dependency","1987","(3b) higher tertiary education","Female","3","","",""
"Very low transfer dependency","1988","(0) in school","Male","81","0.883246938878967","0.816902878930719","0.949590998827215"
"Very low transfer dependency","1988","(0) in school","Female","70","0.965300651050662","0.923317152741672","1.00728414935965"
"Very low transfer dependency","1988","(1a) inadequately completed","Male","279","0.872449883524414","0.835375104536095","0.909524662512733"
"Very low transfer dependency","1988","(1a) inadequately completed","Female","383","0.827029956932645","0.79156875596509","0.8624911579002"
"Very low transfer dependency","1988","(1b) general elementary school","Male","759","0.910819256333783","0.891464966651792","0.930173546015774"
"Very low transfer dependency","1988","(1b) general elementary school","Female","1394","0.936959427184419","0.924648021034663","0.949270833334175"
"Very low transfer dependency","1988","(1c) basic vocational qualification","Male","1932","0.962459676711574","0.954139526283825","0.970779827139323"
"Very low transfer dependency","1988","(1c) basic vocational qualification","Female","1351","0.946699397539066","0.934995190907602","0.95840360417053"
"Very low transfer dependency","1988","(2b) intermediate general qualification","Male","149","0.970731191139642","0.944109248272781","0.997353134006503"
"Very low transfer dependency","1988","(2b) intermediate general qualification","Female","253","0.920030775399984","0.887795880469425","0.952265670330543"
"Very low transfer dependency","1988","(2a) intermediate vocational","Male","532","0.987185019449817","0.977715963087507","0.996654075812127"
