"transab_cat2","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1987","35-65 y.","Not Employed","73","0.0402871351579025","0.0306853016358333","0.0498889686799717","1"
"Low transfer dependency","1987","66 and older","Not Employed","14","","","","1"
"Low transfer dependency","1987","66 and older","Employed","","","","","1"
"Very high transfer dependency","1987","16-34 y.","Not Employed","58","0.0687696689118011","0.0539820294663916","0.0835573083572106","3"
"Very high transfer dependency","1987","16-34 y.","Employed","10","","","","3"
"Very high transfer dependency","1987","35-65 y.","Not Employed","72","0.0479141455368042","0.0374844831337455","0.058343807939863","3"
"Very high transfer dependency","1987","66 and older","Not Employed","2","","","","3"
"Very high transfer dependency","1987","35-65 y.","Employed","3","","","","3"
"Very high transfer dependency","1987","66 and older","Employed","","","","","3"
"Very low transfer dependency","1987","16-34 y.","Not Employed","969","0.84708502163892","0.826054001228968","0.868116042048872","0"
"Very low transfer dependency","1987","16-34 y.","Employed","2770","0.95626484775921","0.948821753668358","0.963707941850062","0"
"Very low transfer dependency","1987","35-65 y.","Not Employed","1424","0.892733757450195","0.877622770399297","0.907844744501093","0"
"Very low transfer dependency","1987","35-65 y.","Employed","3653","0.972809444670885","0.967610956063926","0.978007933277844","0"
"Very low transfer dependency","1987","66 and older","Not Employed","1020","0.979044366973391","0.970339081849289","0.987749652097493","0"
"Very low transfer dependency","1987","66 and older","Employed","44","1","1","1","0"
"High transfer dependency","1988","16-34 y.","Not Employed","21","","","","2"
"High transfer dependency","1988","16-34 y.","Employed","18","","","","2"
"High transfer dependency","1988","35-65 y.","Not Employed","25","","","","2"
"High transfer dependency","1988","35-65 y.","Employed","16","","","","2"
"High transfer dependency","1988","66 and older","Not Employed","5","","","","2"
"High transfer dependency","1988","66 and older","Employed","","","","","2"
"Low transfer dependency","1988","16-34 y.","Not Employed","58","0.048319618853757","0.0353117799465016","0.0613274577610124","1"
"Low transfer dependency","1988","16-34 y.","Employed","83","0.0287857441228226","0.022572537696488","0.0349989505491572","1"
"Low transfer dependency","1988","35-65 y.","Employed","76","0.0193888309164961","0.0148820911742739","0.0238955706587183","1"
"Low transfer dependency","1988","35-65 y.","Not Employed","81","0.0418079811747871","0.0316724139771228","0.0519435483724513","1"
"Low transfer dependency","1988","66 and older","Not Employed","5","","","","1"
"Low transfer dependency","1988","66 and older","Employed","","","","","1"
"Very high transfer dependency","1988","16-34 y.","Not Employed","57","0.058966728677708","0.0446776624712078","0.0732557948842082","3"
"Very high transfer dependency","1988","16-34 y.","Employed","9","","","","3"
"Very high transfer dependency","1988","35-65 y.","Not Employed","79","0.0592385294068695","0.0472839560912929","0.0711931027224461","3"
"Very high transfer dependency","1988","35-65 y.","Employed","7","","","","3"
"Very high transfer dependency","1988","66 and older","Not Employed","4","","","","3"
"Very high transfer dependency","1988","66 and older","Employed","","","","","3"
"Very low transfer dependency","1988","16-34 y.","Not Employed","908","0.869808966004028","0.849396272258283","0.890221659749774","0"
"Very low transfer dependency","1988","16-34 y.","Employed","2672","0.961465021351008","0.9543124230693","0.968617619632717","0"
"Very low transfer dependency","1988","35-65 y.","Not Employed","1313","0.883685551610453","0.867450342221462","0.899920760999444","0"
"Very low transfer dependency","1988","35-65 y.","Employed","3497","0.973862382023547","0.968647793461132","0.979076970585962","0"
"Very low transfer dependency","1988","66 and older","Not Employed","993","0.986309234948446","0.979132056171049","0.993486413725844","0"
"Very low transfer dependency","1988","66 and older","Employed","48","1","1","1","0"
"High transfer dependency","1989","16-34 y.","Employed","24","","","","2"
"High transfer dependency","1989","16-34 y.","Not Employed","28","","","","2"
"High transfer dependency","1989","35-65 y.","Employed","20","","","","2"
"High transfer dependency","1989","35-65 y.","Not Employed","26","","","","2"
"High transfer dependency","1989","66 and older","Not Employed","4","","","","2"
"High transfer dependency","1989","66 and older","Employed","","","","","2"
"Low transfer dependency","1989","16-34 y.","Employed","80","0.0241160082227675","0.0183750155068626","0.0298570009386725","1"
"Low transfer dependency","1989","16-34 y.","Not Employed","52","0.0403819859014061","0.0282114950968254","0.0525524767059867","1"
"Low transfer dependency","1989","35-65 y.","Employed","73","0.017989578853586","0.013558292957478","0.022420864749694","1"
"Low transfer dependency","1989","35-65 y.","Not Employed","74","0.0379267767809505","0.0280538553819746","0.0477996981799263","1"
"Low transfer dependency","1989","66 and older","Not Employed","11","","","","1"
"Low transfer dependency","1989","66 and older","Employed","","","","","1"
"Very high transfer dependency","1989","16-34 y.","Not Employed","56","0.0741948183057254","0.0579912131627695","0.0903984234486812","3"
"Very high transfer dependency","1989","16-34 y.","Employed","4","","","","3"
"Very high transfer dependency","1989","66 and older","Not Employed","3","","","","3"
"Very high transfer dependency","1989","35-65 y.","Not Employed","79","0.0598515320585899","0.0475911358471573","0.0721119282700225","3"
"Very high transfer dependency","1989","35-65 y.","Employed","6","","","","3"
"Very high transfer dependency","1989","66 and older","Employed","","","","","3"
"Very low transfer dependency","1989","16-34 y.","Not Employed","869","0.849789625418588","0.82770089590619","0.871878354930987","0"
"Very low transfer dependency","1989","16-34 y.","Employed","2635","0.964073728833552","0.957109125550779","0.971038332116326","0"
"Very low transfer dependency","1989","35-65 y.","Not Employed","1259","0.891386212741031","0.875304063688264","0.907468361793798","0"
"Very low transfer dependency","1989","35-65 y.","Employed","3357","0.972786851394531","0.967362354477873","0.978211348311188","0"
"Very low transfer dependency","1989","66 and older","Not Employed","963","0.98324344146308","0.975211204164913","0.991275678761247","0"
"Very low transfer dependency","1989","66 and older","Employed","47","1","1","1","0"
"High transfer dependency","1990","16-34 y.","Not Employed","19","","","","2"
"High transfer dependency","1990","16-34 y.","Employed","23","","","","2"
"High transfer dependency","1990","35-65 y.","Employed","22","","","","2"
"High transfer dependency","1990","35-65 y.","Not Employed","27","","","","2"
"High transfer dependency","1990","66 and older","Not Employed","8","","","","2"
"High transfer dependency","1990","66 and older","Employed","","","","","2"
"Low transfer dependency","1990","16-34 y.","Not Employed","54","0.0643406038192355","0.0483374465345619","0.0803437611039091","1"
"Low transfer dependency","1990","16-34 y.","Employed","71","0.0236443330520383","0.0179427760870794","0.0293458900169971","1"
"Low transfer dependency","1990","35-65 y.","Not Employed","58","0.0292564494717794","0.0204287581276645","0.0380841408158943","1"
"Low transfer dependency","1990","35-65 y.","Employed","52","0.0139606254292066","0.01000289291982","0.0179183579385932","1"
"Low transfer dependency","1990","66 and older","Not Employed","12","","","","1"
"Low transfer dependency","1990","66 and older","Employed","","","","","1"
"Very high transfer dependency","1990","16-34 y.","Not Employed","34","0.0402614456456815","0.0274403432401953","0.0530825480511677","3"
"Very high transfer dependency","1990","16-34 y.","Employed","10","","","","3"
"Very high transfer dependency","1990","35-65 y.","Not Employed","71","0.051083867667565","0.0395509318851262","0.0626168034500038","3"
"Very high transfer dependency","1990","66 and older","Not Employed","1","","","","3"
"Very high transfer dependency","1990","35-65 y.","Employed","1","","","","3"
"Very high transfer dependency","1990","66 and older","Employed","","","","","3"
"Very low transfer dependency","1990","16-34 y.","Not Employed","796","0.870522581479893","0.848625246987027","0.892419915972759","0"
"Very low transfer dependency","1990","16-34 y.","Employed","2624","0.962481657952453","0.955350764322672","0.969612551582234","0"
"Very low transfer dependency","1990","35-65 y.","Not Employed","1244","0.905022173618084","0.889664522542168","0.920379824694","0"
"Very low transfer dependency","1990","35-65 y.","Employed","3301","0.978644653880453","0.973768103746505","0.983521204014401","0"
"Very low transfer dependency","1990","66 and older","Not Employed","993","0.983920954302063","0.976179200552221","0.991662708051904","0"
"Very low transfer dependency","1990","66 and older","Employed","44","1","1","1","0"
"High transfer dependency","1991","16-34 y.","Employed","23","","","","2"
"High transfer dependency","1991","16-34 y.","Not Employed","16","","","","2"
"High transfer dependency","1991","35-65 y.","Employed","12","","","","2"
"High transfer dependency","1991","35-65 y.","Not Employed","32","0.02114969137165","0.0134053143592621","0.0288940683840378","2"
"High transfer dependency","1991","66 and older","Not Employed","8","","","","2"
"High transfer dependency","1991","66 and older","Employed","","","","","2"
"Low transfer dependency","1991","16-34 y.","Employed","72","0.023236395625221","0.0175664046984659","0.0289063865519761","1"
"Low transfer dependency","1991","16-34 y.","Not Employed","61","0.0796807300554474","0.0619196949934452","0.0974417651174496","1"
"Low transfer dependency","1991","35-65 y.","Not Employed","69","0.0395631784561451","0.0290712259162707","0.0500551309960195","1"
"Low transfer dependency","1991","35-65 y.","Employed","66","0.0173369603188816","0.0129663387963595","0.0217075818414037","1"
"Low transfer dependency","1991","66 and older","Not Employed","11","","","","1"
"Low transfer dependency","1991","66 and older","Employed","1","","","","1"
"Very high transfer dependency","1991","16-34 y.","Not Employed","47","0.062382207603671","0.0465199261552525","0.0782444890520895","3"
"Very high transfer dependency","1991","16-34 y.","Employed","6","","","","3"
"Very high transfer dependency","1991","66 and older","Not Employed","2","","","","3"
"Very high transfer dependency","1991","35-65 y.","Not Employed","53","0.0444069456087655","0.0333193271570587","0.0554945640604723","3"
"Very high transfer dependency","1991","35-65 y.","Employed","3","","","","3"
"Very high transfer dependency","1991","66 and older","Employed","","","","","3"
"Very low transfer dependency","1991","16-34 y.","Not Employed","769","0.838995134084259","0.814889332176125","0.863100935992393","0"
"Very low transfer dependency","1991","16-34 y.","Employed","2611","0.965849748569275","0.959014489390981","0.972685007747569","0"
"Very low transfer dependency","1991","35-65 y.","Not Employed","1172","0.894880184563439","0.878371933330711","0.911388435796168","0"
"Very low transfer dependency","1991","35-65 y.","Employed","3345","0.978329025746352","0.973453335588439","0.983204715904265","0"
"Very low transfer dependency","1991","66 and older","Not Employed","1013","0.981952157241526","0.973837958602834","0.990066355880218","0"
"Very low transfer dependency","1991","66 and older","Employed","40","0.997860671902799","0.983718053825018","1.01200328998058","0"
"High transfer dependency","1992","16-34 y.","Not Employed","31","0.0339769122373373","0.0234509291655329","0.0445028953091418","2"
"High transfer dependency","1992","16-34 y.","Employed","45","0.014309083649782","0.0105483869978096","0.0180697803017544","2"
"High transfer dependency","1992","35-65 y.","Employed","35","0.00509525151649311","0.00316137888391947","0.00702912414906674","2"
"High transfer dependency","1992","35-65 y.","Not Employed","49","0.0238305840257281","0.0165176811175569","0.0311434869338992","2"
"High transfer dependency","1992","66 and older","Not Employed","8","","","","2"
"High transfer dependency","1992","66 and older","Employed","","","","","2"
"Low transfer dependency","1992","16-34 y.","Not Employed","134","0.0923163141786423","0.0754979615855715","0.109134666771713","1"
"Low transfer dependency","1992","16-34 y.","Employed","214","0.0439839195402567","0.0374905281968973","0.050477310883616","1"
"Low transfer dependency","1992","35-65 y.","Employed","180","0.0257833640063844","0.0214785750698756","0.0300881529428931","1"
"Low transfer dependency","1992","35-65 y.","Not Employed","107","0.0413843476446785","0.0318344178074813","0.0509342774818756","1"
"Low transfer dependency","1992","66 and older","Not Employed","7","","","","1"
"Low transfer dependency","1992","66 and older","Employed","","","","","1"
"Very high transfer dependency","1992","16-34 y.","Not Employed","67","0.0722528123111185","0.0572103420626343","0.0872952825596027","3"
"Very high transfer dependency","1992","16-34 y.","Employed","14","","","","3"
"Very high transfer dependency","1992","35-65 y.","Not Employed","66","0.0474595158193826","0.0372650789894293","0.0576539526493359","3"
"Very high transfer dependency","1992","66 and older","Not Employed","3","","","","3"
"Very high transfer dependency","1992","35-65 y.","Employed","8","","","","3"
"Very high transfer dependency","1992","66 and older","Employed","","","","","3"
"Very low transfer dependency","1992","16-34 y.","Not Employed","906","0.801453961272902","0.778277514016763","0.824630408529041","0"
"Very low transfer dependency","1992","16-34 y.","Employed","3558","0.938536316996441","0.930930833182115","0.946141800810768","0"
"Very low transfer dependency","1992","35-65 y.","Not Employed","1449","0.887325552510211","0.872165033171853","0.902486071848569","0"
"Very low transfer dependency","1992","35-65 y.","Employed","4984","0.967813369191447","0.96301948133903","0.972607257043865","0"
"Very low transfer dependency","1992","66 and older","Not Employed","1424","0.991908788947024","0.987284892549089","0.996532685344958","0"
"Very low transfer dependency","1992","66 and older","Employed","38","1","1","1","0"
"High transfer dependency","1993","16-34 y.","Employed","61","0.0168027978922052","0.0126685478907629","0.0209370478936474","2"
"High transfer dependency","1993","16-34 y.","Not Employed","43","0.0329452464613441","0.0226956435398922","0.0431948493827959","2"
"High transfer dependency","1993","35-65 y.","Employed","42","0.00712737478848384","0.00477964492812844","0.00947510464883924","2"
"High transfer dependency","1993","35-65 y.","Not Employed","61","0.0301608497136455","0.0222333547291516","0.0380883446981394","2"
"High transfer dependency","1993","66 and older","Not Employed","5","","","","2"
"High transfer dependency","1993","66 and older","Employed","","","","","2"
"Low transfer dependency","1993","16-34 y.","Employed","224","0.0481037895308822","0.0412209117053398","0.0549866673564246","1"
"Low transfer dependency","1993","16-34 y.","Not Employed","166","0.11475105439299","0.0964491543205084","0.133052954465471","1"
"Low transfer dependency","1993","35-65 y.","Not Employed","166","0.0631302915885672","0.0518577244647984","0.0744028587123359","1"
"Low transfer dependency","1993","35-65 y.","Employed","209","0.0293817376471388","0.024668715023014","0.0340947602712636","1"
"Low transfer dependency","1993","66 and older","Not Employed","19","","","","1"
"Low transfer dependency","1993","66 and older","Employed","","","","","1"
"Very high transfer dependency","1993","16-34 y.","Not Employed","88","0.0841254541057694","0.0681862425937835","0.100064665617755","3"
"Very high transfer dependency","1993","16-34 y.","Employed","23","","","","3"
"Very high transfer dependency","1993","35-65 y.","Not Employed","78","0.0478626209806926","0.0379676988719448","0.0577575430894405","3"
"Very high transfer dependency","1993","35-65 y.","Employed","11","","","","3"
"Very high transfer dependency","1993","66 and older","Not Employed","4","","","","3"
"Very high transfer dependency","1993","66 and older","Employed","","","","","3"
"Very low transfer dependency","1993","16-34 y.","Not Employed","868","0.768178245039897","0.743946023835481","0.792410466244312","0"
"Very low transfer dependency","1993","16-34 y.","Employed","3405","0.930441682615293","0.922258829993302","0.938624535237284","0"
"Very low transfer dependency","1993","35-65 y.","Not Employed","1483","0.858846237717095","0.842707548009377","0.874984927424813","0"
"Very low transfer dependency","1993","35-65 y.","Employed","4670","0.961907684999776","0.956565462922085","0.967249907077467","0"
"Very low transfer dependency","1993","66 and older","Not Employed","1434","0.986287324062923","0.980326075416395","0.992248572709452","0"
"Very low transfer dependency","1993","66 and older","Employed","37","1","1","1","0"
"High transfer dependency","1994","16-34 y.","Not Employed","46","0.0409736243054547","0.0297951613959248","0.0521520872149845","2"
"High transfer dependency","1994","16-34 y.","Employed","50","0.0151471725334513","0.0111440324285715","0.0191503126383311","2"
"High transfer dependency","1994","35-65 y.","Employed","53","0.0104167549539786","0.00751319898709834","0.0133203109208589","2"
"High transfer dependency","1994","35-65 y.","Not Employed","75","0.0325252231631526","0.0244852008150798","0.0405652455112255","2"
"High transfer dependency","1994","66 and older","Not Employed","5","","","","2"
"High transfer dependency","1994","66 and older","Employed","","","","","2"
"Low transfer dependency","1994","16-34 y.","Not Employed","158","0.104648719616667","0.087387228347811","0.121910210885523","1"
"Low transfer dependency","1994","16-34 y.","Employed","232","0.0532912018399536","0.0459293800536179","0.0606530236262893","1"
"Low transfer dependency","1994","35-65 y.","Employed","191","0.0288325988939807","0.0240471051353152","0.0336180926526462","1"
"Low transfer dependency","1994","35-65 y.","Not Employed","175","0.06149596842338","0.0506074527256174","0.0723844841211425","1"
"Low transfer dependency","1994","66 and older","Not Employed","20","","","","1"
"Low transfer dependency","1994","66 and older","Employed","1","","","","1"
"Very high transfer dependency","1994","16-34 y.","Employed","28","","","","3"
"Very high transfer dependency","1994","16-34 y.","Not Employed","95","0.0951017299549426","0.0785589416807073","0.111644518229178","3"
"Very high transfer dependency","1994","35-65 y.","Not Employed","98","0.0597895293789379","0.0490433917864814","0.0705356669713945","3"
"Very high transfer dependency","1994","35-65 y.","Employed","10","","","","3"
"Very high transfer dependency","1994","66 and older","Not Employed","5","","","","3"
"Very high transfer dependency","1994","66 and older","Employed","","","","","3"
"Very low transfer dependency","1994","16-34 y.","Not Employed","909","0.759275926122936","0.735167203448322","0.783384648797549","0"
"Very low transfer dependency","1994","16-34 y.","Employed","3266","0.9231427069623","0.914412464616523","0.931872949308077","0"
"Very low transfer dependency","1994","35-65 y.","Not Employed","1522","0.846189279034529","0.829837901312101","0.862540656756958","0"
"Very low transfer dependency","1994","35-65 y.","Employed","4443","0.957011090398676","0.951210469125013","0.962811711672338","0"
"Very low transfer dependency","1994","66 and older","Not Employed","1450","0.986233749426038","0.980297460934563","0.992170037917513","0"
"Very low transfer dependency","1994","66 and older","Employed","39","0.963937772722837","0.906158926155202","1.02171661929047","0"
"High transfer dependency","1995","16-34 y.","Employed","56","0.0178343329111279","0.0134928830280218","0.0221757827942341","2"
"High transfer dependency","1995","16-34 y.","Not Employed","57","0.0442395145132801","0.0332584610756147","0.0552205679509454","2"
"High transfer dependency","1995","35-65 y.","Employed","47","0.00683721797533078","0.00452545332673468","0.00914898262392689","2"
"High transfer dependency","1995","35-65 y.","Not Employed","81","0.0356006163237075","0.027340438736723","0.043860793910692","2"
"High transfer dependency","1995","66 and older","Not Employed","7","","","","2"
"High transfer dependency","1995","66 and older","Employed","","","","","2"
"Low transfer dependency","1995","16-34 y.","Employed","209","0.0505819499603918","0.0433934130199171","0.0577704869008664","1"
"Low transfer dependency","1995","16-34 y.","Not Employed","151","0.0952612320027314","0.0795834727839025","0.11093899122156","1"
"Low transfer dependency","1995","35-65 y.","Employed","209","0.0351410728876428","0.0299753262074181","0.0403068195678675","1"
"Low transfer dependency","1995","35-65 y.","Not Employed","180","0.0642516985071301","0.053320847010127","0.0751825500041333","1"
"Low transfer dependency","1995","66 and older","Not Employed","18","","","","1"
"Low transfer dependency","1995","66 and older","Employed","","","","","1"
"Very high transfer dependency","1995","16-34 y.","Not Employed","146","0.136210637891703","0.117892820208674","0.154528455574733","3"
"Very high transfer dependency","1995","16-34 y.","Employed","24","","","","3"
"Very high transfer dependency","1995","35-65 y.","Not Employed","143","0.0841709998277216","0.0717938512942288","0.0965481483612144","3"
"Very high transfer dependency","1995","35-65 y.","Employed","16","","","","3"
"Very high transfer dependency","1995","66 and older","Not Employed","6","","","","3"
"Very high transfer dependency","1995","66 and older","Employed","","","","","3"
"Very low transfer dependency","1995","16-34 y.","Not Employed","993","0.724288615592285","0.700424383060004","0.748152848124567","0"
"Very low transfer dependency","1995","16-34 y.","Employed","3281","0.926064375096595","0.917480933712801","0.934647816480389","0"
"Very low transfer dependency","1995","35-65 y.","Employed","4609","0.954921602335267","0.949101082394278","0.960742122276256","0"
"Very low transfer dependency","1995","35-65 y.","Not Employed","1529","0.815976685341441","0.798702106677739","0.833251264005143","0"
"Very low transfer dependency","1995","66 and older","Employed","43","1","1","1","0"
"Very low transfer dependency","1995","66 and older","Not Employed","1476","0.986064901469981","0.980146570656018","0.991983232283943","0"
"High transfer dependency","1996","16-34 y.","Employed","66","0.0184269433000822","0.0139586010191574","0.022895285581007","2"
"High transfer dependency","1996","16-34 y.","Not Employed","52","0.0379243446803753","0.0273899382271514","0.0484587511335992","2"
"High transfer dependency","1996","35-65 y.","Employed","67","0.0111662994994918","0.00821781433001292","0.0141147846689707","2"
"High transfer dependency","1996","35-65 y.","Not Employed","116","0.0552308423117492","0.0447678090547415","0.0656938755687568","2"
"High transfer dependency","1996","66 and older","Not Employed","5","","","","2"
"High transfer dependency","1996","66 and older","Employed","","","","","2"
"Low transfer dependency","1996","16-34 y.","Employed","214","0.052336657051008","0.0449373934498084","0.0597359206522076","1"
"Low transfer dependency","1996","16-34 y.","Not Employed","135","0.0882393348253742","0.0725964101310755","0.103882259519673","1"
"Low transfer dependency","1996","35-65 y.","Employed","222","0.0374084124682897","0.0320837957436896","0.0427330291928898","1"
"Low transfer dependency","1996","35-65 y.","Not Employed","232","0.0962289854670354","0.0827211402119437","0.109736830722127","1"
"Low transfer dependency","1996","66 and older","Not Employed","33","0.014112648346142","0.00818474121110346","0.0200405554811806","1"
"Low transfer dependency","1996","66 and older","Employed","","","","","1"
"Very high transfer dependency","1996","16-34 y.","Not Employed","121","0.102515502973296","0.0857870928692909","0.1192439130773","3"
"Very high transfer dependency","1996","16-34 y.","Employed","17","","","","3"
"Very high transfer dependency","1996","35-65 y.","Not Employed","172","0.0956291178274784","0.0821589725677523","0.109099263087205","3"
"Very high transfer dependency","1996","35-65 y.","Employed","14","","","","3"
"Very high transfer dependency","1996","66 and older","Not Employed","7","","","","3"
"Very high transfer dependency","1996","66 and older","Employed","1","","","","3"
