"transab_cat2","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","1987","35-65 y.","Part Time","49","0.0524813330705082","0.0376549738191291","0.0673076923218873"
"Low transfer dependency","1987","35-65 y.","Not Working","73","0.0402871351579025","0.0306853016358333","0.0498889686799717"
"Low transfer dependency","1987","66 and older","Full Time","","","",""
"Low transfer dependency","1987","66 and older","Part Time","","","",""
"Low transfer dependency","1987","66 and older","Not Working","14","","",""
"High transfer dependency","1987","16-34 y.","Full Time","9","","",""
"High transfer dependency","1987","16-34 y.","Part Time","21","","",""
"High transfer dependency","1987","16-34 y.","Not Working","18","","",""
"High transfer dependency","1987","35-65 y.","Full Time","1","","",""
"High transfer dependency","1987","35-65 y.","Part Time","18","","",""
"High transfer dependency","1987","35-65 y.","Not Working","42","0.0190649618550983","0.0123870848649932","0.0257428388452034"
"High transfer dependency","1987","66 and older","Full Time","","","",""
"High transfer dependency","1987","66 and older","Part Time","","","",""
"High transfer dependency","1987","66 and older","Not Working","4","","",""
"Very high transfer dependency","1987","16-34 y.","Full Time","2","","",""
"Very high transfer dependency","1987","16-34 y.","Part Time","8","","",""
"Very high transfer dependency","1987","16-34 y.","Not Working","58","0.0687696689118011","0.0539820294663916","0.0835573083572106"
"Very high transfer dependency","1987","35-65 y.","Full Time","","","",""
"Very high transfer dependency","1987","35-65 y.","Part Time","3","","",""
"Very high transfer dependency","1987","35-65 y.","Not Working","72","0.0479141455368042","0.0374844831337455","0.058343807939863"
"Very high transfer dependency","1987","66 and older","Full Time","","","",""
"Very high transfer dependency","1987","66 and older","Part Time","","","",""
"Very high transfer dependency","1987","66 and older","Not Working","2","","",""
"Very low transfer dependency","1988","16-34 y.","Full Time","1878","0.979691732010915","0.97338575237882","0.98599771164301"
"Very low transfer dependency","1988","16-34 y.","Part Time","794","0.920159205419049","0.902044020225773","0.938274390612326"
"Very low transfer dependency","1988","16-34 y.","Not Working","908","0.869808966004028","0.849396272258283","0.890221659749774"
"Very low transfer dependency","1988","35-65 y.","Full Time","2623","0.989931614054661","0.986131245189082","0.99373198292024"
"Very low transfer dependency","1988","35-65 y.","Part Time","874","0.931852627144879","0.915785791069099","0.947919463220659"
"Very low transfer dependency","1988","35-65 y.","Not Working","1313","0.883685551610453","0.867450342221462","0.899920760999444"
"Very low transfer dependency","1988","66 and older","Full Time","16","","",""
"Very low transfer dependency","1988","66 and older","Part Time","32","1","1","1"
"Very low transfer dependency","1988","66 and older","Not Working","993","0.986309234948446","0.979132056171049","0.993486413725844"
"Low transfer dependency","1988","16-34 y.","Full Time","37","0.0163628157291172","0.0106910551717312","0.0220345762865032"
"Low transfer dependency","1988","16-34 y.","Part Time","46","0.0569388872291685","0.041451674220714","0.0724261002376229"
"Low transfer dependency","1988","16-34 y.","Not Working","58","0.048319618853757","0.0353117799465016","0.0613274577610124"
"Low transfer dependency","1988","35-65 y.","Full Time","28","","",""
"Low transfer dependency","1988","35-65 y.","Part Time","48","0.0437552479201393","0.0307136203590173","0.0567968754812612"
"Low transfer dependency","1988","35-65 y.","Not Working","81","0.0418079811747871","0.0316724139771228","0.0519435483724513"
"Low transfer dependency","1988","66 and older","Full Time","","","",""
"Low transfer dependency","1988","66 and older","Part Time","","","",""
"Low transfer dependency","1988","66 and older","Not Working","5","","",""
"High transfer dependency","1988","16-34 y.","Full Time","5","","",""
"High transfer dependency","1988","16-34 y.","Part Time","13","","",""
"High transfer dependency","1988","16-34 y.","Not Working","21","","",""
"High transfer dependency","1988","35-65 y.","Full Time","","","",""
"High transfer dependency","1988","35-65 y.","Part Time","16","","",""
"High transfer dependency","1988","35-65 y.","Not Working","25","","",""
"High transfer dependency","1988","66 and older","Full Time","","","",""
"High transfer dependency","1988","66 and older","Part Time","","","",""
"High transfer dependency","1988","66 and older","Not Working","5","","",""
"Very high transfer dependency","1988","16-34 y.","Full Time","2","","",""
"Very high transfer dependency","1988","16-34 y.","Part Time","7","","",""
"Very high transfer dependency","1988","16-34 y.","Not Working","57","0.058966728677708","0.0446776624712078","0.0732557948842082"
"Very high transfer dependency","1988","35-65 y.","Full Time","","","",""
"Very high transfer dependency","1988","35-65 y.","Part Time","7","","",""
"Very high transfer dependency","1988","35-65 y.","Not Working","79","0.0592385294068695","0.0472839560912929","0.0711931027224461"
"Very high transfer dependency","1988","66 and older","Full Time","","","",""
"Very high transfer dependency","1988","66 and older","Part Time","","","",""
"Very high transfer dependency","1988","66 and older","Not Working","4","","",""
"Very low transfer dependency","1989","16-34 y.","Full Time","1903","0.983581048329178","0.977930514503785","0.98923158215457"
"Very low transfer dependency","1989","16-34 y.","Part Time","732","0.916507797041829","0.897339031758065","0.935676562325594"
"Very low transfer dependency","1989","16-34 y.","Not Working","869","0.849789625418588","0.82770089590619","0.871878354930987"
"Very low transfer dependency","1989","35-65 y.","Full Time","2554","0.988806023779222","0.984751894267439","0.992860153291005"
"Very low transfer dependency","1989","35-65 y.","Part Time","803","0.92757838562783","0.910345912351425","0.944810858904234"
"Very low transfer dependency","1989","35-65 y.","Not Working","1259","0.891386212741031","0.875304063688264","0.907468361793798"
"Very low transfer dependency","1989","66 and older","Full Time","17","","",""
"Very low transfer dependency","1989","66 and older","Part Time","30","1","1","1"
"Very low transfer dependency","1989","66 and older","Not Working","963","0.98324344146308","0.975211204164913","0.991275678761247"
"Low transfer dependency","1989","16-34 y.","Full Time","32","0.0134307956574093","0.0083124885713317","0.0185491027434869"
"Low transfer dependency","1989","16-34 y.","Part Time","48","0.0501704383138861","0.0350435400454278","0.0652973365823443"
"Low transfer dependency","1989","16-34 y.","Not Working","52","0.0403819859014061","0.0282114950968254","0.0525524767059867"
"Low transfer dependency","1989","35-65 y.","Full Time","30","0.0092430128862641","0.00555544327113835","0.0129305825013898"
"Low transfer dependency","1989","35-65 y.","Part Time","43","0.0426736772960098","0.0292352564570299","0.0561120981349897"
"Low transfer dependency","1989","35-65 y.","Not Working","74","0.0379267767809505","0.0280538553819746","0.0477996981799263"
"Low transfer dependency","1989","66 and older","Full Time","","","",""
"Low transfer dependency","1989","66 and older","Part Time","","","",""
"Low transfer dependency","1989","66 and older","Not Working","11","","",""
"High transfer dependency","1989","16-34 y.","Full Time","7","","",""
"High transfer dependency","1989","16-34 y.","Part Time","17","","",""
"High transfer dependency","1989","16-34 y.","Not Working","28","","",""
"High transfer dependency","1989","35-65 y.","Full Time","3","","",""
"High transfer dependency","1989","35-65 y.","Part Time","17","","",""
"High transfer dependency","1989","35-65 y.","Not Working","26","","",""
"High transfer dependency","1989","66 and older","Full Time","","","",""
"High transfer dependency","1989","66 and older","Part Time","","","",""
"High transfer dependency","1989","66 and older","Not Working","4","","",""
"Very high transfer dependency","1989","16-34 y.","Full Time","1","","",""
"Very high transfer dependency","1989","16-34 y.","Part Time","3","","",""
"Very high transfer dependency","1989","16-34 y.","Not Working","56","0.0741948183057254","0.0579912131627695","0.0903984234486812"
"Very high transfer dependency","1989","35-65 y.","Full Time","","","",""
"Very high transfer dependency","1989","35-65 y.","Part Time","6","","",""
"Very high transfer dependency","1989","35-65 y.","Not Working","79","0.0598515320585899","0.0475911358471573","0.0721119282700225"
"Very high transfer dependency","1989","66 and older","Full Time","","","",""
"Very high transfer dependency","1989","66 and older","Part Time","","","",""
"Very high transfer dependency","1989","66 and older","Not Working","3","","",""
"Very low transfer dependency","1990","16-34 y.","Full Time","1874","0.98807200510523","0.983196960197914","0.992947050012546"
"Very low transfer dependency","1990","16-34 y.","Part Time","750","0.903714851823157","0.883561674100769","0.923868029545544"
"Very low transfer dependency","1990","16-34 y.","Not Working","796","0.870522581479893","0.848625246987027","0.892419915972759"
"Very low transfer dependency","1990","35-65 y.","Full Time","2485","0.991125925850358","0.987457014864187","0.994794836836528"
"Very low transfer dependency","1990","35-65 y.","Part Time","816","0.944865798541464","0.929664357692425","0.960067239390503"
"Very low transfer dependency","1990","35-65 y.","Not Working","1244","0.905022173618084","0.889664522542168","0.920379824694"
"Very low transfer dependency","1990","66 and older","Full Time","14","","",""
"Very low transfer dependency","1990","66 and older","Part Time","30","1","1","1"
"Very low transfer dependency","1990","66 and older","Not Working","993","0.983920954302063","0.976179200552221","0.991662708051904"
"Low transfer dependency","1990","16-34 y.","Full Time","24","","",""
"Low transfer dependency","1990","16-34 y.","Part Time","47","0.0568242028583131","0.0410076741726252","0.0726407315440009"
"Low transfer dependency","1990","16-34 y.","Not Working","54","0.0643406038192355","0.0483374465345619","0.0803437611039091"
"Low transfer dependency","1990","35-65 y.","Full Time","22","","",""
"Low transfer dependency","1990","35-65 y.","Part Time","30","0.0300173488314425","0.0186526666643018","0.0413820309985832"
"Low transfer dependency","1990","35-65 y.","Not Working","58","0.0292564494717794","0.0204287581276645","0.0380841408158943"
"Low transfer dependency","1990","66 and older","Full Time","","","",""
"Low transfer dependency","1990","66 and older","Part Time","","","",""
"Low transfer dependency","1990","66 and older","Not Working","12","","",""
"High transfer dependency","1990","16-34 y.","Full Time","6","","",""
"High transfer dependency","1990","16-34 y.","Part Time","17","","",""
"High transfer dependency","1990","16-34 y.","Not Working","19","","",""
"High transfer dependency","1990","35-65 y.","Full Time","3","","",""
"High transfer dependency","1990","35-65 y.","Part Time","19","","",""
"High transfer dependency","1990","35-65 y.","Not Working","27","","",""
"High transfer dependency","1990","66 and older","Full Time","","","",""
"High transfer dependency","1990","66 and older","Part Time","","","",""
"High transfer dependency","1990","66 and older","Not Working","8","","",""
"Very high transfer dependency","1990","16-34 y.","Full Time","1","","",""
"Very high transfer dependency","1990","16-34 y.","Part Time","9","","",""
"Very high transfer dependency","1990","16-34 y.","Not Working","34","0.0402614456456815","0.0274403432401953","0.0530825480511677"
"Very high transfer dependency","1990","35-65 y.","Full Time","","","",""
"Very high transfer dependency","1990","35-65 y.","Part Time","1","","",""
"Very high transfer dependency","1990","35-65 y.","Not Working","71","0.051083867667565","0.0395509318851262","0.0626168034500038"
"Very high transfer dependency","1990","66 and older","Full Time","","","",""
"Very high transfer dependency","1990","66 and older","Part Time","","","",""
"Very high transfer dependency","1990","66 and older","Not Working","1","","",""
"Very low transfer dependency","1991","16-34 y.","Full Time","1844","0.981567252973964","0.975491809382562","0.987642696565367"
"Very low transfer dependency","1991","16-34 y.","Part Time","767","0.931351074360955","0.914138556333232","0.948563592388677"
"Very low transfer dependency","1991","16-34 y.","Not Working","769","0.838995134084259","0.814889332176125","0.863100935992393"
"Very low transfer dependency","1991","35-65 y.","Full Time","2502","0.990951674987596","0.987264827949525","0.994638522025668"
"Very low transfer dependency","1991","35-65 y.","Part Time","843","0.944723281407249","0.929726809445726","0.959719753368773"
"Very low transfer dependency","1991","35-65 y.","Not Working","1172","0.894880184563439","0.878371933330711","0.911388435796168"
"Very low transfer dependency","1991","66 and older","Full Time","8","","",""
"Very low transfer dependency","1991","66 and older","Part Time","32","1","1","1"
"Very low transfer dependency","1991","66 and older","Not Working","1013","0.981952157241526","0.973837958602834","0.990066355880218"
"Low transfer dependency","1991","16-34 y.","Full Time","33","0.0156462853406587","0.0100409171278828","0.0212516535534346"
"Low transfer dependency","1991","16-34 y.","Part Time","39","0.0398960850498487","0.0265732979899196","0.0532188721097777"
"Low transfer dependency","1991","16-34 y.","Not Working","61","0.0796807300554474","0.0619196949934452","0.0974417651174496"
"Low transfer dependency","1991","35-65 y.","Full Time","32","0.00904832501240375","0.00536147797433239","0.0127351720504751"
"Low transfer dependency","1991","35-65 y.","Part Time","34","0.0394040996100065","0.0266365741555009","0.0521716250645121"
"Low transfer dependency","1991","35-65 y.","Not Working","69","0.0395631784561451","0.0290712259162707","0.0500551309960195"
"Low transfer dependency","1991","66 and older","Full Time","1","","",""
"Low transfer dependency","1991","66 and older","Part Time","","","",""
"Low transfer dependency","1991","66 and older","Not Working","11","","",""
"High transfer dependency","1991","16-34 y.","Full Time","6","","",""
"High transfer dependency","1991","16-34 y.","Part Time","17","","",""
"High transfer dependency","1991","16-34 y.","Not Working","16","","",""
"High transfer dependency","1991","35-65 y.","Full Time","","","",""
"High transfer dependency","1991","35-65 y.","Part Time","12","","",""
"High transfer dependency","1991","35-65 y.","Not Working","32","0.02114969137165","0.0134053143592621","0.0288940683840378"
"High transfer dependency","1991","66 and older","Full Time","","","",""
"High transfer dependency","1991","66 and older","Part Time","","","",""
"High transfer dependency","1991","66 and older","Not Working","8","","",""
"Very high transfer dependency","1991","16-34 y.","Full Time","","","",""
"Very high transfer dependency","1991","16-34 y.","Part Time","6","","",""
"Very high transfer dependency","1991","16-34 y.","Not Working","47","0.062382207603671","0.0465199261552525","0.0782444890520895"
"Very high transfer dependency","1991","35-65 y.","Full Time","","","",""
"Very high transfer dependency","1991","35-65 y.","Part Time","3","","",""
"Very high transfer dependency","1991","35-65 y.","Not Working","53","0.0444069456087655","0.0333193271570587","0.0554945640604723"
"Very high transfer dependency","1991","66 and older","Full Time","","","",""
"Very high transfer dependency","1991","66 and older","Part Time","","","",""
"Very high transfer dependency","1991","66 and older","Not Working","2","","",""
"Very low transfer dependency","1992","16-34 y.","Full Time","2554","0.96299744353659","0.955846681306977","0.970148205766202"
"Very low transfer dependency","1992","16-34 y.","Part Time","1004","0.883126105068192","0.864590135545627","0.901662074590758"
"Very low transfer dependency","1992","16-34 y.","Not Working","906","0.801453961272902","0.778277514016763","0.824630408529041"
"Very low transfer dependency","1992","35-65 y.","Full Time","3799","0.983516524516967","0.979517909581562","0.987515139452372"
"Very low transfer dependency","1992","35-65 y.","Part Time","1185","0.924460785156153","0.910161588024751","0.938759982287556"
"Very low transfer dependency","1992","35-65 y.","Not Working","1449","0.887325552510211","0.872165033171853","0.902486071848569"
"Very low transfer dependency","1992","66 and older","Full Time","12","","",""
"Very low transfer dependency","1992","66 and older","Part Time","26","","",""
"Very low transfer dependency","1992","66 and older","Not Working","1424","0.991908788947024","0.987284892549089","0.996532685344958"
"Low transfer dependency","1992","16-34 y.","Full Time","105","0.0292739424143899","0.0228881785292343","0.0356597062995456"
"Low transfer dependency","1992","16-34 y.","Part Time","109","0.0773054817612837","0.0618963097799604","0.092714653742607"
"Low transfer dependency","1992","16-34 y.","Not Working","134","0.0923163141786423","0.0754979615855715","0.109134666771713"
"Low transfer dependency","1992","35-65 y.","Full Time","87","0.015020248204648","0.0112003959447095","0.0188401004645865"
"Low transfer dependency","1992","35-65 y.","Part Time","93","0.0554977031059964","0.0431091613968214","0.0678862448151713"
"Low transfer dependency","1992","35-65 y.","Not Working","107","0.0413843476446785","0.0318344178074813","0.0509342774818756"
"Low transfer dependency","1992","66 and older","Full Time","","","",""
"Low transfer dependency","1992","66 and older","Part Time","","","",""
"Low transfer dependency","1992","66 and older","Not Working","7","","",""
"High transfer dependency","1992","16-34 y.","Full Time","13","","",""
"High transfer dependency","1992","16-34 y.","Part Time","32","0.0340213029017217","0.0235619592620412","0.0444806465414022"
"High transfer dependency","1992","16-34 y.","Not Working","31","0.0339769122373373","0.0234509291655329","0.0445028953091418"
"High transfer dependency","1992","35-65 y.","Full Time","7","","",""
"High transfer dependency","1992","35-65 y.","Part Time","28","","",""
"High transfer dependency","1992","35-65 y.","Not Working","49","0.0238305840257281","0.0165176811175569","0.0311434869338992"
"High transfer dependency","1992","66 and older","Full Time","","","",""
"High transfer dependency","1992","66 and older","Part Time","","","",""
"High transfer dependency","1992","66 and older","Not Working","8","","",""
"Very high transfer dependency","1992","16-34 y.","Full Time","5","","",""
"Very high transfer dependency","1992","16-34 y.","Part Time","9","","",""
"Very high transfer dependency","1992","16-34 y.","Not Working","67","0.0722528123111185","0.0572103420626343","0.0872952825596027"
"Very high transfer dependency","1992","35-65 y.","Full Time","2","","",""
"Very high transfer dependency","1992","35-65 y.","Part Time","6","","",""
"Very high transfer dependency","1992","35-65 y.","Not Working","66","0.0474595158193826","0.0372650789894293","0.0576539526493359"
"Very high transfer dependency","1992","66 and older","Full Time","","","",""
"Very high transfer dependency","1992","66 and older","Part Time","","","",""
"Very high transfer dependency","1992","66 and older","Not Working","3","","",""
"Very low transfer dependency","1993","16-34 y.","Full Time","2435","0.955064769456842","0.947069514458184","0.9630600244555"
"Very low transfer dependency","1993","16-34 y.","Part Time","970","0.874401892016613","0.855113827205208","0.893689956828018"
"Very low transfer dependency","1993","16-34 y.","Not Working","868","0.768178245039897","0.743946023835481","0.792410466244312"
"Very low transfer dependency","1993","35-65 y.","Full Time","3521","0.976531316833484","0.971622117081674","0.981440516585295"
"Very low transfer dependency","1993","35-65 y.","Part Time","1149","0.923591614979319","0.909032890749954","0.938150339208685"
"Very low transfer dependency","1993","35-65 y.","Not Working","1483","0.858846237717095","0.842707548009377","0.874984927424813"
"Very low transfer dependency","1993","66 and older","Full Time","10","","",""
"Very low transfer dependency","1993","66 and older","Part Time","27","","",""
"Very low transfer dependency","1993","66 and older","Not Working","1434","0.986287324062923","0.980326075416395","0.992248572709452"
"Low transfer dependency","1993","16-34 y.","Full Time","124","0.0379132449096409","0.0305422685891698","0.045284221230112"
"Low transfer dependency","1993","16-34 y.","Part Time","100","0.0712964944234804","0.0563198611870094","0.0862731276599514"
"Low transfer dependency","1993","16-34 y.","Not Working","166","0.11475105439299","0.0964491543205084","0.133052954465471"
"Low transfer dependency","1993","35-65 y.","Full Time","116","0.0204823662688306","0.0158891229891516","0.0250756095485096"
"Low transfer dependency","1993","35-65 y.","Part Time","93","0.0526994018735659","0.0404543799341275","0.0649444238130044"
"Low transfer dependency","1993","35-65 y.","Not Working","166","0.0631302915885672","0.0518577244647984","0.0744028587123359"
"Low transfer dependency","1993","66 and older","Full Time","","","",""
"Low transfer dependency","1993","66 and older","Part Time","","","",""
