"transab_cat2","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1984","Not Employed","secondary school degree","5","","",""
"High transfer dependency","1984","Not Employed","college entrance qualification","8","","",""
"High transfer dependency","1984","Not Employed","Other degree","18","","",""
"High transfer dependency","1984","Not Employed","no degree/no degree yet","10","","",""
"High transfer dependency","1984","Employed","lower secondary degree","24","","",""
"High transfer dependency","1984","Employed","secondary school degree","7","","",""
"High transfer dependency","1984","Employed","college entrance qualification","9","","",""
"High transfer dependency","1984","Employed","Other degree","12","","",""
"High transfer dependency","1984","Employed","no degree/no degree yet","8","","",""
"Very high transfer dependency","1984","Not Employed","lower secondary degree","96","0.0341881043398359","0.0272061302892852","0.0411700783903866"
"Very high transfer dependency","1984","Not Employed","secondary school degree","19","","",""
"Very high transfer dependency","1984","Not Employed","college entrance qualification","25","","",""
"Very high transfer dependency","1984","Not Employed","Other degree","19","","",""
"Very high transfer dependency","1984","Not Employed","no degree/no degree yet","38","0.0435272682515358","0.0267176876490669","0.0603368488540048"
"Very high transfer dependency","1984","Employed","lower secondary degree","8","","",""
"Very high transfer dependency","1984","Employed","secondary school degree","","","",""
"Very high transfer dependency","1984","Employed","college entrance qualification","7","","",""
"Very high transfer dependency","1984","Employed","Other degree","1","","",""
"Very high transfer dependency","1984","Employed","no degree/no degree yet","1","","",""
"Very low transfer dependency","1985","Not Employed","lower secondary degree","2122","0.922851385500909","0.91199611948536","0.933706651516458"
"Very low transfer dependency","1985","Not Employed","secondary school degree","593","0.947468586555613","0.930157285674849","0.964779887436376"
"Very low transfer dependency","1985","Not Employed","college entrance qualification","344","0.898158742983919","0.868142646411307","0.928174839556532"
"Very low transfer dependency","1985","Not Employed","Other degree","208","0.792339657704349","0.743316340331781","0.841362975076917"
"Very low transfer dependency","1985","Not Employed","no degree/no degree yet","444","0.862254466537191","0.832858508498596","0.891650424575785"
"Very low transfer dependency","1985","Employed","lower secondary degree","3046","0.965771844148136","0.959430650023534","0.972113038272739"
"Very low transfer dependency","1985","Employed","secondary school degree","1216","0.981904376833195","0.974488140345542","0.989320613320847"
"Very low transfer dependency","1985","Employed","college entrance qualification","810","0.967053029140634","0.95497489075312","0.979131167528148"
"Very low transfer dependency","1985","Employed","Other degree","907","0.943420519786607","0.928767452599064","0.958073586974149"
"Very low transfer dependency","1985","Employed","no degree/no degree yet","541","0.957483405576407","0.940817122399665","0.974149688753149"
"Low transfer dependency","1985","Not Employed","lower secondary degree","75","0.0271120916551004","0.0205048006379103","0.0337193826722906"
"Low transfer dependency","1985","Not Employed","secondary school degree","17","","",""
"Low transfer dependency","1985","Not Employed","college entrance qualification","15","","",""
"Low transfer dependency","1985","Not Employed","Other degree","24","","",""
"Low transfer dependency","1985","Not Employed","no degree/no degree yet","42","0.0654384810117796","0.0443448336160622","0.086532128407497"
"Low transfer dependency","1985","Employed","lower secondary degree","84","0.0249063413734157","0.0194710833925504","0.0303415993542811"
"Low transfer dependency","1985","Employed","secondary school degree","17","","",""
"Low transfer dependency","1985","Employed","college entrance qualification","15","","",""
"Low transfer dependency","1985","Employed","Other degree","37","0.0422648518924123","0.0295046133300373","0.0550250904547874"
"Low transfer dependency","1985","Employed","no degree/no degree yet","20","","",""
"High transfer dependency","1985","Not Employed","lower secondary degree","33","0.0134451465093533","0.00875966844469402","0.0181306245740126"
"High transfer dependency","1985","Not Employed","secondary school degree","7","","",""
"High transfer dependency","1985","Not Employed","college entrance qualification","14","","",""
"High transfer dependency","1985","Not Employed","Other degree","14","","",""
"High transfer dependency","1985","Not Employed","no degree/no degree yet","10","","",""
"High transfer dependency","1985","Employed","lower secondary degree","24","","",""
"High transfer dependency","1985","Employed","secondary school degree","7","","",""
"High transfer dependency","1985","Employed","college entrance qualification","12","","",""
"High transfer dependency","1985","Employed","Other degree","9","","",""
"High transfer dependency","1985","Employed","no degree/no degree yet","2","","",""
"Very high transfer dependency","1985","Not Employed","lower secondary degree","91","0.0365913763346377","0.0289529277775963","0.0442298248916791"
"Very high transfer dependency","1985","Not Employed","secondary school degree","21","","",""
"Very high transfer dependency","1985","Not Employed","college entrance qualification","17","","",""
"Very high transfer dependency","1985","Not Employed","Other degree","17","","",""
"Very high transfer dependency","1985","Not Employed","no degree/no degree yet","32","0.0591410885675419","0.0390206224218581","0.0792615547132257"
"Very high transfer dependency","1985","Employed","lower secondary degree","4","","",""
"Very high transfer dependency","1985","Employed","secondary school degree","1","","",""
"Very high transfer dependency","1985","Employed","college entrance qualification","2","","",""
"Very high transfer dependency","1985","Employed","Other degree","2","","",""
"Very high transfer dependency","1985","Employed","no degree/no degree yet","","","",""
"Very low transfer dependency","1986","Not Employed","lower secondary degree","1965","0.930689081627717","0.91988019671016","0.941497966545275"
"Very low transfer dependency","1986","Not Employed","secondary school degree","559","0.939827642961061","0.920799557861199","0.958855728060924"
"Very low transfer dependency","1986","Not Employed","college entrance qualification","343","0.884591703985815","0.852758338614929","0.916425069356702"
"Very low transfer dependency","1986","Not Employed","Other degree","198","0.776063539179321","0.723862867174664","0.828264211183977"
"Very low transfer dependency","1986","Not Employed","no degree/no degree yet","434","0.874895362598614","0.846210524534837","0.90358020066239"
"Very low transfer dependency","1986","Employed","lower secondary degree","2931","0.961951570545777","0.955154182141877","0.968748958949676"
"Very low transfer dependency","1986","Employed","secondary school degree","1203","0.976014117466995","0.967480748714325","0.984547486219666"
"Very low transfer dependency","1986","Employed","college entrance qualification","841","0.963278333506601","0.950759160840642","0.975797506172561"
"Very low transfer dependency","1986","Employed","Other degree","875","0.94578515079143","0.931105005096546","0.960465296486314"
"Very low transfer dependency","1986","Employed","no degree/no degree yet","487","0.947255961224857","0.928025718027775","0.966486204421939"
"Low transfer dependency","1986","Not Employed","lower secondary degree","57","0.0237526915291097","0.0172721082506058","0.0302332748076135"
"Low transfer dependency","1986","Not Employed","secondary school degree","23","","",""
"Low transfer dependency","1986","Not Employed","college entrance qualification","15","","",""
"Low transfer dependency","1986","Not Employed","Other degree","12","","",""
"Low transfer dependency","1986","Not Employed","no degree/no degree yet","35","0.0443757519317668","0.0265209891712769","0.0622305146922567"
"Low transfer dependency","1986","Employed","lower secondary degree","80","0.0264856694719584","0.020780431464209","0.0321909074797077"
"Low transfer dependency","1986","Employed","secondary school degree","24","","",""
"Low transfer dependency","1986","Employed","college entrance qualification","17","","",""
"Low transfer dependency","1986","Employed","Other degree","30","0.0446267106419289","0.0312404591771247","0.058012962106733"
"Low transfer dependency","1986","Employed","no degree/no degree yet","26","","",""
"High transfer dependency","1986","Not Employed","lower secondary degree","28","","",""
"High transfer dependency","1986","Not Employed","secondary school degree","6","","",""
"High transfer dependency","1986","Not Employed","college entrance qualification","7","","",""
"High transfer dependency","1986","Not Employed","Other degree","12","","",""
"High transfer dependency","1986","Not Employed","no degree/no degree yet","16","","",""
"High transfer dependency","1986","Employed","lower secondary degree","28","","",""
"High transfer dependency","1986","Employed","secondary school degree","7","","",""
"High transfer dependency","1986","Employed","college entrance qualification","3","","",""
"High transfer dependency","1986","Employed","Other degree","9","","",""
"High transfer dependency","1986","Employed","no degree/no degree yet","4","","",""
"Very high transfer dependency","1986","Not Employed","lower secondary degree","71","0.0325501586568226","0.0249980445969495","0.0401022727166958"
"Very high transfer dependency","1986","Not Employed","secondary school degree","12","","",""
"Very high transfer dependency","1986","Not Employed","college entrance qualification","22","","",""
"Very high transfer dependency","1986","Not Employed","Other degree","23","","",""
"Very high transfer dependency","1986","Not Employed","no degree/no degree yet","26","","",""
"Very high transfer dependency","1986","Employed","lower secondary degree","4","","",""
"Very high transfer dependency","1986","Employed","secondary school degree","1","","",""
"Very high transfer dependency","1986","Employed","college entrance qualification","6","","",""
"Very high transfer dependency","1986","Employed","Other degree","","","",""
"Very high transfer dependency","1986","Employed","no degree/no degree yet","2","","",""
"Very low transfer dependency","1987","Not Employed","lower secondary degree","1891","0.92416272109346","0.912730514219477","0.935594927967442"
"Very low transfer dependency","1987","Not Employed","secondary school degree","538","0.951480832703225","0.933888336280209","0.969073329126242"
"Very low transfer dependency","1987","Not Employed","college entrance qualification","322","0.896192320168265","0.864552840390453","0.927831799946077"
"Very low transfer dependency","1987","Not Employed","Other degree","212","0.82727285416811","0.78096733117915","0.873578377157071"
"Very low transfer dependency","1987","Not Employed","no degree/no degree yet","411","0.877254477265111","0.847837383194101","0.906671571336121"
"Very low transfer dependency","1987","Employed","lower secondary degree","2933","0.963869264007804","0.957240967732272","0.970497560283337"
"Very low transfer dependency","1987","Employed","secondary school degree","1224","0.976619946191836","0.968266493828812","0.984973398554859"
"Very low transfer dependency","1987","Employed","college entrance qualification","843","0.965314373764313","0.953169332212039","0.977459415316586"
"Very low transfer dependency","1987","Employed","Other degree","862","0.950887573257068","0.9367297379418","0.965045408572336"
"Very low transfer dependency","1987","Employed","no degree/no degree yet","497","0.949618594038145","0.930854716673987","0.968382471402303"
"Low transfer dependency","1987","Not Employed","lower secondary degree","83","0.0352179495317678","0.0272579852000961","0.0431779138634395"
"Low transfer dependency","1987","Not Employed","secondary school degree","20","","",""
"Low transfer dependency","1987","Not Employed","college entrance qualification","15","","",""
"Low transfer dependency","1987","Not Employed","Other degree","15","","",""
"Low transfer dependency","1987","Not Employed","no degree/no degree yet","28","","",""
"Low transfer dependency","1987","Employed","lower secondary degree","88","0.027407096249049","0.0216081176862348","0.0332060748118633"
"Low transfer dependency","1987","Employed","secondary school degree","19","","",""
"Low transfer dependency","1987","Employed","college entrance qualification","21","","",""
"Low transfer dependency","1987","Employed","Other degree","24","","",""
"Low transfer dependency","1987","Employed","no degree/no degree yet","18","","",""
"High transfer dependency","1987","Not Employed","lower secondary degree","24","","",""
"High transfer dependency","1987","Not Employed","secondary school degree","5","","",""
"High transfer dependency","1987","Not Employed","college entrance qualification","4","","",""
"High transfer dependency","1987","Not Employed","Other degree","10","","",""
"High transfer dependency","1987","Not Employed","no degree/no degree yet","17","","",""
"High transfer dependency","1987","Employed","lower secondary degree","19","","",""
"High transfer dependency","1987","Employed","secondary school degree","9","","",""
"High transfer dependency","1987","Employed","college entrance qualification","6","","",""
"High transfer dependency","1987","Employed","Other degree","9","","",""
"High transfer dependency","1987","Employed","no degree/no degree yet","6","","",""
"Very high transfer dependency","1987","Not Employed","lower secondary degree","62","0.0303189496839561","0.0229146155082235","0.0377232838596887"
"Very high transfer dependency","1987","Not Employed","secondary school degree","10","","",""
"Very high transfer dependency","1987","Not Employed","college entrance qualification","16","","",""
"Very high transfer dependency","1987","Not Employed","Other degree","19","","",""
"Very high transfer dependency","1987","Not Employed","no degree/no degree yet","22","","",""
"Very high transfer dependency","1987","Employed","lower secondary degree","5","","",""
"Very high transfer dependency","1987","Employed","secondary school degree","5","","",""
"Very high transfer dependency","1987","Employed","college entrance qualification","2","","",""
"Very high transfer dependency","1987","Employed","Other degree","","","",""
"Very high transfer dependency","1987","Employed","no degree/no degree yet","1","","",""
"Very low transfer dependency","1988","Not Employed","lower secondary degree","1782","0.927451027641121","0.915878437761381","0.939023617520861"
"Very low transfer dependency","1988","Not Employed","secondary school degree","497","0.955479084899932","0.937853324886314","0.97310484491355"
"Very low transfer dependency","1988","Not Employed","college entrance qualification","311","0.936730443949948","0.91073855446846","0.962722333431436"
"Very low transfer dependency","1988","Not Employed","Other degree","193","0.786257058244418","0.734924463362441","0.837589653126396"
"Very low transfer dependency","1988","Not Employed","no degree/no degree yet","388","0.854122652950859","0.821830589534449","0.886414716367268"
"Very low transfer dependency","1988","Employed","lower secondary degree","2847","0.966801364061151","0.960335308204735","0.973267419917567"
"Very low transfer dependency","1988","Employed","secondary school degree","1208","0.9761177379123","0.967609256123875","0.984626219700725"
"Very low transfer dependency","1988","Employed","college entrance qualification","824","0.978654736332702","0.968880699731331","0.988428772934073"
"Very low transfer dependency","1988","Employed","Other degree","788","0.933383663367902","0.916316488602059","0.950450838133746"
"Very low transfer dependency","1988","Employed","no degree/no degree yet","420","0.927292732241966","0.903167837571564","0.951417626912368"
"Low transfer dependency","1988","Not Employed","lower secondary degree","51","0.0224534474076762","0.0158437789481243","0.0290631158672282"
"Low transfer dependency","1988","Not Employed","secondary school degree","15","","",""
"Low transfer dependency","1988","Not Employed","college entrance qualification","15","","",""
"Low transfer dependency","1988","Not Employed","Other degree","20","","",""
"Low transfer dependency","1988","Not Employed","no degree/no degree yet","39","0.0724354981991312","0.0487223326187126","0.0961486637795498"
"Low transfer dependency","1988","Employed","lower secondary degree","74","0.0235359225279422","0.0180644471005581","0.0290073979553262"
"Low transfer dependency","1988","Employed","secondary school degree","21","","",""
"Low transfer dependency","1988","Employed","college entrance qualification","12","","",""
"Low transfer dependency","1988","Employed","Other degree","25","","",""
"Low transfer dependency","1988","Employed","no degree/no degree yet","23","","",""
"High transfer dependency","1988","Not Employed","lower secondary degree","26","","",""
"High transfer dependency","1988","Not Employed","secondary school degree","5","","",""
"High transfer dependency","1988","Not Employed","college entrance qualification","5","","",""
"High transfer dependency","1988","Not Employed","Other degree","9","","",""
"High transfer dependency","1988","Not Employed","no degree/no degree yet","6","","",""
"High transfer dependency","1988","Employed","lower secondary degree","18","","",""
"High transfer dependency","1988","Employed","secondary school degree","5","","",""
"High transfer dependency","1988","Employed","college entrance qualification","4","","",""
"High transfer dependency","1988","Employed","Other degree","5","","",""
"High transfer dependency","1988","Employed","no degree/no degree yet","2","","",""
"Very high transfer dependency","1988","Not Employed","lower secondary degree","71","0.0378490467434753","0.0293353433326811","0.0463627501542695"
"Very high transfer dependency","1988","Not Employed","secondary school degree","9","","",""
"Very high transfer dependency","1988","Not Employed","college entrance qualification","6","","",""
"Very high transfer dependency","1988","Not Employed","Other degree","23","","",""
"Very high transfer dependency","1988","Not Employed","no degree/no degree yet","26","","",""
"Very high transfer dependency","1988","Employed","lower secondary degree","10","","",""
"Very high transfer dependency","1988","Employed","secondary school degree","3","","",""
"Very high transfer dependency","1988","Employed","college entrance qualification","","","",""
"Very high transfer dependency","1988","Employed","Other degree","2","","",""
"Very high transfer dependency","1988","Employed","no degree/no degree yet","","","",""
"Very low transfer dependency","1989","Not Employed","lower secondary degree","1684","0.924235014637696","0.912124184691167","0.936345844584224"
"Very low transfer dependency","1989","Not Employed","secondary school degree","476","0.965452099783414","0.949411905892733","0.981492293674095"
"Very low transfer dependency","1989","Not Employed","college entrance qualification","308","0.916251732593735","0.886588327172228","0.945915138015243"
"Very low transfer dependency","1989","Not Employed","Other degree","191","0.71178307355321","0.655525371740108","0.768040775366313"
"Very low transfer dependency","1989","Not Employed","no degree/no degree yet","378","0.863213022023688","0.83135816218636","0.895067881861016"
"Very low transfer dependency","1989","Employed","lower secondary degree","2719","0.970043680375751","0.963749814701324","0.976337546050178"
"Very low transfer dependency","1989","Employed","secondary school degree","1191","0.976091485372835","0.967498178767097","0.984684791978574"
"Very low transfer dependency","1989","Employed","college entrance qualification","847","0.975590783692891","0.965324837328928","0.985856730056854"
"Very low transfer dependency","1989","Employed","Other degree","750","0.960694508610138","0.94707492018537","0.974314097034906"
"Very low transfer dependency","1989","Employed","no degree/no degree yet","409","0.894510739653513","0.865610587485821","0.923410891821206"
"Low transfer dependency","1989","Not Employed","lower secondary degree","64","0.0279551603687044","0.0204107975009745","0.0354995232364343"
"Low transfer dependency","1989","Not Employed","secondary school degree","5","","",""
"Low transfer dependency","1989","Not Employed","college entrance qualification","13","","",""
"Low transfer dependency","1989","Not Employed","Other degree","20","","",""
"Low transfer dependency","1989","Not Employed","no degree/no degree yet","32","0.0443755847743775","0.0252854061286887","0.0634657634200662"
"Low transfer dependency","1989","Employed","lower secondary degree","67","0.0182374453475457","0.0132970371894489","0.0231778535056425"
"Low transfer dependency","1989","Employed","secondary school degree","15","","",""
"Low transfer dependency","1989","Employed","college entrance qualification","20","","",""
"Low transfer dependency","1989","Employed","Other degree","26","","",""
"Low transfer dependency","1989","Employed","no degree/no degree yet","22","","",""
"High transfer dependency","1989","Not Employed","lower secondary degree","18","","",""
"High transfer dependency","1989","Not Employed","secondary school degree","5","","",""
"High transfer dependency","1989","Not Employed","college entrance qualification","11","","",""
"High transfer dependency","1989","Not Employed","Other degree","10","","",""
"High transfer dependency","1989","Not Employed","no degree/no degree yet","13","","",""
"High transfer dependency","1989","Employed","lower secondary degree","24","","",""
"High transfer dependency","1989","Employed","secondary school degree","8","","",""
"High transfer dependency","1989","Employed","college entrance qualification","1","","",""
"High transfer dependency","1989","Employed","Other degree","5","","",""
"High transfer dependency","1989","Employed","no degree/no degree yet","3","","",""
"Very high transfer dependency","1989","Not Employed","lower secondary degree","68","0.0394327699794455","0.0305255751611152","0.0483399647977759"
"Very high transfer dependency","1989","Not Employed","secondary school degree","12","","",""
"Very high transfer dependency","1989","Not Employed","college entrance qualification","3","","",""
"Very high transfer dependency","1989","Not Employed","Other degree","28","","",""
"Very high transfer dependency","1989","Not Employed","no degree/no degree yet","24","","",""
"Very high transfer dependency","1989","Employed","lower secondary degree","8","","",""
"Very high transfer dependency","1989","Employed","secondary school degree","","","",""
"Very high transfer dependency","1989","Employed","college entrance qualification","","","",""
"Very high transfer dependency","1989","Employed","Other degree","1","","",""
"Very high transfer dependency","1989","Employed","no degree/no degree yet","","","",""
"Very low transfer dependency","1990","Not Employed","lower secondary degree","1682","0.938529774750923","0.927418284888053","0.949641264613794"
"Very low transfer dependency","1990","Not Employed","secondary school degree","434","0.956676650535641","0.938112687141632","0.975240613929651"
"Very low transfer dependency","1990","Not Employed","college entrance qualification","301","0.948359143326485","0.923920564262096","0.972797722390873"
"Very low transfer dependency","1990","Not Employed","Other degree","191","0.722015891221443","0.666811809073936","0.777219973368951"
"Very low transfer dependency","1990","Not Employed","no degree/no degree yet","369","0.863694345401555","0.831073846377913","0.896314844425197"
"Very low transfer dependency","1990","Employed","lower secondary degree","2637","0.96663357565396","0.959905413267668","0.973361738040252"
"Very low transfer dependency","1990","Employed","secondary school degree","1203","0.981880478929088","0.974405025632093","0.989355932226084"
"Very low transfer dependency","1990","Employed","college entrance qualification","870","0.98227042174912","0.973580898173943","0.990959945324297"
"Very low transfer dependency","1990","Employed","Other degree","730","0.966603144898705","0.95376163594901","0.9794446538484"
"Very low transfer dependency","1990","Employed","no degree/no degree yet","392","0.948706887201526","0.927301969420165","0.970111804982888"
"Low transfer dependency","1990","Not Employed","lower secondary degree","50","0.0238867731306478","0.0168228704746582","0.0309506757866374"
"Low transfer dependency","1990","Not Employed","secondary school degree","13","","",""
"Low transfer dependency","1990","Not Employed","college entrance qualification","8","","",""
"Low transfer dependency","1990","Not Employed","Other degree","23","","",""
"Low transfer dependency","1990","Not Employed","no degree/no degree yet","22","","",""
"Low transfer dependency","1990","Employed","lower secondary degree","68","0.0213869106211868","0.0159670236492498","0.0268067975931237"
"Low transfer dependency","1990","Employed","secondary school degree","12","","",""
"Low transfer dependency","1990","Employed","college entrance qualification","12","","",""
"Low transfer dependency","1990","Employed","Other degree","17","","",""
"Low transfer dependency","1990","Employed","no degree/no degree yet","10","","",""
"High transfer dependency","1990","Not Employed","lower secondary degree","24","","",""
"High transfer dependency","1990","Not Employed","secondary school degree","4","","",""
"High transfer dependency","1990","Not Employed","college entrance qualification","2","","",""
"High transfer dependency","1990","Not Employed","Other degree","11","","",""
"High transfer dependency","1990","Not Employed","no degree/no degree yet","12","","",""
"High transfer dependency","1990","Employed","lower secondary degree","26","","",""
"High transfer dependency","1990","Employed","secondary school degree","5","","",""
"High transfer dependency","1990","Employed","college entrance qualification","4","","",""
"High transfer dependency","1990","Employed","Other degree","4","","",""
"High transfer dependency","1990","Employed","no degree/no degree yet","5","","",""
"Very high transfer dependency","1990","Not Employed","lower secondary degree","39","0.0242345215064108","0.0171206533204644","0.0313483896923571"
"Very high transfer dependency","1990","Not Employed","secondary school degree","11","","",""
"Very high transfer dependency","1990","Not Employed","college entrance qualification","4","","",""
"Very high transfer dependency","1990","Not Employed","Other degree","28","","",""
"Very high transfer dependency","1990","Not Employed","no degree/no degree yet","22","","",""
"Very high transfer dependency","1990","Employed","lower secondary degree","6","","",""
"Very high transfer dependency","1990","Employed","secondary school degree","3","","",""
"Very high transfer dependency","1990","Employed","college entrance qualification","","","",""
"Very high transfer dependency","1990","Employed","Other degree","1","","",""
"Very high transfer dependency","1990","Employed","no degree/no degree yet","1","","",""
"Very low transfer dependency","1991","Not Employed","lower secondary degree","1612","0.930076952449926","0.918080775971766","0.942073128928086"
"Very low transfer dependency","1991","Not Employed","secondary school degree","445","0.956349604046962","0.937936798969995","0.97476240912393"
"Very low transfer dependency","1991","Not Employed","college entrance qualification","303","0.92623046483279","0.898027863052884","0.954433066612695"
"Very low transfer dependency","1991","Not Employed","Other degree","190","0.746274876908648","0.691675922668902","0.800873831148394"
"Very low transfer dependency","1991","Not Employed","no degree/no degree yet","352","0.86279497150358","0.829368564012169","0.896221378994991"
"Very low transfer dependency","1991","Employed","lower secondary degree","2633","0.970189459544505","0.96379951600249","0.976579403086519"
"Very low transfer dependency","1991","Employed","secondary school degree","1201","0.978697170651268","0.970614671521687","0.98677966978085"
"Very low transfer dependency","1991","Employed","college entrance qualification","892","0.987853423414968","0.980720670282212","0.994986176547725"
"Very low transfer dependency","1991","Employed","Other degree","721","0.9496086583958","0.933942681720764","0.965274635070836"
"Very low transfer dependency","1991","Employed","no degree/no degree yet","397","0.953588734329302","0.933372806075323","0.97380466258328"
"Low transfer dependency","1991","Not Employed","lower secondary degree","51","0.0257575812407786","0.0183058138943802","0.0332093485871771"
"Low transfer dependency","1991","Not Employed","secondary school degree","14","","",""
"Low transfer dependency","1991","Not Employed","college entrance qualification","16","","",""
"Low transfer dependency","1991","Not Employed","Other degree","22","","",""
"Low transfer dependency","1991","Not Employed","no degree/no degree yet","32","0.08151380587732","0.0549308795176559","0.108096732236984"
"Low transfer dependency","1991","Employed","lower secondary degree","65","0.0230260351652611","0.0173905034639072","0.028661566866615"
"Low transfer dependency","1991","Employed","secondary school degree","15","","",""
"Low transfer dependency","1991","Employed","college entrance qualification","13","","",""
"Low transfer dependency","1991","Employed","Other degree","21","","",""
"Low transfer dependency","1991","Employed","no degree/no degree yet","19","","",""
"High transfer dependency","1991","Not Employed","lower secondary degree","31","0.0175457830219909","0.0113696624141358","0.0237219036298459"
"High transfer dependency","1991","Not Employed","secondary school degree","5","","",""
"High transfer dependency","1991","Not Employed","college entrance qualification","3","","",""
"High transfer dependency","1991","Not Employed","Other degree","9","","",""
"High transfer dependency","1991","Not Employed","no degree/no degree yet","7","","",""
"High transfer dependency","1991","Employed","lower secondary degree","18","","",""
"High transfer dependency","1991","Employed","secondary school degree","8","","",""
"High transfer dependency","1991","Employed","college entrance qualification","1","","",""
"High transfer dependency","1991","Employed","Other degree","6","","",""
"High transfer dependency","1991","Employed","no degree/no degree yet","","","",""
"Very high transfer dependency","1991","Not Employed","lower secondary degree","42","0.0266196832873044","0.0190475900559607","0.0341917765186481"
"Very high transfer dependency","1991","Not Employed","secondary school degree","9","","",""
"Very high transfer dependency","1991","Not Employed","college entrance qualification","8","","",""
"Very high transfer dependency","1991","Not Employed","Other degree","23","","",""
"Very high transfer dependency","1991","Not Employed","no degree/no degree yet","16","","",""
"Very high transfer dependency","1991","Employed","lower secondary degree","5","","",""
"Very high transfer dependency","1991","Employed","secondary school degree","2","","",""
"Very high transfer dependency","1991","Employed","college entrance qualification","","","",""
"Very high transfer dependency","1991","Employed","Other degree","1","","",""
"Very high transfer dependency","1991","Employed","no degree/no degree yet","","","",""
"Very low transfer dependency","1992","Not Employed","lower secondary degree","2163","0.936725263471356","0.926842048459725","0.946608478482988"
"Very low transfer dependency","1992","Not Employed","secondary school degree","627","0.910091446323355","0.88936926008866","0.93081363255805"
"Very low transfer dependency","1992","Not Employed","college entrance qualification","345","0.911196487430531","0.883354707564393","0.93903826729667"
"Very low transfer dependency","1992","Not Employed","Other degree","196","0.752066131957764","0.699679101534845","0.804453162380682"
"Very low transfer dependency","1992","Not Employed","no degree/no degree yet","387","0.905085239278661","0.877944560579879","0.932225917977443"
"Very low transfer dependency","1992","Employed","lower secondary degree","3358","0.962504886058786","0.956237144623574","0.968772627493998"
"Very low transfer dependency","1992","Employed","secondary school degree","2662","0.940540305539692","0.931880945041392","0.949199666037992"
"Very low transfer dependency","1992","Employed","college entrance qualification","1273","0.967636122431509","0.958136216009382","0.977136028853635"
"Very low transfer dependency","1992","Employed","Other degree","720","0.968822760561676","0.956351232362887","0.981294288760465"
"Very low transfer dependency","1992","Employed","no degree/no degree yet","378","0.928050584899213","0.902946156079076","0.95315501371935"
"Low transfer dependency","1992","Not Employed","lower secondary degree","74","0.0211548037556797","0.0153131143607148","0.0269964931506447"
"Low transfer dependency","1992","Not Employed","secondary school degree","75","0.0493850322933414","0.0336889037901936","0.0650811607964891"
"Low transfer dependency","1992","Not Employed","college entrance qualification","34","0.0465891108213863","0.0259610611018548","0.0672171605409178"
"Low transfer dependency","1992","Not Employed","Other degree","28","","",""
"Low transfer dependency","1992","Not Employed","no degree/no degree yet","32","0.048359850688356","0.0284948795732217","0.0682248218034903"
"Low transfer dependency","1992","Employed","lower secondary degree","131","0.0271379708930799","0.0217770848610048","0.0324988569251551"
"Low transfer dependency","1992","Employed","secondary school degree","169","0.0472012760172785","0.0394358867533928","0.0549666652811643"
"Low transfer dependency","1992","Employed","college entrance qualification","49","0.0252476029237099","0.0168260875093317","0.0336691183380881"
"Low transfer dependency","1992","Employed","Other degree","16","","",""
"Low transfer dependency","1992","Employed","no degree/no degree yet","24","","",""
"High transfer dependency","1992","Not Employed","lower secondary degree","40","0.0138086679441111","0.00907134013201304","0.0185459957562093"
