"transab_cat2","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1986","Bavaria","Urban Area","5","","","","2"
"High transfer dependency","1986","Bavaria","Rural Area","12","","","","2"
"High transfer dependency","1986","Berlin","Rural Area","","","","","2"
"High transfer dependency","1986","Berlin","Urban Area","9","","","","2"
"High transfer dependency","1986","Brandenburg","Urban Area","","","","","2"
"High transfer dependency","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"High transfer dependency","1986","Brandenburg","Rural Area","","","","","2"
"High transfer dependency","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"High transfer dependency","1986","Saxony","Urban Area","","","","","2"
"High transfer dependency","1986","Saxony","Rural Area","","","","","2"
"High transfer dependency","1986","Saxony-Anhalt","Urban Area","","","","","2"
"Low transfer dependency","1986","Hamburg","Urban Area","9","","","","1"
"Low transfer dependency","1986","Hamburg","Rural Area","","","","","1"
"Low transfer dependency","1986","Lower Saxony","Urban Area","19","","","","1"
"Low transfer dependency","1986","Lower Saxony","Rural Area","27","","","","1"
"Low transfer dependency","1986","Schleswig-Holstein","Rural Area","6","","","","1"
"Low transfer dependency","1986","Bremen","Rural Area","","","","","1"
"Low transfer dependency","1986","Bremen","Urban Area","6","","","","1"
"Low transfer dependency","1986","Schleswig-Holstein","Urban Area","11","","","","1"
"Low transfer dependency","1986","North Rhine-Westphalia","Rural Area","","","","","1"
"Low transfer dependency","1986","Hesse","Urban Area","26","","","","1"
"Low transfer dependency","1986","North Rhine-Westphalia","Urban Area","91","0.0288200707348939","0.0226043877206313","0.0350357537491566","1"
"Low transfer dependency","1986","Hesse","Rural Area","8","","","","1"
"Low transfer dependency","1986","Rhineland-Palatinate,Saarland","Urban Area","12","","","","1"
"Low transfer dependency","1986","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"Low transfer dependency","1986","Baden-Württemberg","Urban Area","44","0.0172871760899838","0.0110877057339426","0.023486646446025","1"
"Low transfer dependency","1986","Bavaria","Rural Area","29","","","","1"
"Low transfer dependency","1986","Baden-Württemberg","Rural Area","15","","","","1"
"Low transfer dependency","1986","Bavaria","Urban Area","11","","","","1"
"Low transfer dependency","1986","Berlin","Urban Area","15","","","","1"
"Low transfer dependency","1986","Berlin","Rural Area","","","","","1"
"Low transfer dependency","1986","Brandenburg","Urban Area","","","","","1"
"Low transfer dependency","1986","Brandenburg","Rural Area","","","","","1"
"Low transfer dependency","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Low transfer dependency","1986","Thuringia","Urban Area","","","","","1"
"Low transfer dependency","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Low transfer dependency","1986","Saxony","Urban Area","","","","","1"
"Low transfer dependency","1986","Saxony-Anhalt","Rural Area","","","","","1"
"Low transfer dependency","1986","Thuringia","Rural Area","","","","","1"
"Low transfer dependency","1986","Saxony","Rural Area","","","","","1"
"Low transfer dependency","1986","Saxony-Anhalt","Urban Area","","","","","1"
"Very high transfer dependency","1986","Schleswig-Holstein","Urban Area","3","","","","3"
"Very high transfer dependency","1986","Hamburg","Urban Area","10","","","","3"
"Very high transfer dependency","1986","Schleswig-Holstein","Rural Area","2","","","","3"
"Very high transfer dependency","1986","Hamburg","Rural Area","","","","","3"
"Very high transfer dependency","1986","Rhineland-Palatinate,Saarland","Rural Area","","","","","3"
"Very high transfer dependency","1986","Baden-Württemberg","Urban Area","13","","","","3"
"Very high transfer dependency","1986","Baden-Württemberg","Rural Area","","","","","3"
"Very high transfer dependency","1986","Bavaria","Urban Area","10","","","","3"
"Very high transfer dependency","1986","Lower Saxony","Urban Area","8","","","","3"
"Very high transfer dependency","1986","Lower Saxony","Rural Area","16","","","","3"
"Very high transfer dependency","1986","Bremen","Urban Area","5","","","","3"
"Very high transfer dependency","1986","Bremen","Rural Area","","","","","3"
"Very high transfer dependency","1986","North Rhine-Westphalia","Urban Area","66","0.0259836253441648","0.0200731216969103","0.0318941289914193","3"
"Very high transfer dependency","1986","North Rhine-Westphalia","Rural Area","1","","","","3"
"Very high transfer dependency","1986","Hesse","Urban Area","15","","","","3"
"Very high transfer dependency","1986","Hesse","Rural Area","4","","","","3"
"Very high transfer dependency","1986","Rhineland-Palatinate,Saarland","Urban Area","6","","","","3"
"Very high transfer dependency","1986","Bavaria","Rural Area","6","","","","3"
"Very high transfer dependency","1986","Berlin","Urban Area","5","","","","3"
"Very high transfer dependency","1986","Berlin","Rural Area","","","","","3"
"Very high transfer dependency","1986","Brandenburg","Urban Area","","","","","3"
"Very high transfer dependency","1986","Brandenburg","Rural Area","","","","","3"
"Very high transfer dependency","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Very high transfer dependency","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Very high transfer dependency","1986","Saxony","Urban Area","","","","","3"
"Very high transfer dependency","1986","Saxony","Rural Area","","","","","3"
"Very high transfer dependency","1986","Saxony-Anhalt","Urban Area","","","","","3"
"Very high transfer dependency","1986","Saxony-Anhalt","Rural Area","","","","","3"
"Very high transfer dependency","1986","Thuringia","Urban Area","","","","","3"
"Very high transfer dependency","1986","Thuringia","Rural Area","","","","","3"
"Very low transfer dependency","1986","Schleswig-Holstein","Urban Area","139","0.91980918940192","0.876775007682569","0.962843371121272","0"
"Very low transfer dependency","1986","Schleswig-Holstein","Rural Area","160","0.943414861796565","0.908580545900879","0.978249177692252","0"
"Very low transfer dependency","1986","Hamburg","Urban Area","231","0.951423211935629","0.92477430772214","0.978072116149118","0"
"Very low transfer dependency","1986","Hamburg","Rural Area","6","","","","0"
"Very low transfer dependency","1986","Lower Saxony","Urban Area","557","0.93813711974106","0.918714733837209","0.957559505644911","0"
"Very low transfer dependency","1986","Lower Saxony","Rural Area","472","0.924752143524877","0.902035563397495","0.947468723652259","0"
"Very low transfer dependency","1986","Bremen","Urban Area","93","0.893226439927352","0.835250541335161","0.951202338519543","0"
"Very low transfer dependency","1986","Bremen","Rural Area","","","","","0"
"Very low transfer dependency","1986","North Rhine-Westphalia","Urban Area","2590","0.935518800950176","0.926393770966931","0.944643830933421","0"
"Very low transfer dependency","1986","North Rhine-Westphalia","Rural Area","63","0.891306242161889","0.817865117056529","0.964747367267249","0"
"Very low transfer dependency","1986","Hesse","Urban Area","856","0.949281474388003","0.934993692724245","0.963569256051762","0"
"Very low transfer dependency","1986","Hesse","Rural Area","129","0.954705378281018","0.920622357814816","0.98878839874722","0"
"Very low transfer dependency","1986","Rhineland-Palatinate,Saarland","Urban Area","597","0.95793535063047","0.94217264357416","0.97369805768678","0"
"Very low transfer dependency","1986","Rhineland-Palatinate,Saarland","Rural Area","143","0.975742163084276","0.950786722881331","1.00069760328722","0"
"Very low transfer dependency","1986","Baden-Württemberg","Urban Area","1626","0.969479924274849","0.961298263638594","0.977661584911103","0"
"Very low transfer dependency","1986","Baden-Württemberg","Rural Area","280","0.970690800698788","0.951507987383641","0.989873614013935","0"
"Very low transfer dependency","1986","Bavaria","Urban Area","926","0.962012850359748","0.949869503305086","0.97415619741441","0"
"Very low transfer dependency","1986","Bavaria","Rural Area","779","0.932040997051034","0.914877764990524","0.949204229111543","0"
"Very low transfer dependency","1986","Berlin","Urban Area","321","0.953502415350551","0.931443194717199","0.975561635983903","0"
"Very low transfer dependency","1986","Berlin","Rural Area","","","","","0"
"Very low transfer dependency","1986","Brandenburg","Urban Area","","","","","0"
"Very low transfer dependency","1986","Brandenburg","Rural Area","","","","","0"
"Very low transfer dependency","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Very low transfer dependency","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Very low transfer dependency","1986","Saxony","Urban Area","","","","","0"
"Very low transfer dependency","1986","Saxony","Rural Area","","","","","0"
"Very low transfer dependency","1986","Saxony-Anhalt","Urban Area","","","","","0"
"Very low transfer dependency","1986","Saxony-Anhalt","Rural Area","","","","","0"
"Very low transfer dependency","1986","Thuringia","Urban Area","","","","","0"
"Very low transfer dependency","1986","Thuringia","Rural Area","","","","","0"
"High transfer dependency","1987","Hamburg","Rural Area","","","","","2"
"High transfer dependency","1987","Schleswig-Holstein","Rural Area","9","","","","2"
"High transfer dependency","1987","Hamburg","Urban Area","5","","","","2"
"High transfer dependency","1987","Lower Saxony","Urban Area","3","","","","2"
"High transfer dependency","1987","Lower Saxony","Rural Area","6","","","","2"
"High transfer dependency","1987","Bremen","Urban Area","12","","","","2"
"High transfer dependency","1987","Schleswig-Holstein","Urban Area","4","","","","2"
"High transfer dependency","1987","North Rhine-Westphalia","Rural Area","","","","","2"
"High transfer dependency","1987","Bremen","Rural Area","","","","","2"
"High transfer dependency","1987","North Rhine-Westphalia","Urban Area","31","0.00995722731086255","0.00625306729325782","0.0136613873284673","2"
"High transfer dependency","1987","Hesse","Urban Area","7","","","","2"
"High transfer dependency","1987","Hesse","Rural Area","","","","","2"
"High transfer dependency","1987","Rhineland-Palatinate,Saarland","Rural Area","2","","","","2"
"High transfer dependency","1987","Rhineland-Palatinate,Saarland","Urban Area","5","","","","2"
"High transfer dependency","1987","Baden-Württemberg","Urban Area","11","","","","2"
"High transfer dependency","1987","Bavaria","Urban Area","4","","","","2"
"High transfer dependency","1987","Saxony-Anhalt","Rural Area","","","","","2"
"High transfer dependency","1987","Baden-Württemberg","Rural Area","4","","","","2"
"High transfer dependency","1987","Thuringia","Rural Area","","","","","2"
"High transfer dependency","1987","Thuringia","Urban Area","","","","","2"
"High transfer dependency","1987","Bavaria","Rural Area","3","","","","2"
"High transfer dependency","1987","Berlin","Urban Area","7","","","","2"
"High transfer dependency","1987","Berlin","Rural Area","","","","","2"
"High transfer dependency","1987","Brandenburg","Urban Area","","","","","2"
"High transfer dependency","1987","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"High transfer dependency","1987","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"High transfer dependency","1987","Brandenburg","Rural Area","","","","","2"
"High transfer dependency","1987","Saxony","Urban Area","","","","","2"
"High transfer dependency","1987","Saxony","Rural Area","","","","","2"
"High transfer dependency","1987","Saxony-Anhalt","Urban Area","","","","","2"
"Low transfer dependency","1987","Schleswig-Holstein","Rural Area","10","","","","1"
"Low transfer dependency","1987","Lower Saxony","Urban Area","24","","","","1"
"Low transfer dependency","1987","Hamburg","Rural Area","","","","","1"
"Low transfer dependency","1987","Lower Saxony","Rural Area","17","","","","1"
"Low transfer dependency","1987","Schleswig-Holstein","Urban Area","4","","","","1"
"Low transfer dependency","1987","Hamburg","Urban Area","9","","","","1"
"Low transfer dependency","1987","Bremen","Urban Area","6","","","","1"
"Low transfer dependency","1987","Bremen","Rural Area","","","","","1"
"Low transfer dependency","1987","North Rhine-Westphalia","Urban Area","106","0.0345035115391243","0.0276942416542563","0.0413127814239923","1"
"Low transfer dependency","1987","North Rhine-Westphalia","Rural Area","","","","","1"
"Low transfer dependency","1987","Hesse","Urban Area","32","0.0358705474884084","0.0238274824473884","0.0479136125294284","1"
"Low transfer dependency","1987","Hesse","Rural Area","6","","","","1"
"Low transfer dependency","1987","Rhineland-Palatinate,Saarland","Urban Area","13","","","","1"
"Low transfer dependency","1987","Rhineland-Palatinate,Saarland","Rural Area","3","","","","1"
"Low transfer dependency","1987","Baden-Württemberg","Urban Area","38","0.0158141646711437","0.0098591753176137","0.0217691540246737","1"
"Low transfer dependency","1987","Bavaria","Urban Area","18","","","","1"
"Low transfer dependency","1987","Bavaria","Rural Area","34","0.0412037227833426","0.0275326852939314","0.0548747602727537","1"
"Low transfer dependency","1987","Baden-Württemberg","Rural Area","9","","","","1"
"Low transfer dependency","1987","Berlin","Urban Area","13","","","","1"
"Low transfer dependency","1987","Berlin","Rural Area","","","","","1"
"Low transfer dependency","1987","Brandenburg","Urban Area","","","","","1"
"Low transfer dependency","1987","Brandenburg","Rural Area","","","","","1"
"Low transfer dependency","1987","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Low transfer dependency","1987","Thuringia","Urban Area","","","","","1"
"Low transfer dependency","1987","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Low transfer dependency","1987","Saxony","Urban Area","","","","","1"
"Low transfer dependency","1987","Saxony-Anhalt","Rural Area","","","","","1"
"Low transfer dependency","1987","Thuringia","Rural Area","","","","","1"
"Low transfer dependency","1987","Saxony","Rural Area","","","","","1"
"Low transfer dependency","1987","Saxony-Anhalt","Urban Area","","","","","1"
"Very high transfer dependency","1987","Hamburg","Rural Area","","","","","3"
"Very high transfer dependency","1987","Schleswig-Holstein","Rural Area","3","","","","3"
"Very high transfer dependency","1987","Hamburg","Urban Area","4","","","","3"
"Very high transfer dependency","1987","Schleswig-Holstein","Urban Area","1","","","","3"
"Very high transfer dependency","1987","Baden-Württemberg","Urban Area","8","","","","3"
"Very high transfer dependency","1987","Baden-Württemberg","Rural Area","","","","","3"
"Very high transfer dependency","1987","Bavaria","Urban Area","9","","","","3"
"Very high transfer dependency","1987","Rhineland-Palatinate,Saarland","Rural Area","","","","","3"
"Very high transfer dependency","1987","Lower Saxony","Urban Area","4","","","","3"
"Very high transfer dependency","1987","Lower Saxony","Rural Area","17","","","","3"
"Very high transfer dependency","1987","Bremen","Urban Area","1","","","","3"
"Very high transfer dependency","1987","Bremen","Rural Area","","","","","3"
"Very high transfer dependency","1987","North Rhine-Westphalia","Urban Area","61","0.0260642381447069","0.0201202049788136","0.0320082713106001","3"
"Very high transfer dependency","1987","North Rhine-Westphalia","Rural Area","1","","","","3"
"Very high transfer dependency","1987","Hesse","Urban Area","19","","","","3"
"Very high transfer dependency","1987","Hesse","Rural Area","2","","","","3"
"Very high transfer dependency","1987","Rhineland-Palatinate,Saarland","Urban Area","6","","","","3"
"Very high transfer dependency","1987","Bavaria","Rural Area","9","","","","3"
"Very high transfer dependency","1987","Berlin","Urban Area","","","","","3"
"Very high transfer dependency","1987","Berlin","Rural Area","","","","","3"
"Very high transfer dependency","1987","Brandenburg","Urban Area","","","","","3"
"Very high transfer dependency","1987","Brandenburg","Rural Area","","","","","3"
"Very high transfer dependency","1987","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Very high transfer dependency","1987","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Very high transfer dependency","1987","Saxony","Urban Area","","","","","3"
"Very high transfer dependency","1987","Saxony","Rural Area","","","","","3"
"Very high transfer dependency","1987","Saxony-Anhalt","Urban Area","","","","","3"
"Very high transfer dependency","1987","Saxony-Anhalt","Rural Area","","","","","3"
"Very high transfer dependency","1987","Thuringia","Urban Area","","","","","3"
"Very high transfer dependency","1987","Thuringia","Rural Area","","","","","3"
"Very low transfer dependency","1987","Schleswig-Holstein","Urban Area","140","0.972087579504503","0.945638753267158","0.998536405741847","0"
"Very low transfer dependency","1987","Schleswig-Holstein","Rural Area","155","0.901916114183887","0.858099041241151","0.945733187126622","0"
"Very low transfer dependency","1987","Hamburg","Urban Area","204","0.954628058800618","0.927251277812029","0.982004839789207","0"
"Very low transfer dependency","1987","Hamburg","Rural Area","4","","","","0"
"Very low transfer dependency","1987","Lower Saxony","Urban Area","556","0.945595675619278","0.927247263345582","0.963944087892973","0"
"Very low transfer dependency","1987","Lower Saxony","Rural Area","475","0.92920026273766","0.90704815976785","0.95135236570747","0"
"Very low transfer dependency","1987","Bremen","Urban Area","82","0.852533522429127","0.78338390369555","0.921683141162704","0"
"Very low transfer dependency","1987","Bremen","Rural Area","","","","","0"
"Very low transfer dependency","1987","North Rhine-Westphalia","Urban Area","2562","0.929475023005306","0.919923252299635","0.939026793710977","0"
"Very low transfer dependency","1987","North Rhine-Westphalia","Rural Area","64","0.975112146629024","0.93724065458706","1.01298363867099","0"
"Very low transfer dependency","1987","Hesse","Urban Area","858","0.944272302095208","0.929416895908975","0.95912770828144","0"
"Very low transfer dependency","1987","Hesse","Rural Area","135","0.96422215171609","0.933779972831107","0.994664330601073","0"
"Very low transfer dependency","1987","Rhineland-Palatinate,Saarland","Urban Area","602","0.966620641838586","0.952549545134896","0.980691738542275","0"
"Very low transfer dependency","1987","Rhineland-Palatinate,Saarland","Rural Area","140","0.96550261554333","0.935797318360785","0.995207912725875","0"
"Very low transfer dependency","1987","Baden-Württemberg","Urban Area","1629","0.979608162523692","0.972861737719904","0.986354587327479","0"
"Very low transfer dependency","1987","Baden-Württemberg","Rural Area","275","0.955023496300287","0.931087488293777","0.978959504306797","0"
"Very low transfer dependency","1987","Bavaria","Urban Area","890","0.960600418869774","0.948036200842369","0.973164636897178","0"
"Very low transfer dependency","1987","Bavaria","Rural Area","766","0.938111798441399","0.921538791713629","0.954684805169169","0"
"Very low transfer dependency","1987","Berlin","Urban Area","343","0.966563411393054","0.948069833748904","0.985056989037205","0"
"Very low transfer dependency","1987","Berlin","Rural Area","","","","","0"
"Very low transfer dependency","1987","Brandenburg","Urban Area","","","","","0"
"Very low transfer dependency","1987","Brandenburg","Rural Area","","","","","0"
