"transab_cat2","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1986","Full Time","inadequately","348","0.979651190634774","0.965025653845373","0.994276727424176"
"Very low transfer dependency","1986","Full Time","general elemantary","987","0.983007476614275","0.975020977472698","0.990993975755851"
"Very low transfer dependency","1986","Full Time","middle vocational","2452","0.986030080256691","0.981421116799563","0.99063904371382"
"Very low transfer dependency","1986","Full Time","vocational + Abi","148","0.991584776350164","0.97706285589306","1.00610669680727"
"Very low transfer dependency","1986","Full Time","higher vocational","315","0.984258007233497","0.970598435536212","0.997917578930783"
"Very low transfer dependency","1986","Full Time","higher education","473","0.997077956339234","0.992223851030194","1.00193206164827"
"Very low transfer dependency","1986","Part Time","in school","5","","",""
"Very low transfer dependency","1986","Part Time","inadequately","87","0.813179177322425","0.738979686821872","0.887378667822978"
"Very low transfer dependency","1986","Part Time","general elemantary","481","0.924315634601726","0.901669416585625","0.946961852617828"
"Very low transfer dependency","1986","Part Time","middle vocational","798","0.903292147466063","0.883731047093984","0.922853247838141"
"Very low transfer dependency","1986","Part Time","vocational + Abi","40","0.778396016556543","0.665511207431454","0.891280825681633"
"Very low transfer dependency","1986","Part Time","higher vocational","96","0.971420414833394","0.938598639594578","1.00424219007221"
"Very low transfer dependency","1986","Part Time","higher education","123","0.915472739634716","0.867654066655612","0.96329141261382"
"Very low transfer dependency","1986","Not Working","in school","174","0.950147621890542","0.918528421714654","0.981766822066431"
"Very low transfer dependency","1986","Not Working","inadequately","253","0.762599597451285","0.715980687645869","0.809218507256701"
"Very low transfer dependency","1986","Not Working","general elemantary","1246","0.922731833201438","0.908597757282808","0.936865909120068"
"Very low transfer dependency","1986","Not Working","middle vocational","1505","0.933831899972118","0.921764520391286","0.945899279552951"
"Very low transfer dependency","1986","Not Working","vocational + Abi","61","0.882294398841816","0.808369287567463","0.956219510116169"
"Very low transfer dependency","1986","Not Working","higher vocational","146","0.884624956385859","0.835580511700227","0.933669401071492"
"Very low transfer dependency","1986","Not Working","higher education","130","0.922572992534159","0.878613717211244","0.966532267857075"
"Low transfer dependency","1986","Full Time","in school","","","",""
"Low transfer dependency","1986","Full Time","inadequately","10","","",""
"Low transfer dependency","1986","Full Time","general elemantary","17","","",""
"Low transfer dependency","1986","Full Time","middle vocational","35","0.0129757431454877","0.00853156703753654","0.0174199192534389"
"Low transfer dependency","1986","Full Time","vocational + Abi","3","","",""
"Low transfer dependency","1986","Full Time","higher vocational","3","","",""
"Low transfer dependency","1986","Full Time","higher education","2","","",""
"Low transfer dependency","1986","Part Time","in school","","","",""
"Low transfer dependency","1986","Part Time","inadequately","15","","",""
"Low transfer dependency","1986","Part Time","general elemantary","23","","",""
"Low transfer dependency","1986","Part Time","middle vocational","53","0.061709508150932","0.045784011153989","0.0776350051478749"
"Low transfer dependency","1986","Part Time","vocational + Abi","7","","",""
"Low transfer dependency","1986","Part Time","higher vocational","3","","",""
"Low transfer dependency","1986","Part Time","higher education","6","","",""
"Low transfer dependency","1986","Not Working","in school","3","","",""
"Low transfer dependency","1986","Not Working","inadequately","31","0.0794102883693934","0.0497862305349946","0.109034346203792"
"Low transfer dependency","1986","Not Working","general elemantary","48","0.0289508777821904","0.0200756229511019","0.0378261326132789"
"Low transfer dependency","1986","Not Working","middle vocational","47","0.0241148396690295","0.0166675913475992","0.0315620879904598"
"Low transfer dependency","1986","Not Working","vocational + Abi","5","","",""
"Low transfer dependency","1986","Not Working","higher vocational","6","","",""
"Low transfer dependency","1986","Not Working","higher education","2","","",""
"High transfer dependency","1986","Full Time","in school","","","",""
"High transfer dependency","1986","Full Time","inadequately","","","",""
"High transfer dependency","1986","Full Time","general elemantary","1","","",""
"High transfer dependency","1986","Full Time","middle vocational","3","","",""
"High transfer dependency","1986","Full Time","vocational + Abi","1","","",""
"High transfer dependency","1986","Full Time","higher vocational","1","","",""
"High transfer dependency","1986","Full Time","higher education","","","",""
"High transfer dependency","1986","Part Time","in school","","","",""
"High transfer dependency","1986","Part Time","inadequately","2","","",""
"High transfer dependency","1986","Part Time","general elemantary","17","","",""
"High transfer dependency","1986","Part Time","middle vocational","21","","",""
"High transfer dependency","1986","Part Time","vocational + Abi","4","","",""
"High transfer dependency","1986","Part Time","higher vocational","","","",""
"High transfer dependency","1986","Part Time","higher education","1","","",""
"High transfer dependency","1986","Not Working","in school","2","","",""
"High transfer dependency","1986","Not Working","inadequately","14","","",""
"High transfer dependency","1986","Not Working","general elemantary","24","","",""
"High transfer dependency","1986","Not Working","middle vocational","23","","",""
"High transfer dependency","1986","Not Working","vocational + Abi","2","","",""
"High transfer dependency","1986","Not Working","higher vocational","3","","",""
"High transfer dependency","1986","Not Working","higher education","2","","",""
"Very high transfer dependency","1986","Full Time","in school","","","",""
"Very high transfer dependency","1986","Full Time","inadequately","","","",""
"Very high transfer dependency","1986","Full Time","general elemantary","1","","",""
"Very high transfer dependency","1986","Full Time","middle vocational","1","","",""
"Very high transfer dependency","1986","Full Time","vocational + Abi","","","",""
"Very high transfer dependency","1986","Full Time","higher vocational","","","",""
"Very high transfer dependency","1986","Full Time","higher education","","","",""
"Very high transfer dependency","1986","Part Time","in school","","","",""
"Very high transfer dependency","1986","Part Time","inadequately","2","","",""
"Very high transfer dependency","1986","Part Time","general elemantary","3","","",""
"Very high transfer dependency","1986","Part Time","middle vocational","5","","",""
"Very high transfer dependency","1986","Part Time","vocational + Abi","1","","",""
"Very high transfer dependency","1986","Part Time","higher vocational","","","",""
"Very high transfer dependency","1986","Part Time","higher education","","","",""
"Very high transfer dependency","1986","Not Working","in school","3","","",""
"Very high transfer dependency","1986","Not Working","inadequately","22","","",""
"Very high transfer dependency","1986","Not Working","general elemantary","53","0.0336505143003209","0.0241051539851872","0.0431958746154547"
"Very high transfer dependency","1986","Not Working","middle vocational","55","0.0308071362623744","0.0224186218036755","0.0391956507210733"
"Very high transfer dependency","1986","Not Working","vocational + Abi","5","","",""
"Very high transfer dependency","1986","Not Working","higher vocational","8","","",""
"Very high transfer dependency","1986","Not Working","higher education","8","","",""
"Very low transfer dependency","1987","Full Time","in school","","","",""
"Very low transfer dependency","1987","Full Time","inadequately","349","0.973163710165771","0.95632919359107","0.989998226740471"
"Very low transfer dependency","1987","Full Time","general elemantary","987","0.974077995043395","0.964302331835262","0.983853658251529"
"Very low transfer dependency","1987","Full Time","middle vocational","2518","0.985950491979799","0.98138775138475","0.990513232574848"
"Very low transfer dependency","1987","Full Time","vocational + Abi","152","0.983779310431892","0.963956314553842","1.00360230630994"
"Very low transfer dependency","1987","Full Time","higher vocational","303","0.996506977688239","0.98987486111722","1.00313909425926"
"Very low transfer dependency","1987","Full Time","higher education","450","0.98855909921699","0.978776560098429","0.998341638335551"
"Very low transfer dependency","1987","Part Time","in school","12","","",""
"Very low transfer dependency","1987","Part Time","inadequately","95","0.791367059434254","0.716777835353982","0.865956283514526"
"Very low transfer dependency","1987","Part Time","general elemantary","473","0.903868010132827","0.878629197383544","0.92910682288211"
"Very low transfer dependency","1987","Part Time","middle vocational","770","0.932146510947805","0.915026698325034","0.949266323570576"
"Very low transfer dependency","1987","Part Time","vocational + Abi","45","0.904813373852379","0.823468430455858","0.986158317248899"
"Very low transfer dependency","1987","Part Time","higher vocational","93","0.890203226705309","0.829826599386861","0.950579854023757"
"Very low transfer dependency","1987","Part Time","higher education","139","0.944696069215737","0.907746151298443","0.98164598713303"
"Very low transfer dependency","1987","Not Working","in school","164","0.936097741943043","0.899964206366233","0.972231277519853"
"Very low transfer dependency","1987","Not Working","inadequately","240","0.795386385314325","0.749035510343779","0.841737260284872"
"Very low transfer dependency","1987","Not Working","general elemantary","1192","0.928284507102015","0.914307141897628","0.942261872306401"
"Very low transfer dependency","1987","Not Working","middle vocational","1451","0.925196145881479","0.912257115376847","0.93813517638611"
"Very low transfer dependency","1987","Not Working","vocational + Abi","61","0.866743702389205","0.787692562731464","0.945794842046946"
"Very low transfer dependency","1987","Not Working","higher vocational","150","0.938217032840756","0.901027459974332","0.97540660570718"
"Very low transfer dependency","1987","Not Working","higher education","129","0.895171612089019","0.844787161985984","0.945556062192054"
"Low transfer dependency","1987","Full Time","in school","","","",""
"Low transfer dependency","1987","Full Time","inadequately","3","","",""
"Low transfer dependency","1987","Full Time","general elemantary","24","","",""
"Low transfer dependency","1987","Full Time","middle vocational","34","0.0122266404387833","0.00796624519580814","0.0164870356817584"
"Low transfer dependency","1987","Full Time","vocational + Abi","3","","",""
"Low transfer dependency","1987","Full Time","higher vocational","1","","",""
"Low transfer dependency","1987","Full Time","higher education","3","","",""
"Low transfer dependency","1987","Part Time","in school","","","",""
"Low transfer dependency","1987","Part Time","inadequately","13","","",""
"Low transfer dependency","1987","Part Time","general elemantary","37","0.066611926342716","0.0452623349366071","0.0879615177488249"
"Low transfer dependency","1987","Part Time","middle vocational","35","0.0443788222309082","0.0303603206564201","0.0583973238053964"
"Low transfer dependency","1987","Part Time","vocational + Abi","2","","",""
"Low transfer dependency","1987","Part Time","higher vocational","7","","",""
"Low transfer dependency","1987","Part Time","higher education","8","","",""
"Low transfer dependency","1987","Not Working","in school","8","","",""
"Low transfer dependency","1987","Not Working","inadequately","17","","",""
"Low transfer dependency","1987","Not Working","general elemantary","57","0.0355081188773054","0.0254829571271884","0.0455332806274223"
"Low transfer dependency","1987","Not Working","middle vocational","65","0.0334024667597601","0.0245648542966658","0.0422400792228545"
"Low transfer dependency","1987","Not Working","vocational + Abi","4","","",""
"Low transfer dependency","1987","Not Working","higher vocational","5","","",""
"Low transfer dependency","1987","Not Working","higher education","5","","",""
"High transfer dependency","1987","Full Time","in school","","","",""
"High transfer dependency","1987","Full Time","inadequately","2","","",""
"High transfer dependency","1987","Full Time","general elemantary","3","","",""
"High transfer dependency","1987","Full Time","middle vocational","4","","",""
"High transfer dependency","1987","Full Time","vocational + Abi","1","","",""
"High transfer dependency","1987","Full Time","higher vocational","","","",""
"High transfer dependency","1987","Full Time","higher education","","","",""
"High transfer dependency","1987","Part Time","in school","","","",""
"High transfer dependency","1987","Part Time","inadequately","5","","",""
"High transfer dependency","1987","Part Time","general elemantary","8","","",""
"High transfer dependency","1987","Part Time","middle vocational","21","","",""
"High transfer dependency","1987","Part Time","vocational + Abi","3","","",""
"High transfer dependency","1987","Part Time","higher vocational","2","","",""
"High transfer dependency","1987","Part Time","higher education","","","",""
"High transfer dependency","1987","Not Working","in school","3","","",""
"High transfer dependency","1987","Not Working","inadequately","15","","",""
"High transfer dependency","1987","Not Working","general elemantary","18","","",""
"High transfer dependency","1987","Not Working","middle vocational","19","","",""
"High transfer dependency","1987","Not Working","vocational + Abi","2","","",""
"High transfer dependency","1987","Not Working","higher vocational","2","","",""
"High transfer dependency","1987","Not Working","higher education","2","","",""
"Very high transfer dependency","1987","Full Time","in school","","","",""
"Very high transfer dependency","1987","Full Time","inadequately","","","",""
"Very high transfer dependency","1987","Full Time","general elemantary","1","","",""
"Very high transfer dependency","1987","Full Time","middle vocational","","","",""
"Very high transfer dependency","1987","Full Time","vocational + Abi","","","",""
"Very high transfer dependency","1987","Full Time","higher vocational","","","",""
"Very high transfer dependency","1987","Full Time","higher education","1","","",""
"Very high transfer dependency","1987","Part Time","in school","","","",""
"Very high transfer dependency","1987","Part Time","inadequately","1","","",""
"Very high transfer dependency","1987","Part Time","general elemantary","6","","",""
"Very high transfer dependency","1987","Part Time","middle vocational","3","","",""
"Very high transfer dependency","1987","Part Time","vocational + Abi","","","",""
"Very high transfer dependency","1987","Part Time","higher vocational","1","","",""
"Very high transfer dependency","1987","Part Time","higher education","","","",""
"Very high transfer dependency","1987","Not Working","in school","1","","",""
"Very high transfer dependency","1987","Not Working","inadequately","19","","",""
"Very high transfer dependency","1987","Not Working","general elemantary","42","0.0278963450454451","0.0189754545417089","0.0368172355491813"
"Very high transfer dependency","1987","Not Working","middle vocational","53","0.0304137863456376","0.021967781948247","0.0388597907430282"
"Very high transfer dependency","1987","Not Working","vocational + Abi","4","","",""
"Very high transfer dependency","1987","Not Working","higher vocational","4","","",""
"Very high transfer dependency","1987","Not Working","higher education","6","","",""
"Very low transfer dependency","1988","Full Time","in school","","","",""
"Very low transfer dependency","1988","Full Time","inadequately","291","0.959278584392015","0.936876093731793","0.981681075052236"
"Very low transfer dependency","1988","Full Time","general elemantary","932","0.983633924076283","0.975574228341539","0.991693619811026"
"Very low transfer dependency","1988","Full Time","middle vocational","2374","0.98539093285705","0.980598728020203","0.990183137693898"
"Very low transfer dependency","1988","Full Time","vocational + Abi","140","0.981542477234053","0.959481673642028","1.00360328082608"
"Very low transfer dependency","1988","Full Time","higher vocational","292","0.996379420922869","0.989513863260571","1.00324497858517"
"Very low transfer dependency","1988","Full Time","higher education","423","0.987764496842492","0.977337199058046","0.998191794626939"
"Very low transfer dependency","1988","Part Time","in school","7","","",""
"Very low transfer dependency","1988","Part Time","inadequately","83","0.774259704449228","0.691906904960746","0.856612503937711"
"Very low transfer dependency","1988","Part Time","general elemantary","515","0.899111774618292","0.874321368264761","0.923902180971822"
"Very low transfer dependency","1988","Part Time","middle vocational","784","0.939762095531072","0.92360476981231","0.955919421249835"
"Very low transfer dependency","1988","Part Time","vocational + Abi","50","0.941993961348105","0.880770942459756","1.00321698023645"
"Very low transfer dependency","1988","Part Time","higher vocational","88","0.917234990453549","0.861829860228902","0.972640120678195"
"Very low transfer dependency","1988","Part Time","higher education","142","0.981105318384941","0.958944198967201","1.00326643780268"
"Very low transfer dependency","1988","Not Working","in school","144","0.917011021479781","0.873582031498317","0.960440011461246"
"Very low transfer dependency","1988","Not Working","inadequately","237","0.760702837446765","0.712180003351258","0.809225671542273"
"Very low transfer dependency","1988","Not Working","general elemantary","1085","0.920193067102209","0.90491759190774","0.935468542296678"
"Very low transfer dependency","1988","Not Working","middle vocational","1383","0.935300455777044","0.922834990942586","0.947765920611501"
"Very low transfer dependency","1988","Not Working","vocational + Abi","66","0.954905751890978","0.906294153568027","1.00351735021393"
"Very low transfer dependency","1988","Not Working","higher vocational","141","0.933578953772517","0.893860896317871","0.973297011227162"
"Very low transfer dependency","1988","Not Working","higher education","123","0.965674758249209","0.934256979429241","0.997092537069177"
"Low transfer dependency","1988","Full Time","in school","","","",""
"Low transfer dependency","1988","Full Time","inadequately","7","","",""
"Low transfer dependency","1988","Full Time","general elemantary","16","","",""
"Low transfer dependency","1988","Full Time","middle vocational","32","0.0131878965396541","0.00863146500185985","0.0177443280774483"
"Low transfer dependency","1988","Full Time","vocational + Abi","3","","",""
"Low transfer dependency","1988","Full Time","higher vocational","2","","",""
"Low transfer dependency","1988","Full Time","higher education","4","","",""
"Low transfer dependency","1988","Part Time","in school","1","","",""
"Low transfer dependency","1988","Part Time","inadequately","13","","",""
"Low transfer dependency","1988","Part Time","general elemantary","31","0.0584439589194884","0.0391354177687892","0.0777525000701875"
"Low transfer dependency","1988","Part Time","middle vocational","36","0.0456191609908073","0.0314494793471797","0.059788842634435"
"Low transfer dependency","1988","Part Time","vocational + Abi","5","","",""
"Low transfer dependency","1988","Part Time","higher vocational","4","","",""
"Low transfer dependency","1988","Part Time","higher education","2","","",""
"Low transfer dependency","1988","Not Working","in school","7","","",""
"Low transfer dependency","1988","Not Working","inadequately","31","0.106047350290659","0.0710305035661572","0.14106419701516"
