"transab_cat2","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Very high transfer dependency","1986","college entrance qualification","Female","16","","",""
"Very high transfer dependency","1986","college entrance qualification","Male","12","","",""
"Very high transfer dependency","1986","lower secondary degree","Female","48","0.0175569363967304","0.0126312664906042","0.0224826063028567"
"Very high transfer dependency","1986","lower secondary degree","Male","27","","",""
"Very high transfer dependency","1986","no degree/no degree yet","Female","15","","",""
"Very high transfer dependency","1986","no degree/no degree yet","Male","13","","",""
"Very high transfer dependency","1986","Other degree","Female","8","","",""
"Very high transfer dependency","1986","Other degree","Male","15","","",""
"Very high transfer dependency","1986","secondary school degree","Female","10","","",""
"Very high transfer dependency","1986","secondary school degree","Male","3","","",""
"Very low transfer dependency","1986","college entrance qualification","Female","450","0.920407462576362","0.896294440099932","0.944520485052792"
"Very low transfer dependency","1986","college entrance qualification","Male","734","0.948728837668447","0.933150885686472","0.964306789650422"
"Very low transfer dependency","1986","lower secondary degree","Female","2583","0.945836433188167","0.937347582624817","0.954325283751516"
"Very low transfer dependency","1986","lower secondary degree","Male","2313","0.948833717851018","0.940078559166421","0.957588876535614"
"Very low transfer dependency","1986","no degree/no degree yet","Female","482","0.864406630939606","0.835637488804751","0.893175773074461"
"Very low transfer dependency","1986","no degree/no degree yet","Male","439","0.931678727829956","0.909248121231498","0.954109334428414"
"Very low transfer dependency","1986","Other degree","Female","426","0.94348421094413","0.922289969095923","0.964678452792336"
"Very low transfer dependency","1986","Other degree","Male","647","0.884831513071073","0.861233928574391","0.908429097567755"
"Very low transfer dependency","1986","secondary school degree","Female","1006","0.95847234971584","0.946433629127183","0.970511070304496"
"Very low transfer dependency","1986","secondary school degree","Male","756","0.968802628867621","0.956602134080679","0.981003123654563"
"High transfer dependency","1987","college entrance qualification","Female","5","","",""
"High transfer dependency","1987","college entrance qualification","Male","5","","",""
"High transfer dependency","1987","lower secondary degree","Female","21","","",""
"High transfer dependency","1987","lower secondary degree","Male","22","","",""
"High transfer dependency","1987","no degree/no degree yet","Female","13","","",""
"High transfer dependency","1987","no degree/no degree yet","Male","10","","",""
"High transfer dependency","1987","Other degree","Female","8","","",""
"High transfer dependency","1987","Other degree","Male","11","","",""
"High transfer dependency","1987","secondary school degree","Female","7","","",""
"High transfer dependency","1987","secondary school degree","Male","7","","",""
"Low transfer dependency","1987","college entrance qualification","Female","12","","",""
"Low transfer dependency","1987","college entrance qualification","Male","24","","",""
"Low transfer dependency","1987","lower secondary degree","Female","95","0.0334119904067297","0.0266132460549288","0.0402107347585307"
"Low transfer dependency","1987","lower secondary degree","Male","76","0.0281601561206212","0.0215704571506966","0.0347498550905459"
"Low transfer dependency","1987","no degree/no degree yet","Female","28","","",""
"Low transfer dependency","1987","no degree/no degree yet","Male","18","","",""
"Low transfer dependency","1987","Other degree","Female","17","","",""
"Low transfer dependency","1987","Other degree","Male","22","","",""
"Low transfer dependency","1987","secondary school degree","Female","25","","",""
"Low transfer dependency","1987","secondary school degree","Male","14","","",""
"Very high transfer dependency","1987","college entrance qualification","Female","8","","",""
"Very high transfer dependency","1987","college entrance qualification","Male","10","","",""
"Very high transfer dependency","1987","lower secondary degree","Female","44","0.0172208485498924","0.0122991832457526","0.0221425138540322"
"Very high transfer dependency","1987","lower secondary degree","Male","23","","",""
"Very high transfer dependency","1987","no degree/no degree yet","Female","13","","",""
"Very high transfer dependency","1987","no degree/no degree yet","Male","10","","",""
"Very high transfer dependency","1987","Other degree","Female","8","","",""
"Very high transfer dependency","1987","Other degree","Male","11","","",""
"Very high transfer dependency","1987","secondary school degree","Female","7","","",""
"Very high transfer dependency","1987","secondary school degree","Male","8","","",""
"Very low transfer dependency","1987","college entrance qualification","Female","448","0.942643422597344","0.921688654667521","0.963598190527167"
"Very low transfer dependency","1987","college entrance qualification","Male","717","0.944550063089554","0.928236447963599","0.960863678215508"
"Very low transfer dependency","1987","lower secondary degree","Female","2524","0.941419688203459","0.932535365744025","0.950304010662893"
"Very low transfer dependency","1987","lower secondary degree","Male","2300","0.95025360507615","0.94159293956245","0.958914270589851"
"Very low transfer dependency","1987","no degree/no degree yet","Female","492","0.883386502373229","0.856464859428397","0.91030814531806"
"Very low transfer dependency","1987","no degree/no degree yet","Male","416","0.930200538650686","0.90676178613228","0.953639291169093"
"Very low transfer dependency","1987","Other degree","Female","431","0.918187786214585","0.893249653676329","0.94312591875284"
"Very low transfer dependency","1987","Other degree","Male","643","0.92549963612774","0.905864358528002","0.945134913727478"
"Very low transfer dependency","1987","secondary school degree","Female","1002","0.967110955643582","0.956277013672355","0.977944897614809"
"Very low transfer dependency","1987","secondary school degree","Male","760","0.969051086194489","0.956967227684051","0.981134944704928"
"High transfer dependency","1988","college entrance qualification","Female","3","","",""
"High transfer dependency","1988","college entrance qualification","Male","6","","",""
"High transfer dependency","1988","lower secondary degree","Female","26","","",""
"High transfer dependency","1988","lower secondary degree","Male","18","","",""
"High transfer dependency","1988","no degree/no degree yet","Female","5","","",""
"High transfer dependency","1988","no degree/no degree yet","Male","3","","",""
"High transfer dependency","1988","Other degree","Female","5","","",""
"High transfer dependency","1988","Other degree","Male","9","","",""
"High transfer dependency","1988","secondary school degree","Female","7","","",""
"High transfer dependency","1988","secondary school degree","Male","3","","",""
"Low transfer dependency","1988","college entrance qualification","Female","12","","",""
"Low transfer dependency","1988","college entrance qualification","Male","15","","",""
"Low transfer dependency","1988","lower secondary degree","Female","63","0.0239847236814562","0.0180439357924316","0.0299255115704809"
"Low transfer dependency","1988","lower secondary degree","Male","62","0.0219062302467238","0.0159639788068356","0.027848481686612"
"Low transfer dependency","1988","no degree/no degree yet","Female","34","0.0607933091802487","0.0400143056996856","0.0815723126608119"
"Low transfer dependency","1988","no degree/no degree yet","Male","28","","",""
"Low transfer dependency","1988","Other degree","Female","18","","",""
"Low transfer dependency","1988","Other degree","Male","27","","",""
"Low transfer dependency","1988","secondary school degree","Female","27","","",""
"Low transfer dependency","1988","secondary school degree","Male","9","","",""
"Very high transfer dependency","1988","college entrance qualification","Female","3","","",""
"Very high transfer dependency","1988","college entrance qualification","Male","3","","",""
"Very high transfer dependency","1988","lower secondary degree","Female","54","0.0229918235838454","0.0171723434822373","0.0288113036854536"
"Very high transfer dependency","1988","lower secondary degree","Male","27","","",""
"Very high transfer dependency","1988","no degree/no degree yet","Female","17","","",""
"Very high transfer dependency","1988","no degree/no degree yet","Male","9","","",""
"Very high transfer dependency","1988","Other degree","Female","8","","",""
"Very high transfer dependency","1988","Other degree","Male","17","","",""
"Very high transfer dependency","1988","secondary school degree","Female","7","","",""
"Very high transfer dependency","1988","secondary school degree","Male","5","","",""
"Very low transfer dependency","1988","college entrance qualification","Female","426","0.963693811716133","0.946295124973834","0.981092498458433"
"Very low transfer dependency","1988","college entrance qualification","Male","709","0.967463131372927","0.954619104888127","0.980307157857728"
"Very low transfer dependency","1988","lower secondary degree","Female","2405","0.942925169333305","0.93391756483259","0.951932773834019"
"Very low transfer dependency","1988","lower secondary degree","Male","2224","0.955395486564042","0.947015217744046","0.963775755384039"
"Very low transfer dependency","1988","no degree/no degree yet","Female","452","0.875240794788959","0.846505456749876","0.903976132828041"
"Very low transfer dependency","1988","no degree/no degree yet","Male","356","0.881201392392963","0.849334203059885","0.913068581726041"
"Very low transfer dependency","1988","Other degree","Female","396","0.908488229208839","0.881139806400833","0.935836652016846"
"Very low transfer dependency","1988","Other degree","Male","585","0.890028083322189","0.865751894658374","0.914304271986003"
"Very low transfer dependency","1988","secondary school degree","Female","984","0.959585172084266","0.947529309489541","0.971641034678991"
"Very low transfer dependency","1988","secondary school degree","Male","721","0.983629362696704","0.974474149846005","0.992784575547402"
"High transfer dependency","1989","college entrance qualification","Female","5","","",""
"High transfer dependency","1989","college entrance qualification","Male","7","","",""
"High transfer dependency","1989","lower secondary degree","Female","23","","",""
"High transfer dependency","1989","lower secondary degree","Male","19","","",""
"High transfer dependency","1989","no degree/no degree yet","Female","12","","",""
"High transfer dependency","1989","no degree/no degree yet","Male","4","","",""
"High transfer dependency","1989","Other degree","Female","7","","",""
"High transfer dependency","1989","Other degree","Male","8","","",""
"High transfer dependency","1989","secondary school degree","Female","10","","",""
"High transfer dependency","1989","secondary school degree","Male","3","","",""
"Low transfer dependency","1989","college entrance qualification","Female","18","","",""
"Low transfer dependency","1989","college entrance qualification","Male","15","","",""
"Low transfer dependency","1989","lower secondary degree","Female","67","0.0237825906653193","0.0177305552194287","0.0298346261112098"
"Low transfer dependency","1989","lower secondary degree","Male","64","0.0214858761732955","0.0154502083788424","0.0275215439677486"
"Low transfer dependency","1989","no degree/no degree yet","Female","32","0.0639943691302611","0.0425206172888375","0.0854681209716847"
"Low transfer dependency","1989","no degree/no degree yet","Male","22","","",""
"Low transfer dependency","1989","Other degree","Female","17","","",""
"Low transfer dependency","1989","Other degree","Male","29","","",""
"Low transfer dependency","1989","secondary school degree","Female","13","","",""
"Low transfer dependency","1989","secondary school degree","Male","7","","",""
"Very high transfer dependency","1989","college entrance qualification","Female","2","","",""
"Very high transfer dependency","1989","college entrance qualification","Male","1","","",""
"Very high transfer dependency","1989","lower secondary degree","Female","48","0.0229391882707569","0.0169928661950659","0.0288855103464479"
"Very high transfer dependency","1989","lower secondary degree","Male","28","","",""
"Very high transfer dependency","1989","no degree/no degree yet","Female","17","","",""
"Very high transfer dependency","1989","no degree/no degree yet","Male","7","","",""
"Very high transfer dependency","1989","Other degree","Female","10","","",""
"Very high transfer dependency","1989","Other degree","Male","19","","",""
"Very high transfer dependency","1989","secondary school degree","Female","7","","",""
"Very high transfer dependency","1989","secondary school degree","Male","5","","",""
"Very low transfer dependency","1989","college entrance qualification","Female","431","0.93871977103111","0.916706030573701","0.96073351148852"
"Very low transfer dependency","1989","college entrance qualification","Male","724","0.969610827978409","0.957301170965081","0.981920484991738"
"Very low transfer dependency","1989","lower secondary degree","Female","2297","0.94379093664404","0.93464265169031","0.95293922159777"
"Very low transfer dependency","1989","lower secondary degree","Male","2106","0.954866429976711","0.946224984369686","0.963507875583736"
"Very low transfer dependency","1989","no degree/no degree yet","Female","438","0.845201245233147","0.813464556403335","0.876937934062959"
"Very low transfer dependency","1989","no degree/no degree yet","Male","349","0.903516191704367","0.873908019497092","0.933124363911641"
"Very low transfer dependency","1989","Other degree","Female","389","0.907261815995722","0.879619557908948","0.934904074082497"
"Very low transfer dependency","1989","Other degree","Male","552","0.888250431737493","0.863207397804132","0.913293465670855"
"Very low transfer dependency","1989","secondary school degree","Female","967","0.967776636355949","0.956815047346481","0.978738225365416"
"Very low transfer dependency","1989","secondary school degree","Male","700","0.979662592226833","0.969316385996536","0.990008798457131"
"High transfer dependency","1990","college entrance qualification","Female","2","","",""
"High transfer dependency","1990","college entrance qualification","Male","4","","",""
"High transfer dependency","1990","lower secondary degree","Female","30","0.0128993126931796","0.00835732109517234","0.0174413042911869"
"High transfer dependency","1990","lower secondary degree","Male","20","","",""
"High transfer dependency","1990","no degree/no degree yet","Female","10","","",""
"High transfer dependency","1990","no degree/no degree yet","Male","7","","",""
"High transfer dependency","1990","Other degree","Female","5","","",""
"High transfer dependency","1990","Other degree","Male","10","","",""
"High transfer dependency","1990","secondary school degree","Female","6","","",""
"High transfer dependency","1990","secondary school degree","Male","3","","",""
"Low transfer dependency","1990","college entrance qualification","Female","12","","",""
"Low transfer dependency","1990","college entrance qualification","Male","8","","",""
"Low transfer dependency","1990","lower secondary degree","Female","63","0.0251924409075784","0.0188846559020899","0.0315002259130669"
"Low transfer dependency","1990","lower secondary degree","Male","55","0.0193634250555157","0.0135535627371537","0.0251732873738776"
"Low transfer dependency","1990","no degree/no degree yet","Female","19","","",""
"Low transfer dependency","1990","no degree/no degree yet","Male","13","","",""
"Low transfer dependency","1990","Other degree","Female","17","","",""
"Low transfer dependency","1990","Other degree","Male","23","","",""
"Low transfer dependency","1990","secondary school degree","Female","13","","",""
"Low transfer dependency","1990","secondary school degree","Male","12","","",""
"Very high transfer dependency","1990","college entrance qualification","Female","1","","",""
"Very high transfer dependency","1990","college entrance qualification","Male","3","","",""
"Very high transfer dependency","1990","lower secondary degree","Female","27","","",""
"Very high transfer dependency","1990","lower secondary degree","Male","18","","",""
"Very high transfer dependency","1990","no degree/no degree yet","Female","12","","",""
"Very high transfer dependency","1990","no degree/no degree yet","Male","11","","",""
"Very high transfer dependency","1990","Other degree","Female","9","","",""
"Very high transfer dependency","1990","Other degree","Male","20","","",""
"Very high transfer dependency","1990","secondary school degree","Female","11","","",""
"Very high transfer dependency","1990","secondary school degree","Male","3","","",""
"Very low transfer dependency","1990","college entrance qualification","Female","442","0.961502428773079","0.94386310835011","0.979141749196048"
"Very low transfer dependency","1990","college entrance qualification","Male","729","0.979988753489843","0.969926175948224","0.990051331031463"
"Very low transfer dependency","1990","lower secondary degree","Female","2251","0.948596319202304","0.939707989811902","0.957484648592705"
"Very low transfer dependency","1990","lower secondary degree","Male","2068","0.959982076002158","0.951718280770443","0.968245871233874"
"Very low transfer dependency","1990","no degree/no degree yet","Female","414","0.896800550546906","0.868847512475895","0.924753588617917"
"Very low transfer dependency","1990","no degree/no degree yet","Male","347","0.892141542112706","0.860870224850893","0.923412859374519"
"Very low transfer dependency","1990","Other degree","Female","382","0.929392880223544","0.904687190447431","0.954098569999658"
"Very low transfer dependency","1990","Other degree","Male","539","0.886622072085384","0.861082079620507","0.91216206455026"
"Very low transfer dependency","1990","secondary school degree","Female","964","0.975143792029123","0.965465322971106","0.984822261087141"
"Very low transfer dependency","1990","secondary school degree","Male","673","0.972574815534329","0.96039767394629","0.984751957122368"
"High transfer dependency","1991","college entrance qualification","Female","1","","",""
"High transfer dependency","1991","college entrance qualification","Male","3","","",""
"High transfer dependency","1991","lower secondary degree","Female","30","0.0143401995875645","0.00949720801270974","0.0191831911624192"
"High transfer dependency","1991","lower secondary degree","Male","19","","",""
"High transfer dependency","1991","no degree/no degree yet","Female","4","","",""
"High transfer dependency","1991","no degree/no degree yet","Male","3","","",""
"High transfer dependency","1991","Other degree","Female","8","","",""
"High transfer dependency","1991","Other degree","Male","7","","",""
"High transfer dependency","1991","secondary school degree","Female","10","","",""
"High transfer dependency","1991","secondary school degree","Male","3","","",""
"Low transfer dependency","1991","college entrance qualification","Female","10","","",""
"Low transfer dependency","1991","college entrance qualification","Male","19","","",""
"Low transfer dependency","1991","lower secondary degree","Female","63","0.0259542162190618","0.0194773304452402","0.0324311019928834"
"Low transfer dependency","1991","lower secondary degree","Male","53","0.022285771637649","0.0160346469235055","0.0285368963517926"
"Low transfer dependency","1991","no degree/no degree yet","Female","31","0.0822272198744056","0.0571231251409599","0.107331314607851"
"Low transfer dependency","1991","no degree/no degree yet","Male","20","","",""
"Low transfer dependency","1991","Other degree","Female","14","","",""
"Low transfer dependency","1991","Other degree","Male","29","","",""
"Low transfer dependency","1991","secondary school degree","Female","22","","",""
"Low transfer dependency","1991","secondary school degree","Male","7","","",""
"Very high transfer dependency","1991","college entrance qualification","Female","3","","",""
"Very high transfer dependency","1991","college entrance qualification","Male","5","","",""
"Very high transfer dependency","1991","lower secondary degree","Female","27","","",""
"Very high transfer dependency","1991","lower secondary degree","Male","20","","",""
"Very high transfer dependency","1991","no degree/no degree yet","Female","13","","",""
"Very high transfer dependency","1991","no degree/no degree yet","Male","3","","",""
"Very high transfer dependency","1991","Other degree","Female","9","","",""
"Very high transfer dependency","1991","Other degree","Male","15","","",""
"Very high transfer dependency","1991","secondary school degree","Female","5","","",""
"Very high transfer dependency","1991","secondary school degree","Male","6","","",""
"Very low transfer dependency","1991","college entrance qualification","Female","467","0.973145147019036","0.958698210881369","0.987592083156702"
"Very low transfer dependency","1991","college entrance qualification","Male","728","0.969795004547237","0.9575867388126","0.982003270281873"
"Very low transfer dependency","1991","lower secondary degree","Female","2195","0.946823953883234","0.937683553225449","0.95596435454102"
"Very low transfer dependency","1991","lower secondary degree","Male","2050","0.957709482175436","0.949186790979119","0.966232173371753"
"Very low transfer dependency","1991","no degree/no degree yet","Female","412","0.871146108174442","0.840529050965758","0.901763165383126"
"Very low transfer dependency","1991","no degree/no degree yet","Male","337","0.929442183884094","0.903098377042007","0.95578599072618"
"Very low transfer dependency","1991","Other degree","Female","373","0.919071622853289","0.892477693984723","0.945665551721855"
"Very low transfer dependency","1991","Other degree","Male","538","0.887179787752285","0.861629857477577","0.912729718026993"
"Very low transfer dependency","1991","secondary school degree","Female","977","0.966268021555579","0.95515585290711","0.977380190204048"
"Very low transfer dependency","1991","secondary school degree","Male","669","0.979829248352989","0.96930141392963","0.990357082776349"
"High transfer dependency","1992","college entrance qualification","Female","8","","",""
"High transfer dependency","1992","college entrance qualification","Male","12","","",""
"High transfer dependency","1992","lower secondary degree","Female","37","0.0109742540135135","0.00729556102487979","0.0146529470021473"
"High transfer dependency","1992","lower secondary degree","Male","34","0.0108930075414803","0.00703378914969587","0.0147522259332646"
"High transfer dependency","1992","no degree/no degree yet","Female","10","","",""
"High transfer dependency","1992","no degree/no degree yet","Male","2","","",""
"High transfer dependency","1992","Other degree","Female","9","","",""
"High transfer dependency","1992","Other degree","Male","10","","",""
"High transfer dependency","1992","secondary school degree","Female","26","","",""
"High transfer dependency","1992","secondary school degree","Male","14","","",""
"Low transfer dependency","1992","college entrance qualification","Female","38","0.0357378365859206","0.0220735593246417","0.0494021138471996"
"Low transfer dependency","1992","college entrance qualification","Male","45","0.0270952902321984","0.0171557060817484","0.0370348743826484"
"Low transfer dependency","1992","lower secondary degree","Female","108","0.022396086628424","0.0171712853514101","0.0276208879054379"
"Low transfer dependency","1992","lower secondary degree","Male","97","0.0266341690716763","0.0206478282069346","0.032620509936418"
"Low transfer dependency","1992","no degree/no degree yet","Female","32","0.0536032702601248","0.0336606458715546","0.073545894648695"
"Low transfer dependency","1992","no degree/no degree yet","Male","24","","",""
"Low transfer dependency","1992","Other degree","Female","16","","",""
"Low transfer dependency","1992","Other degree","Male","28","","",""
"Low transfer dependency","1992","secondary school degree","Female","131","0.0448043305092345","0.0358028647034567","0.0538057963150122"
"Low transfer dependency","1992","secondary school degree","Male","113","0.0517682848546578","0.040801882182794","0.0627346875265216"
"Very high transfer dependency","1992","college entrance qualification","Female","5","","",""
"Very high transfer dependency","1992","college entrance qualification","Male","8","","",""
"Very high transfer dependency","1992","lower secondary degree","Female","37","0.0155399516183423","0.0111725199271705","0.0199073833095141"
"Very high transfer dependency","1992","lower secondary degree","Male","26","","",""
"Very high transfer dependency","1992","no degree/no degree yet","Female","16","","",""
"Very high transfer dependency","1992","no degree/no degree yet","Male","6","","",""
"Very high transfer dependency","1992","Other degree","Female","10","","",""
"Very high transfer dependency","1992","Other degree","Male","18","","",""
"Very high transfer dependency","1992","secondary school degree","Female","17","","",""
"Very high transfer dependency","1992","secondary school degree","Male","7","","",""
"Very low transfer dependency","1992","college entrance qualification","Female","658","0.949131815956711","0.932958042481537","0.965305589431885"
"Very low transfer dependency","1992","college entrance qualification","Male","960","0.956583526714145","0.944107540718844","0.969059512709446"
"Very low transfer dependency","1992","lower secondary degree","Female","2899","0.95108970773972","0.943473950152727","0.958705465326713"
"Very low transfer dependency","1992","lower secondary degree","Male","2622","0.949653351212821","0.941523704852154","0.957782997573488"
"Very low transfer dependency","1992","no degree/no degree yet","Female","432","0.891247764616535","0.863682105955686","0.918813423277384"
"Very low transfer dependency","1992","no degree/no degree yet","Male","333","0.940579079846861","0.916325882385122","0.964832277308599"
"Very low transfer dependency","1992","Other degree","Female","389","0.920692265071208","0.894971719096734","0.946412811045682"
"Very low transfer dependency","1992","Other degree","Male","527","0.896591594952813","0.871874975837116","0.921308214068509"
"Very low transfer dependency","1992","secondary school degree","Female","1855","0.930139167569419","0.919047472745799","0.941230862393039"
"Very low transfer dependency","1992","secondary school degree","Male","1434","0.935187729315082","0.923001956410536","0.947373502219627"
"High transfer dependency","1993","college entrance qualification","Female","11","","",""
"High transfer dependency","1993","college entrance qualification","Male","11","","",""
