"transab_cat2","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1984","(Married) couple without C. ","higher vocational","5","","","","1"
"Low transfer dependency","1984","(Married) couple without C. ","higher education","4","","","","1"
"Low transfer dependency","1984","Single parent ","in school","4","","","","1"
"Low transfer dependency","1984","Couple + C. GT 16 ","higher education","","","","","1"
"Low transfer dependency","1984","Couple + C. LE and GT 16","in school","5","","","","1"
"Low transfer dependency","1984","Couple + C. LE and GT 16","inadequately","28","","","","1"
"Low transfer dependency","1984","Single parent ","middle vocational","24","","","","1"
"Low transfer dependency","1984","Single parent ","vocational + Abi","","","","","1"
"Low transfer dependency","1984","Single parent ","higher vocational","","","","","1"
"Low transfer dependency","1984","Single parent ","higher education","2","","","","1"
"Low transfer dependency","1984","Couple + C. LE 16 ","in school","","","","","1"
"Low transfer dependency","1984","Couple + C. LE 16 ","inadequately","21","","","","1"
"Low transfer dependency","1984","Couple + C. LE 16 ","general elemantary","25","","","","1"
"Low transfer dependency","1984","Couple + C. LE 16 ","middle vocational","60","0.0346279378829048","0.0253845904204476","0.043871285345362","1"
"Low transfer dependency","1984","Couple + C. LE 16 ","vocational + Abi","7","","","","1"
"Low transfer dependency","1984","Couple + C. LE and GT 16","general elemantary","50","0.0443361860425429","0.0276701997865448","0.061002172298541","1"
"Low transfer dependency","1984","Couple + C. LE and GT 16","middle vocational","26","","","","1"
"Low transfer dependency","1984","Single parent ","inadequately","8","","","","1"
"Low transfer dependency","1984","Single parent ","general elemantary","11","","","","1"
"Low transfer dependency","1984","Couple + C. LE and GT 16","vocational + Abi","3","","","","1"
"Low transfer dependency","1984","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Low transfer dependency","1984","Couple + C. LE and GT 16","higher education","","","","","1"
"Very high transfer dependency","1984","(Married) couple without C. ","general elemantary","7","","","","3"
"Very high transfer dependency","1984","1-pers.-HH","general elemantary","19","","","","3"
"Very high transfer dependency","1984","1-pers.-HH","in school","","","","","3"
"Very high transfer dependency","1984","1-pers.-HH","inadequately","5","","","","3"
"Very high transfer dependency","1984","1-pers.-HH","middle vocational","30","0.041569709680451","0.0257427955169598","0.0573966238439423","3"
"Very high transfer dependency","1984","1-pers.-HH","vocational + Abi","5","","","","3"
"Very high transfer dependency","1984","1-pers.-HH","higher vocational","7","","","","3"
"Very high transfer dependency","1984","1-pers.-HH","higher education","4","","","","3"
"Very high transfer dependency","1984","(Married) couple without C. ","middle vocational","7","","","","3"
"Very high transfer dependency","1984","(Married) couple without C. ","vocational + Abi","","","","","3"
"Very high transfer dependency","1984","(Married) couple without C. ","higher vocational","3","","","","3"
"Very high transfer dependency","1984","Couple + C. LE 16 ","higher education","2","","","","3"
"Very high transfer dependency","1984","Couple + C. GT 16 ","in school","2","","","","3"
"Very high transfer dependency","1984","Couple + C. GT 16 ","inadequately","4","","","","3"
"Very high transfer dependency","1984","Couple + C. GT 16 ","general elemantary","7","","","","3"
"Very high transfer dependency","1984","Couple + C. GT 16 ","middle vocational","8","","","","3"
"Very high transfer dependency","1984","Couple + C. GT 16 ","vocational + Abi","1","","","","3"
"Very high transfer dependency","1984","Couple + C. GT 16 ","higher vocational","1","","","","3"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","in school","","","","","3"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","inadequately","9","","","","3"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","general elemantary","1","","","","3"
"Very high transfer dependency","1984","(Married) couple without C. ","in school","","","","","3"
"Very high transfer dependency","1984","(Married) couple without C. ","inadequately","3","","","","3"
"Very high transfer dependency","1984","Couple + C. GT 16 ","higher education","","","","","3"
"Very high transfer dependency","1984","(Married) couple without C. ","higher education","2","","","","3"
"Very high transfer dependency","1984","Single parent ","in school","","","","","3"
"Very high transfer dependency","1984","Single parent ","inadequately","5","","","","3"
"Very high transfer dependency","1984","Couple + C. LE 16 ","higher vocational","2","","","","3"
"Very high transfer dependency","1984","Single parent ","general elemantary","13","","","","3"
"Very high transfer dependency","1984","Single parent ","middle vocational","13","","","","3"
"Very high transfer dependency","1984","Single parent ","vocational + Abi","","","","","3"
"Very high transfer dependency","1984","Single parent ","higher vocational","1","","","","3"
"Very high transfer dependency","1984","Single parent ","higher education","","","","","3"
"Very high transfer dependency","1984","Couple + C. LE 16 ","in school","","","","","3"
"Very high transfer dependency","1984","Couple + C. LE 16 ","inadequately","8","","","","3"
"Very high transfer dependency","1984","Couple + C. LE 16 ","general elemantary","18","","","","3"
"Very high transfer dependency","1984","Couple + C. LE 16 ","middle vocational","18","","","","3"
"Very high transfer dependency","1984","Couple + C. LE 16 ","vocational + Abi","1","","","","3"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","middle vocational","5","","","","3"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","vocational + Abi","","","","","3"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","higher vocational","","","","","3"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","higher education","","","","","3"
"Very low transfer dependency","1984","1-pers.-HH","in school","","","","","0"
"Very low transfer dependency","1984","1-pers.-HH","inadequately","57","0.868505208507532","0.788767447879152","0.948242969135912","0"
"Very low transfer dependency","1984","1-pers.-HH","general elemantary","351","0.92561824341472","0.89947606486404","0.9517604219654","0"
"Very low transfer dependency","1984","1-pers.-HH","middle vocational","558","0.929305580374473","0.90898204184632","0.949629118902627","0"
"Very low transfer dependency","1984","1-pers.-HH","vocational + Abi","37","0.806974722385964","0.692921848347474","0.921027596424455","0"
"Very low transfer dependency","1984","1-pers.-HH","higher vocational","70","0.865744770547409","0.791499956199647","0.939989584895171","0"
"Very low transfer dependency","1984","1-pers.-HH","higher education","106","0.929059819645604","0.882341514443517","0.975778124847691","0"
"Very low transfer dependency","1984","(Married) couple without C. ","in school","1","","","","0"
"Very low transfer dependency","1984","(Married) couple without C. ","inadequately","116","0.920568454432761","0.873722978341758","0.967413930523765","0"
"Very low transfer dependency","1984","(Married) couple without C. ","general elemantary","665","0.962930243958836","0.948894005141242","0.97696648277643","0"
"Very low transfer dependency","1984","(Married) couple without C. ","middle vocational","1368","0.973438680078241","0.965051617785507","0.981825742370975","0"
"Very low transfer dependency","1984","(Married) couple without C. ","vocational + Abi","79","0.961970222713045","0.920821936657607","1.00311850876848","0"
"Very low transfer dependency","1984","(Married) couple without C. ","higher vocational","153","0.957049513843926","0.925732063428531","0.988366964259322","0"
"Very low transfer dependency","1984","(Married) couple without C. ","higher education","198","0.971475823965057","0.948632696668159","0.994318951261955","0"
"Very low transfer dependency","1984","Single parent ","in school","13","","","","0"
"Very low transfer dependency","1984","Single parent ","inadequately","34","0.586814030537924","0.447514228322708","0.726113832753141","0"
"Very low transfer dependency","1984","Single parent ","general elemantary","166","0.847890629170075","0.797613790966834","0.898167467373317","0"
"Very low transfer dependency","1984","Single parent ","middle vocational","214","0.8386542119946","0.793768458452891","0.883539965536308","0"
"Very low transfer dependency","1984","Single parent ","vocational + Abi","5","","","","0"
"Very low transfer dependency","1984","Single parent ","higher vocational","24","","","","0"
"Very low transfer dependency","1984","Single parent ","higher education","15","","","","0"
"Very low transfer dependency","1984","Couple + C. LE 16 ","in school","","","","","0"
"Very low transfer dependency","1984","Couple + C. LE 16 ","inadequately","273","0.800673845289097","0.756202813120199","0.845144877457994","0"
"Very low transfer dependency","1984","Couple + C. LE 16 ","general elemantary","605","0.901752759394885","0.879061882375666","0.924443636414105","0"
"Very low transfer dependency","1984","Couple + C. LE 16 ","middle vocational","1412","0.944056896548542","0.932438639977672","0.955675153119412","0"
"Very low transfer dependency","1984","Couple + C. LE 16 ","vocational + Abi","74","0.893010098614996","0.827299078878286","0.958721118351706","0"
"Very low transfer dependency","1984","Couple + C. LE 16 ","higher vocational","199","0.965588019879292","0.940755906393408","0.990420133365176","0"
"Very low transfer dependency","1984","Couple + C. LE 16 ","higher education","256","0.961421325820714","0.938277359029966","0.984565292611463","0"
"Very low transfer dependency","1984","Couple + C. GT 16 ","in school","77","0.997328260862857","0.985945420784354","1.00871110094136","0"
"Very low transfer dependency","1984","Couple + C. GT 16 ","inadequately","136","0.924890898542558","0.882138232807925","0.96764356427719","0"
"Very low transfer dependency","1984","Couple + C. GT 16 ","general elemantary","559","0.967021614576203","0.95256282063629","0.981480408516116","0"
"Very low transfer dependency","1984","Couple + C. GT 16 ","middle vocational","894","0.959675493941306","0.947066250887204","0.972284736995408","0"
"Very low transfer dependency","1984","Couple + C. GT 16 ","vocational + Abi","36","0.931121230410818","0.850601539795241","1.01164092102639","0"
"Very low transfer dependency","1984","Couple + C. GT 16 ","higher vocational","94","0.987740060732467","0.965727124879993","1.00975299658494","0"
"Very low transfer dependency","1984","Couple + C. GT 16 ","higher education","97","1","1","1","0"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","in school","72","0.92062529671286","0.860634683784063","0.980615909641657","0"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","inadequately","181","0.848360614568632","0.800965562202614","0.895755666934649","0"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","general elemantary","529","0.948379292410168","0.930464891422502","0.966293693397834","0"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","middle vocational","641","0.968084424948316","0.954863216351258","0.981305633545374","0"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","vocational + Abi","20","","","","0"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","higher vocational","47","1","1","1","0"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","higher education","59","1","1","1","0"
"High transfer dependency","1985","Single parent ","general elemantary","8","","","","2"
"High transfer dependency","1985","Single parent ","in school","","","","","2"
"High transfer dependency","1985","Couple + C. LE 16 ","in school","","","","","2"
"High transfer dependency","1985","Couple + C. LE 16 ","inadequately","1","","","","2"
"High transfer dependency","1985","Single parent ","higher vocational","","","","","2"
"High transfer dependency","1985","(Married) couple without C. ","higher education","2","","","","2"
"High transfer dependency","1985","Single parent ","inadequately","1","","","","2"
"High transfer dependency","1985","Single parent ","higher education","","","","","2"
"High transfer dependency","1985","Single parent ","vocational + Abi","","","","","2"
"High transfer dependency","1985","Single parent ","middle vocational","3","","","","2"
"High transfer dependency","1985","1-pers.-HH","in school","","","","","2"
"High transfer dependency","1985","1-pers.-HH","inadequately","","","","","2"
"High transfer dependency","1985","1-pers.-HH","general elemantary","5","","","","2"
"High transfer dependency","1985","1-pers.-HH","middle vocational","10","","","","2"
"High transfer dependency","1985","1-pers.-HH","vocational + Abi","1","","","","2"
"High transfer dependency","1985","1-pers.-HH","higher vocational","5","","","","2"
"High transfer dependency","1985","1-pers.-HH","higher education","1","","","","2"
"High transfer dependency","1985","(Married) couple without C. ","in school","","","","","2"
"High transfer dependency","1985","(Married) couple without C. ","inadequately","","","","","2"
"High transfer dependency","1985","(Married) couple without C. ","general elemantary","3","","","","2"
"High transfer dependency","1985","(Married) couple without C. ","middle vocational","8","","","","2"
"High transfer dependency","1985","(Married) couple without C. ","vocational + Abi","2","","","","2"
"High transfer dependency","1985","(Married) couple without C. ","higher vocational","3","","","","2"
"High transfer dependency","1985","Couple + C. LE 16 ","general elemantary","9","","","","2"
"High transfer dependency","1985","Couple + C. LE 16 ","middle vocational","9","","","","2"
"High transfer dependency","1985","Couple + C. LE 16 ","vocational + Abi","3","","","","2"
"High transfer dependency","1985","Couple + C. LE 16 ","higher vocational","","","","","2"
"High transfer dependency","1985","Couple + C. LE 16 ","higher education","","","","","2"
"High transfer dependency","1985","Couple + C. GT 16 ","in school","2","","","","2"
"High transfer dependency","1985","Couple + C. GT 16 ","inadequately","3","","","","2"
"High transfer dependency","1985","Couple + C. GT 16 ","general elemantary","8","","","","2"
"High transfer dependency","1985","Couple + C. GT 16 ","middle vocational","12","","","","2"
"High transfer dependency","1985","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"High transfer dependency","1985","Couple + C. GT 16 ","higher vocational","2","","","","2"
"High transfer dependency","1985","Couple + C. GT 16 ","higher education","1","","","","2"
"High transfer dependency","1985","Couple + C. LE and GT 16","in school","","","","","2"
"High transfer dependency","1985","Couple + C. LE and GT 16","inadequately","6","","","","2"
"High transfer dependency","1985","Couple + C. LE and GT 16","general elemantary","7","","","","2"
"High transfer dependency","1985","Couple + C. LE and GT 16","middle vocational","7","","","","2"
"High transfer dependency","1985","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"High transfer dependency","1985","Couple + C. LE and GT 16","higher vocational","","","","","2"
"High transfer dependency","1985","Couple + C. LE and GT 16","higher education","","","","","2"
"Low transfer dependency","1985","(Married) couple without C. ","middle vocational","27","","","","1"
"Low transfer dependency","1985","Couple + C. LE 16 ","higher vocational","6","","","","1"
"Low transfer dependency","1985","Couple + C. GT 16 ","inadequately","4","","","","1"
"Low transfer dependency","1985","Couple + C. GT 16 ","in school","2","","","","1"
"Low transfer dependency","1985","(Married) couple without C. ","general elemantary","9","","","","1"
"Low transfer dependency","1985","1-pers.-HH","in school","","","","","1"
"Low transfer dependency","1985","Couple + C. GT 16 ","general elemantary","13","","","","1"
"Low transfer dependency","1985","Couple + C. LE 16 ","higher education","4","","","","1"
"Low transfer dependency","1985","1-pers.-HH","inadequately","3","","","","1"
"Low transfer dependency","1985","1-pers.-HH","general elemantary","8","","","","1"
"Low transfer dependency","1985","1-pers.-HH","vocational + Abi","1","","","","1"
"Low transfer dependency","1985","Couple + C. GT 16 ","higher education","","","","","1"
"Low transfer dependency","1985","1-pers.-HH","middle vocational","7","","","","1"
"Low transfer dependency","1985","1-pers.-HH","higher vocational","2","","","","1"
"Low transfer dependency","1985","Couple + C. GT 16 ","middle vocational","16","","","","1"
"Low transfer dependency","1985","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Low transfer dependency","1985","Couple + C. GT 16 ","higher vocational","","","","","1"
"Low transfer dependency","1985","1-pers.-HH","higher education","3","","","","1"
"Low transfer dependency","1985","(Married) couple without C. ","in school","","","","","1"
"Low transfer dependency","1985","(Married) couple without C. ","inadequately","5","","","","1"
"Low transfer dependency","1985","(Married) couple without C. ","vocational + Abi","4","","","","1"
"Low transfer dependency","1985","(Married) couple without C. ","higher vocational","4","","","","1"
"Low transfer dependency","1985","(Married) couple without C. ","higher education","1","","","","1"
"Low transfer dependency","1985","Single parent ","vocational + Abi","1","","","","1"
"Low transfer dependency","1985","Single parent ","higher vocational","","","","","1"
"Low transfer dependency","1985","Single parent ","higher education","","","","","1"
"Low transfer dependency","1985","Couple + C. LE 16 ","in school","1","","","","1"
"Low transfer dependency","1985","Couple + C. LE 16 ","inadequately","15","","","","1"
"Low transfer dependency","1985","Couple + C. LE 16 ","general elemantary","25","","","","1"
"Low transfer dependency","1985","Couple + C. LE 16 ","middle vocational","46","0.0295788641581294","0.0204391630099108","0.038718565306348","1"
"Low transfer dependency","1985","Couple + C. LE 16 ","vocational + Abi","2","","","","1"
"Low transfer dependency","1985","Couple + C. LE and GT 16","in school","4","","","","1"
"Low transfer dependency","1985","Couple + C. LE and GT 16","inadequately","15","","","","1"
"Low transfer dependency","1985","Couple + C. LE and GT 16","general elemantary","32","0.042301423360798","0.0248158003322876","0.0597870463893085","1"
"Low transfer dependency","1985","Couple + C. LE and GT 16","middle vocational","15","","","","1"
"Low transfer dependency","1985","Single parent ","in school","","","","","1"
"Low transfer dependency","1985","Single parent ","inadequately","5","","","","1"
"Low transfer dependency","1985","Single parent ","general elemantary","13","","","","1"
"Low transfer dependency","1985","Single parent ","middle vocational","11","","","","1"
"Low transfer dependency","1985","Couple + C. LE and GT 16","vocational + Abi","2","","","","1"
"Low transfer dependency","1985","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Low transfer dependency","1985","Couple + C. LE and GT 16","higher education","","","","","1"
"Very high transfer dependency","1985","(Married) couple without C. ","vocational + Abi","2","","","","3"
"Very high transfer dependency","1985","Couple + C. LE 16 ","higher education","1","","","","3"
"Very high transfer dependency","1985","Couple + C. GT 16 ","in school","","","","","3"
"Very high transfer dependency","1985","Couple + C. GT 16 ","general elemantary","5","","","","3"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","general elemantary","","","","","3"
"Very high transfer dependency","1985","(Married) couple without C. ","general elemantary","12","","","","3"
"Very high transfer dependency","1985","(Married) couple without C. ","middle vocational","12","","","","3"
"Very high transfer dependency","1985","Couple + C. GT 16 ","inadequately","1","","","","3"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","inadequately","5","","","","3"
"Very high transfer dependency","1985","1-pers.-HH","in school","","","","","3"
"Very high transfer dependency","1985","1-pers.-HH","inadequately","3","","","","3"
"Very high transfer dependency","1985","1-pers.-HH","general elemantary","16","","","","3"
"Very high transfer dependency","1985","Couple + C. GT 16 ","middle vocational","2","","","","3"
"Very high transfer dependency","1985","Couple + C. GT 16 ","vocational + Abi","","","","","3"
"Very high transfer dependency","1985","Couple + C. GT 16 ","higher education","","","","","3"
"Very high transfer dependency","1985","Couple + C. GT 16 ","higher vocational","1","","","","3"
"Very high transfer dependency","1985","1-pers.-HH","middle vocational","22","","","","3"
"Very high transfer dependency","1985","1-pers.-HH","vocational + Abi","2","","","","3"
"Very high transfer dependency","1985","1-pers.-HH","higher vocational","3","","","","3"
"Very high transfer dependency","1985","1-pers.-HH","higher education","1","","","","3"
"Very high transfer dependency","1985","(Married) couple without C. ","higher vocational","","","","","3"
"Very high transfer dependency","1985","(Married) couple without C. ","higher education","","","","","3"
"Very high transfer dependency","1985","Single parent ","in school","1","","","","3"
"Very high transfer dependency","1985","Couple + C. LE 16 ","higher vocational","1","","","","3"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","in school","1","","","","3"
"Very high transfer dependency","1985","(Married) couple without C. ","in school","","","","","3"
"Very high transfer dependency","1985","(Married) couple without C. ","inadequately","2","","","","3"
"Very high transfer dependency","1985","Single parent ","inadequately","5","","","","3"
"Very high transfer dependency","1985","Single parent ","general elemantary","9","","","","3"
"Very high transfer dependency","1985","Single parent ","middle vocational","16","","","","3"
"Very high transfer dependency","1985","Single parent ","vocational + Abi","1","","","","3"
"Very high transfer dependency","1985","Single parent ","higher vocational","","","","","3"
"Very high transfer dependency","1985","Single parent ","higher education","","","","","3"
"Very high transfer dependency","1985","Couple + C. LE 16 ","in school","","","","","3"
"Very high transfer dependency","1985","Couple + C. LE 16 ","inadequately","9","","","","3"
"Very high transfer dependency","1985","Couple + C. LE 16 ","general elemantary","21","","","","3"
"Very high transfer dependency","1985","Couple + C. LE 16 ","middle vocational","20","","","","3"
"Very high transfer dependency","1985","Couple + C. LE 16 ","vocational + Abi","1","","","","3"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","middle vocational","1","","","","3"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","vocational + Abi","","","","","3"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","higher vocational","","","","","3"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","higher education","","","","","3"
"Very low transfer dependency","1985","1-pers.-HH","in school","","","","","0"
"Very low transfer dependency","1985","1-pers.-HH","inadequately","46","0.842018065605395","0.742886757386955","0.941149373823836","0"
"Very low transfer dependency","1985","1-pers.-HH","general elemantary","308","0.92509922081786","0.896995070090895","0.953203371544826","0"
"Very low transfer dependency","1985","1-pers.-HH","middle vocational","510","0.933974759182591","0.913202463998101","0.954747054367081","0"
"Very low transfer dependency","1985","1-pers.-HH","vocational + Abi","36","0.91635606815643","0.830559988226084","1.00215214808678","0"
"Very low transfer dependency","1985","1-pers.-HH","higher vocational","71","0.874277045836159","0.802077010807156","0.946477080865162","0"
"Very low transfer dependency","1985","1-pers.-HH","higher education","101","0.96239894532223","0.926185258545016","0.998612632099445","0"
"Very low transfer dependency","1985","(Married) couple without C. ","in school","","","","","0"
"Very low transfer dependency","1985","(Married) couple without C. ","inadequately","89","0.941756145938769","0.894906451946135","0.988605839931403","0"
"Very low transfer dependency","1985","(Married) couple without C. ","general elemantary","573","0.95820533982053","0.942152546357469","0.974258133283591","0"
"Very low transfer dependency","1985","(Married) couple without C. ","middle vocational","1247","0.967879707017514","0.958272848516821","0.977486565518208","0"
"Very low transfer dependency","1985","(Married) couple without C. ","vocational + Abi","68","0.902401494831647","0.835680458864052","0.969122530799242","0"
"Very low transfer dependency","1985","(Married) couple without C. ","higher vocational","149","0.961229851406891","0.930936442340854","0.991523260472928","0"
"Very low transfer dependency","1985","(Married) couple without C. ","higher education","192","0.986510026277663","0.970318526100141","1.00270152645519","0"
"Very low transfer dependency","1985","Single parent ","in school","18","","","","0"
"Very low transfer dependency","1985","Single parent ","inadequately","30","0.694194443148956","0.55316187460764","0.835227011690272","0"
"Very low transfer dependency","1985","Single parent ","general elemantary","164","0.845665048483419","0.794828206775751","0.896501890191086","0"
"Very low transfer dependency","1985","Single parent ","middle vocational","207","0.871418282836076","0.828801872799537","0.914034692872616","0"
"Very low transfer dependency","1985","Single parent ","vocational + Abi","7","","","","0"
"Very low transfer dependency","1985","Single parent ","higher vocational","23","","","","0"
"Very low transfer dependency","1985","Single parent ","higher education","15","","","","0"
"Very low transfer dependency","1985","Couple + C. LE 16 ","in school","","","","","0"
"Very low transfer dependency","1985","Couple + C. LE 16 ","inadequately","225","0.853557708509073","0.809732116731334","0.897383300286813","0"
"Very low transfer dependency","1985","Couple + C. LE 16 ","general elemantary","496","0.897595082362637","0.872280373900674","0.9229097908246","0"
"Very low transfer dependency","1985","Couple + C. LE 16 ","middle vocational","1245","0.950707577968517","0.939029410945364","0.96238574499167","0"
"Very low transfer dependency","1985","Couple + C. LE 16 ","vocational + Abi","71","0.951062238203639","0.902875309223741","0.999249167183538","0"
"Very low transfer dependency","1985","Couple + C. LE 16 ","higher vocational","182","0.970444385696608","0.94629964697679","0.994589124416426","0"
"Very low transfer dependency","1985","Couple + C. LE 16 ","higher education","242","0.985491762496851","0.970579846728543","1.00040367826516","0"
"Very low transfer dependency","1985","Couple + C. GT 16 ","in school","77","0.941769803234787","0.890771926958632","0.992767679510942","0"
"Very low transfer dependency","1985","Couple + C. GT 16 ","inadequately","126","0.923227870458627","0.878151188690002","0.968304552227252","0"
"Very low transfer dependency","1985","Couple + C. GT 16 ","general elemantary","586","0.964840175070778","0.950247886102686","0.979432464038871","0"
"Very low transfer dependency","1985","Couple + C. GT 16 ","middle vocational","898","0.979272437453912","0.970106012533772","0.988438862374052","0"
"Very low transfer dependency","1985","Couple + C. GT 16 ","vocational + Abi","35","1","1","1","0"
"Very low transfer dependency","1985","Couple + C. GT 16 ","higher vocational","97","0.977980679014315","0.949218936784574","1.00674242124405","0"
"Very low transfer dependency","1985","Couple + C. GT 16 ","higher education","108","0.987294484319739","0.966268596368821","1.00832037227066","0"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","in school","75","0.951275974545437","0.904099232876983","0.99845271621389","0"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","inadequately","175","0.861431872738614","0.813668805952726","0.909194939524503","0"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","general elemantary","470","0.946244003475907","0.926650855043087","0.965837151908726","0"
