"transab_cat2","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1985","35-65 y.","inadequately","535","0.894500901609129","0.869649905247267","0.91935189797099"
"Very low transfer dependency","1985","35-65 y.","general elemantary","1405","0.935015224693741","0.922549191563841","0.947481257823641"
"Very low transfer dependency","1985","35-65 y.","middle vocational","2584","0.955248854277079","0.947470217163227","0.963027491390931"
"Very low transfer dependency","1985","35-65 y.","vocational + Abi","100","0.946975709351744","0.905100344723077","0.98885107398041"
"Very low transfer dependency","1985","35-65 y.","higher vocational","335","0.970449492103507","0.952580194293222","0.988318789913791"
"Very low transfer dependency","1985","35-65 y.","higher education","453","0.980406314844933","0.967768027775982","0.993044601913884"
"Very low transfer dependency","1985","66 and older","in school","","","",""
"Very low transfer dependency","1985","66 and older","inadequately","11","","",""
"Very low transfer dependency","1985","66 and older","general elemantary","408","0.958176379021155","0.939144258847001","0.97720849919531"
"Very low transfer dependency","1985","66 and older","middle vocational","515","0.988549716709254","0.979414126651608","0.997685306766901"
"Very low transfer dependency","1985","66 and older","vocational + Abi","18","","",""
"Very low transfer dependency","1985","66 and older","higher vocational","79","0.979582086249879","0.948591542431897","1.01057263006786"
"Very low transfer dependency","1985","66 and older","higher education","56","1","1","1"
"Low transfer dependency","1985","16-34 y.","in school","8","","",""
"Low transfer dependency","1985","16-34 y.","inadequately","17","","",""
"Low transfer dependency","1985","16-34 y.","general elemantary","55","0.0404281455517861","0.0290097354594853","0.0518465556440869"
"Low transfer dependency","1985","16-34 y.","middle vocational","60","0.0254405034578061","0.018442803488852","0.0324382034267601"
"Low transfer dependency","1985","16-34 y.","vocational + Abi","11","","",""
"Low transfer dependency","1985","16-34 y.","higher vocational","11","","",""
"Low transfer dependency","1985","16-34 y.","higher education","5","","",""
"Low transfer dependency","1985","35-65 y.","in school","","","",""
"Low transfer dependency","1985","35-65 y.","inadequately","34","0.0779775617876519","0.0562863102189761","0.0996688133563277"
"Low transfer dependency","1985","35-65 y.","general elemantary","51","0.029122977064534","0.0206191754431283","0.0376267786859397"
"Low transfer dependency","1985","35-65 y.","middle vocational","71","0.0227412392361451","0.0171326321152092","0.028349846357081"
"Low transfer dependency","1985","35-65 y.","vocational + Abi","4","","",""
"Low transfer dependency","1985","35-65 y.","higher vocational","4","","",""
"Low transfer dependency","1985","35-65 y.","higher education","5","","",""
"Low transfer dependency","1985","66 and older","in school","","","",""
"Low transfer dependency","1985","66 and older","inadequately","1","","",""
"Low transfer dependency","1985","66 and older","general elemantary","7","","",""
"Low transfer dependency","1985","66 and older","middle vocational","3","","",""
"Low transfer dependency","1985","66 and older","vocational + Abi","","","",""
"Low transfer dependency","1985","66 and older","higher vocational","","","",""
"Low transfer dependency","1985","66 and older","higher education","","","",""
"High transfer dependency","1985","16-34 y.","in school","2","","",""
"High transfer dependency","1985","16-34 y.","inadequately","3","","",""
"High transfer dependency","1985","16-34 y.","general elemantary","27","","",""
"High transfer dependency","1985","16-34 y.","middle vocational","30","0.0133867043458452","0.00827931923638223","0.0184940894553082"
"High transfer dependency","1985","16-34 y.","vocational + Abi","1","","",""
"High transfer dependency","1985","16-34 y.","higher vocational","5","","",""
"High transfer dependency","1985","16-34 y.","higher education","2","","",""
"High transfer dependency","1985","35-65 y.","in school","","","",""
"High transfer dependency","1985","35-65 y.","inadequately","8","","",""
"High transfer dependency","1985","35-65 y.","general elemantary","10","","",""
"High transfer dependency","1985","35-65 y.","middle vocational","24","","",""
"High transfer dependency","1985","35-65 y.","vocational + Abi","5","","",""
"High transfer dependency","1985","35-65 y.","higher vocational","4","","",""
"High transfer dependency","1985","35-65 y.","higher education","2","","",""
"High transfer dependency","1985","66 and older","in school","","","",""
"High transfer dependency","1985","66 and older","inadequately","","","",""
"High transfer dependency","1985","66 and older","general elemantary","6","","",""
"High transfer dependency","1985","66 and older","middle vocational","3","","",""
"High transfer dependency","1985","66 and older","vocational + Abi","","","",""
"High transfer dependency","1985","66 and older","higher vocational","1","","",""
"High transfer dependency","1985","66 and older","higher education","","","",""
"Very high transfer dependency","1985","16-34 y.","in school","4","","",""
"Very high transfer dependency","1985","16-34 y.","inadequately","14","","",""
"Very high transfer dependency","1985","16-34 y.","general elemantary","28","","",""
"Very high transfer dependency","1985","16-34 y.","middle vocational","41","0.0248839178587559","0.0179612128261607","0.0318066228913511"
"Very high transfer dependency","1985","16-34 y.","vocational + Abi","5","","",""
"Very high transfer dependency","1985","16-34 y.","higher vocational","3","","",""
"Very high transfer dependency","1985","16-34 y.","higher education","","","",""
"Very high transfer dependency","1985","35-65 y.","in school","","","",""
"Very high transfer dependency","1985","35-65 y.","inadequately","10","","",""
"Very high transfer dependency","1985","35-65 y.","general elemantary","36","0.0281153948511026","0.0197556587162097","0.0364751309859955"
"Very high transfer dependency","1985","35-65 y.","middle vocational","35","0.0139655803912574","0.00955070244568275","0.0183804583368321"
"Very high transfer dependency","1985","35-65 y.","vocational + Abi","1","","",""
"Very high transfer dependency","1985","35-65 y.","higher vocational","2","","",""
"Very high transfer dependency","1985","35-65 y.","higher education","2","","",""
"Very high transfer dependency","1985","66 and older","in school","","","",""
"Very high transfer dependency","1985","66 and older","inadequately","2","","",""
"Very high transfer dependency","1985","66 and older","general elemantary","4","","",""
"Very high transfer dependency","1985","66 and older","middle vocational","","","",""
"Very high transfer dependency","1985","66 and older","vocational + Abi","","","",""
"Very high transfer dependency","1985","66 and older","higher vocational","","","",""
"Very high transfer dependency","1985","66 and older","higher education","","","",""
"Very low transfer dependency","1986","16-34 y.","in school","179","0.952399605748081","0.921882582669366","0.982916628826796"
"Very low transfer dependency","1986","16-34 y.","inadequately","201","0.811036781673137","0.760770235672419","0.861303327673855"
"Very low transfer dependency","1986","16-34 y.","general elemantary","1025","0.916887739387626","0.900720729277213","0.93305474949804"
"Very low transfer dependency","1986","16-34 y.","middle vocational","1775","0.93532954610671","0.924253279901405","0.946405812312014"
"Very low transfer dependency","1986","16-34 y.","vocational + Abi","136","0.873981683243121","0.821736020267964","0.926227346218278"
"Very low transfer dependency","1986","16-34 y.","higher vocational","174","0.895957491439922","0.852429733383169","0.939485249496675"
"Very low transfer dependency","1986","16-34 y.","higher education","217","0.957039930590667","0.9306041957107","0.983475665470634"
"Very low transfer dependency","1986","35-65 y.","in school","","","",""
"Very low transfer dependency","1986","35-65 y.","inadequately","471","0.888940877929694","0.862241211736497","0.915640544122891"
"Very low transfer dependency","1986","35-65 y.","general elemantary","1304","0.934189507286717","0.921131158391132","0.947247856182303"
"Very low transfer dependency","1986","35-65 y.","middle vocational","2502","0.950576287815528","0.942281407674433","0.958871167956624"
"Very low transfer dependency","1986","35-65 y.","vocational + Abi","93","0.940828789790556","0.895040066931489","0.986617512649622"
"Very low transfer dependency","1986","35-65 y.","higher vocational","310","0.97161318916174","0.953359967252754","0.989866411070726"
"Very low transfer dependency","1986","35-65 y.","higher education","456","0.966391960782332","0.95006432115409","0.982719600410574"
"Very low transfer dependency","1986","66 and older","in school","","","",""
"Very low transfer dependency","1986","66 and older","inadequately","16","","",""
"Very low transfer dependency","1986","66 and older","general elemantary","385","0.972680378056884","0.956624911950486","0.988735844163281"
"Very low transfer dependency","1986","66 and older","middle vocational","478","0.992113336421557","0.984208318580981","1.00001835426213"
"Very low transfer dependency","1986","66 and older","vocational + Abi","20","","",""
"Very low transfer dependency","1986","66 and older","higher vocational","73","0.962724004245774","0.919562382122562","1.00588562636899"
"Very low transfer dependency","1986","66 and older","higher education","53","1","1","1"
"Low transfer dependency","1986","16-34 y.","in school","3","","",""
"Low transfer dependency","1986","16-34 y.","inadequately","17","","",""
"Low transfer dependency","1986","16-34 y.","general elemantary","47","0.0370874669362685","0.0260200547323608","0.0481548791401762"
"Low transfer dependency","1986","16-34 y.","middle vocational","68","0.0351938932546678","0.0268951604504993","0.0434926260588363"
"Low transfer dependency","1986","16-34 y.","vocational + Abi","11","","",""
"Low transfer dependency","1986","16-34 y.","higher vocational","8","","",""
"Low transfer dependency","1986","16-34 y.","higher education","3","","",""
"Low transfer dependency","1986","35-65 y.","in school","","","",""
"Low transfer dependency","1986","35-65 y.","inadequately","37","0.0608923712948388","0.040572011069968","0.0812127315197097"
"Low transfer dependency","1986","35-65 y.","general elemantary","36","0.0273822482792399","0.0187875852850593","0.0359769112734205"
"Low transfer dependency","1986","35-65 y.","middle vocational","66","0.0261385131275178","0.0200327777082897","0.0322442485467459"
"Low transfer dependency","1986","35-65 y.","vocational + Abi","4","","",""
"Low transfer dependency","1986","35-65 y.","higher vocational","4","","",""
"Low transfer dependency","1986","35-65 y.","higher education","7","","",""
"Low transfer dependency","1986","66 and older","in school","","","",""
"Low transfer dependency","1986","66 and older","inadequately","2","","",""
"Low transfer dependency","1986","66 and older","general elemantary","5","","",""
"Low transfer dependency","1986","66 and older","middle vocational","1","","",""
"Low transfer dependency","1986","66 and older","vocational + Abi","","","",""
"Low transfer dependency","1986","66 and older","higher vocational","","","",""
"Low transfer dependency","1986","66 and older","higher education","","","",""
"High transfer dependency","1986","16-34 y.","in school","2","","",""
"High transfer dependency","1986","16-34 y.","inadequately","5","","",""
"High transfer dependency","1986","16-34 y.","general elemantary","21","","",""
"High transfer dependency","1986","16-34 y.","middle vocational","20","","",""
"High transfer dependency","1986","16-34 y.","vocational + Abi","4","","",""
"High transfer dependency","1986","16-34 y.","higher vocational","3","","",""
"High transfer dependency","1986","16-34 y.","higher education","1","","",""
"High transfer dependency","1986","35-65 y.","in school","","","",""
"High transfer dependency","1986","35-65 y.","inadequately","10","","",""
"High transfer dependency","1986","35-65 y.","general elemantary","17","","",""
"High transfer dependency","1986","35-65 y.","middle vocational","25","","",""
"High transfer dependency","1986","35-65 y.","vocational + Abi","3","","",""
"High transfer dependency","1986","35-65 y.","higher vocational","","","",""
"High transfer dependency","1986","35-65 y.","higher education","2","","",""
"High transfer dependency","1986","66 and older","in school","","","",""
"High transfer dependency","1986","66 and older","inadequately","1","","",""
"High transfer dependency","1986","66 and older","general elemantary","4","","",""
"High transfer dependency","1986","66 and older","middle vocational","2","","",""
"High transfer dependency","1986","66 and older","vocational + Abi","","","",""
"High transfer dependency","1986","66 and older","higher vocational","1","","",""
"High transfer dependency","1986","66 and older","higher education","","","",""
"Very high transfer dependency","1986","16-34 y.","in school","3","","",""
"Very high transfer dependency","1986","16-34 y.","inadequately","10","","",""
"Very high transfer dependency","1986","16-34 y.","general elemantary","27","","",""
"Very high transfer dependency","1986","16-34 y.","middle vocational","31","0.0188644173531547","0.0127374676527385","0.0249913670535709"
"Very high transfer dependency","1986","16-34 y.","vocational + Abi","4","","",""
"Very high transfer dependency","1986","16-34 y.","higher vocational","4","","",""
"Very high transfer dependency","1986","16-34 y.","higher education","5","","",""
"Very high transfer dependency","1986","35-65 y.","in school","","","",""
"Very high transfer dependency","1986","35-65 y.","inadequately","14","","",""
"Very high transfer dependency","1986","35-65 y.","general elemantary","28","","",""
"Very high transfer dependency","1986","35-65 y.","middle vocational","30","0.0133804815534383","0.00898344912070131","0.0177775139861753"
"Very high transfer dependency","1986","35-65 y.","vocational + Abi","2","","",""
"Very high transfer dependency","1986","35-65 y.","higher vocational","4","","",""
"Very high transfer dependency","1986","35-65 y.","higher education","3","","",""
"Very high transfer dependency","1986","66 and older","in school","","","",""
"Very high transfer dependency","1986","66 and older","inadequately","","","",""
"Very high transfer dependency","1986","66 and older","general elemantary","2","","",""
"Very high transfer dependency","1986","66 and older","middle vocational","","","",""
"Very high transfer dependency","1986","66 and older","vocational + Abi","","","",""
"Very high transfer dependency","1986","66 and older","higher vocational","","","",""
"Very high transfer dependency","1986","66 and older","higher education","","","",""
"Very low transfer dependency","1987","16-34 y.","in school","176","0.941966289190556","0.90854470610476","0.975387872276351"
"Very low transfer dependency","1987","16-34 y.","inadequately","180","0.800214082444019","0.745613155946835","0.854815008941202"
"Very low transfer dependency","1987","16-34 y.","general elemantary","996","0.912370282845393","0.895576620316365","0.929163945374421"
"Very low transfer dependency","1987","16-34 y.","middle vocational","1789","0.942662111250362","0.932216651220772","0.953107571279952"
"Very low transfer dependency","1987","16-34 y.","vocational + Abi","143","0.911162509866031","0.866372794438197","0.955952225293865"
"Very low transfer dependency","1987","16-34 y.","higher vocational","174","0.950167430404416","0.918640676479036","0.981694184329796"
"Very low transfer dependency","1987","16-34 y.","higher education","207","0.929546117786475","0.895652808960964","0.963439426611986"
"Very low transfer dependency","1987","35-65 y.","in school","","","",""
"Very low transfer dependency","1987","35-65 y.","inadequately","489","0.918082062642227","0.894865605235612","0.941298520048842"
"Very low transfer dependency","1987","35-65 y.","general elemantary","1253","0.930633662929499","0.917060241887339","0.944207083971659"
"Very low transfer dependency","1987","35-65 y.","middle vocational","2449","0.952063043518594","0.94379073714506","0.960335349892128"
"Very low transfer dependency","1987","35-65 y.","vocational + Abi","96","0.947827746085388","0.904882609612686","0.990772882558089"
"Very low transfer dependency","1987","35-65 y.","higher vocational","303","0.952823584002154","0.929447418630663","0.976199749373645"
"Very low transfer dependency","1987","35-65 y.","higher education","454","0.969028115057915","0.95329889674866","0.98475733336717"
"Very low transfer dependency","1987","66 and older","in school","","","",""
"Very low transfer dependency","1987","66 and older","inadequately","15","","",""
"Very low transfer dependency","1987","66 and older","general elemantary","403","0.971344981336221","0.955254828723288","0.987435133949153"
"Very low transfer dependency","1987","66 and older","middle vocational","501","0.98463825945954","0.973943406914731","0.995333112004348"
"Very low transfer dependency","1987","66 and older","vocational + Abi","19","","",""
"Very low transfer dependency","1987","66 and older","higher vocational","69","1","1","1"
"Very low transfer dependency","1987","66 and older","higher education","57","0.978383993679419","0.94095772826844","1.0158102590904"
"Low transfer dependency","1987","16-34 y.","in school","8","","",""
"Low transfer dependency","1987","16-34 y.","inadequately","9","","",""
"Low transfer dependency","1987","16-34 y.","general elemantary","56","0.0491894194429982","0.0363449253750897","0.0620339135109066"
"Low transfer dependency","1987","16-34 y.","middle vocational","72","0.0355169269087134","0.0272013249535822","0.0438325288638445"
"Low transfer dependency","1987","16-34 y.","vocational + Abi","7","","",""
"Low transfer dependency","1987","16-34 y.","higher vocational","6","","",""
"Low transfer dependency","1987","16-34 y.","higher education","7","","",""
"Low transfer dependency","1987","35-65 y.","in school","","","",""
"Low transfer dependency","1987","35-65 y.","inadequately","23","","",""
"Low transfer dependency","1987","35-65 y.","general elemantary","55","0.0379796012755678","0.0277680222631957","0.0481911802879398"
"Low transfer dependency","1987","35-65 y.","middle vocational","56","0.0226080024896084","0.0168519596978816","0.0283640452813352"
"Low transfer dependency","1987","35-65 y.","vocational + Abi","2","","",""
"Low transfer dependency","1987","35-65 y.","higher vocational","7","","",""
"Low transfer dependency","1987","35-65 y.","higher education","9","","",""
"Low transfer dependency","1987","66 and older","in school","","","",""
"Low transfer dependency","1987","66 and older","inadequately","1","","",""
"Low transfer dependency","1987","66 and older","general elemantary","7","","",""
"Low transfer dependency","1987","66 and older","middle vocational","6","","",""
"Low transfer dependency","1987","66 and older","vocational + Abi","","","",""
"Low transfer dependency","1987","66 and older","higher vocational","","","",""
"Low transfer dependency","1987","66 and older","higher education","","","",""
"High transfer dependency","1987","16-34 y.","in school","3","","",""
"High transfer dependency","1987","16-34 y.","inadequately","8","","",""
"High transfer dependency","1987","16-34 y.","general elemantary","9","","",""
"High transfer dependency","1987","16-34 y.","middle vocational","21","","",""
"High transfer dependency","1987","16-34 y.","vocational + Abi","3","","",""
"High transfer dependency","1987","16-34 y.","higher vocational","2","","",""
"High transfer dependency","1987","16-34 y.","higher education","1","","",""
"High transfer dependency","1987","35-65 y.","in school","","","",""
"High transfer dependency","1987","35-65 y.","inadequately","13","","",""
"High transfer dependency","1987","35-65 y.","general elemantary","18","","",""
"High transfer dependency","1987","35-65 y.","middle vocational","22","","",""
"High transfer dependency","1987","35-65 y.","vocational + Abi","3","","",""
"High transfer dependency","1987","35-65 y.","higher vocational","2","","",""
"High transfer dependency","1987","35-65 y.","higher education","1","","",""
"High transfer dependency","1987","66 and older","in school","","","",""
"High transfer dependency","1987","66 and older","inadequately","1","","",""
"High transfer dependency","1987","66 and older","general elemantary","2","","",""
"High transfer dependency","1987","66 and older","middle vocational","1","","",""
"High transfer dependency","1987","66 and older","vocational + Abi","","","",""
"High transfer dependency","1987","66 and older","higher vocational","","","",""
"High transfer dependency","1987","66 and older","higher education","","","",""
"Very high transfer dependency","1987","16-34 y.","in school","1","","",""
"Very high transfer dependency","1987","16-34 y.","inadequately","9","","",""
"Very high transfer dependency","1987","16-34 y.","general elemantary","28","","",""
"Very high transfer dependency","1987","16-34 y.","middle vocational","21","","",""
"Very high transfer dependency","1987","16-34 y.","vocational + Abi","2","","",""
"Very high transfer dependency","1987","16-34 y.","higher vocational","1","","",""
"Very high transfer dependency","1987","16-34 y.","higher education","4","","",""
"Very high transfer dependency","1987","35-65 y.","in school","","","",""
"Very high transfer dependency","1987","35-65 y.","inadequately","11","","",""
"Very high transfer dependency","1987","35-65 y.","general elemantary","20","","",""
"Very high transfer dependency","1987","35-65 y.","middle vocational","35","0.0163026237637949","0.0113989898749423","0.0212062576526475"
"Very high transfer dependency","1987","35-65 y.","vocational + Abi","2","","",""
"Very high transfer dependency","1987","35-65 y.","higher vocational","4","","",""
"Very high transfer dependency","1987","35-65 y.","higher education","2","","",""
"Very high transfer dependency","1987","66 and older","in school","","","",""
"Very high transfer dependency","1987","66 and older","inadequately","","","",""
"Very high transfer dependency","1987","66 and older","general elemantary","1","","",""
"Very high transfer dependency","1987","66 and older","middle vocational","","","",""
"Very high transfer dependency","1987","66 and older","vocational + Abi","","","",""
"Very high transfer dependency","1987","66 and older","higher vocational","","","",""
"Very high transfer dependency","1987","66 and older","higher education","1","","",""
"Very low transfer dependency","1988","16-34 y.","in school","151","0.920078122637849","0.87844878706009","0.961707458215608"
"Very low transfer dependency","1988","16-34 y.","inadequately","163","0.79111981982908","0.732856257181501","0.849383382476659"
"Very low transfer dependency","1988","16-34 y.","general elemantary","978","0.906361138756756","0.888913685014622","0.92380859249889"
"Very low transfer dependency","1988","16-34 y.","middle vocational","1698","0.953134963688387","0.943344049258624","0.96292587811815"
"Very low transfer dependency","1988","16-34 y.","vocational + Abi","147","0.962841459712103","0.932771488597644","0.992911430826562"
"Very low transfer dependency","1988","16-34 y.","higher vocational","152","0.93607026899851","0.898283407886697","0.973857130110322"
"Very low transfer dependency","1988","16-34 y.","higher education","200","0.9806204864118","0.961703370519508","0.999537602304091"
"Very low transfer dependency","1988","35-65 y.","in school","","","",""
"Very low transfer dependency","1988","35-65 y.","inadequately","432","0.855045447535317","0.823905500167782","0.886185394902852"
"Very low transfer dependency","1988","35-65 y.","general elemantary","1173","0.920527814128671","0.905640563454608","0.935415064802734"
"Very low transfer dependency","1988","35-65 y.","middle vocational","2343","0.952538218132323","0.944105094145378","0.960971342119268"
"Very low transfer dependency","1988","35-65 y.","vocational + Abi","90","0.955129041982706","0.91414179493163","0.996116289033781"
"Very low transfer dependency","1988","35-65 y.","higher vocational","300","0.964653607864371","0.944098228983677","0.985208986745065"
"Very low transfer dependency","1988","35-65 y.","higher education","432","0.978862390622892","0.965437289937064","0.992287491308719"
"Very low transfer dependency","1988","66 and older","in school","","","",""
"Very low transfer dependency","1988","66 and older","inadequately","16","","",""
"Very low transfer dependency","1988","66 and older","general elemantary","381","0.979656304716818","0.965627357528488","0.993685251905149"
"Very low transfer dependency","1988","66 and older","middle vocational","500","0.989034969449514","0.979952307536099","0.99811763136293"
"Very low transfer dependency","1988","66 and older","vocational + Abi","19","","",""
"Very low transfer dependency","1988","66 and older","higher vocational","69","1","1","1"
"Very low transfer dependency","1988","66 and older","higher education","56","1","1","1"
"Low transfer dependency","1988","16-34 y.","in school","8","","",""
"Low transfer dependency","1988","16-34 y.","inadequately","13","","",""
"Low transfer dependency","1988","16-34 y.","general elemantary","44","0.0439754816724608","0.0316956285208006","0.056255334824121"
"Low transfer dependency","1988","16-34 y.","middle vocational","61","0.0300144608658741","0.022110050504775","0.0379188712269733"
"Low transfer dependency","1988","16-34 y.","vocational + Abi","3","","",""
"Low transfer dependency","1988","16-34 y.","higher vocational","5","","",""
"Low transfer dependency","1988","16-34 y.","higher education","3","","",""
"Low transfer dependency","1988","35-65 y.","in school","","","",""
"Low transfer dependency","1988","35-65 y.","inadequately","38","0.0808195220299364","0.0567112612943499","0.104927782765523"
"Low transfer dependency","1988","35-65 y.","general elemantary","49","0.0325520454945575","0.0227843657574955","0.0423197252316195"
"Low transfer dependency","1988","35-65 y.","middle vocational","51","0.0225984543468127","0.0167038977772015","0.028493010916424"
"Low transfer dependency","1988","35-65 y.","vocational + Abi","5","","",""
