"transab_cat2","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","1989","16-34 y.","Rural Area","17","","",""
"Low transfer dependency","1989","35-65 y.","Urban Area","118","0.0238825784654338","0.0191132523193908","0.0286519046114768"
"Low transfer dependency","1989","35-65 y.","Rural Area","29","","",""
"Low transfer dependency","1989","66 and older","Urban Area","8","","",""
"Low transfer dependency","1989","66 and older","Rural Area","3","","",""
"High transfer dependency","1989","16-34 y.","Urban Area","45","0.0181079967720617","0.0133664365377671","0.0228495570063564"
"High transfer dependency","1989","16-34 y.","Rural Area","7","","",""
"High transfer dependency","1989","35-65 y.","Urban Area","36","0.00702923402367608","0.00441955186678187","0.00963891618057029"
"High transfer dependency","1989","35-65 y.","Rural Area","10","","",""
"High transfer dependency","1989","66 and older","Urban Area","3","","",""
"High transfer dependency","1989","66 and older","Rural Area","1","","",""
"Very high transfer dependency","1989","16-34 y.","Urban Area","46","0.0181246399418424","0.0133809414131985","0.0228683384704864"
"Very high transfer dependency","1989","16-34 y.","Rural Area","14","","",""
"Very high transfer dependency","1989","35-65 y.","Urban Area","64","0.0182900651987276","0.0141043988798531","0.022475731517602"
"Very high transfer dependency","1989","35-65 y.","Rural Area","21","","",""
"Very high transfer dependency","1989","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1989","66 and older","Rural Area","2","","",""
"Very low transfer dependency","1990","16-34 y.","Urban Area","2733","0.942601715681092","0.934141852223935","0.951061579138248"
"Very low transfer dependency","1990","16-34 y.","Rural Area","687","0.936730129569059","0.919033661255043","0.954426597883074"
"Very low transfer dependency","1990","35-65 y.","Urban Area","3650","0.957214935399528","0.950812481869307","0.963617388929749"
"Very low transfer dependency","1990","35-65 y.","Rural Area","895","0.953272669150835","0.939766234249017","0.966779104052653"
"Very low transfer dependency","1990","66 and older","Urban Area","797","0.9892168020715","0.982108642078097","0.996324962064903"
"Very low transfer dependency","1990","66 and older","Rural Area","240","0.969308508337036","0.947798547233326","0.990818469440745"
"Low transfer dependency","1990","16-34 y.","Urban Area","97","0.0298703222401443","0.0236789825248053","0.0360616619554834"
"Low transfer dependency","1990","16-34 y.","Rural Area","28","","",""
"Low transfer dependency","1990","35-65 y.","Urban Area","85","0.01632446417082","0.0123154184550023","0.0203335098866377"
"Low transfer dependency","1990","35-65 y.","Rural Area","25","","",""
"Low transfer dependency","1990","66 and older","Urban Area","8","","",""
"Low transfer dependency","1990","66 and older","Rural Area","4","","",""
"High transfer dependency","1990","16-34 y.","Urban Area","39","0.0153025728881386","0.0108379640466495","0.0197671817296277"
"High transfer dependency","1990","16-34 y.","Rural Area","3","","",""
"High transfer dependency","1990","35-65 y.","Urban Area","42","0.0095472290109762","0.00647076979864155","0.0126236882233108"
"High transfer dependency","1990","35-65 y.","Rural Area","7","","",""
"High transfer dependency","1990","66 and older","Urban Area","5","","",""
"High transfer dependency","1990","66 and older","Rural Area","3","","",""
"Very high transfer dependency","1990","16-34 y.","Urban Area","35","0.0122253891906256","0.00822861086654221","0.016222167514709"
"Very high transfer dependency","1990","16-34 y.","Rural Area","9","","",""
"Very high transfer dependency","1990","35-65 y.","Urban Area","61","0.0169133714186761","0.0128338746503908","0.0209928681869615"
"Very high transfer dependency","1990","35-65 y.","Rural Area","11","","",""
"Very high transfer dependency","1990","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1990","66 and older","Rural Area","","","",""
"Very low transfer dependency","1991","16-34 y.","Urban Area","2685","0.938059990043779","0.929222724180257","0.946897255907301"
"Very low transfer dependency","1991","16-34 y.","Rural Area","695","0.934906339624438","0.917215795572887","0.952596883675989"
"Very low transfer dependency","1991","35-65 y.","Urban Area","3617","0.954551831290805","0.947933801584214","0.961169860997395"
"Very low transfer dependency","1991","35-65 y.","Rural Area","900","0.95298644851033","0.939505265824527","0.966467631196133"
"Very low transfer dependency","1991","66 and older","Urban Area","812","0.985867514646099","0.97783244998627","0.993902579305927"
"Very low transfer dependency","1991","66 and older","Rural Area","241","0.971338884087837","0.95048857619607","0.992189191979603"
"Low transfer dependency","1991","16-34 y.","Urban Area","102","0.0359393369703982","0.0291150985669171","0.0427635753738792"
"Low transfer dependency","1991","16-34 y.","Rural Area","31","0.0358829965293003","0.0225448030516845","0.0492211900069162"
"Low transfer dependency","1991","35-65 y.","Urban Area","111","0.0241977935372939","0.0193153240057854","0.0290802630688024"
"Low transfer dependency","1991","35-65 y.","Rural Area","24","","",""
"Low transfer dependency","1991","66 and older","Urban Area","11","","",""
"Low transfer dependency","1991","66 and older","Rural Area","1","","",""
"High transfer dependency","1991","16-34 y.","Urban Area","32","0.0104453509973475","0.00671801632119631","0.0141726856734987"
"High transfer dependency","1991","16-34 y.","Rural Area","7","","",""
"High transfer dependency","1991","35-65 y.","Urban Area","33","0.00727370202664717","0.00457370505668666","0.00997369899660767"
"High transfer dependency","1991","35-65 y.","Rural Area","11","","",""
"High transfer dependency","1991","66 and older","Urban Area","5","","",""
"High transfer dependency","1991","66 and older","Rural Area","3","","",""
"Very high transfer dependency","1991","16-34 y.","Urban Area","39","0.0155553219884751","0.0110184958214822","0.020092148155468"
"Very high transfer dependency","1991","16-34 y.","Rural Area","14","","",""
"Very high transfer dependency","1991","35-65 y.","Urban Area","44","0.013976673145254","0.0102466093495778","0.0177067369409302"
"Very high transfer dependency","1991","35-65 y.","Rural Area","12","","",""
"Very high transfer dependency","1991","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1991","66 and older","Rural Area","1","","",""
"Very low transfer dependency","1992","16-34 y.","Urban Area","3012","0.924047045808199","0.914989017196854","0.933105074419545"
"Very low transfer dependency","1992","16-34 y.","Rural Area","1400","0.875423654927704","0.859362306268238","0.89148500358717"
"Very low transfer dependency","1992","35-65 y.","Urban Area","4280","0.952997057370613","0.94683792026469","0.959156194476536"
"Very low transfer dependency","1992","35-65 y.","Rural Area","2105","0.930566521579611","0.92015788800632","0.940975155152902"
"Very low transfer dependency","1992","66 and older","Urban Area","951","0.99311113777565","0.987895202379932","0.998327073171367"
"Very low transfer dependency","1992","66 and older","Rural Area","504","0.989694934768363","0.980904301592834","0.998485567943893"
"Low transfer dependency","1992","16-34 y.","Urban Area","167","0.0381474217203536","0.0315980270288634","0.0446968164118437"
"Low transfer dependency","1992","16-34 y.","Rural Area","174","0.0889671725046947","0.0751207689221364","0.102813576087253"
"Low transfer dependency","1992","35-65 y.","Urban Area","153","0.0243784679582747","0.0198904409573393","0.0288664949592101"
"Low transfer dependency","1992","35-65 y.","Rural Area","133","0.0431033415855819","0.0347871681992934","0.0514195149718705"
"Low transfer dependency","1992","66 and older","Urban Area","7","","",""
"Low transfer dependency","1992","66 and older","Rural Area","","","",""
"High transfer dependency","1992","16-34 y.","Urban Area","51","0.0183528662136185","0.0137635924829982","0.0229421399442387"
"High transfer dependency","1992","16-34 y.","Rural Area","25","","",""
"High transfer dependency","1992","35-65 y.","Urban Area","49","0.00842300107801775","0.00576345071837092","0.0110825514376646"
"High transfer dependency","1992","35-65 y.","Rural Area","33","0.0136914464261939","0.00893298435636478","0.0184499084960229"
"High transfer dependency","1992","66 and older","Urban Area","6","","",""
"High transfer dependency","1992","66 and older","Rural Area","2","","",""
"Very high transfer dependency","1992","16-34 y.","Urban Area","56","0.0194526662578287","0.0147305338447974","0.02417479867086"
"Very high transfer dependency","1992","16-34 y.","Rural Area","25","","",""
"Very high transfer dependency","1992","35-65 y.","Urban Area","54","0.0142014735930945","0.0107581934688725","0.0176447537173166"
"Very high transfer dependency","1992","35-65 y.","Rural Area","20","","",""
"Very high transfer dependency","1992","66 and older","Urban Area","2","","",""
"Very high transfer dependency","1992","66 and older","Rural Area","1","","",""
"Very low transfer dependency","1993","16-34 y.","Urban Area","2964","0.919195531095773","0.90986730583759","0.928523756353955"
"Very low transfer dependency","1993","16-34 y.","Rural Area","1309","0.835656282848219","0.817492167407366","0.853820398289071"
"Very low transfer dependency","1993","35-65 y.","Urban Area","4152","0.9402267816007","0.933275559935939","0.94717800326546"
"Very low transfer dependency","1993","35-65 y.","Rural Area","2001","0.915127312144686","0.90361695936211","0.926637664927261"
"Very low transfer dependency","1993","66 and older","Urban Area","963","0.991872775000787","0.986254374244484","0.99749117575709"
"Very low transfer dependency","1993","66 and older","Rural Area","508","0.975170489597802","0.961770404255119","0.988570574940485"
"Low transfer dependency","1993","16-34 y.","Urban Area","187","0.0462697996400359","0.0390796329356332","0.0534599663444385"
"Low transfer dependency","1993","16-34 y.","Rural Area","203","0.101820386178564","0.0869978395279129","0.116642932829216"
"Low transfer dependency","1993","35-65 y.","Urban Area","187","0.0299704501896032","0.0249709035492153","0.0349699968299911"
"Low transfer dependency","1993","35-65 y.","Rural Area","188","0.0601258881994054","0.0503077420147291","0.0699440343840816"
"Low transfer dependency","1993","66 and older","Urban Area","13","","",""
"Low transfer dependency","1993","66 and older","Rural Area","6","","",""
"High transfer dependency","1993","16-34 y.","Urban Area","59","0.0148593392230195","0.0107181387627497","0.0190005396832894"
"High transfer dependency","1993","16-34 y.","Rural Area","45","0.0332482946167874","0.0244607808240946","0.0420358084094801"
"High transfer dependency","1993","35-65 y.","Urban Area","65","0.0134453169901402","0.0100682660406379","0.0168223679396424"
"High transfer dependency","1993","35-65 y.","Rural Area","38","0.0140940460640455","0.00922549773070412","0.018962594397387"
"High transfer dependency","1993","66 and older","Urban Area","3","","",""
"High transfer dependency","1993","66 and older","Rural Area","2","","",""
"Very high transfer dependency","1993","16-34 y.","Urban Area","69","0.0196753300411719","0.0149217220815834","0.0244289380007604"
"Very high transfer dependency","1993","16-34 y.","Rural Area","42","0.0292750363564297","0.021012361183754","0.0375377115291053"
"Very high transfer dependency","1993","35-65 y.","Urban Area","64","0.016357451219557","0.0126380932507438","0.0200768091883702"
"Very high transfer dependency","1993","35-65 y.","Rural Area","25","","",""
"Very high transfer dependency","1993","66 and older","Urban Area","2","","",""
"Very high transfer dependency","1993","66 and older","Rural Area","2","","",""
"Very low transfer dependency","1994","16-34 y.","Urban Area","2884","0.897366571973671","0.886918457152916","0.907814686794426"
"Very low transfer dependency","1994","16-34 y.","Rural Area","1291","0.8498156944158","0.831990274183439","0.867641114648162"
"Very low transfer dependency","1994","35-65 y.","Urban Area","3984","0.931947866450238","0.924464101399651","0.939431631500824"
"Very low transfer dependency","1994","35-65 y.","Rural Area","1981","0.905742574738919","0.893580002805423","0.917905146672415"
"Very low transfer dependency","1994","66 and older","Urban Area","985","0.986726916892677","0.979662078700576","0.993791755084778"
"Very low transfer dependency","1994","66 and older","Rural Area","504","0.983468558171164","0.972423990586082","0.994513125756246"
"Low transfer dependency","1994","16-34 y.","Urban Area","226","0.0566342314879237","0.0486765209450158","0.0645919420308315"
"Low transfer dependency","1994","16-34 y.","Rural Area","164","0.0872592231910545","0.0731778656522352","0.101340580729874"
"Low transfer dependency","1994","35-65 y.","Urban Area","210","0.0319670114543109","0.0267394450339584","0.0371945778746633"
"Low transfer dependency","1994","35-65 y.","Rural Area","156","0.054131760941819","0.0447127208942735","0.0635508009893646"
"Low transfer dependency","1994","66 and older","Urban Area","14","","",""
"Low transfer dependency","1994","66 and older","Rural Area","7","","",""
"High transfer dependency","1994","16-34 y.","Urban Area","49","0.0167742575438812","0.0123528876558875","0.021195627431875"
"High transfer dependency","1994","16-34 y.","Rural Area","47","0.0323542522719467","0.0235257098548018","0.0411827946890917"
"High transfer dependency","1994","35-65 y.","Urban Area","86","0.0161694914653443","0.0124213861423255","0.0199175967883631"
"High transfer dependency","1994","35-65 y.","Rural Area","42","0.018841228231606","0.0131815792687962","0.0245008771944158"
"High transfer dependency","1994","66 and older","Urban Area","5","","",""
"High transfer dependency","1994","66 and older","Rural Area","","","",""
"Very high transfer dependency","1994","16-34 y.","Urban Area","82","0.0292249389945242","0.0234260514387465","0.035023826550302"
"Very high transfer dependency","1994","16-34 y.","Rural Area","41","0.0305708301211987","0.021981154064461","0.0391605061779364"
"Very high transfer dependency","1994","35-65 y.","Urban Area","70","0.0199156306301073","0.0157638707722698","0.0240673904879447"
"Very high transfer dependency","1994","35-65 y.","Rural Area","38","0.0212844360876564","0.0152765102091097","0.027292361966203"
"Very high transfer dependency","1994","66 and older","Urban Area","4","","",""
"Very high transfer dependency","1994","66 and older","Rural Area","1","","",""
"Very low transfer dependency","1995","16-34 y.","Urban Area","2933","0.887082462478945","0.876297266613232","0.897867658344657"
"Very low transfer dependency","1995","16-34 y.","Rural Area","1341","0.842776651603416","0.824990383383417","0.860562919823416"
"Very low transfer dependency","1995","35-65 y.","Urban Area","4086","0.922685208920963","0.914859753101136","0.930510664740789"
"Very low transfer dependency","1995","35-65 y.","Rural Area","2052","0.888961726244296","0.876229308992395","0.901694143496196"
"Very low transfer dependency","1995","66 and older","Urban Area","1028","0.991776403209996","0.986300853380644","0.997251953039349"
"Very low transfer dependency","1995","66 and older","Rural Area","491","0.974109602614998","0.960258776649624","0.987960428580372"
"Low transfer dependency","1995","16-34 y.","Urban Area","193","0.0507920650458746","0.0433096127665107","0.0582745173252386"
"Low transfer dependency","1995","16-34 y.","Rural Area","167","0.0876681745570777","0.0738494658152607","0.101486883298895"
"Low transfer dependency","1995","35-65 y.","Urban Area","208","0.0345843549732112","0.0292307222048248","0.0399379877415976"
"Low transfer dependency","1995","35-65 y.","Rural Area","181","0.0658085727373023","0.0557602828698256","0.075856862604779"
"Low transfer dependency","1995","66 and older","Urban Area","8","","",""
"Low transfer dependency","1995","66 and older","Rural Area","10","","",""
"High transfer dependency","1995","16-34 y.","Urban Area","70","0.0247913306111846","0.0194926952217052","0.030089966000664"
"High transfer dependency","1995","16-34 y.","Rural Area","43","0.0246256364303398","0.0170529588061947","0.0321983140544848"
"High transfer dependency","1995","35-65 y.","Urban Area","73","0.0148888493470737","0.0113405131918561","0.0184371855022914"
"High transfer dependency","1995","35-65 y.","Rural Area","55","0.017315374962871","0.0120290237775371","0.022601726148205"
"High transfer dependency","1995","66 and older","Urban Area","4","","",""
"High transfer dependency","1995","66 and older","Rural Area","3","","",""
"Very high transfer dependency","1995","16-34 y.","Urban Area","112","0.0373341418639963","0.0308737894133619","0.0437944943146307"
"Very high transfer dependency","1995","16-34 y.","Rural Area","58","0.0449295374091663","0.0348078306853363","0.0550512441329962"
"Very high transfer dependency","1995","35-65 y.","Urban Area","108","0.0278415867587525","0.0230213642959237","0.0326618092215814"
"Very high transfer dependency","1995","35-65 y.","Rural Area","51","0.0279143260555307","0.0212385951071824","0.034590057003879"
"Very high transfer dependency","1995","66 and older","Urban Area","5","","",""
"Very high transfer dependency","1995","66 and older","Rural Area","1","","",""
"Very low transfer dependency","1996","16-34 y.","Urban Area","2825","0.897539223211868","0.887015769627152","0.908062676796585"
"Very low transfer dependency","1996","16-34 y.","Rural Area","1312","0.858970545492959","0.84165459714955","0.876286493836367"
"Very low transfer dependency","1996","35-65 y.","Urban Area","3912","0.903861968964317","0.895129068986124","0.912594868942509"
"Very low transfer dependency","1996","35-65 y.","Rural Area","1975","0.860775233590262","0.846727901422191","0.874822565758334"
"Very low transfer dependency","1996","66 and older","Urban Area","1042","0.98044187523937","0.97214081108182","0.988742939396921"
"Very low transfer dependency","1996","66 and older","Rural Area","484","0.972305680268513","0.95796529362501","0.986646066912017"
"Low transfer dependency","1996","16-34 y.","Urban Area","189","0.0478703020642597","0.0404617405849941","0.0552788635435253"
"Low transfer dependency","1996","16-34 y.","Rural Area","160","0.0936921513266229","0.0791946983533373","0.108189604299909"
"Low transfer dependency","1996","35-65 y.","Urban Area","245","0.0448387994803729","0.0387078866381873","0.0509697123225585"
"Low transfer dependency","1996","35-65 y.","Rural Area","209","0.0779261569620432","0.0670490048433532","0.0888033090807331"
"Low transfer dependency","1996","66 and older","Urban Area","18","","",""
"Low transfer dependency","1996","66 and older","Rural Area","15","","",""
"High transfer dependency","1996","16-34 y.","Urban Area","73","0.0226748088128529","0.0175089311985614","0.0278406864271445"
"High transfer dependency","1996","16-34 y.","Rural Area","45","0.025433696729542","0.0176009754589503","0.0332664180001338"
"High transfer dependency","1996","35-65 y.","Urban Area","103","0.0226022279862123","0.0181990005760667","0.0270054553963579"
"High transfer dependency","1996","35-65 y.","Rural Area","80","0.0276692192493581","0.0210134816586533","0.0343249568400628"
"High transfer dependency","1996","66 and older","Urban Area","3","","",""
"High transfer dependency","1996","66 and older","Rural Area","2","","",""
"Very high transfer dependency","1996","16-34 y.","Urban Area","103","0.031915665911019","0.025815926233189","0.038015405588849"
"Very high transfer dependency","1996","16-34 y.","Rural Area","35","0.0219036064508764","0.0146216030869411","0.0291856098148117"
"Very high transfer dependency","1996","35-65 y.","Urban Area","117","0.0286970035690982","0.0237509882421163","0.0336430188960802"
"Very high transfer dependency","1996","35-65 y.","Rural Area","69","0.0336293901983363","0.0263142597622892","0.0409445206343834"
"Very high transfer dependency","1996","66 and older","Urban Area","6","","",""
"Very high transfer dependency","1996","66 and older","Rural Area","2","","",""
"Very low transfer dependency","1997","16-34 y.","Urban Area","2663","0.868178191412597","0.856255996985284","0.88010038583991"
"Very low transfer dependency","1997","16-34 y.","Rural Area","1216","0.808492342471327","0.788559546640144","0.82842513830251"
"Very low transfer dependency","1997","35-65 y.","Urban Area","3777","0.891847506149365","0.882564739496868","0.901130272801861"
"Very low transfer dependency","1997","35-65 y.","Rural Area","1912","0.83409977953816","0.818893915948156","0.849305643128164"
"Very low transfer dependency","1997","66 and older","Urban Area","1060","0.97171810707158","0.961881165306922","0.981555048836238"
"Very low transfer dependency","1997","66 and older","Rural Area","503","0.972108292196817","0.95791452437867","0.986302060014963"
"Low transfer dependency","1997","16-34 y.","Urban Area","245","0.0697419683917361","0.060765470245798","0.0787184665376742"
"Low transfer dependency","1997","16-34 y.","Rural Area","176","0.106401441988677","0.0907814007061729","0.122021483271181"
"Low transfer dependency","1997","35-65 y.","Urban Area","310","0.05577615300114","0.0489169189216814","0.0626353870805986"
"Low transfer dependency","1997","35-65 y.","Rural Area","230","0.0934095125384571","0.0815140937279382","0.105304931348976"
"Low transfer dependency","1997","66 and older","Urban Area","21","","",""
"Low transfer dependency","1997","66 and older","Rural Area","9","","",""
"High transfer dependency","1997","16-34 y.","Urban Area","73","0.0228081071634414","0.0175468118272684","0.0280694024996145"
"High transfer dependency","1997","16-34 y.","Rural Area","56","0.0438792399020659","0.0335034035642269","0.0542550762399048"
"High transfer dependency","1997","35-65 y.","Urban Area","99","0.0200241908670126","0.015837228774431","0.0242111529595943"
