"transab_cat2","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Brandenburg","no degree/no degree yet","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Very low transfer dependency","1984","Saxony","lower secondary degree","","","",""
"Very low transfer dependency","1984","Saxony","secondary school degree","","","",""
"Very low transfer dependency","1984","Saxony","college entrance qualification","","","",""
"Very low transfer dependency","1984","Saxony","Other degree","","","",""
"Very low transfer dependency","1984","Saxony","no degree/no degree yet","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","lower secondary degree","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","secondary school degree","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","college entrance qualification","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","Other degree","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"Very low transfer dependency","1984","Thuringia","lower secondary degree","","","",""
"Very low transfer dependency","1984","Thuringia","secondary school degree","","","",""
"Very low transfer dependency","1984","Thuringia","college entrance qualification","","","",""
"Very low transfer dependency","1984","Thuringia","Other degree","","","",""
"Very low transfer dependency","1984","Thuringia","no degree/no degree yet","","","",""
"Low transfer dependency","1984","Schleswig-Holstein","lower secondary degree","9","","",""
"Low transfer dependency","1984","Schleswig-Holstein","secondary school degree","3","","",""
"Low transfer dependency","1984","Schleswig-Holstein","college entrance qualification","2","","",""
"Low transfer dependency","1984","Schleswig-Holstein","Other degree","1","","",""
"Low transfer dependency","1984","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Low transfer dependency","1984","Hamburg","lower secondary degree","4","","",""
"Low transfer dependency","1984","Hamburg","secondary school degree","","","",""
"Low transfer dependency","1984","Hamburg","college entrance qualification","","","",""
"Low transfer dependency","1984","Hamburg","Other degree","3","","",""
"Low transfer dependency","1984","Hamburg","no degree/no degree yet","","","",""
"Low transfer dependency","1984","Lower Saxony","lower secondary degree","38","0.0520286042312793","0.0353609451885089","0.0686962632740497"
"Low transfer dependency","1984","Lower Saxony","secondary school degree","8","","",""
"Low transfer dependency","1984","Lower Saxony","college entrance qualification","3","","",""
"Low transfer dependency","1984","Lower Saxony","Other degree","13","","",""
"Low transfer dependency","1984","Lower Saxony","no degree/no degree yet","18","","",""
"Low transfer dependency","1984","Bremen","lower secondary degree","7","","",""
"Low transfer dependency","1984","Bremen","secondary school degree","2","","",""
"Low transfer dependency","1984","Bremen","college entrance qualification","2","","",""
"Low transfer dependency","1984","Bremen","Other degree","6","","",""
"Low transfer dependency","1984","Bremen","no degree/no degree yet","1","","",""
"Low transfer dependency","1984","North Rhine-Westphalia","lower secondary degree","58","0.0316559380329398","0.0230064945066444","0.0403053815592352"
"Low transfer dependency","1984","North Rhine-Westphalia","secondary school degree","15","","",""
"Low transfer dependency","1984","North Rhine-Westphalia","college entrance qualification","10","","",""
"Low transfer dependency","1984","North Rhine-Westphalia","Other degree","29","","",""
"Low transfer dependency","1984","North Rhine-Westphalia","no degree/no degree yet","37","0.0893946966126887","0.0613644111902107","0.117424982035167"
"Low transfer dependency","1984","Hesse","lower secondary degree","10","","",""
"Low transfer dependency","1984","Hesse","secondary school degree","1","","",""
"Low transfer dependency","1984","Hesse","college entrance qualification","5","","",""
"Low transfer dependency","1984","Hesse","Other degree","18","","",""
"Low transfer dependency","1984","Hesse","no degree/no degree yet","16","","",""
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","lower secondary degree","12","","",""
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","secondary school degree","2","","",""
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","college entrance qualification","2","","",""
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","Other degree","1","","",""
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","4","","",""
"Low transfer dependency","1984","Baden-Württemberg","lower secondary degree","32","0.0188155297115217","0.0106243933668241","0.0270066660562194"
"Low transfer dependency","1984","Baden-Württemberg","secondary school degree","5","","",""
"Low transfer dependency","1984","Baden-Württemberg","college entrance qualification","4","","",""
"Low transfer dependency","1984","Baden-Württemberg","Other degree","19","","",""
"Low transfer dependency","1984","Baden-Württemberg","no degree/no degree yet","23","","",""
"Low transfer dependency","1984","Bavaria","lower secondary degree","34","0.0274312737218514","0.0177744927342187","0.0370880547094841"
"Low transfer dependency","1984","Bavaria","secondary school degree","9","","",""
"Low transfer dependency","1984","Bavaria","college entrance qualification","5","","",""
"Low transfer dependency","1984","Bavaria","Other degree","11","","",""
"Low transfer dependency","1984","Bavaria","no degree/no degree yet","9","","",""
"Low transfer dependency","1984","Berlin","lower secondary degree","3","","",""
"Low transfer dependency","1984","Berlin","secondary school degree","3","","",""
"Low transfer dependency","1984","Berlin","college entrance qualification","1","","",""
"Low transfer dependency","1984","Berlin","Other degree","","","",""
"Low transfer dependency","1984","Berlin","no degree/no degree yet","","","",""
"Low transfer dependency","1984","Brandenburg","lower secondary degree","","","",""
"Low transfer dependency","1984","Brandenburg","secondary school degree","","","",""
"Low transfer dependency","1984","Brandenburg","college entrance qualification","","","",""
"Low transfer dependency","1984","Brandenburg","Other degree","","","",""
"Low transfer dependency","1984","Brandenburg","no degree/no degree yet","","","",""
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Low transfer dependency","1984","Saxony","lower secondary degree","","","",""
"Low transfer dependency","1984","Saxony","secondary school degree","","","",""
"Low transfer dependency","1984","Saxony","college entrance qualification","","","",""
"Low transfer dependency","1984","Saxony","Other degree","","","",""
"Low transfer dependency","1984","Saxony","no degree/no degree yet","","","",""
"Low transfer dependency","1984","Saxony-Anhalt","lower secondary degree","","","",""
"Low transfer dependency","1984","Saxony-Anhalt","secondary school degree","","","",""
"Low transfer dependency","1984","Saxony-Anhalt","college entrance qualification","","","",""
"Low transfer dependency","1984","Saxony-Anhalt","Other degree","","","",""
"Low transfer dependency","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"Low transfer dependency","1984","Thuringia","lower secondary degree","","","",""
"Low transfer dependency","1984","Thuringia","secondary school degree","","","",""
"Low transfer dependency","1984","Thuringia","college entrance qualification","","","",""
"Low transfer dependency","1984","Thuringia","Other degree","","","",""
"Low transfer dependency","1984","Thuringia","no degree/no degree yet","","","",""
"High transfer dependency","1984","Schleswig-Holstein","lower secondary degree","","","",""
"High transfer dependency","1984","Schleswig-Holstein","secondary school degree","","","",""
"High transfer dependency","1984","Schleswig-Holstein","college entrance qualification","","","",""
"High transfer dependency","1984","Schleswig-Holstein","Other degree","","","",""
"High transfer dependency","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"High transfer dependency","1984","Hamburg","lower secondary degree","","","",""
"High transfer dependency","1984","Hamburg","secondary school degree","1","","",""
"High transfer dependency","1984","Hamburg","college entrance qualification","","","",""
"High transfer dependency","1984","Hamburg","Other degree","2","","",""
"High transfer dependency","1984","Hamburg","no degree/no degree yet","","","",""
"High transfer dependency","1984","Lower Saxony","lower secondary degree","7","","",""
"High transfer dependency","1984","Lower Saxony","secondary school degree","2","","",""
"High transfer dependency","1984","Lower Saxony","college entrance qualification","2","","",""
"High transfer dependency","1984","Lower Saxony","Other degree","2","","",""
"High transfer dependency","1984","Lower Saxony","no degree/no degree yet","1","","",""
"High transfer dependency","1984","Bremen","lower secondary degree","2","","",""
"High transfer dependency","1984","Bremen","secondary school degree","","","",""
"High transfer dependency","1984","Bremen","college entrance qualification","","","",""
"High transfer dependency","1984","Bremen","Other degree","","","",""
"High transfer dependency","1984","Bremen","no degree/no degree yet","1","","",""
"High transfer dependency","1984","North Rhine-Westphalia","lower secondary degree","22","","",""
"High transfer dependency","1984","North Rhine-Westphalia","secondary school degree","4","","",""
"High transfer dependency","1984","North Rhine-Westphalia","college entrance qualification","6","","",""
"High transfer dependency","1984","North Rhine-Westphalia","Other degree","14","","",""
"High transfer dependency","1984","North Rhine-Westphalia","no degree/no degree yet","9","","",""
"High transfer dependency","1984","Hesse","lower secondary degree","6","","",""
"High transfer dependency","1984","Hesse","secondary school degree","2","","",""
"High transfer dependency","1984","Hesse","college entrance qualification","4","","",""
"High transfer dependency","1984","Hesse","Other degree","7","","",""
"High transfer dependency","1984","Hesse","no degree/no degree yet","2","","",""
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","lower secondary degree","4","","",""
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","college entrance qualification","1","","",""
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","Other degree","","","",""
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"High transfer dependency","1984","Baden-Württemberg","lower secondary degree","6","","",""
"High transfer dependency","1984","Baden-Württemberg","secondary school degree","","","",""
"High transfer dependency","1984","Baden-Württemberg","college entrance qualification","","","",""
"High transfer dependency","1984","Baden-Württemberg","Other degree","4","","",""
"High transfer dependency","1984","Baden-Württemberg","no degree/no degree yet","4","","",""
"High transfer dependency","1984","Bavaria","lower secondary degree","7","","",""
"High transfer dependency","1984","Bavaria","secondary school degree","3","","",""
"High transfer dependency","1984","Bavaria","college entrance qualification","2","","",""
"High transfer dependency","1984","Bavaria","Other degree","","","",""
"High transfer dependency","1984","Bavaria","no degree/no degree yet","1","","",""
"High transfer dependency","1984","Berlin","lower secondary degree","","","",""
"High transfer dependency","1984","Berlin","secondary school degree","","","",""
"High transfer dependency","1984","Berlin","college entrance qualification","2","","",""
"High transfer dependency","1984","Berlin","Other degree","1","","",""
"High transfer dependency","1984","Berlin","no degree/no degree yet","","","",""
"High transfer dependency","1984","Brandenburg","lower secondary degree","","","",""
"High transfer dependency","1984","Brandenburg","secondary school degree","","","",""
"High transfer dependency","1984","Brandenburg","college entrance qualification","","","",""
"High transfer dependency","1984","Brandenburg","Other degree","","","",""
"High transfer dependency","1984","Brandenburg","no degree/no degree yet","","","",""
"High transfer dependency","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"High transfer dependency","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"High transfer dependency","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"High transfer dependency","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"High transfer dependency","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"High transfer dependency","1984","Saxony","lower secondary degree","","","",""
"High transfer dependency","1984","Saxony","secondary school degree","","","",""
"High transfer dependency","1984","Saxony","college entrance qualification","","","",""
"High transfer dependency","1984","Saxony","Other degree","","","",""
"High transfer dependency","1984","Saxony","no degree/no degree yet","","","",""
"High transfer dependency","1984","Saxony-Anhalt","lower secondary degree","","","",""
"High transfer dependency","1984","Saxony-Anhalt","secondary school degree","","","",""
"High transfer dependency","1984","Saxony-Anhalt","college entrance qualification","","","",""
"High transfer dependency","1984","Saxony-Anhalt","Other degree","","","",""
"High transfer dependency","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"High transfer dependency","1984","Thuringia","lower secondary degree","","","",""
"High transfer dependency","1984","Thuringia","secondary school degree","","","",""
"High transfer dependency","1984","Thuringia","college entrance qualification","","","",""
"High transfer dependency","1984","Thuringia","Other degree","","","",""
"High transfer dependency","1984","Thuringia","no degree/no degree yet","","","",""
"Very high transfer dependency","1984","Schleswig-Holstein","lower secondary degree","5","","",""
"Very high transfer dependency","1984","Schleswig-Holstein","secondary school degree","1","","",""
"Very high transfer dependency","1984","Schleswig-Holstein","college entrance qualification","3","","",""
"Very high transfer dependency","1984","Schleswig-Holstein","Other degree","","","",""
"Very high transfer dependency","1984","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Very high transfer dependency","1984","Hamburg","lower secondary degree","5","","",""
"Very high transfer dependency","1984","Hamburg","secondary school degree","","","",""
"Very high transfer dependency","1984","Hamburg","college entrance qualification","1","","",""
"Very high transfer dependency","1984","Hamburg","Other degree","1","","",""
"Very high transfer dependency","1984","Hamburg","no degree/no degree yet","2","","",""
"Very high transfer dependency","1984","Lower Saxony","lower secondary degree","21","","",""
"Very high transfer dependency","1984","Lower Saxony","secondary school degree","2","","",""
"Very high transfer dependency","1984","Lower Saxony","college entrance qualification","","","",""
"Very high transfer dependency","1984","Lower Saxony","Other degree","9","","",""
"Very high transfer dependency","1984","Lower Saxony","no degree/no degree yet","6","","",""
"Very high transfer dependency","1984","Bremen","lower secondary degree","1","","",""
"Very high transfer dependency","1984","Bremen","secondary school degree","1","","",""
"Very high transfer dependency","1984","Bremen","college entrance qualification","2","","",""
"Very high transfer dependency","1984","Bremen","Other degree","","","",""
"Very high transfer dependency","1984","Bremen","no degree/no degree yet","","","",""
"Very high transfer dependency","1984","North Rhine-Westphalia","lower secondary degree","41","0.0282577005648027","0.0200713622196115","0.0364440389099938"
"Very high transfer dependency","1984","North Rhine-Westphalia","secondary school degree","9","","",""
"Very high transfer dependency","1984","North Rhine-Westphalia","college entrance qualification","12","","",""
"Very high transfer dependency","1984","North Rhine-Westphalia","Other degree","6","","",""
"Very high transfer dependency","1984","North Rhine-Westphalia","no degree/no degree yet","14","","",""
"Very high transfer dependency","1984","Hesse","lower secondary degree","5","","",""
"Very high transfer dependency","1984","Hesse","secondary school degree","","","",""
"Very high transfer dependency","1984","Hesse","college entrance qualification","5","","",""
"Very high transfer dependency","1984","Hesse","Other degree","3","","",""
"Very high transfer dependency","1984","Hesse","no degree/no degree yet","5","","",""
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","lower secondary degree","6","","",""
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","secondary school degree","1","","",""
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","college entrance qualification","1","","",""
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","2","","",""
"Very high transfer dependency","1984","Baden-Württemberg","lower secondary degree","6","","",""
"Very high transfer dependency","1984","Baden-Württemberg","secondary school degree","2","","",""
"Very high transfer dependency","1984","Baden-Württemberg","college entrance qualification","2","","",""
"Very high transfer dependency","1984","Baden-Württemberg","Other degree","","","",""
"Very high transfer dependency","1984","Baden-Württemberg","no degree/no degree yet","5","","",""
"Very high transfer dependency","1984","Bavaria","lower secondary degree","11","","",""
"Very high transfer dependency","1984","Bavaria","secondary school degree","3","","",""
"Very high transfer dependency","1984","Bavaria","college entrance qualification","5","","",""
"Very high transfer dependency","1984","Bavaria","Other degree","1","","",""
"Very high transfer dependency","1984","Bavaria","no degree/no degree yet","1","","",""
"Very high transfer dependency","1984","Berlin","lower secondary degree","3","","",""
"Very high transfer dependency","1984","Berlin","secondary school degree","","","",""
"Very high transfer dependency","1984","Berlin","college entrance qualification","1","","",""
"Very high transfer dependency","1984","Berlin","Other degree","","","",""
"Very high transfer dependency","1984","Berlin","no degree/no degree yet","2","","",""
"Very high transfer dependency","1984","Brandenburg","lower secondary degree","","","",""
"Very high transfer dependency","1984","Brandenburg","secondary school degree","","","",""
"Very high transfer dependency","1984","Brandenburg","college entrance qualification","","","",""
"Very high transfer dependency","1984","Brandenburg","Other degree","","","",""
"Very high transfer dependency","1984","Brandenburg","no degree/no degree yet","","","",""
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Very high transfer dependency","1984","Saxony","lower secondary degree","","","",""
"Very high transfer dependency","1984","Saxony","secondary school degree","","","",""
"Very high transfer dependency","1984","Saxony","college entrance qualification","","","",""
"Very high transfer dependency","1984","Saxony","Other degree","","","",""
"Very high transfer dependency","1984","Saxony","no degree/no degree yet","","","",""
"Very high transfer dependency","1984","Saxony-Anhalt","lower secondary degree","","","",""
"Very high transfer dependency","1984","Saxony-Anhalt","secondary school degree","","","",""
"Very high transfer dependency","1984","Saxony-Anhalt","college entrance qualification","","","",""
"Very high transfer dependency","1984","Saxony-Anhalt","Other degree","","","",""
"Very high transfer dependency","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"Very high transfer dependency","1984","Thuringia","lower secondary degree","","","",""
"Very high transfer dependency","1984","Thuringia","secondary school degree","","","",""
"Very high transfer dependency","1984","Thuringia","college entrance qualification","","","",""
"Very high transfer dependency","1984","Thuringia","Other degree","","","",""
"Very high transfer dependency","1984","Thuringia","no degree/no degree yet","","","",""
"Very low transfer dependency","1985","Schleswig-Holstein","lower secondary degree","188","0.944131068833247","0.912221357241654","0.97604078042484"
"Very low transfer dependency","1985","Schleswig-Holstein","secondary school degree","80","0.997435446097037","0.986488588222819","1.00838230397125"
"Very low transfer dependency","1985","Schleswig-Holstein","college entrance qualification","31","0.900685251581551","0.801600353288102","0.999770149875001"
"Very low transfer dependency","1985","Schleswig-Holstein","Other degree","17","","",""
"Very low transfer dependency","1985","Schleswig-Holstein","no degree/no degree yet","12","","",""
"Very low transfer dependency","1985","Hamburg","lower secondary degree","110","0.92935284625897","0.88350751454298","0.975198177974961"
"Very low transfer dependency","1985","Hamburg","secondary school degree","53","0.906688729176794","0.833090286224119","0.980287172129468"
"Very low transfer dependency","1985","Hamburg","college entrance qualification","32","0.875548813181173","0.767719573298159","0.983378053064186"
"Very low transfer dependency","1985","Hamburg","Other degree","30","0.868898661574981","0.760147136536829","0.977650186613134"
"Very low transfer dependency","1985","Hamburg","no degree/no degree yet","23","","",""
"Very low transfer dependency","1985","Lower Saxony","lower secondary degree","543","0.906768749872018","0.883523196934245","0.930014302809792"
"Very low transfer dependency","1985","Lower Saxony","secondary school degree","219","0.971545972341464","0.949869059871496","0.993222884811431"
"Very low transfer dependency","1985","Lower Saxony","college entrance qualification","118","0.970658990321269","0.940712974914418","1.00060500572812"
"Very low transfer dependency","1985","Lower Saxony","Other degree","48","0.648459684302876","0.531486270832859","0.765433097772894"
"Very low transfer dependency","1985","Lower Saxony","no degree/no degree yet","61","0.79573881556929","0.705098900608405","0.886378730530174"
"Very low transfer dependency","1985","Bremen","lower secondary degree","55","0.804969617962297","0.712149962658197","0.897789273266397"
"Very low transfer dependency","1985","Bremen","secondary school degree","19","","",""
"Very low transfer dependency","1985","Bremen","college entrance qualification","5","","",""
"Very low transfer dependency","1985","Bremen","Other degree","5","","",""
"Very low transfer dependency","1985","Bremen","no degree/no degree yet","2","","",""
"Very low transfer dependency","1985","North Rhine-Westphalia","lower secondary degree","1317","0.942599401104242","0.93044097884487","0.954757823363613"
"Very low transfer dependency","1985","North Rhine-Westphalia","secondary school degree","447","0.946581471762099","0.926359372161855","0.966803571362344"
"Very low transfer dependency","1985","North Rhine-Westphalia","college entrance qualification","353","0.93960197848906","0.915650098320378","0.963553858657743"
"Very low transfer dependency","1985","North Rhine-Westphalia","Other degree","288","0.921690314555874","0.891974781957435","0.951405847154313"
"Very low transfer dependency","1985","North Rhine-Westphalia","no degree/no degree yet","290","0.852122954950926","0.81427945849922","0.889966451402632"
"Very low transfer dependency","1985","Hesse","lower secondary degree","477","0.968565130924312","0.953224608860943","0.983905652987682"
"Very low transfer dependency","1985","Hesse","secondary school degree","176","0.977155352463591","0.955328763143682","0.9989819417835"
"Very low transfer dependency","1985","Hesse","college entrance qualification","122","0.891463052717162","0.840301420172584","0.94262468526174"
"Very low transfer dependency","1985","Hesse","Other degree","162","0.885722094035486","0.838984326321551","0.93245986174942"
"Very low transfer dependency","1985","Hesse","no degree/no degree yet","113","0.947642317068865","0.907953528939067","0.987331105198663"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","lower secondary degree","463","0.948555796635907","0.928976669528686","0.968134923743128"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","secondary school degree","104","0.970952865089897","0.939132370410125","1.00277335976967"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","college entrance qualification","57","0.973112345091378","0.931483721840178","1.01474096834258"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","Other degree","44","1","1","1"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","66","1","1","1"
"Very low transfer dependency","1985","Baden-Württemberg","lower secondary degree","930","0.976300959019931","0.966653706440326","0.985948211599536"
"Very low transfer dependency","1985","Baden-Württemberg","secondary school degree","280","0.992154568438662","0.98187551886418","1.00243361801314"
"Very low transfer dependency","1985","Baden-Württemberg","college entrance qualification","172","0.96328642665432","0.935581786951629","0.990991066357012"
"Very low transfer dependency","1985","Baden-Württemberg","Other degree","287","0.94355626486174","0.917656850420466","0.969455679303015"
"Very low transfer dependency","1985","Baden-Württemberg","no degree/no degree yet","284","0.963530741632471","0.942388994548829","0.984672488716112"
"Very low transfer dependency","1985","Bavaria","lower secondary degree","954","0.950864546060796","0.937467627891255","0.964261464230337"
"Very low transfer dependency","1985","Bavaria","secondary school degree","356","0.974263648676906","0.958041092533404","0.990486204820407"
"Very low transfer dependency","1985","Bavaria","college entrance qualification","210","0.964787146235592","0.940319837043147","0.989254455428037"
"Very low transfer dependency","1985","Bavaria","Other degree","194","0.967288927349746","0.942636562068111","0.99194129263138"
