"transab_cat2","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Very high transfer dependency","1984","direct migration background","higher education","7","","","","3"
"Very high transfer dependency","1984","indirect migration background","in school","","","","","3"
"Very high transfer dependency","1984","indirect migration background","inadequately","","","","","3"
"Very high transfer dependency","1984","indirect migration background","general elemantary","3","","","","3"
"Very high transfer dependency","1984","indirect migration background","middle vocational","","","","","3"
"Very high transfer dependency","1984","indirect migration background","vocational + Abi","","","","","3"
"Very low transfer dependency","1984","no migration background","in school","141","0.902846694200643","0.856519706487605","0.949173681913681","0"
"Very low transfer dependency","1984","no migration background","inadequately","59","0.77695192773601","0.683969894259491","0.869933961212528","0"
"Very low transfer dependency","1984","no migration background","general elemantary","2176","0.939187959268132","0.929469564575938","0.948906353960326","0"
"Very low transfer dependency","1984","no migration background","middle vocational","4383","0.951393217296683","0.945187602311732","0.957598832281635","0"
"Very low transfer dependency","1984","no migration background","vocational + Abi","170","0.928058771577602","0.890519221636705","0.965598321518498","0"
"Very low transfer dependency","1984","no migration background","higher vocational","576","0.956861771975891","0.94064571775044","0.973077826201342","0"
"Very low transfer dependency","1984","no migration background","higher education","649","0.973410685347373","0.961201496806195","0.985619873888551","0"
"Very low transfer dependency","1984","direct migration background","in school","19","","","","0"
"Very low transfer dependency","1984","direct migration background","inadequately","807","0.840825893753943","0.817237337844409","0.864414449663477","0"
"Very low transfer dependency","1984","direct migration background","general elemantary","953","0.918619416627456","0.90213631990311","0.935102513351803","0"
"Very low transfer dependency","1984","direct migration background","middle vocational","921","0.917273729083675","0.900418074910539","0.93412938325681","0"
"Very low transfer dependency","1984","direct migration background","vocational + Abi","103","0.796420408467289","0.725548266609171","0.867292550325408","0"
"Very low transfer dependency","1984","direct migration background","higher vocational","47","0.869981658971868","0.778569539657379","0.961393778286356","0"
"Very low transfer dependency","1984","direct migration background","higher education","110","0.854348276080494","0.791752725461882","0.916943826699107","0"
"Very low transfer dependency","1984","indirect migration background","in school","8","","","","0"
"Very low transfer dependency","1984","indirect migration background","inadequately","4","","","","0"
"Very low transfer dependency","1984","indirect migration background","general elemantary","44","0.938846572770982","0.873720613623971","1.00397253191799","0"
"Very low transfer dependency","1984","indirect migration background","middle vocational","50","0.912663210582291","0.837361456159497","0.987964965005084","0"
"Very low transfer dependency","1984","indirect migration background","vocational + Abi","1","","","","0"
"Very low transfer dependency","1984","indirect migration background","higher vocational","4","","","","0"
"Very low transfer dependency","1984","indirect migration background","higher education","3","","","","0"
"High transfer dependency","1985","direct migration background","higher vocational","3","","","","2"
"High transfer dependency","1985","no migration background","middle vocational","36","0.00881788577848433","0.00599622206425555","0.0116395494927131","2"
"High transfer dependency","1985","no migration background","general elemantary","23","","","","2"
"High transfer dependency","1985","direct migration background","higher education","1","","","","2"
"High transfer dependency","1985","no migration background","inadequately","1","","","","2"
"High transfer dependency","1985","no migration background","vocational + Abi","1","","","","2"
"High transfer dependency","1985","direct migration background","vocational + Abi","5","","","","2"
"High transfer dependency","1985","no migration background","higher education","3","","","","2"
"High transfer dependency","1985","no migration background","higher vocational","7","","","","2"
"High transfer dependency","1985","no migration background","in school","2","","","","2"
"High transfer dependency","1985","direct migration background","in school","","","","","2"
"High transfer dependency","1985","direct migration background","middle vocational","21","","","","2"
"High transfer dependency","1985","direct migration background","inadequately","10","","","","2"
"High transfer dependency","1985","direct migration background","general elemantary","18","","","","2"
"High transfer dependency","1985","indirect migration background","higher vocational","","","","","2"
"High transfer dependency","1985","indirect migration background","higher education","","","","","2"
"High transfer dependency","1985","indirect migration background","in school","","","","","2"
"High transfer dependency","1985","indirect migration background","inadequately","","","","","2"
"High transfer dependency","1985","indirect migration background","general elemantary","2","","","","2"
"High transfer dependency","1985","indirect migration background","middle vocational","","","","","2"
"High transfer dependency","1985","indirect migration background","vocational + Abi","","","","","2"
"Low transfer dependency","1985","no migration background","general elemantary","62","0.0278077130749692","0.0207602988772601","0.0348551272726782","1"
"Low transfer dependency","1985","indirect migration background","higher vocational","","","","","1"
"Low transfer dependency","1985","no migration background","middle vocational","92","0.0202596841464962","0.0160074407499625","0.0245119275430298","1"
"Low transfer dependency","1985","no migration background","vocational + Abi","7","","","","1"
"Low transfer dependency","1985","no migration background","higher vocational","15","","","","1"
"Low transfer dependency","1985","no migration background","higher education","4","","","","1"
"Low transfer dependency","1985","indirect migration background","higher education","","","","","1"
"Low transfer dependency","1985","no migration background","inadequately","9","","","","1"
"Low transfer dependency","1985","direct migration background","middle vocational","38","0.0262224708100361","0.0158172650713463","0.0366276765487259","1"
"Low transfer dependency","1985","direct migration background","vocational + Abi","8","","","","1"
"Low transfer dependency","1985","direct migration background","higher vocational","","","","","1"
"Low transfer dependency","1985","direct migration background","higher education","6","","","","1"
"Low transfer dependency","1985","indirect migration background","in school","","","","","1"
"Low transfer dependency","1985","indirect migration background","inadequately","","","","","1"
"Low transfer dependency","1985","indirect migration background","general elemantary","3","","","","1"
"Low transfer dependency","1985","indirect migration background","middle vocational","4","","","","1"
"Low transfer dependency","1985","indirect migration background","vocational + Abi","","","","","1"
"Low transfer dependency","1985","no migration background","in school","6","","","","1"
"Low transfer dependency","1985","direct migration background","in school","2","","","","1"
"Low transfer dependency","1985","direct migration background","inadequately","43","0.0704434510355432","0.052117547270479","0.0887693548006074","1"
"Low transfer dependency","1985","direct migration background","general elemantary","48","0.0368757108384606","0.024691379419371","0.0490600422575502","1"
"Very high transfer dependency","1985","indirect migration background","higher education","","","","","3"
"Very high transfer dependency","1985","indirect migration background","higher vocational","","","","","3"
"Very high transfer dependency","1985","direct migration background","higher education","2","","","","3"
"Very high transfer dependency","1985","direct migration background","higher vocational","1","","","","3"
"Very high transfer dependency","1985","no migration background","general elemantary","52","0.0230999090787748","0.0166611632004742","0.0295386549570753","3"
"Very high transfer dependency","1985","direct migration background","vocational + Abi","1","","","","3"
"Very high transfer dependency","1985","no migration background","inadequately","8","","","","3"
"Very high transfer dependency","1985","direct migration background","middle vocational","17","","","","3"
"Very high transfer dependency","1985","indirect migration background","in school","","","","","3"
"Very high transfer dependency","1985","indirect migration background","inadequately","","","","","3"
"Very high transfer dependency","1985","indirect migration background","general elemantary","","","","","3"
"Very high transfer dependency","1985","indirect migration background","vocational + Abi","","","","","3"
"Very high transfer dependency","1985","indirect migration background","middle vocational","1","","","","3"
"Very high transfer dependency","1985","no migration background","in school","4","","","","3"
"Very high transfer dependency","1985","no migration background","middle vocational","58","0.0145255441270422","0.01091448016288","0.0181366080912044","3"
"Very high transfer dependency","1985","no migration background","vocational + Abi","5","","","","3"
"Very high transfer dependency","1985","no migration background","higher vocational","4","","","","3"
"Very high transfer dependency","1985","no migration background","higher education","","","","","3"
"Very high transfer dependency","1985","direct migration background","in school","","","","","3"
"Very high transfer dependency","1985","direct migration background","inadequately","18","","","","3"
"Very high transfer dependency","1985","direct migration background","general elemantary","16","","","","3"
"Very low transfer dependency","1985","no migration background","in school","143","0.928050673749689","0.887370626109738","0.968730721389639","0"
"Very low transfer dependency","1985","no migration background","inadequately","63","0.774612919175662","0.683618981542665","0.86560685680866","0"
"Very low transfer dependency","1985","no migration background","general elemantary","1954","0.936494729055685","0.926042025591992","0.946947432519377","0"
"Very low transfer dependency","1985","no migration background","middle vocational","4031","0.956396885947977","0.950233432493034","0.962560339402921","0"
"Very low transfer dependency","1985","no migration background","vocational + Abi","163","0.936983875129816","0.901084766755122","0.972882983504509","0"
"Very low transfer dependency","1985","no migration background","higher vocational","543","0.953411339850876","0.936094357085548","0.970728322616204","0"
"Very low transfer dependency","1985","no migration background","higher education","636","0.991153401193949","0.983915690681734","0.998391111706164","0"
"Very low transfer dependency","1985","direct migration background","in school","20","","","","0"
"Very low transfer dependency","1985","direct migration background","inadequately","678","0.892299882717272","0.8700989772162","0.914500788218343","0"
"Very low transfer dependency","1985","direct migration background","general elemantary","837","0.914533072524407","0.896457623743995","0.93260852130482","0"
"Very low transfer dependency","1985","direct migration background","middle vocational","830","0.93093919629527","0.914428687214101","0.94744970537644","0"
"Very low transfer dependency","1985","direct migration background","vocational + Abi","89","0.826272757458851","0.753104087779953","0.89944142713775","0"
"Very low transfer dependency","1985","direct migration background","higher vocational","44","0.897973815934085","0.812345947955923","0.983601683912247","0"
"Very low transfer dependency","1985","direct migration background","higher education","102","0.884175005033063","0.824642129056725","0.943707881009402","0"
"Very low transfer dependency","1985","indirect migration background","in school","10","","","","0"
"Very low transfer dependency","1985","indirect migration background","inadequately","5","","","","0"
"Very low transfer dependency","1985","indirect migration background","general elemantary","55","0.895808608728157","0.818505670706095","0.97311154675022","0"
"Very low transfer dependency","1985","indirect migration background","middle vocational","52","0.924718118034985","0.856222848289238","0.993213387780732","0"
"Very low transfer dependency","1985","indirect migration background","vocational + Abi","","","","","0"
"Very low transfer dependency","1985","indirect migration background","higher vocational","4","","","","0"
"Very low transfer dependency","1985","indirect migration background","higher education","4","","","","0"
"High transfer dependency","1986","no migration background","general elemantary","27","","","","2"
"High transfer dependency","1986","no migration background","higher vocational","4","","","","2"
"High transfer dependency","1986","no migration background","middle vocational","32","0.00895933551686554","0.00606193643840184","0.0118567345953292","2"
"High transfer dependency","1986","direct migration background","higher vocational","","","","","2"
"High transfer dependency","1986","direct migration background","higher education","","","","","2"
"High transfer dependency","1986","no migration background","inadequately","1","","","","2"
"High transfer dependency","1986","no migration background","vocational + Abi","2","","","","2"
"High transfer dependency","1986","no migration background","higher education","3","","","","2"
"High transfer dependency","1986","direct migration background","vocational + Abi","5","","","","2"
"High transfer dependency","1986","no migration background","in school","1","","","","2"
"High transfer dependency","1986","direct migration background","in school","1","","","","2"
"High transfer dependency","1986","direct migration background","middle vocational","15","","","","2"
"High transfer dependency","1986","direct migration background","inadequately","15","","","","2"
"High transfer dependency","1986","direct migration background","general elemantary","14","","","","2"
"High transfer dependency","1986","indirect migration background","higher vocational","","","","","2"
"High transfer dependency","1986","indirect migration background","higher education","","","","","2"
"High transfer dependency","1986","indirect migration background","in school","","","","","2"
"High transfer dependency","1986","indirect migration background","inadequately","","","","","2"
"High transfer dependency","1986","indirect migration background","general elemantary","1","","","","2"
"High transfer dependency","1986","indirect migration background","middle vocational","","","","","2"
"High transfer dependency","1986","indirect migration background","vocational + Abi","","","","","2"
"Low transfer dependency","1986","no migration background","general elemantary","45","0.0234539670687791","0.016693335956981","0.0302145981805772","1"
"Low transfer dependency","1986","no migration background","middle vocational","106","0.0252798734865955","0.0204531536105763","0.0301065933626148","1"
"Low transfer dependency","1986","no migration background","higher vocational","10","","","","1"
"Low transfer dependency","1986","no migration background","higher education","7","","","","1"
"Low transfer dependency","1986","no migration background","inadequately","6","","","","1"
"Low transfer dependency","1986","no migration background","vocational + Abi","7","","","","1"
"Low transfer dependency","1986","indirect migration background","higher vocational","","","","","1"
"Low transfer dependency","1986","indirect migration background","higher education","","","","","1"
"Low transfer dependency","1986","no migration background","in school","1","","","","1"
"Low transfer dependency","1986","direct migration background","in school","1","","","","1"
"Low transfer dependency","1986","direct migration background","inadequately","49","0.0634258927690111","0.045279686563654","0.0815720989743683","1"
"Low transfer dependency","1986","direct migration background","general elemantary","41","0.0492029034555682","0.0351960803729781","0.0632097265381583","1"
"Low transfer dependency","1986","direct migration background","middle vocational","28","","","","1"
"Low transfer dependency","1986","direct migration background","vocational + Abi","8","","","","1"
"Low transfer dependency","1986","direct migration background","higher vocational","2","","","","1"
"Low transfer dependency","1986","direct migration background","higher education","3","","","","1"
"Low transfer dependency","1986","indirect migration background","in school","1","","","","1"
"Low transfer dependency","1986","indirect migration background","inadequately","1","","","","1"
"Low transfer dependency","1986","indirect migration background","general elemantary","2","","","","1"
"Low transfer dependency","1986","indirect migration background","middle vocational","1","","","","1"
"Low transfer dependency","1986","indirect migration background","vocational + Abi","","","","","1"
"Very high transfer dependency","1986","direct migration background","higher vocational","3","","","","3"
"Very high transfer dependency","1986","direct migration background","vocational + Abi","3","","","","3"
"Very high transfer dependency","1986","no migration background","general elemantary","39","0.0195973341708854","0.0134052982805505","0.0257893700612204","3"
"Very high transfer dependency","1986","indirect migration background","higher education","","","","","3"
"Very high transfer dependency","1986","direct migration background","middle vocational","16","","","","3"
"Very high transfer dependency","1986","direct migration background","higher education","4","","","","3"
"Very high transfer dependency","1986","indirect migration background","higher vocational","","","","","3"
"Very high transfer dependency","1986","no migration background","inadequately","8","","","","3"
"Very high transfer dependency","1986","no migration background","middle vocational","44","0.0123403932965633","0.00894576031343748","0.015735026279689","3"
"Very high transfer dependency","1986","no migration background","in school","3","","","","3"
"Very high transfer dependency","1986","no migration background","vocational + Abi","3","","","","3"
"Very high transfer dependency","1986","no migration background","higher vocational","5","","","","3"
"Very high transfer dependency","1986","no migration background","higher education","4","","","","3"
"Very high transfer dependency","1986","direct migration background","in school","","","","","3"
"Very high transfer dependency","1986","direct migration background","inadequately","16","","","","3"
"Very high transfer dependency","1986","direct migration background","general elemantary","18","","","","3"
"Very high transfer dependency","1986","indirect migration background","in school","","","","","3"
"Very high transfer dependency","1986","indirect migration background","inadequately","","","","","3"
"Very high transfer dependency","1986","indirect migration background","general elemantary","","","","","3"
"Very high transfer dependency","1986","indirect migration background","middle vocational","1","","","","3"
"Very high transfer dependency","1986","indirect migration background","vocational + Abi","","","","","3"
"Very low transfer dependency","1986","no migration background","general elemantary","1814","0.942176447568674","0.931749643071986","0.952603252065362","0"
"Very low transfer dependency","1986","no migration background","middle vocational","3881","0.953420397699976","0.946940550164102","0.95990024523585","0"
"Very low transfer dependency","1986","no migration background","vocational + Abi","160","0.923123262448285","0.883311519845948","0.962935005050622","0"
"Very low transfer dependency","1986","no migration background","higher vocational","506","0.953858881316909","0.93591342264488","0.971804339988938","0"
"Very low transfer dependency","1986","no migration background","higher education","622","0.972992322189946","0.96039385057407","0.985590793805822","0"
"Very low transfer dependency","1986","direct migration background","in school","29","","","","0"
"Very low transfer dependency","1986","direct migration background","inadequately","613","0.887213913654762","0.863662151370733","0.910765675938792","0"
"Very low transfer dependency","1986","no migration background","in school","140","0.954322227931356","0.920339043993886","0.988305411868826","0"
"Very low transfer dependency","1986","no migration background","inadequately","69","0.802100520201905","0.716899425797394","0.887301614606417","0"
"Very low transfer dependency","1986","direct migration background","general elemantary","843","0.912922115937011","0.894663361324495","0.931180870549528","0"
"Very low transfer dependency","1986","direct migration background","middle vocational","815","0.938411103268782","0.922472870844099","0.954349335693465","0"
"Very low transfer dependency","1986","direct migration background","vocational + Abi","88","0.838130445015804","0.767340786705317","0.908920103326292","0"
"Very low transfer dependency","1986","direct migration background","higher vocational","45","0.874702688832562","0.78294040895605","0.966464968709073","0"
"Very low transfer dependency","1986","direct migration background","higher education","100","0.907608522919156","0.852740231062719","0.962476814775593","0"
"Very low transfer dependency","1986","indirect migration background","in school","10","","","","0"
"Very low transfer dependency","1986","indirect migration background","inadequately","6","","","","0"
"Very low transfer dependency","1986","indirect migration background","general elemantary","57","0.919913930352047","0.85123483692076","0.988593023783335","0"
"Very low transfer dependency","1986","indirect migration background","middle vocational","59","0.941054748980337","0.881950999954896","1.00015849800578","0"
"Very low transfer dependency","1986","indirect migration background","vocational + Abi","1","","","","0"
"Very low transfer dependency","1986","indirect migration background","higher vocational","6","","","","0"
"Very low transfer dependency","1986","indirect migration background","higher education","4","","","","0"
"High transfer dependency","1987","no migration background","general elemantary","16","","","","2"
"High transfer dependency","1987","no migration background","inadequately","3","","","","2"
"High transfer dependency","1987","no migration background","middle vocational","32","0.00796072037882604","0.00521838375930669","0.0107030569983454","2"
"High transfer dependency","1987","no migration background","vocational + Abi","2","","","","2"
"High transfer dependency","1987","direct migration background","higher vocational","1","","","","2"
"High transfer dependency","1987","direct migration background","higher education","","","","","2"
"High transfer dependency","1987","no migration background","higher vocational","3","","","","2"
"High transfer dependency","1987","direct migration background","vocational + Abi","4","","","","2"
"High transfer dependency","1987","no migration background","in school","1","","","","2"
"High transfer dependency","1987","direct migration background","middle vocational","12","","","","2"
"High transfer dependency","1987","no migration background","higher education","2","","","","2"
"High transfer dependency","1987","direct migration background","in school","2","","","","2"
"High transfer dependency","1987","direct migration background","inadequately","19","","","","2"
"High transfer dependency","1987","direct migration background","general elemantary","13","","","","2"
"High transfer dependency","1987","indirect migration background","general elemantary","","","","","2"
"High transfer dependency","1987","indirect migration background","in school","","","","","2"
"High transfer dependency","1987","indirect migration background","inadequately","","","","","2"
"High transfer dependency","1987","indirect migration background","middle vocational","","","","","2"
"High transfer dependency","1987","indirect migration background","vocational + Abi","","","","","2"
"High transfer dependency","1987","indirect migration background","higher vocational","","","","","2"
"High transfer dependency","1987","indirect migration background","higher education","","","","","2"
"Low transfer dependency","1987","no migration background","higher vocational","10","","","","1"
"Low transfer dependency","1987","no migration background","general elemantary","61","0.033436025272494","0.0252308047569416","0.0416412457880464","1"
"Low transfer dependency","1987","no migration background","middle vocational","110","0.0261163426693922","0.0211949291013405","0.0310377562374439","1"
"Low transfer dependency","1987","no migration background","higher education","15","","","","1"
"Low transfer dependency","1987","no migration background","inadequately","4","","","","1"
"Low transfer dependency","1987","no migration background","vocational + Abi","5","","","","1"
"Low transfer dependency","1987","no migration background","in school","5","","","","1"
"Low transfer dependency","1987","direct migration background","in school","3","","","","1"
"Low transfer dependency","1987","direct migration background","inadequately","29","","","","1"
"Low transfer dependency","1987","direct migration background","general elemantary","52","0.0534152838625813","0.0390559215414832","0.0677746461836794","1"
"Low transfer dependency","1987","direct migration background","middle vocational","19","","","","1"
"Low transfer dependency","1987","direct migration background","vocational + Abi","4","","","","1"
"Low transfer dependency","1987","direct migration background","higher vocational","3","","","","1"
"Low transfer dependency","1987","direct migration background","higher education","1","","","","1"
"Low transfer dependency","1987","indirect migration background","in school","","","","","1"
"Low transfer dependency","1987","indirect migration background","inadequately","","","","","1"
"Low transfer dependency","1987","indirect migration background","general elemantary","5","","","","1"
"Low transfer dependency","1987","indirect migration background","middle vocational","5","","","","1"
"Low transfer dependency","1987","indirect migration background","vocational + Abi","","","","","1"
"Low transfer dependency","1987","indirect migration background","higher vocational","","","","","1"
"Low transfer dependency","1987","indirect migration background","higher education","","","","","1"
"Very high transfer dependency","1987","direct migration background","vocational + Abi","2","","","","3"
"Very high transfer dependency","1987","direct migration background","middle vocational","14","","","","3"
"Very high transfer dependency","1987","direct migration background","higher vocational","1","","","","3"
"Very high transfer dependency","1987","indirect migration background","higher education","","","","","3"
"Very high transfer dependency","1987","no migration background","general elemantary","31","0.0166742438969822","0.0108298508571553","0.0225186369368091","3"
"Very high transfer dependency","1987","no migration background","inadequately","7","","","","3"
"Very high transfer dependency","1987","no migration background","middle vocational","41","0.0116616638944789","0.00834872653125764","0.0149746012577002","3"
"Very high transfer dependency","1987","no migration background","in school","1","","","","3"
"Very high transfer dependency","1987","no migration background","vocational + Abi","2","","","","3"
"Very high transfer dependency","1987","no migration background","higher vocational","4","","","","3"
"Very high transfer dependency","1987","no migration background","higher education","5","","","","3"
"Very high transfer dependency","1987","direct migration background","in school","","","","","3"
"Very high transfer dependency","1987","direct migration background","inadequately","13","","","","3"
"Very high transfer dependency","1987","direct migration background","general elemantary","17","","","","3"
"Very high transfer dependency","1987","direct migration background","higher education","2","","","","3"
"Very high transfer dependency","1987","indirect migration background","higher vocational","","","","","3"
"Very high transfer dependency","1987","indirect migration background","in school","","","","","3"
"Very high transfer dependency","1987","indirect migration background","inadequately","","","","","3"
"Very high transfer dependency","1987","indirect migration background","general elemantary","1","","","","3"
"Very high transfer dependency","1987","indirect migration background","middle vocational","1","","","","3"
"Very high transfer dependency","1987","indirect migration background","vocational + Abi","","","","","3"
"Very low transfer dependency","1987","no migration background","general elemantary","1736","0.941610506480544","0.930908366315843","0.952312646645244","0"
"Very low transfer dependency","1987","no migration background","middle vocational","3851","0.954261273057303","0.947814300375366","0.960708245739239","0"
"Very low transfer dependency","1987","no migration background","vocational + Abi","164","0.938015919454479","0.902084843223987","0.973946995684972","0"
"Very low transfer dependency","1987","no migration background","higher vocational","489","0.963360985972509","0.946991341438892","0.979730630506126","0"
"Very low transfer dependency","1987","no migration background","higher education","617","0.962344803171247","0.947585172997906","0.977104433344589","0"
"Very low transfer dependency","1987","direct migration background","in school","27","","","","0"
"Very low transfer dependency","1987","direct migration background","inadequately","615","0.90812630421717","0.88635204121749","0.92990056721685","0"
"Very low transfer dependency","1987","direct migration background","vocational + Abi","93","0.897595703014294","0.839045426382475","0.956145979646114","0"
"Very low transfer dependency","1987","direct migration background","higher vocational","50","0.915151328690324","0.841507607267534","0.988795050113114","0"
"Very low transfer dependency","1987","direct migration background","higher education","97","0.924519756860113","0.872744431769333","0.976295081950892","0"
"Very low transfer dependency","1987","indirect migration background","in school","9","","","","0"
"Very low transfer dependency","1987","indirect migration background","inadequately","9","","","","0"
"Very low transfer dependency","1987","indirect migration background","general elemantary","56","0.792756177474641","0.691862753495463","0.893649601453819","0"
"Very low transfer dependency","1987","indirect migration background","middle vocational","71","0.983620026780551","0.955268725091933","1.01197132846917","0"
"Very low transfer dependency","1987","no migration background","in school","140","0.950074530683509","0.914867504797265","0.985281556569752","0"
"Very low transfer dependency","1987","no migration background","inadequately","60","0.795964573214328","0.704145714385019","0.887783432043636","0"
"Very low transfer dependency","1987","direct migration background","general elemantary","860","0.907382831725","0.888870391560309","0.925895271889692","0"
"Very low transfer dependency","1987","direct migration background","middle vocational","817","0.953956604450698","0.939965807953774","0.967947400947622","0"
"Very low transfer dependency","1987","indirect migration background","vocational + Abi","1","","","","0"
"Very low transfer dependency","1987","indirect migration background","higher vocational","7","","","","0"
"Very low transfer dependency","1987","indirect migration background","higher education","4","","","","0"
"High transfer dependency","1988","direct migration background","higher vocational","2","","","","2"
"High transfer dependency","1988","no migration background","general elemantary","21","","","","2"
"High transfer dependency","1988","direct migration background","vocational + Abi","2","","","","2"
"High transfer dependency","1988","direct migration background","higher education","","","","","2"
"High transfer dependency","1988","no migration background","inadequately","","","","","2"
"High transfer dependency","1988","no migration background","middle vocational","25","","","","2"
"High transfer dependency","1988","no migration background","vocational + Abi","","","","","2"
"High transfer dependency","1988","no migration background","higher vocational","5","","","","2"
"High transfer dependency","1988","direct migration background","middle vocational","7","","","","2"
"High transfer dependency","1988","no migration background","in school","","","","","2"
"High transfer dependency","1988","no migration background","higher education","2","","","","2"
"High transfer dependency","1988","direct migration background","in school","","","","","2"
"High transfer dependency","1988","direct migration background","inadequately","7","","","","2"
"High transfer dependency","1988","direct migration background","general elemantary","10","","","","2"
"High transfer dependency","1988","indirect migration background","in school","1","","","","2"
"High transfer dependency","1988","indirect migration background","inadequately","","","","","2"
"High transfer dependency","1988","indirect migration background","general elemantary","3","","","","2"
"High transfer dependency","1988","indirect migration background","middle vocational","","","","","2"
"High transfer dependency","1988","indirect migration background","vocational + Abi","","","","","2"
"High transfer dependency","1988","indirect migration background","higher vocational","","","","","2"
"High transfer dependency","1988","indirect migration background","higher education","","","","","2"
"Low transfer dependency","1988","no migration background","vocational + Abi","3","","","","1"
"Low transfer dependency","1988","no migration background","higher vocational","8","","","","1"
"Low transfer dependency","1988","no migration background","general elemantary","46","0.0273814466835809","0.0197069897781439","0.0350559035890178","1"
"Low transfer dependency","1988","no migration background","middle vocational","80","0.021304360143601","0.016728911526952","0.02587980876025","1"
"Low transfer dependency","1988","no migration background","higher education","9","","","","1"
"Low transfer dependency","1988","no migration background","inadequately","6","","","","1"
"Low transfer dependency","1988","no migration background","in school","3","","","","1"
"Low transfer dependency","1988","direct migration background","vocational + Abi","5","","","","1"
"Low transfer dependency","1988","direct migration background","higher vocational","3","","","","1"
"Low transfer dependency","1988","direct migration background","higher education","1","","","","1"
"Low transfer dependency","1988","indirect migration background","in school","1","","","","1"
