"transab_cat2","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Very high transfer dependency","1987","in school","Rural Area","","","","","3"
"Very high transfer dependency","1987","higher vocational","Rural Area","1","","","","3"
"Very high transfer dependency","1987","higher education","Urban Area","6","","","","3"
"Very high transfer dependency","1987","inadequately","Rural Area","3","","","","3"
"Very high transfer dependency","1987","general elemantary","Urban Area","34","0.0159183020851607","0.0106799736606009","0.0211566305097206","3"
"Very high transfer dependency","1987","in school","Urban Area","1","","","","3"
"Very high transfer dependency","1987","higher vocational","Urban Area","4","","","","3"
"Very high transfer dependency","1987","middle vocational","Urban Area","46","0.0129541184529866","0.00940344102528429","0.0165047958806889","3"
"Very high transfer dependency","1987","general elemantary","Rural Area","15","","","","3"
"Very high transfer dependency","1987","middle vocational","Rural Area","10","","","","3"
"Very high transfer dependency","1987","vocational + Abi","Urban Area","2","","","","3"
"Very high transfer dependency","1987","vocational + Abi","Rural Area","2","","","","3"
"Very low transfer dependency","1987","in school","Urban Area","157","0.951229560959077","0.918265009657211","0.984194112260942","0"
"Very low transfer dependency","1987","in school","Rural Area","19","","","","0"
"Very low transfer dependency","1987","inadequately","Urban Area","597","0.89743210846897","0.874285751903662","0.920578465034278","0"
"Very low transfer dependency","1987","inadequately","Rural Area","87","0.750560588348273","0.665327954633935","0.835793222062612","0"
"Very low transfer dependency","1987","general elemantary","Urban Area","2049","0.940287066233622","0.930369771713977","0.950204360753268","0"
"Very low transfer dependency","1987","general elemantary","Rural Area","603","0.926168134318542","0.906142131185573","0.94619413745151","0"
"Very low transfer dependency","1987","middle vocational","Urban Area","3715","0.956274104150415","0.949853155858412","0.962695052442418","0"
"Very low transfer dependency","1987","middle vocational","Rural Area","1024","0.948328025414954","0.935107550363384","0.961548500466524","0"
"Very low transfer dependency","1987","vocational + Abi","Urban Area","222","0.939331941300628","0.908875322762166","0.969788559839091","0"
"Very low transfer dependency","1987","vocational + Abi","Rural Area","36","0.898746066580867","0.806408034273896","0.991084098887838","0"
"Very low transfer dependency","1987","higher vocational","Urban Area","432","0.957305843235789","0.93866830923714","0.975943377234439","0"
"Very low transfer dependency","1987","higher vocational","Rural Area","114","0.970955870073093","0.940396244579384","1.0015154955668","0"
"Very low transfer dependency","1987","higher education","Urban Area","601","0.956797834313686","0.940832907992759","0.972762760634612","0"
"Very low transfer dependency","1987","higher education","Rural Area","117","0.97137651714641","0.941542446998585","1.00121058729424","0"
"High transfer dependency","1988","higher vocational","Rural Area","1","","","","2"
"High transfer dependency","1988","higher education","Urban Area","2","","","","2"
"High transfer dependency","1988","vocational + Abi","Urban Area","2","","","","2"
"High transfer dependency","1988","vocational + Abi","Rural Area","","","","","2"
"High transfer dependency","1988","higher vocational","Urban Area","6","","","","2"
"High transfer dependency","1988","in school","Urban Area","","","","","2"
"High transfer dependency","1988","in school","Rural Area","1","","","","2"
"High transfer dependency","1988","inadequately","Urban Area","5","","","","2"
"High transfer dependency","1988","inadequately","Rural Area","2","","","","2"
"High transfer dependency","1988","general elemantary","Urban Area","25","","","","2"
"High transfer dependency","1988","general elemantary","Rural Area","9","","","","2"
"High transfer dependency","1988","middle vocational","Urban Area","24","","","","2"
"High transfer dependency","1988","middle vocational","Rural Area","8","","","","2"
"High transfer dependency","1988","higher education","Rural Area","","","","","2"
"Low transfer dependency","1988","inadequately","Rural Area","8","","","","1"
"Low transfer dependency","1988","inadequately","Urban Area","43","0.0788592254330593","0.0573115655426713","0.100406885323447","1"
"Low transfer dependency","1988","higher education","Rural Area","3","","","","1"
"Low transfer dependency","1988","general elemantary","Urban Area","74","0.0307310010909977","0.0233998735417583","0.038062128640237","1"
"Low transfer dependency","1988","higher vocational","Rural Area","3","","","","1"
"Low transfer dependency","1988","higher education","Urban Area","7","","","","1"
"Low transfer dependency","1988","in school","Rural Area","3","","","","1"
"Low transfer dependency","1988","higher vocational","Urban Area","8","","","","1"
"Low transfer dependency","1988","general elemantary","Rural Area","22","","","","1"
"Low transfer dependency","1988","in school","Urban Area","5","","","","1"
"Low transfer dependency","1988","middle vocational","Rural Area","26","","","","1"
"Low transfer dependency","1988","vocational + Abi","Urban Area","6","","","","1"
"Low transfer dependency","1988","vocational + Abi","Rural Area","2","","","","1"
"Low transfer dependency","1988","middle vocational","Urban Area","88","0.0203060513946066","0.0157705361058407","0.0248415666833726","1"
"Very high transfer dependency","1988","inadequately","Urban Area","21","","","","3"
"Very high transfer dependency","1988","general elemantary","Urban Area","51","0.0265899301734049","0.0197560591811862","0.0334238011656235","3"
"Very high transfer dependency","1988","higher education","Urban Area","1","","","","3"
"Very high transfer dependency","1988","higher education","Rural Area","","","","","3"
"Very high transfer dependency","1988","inadequately","Rural Area","5","","","","3"
"Very high transfer dependency","1988","higher vocational","Rural Area","","","","","3"
"Very high transfer dependency","1988","in school","Rural Area","","","","","3"
"Very high transfer dependency","1988","general elemantary","Rural Area","15","","","","3"
"Very high transfer dependency","1988","in school","Urban Area","3","","","","3"
"Very high transfer dependency","1988","higher vocational","Urban Area","1","","","","3"
"Very high transfer dependency","1988","middle vocational","Urban Area","39","0.0116647386071533","0.00821204267839168","0.0151174345359149","3"
"Very high transfer dependency","1988","middle vocational","Rural Area","11","","","","3"
"Very high transfer dependency","1988","vocational + Abi","Urban Area","","","","","3"
"Very high transfer dependency","1988","vocational + Abi","Rural Area","3","","","","3"
"Very low transfer dependency","1988","in school","Urban Area","127","0.937549480430303","0.896731986816436","0.978366974044171","0"
"Very low transfer dependency","1988","in school","Rural Area","24","","","","0"
"Very low transfer dependency","1988","inadequately","Urban Area","532","0.862962246035283","0.835468946160151","0.890455545910415","0"
"Very low transfer dependency","1988","inadequately","Rural Area","79","0.733120506979456","0.643701580812726","0.822539433146186","0"
"Very low transfer dependency","1988","general elemantary","Urban Area","1979","0.932538831316928","0.921884636026351","0.943193026607505","0"
"Very low transfer dependency","1988","general elemantary","Rural Area","553","0.933285673843204","0.913303095173981","0.953268252512426","0"
"Very low transfer dependency","1988","middle vocational","Urban Area","3564","0.961105336349088","0.954888074103956","0.967322598594219","0"
"Very low transfer dependency","1988","middle vocational","Rural Area","977","0.952317785021042","0.939253314857271","0.965382255184812","0"
"Very low transfer dependency","1988","vocational + Abi","Urban Area","225","0.976436431874361","0.956959854290264","0.995913009458459","0"
"Very low transfer dependency","1988","vocational + Abi","Rural Area","31","0.904203576367693","0.808063469887663","1.00034368284772","0"
"Very low transfer dependency","1988","higher vocational","Urban Area","414","0.966462918007706","0.949426641553536","0.983499194461875","0"
"Very low transfer dependency","1988","higher vocational","Rural Area","107","0.954144550637523","0.915232047777703","0.993057053497344","0"
"Very low transfer dependency","1988","higher education","Urban Area","580","0.983526661710647","0.973255821743776","0.993797501677517","0"
"Very low transfer dependency","1988","higher education","Rural Area","108","0.972911465376986","0.942710834281275","1.0031120964727","0"
"High transfer dependency","1989","in school","Urban Area","3","","","","2"
"High transfer dependency","1989","in school","Rural Area","","","","","2"
"High transfer dependency","1989","inadequately","Urban Area","10","","","","2"
"High transfer dependency","1989","inadequately","Rural Area","1","","","","2"
"High transfer dependency","1989","general elemantary","Urban Area","28","","","","2"
"High transfer dependency","1989","general elemantary","Rural Area","8","","","","2"
"High transfer dependency","1989","middle vocational","Urban Area","33","0.00986677878864958","0.00665848396359512","0.013075073613704","2"
"High transfer dependency","1989","middle vocational","Rural Area","9","","","","2"
"High transfer dependency","1989","vocational + Abi","Urban Area","6","","","","2"
"High transfer dependency","1989","vocational + Abi","Rural Area","","","","","2"
"High transfer dependency","1989","higher vocational","Urban Area","1","","","","2"
"High transfer dependency","1989","higher vocational","Rural Area","","","","","2"
"High transfer dependency","1989","higher education","Urban Area","","","","","2"
"High transfer dependency","1989","higher education","Rural Area","","","","","2"
"Low transfer dependency","1989","inadequately","Urban Area","38","0.0727925398607681","0.0515022305161888","0.0940828492053474","1"
"Low transfer dependency","1989","general elemantary","Urban Area","80","0.0295927608652988","0.0222101055373141","0.0369754161932834","1"
"Low transfer dependency","1989","higher vocational","Rural Area","2","","","","1"
"Low transfer dependency","1989","higher education","Rural Area","3","","","","1"
"Low transfer dependency","1989","inadequately","Rural Area","4","","","","1"
"Low transfer dependency","1989","higher education","Urban Area","7","","","","1"
"Low transfer dependency","1989","in school","Rural Area","4","","","","1"
"Low transfer dependency","1989","higher vocational","Urban Area","9","","","","1"
"Low transfer dependency","1989","general elemantary","Rural Area","15","","","","1"
"Low transfer dependency","1989","in school","Urban Area","6","","","","1"
"Low transfer dependency","1989","middle vocational","Urban Area","87","0.0210530407359208","0.0163931390388612","0.0257129424329803","1"
"Low transfer dependency","1989","middle vocational","Rural Area","18","","","","1"
"Low transfer dependency","1989","vocational + Abi","Urban Area","9","","","","1"
"Low transfer dependency","1989","vocational + Abi","Rural Area","3","","","","1"
"Very high transfer dependency","1989","inadequately","Rural Area","6","","","","3"
"Very high transfer dependency","1989","inadequately","Urban Area","19","","","","3"
"Very high transfer dependency","1989","higher vocational","Rural Area","","","","","3"
"Very high transfer dependency","1989","in school","Urban Area","2","","","","3"
"Very high transfer dependency","1989","general elemantary","Urban Area","42","0.024006090873316","0.0173376068730542","0.0306745748735779","3"
"Very high transfer dependency","1989","in school","Rural Area","","","","","3"
"Very high transfer dependency","1989","higher education","Urban Area","1","","","","3"
"Very high transfer dependency","1989","general elemantary","Rural Area","18","","","","3"
"Very high transfer dependency","1989","higher education","Rural Area","1","","","","3"
"Very high transfer dependency","1989","higher vocational","Urban Area","2","","","","3"
"Very high transfer dependency","1989","middle vocational","Urban Area","41","0.0126499249463796","0.0090223255996402","0.016277524293119","3"
"Very high transfer dependency","1989","middle vocational","Rural Area","11","","","","3"
"Very high transfer dependency","1989","vocational + Abi","Urban Area","1","","","","3"
"Very high transfer dependency","1989","vocational + Abi","Rural Area","1","","","","3"
"Very low transfer dependency","1989","in school","Urban Area","136","0.929534310335309","0.888161884181658","0.970906736488959","0"
"Very low transfer dependency","1989","in school","Rural Area","23","","","","0"
"Very low transfer dependency","1989","inadequately","Urban Area","505","0.849236698847212","0.819913437404495","0.878559960289928","0"
"Very low transfer dependency","1989","inadequately","Rural Area","70","0.796753499509559","0.709118193049699","0.884388805969418","0"
"Very low transfer dependency","1989","general elemantary","Urban Area","1874","0.937628414210162","0.927093000123231","0.948163828297093","0"
"Very low transfer dependency","1989","general elemantary","Rural Area","510","0.929749309635467","0.908409992286087","0.951088626984847","0"
"Very low transfer dependency","1989","middle vocational","Urban Area","3485","0.95643025552905","0.949804141302806","0.963056369755294","0"
"Very low transfer dependency","1989","middle vocational","Rural Area","939","0.956758543957468","0.944004375807521","0.969512712107415","0"
"Very low transfer dependency","1989","vocational + Abi","Urban Area","237","0.93143395966975","0.900293974645738","0.962573944693761","0"
"Very low transfer dependency","1989","vocational + Abi","Rural Area","33","0.940983661228465","0.865051737642193","1.01691558481474","0"
"Very low transfer dependency","1989","higher vocational","Urban Area","396","0.98003044127242","0.966455998014133","0.993604884530707","0"
"Very low transfer dependency","1989","higher vocational","Rural Area","105","0.982168939722179","0.957094116255725","1.00724376318863","0"
"Very low transfer dependency","1989","higher education","Urban Area","583","0.984370205365123","0.97436997011871","0.994370440611537","0"
"Very low transfer dependency","1989","higher education","Rural Area","104","0.955832809744138","0.917082331545943","0.994583287942333","0"
"High transfer dependency","1990","in school","Urban Area","3","","","","2"
"High transfer dependency","1990","in school","Rural Area","","","","","2"
"High transfer dependency","1990","inadequately","Urban Area","14","","","","2"
"High transfer dependency","1990","inadequately","Rural Area","","","","","2"
"High transfer dependency","1990","general elemantary","Urban Area","34","0.0175881991422948","0.0117343604201046","0.0234420378644851","2"
"High transfer dependency","1990","general elemantary","Rural Area","10","","","","2"
"High transfer dependency","1990","middle vocational","Urban Area","30","0.00726794004477956","0.00447571781545786","0.0100601622741013","2"
"High transfer dependency","1990","middle vocational","Rural Area","3","","","","2"
"High transfer dependency","1990","vocational + Abi","Urban Area","2","","","","2"
"High transfer dependency","1990","vocational + Abi","Rural Area","","","","","2"
"High transfer dependency","1990","higher vocational","Urban Area","2","","","","2"
"High transfer dependency","1990","higher vocational","Rural Area","","","","","2"
"High transfer dependency","1990","higher education","Urban Area","1","","","","2"
"High transfer dependency","1990","higher education","Rural Area","","","","","2"
"Low transfer dependency","1990","higher vocational","Rural Area","2","","","","1"
"Low transfer dependency","1990","inadequately","Urban Area","25","","","","1"
"Low transfer dependency","1990","general elemantary","Urban Area","66","0.0263300553365119","0.0191996363691712","0.0334604743038527","1"
"Low transfer dependency","1990","higher education","Urban Area","5","","","","1"
"Low transfer dependency","1990","higher education","Rural Area","1","","","","1"
"Low transfer dependency","1990","inadequately","Rural Area","3","","","","1"
"Low transfer dependency","1990","in school","Rural Area","2","","","","1"
"Low transfer dependency","1990","higher vocational","Urban Area","3","","","","1"
"Low transfer dependency","1990","general elemantary","Rural Area","24","","","","1"
"Low transfer dependency","1990","in school","Urban Area","2","","","","1"
"Low transfer dependency","1990","middle vocational","Urban Area","66","0.0151191224339066","0.0111078382320068","0.0191304066358064","1"
"Low transfer dependency","1990","middle vocational","Rural Area","23","","","","1"
"Low transfer dependency","1990","vocational + Abi","Urban Area","12","","","","1"
"Low transfer dependency","1990","vocational + Abi","Rural Area","2","","","","1"
"Very high transfer dependency","1990","inadequately","Urban Area","17","","","","3"
"Very high transfer dependency","1990","general elemantary","Urban Area","29","","","","3"
"Very high transfer dependency","1990","inadequately","Rural Area","4","","","","3"
"Very high transfer dependency","1990","general elemantary","Rural Area","9","","","","3"
"Very high transfer dependency","1990","in school","Rural Area","1","","","","3"
"Very high transfer dependency","1990","higher vocational","Rural Area","","","","","3"
"Very high transfer dependency","1990","higher education","Urban Area","1","","","","3"
"Very high transfer dependency","1990","higher education","Rural Area","","","","","3"
"Very high transfer dependency","1990","in school","Urban Area","2","","","","3"
"Very high transfer dependency","1990","higher vocational","Urban Area","3","","","","3"
"Very high transfer dependency","1990","middle vocational","Urban Area","39","0.0120340664641593","0.0084497571875347","0.0156183757407839","3"
"Very high transfer dependency","1990","middle vocational","Rural Area","5","","","","3"
"Very high transfer dependency","1990","vocational + Abi","Urban Area","5","","","","3"
"Very high transfer dependency","1990","vocational + Abi","Rural Area","1","","","","3"
"Very low transfer dependency","1990","general elemantary","Urban Area","1808","0.942058126924747","0.931653694445939","0.952462559403555","0"
"Very low transfer dependency","1990","general elemantary","Rural Area","487","0.919667363578548","0.896526926708923","0.942807800448173","0"
"Very low transfer dependency","1990","middle vocational","Urban Area","3420","0.965578871057155","0.959586002938733","0.971571739175576","0"
"Very low transfer dependency","1990","middle vocational","Rural Area","960","0.964057165749234","0.95246755586824","0.975646775630229","0"
"Very low transfer dependency","1990","vocational + Abi","Urban Area","234","0.92382070753443","0.891131819757328","0.956509595311532","0"
"Very low transfer dependency","1990","in school","Urban Area","126","0.921442829992801","0.875718286006061","0.967167373979541","0"
"Very low transfer dependency","1990","in school","Rural Area","25","","","","0"
"Very low transfer dependency","1990","inadequately","Urban Area","489","0.876719906507856","0.849118783586342","0.90432102942937","0"
"Very low transfer dependency","1990","inadequately","Rural Area","77","0.858127653406225","0.783511428504365","0.932743878308086","0"
"Very low transfer dependency","1990","vocational + Abi","Rural Area","38","0.955222686411488","0.891917762065244","1.01852761075773","0"
"Very low transfer dependency","1990","higher vocational","Urban Area","393","0.974556588124809","0.959144300341115","0.989968875908502","0"
"Very low transfer dependency","1990","higher vocational","Rural Area","109","0.981029364381066","0.955650712633143","1.00640801612899","0"
"Very low transfer dependency","1990","higher education","Urban Area","590","0.990508312835174","0.982730424644115","0.998286201026233","0"
"Very low transfer dependency","1990","higher education","Rural Area","102","0.98957608396045","0.969961932420421","1.00919023550048","0"
"High transfer dependency","1991","in school","Urban Area","","","","","2"
"High transfer dependency","1991","in school","Rural Area","","","","","2"
"High transfer dependency","1991","inadequately","Urban Area","6","","","","2"
"High transfer dependency","1991","inadequately","Rural Area","1","","","","2"
"High transfer dependency","1991","general elemantary","Urban Area","27","","","","2"
"High transfer dependency","1991","general elemantary","Rural Area","14","","","","2"
"High transfer dependency","1991","middle vocational","Urban Area","29","","","","2"
"High transfer dependency","1991","middle vocational","Rural Area","6","","","","2"
"High transfer dependency","1991","vocational + Abi","Urban Area","4","","","","2"
"High transfer dependency","1991","vocational + Abi","Rural Area","","","","","2"
"High transfer dependency","1991","higher vocational","Urban Area","2","","","","2"
"High transfer dependency","1991","higher vocational","Rural Area","","","","","2"
