"transab_cat2","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1986","vocational + Abi","West Germany","249","0.912040001234378","0.878685246076928","0.945394756391829"
"Very low transfer dependency","1986","vocational + Abi","East Germany","","","",""
"Very low transfer dependency","1986","higher vocational","West Germany","557","0.948704167130694","0.930766478885518","0.966641855375871"
"Very low transfer dependency","1986","higher vocational","East Germany","","","",""
"Very low transfer dependency","1986","higher education","West Germany","726","0.967422927230446","0.954692235355042","0.98015361910585"
"Very low transfer dependency","1986","higher education","East Germany","","","",""
"Low transfer dependency","1986","in school","West Germany","3","","",""
"Low transfer dependency","1986","in school","East Germany","","","",""
"Low transfer dependency","1986","inadequately","West Germany","56","0.07053437546656","0.0526115226423879","0.088457228290732"
"Low transfer dependency","1986","inadequately","East Germany","","","",""
"Low transfer dependency","1986","general elemantary","West Germany","88","0.0266256865091188","0.0207674813834629","0.0324838916347748"
"Low transfer dependency","1986","general elemantary","East Germany","","","",""
"Low transfer dependency","1986","middle vocational","West Germany","135","0.0253063025075364","0.0209522025830456","0.0296604024320272"
"Low transfer dependency","1986","middle vocational","East Germany","","","",""
"Low transfer dependency","1986","vocational + Abi","West Germany","15","","",""
"Low transfer dependency","1986","vocational + Abi","East Germany","","","",""
"Low transfer dependency","1986","higher vocational","West Germany","12","","",""
"Low transfer dependency","1986","higher vocational","East Germany","","","",""
"Low transfer dependency","1986","higher education","West Germany","10","","",""
"Low transfer dependency","1986","higher education","East Germany","","","",""
"High transfer dependency","1986","in school","West Germany","2","","",""
"High transfer dependency","1986","in school","East Germany","","","",""
"High transfer dependency","1986","inadequately","West Germany","16","","",""
"High transfer dependency","1986","inadequately","East Germany","","","",""
"High transfer dependency","1986","general elemantary","West Germany","42","0.0144611014592102","0.0101168815828652","0.0188053213355551"
"High transfer dependency","1986","general elemantary","East Germany","","","",""
"High transfer dependency","1986","middle vocational","West Germany","47","0.00941376747964129","0.00673658581172995","0.0120909491475526"
"High transfer dependency","1986","middle vocational","East Germany","","","",""
"High transfer dependency","1986","vocational + Abi","West Germany","7","","",""
"High transfer dependency","1986","vocational + Abi","East Germany","","","",""
"High transfer dependency","1986","higher vocational","West Germany","4","","",""
"High transfer dependency","1986","higher vocational","East Germany","","","",""
"High transfer dependency","1986","higher education","West Germany","3","","",""
"High transfer dependency","1986","higher education","East Germany","","","",""
"Very high transfer dependency","1986","in school","West Germany","3","","",""
"Very high transfer dependency","1986","in school","East Germany","","","",""
"Very high transfer dependency","1986","inadequately","West Germany","24","","",""
"Very high transfer dependency","1986","inadequately","East Germany","","","",""
"Very high transfer dependency","1986","general elemantary","West Germany","57","0.0201726335308764","0.0150566362071167","0.0252886308546361"
"Very high transfer dependency","1986","general elemantary","East Germany","","","",""
"Very high transfer dependency","1986","middle vocational","West Germany","61","0.0130314501505696","0.00988733824128614","0.0161755620598531"
"Very high transfer dependency","1986","middle vocational","East Germany","","","",""
"Very high transfer dependency","1986","vocational + Abi","West Germany","6","","",""
"Very high transfer dependency","1986","vocational + Abi","East Germany","","","",""
"Very high transfer dependency","1986","higher vocational","West Germany","8","","",""
"Very high transfer dependency","1986","higher vocational","East Germany","","","",""
"Very high transfer dependency","1986","higher education","West Germany","8","","",""
"Very high transfer dependency","1986","higher education","East Germany","","","",""
"Very low transfer dependency","1987","in school","West Germany","176","0.941966289190556","0.90854470610476","0.975387872276351"
"Very low transfer dependency","1987","in school","East Germany","","","",""
"Very low transfer dependency","1987","inadequately","West Germany","684","0.868366403177253","0.844313800158278","0.892419006196228"
"Very low transfer dependency","1987","inadequately","East Germany","","","",""
"Very low transfer dependency","1987","general elemantary","West Germany","2652","0.936573482818682","0.927622216891194","0.94552474874617"
"Very low transfer dependency","1987","general elemantary","East Germany","","","",""
"Very low transfer dependency","1987","middle vocational","West Germany","4739","0.954438815869104","0.948643055652584","0.960234576085623"
"Very low transfer dependency","1987","middle vocational","East Germany","","","",""
"Very low transfer dependency","1987","vocational + Abi","West Germany","258","0.932466764924355","0.902914983596196","0.962018546252513"
"Very low transfer dependency","1987","vocational + Abi","East Germany","","","",""
"Very low transfer dependency","1987","higher vocational","West Germany","546","0.96018306757547","0.944103112030597","0.976263023120343"
"Very low transfer dependency","1987","higher vocational","East Germany","","","",""
"Very low transfer dependency","1987","higher education","West Germany","718","0.959321757154768","0.945117552414766","0.97352596189477"
"Very low transfer dependency","1987","higher education","East Germany","","","",""
"Low transfer dependency","1987","in school","West Germany","8","","",""
"Low transfer dependency","1987","in school","East Germany","","","",""
"Low transfer dependency","1987","inadequately","West Germany","33","0.0415773256318785","0.0273758321645009","0.055778819099256"
"Low transfer dependency","1987","inadequately","East Germany","","","",""
"Low transfer dependency","1987","general elemantary","West Germany","118","0.036791050720966","0.0298773679469409","0.0437047334949911"
"Low transfer dependency","1987","general elemantary","East Germany","","","",""
"Low transfer dependency","1987","middle vocational","West Germany","134","0.0253507707445027","0.0209820064192139","0.0297195350697914"
"Low transfer dependency","1987","middle vocational","East Germany","","","",""
"Low transfer dependency","1987","vocational + Abi","West Germany","9","","",""
"Low transfer dependency","1987","vocational + Abi","East Germany","","","",""
"Low transfer dependency","1987","higher vocational","West Germany","13","","",""
"Low transfer dependency","1987","higher vocational","East Germany","","","",""
"Low transfer dependency","1987","higher education","West Germany","16","","",""
"Low transfer dependency","1987","higher education","East Germany","","","",""
"High transfer dependency","1987","in school","West Germany","3","","",""
"High transfer dependency","1987","in school","East Germany","","","",""
"High transfer dependency","1987","inadequately","West Germany","22","","",""
"High transfer dependency","1987","inadequately","East Germany","","","",""
"High transfer dependency","1987","general elemantary","West Germany","29","","",""
"High transfer dependency","1987","general elemantary","East Germany","","","",""
"High transfer dependency","1987","middle vocational","West Germany","44","0.00795193260137248","0.00548338466965349","0.0104204805330915"
"High transfer dependency","1987","middle vocational","East Germany","","","",""
"High transfer dependency","1987","vocational + Abi","West Germany","6","","",""
"High transfer dependency","1987","vocational + Abi","East Germany","","","",""
"High transfer dependency","1987","higher vocational","West Germany","4","","",""
"High transfer dependency","1987","higher vocational","East Germany","","","",""
"High transfer dependency","1987","higher education","West Germany","2","","",""
"High transfer dependency","1987","higher education","East Germany","","","",""
"Very high transfer dependency","1987","in school","West Germany","1","","",""
"Very high transfer dependency","1987","in school","East Germany","","","",""
"Very high transfer dependency","1987","inadequately","West Germany","20","","",""
"Very high transfer dependency","1987","inadequately","East Germany","","","",""
"Very high transfer dependency","1987","general elemantary","West Germany","49","0.017811064653879","0.0129534779930667","0.0226686513146913"
"Very high transfer dependency","1987","general elemantary","East Germany","","","",""
"Very high transfer dependency","1987","middle vocational","West Germany","56","0.0122584807850212","0.00920018953995771","0.0153167720300846"
"Very high transfer dependency","1987","middle vocational","East Germany","","","",""
"Very high transfer dependency","1987","vocational + Abi","West Germany","4","","",""
"Very high transfer dependency","1987","vocational + Abi","East Germany","","","",""
"Very high transfer dependency","1987","higher vocational","West Germany","5","","",""
"Very high transfer dependency","1987","higher vocational","East Germany","","","",""
"Very high transfer dependency","1987","higher education","West Germany","7","","",""
"Very high transfer dependency","1987","higher education","East Germany","","","",""
"Very low transfer dependency","1988","in school","West Germany","151","0.920078122637849","0.87844878706009","0.961707458215608"
"Very low transfer dependency","1988","in school","East Germany","","","",""
"Very low transfer dependency","1988","inadequately","West Germany","611","0.835869063658074","0.808331847212137","0.863406280104012"
"Very low transfer dependency","1988","inadequately","East Germany","","","",""
"Very low transfer dependency","1988","general elemantary","West Germany","2532","0.932732054967725","0.923332475163012","0.942131634772438"
"Very low transfer dependency","1988","general elemantary","East Germany","","","",""
"Very low transfer dependency","1988","middle vocational","West Germany","4541","0.959076899958555","0.953435233888165","0.964718566028946"
"Very low transfer dependency","1988","middle vocational","East Germany","","","",""
"Very low transfer dependency","1988","vocational + Abi","West Germany","256","0.965213634880486","0.943316454262035","0.987110815498936"
"Very low transfer dependency","1988","vocational + Abi","East Germany","","","",""
"Very low transfer dependency","1988","higher vocational","West Germany","521","0.963867676034811","0.948127562271895","0.979607789797727"
"Very low transfer dependency","1988","higher vocational","East Germany","","","",""
"Very low transfer dependency","1988","higher education","West Germany","688","0.981800914238266","0.971905691285112","0.991696137191419"
"Very low transfer dependency","1988","higher education","East Germany","","","",""
"Low transfer dependency","1988","in school","West Germany","8","","",""
"Low transfer dependency","1988","in school","East Germany","","","",""
"Low transfer dependency","1988","inadequately","West Germany","51","0.0793853938820279","0.0592868348768222","0.0994839528872335"
"Low transfer dependency","1988","inadequately","East Germany","","","",""
"Low transfer dependency","1988","general elemantary","West Germany","96","0.0298551733059301","0.0234688045380902","0.0362415420737699"
"Low transfer dependency","1988","general elemantary","East Germany","","","",""
"Low transfer dependency","1988","middle vocational","West Germany","114","0.0218060176560063","0.0176469395939131","0.0259650957180995"
"Low transfer dependency","1988","middle vocational","East Germany","","","",""
"Low transfer dependency","1988","vocational + Abi","West Germany","8","","",""
"Low transfer dependency","1988","vocational + Abi","East Germany","","","",""
"Low transfer dependency","1988","higher vocational","West Germany","11","","",""
"Low transfer dependency","1988","higher vocational","East Germany","","","",""
"Low transfer dependency","1988","higher education","West Germany","10","","",""
"Low transfer dependency","1988","higher education","East Germany","","","",""
"High transfer dependency","1988","in school","West Germany","1","","",""
"High transfer dependency","1988","in school","East Germany","","","",""
"High transfer dependency","1988","inadequately","West Germany","7","","",""
"High transfer dependency","1988","inadequately","East Germany","","","",""
"High transfer dependency","1988","general elemantary","West Germany","34","0.0107293109543459","0.00686324378801188","0.0145953781206798"
"High transfer dependency","1988","general elemantary","East Germany","","","",""
"High transfer dependency","1988","middle vocational","West Germany","32","0.00687157043870014","0.00451908411586596","0.00922405676153433"
"High transfer dependency","1988","middle vocational","East Germany","","","",""
"High transfer dependency","1988","vocational + Abi","West Germany","2","","",""
"High transfer dependency","1988","vocational + Abi","East Germany","","","",""
"High transfer dependency","1988","higher vocational","West Germany","7","","",""
"High transfer dependency","1988","higher vocational","East Germany","","","",""
"High transfer dependency","1988","higher education","West Germany","2","","",""
"High transfer dependency","1988","higher education","East Germany","","","",""
"Very high transfer dependency","1988","in school","West Germany","3","","",""
"Very high transfer dependency","1988","in school","East Germany","","","",""
"Very high transfer dependency","1988","inadequately","West Germany","26","","",""
"Very high transfer dependency","1988","inadequately","East Germany","","","",""
"Very high transfer dependency","1988","general elemantary","West Germany","66","0.0266834607719993","0.0206359863871407","0.0327309351568579"
"Very high transfer dependency","1988","general elemantary","East Germany","","","",""
"Very high transfer dependency","1988","middle vocational","West Germany","50","0.012245511946738","0.00911360119547507","0.015377422698001"
"Very high transfer dependency","1988","middle vocational","East Germany","","","",""
"Very high transfer dependency","1988","vocational + Abi","West Germany","3","","",""
"Very high transfer dependency","1988","vocational + Abi","East Germany","","","",""
"Very high transfer dependency","1988","higher vocational","West Germany","1","","",""
"Very high transfer dependency","1988","higher vocational","East Germany","","","",""
"Very high transfer dependency","1988","higher education","West Germany","1","","",""
"Very high transfer dependency","1988","higher education","East Germany","","","",""
"Very low transfer dependency","1989","in school","West Germany","159","0.90167393270391","0.857432156076012","0.945915709331809"
"Very low transfer dependency","1989","in school","East Germany","","","",""
"Very low transfer dependency","1989","inadequately","West Germany","575","0.838573855772716","0.810354369957026","0.866793341588406"
"Very low transfer dependency","1989","inadequately","East Germany","","","",""
"Very low transfer dependency","1989","general elemantary","West Germany","2384","0.935644945751498","0.926167171881567","0.94512271962143"
"Very low transfer dependency","1989","general elemantary","East Germany","","","",""
"Very low transfer dependency","1989","middle vocational","West Germany","4424","0.956504301859147","0.950624634439799","0.962383969278495"
"Very low transfer dependency","1989","middle vocational","East Germany","","","",""
"Very low transfer dependency","1989","vocational + Abi","West Germany","270","0.932765682906233","0.903943234466053","0.961588131346413"
"Very low transfer dependency","1989","vocational + Abi","East Germany","","","",""
"Very low transfer dependency","1989","higher vocational","West Germany","501","0.980490734251952","0.968545719629428","0.992435748874476"
"Very low transfer dependency","1989","higher vocational","East Germany","","","",""
"Very low transfer dependency","1989","higher education","West Germany","687","0.979586346690192","0.969103210396042","0.990069482984341"
"Very low transfer dependency","1989","higher education","East Germany","","","",""
"Low transfer dependency","1989","in school","West Germany","10","","",""
"Low transfer dependency","1989","in school","East Germany","","","",""
"Low transfer dependency","1989","inadequately","West Germany","42","0.0600685860423073","0.0418437643783056","0.078293407706309"
"Low transfer dependency","1989","inadequately","East Germany","","","",""
"Low transfer dependency","1989","general elemantary","West Germany","95","0.0272273663018878","0.0209414591243146","0.033513273479461"
"Low transfer dependency","1989","general elemantary","East Germany","","","",""
"Low transfer dependency","1989","middle vocational","West Germany","105","0.0198275077544292","0.0158089384405533","0.023846077068305"
"Low transfer dependency","1989","middle vocational","East Germany","","","",""
"Low transfer dependency","1989","vocational + Abi","West Germany","12","","",""
"Low transfer dependency","1989","vocational + Abi","East Germany","","","",""
"Low transfer dependency","1989","higher vocational","West Germany","11","","",""
"Low transfer dependency","1989","higher vocational","East Germany","","","",""
"Low transfer dependency","1989","higher education","West Germany","10","","",""
"Low transfer dependency","1989","higher education","East Germany","","","",""
"High transfer dependency","1989","in school","West Germany","3","","",""
"High transfer dependency","1989","in school","East Germany","","","",""
"High transfer dependency","1989","inadequately","West Germany","11","","",""
"High transfer dependency","1989","inadequately","East Germany","","","",""
"High transfer dependency","1989","general elemantary","West Germany","36","0.0113603339456978","0.0072670295777177","0.0154536383136779"
"High transfer dependency","1989","general elemantary","East Germany","","","",""
"High transfer dependency","1989","middle vocational","West Germany","42","0.0104928873709533","0.00755562250804009","0.0134301522338664"
"High transfer dependency","1989","middle vocational","East Germany","","","",""
"High transfer dependency","1989","vocational + Abi","West Germany","6","","",""
"High transfer dependency","1989","vocational + Abi","East Germany","","","",""
"High transfer dependency","1989","higher vocational","West Germany","1","","",""
"High transfer dependency","1989","higher vocational","East Germany","","","",""
"High transfer dependency","1989","higher education","West Germany","","","",""
"High transfer dependency","1989","higher education","East Germany","","","",""
"Very high transfer dependency","1989","in school","West Germany","2","","",""
"Very high transfer dependency","1989","in school","East Germany","","","",""
"Very high transfer dependency","1989","inadequately","West Germany","25","","",""
"Very high transfer dependency","1989","inadequately","East Germany","","","",""
"Very high transfer dependency","1989","general elemantary","West Germany","60","0.025767354000916","0.0196477161020033","0.0318869918998286"
"Very high transfer dependency","1989","general elemantary","East Germany","","","",""
"Very high transfer dependency","1989","middle vocational","West Germany","52","0.0131753030154707","0.00988840328806279","0.0164622027428786"
"Very high transfer dependency","1989","middle vocational","East Germany","","","",""
"Very high transfer dependency","1989","vocational + Abi","West Germany","2","","",""
"Very high transfer dependency","1989","vocational + Abi","East Germany","","","",""
"Very high transfer dependency","1989","higher vocational","West Germany","2","","",""
"Very high transfer dependency","1989","higher vocational","East Germany","","","",""
"Very high transfer dependency","1989","higher education","West Germany","2","","",""
"Very high transfer dependency","1989","higher education","East Germany","","","",""
"Very low transfer dependency","1990","in school","West Germany","151","0.910133878368404","0.865957939032717","0.95430981770409"
"Very low transfer dependency","1990","in school","East Germany","","","",""
"Very low transfer dependency","1990","inadequately","West Germany","566","0.872876816000239","0.846844570663337","0.898909061337141"
"Very low transfer dependency","1990","inadequately","East Germany","","","",""
"Very low transfer dependency","1990","general elemantary","West Germany","2295","0.936469028072523","0.92684397849394","0.946094077651107"
"Very low transfer dependency","1990","general elemantary","East Germany","","","",""
"Very low transfer dependency","1990","middle vocational","West Germany","4380","0.965229060333495","0.95990360454636","0.97055451612063"
"Very low transfer dependency","1990","middle vocational","East Germany","","","",""
"Very low transfer dependency","1990","vocational + Abi","West Germany","272","0.928324590126351","0.898839025701945","0.957810154550758"
"Very low transfer dependency","1990","vocational + Abi","East Germany","","","",""
"Very low transfer dependency","1990","higher vocational","West Germany","502","0.975959630028341","0.962691808808559","0.989227451248122"
"Very low transfer dependency","1990","higher vocational","East Germany","","","",""
"Very low transfer dependency","1990","higher education","West Germany","692","0.990367329503228","0.983131795713456","0.997602863293001"
"Very low transfer dependency","1990","higher education","East Germany","","","",""
"Low transfer dependency","1990","in school","West Germany","4","","",""
"Low transfer dependency","1990","in school","East Germany","","","",""
"Low transfer dependency","1990","inadequately","West Germany","28","","",""
"Low transfer dependency","1990","inadequately","East Germany","","","",""
"Low transfer dependency","1990","general elemantary","West Germany","90","0.0286611036823179","0.0220770197068363","0.0352451876577996"
"Low transfer dependency","1990","general elemantary","East Germany","","","",""
"Low transfer dependency","1990","middle vocational","West Germany","89","0.0179433764483986","0.0140845635261537","0.0218021893706434"
"Low transfer dependency","1990","middle vocational","East Germany","","","",""
"Low transfer dependency","1990","vocational + Abi","West Germany","14","","",""
"Low transfer dependency","1990","vocational + Abi","East Germany","","","",""
"Low transfer dependency","1990","higher vocational","West Germany","5","","",""
"Low transfer dependency","1990","higher vocational","East Germany","","","",""
"Low transfer dependency","1990","higher education","West Germany","6","","",""
"Low transfer dependency","1990","higher education","East Germany","","","",""
"High transfer dependency","1990","in school","West Germany","3","","",""
"High transfer dependency","1990","in school","East Germany","","","",""
"High transfer dependency","1990","inadequately","West Germany","14","","",""
"High transfer dependency","1990","inadequately","East Germany","","","",""
"High transfer dependency","1990","general elemantary","West Germany","44","0.0208645504715465","0.0152244165051068","0.0265046844379862"
"High transfer dependency","1990","general elemantary","East Germany","","","",""
"High transfer dependency","1990","middle vocational","West Germany","33","0.00619974941336886","0.00391798924610836","0.00848150958062936"
"High transfer dependency","1990","middle vocational","East Germany","","","",""
"High transfer dependency","1990","vocational + Abi","West Germany","2","","",""
"High transfer dependency","1990","vocational + Abi","East Germany","","","",""
"High transfer dependency","1990","higher vocational","West Germany","2","","",""
"High transfer dependency","1990","higher vocational","East Germany","","","",""
"High transfer dependency","1990","higher education","West Germany","1","","",""
"High transfer dependency","1990","higher education","East Germany","","","",""
"Very high transfer dependency","1990","in school","West Germany","3","","",""
"Very high transfer dependency","1990","in school","East Germany","","","",""
"Very high transfer dependency","1990","inadequately","West Germany","21","","",""
"Very high transfer dependency","1990","inadequately","East Germany","","","",""
"Very high transfer dependency","1990","general elemantary","West Germany","38","0.0140053177736122","0.00936820896952502","0.0186424265776993"
"Very high transfer dependency","1990","general elemantary","East Germany","","","",""
"Very high transfer dependency","1990","middle vocational","West Germany","44","0.0106278138047377","0.00764699764194002","0.0136086299675354"
"Very high transfer dependency","1990","middle vocational","East Germany","","","",""
"Very high transfer dependency","1990","vocational + Abi","West Germany","6","","",""
"Very high transfer dependency","1990","vocational + Abi","East Germany","","","",""
"Very high transfer dependency","1990","higher vocational","West Germany","3","","",""
"Very high transfer dependency","1990","higher vocational","East Germany","","","",""
"Very high transfer dependency","1990","higher education","West Germany","1","","",""
"Very high transfer dependency","1990","higher education","East Germany","","","",""
"Very low transfer dependency","1991","in school","West Germany","141","0.927111569332115","0.885511144892286","0.968711993771945"
"Very low transfer dependency","1991","in school","East Germany","","","",""
"Very low transfer dependency","1991","inadequately","West Germany","560","0.877178260574416","0.851404035336435","0.902952485812396"
"Very low transfer dependency","1991","inadequately","East Germany","","","",""
"Very low transfer dependency","1991","general elemantary","West Germany","2244","0.932098846917021","0.922054790815677","0.942142903018366"
"Very low transfer dependency","1991","general elemantary","East Germany","","","",""
"Very low transfer dependency","1991","middle vocational","West Germany","4356","0.962721112105232","0.957208044857469","0.968234179352996"
