"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2012","no migration background","Ostdeutschland, neue Bundeslaender","4.03","4","1246","1","3","6","6","3.93","4.13","4","4"
"2012","no migration background","Westdeutschland, alte Bundeslaender","3.93","4","4267","1","2","5","7","3.87","3.99","4","4"
"2013","direct migration background","Ostdeutschland, neue Bundeslaender","4.35","5","81","1","3","6","6","3.95","4.75","4","5"
"2013","direct migration background","Westdeutschland, alte Bundeslaender","4.24","4","1583","1","3","6","7","4.15","4.33","4","5"
"2013","indirect migration background","Ostdeutschland, neue Bundeslaender","4.66","5","45","1","4","6","7","4.1","5.22","4","5"
"2013","indirect migration background","Westdeutschland, alte Bundeslaender","4.32","4","667","2","3","6","7","4.18","4.46","4","5"
"2013","no migration background","Ostdeutschland, neue Bundeslaender","4.27","4","4325","2","3","6","7","4.22","4.32","4","4"
"2013","no migration background","Westdeutschland, alte Bundeslaender","4.15","4","12064","1","3","6","7","4.12","4.18","4","4"
"2014","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2016","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2016","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2016","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2017","direct migration background","Ostdeutschland, neue Bundeslaender","5.05","5","796","2","4","7","7","4.93","5.17","6","6"
"2017","direct migration background","Westdeutschland, alte Bundeslaender","4.37","5","6295","2","3","6","7","4.32","4.42","5","5"
"2017","indirect migration background","Ostdeutschland, neue Bundeslaender","4.3","4","106","2","3","6","7","3.95","4.65","4","5"
"2017","indirect migration background","Westdeutschland, alte Bundeslaender","4.31","5","1594","1","3","6","7","4.22","4.4","4","5"
"2017","no migration background","Ostdeutschland, neue Bundeslaender","4.27","4","5130","2","3","6","7","4.22","4.32","4","4"
"2017","no migration background","Westdeutschland, alte Bundeslaender","4.24","4","15067","2","3","6","7","4.21","4.27","4","4"
"2018","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2018","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2018","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2019","direct migration background","Ostdeutschland, neue Bundeslaender","4.38","5","289","2","3","6","7","4.17","4.59","5","5"
"2019","direct migration background","Westdeutschland, alte Bundeslaender","4.21","4","3502","1","3","6","7","4.15","4.27","4","4"
"2019","indirect migration background","Ostdeutschland, neue Bundeslaender","4.01","5","132","1","2","5","6","3.68","4.34","4","5"
"2019","indirect migration background","Westdeutschland, alte Bundeslaender","4.4","5","1553","1","3","6","7","4.3","4.5","4","5"
"2019","no migration background","Ostdeutschland, neue Bundeslaender","4.27","4","5103","2","3","6","7","4.22","4.32","4","5"
"2019","no migration background","Westdeutschland, alte Bundeslaender","4.13","4","14961","1","2","6","7","4.1","4.16","4","4"
