"pli0089","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","1992","16-34 y.","","","","","2"
"Min 1x per week","1992","35-65 y.","","","","","2"
"Min 1x per week","1992","66 and older","","","","","2"
"Never","1992","16-34 y.","","","","","5"
"Never","1992","35-65 y.","","","","","5"
"Never","1992","66 and older","","","","","5"
"Rarely","1992","16-34 y.","","","","","4"
"Rarely","1992","66 and older","","","","","4"
"Rarely","1992","35-65 y.","","","","","4"
"Daily","1993","16-34 y.","","","","","1"
"Daily","1993","35-65 y.","","","","","1"
"Daily","1993","66 and older","","","","","1"
"Min 1x per month","1993","16-34 y.","","","","","3"
"Min 1x per month","1993","35-65 y.","","","","","3"
"Min 1x per month","1993","66 and older","","","","","3"
"Min 1x per week","1993","35-65 y.","","","","","2"
"Min 1x per week","1993","16-34 y.","","","","","2"
"Min 1x per week","1993","66 and older","","","","","2"
"Never","1993","16-34 y.","","","","","5"
"Never","1993","35-65 y.","","","","","5"
"Never","1993","66 and older","","","","","5"
"Rarely","1993","16-34 y.","","","","","4"
"Rarely","1993","35-65 y.","","","","","4"
"Rarely","1993","66 and older","","","","","4"
"Daily","1994","16-34 y.","","","","","1"
"Daily","1994","35-65 y.","","","","","1"
"Daily","1994","66 and older","","","","","1"
"Min 1x per month","1994","16-34 y.","","","","","3"
"Min 1x per month","1994","35-65 y.","","","","","3"
"Min 1x per month","1994","66 and older","","","","","3"
"Min 1x per week","1994","16-34 y.","","","","","2"
"Min 1x per week","1994","35-65 y.","","","","","2"
"Min 1x per week","1994","66 and older","","","","","2"
"Never","1994","16-34 y.","","","","","5"
"Never","1994","35-65 y.","","","","","5"
"Never","1994","66 and older","","","","","5"
"Rarely","1994","35-65 y.","","","","","4"
"Rarely","1994","16-34 y.","","","","","4"
"Rarely","1994","66 and older","","","","","4"
"Daily","1995","16-34 y.","17","","","","1"
"Daily","1995","35-65 y.","5","","","","1"
"Daily","1995","66 and older","1","","","","1"
"Min 1x per month","1995","16-34 y.","556","0.118556349372377","0.109522572376277","0.127590126368476","3"
"Min 1x per month","1995","35-65 y.","433","0.064050678487848","0.0582350794219606","0.0698662775537354","3"
"Min 1x per month","1995","66 and older","41","0.026480135253019","0.0184402247060022","0.0345200458000359","3"
"Min 1x per week","1995","16-34 y.","374","0.0786711351460201","0.0711475519654028","0.0861947183266375","2"
"Min 1x per week","1995","35-65 y.","275","0.048128479316563","0.0430445832847218","0.0532123753484041","2"
"Min 1x per week","1995","66 and older","20","","","","2"
"Never","1995","16-34 y.","2346","0.455644619853769","0.441727029070533","0.469562210637005","5"
"Never","1995","35-65 y.","4294","0.603792246401124","0.59217477331838","0.615409719483867","5"
"Never","1995","66 and older","1328","0.867402561923712","0.850420257365284","0.884384866482141","5"
"Rarely","1995","35-65 y.","1802","0.283502125207257","0.272796992963605","0.294207257450909","4"
"Rarely","1995","16-34 y.","1626","0.343788218477478","0.330514971172967","0.357061465781988","4"
"Rarely","1995","66 and older","142","0.0932049770622808","0.0786472750889667","0.107762679035595","4"
"Daily","1996","16-34 y.","","","","","1"
"Daily","1996","35-65 y.","","","","","1"
"Daily","1996","66 and older","","","","","1"
"Min 1x per month","1996","16-34 y.","","","","","3"
"Min 1x per month","1996","35-65 y.","","","","","3"
"Min 1x per month","1996","66 and older","","","","","3"
"Min 1x per week","1996","16-34 y.","","","","","2"
"Min 1x per week","1996","35-65 y.","","","","","2"
"Min 1x per week","1996","66 and older","","","","","2"
"Never","1996","16-34 y.","","","","","5"
"Never","1996","35-65 y.","","","","","5"
"Never","1996","66 and older","","","","","5"
"Rarely","1996","35-65 y.","","","","","4"
"Rarely","1996","16-34 y.","","","","","4"
"Rarely","1996","66 and older","","","","","4"
"Daily","1997","16-34 y.","","","","","1"
"Daily","1997","35-65 y.","","","","","1"
"Daily","1997","66 and older","","","","","1"
"Min 1x per month","1997","16-34 y.","","","","","3"
"Min 1x per month","1997","35-65 y.","","","","","3"
"Min 1x per month","1997","66 and older","","","","","3"
"Min 1x per week","1997","16-34 y.","","","","","2"
"Min 1x per week","1997","35-65 y.","","","","","2"
"Min 1x per week","1997","66 and older","","","","","2"
"Never","1997","16-34 y.","","","","","5"
"Never","1997","35-65 y.","","","","","5"
"Never","1997","66 and older","","","","","5"
"Rarely","1997","16-34 y.","","","","","4"
"Rarely","1997","35-65 y.","","","","","4"
"Rarely","1997","66 and older","","","","","4"
"Daily","1998","16-34 y.","8","","","","1"
"Daily","1998","35-65 y.","6","","","","1"
"Daily","1998","66 and older","2","","","","1"
"Min 1x per month","1998","16-34 y.","556","0.1173237609321","0.108265173268526","0.126382348595674","3"
"Min 1x per month","1998","35-65 y.","515","0.0724446445853741","0.0665728989162116","0.0783163902545366","3"
"Min 1x per month","1998","66 and older","55","0.0269786119414337","0.0196035746593294","0.0343536492235381","3"
"Min 1x per week","1998","16-34 y.","378","0.0804297075546311","0.0727743144522631","0.0880851006569992","2"
"Min 1x per week","1998","66 and older","29","","","","2"
"Min 1x per week","1998","35-65 y.","317","0.0457747381450539","0.0410406911635596","0.0505087851265483","2"
"Never","1998","16-34 y.","2132","0.425207174009383","0.411290907202281","0.439123440816484","5"
"Never","1998","35-65 y.","4383","0.562879188821353","0.551643427313795","0.574114950328911","5"
"Never","1998","66 and older","1543","0.838038829613593","0.821268918906274","0.854808740320913","5"
"Rarely","1998","16-34 y.","1774","0.375229234229941","0.361599874043313","0.38885859441657","4"
"Rarely","1998","35-65 y.","2266","0.317958361183353","0.30741000602115","0.328506716345555","4"
"Rarely","1998","66 and older","225","0.118426060772423","0.10371831076237","0.133133810782476","4"
"Daily","1999","16-34 y.","","","","","1"
"Daily","1999","35-65 y.","","","","","1"
"Daily","1999","66 and older","","","","","1"
"Min 1x per month","1999","16-34 y.","","","","","3"
"Min 1x per month","1999","35-65 y.","","","","","3"
"Min 1x per month","1999","66 and older","","","","","3"
"Min 1x per week","1999","16-34 y.","","","","","2"
"Min 1x per week","1999","66 and older","","","","","2"
"Min 1x per week","1999","35-65 y.","","","","","2"
"Never","1999","16-34 y.","","","","","5"
"Never","1999","35-65 y.","","","","","5"
"Never","1999","66 and older","","","","","5"
"Rarely","1999","16-34 y.","","","","","4"
"Rarely","1999","35-65 y.","","","","","4"
"Rarely","1999","66 and older","","","","","4"
"Daily","2000","16-34 y.","","","","","1"
"Daily","2000","35-65 y.","","","","","1"
"Daily","2000","66 and older","","","","","1"
"Min 1x per month","2000","16-34 y.","","","","","3"
"Min 1x per month","2000","35-65 y.","","","","","3"
"Min 1x per month","2000","66 and older","","","","","3"
"Min 1x per week","2000","16-34 y.","","","","","2"
"Min 1x per week","2000","35-65 y.","","","","","2"
"Min 1x per week","2000","66 and older","","","","","2"
"Never","2000","16-34 y.","","","","","5"
"Never","2000","35-65 y.","","","","","5"
"Never","2000","66 and older","","","","","5"
"Rarely","2000","16-34 y.","","","","","4"
"Rarely","2000","35-65 y.","","","","","4"
"Rarely","2000","66 and older","","","","","4"
"Daily","2001","16-34 y.","","","","","1"
"Daily","2001","35-65 y.","","","","","1"
"Daily","2001","66 and older","","","","","1"
"Min 1x per month","2001","16-34 y.","","","","","3"
"Min 1x per month","2001","66 and older","","","","","3"
"Min 1x per month","2001","35-65 y.","","","","","3"
"Min 1x per week","2001","16-34 y.","","","","","2"
"Min 1x per week","2001","35-65 y.","","","","","2"
"Min 1x per week","2001","66 and older","","","","","2"
"Never","2001","16-34 y.","","","","","5"
"Never","2001","35-65 y.","","","","","5"
"Never","2001","66 and older","","","","","5"
"Rarely","2001","35-65 y.","","","","","4"
"Rarely","2001","16-34 y.","","","","","4"
"Rarely","2001","66 and older","","","","","4"
"Daily","2002","16-34 y.","","","","","1"
"Daily","2002","35-65 y.","","","","","1"
"Daily","2002","66 and older","","","","","1"
"Min 1x per month","2002","16-34 y.","","","","","3"
"Min 1x per month","2002","66 and older","","","","","3"
"Min 1x per month","2002","35-65 y.","","","","","3"
"Min 1x per week","2002","35-65 y.","","","","","2"
"Min 1x per week","2002","16-34 y.","","","","","2"
"Min 1x per week","2002","66 and older","","","","","2"
"Never","2002","16-34 y.","","","","","5"
"Never","2002","35-65 y.","","","","","5"
"Never","2002","66 and older","","","","","5"
"Rarely","2002","16-34 y.","","","","","4"
"Rarely","2002","35-65 y.","","","","","4"
"Rarely","2002","66 and older","","","","","4"
"Daily","2003","16-34 y.","17","","","","1"
"Daily","2003","35-65 y.","10","","","","1"
"Daily","2003","66 and older","4","","","","1"
"Min 1x per month","2003","16-34 y.","704","0.112609621250956","0.104500041462268","0.120719201039644","3"
"Min 1x per month","2003","35-65 y.","960","0.0776152285619792","0.0729440827283863","0.0822863743955722","3"
"Min 1x per month","2003","66 and older","115","0.0250435924961047","0.0199874983939376","0.0300996865982718","3"
"Min 1x per week","2003","16-34 y.","451","0.0755634310355209","0.0687831509019695","0.0823437111690722","2"
"Min 1x per week","2003","35-65 y.","593","0.0460236113298151","0.0423655325561988","0.0496816901034313","2"
"Min 1x per week","2003","66 and older","63","0.0163564038929137","0.0122521234077288","0.0204606843780986","2"
"Never","2003","16-34 y.","2627","0.462471669707005","0.449680905572386","0.475262433841624","5"
"Never","2003","35-65 y.","7068","0.565017739248347","0.556362866071411","0.573672612425283","5"
"Never","2003","66 and older","2948","0.813094281977413","0.80048019031322","0.825708373641605","5"
"Rarely","2003","16-34 y.","2038","0.34726682336403","0.335052969058262","0.359480677669798","4"
"Rarely","2003","35-65 y.","3973","0.31004739146076","0.301972855646811","0.318121927274709","4"
"Rarely","2003","66 and older","539","0.144660199650218","0.133278212114592","0.156042187185843","4"
"Daily","2004","16-34 y.","","","","","1"
"Daily","2004","35-65 y.","","","","","1"
"Daily","2004","66 and older","","","","","1"
"Min 1x per month","2004","16-34 y.","","","","","3"
"Min 1x per month","2004","35-65 y.","","","","","3"
"Min 1x per month","2004","66 and older","","","","","3"
"Min 1x per week","2004","16-34 y.","","","","","2"
"Min 1x per week","2004","35-65 y.","","","","","2"
"Min 1x per week","2004","66 and older","","","","","2"
"Never","2004","16-34 y.","","","","","5"
"Never","2004","35-65 y.","","","","","5"
"Never","2004","66 and older","","","","","5"
"Rarely","2004","16-34 y.","","","","","4"
"Rarely","2004","35-65 y.","","","","","4"
"Rarely","2004","66 and older","","","","","4"
"Daily","2005","16-34 y.","","","","","1"
"Daily","2005","35-65 y.","","","","","1"
"Daily","2005","66 and older","","","","","1"
"Min 1x per month","2005","16-34 y.","","","","","3"
"Min 1x per month","2005","35-65 y.","","","","","3"
"Min 1x per month","2005","66 and older","","","","","3"
"Min 1x per week","2005","16-34 y.","","","","","2"
"Min 1x per week","2005","35-65 y.","","","","","2"
"Min 1x per week","2005","66 and older","","","","","2"
"Never","2005","16-34 y.","","","","","5"
"Never","2005","35-65 y.","","","","","5"
"Never","2005","66 and older","","","","","5"
"Rarely","2005","16-34 y.","","","","","4"
"Rarely","2005","35-65 y.","","","","","4"
"Rarely","2005","66 and older","","","","","4"
"Daily","2006","16-34 y.","","","","","1"
"Daily","2006","35-65 y.","","","","","1"
"Daily","2006","66 and older","","","","","1"
"Min 1x per month","2006","16-34 y.","","","","","3"
"Min 1x per month","2006","35-65 y.","","","","","3"
"Min 1x per month","2006","66 and older","","","","","3"
"Min 1x per week","2006","16-34 y.","","","","","2"
"Min 1x per week","2006","35-65 y.","","","","","2"
"Min 1x per week","2006","66 and older","","","","","2"
"Never","2006","16-34 y.","","","","","5"
"Never","2006","35-65 y.","","","","","5"
"Never","2006","66 and older","","","","","5"
"Rarely","2006","16-34 y.","","","","","4"
"Rarely","2006","35-65 y.","","","","","4"
"Rarely","2006","66 and older","","","","","4"
"Daily","2007","16-34 y.","","","","","1"
"Daily","2007","35-65 y.","","","","","1"
"Daily","2007","66 and older","","","","","1"
"Min 1x per month","2007","35-65 y.","","","","","3"
"Min 1x per month","2007","16-34 y.","","","","","3"
"Min 1x per month","2007","66 and older","","","","","3"
"Min 1x per week","2007","16-34 y.","","","","","2"
"Min 1x per week","2007","35-65 y.","","","","","2"
"Min 1x per week","2007","66 and older","","","","","2"
"Never","2007","16-34 y.","","","","","5"
"Never","2007","35-65 y.","","","","","5"
"Never","2007","66 and older","","","","","5"
"Rarely","2007","16-34 y.","","","","","4"
"Rarely","2007","66 and older","","","","","4"
"Rarely","2007","35-65 y.","","","","","4"
"Daily","2008","16-34 y.","20","","","","1"
"Daily","2008","35-65 y.","8","","","","1"
"Daily","2008","66 and older","4","","","","1"
"Min 1x per month","2008","35-65 y.","924","0.0850321334481969","0.079736661254868","0.0903276056415258","3"
"Min 1x per month","2008","16-34 y.","509","0.121663184811105","0.111939893104283","0.131386476517926","3"
"Min 1x per month","2008","66 and older","175","0.040855996598757","0.034959091882111","0.0467529013154031","3"
"Min 1x per week","2008","16-34 y.","371","0.0888457429289818","0.0803828772593276","0.097308608598636","2"
"Min 1x per week","2008","66 and older","88","0.0229123166168895","0.0184551838734041","0.0273694493603749","2"
"Min 1x per week","2008","35-65 y.","466","0.042617328446074","0.0387824983671438","0.0464521585250042","2"
"Never","2008","16-34 y.","1937","0.441515725395545","0.426745682922112","0.456285767868978","5"
"Never","2008","35-65 y.","5802","0.547248002450385","0.537797987118515","0.556698017782254","5"
"Never","2008","66 and older","3263","0.765877263687081","0.753263180746682","0.778491346627481","5"
"Rarely","2008","16-34 y.","1505","0.345006440853481","0.330866900307477","0.359145981399485","4"
"Rarely","2008","35-65 y.","3458","0.324530146370467","0.315641395351019","0.333418897389915","4"
"Rarely","2008","66 and older","799","0.169998145532463","0.158808510504962","0.181187780559964","4"
"Daily","2009","16-34 y.","","","","","1"
"Daily","2009","35-65 y.","","","","","1"
"Daily","2009","66 and older","","","","","1"
"Min 1x per month","2009","16-34 y.","","","","","3"
"Min 1x per month","2009","35-65 y.","","","","","3"
"Min 1x per month","2009","66 and older","","","","","3"
"Min 1x per week","2009","16-34 y.","","","","","2"
"Min 1x per week","2009","35-65 y.","","","","","2"
"Min 1x per week","2009","66 and older","","","","","2"
"Never","2009","16-34 y.","","","","","5"
"Never","2009","35-65 y.","","","","","5"
"Never","2009","66 and older","","","","","5"
"Rarely","2009","16-34 y.","","","","","4"
"Rarely","2009","35-65 y.","","","","","4"
"Rarely","2009","66 and older","","","","","4"
"Daily","2010","16-34 y.","","","","","1"
"Daily","2010","35-65 y.","","","","","1"
"Daily","2010","66 and older","","","","","1"
"Min 1x per month","2010","16-34 y.","","","","","3"
"Min 1x per month","2010","35-65 y.","","","","","3"
"Min 1x per month","2010","66 and older","","","","","3"
"Min 1x per week","2010","16-34 y.","","","","","2"
"Min 1x per week","2010","35-65 y.","","","","","2"
"Min 1x per week","2010","66 and older","","","","","2"
"Never","2010","16-34 y.","","","","","5"
"Never","2010","35-65 y.","","","","","5"
"Never","2010","66 and older","","","","","5"
"Rarely","2010","35-65 y.","","","","","4"
"Rarely","2010","16-34 y.","","","","","4"
"Rarely","2010","66 and older","","","","","4"
"Daily","2011","16-34 y.","","","","","1"
"Daily","2011","35-65 y.","","","","","1"
"Daily","2011","66 and older","","","","","1"
"Min 1x per month","2011","16-34 y.","","","","","3"
"Min 1x per month","2011","35-65 y.","","","","","3"
"Min 1x per month","2011","66 and older","","","","","3"
"Min 1x per week","2011","16-34 y.","","","","","2"
"Min 1x per week","2011","35-65 y.","","","","","2"
"Min 1x per week","2011","66 and older","","","","","2"
"Never","2011","16-34 y.","","","","","5"
"Never","2011","35-65 y.","","","","","5"
"Never","2011","66 and older","","","","","5"
"Rarely","2011","35-65 y.","","","","","4"
"Rarely","2011","16-34 y.","","","","","4"
"Rarely","2011","66 and older","","","","","4"
"Daily","2012","16-34 y.","","","","","1"
"Daily","2012","35-65 y.","","","","","1"
"Daily","2012","66 and older","","","","","1"
"Min 1x per month","2012","16-34 y.","","","","","3"
"Min 1x per month","2012","35-65 y.","","","","","3"
"Min 1x per month","2012","66 and older","","","","","3"
"Min 1x per week","2012","16-34 y.","","","","","2"
"Min 1x per week","2012","35-65 y.","","","","","2"
"Min 1x per week","2012","66 and older","","","","","2"
"Never","2012","16-34 y.","","","","","5"
"Never","2012","35-65 y.","","","","","5"
"Never","2012","66 and older","","","","","5"
"Rarely","2012","16-34 y.","","","","","4"
"Rarely","2012","35-65 y.","","","","","4"
"Rarely","2012","66 and older","","","","","4"
"Daily","2013","16-34 y.","24","","","","1"
"Daily","2013","35-65 y.","18","","","","1"
"Daily","2013","66 and older","3","","","","1"
"Min 1x per month","2013","16-34 y.","684","0.139536886837376","0.130488131228967","0.148585642445784","3"
"Min 1x per month","2013","35-65 y.","1489","0.0954205367804073","0.0907041238421394","0.100136949718675","3"
"Min 1x per month","2013","66 and older","272","0.0499360628939965","0.0438713558455617","0.0560007699424312","3"
"Min 1x per week","2013","16-34 y.","523","0.109866627807651","0.101700077259594","0.118033178355709","2"
"Min 1x per week","2013","66 and older","127","0.0239491441475371","0.0196921065688424","0.0282061817262317","2"
"Min 1x per week","2013","35-65 y.","966","0.0545840362791719","0.0509372373242792","0.0582308352340645","2"
"Never","2013","16-34 y.","2631","0.402433612044313","0.389627466913048","0.415239757175578","5"
"Never","2013","35-65 y.","7636","0.514924116794988","0.506900983815121","0.522947249774855","5"
"Never","2013","66 and older","3472","0.730800855544424","0.71845097881144","0.743150732277408","5"
"Rarely","2013","16-34 y.","1771","0.341701223819685","0.329315739141875","0.354086708497495","4"
"Rarely","2013","35-65 y.","4797","0.333672022761895","0.326102448502894","0.341241597020895","4"
"Rarely","2013","66 and older","1081","0.194895615123768","0.18386617692126","0.205925053326277","4"
"Daily","2014","16-34 y.","","","","","1"
"Daily","2014","35-65 y.","","","","","1"
"Daily","2014","66 and older","","","","","1"
"Min 1x per month","2014","16-34 y.","","","","","3"
"Min 1x per month","2014","35-65 y.","","","","","3"
"Min 1x per month","2014","66 and older","","","","","3"
"Min 1x per week","2014","16-34 y.","","","","","2"
"Min 1x per week","2014","66 and older","","","","","2"
"Min 1x per week","2014","35-65 y.","","","","","2"
"Never","2014","16-34 y.","","","","","5"
"Never","2014","35-65 y.","","","","","5"
"Never","2014","66 and older","","","","","5"
"Rarely","2014","16-34 y.","","","","","4"
"Rarely","2014","35-65 y.","","","","","4"
"Rarely","2014","66 and older","","","","","4"
"Daily","2015","16-34 y.","","","","","1"
"Daily","2015","35-65 y.","","","","","1"
"Daily","2015","66 and older","","","","","1"
"Min 1x per month","2015","16-34 y.","","","","","3"
"Min 1x per month","2015","35-65 y.","","","","","3"
"Min 1x per month","2015","66 and older","","","","","3"
"Min 1x per week","2015","16-34 y.","","","","","2"
"Min 1x per week","2015","66 and older","","","","","2"
"Min 1x per week","2015","35-65 y.","","","","","2"
"Never","2015","16-34 y.","","","","","5"
"Never","2015","35-65 y.","","","","","5"
"Never","2015","66 and older","","","","","5"
"Rarely","2015","16-34 y.","","","","","4"
"Rarely","2015","35-65 y.","","","","","4"
"Rarely","2015","66 and older","","","","","4"
"Daily","2016","16-34 y.","","","","","1"
"Daily","2016","35-65 y.","","","","","1"
"Daily","2016","66 and older","","","","","1"
"Min 1x per month","2016","16-34 y.","","","","","3"
"Min 1x per month","2016","35-65 y.","","","","","3"
"Min 1x per month","2016","66 and older","","","","","3"
"Min 1x per week","2016","16-34 y.","","","","","2"
"Min 1x per week","2016","35-65 y.","","","","","2"
"Min 1x per week","2016","66 and older","","","","","2"
"Never","2016","16-34 y.","","","","","5"
"Never","2016","35-65 y.","","","","","5"
"Never","2016","66 and older","","","","","5"
"Rarely","2016","16-34 y.","","","","","4"
"Rarely","2016","66 and older","","","","","4"
"Rarely","2016","35-65 y.","","","","","4"
"Daily","2017","16-34 y.","43","0.0142368585407942","0.010153933037465","0.0183197840441233","1"
"Daily","2017","35-65 y.","16","","","","1"
"Daily","2017","66 and older","","","","","1"
"Min 1x per month","2017","16-34 y.","192","0.0694254197526812","0.0606652417102524","0.07818559779511","3"
"Min 1x per month","2017","35-65 y.","108","0.0452226693786921","0.0366214617111179","0.0538238770462662","3"
"Min 1x per month","2017","66 and older","2","","","","3"
"Min 1x per week","2017","35-65 y.","118","0.0581444687193396","0.0484577511702884","0.0678311862683908","2"
"Min 1x per week","2017","16-34 y.","208","0.0739369185175212","0.0649185279051491","0.0829553091298933","2"
"Min 1x per week","2017","66 and older","","","","","2"
"Never","2017","16-34 y.","2272","0.666310267325785","0.650058980404386","0.682561554247185","5"
"Never","2017","35-65 y.","1688","0.752835132676385","0.734979567739914","0.770690697612856","5"
"Never","2017","66 and older","51","0.957611157550805","0.903369802118581","1.01185251298303","5"
"Rarely","2017","16-34 y.","519","0.176090535863218","0.162962920709446","0.18921815101699","4"
"Rarely","2017","35-65 y.","312","0.138217202659477","0.123931215785529","0.152503189533426","4"
"Rarely","2017","66 and older","","","","","4"
"Daily","2018","16-34 y.","20","","","","1"
"Daily","2018","35-65 y.","16","","","","1"
"Daily","2018","66 and older","","","","","1"
"Min 1x per month","2018","16-34 y.","187","0.106667633634556","0.0932918836878465","0.120043383581265","3"
"Min 1x per month","2018","35-65 y.","151","0.0748983725008686","0.062652779379536","0.0871439656222011","3"
"Min 1x per month","2018","66 and older","1","","","","3"
"Min 1x per week","2018","16-34 y.","192","0.106784270486031","0.0934020833097833","0.120166457662279","2"
"Min 1x per week","2018","35-65 y.","120","0.0521233324828225","0.0417828473149507","0.0624638176506944","2"
"Min 1x per week","2018","66 and older","","","","","2"
"Never","2018","16-34 y.","1224","0.551343293811754","0.529792493321076","0.572894094302432","5"
"Never","2018","35-65 y.","1176","0.683434185250723","0.661795579773734","0.705072790727711","5"
"Never","2018","66 and older","27","","","","5"
"Rarely","2018","16-34 y.","423","0.22495773739192","0.206864826826265","0.243050647957575","4"
"Rarely","2018","35-65 y.","312","0.18018684750078","0.162306831766964","0.198066863234596","4"
"Rarely","2018","66 and older","3","","","","4"
"Daily","2019","35-65 y.","34","0.00159665785761464","0.000995094755744696","0.00219822095948458","1"
"Daily","2019","16-34 y.","36","0.00470502357464245","0.00312359395472783","0.00628645319455707","1"
"Daily","2019","66 and older","13","","","","1"
"Min 1x per month","2019","16-34 y.","798","0.138714872263774","0.130727056341837","0.146702688185711","3"
"Min 1x per month","2019","66 and older","347","0.0559287636453993","0.0497124946824913","0.0621450326083072","3"
"Min 1x per month","2019","35-65 y.","1808","0.104329820586823","0.0997240687558397","0.108935572417806","3"
"Min 1x per week","2019","35-65 y.","1052","0.0525867379263398","0.0492237129614653","0.0559497628912143","2"
"Min 1x per week","2019","16-34 y.","655","0.0793218043832268","0.0730766485129076","0.0855669602535459","2"
"Min 1x per week","2019","66 and older","170","0.0282092630880748","0.0237301497403461","0.0326883764358035","2"
"Never","2019","16-34 y.","3595","0.456004492400299","0.444494493607141","0.467514491193458","5"
"Never","2019","35-65 y.","8768","0.519009891826532","0.511481917388663","0.5265378662644","5"
"Never","2019","66 and older","3438","0.700973130350719","0.688587571782127","0.71335868891931","5"
"Rarely","2019","16-34 y.","2109","0.321253807378058","0.310462578451133","0.332045036304983","4"
"Rarely","2019","35-65 y.","5260","0.322476891802691","0.315434282413461","0.329519501191921","4"
"Rarely","2019","66 and older","1281","0.21295993284149","0.201884590063661","0.224035275619318","4"
