"pli0089","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1993","Rural Area","Female","","","","","1"
"Daily","1993","Rural Area","Male","","","","","1"
"Min 1x per month","1993","Urban Area","Male","","","","","3"
"Min 1x per month","1993","Urban Area","Female","","","","","3"
"Min 1x per month","1993","Rural Area","Female","","","","","3"
"Min 1x per month","1993","Rural Area","Male","","","","","3"
"Min 1x per week","1993","Urban Area","Male","","","","","2"
"Min 1x per week","1993","Rural Area","Male","","","","","2"
"Min 1x per week","1993","Rural Area","Female","","","","","2"
"Min 1x per week","1993","Urban Area","Female","","","","","2"
"Never","1993","Urban Area","Male","","","","","5"
"Never","1993","Urban Area","Female","","","","","5"
"Never","1993","Rural Area","Male","","","","","5"
"Never","1993","Rural Area","Female","","","","","5"
"Rarely","1993","Rural Area","Male","","","","","4"
"Rarely","1993","Urban Area","Male","","","","","4"
"Rarely","1993","Urban Area","Female","","","","","4"
"Rarely","1993","Rural Area","Female","","","","","4"
"Daily","1994","Urban Area","Male","","","","","1"
"Daily","1994","Rural Area","Female","","","","","1"
"Daily","1994","Urban Area","Female","","","","","1"
"Daily","1994","Rural Area","Male","","","","","1"
"Min 1x per month","1994","Rural Area","Male","","","","","3"
"Min 1x per month","1994","Rural Area","Female","","","","","3"
"Min 1x per month","1994","Urban Area","Male","","","","","3"
"Min 1x per month","1994","Urban Area","Female","","","","","3"
"Min 1x per week","1994","Rural Area","Female","","","","","2"
"Min 1x per week","1994","Rural Area","Male","","","","","2"
"Min 1x per week","1994","Urban Area","Male","","","","","2"
"Min 1x per week","1994","Urban Area","Female","","","","","2"
"Never","1994","Urban Area","Male","","","","","5"
"Never","1994","Urban Area","Female","","","","","5"
"Never","1994","Rural Area","Male","","","","","5"
"Never","1994","Rural Area","Female","","","","","5"
"Rarely","1994","Rural Area","Female","","","","","4"
"Rarely","1994","Rural Area","Male","","","","","4"
"Rarely","1994","Urban Area","Male","","","","","4"
"Rarely","1994","Urban Area","Female","","","","","4"
"Daily","1995","Urban Area","Male","18","","","","1"
"Daily","1995","Rural Area","Female","1","","","","1"
"Daily","1995","Urban Area","Female","1","","","","1"
"Daily","1995","Rural Area","Male","3","","","","1"
"Min 1x per month","1995","Rural Area","Female","106","0.0443518889978671","0.0359216359652035","0.0527821420305306","3"
"Min 1x per month","1995","Urban Area","Male","451","0.0968309994379189","0.0879264781259243","0.105735520749913","3"
"Min 1x per month","1995","Rural Area","Male","244","0.117157227123782","0.103569300820584","0.130745153426981","3"
"Min 1x per month","1995","Urban Area","Female","229","0.0463074737119258","0.0402212895986341","0.0523936578252176","3"
"Min 1x per week","1995","Rural Area","Female","50","0.0241954210619133","0.0179034956668425","0.0304873464569842","2"
"Min 1x per week","1995","Urban Area","Female","123","0.0304944243059902","0.025514752428557","0.0354740961834233","2"
"Min 1x per week","1995","Rural Area","Male","179","0.0816007711973257","0.0700345939259453","0.0931669484687061","2"
"Min 1x per week","1995","Urban Area","Male","317","0.0710867297595769","0.0633492288977544","0.0788242306213994","2"
"Never","1995","Urban Area","Female","3295","0.722105460083403","0.709132004378564","0.735078915788241","5"
"Never","1995","Urban Area","Male","2118","0.510521439777602","0.49546949249272","0.525573387062484","5"
"Never","1995","Rural Area","Male","976","0.453426154689259","0.432392987967639","0.474459321410879","5"
"Never","1995","Rural Area","Female","1579","0.703879745958002","0.685185031447075","0.722574460468928","5"
"Rarely","1995","Urban Area","Female","932","0.20101023464768","0.189403901151421","0.21261656814394","4"
"Rarely","1995","Rural Area","Female","555","0.227131222014871","0.209974795011349","0.244287649018394","4"
"Rarely","1995","Urban Area","Male","1333","0.318567911652063","0.304538767958102","0.332597055346025","4"
"Rarely","1995","Rural Area","Male","750","0.346166927078162","0.326066597135128","0.366267257021195","4"
"Daily","1996","Rural Area","Female","","","","","1"
"Daily","1996","Urban Area","Male","","","","","1"
"Daily","1996","Urban Area","Female","","","","","1"
"Daily","1996","Rural Area","Male","","","","","1"
"Min 1x per month","1996","Rural Area","Female","","","","","3"
"Min 1x per month","1996","Urban Area","Female","","","","","3"
"Min 1x per month","1996","Rural Area","Male","","","","","3"
"Min 1x per month","1996","Urban Area","Male","","","","","3"
"Min 1x per week","1996","Rural Area","Male","","","","","2"
"Min 1x per week","1996","Rural Area","Female","","","","","2"
"Min 1x per week","1996","Urban Area","Female","","","","","2"
"Min 1x per week","1996","Urban Area","Male","","","","","2"
"Never","1996","Urban Area","Female","","","","","5"
"Never","1996","Urban Area","Male","","","","","5"
"Never","1996","Rural Area","Male","","","","","5"
"Never","1996","Rural Area","Female","","","","","5"
"Rarely","1996","Rural Area","Male","","","","","4"
"Rarely","1996","Urban Area","Female","","","","","4"
"Rarely","1996","Rural Area","Female","","","","","4"
"Rarely","1996","Urban Area","Male","","","","","4"
"Daily","1997","Urban Area","Male","","","","","1"
"Daily","1997","Rural Area","Male","","","","","1"
"Daily","1997","Rural Area","Female","","","","","1"
"Daily","1997","Urban Area","Female","","","","","1"
"Min 1x per month","1997","Rural Area","Female","","","","","3"
"Min 1x per month","1997","Rural Area","Male","","","","","3"
"Min 1x per month","1997","Urban Area","Female","","","","","3"
"Min 1x per month","1997","Urban Area","Male","","","","","3"
"Min 1x per week","1997","Rural Area","Female","","","","","2"
"Min 1x per week","1997","Rural Area","Male","","","","","2"
"Min 1x per week","1997","Urban Area","Male","","","","","2"
"Min 1x per week","1997","Urban Area","Female","","","","","2"
"Never","1997","Urban Area","Male","","","","","5"
"Never","1997","Urban Area","Female","","","","","5"
"Never","1997","Rural Area","Male","","","","","5"
"Never","1997","Rural Area","Female","","","","","5"
"Rarely","1997","Rural Area","Female","","","","","4"
"Rarely","1997","Urban Area","Male","","","","","4"
"Rarely","1997","Rural Area","Male","","","","","4"
"Rarely","1997","Urban Area","Female","","","","","4"
"Daily","1998","Urban Area","Male","9","","","","1"
"Daily","1998","Rural Area","Female","3","","","","1"
"Daily","1998","Rural Area","Male","2","","","","1"
"Daily","1998","Urban Area","Female","2","","","","1"
"Min 1x per month","1998","Rural Area","Male","284","0.119163864320471","0.106103833387853","0.13222389525309","3"
"Min 1x per month","1998","Rural Area","Female","117","0.0428125233874477","0.0348404919124171","0.0507845548624783","3"
"Min 1x per month","1998","Urban Area","Male","507","0.110861452676409","0.10169648074339","0.120026424609428","3"
"Min 1x per month","1998","Urban Area","Female","218","0.0411122860455799","0.0355186384698459","0.046705933621314","3"
"Min 1x per week","1998","Urban Area","Female","113","0.023204197053736","0.0189627839372502","0.0274456101702218","2"
"Min 1x per week","1998","Rural Area","Female","85","0.0332460512497584","0.0261859147120523","0.0403061877874645","2"
"Min 1x per week","1998","Rural Area","Male","197","0.0842803843824639","0.0730816519738558","0.0954791167910719","2"
"Min 1x per week","1998","Urban Area","Male","329","0.0708301488945388","0.0633413396287783","0.0783189581602993","2"
"Never","1998","Urban Area","Male","2104","0.467122361293673","0.452558208911479","0.481686513675867","5"
"Never","1998","Urban Area","Female","3309","0.687918158941547","0.674864626684952","0.700971691198142","5"
"Never","1998","Rural Area","Male","1048","0.465498890225936","0.445391394478933","0.485606385972939","5"
"Never","1998","Rural Area","Female","1597","0.663295928857109","0.644685219048091","0.681906638666127","5"
"Rarely","1998","Rural Area","Female","675","0.259616894529515","0.242351368555139","0.276882420503892","4"
"Rarely","1998","Urban Area","Female","1198","0.24742480105466","0.235267925357389","0.259581676751931","4"
"Rarely","1998","Urban Area","Male","1559","0.348887296045185","0.33497410335953","0.362800488730839","4"
"Rarely","1998","Rural Area","Male","833","0.330444978356903","0.31148372379039","0.349406232923417","4"
"Daily","1999","Urban Area","Male","","","","","1"
"Daily","1999","Rural Area","Female","","","","","1"
"Daily","1999","Urban Area","Female","","","","","1"
"Daily","1999","Rural Area","Male","","","","","1"
"Min 1x per month","1999","Rural Area","Female","","","","","3"
"Min 1x per month","1999","Rural Area","Male","","","","","3"
"Min 1x per month","1999","Urban Area","Female","","","","","3"
"Min 1x per month","1999","Urban Area","Male","","","","","3"
"Min 1x per week","1999","Rural Area","Male","","","","","2"
"Min 1x per week","1999","Urban Area","Female","","","","","2"
"Min 1x per week","1999","Rural Area","Female","","","","","2"
"Min 1x per week","1999","Urban Area","Male","","","","","2"
"Never","1999","Urban Area","Male","","","","","5"
"Never","1999","Urban Area","Female","","","","","5"
"Never","1999","Rural Area","Male","","","","","5"
"Never","1999","Rural Area","Female","","","","","5"
"Rarely","1999","Rural Area","Male","","","","","4"
"Rarely","1999","Rural Area","Female","","","","","4"
"Rarely","1999","Urban Area","Female","","","","","4"
"Rarely","1999","Urban Area","Male","","","","","4"
"Daily","2000","Urban Area","Male","","","","","1"
"Daily","2000","Rural Area","Male","","","","","1"
"Daily","2000","Rural Area","Female","","","","","1"
"Daily","2000","Urban Area","Female","","","","","1"
"Min 1x per month","2000","Rural Area","Female","","","","","3"
"Min 1x per month","2000","Urban Area","Female","","","","","3"
"Min 1x per month","2000","Rural Area","Male","","","","","3"
"Min 1x per month","2000","Urban Area","Male","","","","","3"
"Min 1x per week","2000","Rural Area","Female","","","","","2"
"Min 1x per week","2000","Urban Area","Male","","","","","2"
"Min 1x per week","2000","Rural Area","Male","","","","","2"
"Min 1x per week","2000","Urban Area","Female","","","","","2"
"Never","2000","Urban Area","Male","","","","","5"
"Never","2000","Urban Area","Female","","","","","5"
"Never","2000","Rural Area","Male","","","","","5"
"Never","2000","Rural Area","Female","","","","","5"
"Rarely","2000","Rural Area","Female","","","","","4"
"Rarely","2000","Rural Area","Male","","","","","4"
"Rarely","2000","Urban Area","Male","","","","","4"
"Rarely","2000","Urban Area","Female","","","","","4"
"Daily","2001","Urban Area","Male","","","","","1"
"Daily","2001","Rural Area","Male","","","","","1"
"Daily","2001","Rural Area","Female","","","","","1"
"Daily","2001","Urban Area","Female","","","","","1"
"Min 1x per month","2001","Rural Area","Male","","","","","3"
"Min 1x per month","2001","Urban Area","Female","","","","","3"
"Min 1x per month","2001","Rural Area","Female","","","","","3"
"Min 1x per month","2001","Urban Area","Male","","","","","3"
"Min 1x per week","2001","Urban Area","Female","","","","","2"
"Min 1x per week","2001","Rural Area","Female","","","","","2"
"Min 1x per week","2001","Urban Area","Male","","","","","2"
"Min 1x per week","2001","Rural Area","Male","","","","","2"
"Never","2001","Urban Area","Female","","","","","5"
"Never","2001","Urban Area","Male","","","","","5"
"Never","2001","Rural Area","Male","","","","","5"
"Never","2001","Rural Area","Female","","","","","5"
"Rarely","2001","Rural Area","Female","","","","","4"
"Rarely","2001","Urban Area","Female","","","","","4"
"Rarely","2001","Rural Area","Male","","","","","4"
"Rarely","2001","Urban Area","Male","","","","","4"
"Daily","2002","Urban Area","Male","","","","","1"
"Daily","2002","Urban Area","Female","","","","","1"
"Daily","2002","Rural Area","Male","","","","","1"
"Daily","2002","Rural Area","Female","","","","","1"
"Min 1x per month","2002","Rural Area","Male","","","","","3"
"Min 1x per month","2002","Rural Area","Female","","","","","3"
"Min 1x per month","2002","Urban Area","Male","","","","","3"
"Min 1x per month","2002","Urban Area","Female","","","","","3"
"Min 1x per week","2002","Rural Area","Male","","","","","2"
"Min 1x per week","2002","Urban Area","Female","","","","","2"
"Min 1x per week","2002","Rural Area","Female","","","","","2"
"Min 1x per week","2002","Urban Area","Male","","","","","2"
"Never","2002","Urban Area","Male","","","","","5"
"Never","2002","Urban Area","Female","","","","","5"
"Never","2002","Rural Area","Male","","","","","5"
"Never","2002","Rural Area","Female","","","","","5"
"Rarely","2002","Rural Area","Male","","","","","4"
"Rarely","2002","Rural Area","Female","","","","","4"
"Rarely","2002","Urban Area","Female","","","","","4"
"Rarely","2002","Urban Area","Male","","","","","4"
"Daily","2003","Urban Area","Male","13","","","","1"
"Daily","2003","Urban Area","Female","8","","","","1"
"Daily","2003","Rural Area","Male","8","","","","1"
"Daily","2003","Rural Area","Female","2","","","","1"
"Min 1x per month","2003","Urban Area","Female","401","0.0416561558965392","0.0371922417300278","0.0461200700630507","3"
"Min 1x per month","2003","Urban Area","Male","793","0.109303411866866","0.102051299821854","0.116555523911877","3"
"Min 1x per month","2003","Rural Area","Male","386","0.106677388371493","0.096503876128909","0.116850900614078","3"
"Min 1x per month","2003","Rural Area","Female","199","0.0465405085907999","0.0398126846366868","0.053268332544913","3"
"Min 1x per week","2003","Urban Area","Male","460","0.0633420930948203","0.0576807502169303","0.0690034359727103","2"
"Min 1x per week","2003","Rural Area","Male","260","0.0701858299986969","0.0617669685678722","0.0786046914295215","2"
"Min 1x per week","2003","Rural Area","Female","123","0.0332551892956444","0.0275286325302445","0.0389817460610443","2"
"Min 1x per week","2003","Urban Area","Female","264","0.027601659675721","0.0239414559027386","0.0312618634487034","2"
"Never","2003","Urban Area","Female","5190","0.710529855794967","0.700397542359736","0.720662169230198","5"
"Never","2003","Urban Area","Male","3403","0.49458084062799","0.482960275570034","0.506201405685946","5"
"Never","2003","Rural Area","Male","1596","0.449105402659035","0.432713137991246","0.465497667326825","5"
"Never","2003","Rural Area","Female","2454","0.676103620300912","0.661157873834438","0.691049366767386","5"
"Rarely","2003","Rural Area","Male","1287","0.372538863242458","0.356605415159415","0.388472311325501","4"
"Rarely","2003","Urban Area","Male","2442","0.331361679772414","0.320421372380117","0.34230198716471","4"
"Rarely","2003","Urban Area","Female","1833","0.219035236764314","0.209794889894247","0.228275583634382","4"
"Rarely","2003","Rural Area","Female","988","0.242354405472306","0.228668723499922","0.256040087444691","4"
"Daily","2004","Urban Area","Male","","","","","1"
"Daily","2004","Urban Area","Female","","","","","1"
"Daily","2004","Rural Area","Male","","","","","1"
"Daily","2004","Rural Area","Female","","","","","1"
"Min 1x per month","2004","Urban Area","Female","","","","","3"
"Min 1x per month","2004","Rural Area","Male","","","","","3"
"Min 1x per month","2004","Urban Area","Male","","","","","3"
"Min 1x per month","2004","Rural Area","Female","","","","","3"
"Min 1x per week","2004","Urban Area","Female","","","","","2"
"Min 1x per week","2004","Rural Area","Female","","","","","2"
"Min 1x per week","2004","Urban Area","Male","","","","","2"
"Min 1x per week","2004","Rural Area","Male","","","","","2"
"Never","2004","Urban Area","Female","","","","","5"
"Never","2004","Urban Area","Male","","","","","5"
"Never","2004","Rural Area","Male","","","","","5"
"Never","2004","Rural Area","Female","","","","","5"
"Rarely","2004","Rural Area","Female","","","","","4"
"Rarely","2004","Urban Area","Female","","","","","4"
"Rarely","2004","Rural Area","Male","","","","","4"
"Rarely","2004","Urban Area","Male","","","","","4"
"Daily","2005","Urban Area","Male","","","","","1"
"Daily","2005","Urban Area","Female","","","","","1"
"Daily","2005","Rural Area","Female","","","","","1"
"Daily","2005","Rural Area","Male","","","","","1"
"Min 1x per month","2005","Urban Area","Male","","","","","3"
"Min 1x per month","2005","Rural Area","Female","","","","","3"
"Min 1x per month","2005","Urban Area","Female","","","","","3"
"Min 1x per month","2005","Rural Area","Male","","","","","3"
"Min 1x per week","2005","Rural Area","Female","","","","","2"
"Min 1x per week","2005","Urban Area","Female","","","","","2"
"Min 1x per week","2005","Rural Area","Male","","","","","2"
"Min 1x per week","2005","Urban Area","Male","","","","","2"
"Never","2005","Urban Area","Male","","","","","5"
"Never","2005","Urban Area","Female","","","","","5"
"Never","2005","Rural Area","Male","","","","","5"
"Never","2005","Rural Area","Female","","","","","5"
"Rarely","2005","Urban Area","Female","","","","","4"
"Rarely","2005","Rural Area","Female","","","","","4"
"Rarely","2005","Urban Area","Male","","","","","4"
"Rarely","2005","Rural Area","Male","","","","","4"
"Daily","2006","Urban Area","Male","","","","","1"
"Daily","2006","Urban Area","Female","","","","","1"
"Daily","2006","Rural Area","Female","","","","","1"
"Daily","2006","Rural Area","Male","","","","","1"
"Min 1x per month","2006","Urban Area","Male","","","","","3"
"Min 1x per month","2006","Urban Area","Female","","","","","3"
"Min 1x per month","2006","Rural Area","Female","","","","","3"
"Min 1x per month","2006","Rural Area","Male","","","","","3"
"Min 1x per week","2006","Urban Area","Male","","","","","2"
"Min 1x per week","2006","Rural Area","Male","","","","","2"
"Min 1x per week","2006","Rural Area","Female","","","","","2"
"Min 1x per week","2006","Urban Area","Female","","","","","2"
"Never","2006","Urban Area","Male","","","","","5"
"Never","2006","Urban Area","Female","","","","","5"
"Never","2006","Rural Area","Male","","","","","5"
"Never","2006","Rural Area","Female","","","","","5"
"Rarely","2006","Rural Area","Male","","","","","4"
"Rarely","2006","Urban Area","Male","","","","","4"
"Rarely","2006","Urban Area","Female","","","","","4"
"Rarely","2006","Rural Area","Female","","","","","4"
"Daily","2007","Urban Area","Male","","","","","1"
"Daily","2007","Urban Area","Female","","","","","1"
"Daily","2007","Rural Area","Male","","","","","1"
"Daily","2007","Rural Area","Female","","","","","1"
"Min 1x per month","2007","Rural Area","Male","","","","","3"
"Min 1x per month","2007","Rural Area","Female","","","","","3"
"Min 1x per month","2007","Urban Area","Male","","","","","3"
"Min 1x per month","2007","Urban Area","Female","","","","","3"
"Min 1x per week","2007","Rural Area","Female","","","","","2"
"Min 1x per week","2007","Rural Area","Male","","","","","2"
"Min 1x per week","2007","Urban Area","Male","","","","","2"
"Min 1x per week","2007","Urban Area","Female","","","","","2"
"Never","2007","Urban Area","Male","","","","","5"
"Never","2007","Urban Area","Female","","","","","5"
"Never","2007","Rural Area","Male","","","","","5"
"Never","2007","Rural Area","Female","","","","","5"
"Rarely","2007","Rural Area","Female","","","","","4"
"Rarely","2007","Urban Area","Male","","","","","4"
"Rarely","2007","Rural Area","Male","","","","","4"
"Rarely","2007","Urban Area","Female","","","","","4"
"Daily","2008","Urban Area","Male","12","","","","1"
"Daily","2008","Urban Area","Female","6","","","","1"
"Daily","2008","Rural Area","Female","4","","","","1"
"Daily","2008","Rural Area","Male","10","","","","1"
"Min 1x per month","2008","Rural Area","Female","178","0.0523490614641962","0.0448502755476665","0.0598478473807259","3"
"Min 1x per month","2008","Urban Area","Male","710","0.121577565106675","0.113346925457418","0.129808204755932","3"
"Min 1x per month","2008","Rural Area","Male","355","0.103098468717263","0.0924893799317833","0.113707557502744","3"
"Min 1x per month","2008","Urban Area","Female","365","0.0522857015534069","0.0469666366951916","0.0576047664116222","3"
"Min 1x per week","2008","Rural Area","Female","132","0.0410172538604122","0.0343399522482548","0.0476945554725695","2"
"Min 1x per week","2008","Urban Area","Female","216","0.0295694226938045","0.025521718576632","0.033617126810977","2"
"Min 1x per week","2008","Rural Area","Male","232","0.084826969032265","0.075106254817726","0.094547683246804","2"
"Min 1x per week","2008","Urban Area","Male","345","0.0563555891849053","0.0505475726908548","0.0621636056789558","2"
"Never","2008","Rural Area","Male","1490","0.466480659259695","0.449075760608657","0.483885557910733","5"
"Never","2008","Urban Area","Male","2876","0.473745562973812","0.461170052572171","0.486321073375453","5"
"Never","2008","Urban Area","Female","4416","0.675250760369664","0.664061233795938","0.68644028694339","5"
"Never","2008","Rural Area","Female","2220","0.663427102390767","0.647517897240561","0.679336307540973","5"
"Rarely","2008","Urban Area","Female","1725","0.242423909458146","0.232183768030426","0.252664050885866","4"
"Rarely","2008","Rural Area","Female","855","0.242910623101879","0.228472553309431","0.257348692894327","4"
"Rarely","2008","Urban Area","Male","2113","0.346971399630086","0.334982809907123","0.35895998935305","4"
"Rarely","2008","Rural Area","Male","1069","0.342836859216368","0.326276873954224","0.359396844478513","4"
"Daily","2009","Urban Area","Male","","","","","1"
"Daily","2009","Urban Area","Female","","","","","1"
"Daily","2009","Rural Area","Male","","","","","1"
"Daily","2009","Rural Area","Female","","","","","1"
"Min 1x per month","2009","Rural Area","Female","","","","","3"
"Min 1x per month","2009","Urban Area","Female","","","","","3"
"Min 1x per month","2009","Rural Area","Male","","","","","3"
"Min 1x per month","2009","Urban Area","Male","","","","","3"
"Min 1x per week","2009","Rural Area","Male","","","","","2"
"Min 1x per week","2009","Rural Area","Female","","","","","2"
"Min 1x per week","2009","Urban Area","Female","","","","","2"
"Min 1x per week","2009","Urban Area","Male","","","","","2"
"Never","2009","Rural Area","Male","","","","","5"
"Never","2009","Urban Area","Male","","","","","5"
"Never","2009","Urban Area","Female","","","","","5"
"Never","2009","Rural Area","Female","","","","","5"
"Rarely","2009","Rural Area","Male","","","","","4"
"Rarely","2009","Urban Area","Female","","","","","4"
"Rarely","2009","Rural Area","Female","","","","","4"
"Rarely","2009","Urban Area","Male","","","","","4"
"Daily","2010","Urban Area","Male","","","","","1"
"Daily","2010","Urban Area","Female","","","","","1"
"Daily","2010","Rural Area","Male","","","","","1"
"Daily","2010","Rural Area","Female","","","","","1"
"Min 1x per month","2010","Rural Area","Female","","","","","3"
"Min 1x per month","2010","Rural Area","Male","","","","","3"
"Min 1x per month","2010","Urban Area","Female","","","","","3"
"Min 1x per month","2010","Urban Area","Male","","","","","3"
"Min 1x per week","2010","Rural Area","Female","","","","","2"
"Min 1x per week","2010","Rural Area","Male","","","","","2"
"Min 1x per week","2010","Urban Area","Male","","","","","2"
"Min 1x per week","2010","Urban Area","Female","","","","","2"
"Never","2010","Urban Area","Female","","","","","5"
"Never","2010","Rural Area","Male","","","","","5"
"Never","2010","Urban Area","Male","","","","","5"
"Never","2010","Rural Area","Female","","","","","5"
"Rarely","2010","Rural Area","Female","","","","","4"
"Rarely","2010","Urban Area","Male","","","","","4"
"Rarely","2010","Rural Area","Male","","","","","4"
"Rarely","2010","Urban Area","Female","","","","","4"
"Daily","2011","Urban Area","Male","","","","","1"
"Daily","2011","Urban Area","Female","","","","","1"
"Daily","2011","Rural Area","Male","","","","","1"
"Daily","2011","Rural Area","Female","","","","","1"
"Min 1x per month","2011","Rural Area","Male","","","","","3"
"Min 1x per month","2011","Rural Area","Female","","","","","3"
"Min 1x per month","2011","Urban Area","Male","","","","","3"
"Min 1x per month","2011","Urban Area","Female","","","","","3"
"Min 1x per week","2011","Urban Area","Female","","","","","2"
"Min 1x per week","2011","Rural Area","Female","","","","","2"
"Min 1x per week","2011","Rural Area","Male","","","","","2"
"Min 1x per week","2011","Urban Area","Male","","","","","2"
"Never","2011","Rural Area","Male","","","","","5"
"Never","2011","Urban Area","Female","","","","","5"
"Never","2011","Urban Area","Male","","","","","5"
"Never","2011","Rural Area","Female","","","","","5"
"Rarely","2011","Rural Area","Female","","","","","4"
"Rarely","2011","Urban Area","Female","","","","","4"
"Rarely","2011","Urban Area","Male","","","","","4"
"Rarely","2011","Rural Area","Male","","","","","4"
"Daily","2012","Urban Area","Male","","","","","1"
"Daily","2012","Urban Area","Female","","","","","1"
"Daily","2012","Rural Area","Male","","","","","1"
"Daily","2012","Rural Area","Female","","","","","1"
"Min 1x per month","2012","Rural Area","Female","","","","","3"
"Min 1x per month","2012","Rural Area","Male","","","","","3"
"Min 1x per month","2012","Urban Area","Female","","","","","3"
"Min 1x per month","2012","Urban Area","Male","","","","","3"
"Min 1x per week","2012","Rural Area","Male","","","","","2"
"Min 1x per week","2012","Urban Area","Female","","","","","2"
"Min 1x per week","2012","Rural Area","Female","","","","","2"
"Min 1x per week","2012","Urban Area","Male","","","","","2"
"Never","2012","Rural Area","Male","","","","","5"
"Never","2012","Urban Area","Male","","","","","5"
"Never","2012","Urban Area","Female","","","","","5"
"Never","2012","Rural Area","Female","","","","","5"
"Rarely","2012","Rural Area","Male","","","","","4"
"Rarely","2012","Rural Area","Female","","","","","4"
"Rarely","2012","Urban Area","Female","","","","","4"
"Rarely","2012","Urban Area","Male","","","","","4"
"Daily","2013","Urban Area","Male","15","","","","1"
"Daily","2013","Urban Area","Female","17","","","","1"
"Daily","2013","Rural Area","Female","6","","","","1"
"Daily","2013","Rural Area","Male","7","","","","1"
"Min 1x per month","2013","Rural Area","Female","371","0.0706466633954359","0.063502802666146","0.0777905241247259","3"
"Min 1x per month","2013","Urban Area","Female","628","0.0577772269468964","0.052959247502172","0.0625952063916208","3"
"Min 1x per month","2013","Rural Area","Male","514","0.123908036983386","0.113938960274902","0.13387711369187","3"
