"pli0089","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Saxony","lower secondary degree","","","",""
"Daily","1990","Saxony","secondary school degree","","","",""
"Daily","1990","Saxony","college entrance qualification","","","",""
"Daily","1990","Saxony","Other degree","","","",""
"Daily","1990","Saxony","no degree/no degree yet","","","",""
"Daily","1990","Saxony-Anhalt","lower secondary degree","","","",""
"Daily","1990","Saxony-Anhalt","secondary school degree","","","",""
"Daily","1990","Saxony-Anhalt","college entrance qualification","","","",""
"Daily","1990","Saxony-Anhalt","Other degree","","","",""
"Daily","1990","Saxony-Anhalt","no degree/no degree yet","","","",""
"Daily","1990","Thuringia","lower secondary degree","","","",""
"Daily","1990","Thuringia","secondary school degree","","","",""
"Daily","1990","Thuringia","college entrance qualification","","","",""
"Daily","1990","Thuringia","Other degree","","","",""
"Daily","1990","Thuringia","no degree/no degree yet","","","",""
"Min 1x per week","1990","Schleswig-Holstein","lower secondary degree","11","","",""
"Min 1x per week","1990","Schleswig-Holstein","secondary school degree","3","","",""
"Min 1x per week","1990","Schleswig-Holstein","college entrance qualification","4","","",""
"Min 1x per week","1990","Schleswig-Holstein","Other degree","3","","",""
"Min 1x per week","1990","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Min 1x per week","1990","Hamburg","lower secondary degree","","","",""
"Min 1x per week","1990","Hamburg","secondary school degree","1","","",""
"Min 1x per week","1990","Hamburg","college entrance qualification","","","",""
"Min 1x per week","1990","Hamburg","Other degree","","","",""
"Min 1x per week","1990","Hamburg","no degree/no degree yet","1","","",""
"Min 1x per week","1990","Lower Saxony","lower secondary degree","35","0.0648973335384613","0.0433262330313586","0.0864684340455641"
"Min 1x per week","1990","Lower Saxony","secondary school degree","20","","",""
"Min 1x per week","1990","Lower Saxony","college entrance qualification","7","","",""
"Min 1x per week","1990","Lower Saxony","Other degree","5","","",""
"Min 1x per week","1990","Lower Saxony","no degree/no degree yet","5","","",""
"Min 1x per week","1990","Bremen","lower secondary degree","","","",""
"Min 1x per week","1990","Bremen","secondary school degree","3","","",""
"Min 1x per week","1990","Bremen","college entrance qualification","1","","",""
"Min 1x per week","1990","Bremen","Other degree","","","",""
"Min 1x per week","1990","Bremen","no degree/no degree yet","","","",""
"Min 1x per week","1990","North Rhine-Westphalia","lower secondary degree","59","0.046685253069623","0.0345134981018023","0.0588570080374437"
"Min 1x per week","1990","North Rhine-Westphalia","secondary school degree","37","0.0792636713982527","0.0544137570400076","0.104113585756498"
"Min 1x per week","1990","North Rhine-Westphalia","college entrance qualification","30","0.0712591187613381","0.0451867917325184","0.0973314457901578"
"Min 1x per week","1990","North Rhine-Westphalia","Other degree","21","","",""
"Min 1x per week","1990","North Rhine-Westphalia","no degree/no degree yet","23","","",""
"Min 1x per week","1990","Hesse","lower secondary degree","29","","",""
"Min 1x per week","1990","Hesse","secondary school degree","16","","",""
"Min 1x per week","1990","Hesse","college entrance qualification","13","","",""
"Min 1x per week","1990","Hesse","Other degree","12","","",""
"Min 1x per week","1990","Hesse","no degree/no degree yet","6","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","lower secondary degree","37","0.0753535404907683","0.0498653402849484","0.100841740696588"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","secondary school degree","7","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","college entrance qualification","6","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","no degree/no degree yet","2","","",""
"Min 1x per week","1990","Baden-Württemberg","lower secondary degree","77","0.0621733692989955","0.0458439052827019","0.0785028333152891"
"Min 1x per week","1990","Baden-Württemberg","secondary school degree","19","","",""
"Min 1x per week","1990","Baden-Württemberg","college entrance qualification","10","","",""
"Min 1x per week","1990","Baden-Württemberg","Other degree","31","0.1454498150735","0.102678440243859","0.188221189903142"
"Min 1x per week","1990","Baden-Württemberg","no degree/no degree yet","8","","",""
"Min 1x per week","1990","Bavaria","lower secondary degree","64","0.0738367502516513","0.0558167874850671","0.0918567130182354"
"Min 1x per week","1990","Bavaria","secondary school degree","23","","",""
"Min 1x per week","1990","Bavaria","college entrance qualification","6","","",""
"Min 1x per week","1990","Bavaria","Other degree","6","","",""
"Min 1x per week","1990","Bavaria","no degree/no degree yet","7","","",""
"Min 1x per week","1990","Berlin","lower secondary degree","4","","",""
"Min 1x per week","1990","Berlin","secondary school degree","2","","",""
"Min 1x per week","1990","Berlin","college entrance qualification","4","","",""
"Min 1x per week","1990","Berlin","Other degree","2","","",""
"Min 1x per week","1990","Berlin","no degree/no degree yet","2","","",""
"Min 1x per week","1990","Brandenburg","lower secondary degree","","","",""
"Min 1x per week","1990","Brandenburg","secondary school degree","","","",""
"Min 1x per week","1990","Brandenburg","college entrance qualification","","","",""
"Min 1x per week","1990","Brandenburg","Other degree","","","",""
"Min 1x per week","1990","Brandenburg","no degree/no degree yet","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Other degree","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Min 1x per week","1990","Saxony","lower secondary degree","","","",""
"Min 1x per week","1990","Saxony","secondary school degree","","","",""
"Min 1x per week","1990","Saxony","college entrance qualification","","","",""
"Min 1x per week","1990","Saxony","Other degree","","","",""
"Min 1x per week","1990","Saxony","no degree/no degree yet","","","",""
"Min 1x per week","1990","Saxony-Anhalt","lower secondary degree","","","",""
"Min 1x per week","1990","Saxony-Anhalt","secondary school degree","","","",""
"Min 1x per week","1990","Saxony-Anhalt","college entrance qualification","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Other degree","","","",""
"Min 1x per week","1990","Saxony-Anhalt","no degree/no degree yet","","","",""
"Min 1x per week","1990","Thuringia","lower secondary degree","","","",""
"Min 1x per week","1990","Thuringia","secondary school degree","","","",""
"Min 1x per week","1990","Thuringia","college entrance qualification","","","",""
"Min 1x per week","1990","Thuringia","Other degree","","","",""
"Min 1x per week","1990","Thuringia","no degree/no degree yet","","","",""
"Min 1x per month","1990","Schleswig-Holstein","lower secondary degree","12","","",""
"Min 1x per month","1990","Schleswig-Holstein","secondary school degree","7","","",""
"Min 1x per month","1990","Schleswig-Holstein","college entrance qualification","1","","",""
"Min 1x per month","1990","Schleswig-Holstein","Other degree","1","","",""
"Min 1x per month","1990","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Min 1x per month","1990","Hamburg","lower secondary degree","10","","",""
"Min 1x per month","1990","Hamburg","secondary school degree","3","","",""
"Min 1x per month","1990","Hamburg","college entrance qualification","1","","",""
"Min 1x per month","1990","Hamburg","Other degree","3","","",""
"Min 1x per month","1990","Hamburg","no degree/no degree yet","1","","",""
"Min 1x per month","1990","Lower Saxony","lower secondary degree","35","0.0551224969658683","0.0351385428618653","0.0751064510698713"
"Min 1x per month","1990","Lower Saxony","secondary school degree","26","","",""
"Min 1x per month","1990","Lower Saxony","college entrance qualification","11","","",""
"Min 1x per month","1990","Lower Saxony","Other degree","6","","",""
"Min 1x per month","1990","Lower Saxony","no degree/no degree yet","6","","",""
"Min 1x per month","1990","Bremen","lower secondary degree","2","","",""
"Min 1x per month","1990","Bremen","secondary school degree","1","","",""
"Min 1x per month","1990","Bremen","college entrance qualification","1","","",""
"Min 1x per month","1990","Bremen","Other degree","1","","",""
"Min 1x per month","1990","Bremen","no degree/no degree yet","","","",""
"Min 1x per month","1990","North Rhine-Westphalia","lower secondary degree","94","0.0822326060976452","0.0663824506544045","0.0980827615408859"
"Min 1x per month","1990","North Rhine-Westphalia","secondary school degree","53","0.107346765699084","0.0788722702105214","0.135821261187646"
"Min 1x per month","1990","North Rhine-Westphalia","college entrance qualification","33","0.0877682677882971","0.0590912727565475","0.116445262820047"
"Min 1x per month","1990","North Rhine-Westphalia","Other degree","19","","",""
"Min 1x per month","1990","North Rhine-Westphalia","no degree/no degree yet","14","","",""
"Min 1x per month","1990","Hesse","lower secondary degree","34","0.076717842033256","0.0509876758768536","0.102448008189658"
"Min 1x per month","1990","Hesse","secondary school degree","18","","",""
"Min 1x per month","1990","Hesse","college entrance qualification","10","","",""
"Min 1x per month","1990","Hesse","Other degree","4","","",""
"Min 1x per month","1990","Hesse","no degree/no degree yet","4","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","lower secondary degree","37","0.0873101208978116","0.0600521580595384","0.114568083736085"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","secondary school degree","7","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","college entrance qualification","5","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Other degree","2","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","no degree/no degree yet","2","","",""
"Min 1x per month","1990","Baden-Württemberg","lower secondary degree","103","0.0999108026811268","0.079631293170372","0.120190312191882"
"Min 1x per month","1990","Baden-Württemberg","secondary school degree","38","0.129412238201539","0.0890754582584276","0.169749018144651"
"Min 1x per month","1990","Baden-Württemberg","college entrance qualification","18","","",""
"Min 1x per month","1990","Baden-Württemberg","Other degree","29","","",""
"Min 1x per month","1990","Baden-Württemberg","no degree/no degree yet","23","","",""
"Min 1x per month","1990","Bavaria","lower secondary degree","88","0.0987535275176457","0.078195950403255","0.119311104632036"
"Min 1x per month","1990","Bavaria","secondary school degree","27","","",""
"Min 1x per month","1990","Bavaria","college entrance qualification","15","","",""
"Min 1x per month","1990","Bavaria","Other degree","15","","",""
"Min 1x per month","1990","Bavaria","no degree/no degree yet","9","","",""
"Min 1x per month","1990","Berlin","lower secondary degree","7","","",""
"Min 1x per month","1990","Berlin","secondary school degree","7","","",""
"Min 1x per month","1990","Berlin","college entrance qualification","2","","",""
"Min 1x per month","1990","Berlin","Other degree","2","","",""
"Min 1x per month","1990","Berlin","no degree/no degree yet","4","","",""
"Min 1x per month","1990","Brandenburg","lower secondary degree","","","",""
"Min 1x per month","1990","Brandenburg","secondary school degree","","","",""
"Min 1x per month","1990","Brandenburg","college entrance qualification","","","",""
"Min 1x per month","1990","Brandenburg","Other degree","","","",""
"Min 1x per month","1990","Brandenburg","no degree/no degree yet","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Other degree","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Min 1x per month","1990","Saxony","lower secondary degree","","","",""
"Min 1x per month","1990","Saxony","secondary school degree","","","",""
"Min 1x per month","1990","Saxony","college entrance qualification","","","",""
"Min 1x per month","1990","Saxony","Other degree","","","",""
"Min 1x per month","1990","Saxony","no degree/no degree yet","","","",""
"Min 1x per month","1990","Saxony-Anhalt","lower secondary degree","","","",""
"Min 1x per month","1990","Saxony-Anhalt","secondary school degree","","","",""
"Min 1x per month","1990","Saxony-Anhalt","college entrance qualification","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Other degree","","","",""
"Min 1x per month","1990","Saxony-Anhalt","no degree/no degree yet","","","",""
"Min 1x per month","1990","Thuringia","lower secondary degree","","","",""
"Min 1x per month","1990","Thuringia","secondary school degree","","","",""
"Min 1x per month","1990","Thuringia","college entrance qualification","","","",""
"Min 1x per month","1990","Thuringia","Other degree","","","",""
"Min 1x per month","1990","Thuringia","no degree/no degree yet","","","",""
"Rarely","1990","Schleswig-Holstein","lower secondary degree","41","0.268460244362311","0.198694665992243","0.338225822732378"
"Rarely","1990","Schleswig-Holstein","secondary school degree","18","","",""
"Rarely","1990","Schleswig-Holstein","college entrance qualification","8","","",""
"Rarely","1990","Schleswig-Holstein","Other degree","1","","",""
"Rarely","1990","Schleswig-Holstein","no degree/no degree yet","4","","",""
"Rarely","1990","Hamburg","lower secondary degree","16","","",""
"Rarely","1990","Hamburg","secondary school degree","12","","",""
"Rarely","1990","Hamburg","college entrance qualification","9","","",""
"Rarely","1990","Hamburg","Other degree","6","","",""
"Rarely","1990","Hamburg","no degree/no degree yet","2","","",""
"Rarely","1990","Lower Saxony","lower secondary degree","118","0.227101881584215","0.190415851376658","0.263787911791771"
"Rarely","1990","Lower Saxony","secondary school degree","71","0.323710489994341","0.261313171333905","0.386107808654776"
"Rarely","1990","Lower Saxony","college entrance qualification","61","0.457395251655648","0.371757740770389","0.543032762540907"
"Rarely","1990","Lower Saxony","Other degree","10","","",""
"Rarely","1990","Lower Saxony","no degree/no degree yet","8","","",""
"Rarely","1990","Bremen","lower secondary degree","14","","",""
"Rarely","1990","Bremen","secondary school degree","5","","",""
"Rarely","1990","Bremen","college entrance qualification","2","","",""
"Rarely","1990","Bremen","Other degree","2","","",""
"Rarely","1990","Bremen","no degree/no degree yet","","","",""
"Rarely","1990","North Rhine-Westphalia","lower secondary degree","280","0.22464235645971","0.200563156903035","0.248721556016385"
"Rarely","1990","North Rhine-Westphalia","secondary school degree","147","0.333074028194294","0.289720009109581","0.376428047279008"
"Rarely","1990","North Rhine-Westphalia","college entrance qualification","113","0.303033399312699","0.256457256245236","0.349609542380162"
"Rarely","1990","North Rhine-Westphalia","Other degree","34","0.155211145153076","0.110853993790491","0.199568296515662"
"Rarely","1990","North Rhine-Westphalia","no degree/no degree yet","44","0.258184214794774","0.205293054408759","0.311075375180789"
"Rarely","1990","Hesse","lower secondary degree","103","0.255904184615591","0.213717023165745","0.298091346065436"
"Rarely","1990","Hesse","secondary school degree","50","0.250226394269088","0.184922907310184","0.315529881227991"
"Rarely","1990","Hesse","college entrance qualification","43","0.32468958167757","0.245991428908139","0.403387734447"
"Rarely","1990","Hesse","Other degree","15","","",""
"Rarely","1990","Hesse","no degree/no degree yet","14","","",""
"Rarely","1990","Rhineland-Palatinate,Saarland","lower secondary degree","79","0.173074232313299","0.136544292848364","0.209604171778234"
"Rarely","1990","Rhineland-Palatinate,Saarland","secondary school degree","23","","",""
"Rarely","1990","Rhineland-Palatinate,Saarland","college entrance qualification","26","","",""
"Rarely","1990","Rhineland-Palatinate,Saarland","Other degree","8","","",""
"Rarely","1990","Rhineland-Palatinate,Saarland","no degree/no degree yet","7","","",""
"Rarely","1990","Baden-Württemberg","lower secondary degree","198","0.238288281958466","0.209477495774951","0.267099068141981"
"Rarely","1990","Baden-Württemberg","secondary school degree","89","0.326960826125991","0.270587286417486","0.383334365834496"
"Rarely","1990","Baden-Württemberg","college entrance qualification","58","0.312038876066031","0.243781787654822","0.38029596447724"
"Rarely","1990","Baden-Württemberg","Other degree","40","0.139608854618512","0.0975621188671022","0.181655590369921"
"Rarely","1990","Baden-Württemberg","no degree/no degree yet","47","0.345720835028543","0.281548005998871","0.409893664058215"
"Rarely","1990","Bavaria","lower secondary degree","223","0.266048660409752","0.235598610961791","0.296498709857713"
"Rarely","1990","Bavaria","secondary school degree","84","0.262465496501011","0.2125118449726","0.312419148029421"
"Rarely","1990","Bavaria","college entrance qualification","55","0.246179940970887","0.186477337538644","0.30588254440313"
"Rarely","1990","Bavaria","Other degree","36","0.252267645331114","0.18639672690485","0.318138563757377"
"Rarely","1990","Bavaria","no degree/no degree yet","22","","",""
"Rarely","1990","Berlin","lower secondary degree","30","0.198169501352697","0.128289520326206","0.268049482379187"
"Rarely","1990","Berlin","secondary school degree","23","","",""
"Rarely","1990","Berlin","college entrance qualification","13","","",""
"Rarely","1990","Berlin","Other degree","3","","",""
"Rarely","1990","Berlin","no degree/no degree yet","2","","",""
"Rarely","1990","Brandenburg","lower secondary degree","","","",""
"Rarely","1990","Brandenburg","secondary school degree","","","",""
"Rarely","1990","Brandenburg","college entrance qualification","","","",""
"Rarely","1990","Brandenburg","Other degree","","","",""
"Rarely","1990","Brandenburg","no degree/no degree yet","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","Other degree","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Rarely","1990","Saxony","lower secondary degree","","","",""
"Rarely","1990","Saxony","secondary school degree","","","",""
"Rarely","1990","Saxony","college entrance qualification","","","",""
"Rarely","1990","Saxony","Other degree","","","",""
"Rarely","1990","Saxony","no degree/no degree yet","","","",""
"Rarely","1990","Saxony-Anhalt","lower secondary degree","","","",""
"Rarely","1990","Saxony-Anhalt","secondary school degree","","","",""
"Rarely","1990","Saxony-Anhalt","college entrance qualification","","","",""
"Rarely","1990","Saxony-Anhalt","Other degree","","","",""
"Rarely","1990","Saxony-Anhalt","no degree/no degree yet","","","",""
"Rarely","1990","Thuringia","lower secondary degree","","","",""
"Rarely","1990","Thuringia","secondary school degree","","","",""
"Rarely","1990","Thuringia","college entrance qualification","","","",""
"Rarely","1990","Thuringia","Other degree","","","",""
"Rarely","1990","Thuringia","no degree/no degree yet","","","",""
"Never","1990","Schleswig-Holstein","lower secondary degree","91","0.591515145123771","0.514130792122695","0.668899498124848"
"Never","1990","Schleswig-Holstein","secondary school degree","38","0.583243895941438","0.464299986397847","0.702187805485029"
"Never","1990","Schleswig-Holstein","college entrance qualification","16","","",""
"Never","1990","Schleswig-Holstein","Other degree","9","","",""
"Never","1990","Schleswig-Holstein","no degree/no degree yet","8","","",""
"Never","1990","Hamburg","lower secondary degree","49","0.662383316500635","0.555358596165143","0.769408036836127"
"Never","1990","Hamburg","secondary school degree","20","","",""
"Never","1990","Hamburg","college entrance qualification","12","","",""
"Never","1990","Hamburg","Other degree","14","","",""
"Never","1990","Hamburg","no degree/no degree yet","5","","",""
"Never","1990","Lower Saxony","lower secondary degree","312","0.648420100347927","0.606611129088955","0.690229071606898"
"Never","1990","Lower Saxony","secondary school degree","98","0.498722129776403","0.432043018706818","0.565401240845988"
"Never","1990","Lower Saxony","college entrance qualification","51","0.414703778332243","0.330013556339704","0.499394000324782"
"Never","1990","Lower Saxony","Other degree","38","0.623622198022306","0.500000453246606","0.747243942798006"
"Never","1990","Lower Saxony","no degree/no degree yet","36","0.618650921798883","0.491435939986617","0.745865903611149"
"Never","1990","Bremen","lower secondary degree","40","0.748342404032971","0.634681978758624","0.862002829307318"
"Never","1990","Bremen","secondary school degree","16","","",""
"Never","1990","Bremen","college entrance qualification","7","","",""
"Never","1990","Bremen","Other degree","2","","",""
"Never","1990","Bremen","no degree/no degree yet","3","","",""
"Never","1990","North Rhine-Westphalia","lower secondary degree","717","0.640547984789341","0.612863178914755","0.668232790663927"
"Never","1990","North Rhine-Westphalia","secondary school degree","216","0.479782138891491","0.433826920717764","0.525737357065217"
"Never","1990","North Rhine-Westphalia","college entrance qualification","197","0.536732671232136","0.486195940625276","0.587269401838997"
"Never","1990","North Rhine-Westphalia","Other degree","180","0.660287366812866","0.602271010294844","0.718303723330888"
"Never","1990","North Rhine-Westphalia","no degree/no degree yet","182","0.567219149615192","0.507339441188604","0.627098858041781"
"Never","1990","Hesse","lower secondary degree","244","0.608842830140055","0.56166310290559","0.65602255737452"
"Never","1990","Hesse","secondary school degree","85","0.544207650394754","0.469119643671154","0.619295657118353"
"Never","1990","Hesse","college entrance qualification","70","0.495053000618314","0.411024351183721","0.579081650052907"
"Never","1990","Hesse","Other degree","103","0.706002232237403","0.62886381111775","0.783140653357056"
"Never","1990","Hesse","no degree/no degree yet","84","0.698613274326094","0.612073314330183","0.785153234322004"
"Never","1990","Rhineland-Palatinate,Saarland","lower secondary degree","259","0.664262106298121","0.618661627483026","0.709862585113215"
"Never","1990","Rhineland-Palatinate,Saarland","secondary school degree","52","0.610712774971162","0.509413423245527","0.712012126696797"
"Never","1990","Rhineland-Palatinate,Saarland","college entrance qualification","35","0.503846290236269","0.388357722089337","0.619334858383201"
"Never","1990","Rhineland-Palatinate,Saarland","Other degree","32","0.760254903861473","0.631139538882377","0.889370268840569"
"Never","1990","Rhineland-Palatinate,Saarland","no degree/no degree yet","31","0.524849605582017","0.373821967523155","0.675877243640878"
"Never","1990","Baden-Württemberg","lower secondary degree","462","0.599627546061412","0.566492976691343","0.632762115431481"
"Never","1990","Baden-Württemberg","secondary school degree","120","0.467270002215673","0.407312325042621","0.527227679388726"
"Never","1990","Baden-Württemberg","college entrance qualification","91","0.515425013200594","0.441800116323415","0.589049910077773"
"Never","1990","Baden-Württemberg","Other degree","160","0.609436051061306","0.550247462382685","0.668624639739927"
"Never","1990","Baden-Württemberg","no degree/no degree yet","133","0.456113744758618","0.388909379265283","0.523318110251953"
"Never","1990","Bavaria","lower secondary degree","431","0.558114874159497","0.523894061380967","0.592335686938027"
"Never","1990","Bavaria","secondary school degree","163","0.58953166370545","0.533680354540199","0.6453829728707"
"Never","1990","Bavaria","college entrance qualification","124","0.64819684146577","0.582015370515066","0.714378312416474"
"Never","1990","Bavaria","Other degree","109","0.640190552106385","0.567399035634156","0.712982068578615"
"Never","1990","Bavaria","no degree/no degree yet","57","0.400786484976269","0.302756303041857","0.498816666910681"
"Never","1990","Berlin","lower secondary degree","84","0.729777973384545","0.65192972711029","0.8076262196588"
"Never","1990","Berlin","secondary school degree","30","0.574661917647328","0.451599458443712","0.697724376850945"
"Never","1990","Berlin","college entrance qualification","32","0.67658691663436","0.548205077422445","0.804968755846275"
"Never","1990","Berlin","Other degree","35","0.767854161287038","0.640168165276717","0.895540157297359"
"Never","1990","Berlin","no degree/no degree yet","27","","",""
"Never","1990","Brandenburg","lower secondary degree","","","",""
"Never","1990","Brandenburg","secondary school degree","","","",""
"Never","1990","Brandenburg","college entrance qualification","","","",""
"Never","1990","Brandenburg","Other degree","","","",""
"Never","1990","Brandenburg","no degree/no degree yet","","","",""
"Never","1990","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Never","1990","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Never","1990","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Never","1990","Mecklenburg-Western Pomerania","Other degree","","","",""
"Never","1990","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Never","1990","Saxony","lower secondary degree","","","",""
"Never","1990","Saxony","secondary school degree","","","",""
"Never","1990","Saxony","college entrance qualification","","","",""
"Never","1990","Saxony","Other degree","","","",""
"Never","1990","Saxony","no degree/no degree yet","","","",""
"Never","1990","Saxony-Anhalt","lower secondary degree","","","",""
"Never","1990","Saxony-Anhalt","secondary school degree","","","",""
"Never","1990","Saxony-Anhalt","college entrance qualification","","","",""
"Never","1990","Saxony-Anhalt","Other degree","","","",""
"Never","1990","Saxony-Anhalt","no degree/no degree yet","","","",""
"Never","1990","Thuringia","lower secondary degree","","","",""
"Never","1990","Thuringia","secondary school degree","","","",""
"Never","1990","Thuringia","college entrance qualification","","","",""
"Never","1990","Thuringia","Other degree","","","",""
"Never","1990","Thuringia","no degree/no degree yet","","","",""
"Daily","1991","Schleswig-Holstein","lower secondary degree","","","",""
"Daily","1991","Schleswig-Holstein","secondary school degree","","","",""
"Daily","1991","Schleswig-Holstein","college entrance qualification","","","",""
"Daily","1991","Schleswig-Holstein","Other degree","","","",""
"Daily","1991","Schleswig-Holstein","no degree/no degree yet","","","",""
"Daily","1991","Hamburg","lower secondary degree","","","",""
"Daily","1991","Hamburg","secondary school degree","","","",""
"Daily","1991","Hamburg","college entrance qualification","","","",""
"Daily","1991","Hamburg","Other degree","","","",""
"Daily","1991","Hamburg","no degree/no degree yet","","","",""
"Daily","1991","Lower Saxony","lower secondary degree","","","",""
"Daily","1991","Lower Saxony","secondary school degree","","","",""
"Daily","1991","Lower Saxony","college entrance qualification","","","",""
"Daily","1991","Lower Saxony","Other degree","","","",""
"Daily","1991","Lower Saxony","no degree/no degree yet","","","",""
"Daily","1991","Bremen","lower secondary degree","","","",""
