"pli0089","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1990","indirect migration background","higher education","","","",""
"Rarely","1990","no migration background","in school","51","0.52454824604553","0.427153988628969","0.621942503462091"
"Rarely","1990","no migration background","inadequately","9","","",""
"Rarely","1990","no migration background","general elemantary","309","0.185591658754481","0.165962946973141","0.205220370535822"
"Rarely","1990","no migration background","middle vocational","1072","0.280573287162151","0.265989974107004","0.295156600217298"
"Rarely","1990","no migration background","vocational + Abi","58","0.323199525237515","0.257044451007037","0.389354599467993"
"Rarely","1990","no migration background","higher vocational","138","0.287707519173251","0.246293580668805","0.329121457677697"
"Rarely","1990","no migration background","higher education","178","0.29038199722889","0.254180479528774","0.326583514929006"
"Rarely","1990","direct migration background","in school","10","","",""
"Rarely","1990","direct migration background","inadequately","60","0.100889093044935","0.0757412330660122","0.126036953023859"
"Rarely","1990","direct migration background","general elemantary","140","0.186354785215775","0.160177389389011","0.212532181042539"
"Rarely","1990","direct migration background","middle vocational","154","0.233387529658902","0.204094884122391","0.262680175195412"
"Rarely","1990","direct migration background","vocational + Abi","24","","",""
"Rarely","1990","direct migration background","higher vocational","16","","",""
"Rarely","1990","direct migration background","higher education","26","","",""
"Rarely","1990","indirect migration background","in school","10","","",""
"Rarely","1990","indirect migration background","inadequately","3","","",""
"Rarely","1990","indirect migration background","general elemantary","26","","",""
"Rarely","1990","indirect migration background","middle vocational","38","0.30034811099864","0.208648829577687","0.392047392419593"
"Rarely","1990","indirect migration background","vocational + Abi","3","","",""
"Rarely","1990","indirect migration background","higher vocational","1","","",""
"Rarely","1990","indirect migration background","higher education","","","",""
"Never","1990","no migration background","in school","20","","",""
"Never","1990","no migration background","inadequately","43","0.648064980896071","0.531965057951735","0.764164903840407"
"Never","1990","no migration background","general elemantary","1026","0.706150187292926","0.683151517739795","0.729148856846057"
"Never","1990","no migration background","middle vocational","1892","0.542355273904492","0.526183937053063","0.55852661075592"
"Never","1990","no migration background","vocational + Abi","97","0.501092991796803","0.430369052395678","0.571816931197927"
"Never","1990","no migration background","higher vocational","252","0.554453687517519","0.508984121076799","0.599923253958238"
"Never","1990","no migration background","higher education","365","0.607880837327818","0.568945146785914","0.646816527869721"
"Never","1990","direct migration background","in school","11","","",""
"Never","1990","direct migration background","inadequately","441","0.804046571218467","0.770903761205628","0.837189381231306"
"Never","1990","direct migration background","general elemantary","560","0.668227824982421","0.636574387078747","0.699881262886095"
"Never","1990","direct migration background","middle vocational","485","0.600735785168261","0.566819851430708","0.634651718905814"
"Never","1990","direct migration background","vocational + Abi","53","0.542479137511965","0.442821761937695","0.642136513086236"
"Never","1990","direct migration background","higher vocational","28","","",""
"Never","1990","direct migration background","higher education","53","0.581956134697747","0.479483207948202","0.684429061447291"
"Never","1990","indirect migration background","in school","11","","",""
"Never","1990","indirect migration background","inadequately","10","","",""
"Never","1990","indirect migration background","general elemantary","51","0.496671458591974","0.405684431052736","0.587658486131213"
"Never","1990","indirect migration background","middle vocational","37","0.535147185704809","0.435375610325588","0.63491876108403"
"Never","1990","indirect migration background","vocational + Abi","3","","",""
"Never","1990","indirect migration background","higher vocational","3","","",""
"Never","1990","indirect migration background","higher education","3","","",""
"Daily","1991","no migration background","in school","","","",""
"Daily","1991","no migration background","inadequately","","","",""
"Daily","1991","no migration background","general elemantary","","","",""
"Daily","1991","no migration background","middle vocational","","","",""
"Daily","1991","no migration background","vocational + Abi","","","",""
"Daily","1991","no migration background","higher vocational","","","",""
"Daily","1991","no migration background","higher education","","","",""
"Daily","1991","direct migration background","in school","","","",""
"Daily","1991","direct migration background","inadequately","","","",""
"Daily","1991","direct migration background","general elemantary","","","",""
"Daily","1991","direct migration background","middle vocational","","","",""
"Daily","1991","direct migration background","vocational + Abi","","","",""
"Daily","1991","direct migration background","higher vocational","","","",""
"Daily","1991","direct migration background","higher education","","","",""
"Daily","1991","indirect migration background","in school","","","",""
"Daily","1991","indirect migration background","inadequately","","","",""
"Daily","1991","indirect migration background","general elemantary","","","",""
"Daily","1991","indirect migration background","middle vocational","","","",""
"Daily","1991","indirect migration background","vocational + Abi","","","",""
"Daily","1991","indirect migration background","higher vocational","","","",""
"Daily","1991","indirect migration background","higher education","","","",""
"Min 1x per week","1991","no migration background","in school","","","",""
"Min 1x per week","1991","no migration background","inadequately","","","",""
"Min 1x per week","1991","no migration background","general elemantary","","","",""
"Min 1x per week","1991","no migration background","middle vocational","","","",""
"Min 1x per week","1991","no migration background","vocational + Abi","","","",""
"Min 1x per week","1991","no migration background","higher vocational","","","",""
"Min 1x per week","1991","no migration background","higher education","","","",""
"Min 1x per week","1991","direct migration background","in school","","","",""
"Min 1x per week","1991","direct migration background","inadequately","","","",""
"Min 1x per week","1991","direct migration background","general elemantary","","","",""
"Min 1x per week","1991","direct migration background","middle vocational","","","",""
"Min 1x per week","1991","direct migration background","vocational + Abi","","","",""
"Min 1x per week","1991","direct migration background","higher vocational","","","",""
"Min 1x per week","1991","direct migration background","higher education","","","",""
"Min 1x per week","1991","indirect migration background","in school","","","",""
"Min 1x per week","1991","indirect migration background","inadequately","","","",""
"Min 1x per week","1991","indirect migration background","general elemantary","","","",""
"Min 1x per week","1991","indirect migration background","middle vocational","","","",""
"Min 1x per week","1991","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1991","indirect migration background","higher vocational","","","",""
"Min 1x per week","1991","indirect migration background","higher education","","","",""
"Min 1x per month","1991","no migration background","in school","","","",""
"Min 1x per month","1991","no migration background","inadequately","","","",""
"Min 1x per month","1991","no migration background","general elemantary","","","",""
"Min 1x per month","1991","no migration background","middle vocational","","","",""
"Min 1x per month","1991","no migration background","vocational + Abi","","","",""
"Min 1x per month","1991","no migration background","higher vocational","","","",""
"Min 1x per month","1991","no migration background","higher education","","","",""
"Min 1x per month","1991","direct migration background","in school","","","",""
"Min 1x per month","1991","direct migration background","inadequately","","","",""
"Min 1x per month","1991","direct migration background","general elemantary","","","",""
"Min 1x per month","1991","direct migration background","middle vocational","","","",""
"Min 1x per month","1991","direct migration background","vocational + Abi","","","",""
"Min 1x per month","1991","direct migration background","higher vocational","","","",""
"Min 1x per month","1991","direct migration background","higher education","","","",""
"Min 1x per month","1991","indirect migration background","in school","","","",""
"Min 1x per month","1991","indirect migration background","inadequately","","","",""
"Min 1x per month","1991","indirect migration background","general elemantary","","","",""
"Min 1x per month","1991","indirect migration background","middle vocational","","","",""
"Min 1x per month","1991","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1991","indirect migration background","higher vocational","","","",""
"Min 1x per month","1991","indirect migration background","higher education","","","",""
"Rarely","1991","no migration background","in school","","","",""
"Rarely","1991","no migration background","inadequately","","","",""
"Rarely","1991","no migration background","general elemantary","","","",""
"Rarely","1991","no migration background","middle vocational","","","",""
"Rarely","1991","no migration background","vocational + Abi","","","",""
"Rarely","1991","no migration background","higher vocational","","","",""
"Rarely","1991","no migration background","higher education","","","",""
"Rarely","1991","direct migration background","in school","","","",""
"Rarely","1991","direct migration background","inadequately","","","",""
"Rarely","1991","direct migration background","general elemantary","","","",""
"Rarely","1991","direct migration background","middle vocational","","","",""
"Rarely","1991","direct migration background","vocational + Abi","","","",""
"Rarely","1991","direct migration background","higher vocational","","","",""
"Rarely","1991","direct migration background","higher education","","","",""
"Rarely","1991","indirect migration background","in school","","","",""
"Rarely","1991","indirect migration background","inadequately","","","",""
"Rarely","1991","indirect migration background","general elemantary","","","",""
"Rarely","1991","indirect migration background","middle vocational","","","",""
"Rarely","1991","indirect migration background","vocational + Abi","","","",""
"Rarely","1991","indirect migration background","higher vocational","","","",""
"Rarely","1991","indirect migration background","higher education","","","",""
"Never","1991","no migration background","in school","","","",""
"Never","1991","no migration background","inadequately","","","",""
"Never","1991","no migration background","general elemantary","","","",""
"Never","1991","no migration background","middle vocational","","","",""
"Never","1991","no migration background","vocational + Abi","","","",""
"Never","1991","no migration background","higher vocational","","","",""
"Never","1991","no migration background","higher education","","","",""
"Never","1991","direct migration background","in school","","","",""
"Never","1991","direct migration background","inadequately","","","",""
"Never","1991","direct migration background","general elemantary","","","",""
"Never","1991","direct migration background","middle vocational","","","",""
"Never","1991","direct migration background","vocational + Abi","","","",""
"Never","1991","direct migration background","higher vocational","","","",""
"Never","1991","direct migration background","higher education","","","",""
"Never","1991","indirect migration background","in school","","","",""
"Never","1991","indirect migration background","inadequately","","","",""
"Never","1991","indirect migration background","general elemantary","","","",""
"Never","1991","indirect migration background","middle vocational","","","",""
"Never","1991","indirect migration background","vocational + Abi","","","",""
"Never","1991","indirect migration background","higher vocational","","","",""
"Never","1991","indirect migration background","higher education","","","",""
"Daily","1992","no migration background","in school","","","",""
"Daily","1992","no migration background","inadequately","","","",""
"Daily","1992","no migration background","general elemantary","","","",""
"Daily","1992","no migration background","middle vocational","","","",""
"Daily","1992","no migration background","vocational + Abi","","","",""
"Daily","1992","no migration background","higher vocational","","","",""
"Daily","1992","no migration background","higher education","","","",""
"Daily","1992","direct migration background","in school","","","",""
"Daily","1992","direct migration background","inadequately","","","",""
"Daily","1992","direct migration background","general elemantary","","","",""
"Daily","1992","direct migration background","middle vocational","","","",""
"Daily","1992","direct migration background","vocational + Abi","","","",""
"Daily","1992","direct migration background","higher vocational","","","",""
"Daily","1992","direct migration background","higher education","","","",""
"Daily","1992","indirect migration background","in school","","","",""
"Daily","1992","indirect migration background","inadequately","","","",""
"Daily","1992","indirect migration background","general elemantary","","","",""
"Daily","1992","indirect migration background","middle vocational","","","",""
"Daily","1992","indirect migration background","vocational + Abi","","","",""
"Daily","1992","indirect migration background","higher vocational","","","",""
"Daily","1992","indirect migration background","higher education","","","",""
"Min 1x per week","1992","no migration background","in school","","","",""
"Min 1x per week","1992","no migration background","inadequately","","","",""
"Min 1x per week","1992","no migration background","general elemantary","","","",""
"Min 1x per week","1992","no migration background","middle vocational","","","",""
"Min 1x per week","1992","no migration background","vocational + Abi","","","",""
"Min 1x per week","1992","no migration background","higher vocational","","","",""
"Min 1x per week","1992","no migration background","higher education","","","",""
"Min 1x per week","1992","direct migration background","in school","","","",""
"Min 1x per week","1992","direct migration background","inadequately","","","",""
"Min 1x per week","1992","direct migration background","general elemantary","","","",""
"Min 1x per week","1992","direct migration background","middle vocational","","","",""
"Min 1x per week","1992","direct migration background","vocational + Abi","","","",""
"Min 1x per week","1992","direct migration background","higher vocational","","","",""
"Min 1x per week","1992","direct migration background","higher education","","","",""
"Min 1x per week","1992","indirect migration background","in school","","","",""
"Min 1x per week","1992","indirect migration background","inadequately","","","",""
"Min 1x per week","1992","indirect migration background","general elemantary","","","",""
"Min 1x per week","1992","indirect migration background","middle vocational","","","",""
"Min 1x per week","1992","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1992","indirect migration background","higher vocational","","","",""
"Min 1x per week","1992","indirect migration background","higher education","","","",""
"Min 1x per month","1992","no migration background","in school","","","",""
"Min 1x per month","1992","no migration background","inadequately","","","",""
"Min 1x per month","1992","no migration background","general elemantary","","","",""
"Min 1x per month","1992","no migration background","middle vocational","","","",""
"Min 1x per month","1992","no migration background","vocational + Abi","","","",""
"Min 1x per month","1992","no migration background","higher vocational","","","",""
"Min 1x per month","1992","no migration background","higher education","","","",""
"Min 1x per month","1992","direct migration background","in school","","","",""
"Min 1x per month","1992","direct migration background","inadequately","","","",""
"Min 1x per month","1992","direct migration background","general elemantary","","","",""
"Min 1x per month","1992","direct migration background","middle vocational","","","",""
"Min 1x per month","1992","direct migration background","vocational + Abi","","","",""
"Min 1x per month","1992","direct migration background","higher vocational","","","",""
"Min 1x per month","1992","direct migration background","higher education","","","",""
"Min 1x per month","1992","indirect migration background","in school","","","",""
"Min 1x per month","1992","indirect migration background","inadequately","","","",""
"Min 1x per month","1992","indirect migration background","general elemantary","","","",""
"Min 1x per month","1992","indirect migration background","middle vocational","","","",""
"Min 1x per month","1992","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1992","indirect migration background","higher vocational","","","",""
"Min 1x per month","1992","indirect migration background","higher education","","","",""
"Rarely","1992","no migration background","in school","","","",""
"Rarely","1992","no migration background","inadequately","","","",""
"Rarely","1992","no migration background","general elemantary","","","",""
"Rarely","1992","no migration background","middle vocational","","","",""
"Rarely","1992","no migration background","vocational + Abi","","","",""
"Rarely","1992","no migration background","higher vocational","","","",""
"Rarely","1992","no migration background","higher education","","","",""
"Rarely","1992","direct migration background","in school","","","",""
"Rarely","1992","direct migration background","inadequately","","","",""
"Rarely","1992","direct migration background","general elemantary","","","",""
"Rarely","1992","direct migration background","middle vocational","","","",""
"Rarely","1992","direct migration background","vocational + Abi","","","",""
"Rarely","1992","direct migration background","higher vocational","","","",""
"Rarely","1992","direct migration background","higher education","","","",""
"Rarely","1992","indirect migration background","in school","","","",""
"Rarely","1992","indirect migration background","inadequately","","","",""
"Rarely","1992","indirect migration background","general elemantary","","","",""
"Rarely","1992","indirect migration background","middle vocational","","","",""
"Rarely","1992","indirect migration background","vocational + Abi","","","",""
"Rarely","1992","indirect migration background","higher vocational","","","",""
"Rarely","1992","indirect migration background","higher education","","","",""
"Never","1992","no migration background","in school","","","",""
"Never","1992","no migration background","inadequately","","","",""
"Never","1992","no migration background","general elemantary","","","",""
"Never","1992","no migration background","middle vocational","","","",""
"Never","1992","no migration background","vocational + Abi","","","",""
"Never","1992","no migration background","higher vocational","","","",""
"Never","1992","no migration background","higher education","","","",""
"Never","1992","direct migration background","in school","","","",""
"Never","1992","direct migration background","inadequately","","","",""
"Never","1992","direct migration background","general elemantary","","","",""
"Never","1992","direct migration background","middle vocational","","","",""
"Never","1992","direct migration background","vocational + Abi","","","",""
"Never","1992","direct migration background","higher vocational","","","",""
"Never","1992","direct migration background","higher education","","","",""
"Never","1992","indirect migration background","in school","","","",""
"Never","1992","indirect migration background","inadequately","","","",""
"Never","1992","indirect migration background","general elemantary","","","",""
"Never","1992","indirect migration background","middle vocational","","","",""
"Never","1992","indirect migration background","vocational + Abi","","","",""
"Never","1992","indirect migration background","higher vocational","","","",""
"Never","1992","indirect migration background","higher education","","","",""
"Daily","1993","no migration background","in school","","","",""
"Daily","1993","no migration background","inadequately","","","",""
"Daily","1993","no migration background","general elemantary","","","",""
"Daily","1993","no migration background","middle vocational","","","",""
"Daily","1993","no migration background","vocational + Abi","","","",""
"Daily","1993","no migration background","higher vocational","","","",""
"Daily","1993","no migration background","higher education","","","",""
"Daily","1993","direct migration background","in school","","","",""
"Daily","1993","direct migration background","inadequately","","","",""
"Daily","1993","direct migration background","general elemantary","","","",""
"Daily","1993","direct migration background","middle vocational","","","",""
"Daily","1993","direct migration background","vocational + Abi","","","",""
"Daily","1993","direct migration background","higher vocational","","","",""
"Daily","1993","direct migration background","higher education","","","",""
"Daily","1993","indirect migration background","in school","","","",""
"Daily","1993","indirect migration background","inadequately","","","",""
"Daily","1993","indirect migration background","general elemantary","","","",""
"Daily","1993","indirect migration background","middle vocational","","","",""
"Daily","1993","indirect migration background","vocational + Abi","","","",""
"Daily","1993","indirect migration background","higher vocational","","","",""
"Daily","1993","indirect migration background","higher education","","","",""
"Min 1x per week","1993","no migration background","in school","","","",""
"Min 1x per week","1993","no migration background","inadequately","","","",""
"Min 1x per week","1993","no migration background","general elemantary","","","",""
"Min 1x per week","1993","no migration background","middle vocational","","","",""
"Min 1x per week","1993","no migration background","vocational + Abi","","","",""
"Min 1x per week","1993","no migration background","higher vocational","","","",""
"Min 1x per week","1993","no migration background","higher education","","","",""
"Min 1x per week","1993","direct migration background","in school","","","",""
"Min 1x per week","1993","direct migration background","inadequately","","","",""
"Min 1x per week","1993","direct migration background","general elemantary","","","",""
"Min 1x per week","1993","direct migration background","middle vocational","","","",""
"Min 1x per week","1993","direct migration background","vocational + Abi","","","",""
"Min 1x per week","1993","direct migration background","higher vocational","","","",""
"Min 1x per week","1993","direct migration background","higher education","","","",""
"Min 1x per week","1993","indirect migration background","in school","","","",""
"Min 1x per week","1993","indirect migration background","inadequately","","","",""
"Min 1x per week","1993","indirect migration background","general elemantary","","","",""
"Min 1x per week","1993","indirect migration background","middle vocational","","","",""
"Min 1x per week","1993","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1993","indirect migration background","higher vocational","","","",""
"Min 1x per week","1993","indirect migration background","higher education","","","",""
"Min 1x per month","1993","no migration background","in school","","","",""
"Min 1x per month","1993","no migration background","inadequately","","","",""
"Min 1x per month","1993","no migration background","general elemantary","","","",""
"Min 1x per month","1993","no migration background","middle vocational","","","",""
"Min 1x per month","1993","no migration background","vocational + Abi","","","",""
"Min 1x per month","1993","no migration background","higher vocational","","","",""
"Min 1x per month","1993","no migration background","higher education","","","",""
"Min 1x per month","1993","direct migration background","in school","","","",""
"Min 1x per month","1993","direct migration background","inadequately","","","",""
"Min 1x per month","1993","direct migration background","general elemantary","","","",""
"Min 1x per month","1993","direct migration background","middle vocational","","","",""
"Min 1x per month","1993","direct migration background","vocational + Abi","","","",""
"Min 1x per month","1993","direct migration background","higher vocational","","","",""
"Min 1x per month","1993","direct migration background","higher education","","","",""
"Min 1x per month","1993","indirect migration background","in school","","","",""
"Min 1x per month","1993","indirect migration background","inadequately","","","",""
"Min 1x per month","1993","indirect migration background","general elemantary","","","",""
"Min 1x per month","1993","indirect migration background","middle vocational","","","",""
"Min 1x per month","1993","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1993","indirect migration background","higher vocational","","","",""
"Min 1x per month","1993","indirect migration background","higher education","","","",""
"Rarely","1993","no migration background","in school","","","",""
"Rarely","1993","no migration background","inadequately","","","",""
"Rarely","1993","no migration background","general elemantary","","","",""
"Rarely","1993","no migration background","middle vocational","","","",""
"Rarely","1993","no migration background","vocational + Abi","","","",""
"Rarely","1993","no migration background","higher vocational","","","",""
"Rarely","1993","no migration background","higher education","","","",""
"Rarely","1993","direct migration background","in school","","","",""
"Rarely","1993","direct migration background","inadequately","","","",""
"Rarely","1993","direct migration background","general elemantary","","","",""
"Rarely","1993","direct migration background","middle vocational","","","",""
"Rarely","1993","direct migration background","vocational + Abi","","","",""
"Rarely","1993","direct migration background","higher vocational","","","",""
"Rarely","1993","direct migration background","higher education","","","",""
"Rarely","1993","indirect migration background","in school","","","",""
"Rarely","1993","indirect migration background","inadequately","","","",""
"Rarely","1993","indirect migration background","general elemantary","","","",""
"Rarely","1993","indirect migration background","middle vocational","","","",""
"Rarely","1993","indirect migration background","vocational + Abi","","","",""
"Rarely","1993","indirect migration background","higher vocational","","","",""
"Rarely","1993","indirect migration background","higher education","","","",""
"Never","1993","no migration background","in school","","","",""
"Never","1993","no migration background","inadequately","","","",""
"Never","1993","no migration background","general elemantary","","","",""
"Never","1993","no migration background","middle vocational","","","",""
"Never","1993","no migration background","vocational + Abi","","","",""
"Never","1993","no migration background","higher vocational","","","",""
"Never","1993","no migration background","higher education","","","",""
"Never","1993","direct migration background","in school","","","",""
"Never","1993","direct migration background","inadequately","","","",""
"Never","1993","direct migration background","general elemantary","","","",""
"Never","1993","direct migration background","middle vocational","","","",""
"Never","1993","direct migration background","vocational + Abi","","","",""
"Never","1993","direct migration background","higher vocational","","","",""
"Never","1993","direct migration background","higher education","","","",""
"Never","1993","indirect migration background","in school","","","",""
"Never","1993","indirect migration background","inadequately","","","",""
"Never","1993","indirect migration background","general elemantary","","","",""
"Never","1993","indirect migration background","middle vocational","","","",""
"Never","1993","indirect migration background","vocational + Abi","","","",""
"Never","1993","indirect migration background","higher vocational","","","",""
"Never","1993","indirect migration background","higher education","","","",""
"Daily","1994","no migration background","in school","","","",""
"Daily","1994","no migration background","inadequately","","","",""
"Daily","1994","no migration background","general elemantary","","","",""
"Daily","1994","no migration background","middle vocational","","","",""
"Daily","1994","no migration background","vocational + Abi","","","",""
"Daily","1994","no migration background","higher vocational","","","",""
"Daily","1994","no migration background","higher education","","","",""
"Daily","1994","direct migration background","in school","","","",""
"Daily","1994","direct migration background","inadequately","","","",""
"Daily","1994","direct migration background","general elemantary","","","",""
"Daily","1994","direct migration background","middle vocational","","","",""
"Daily","1994","direct migration background","vocational + Abi","","","",""
"Daily","1994","direct migration background","higher vocational","","","",""
"Daily","1994","direct migration background","higher education","","","",""
"Daily","1994","indirect migration background","in school","","","",""
"Daily","1994","indirect migration background","inadequately","","","",""
"Daily","1994","indirect migration background","general elemantary","","","",""
"Daily","1994","indirect migration background","middle vocational","","","",""
"Daily","1994","indirect migration background","vocational + Abi","","","",""
"Daily","1994","indirect migration background","higher vocational","","","",""
"Daily","1994","indirect migration background","higher education","","","",""
"Min 1x per week","1994","no migration background","in school","","","",""
"Min 1x per week","1994","no migration background","inadequately","","","",""
"Min 1x per week","1994","no migration background","general elemantary","","","",""
"Min 1x per week","1994","no migration background","middle vocational","","","",""
"Min 1x per week","1994","no migration background","vocational + Abi","","","",""
"Min 1x per week","1994","no migration background","higher vocational","","","",""
"Min 1x per week","1994","no migration background","higher education","","","",""
"Min 1x per week","1994","direct migration background","in school","","","",""
"Min 1x per week","1994","direct migration background","inadequately","","","",""
"Min 1x per week","1994","direct migration background","general elemantary","","","",""
"Min 1x per week","1994","direct migration background","middle vocational","","","",""
"Min 1x per week","1994","direct migration background","vocational + Abi","","","",""
"Min 1x per week","1994","direct migration background","higher vocational","","","",""
"Min 1x per week","1994","direct migration background","higher education","","","",""
"Min 1x per week","1994","indirect migration background","in school","","","",""
"Min 1x per week","1994","indirect migration background","inadequately","","","",""
"Min 1x per week","1994","indirect migration background","general elemantary","","","",""
"Min 1x per week","1994","indirect migration background","middle vocational","","","",""
"Min 1x per week","1994","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1994","indirect migration background","higher vocational","","","",""
"Min 1x per week","1994","indirect migration background","higher education","","","",""
"Min 1x per month","1994","no migration background","in school","","","",""
"Min 1x per month","1994","no migration background","inadequately","","","",""
"Min 1x per month","1994","no migration background","general elemantary","","","",""
"Min 1x per month","1994","no migration background","middle vocational","","","",""
"Min 1x per month","1994","no migration background","vocational + Abi","","","",""
"Min 1x per month","1994","no migration background","higher vocational","","","",""
"Min 1x per month","1994","no migration background","higher education","","","",""
"Min 1x per month","1994","direct migration background","in school","","","",""
"Min 1x per month","1994","direct migration background","inadequately","","","",""
"Min 1x per month","1994","direct migration background","general elemantary","","","",""
"Min 1x per month","1994","direct migration background","middle vocational","","","",""
"Min 1x per month","1994","direct migration background","vocational + Abi","","","",""
"Min 1x per month","1994","direct migration background","higher vocational","","","",""
"Min 1x per month","1994","direct migration background","higher education","","","",""
"Min 1x per month","1994","indirect migration background","in school","","","",""
"Min 1x per month","1994","indirect migration background","inadequately","","","",""
"Min 1x per month","1994","indirect migration background","general elemantary","","","",""
"Min 1x per month","1994","indirect migration background","middle vocational","","","",""
"Min 1x per month","1994","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1994","indirect migration background","higher vocational","","","",""
"Min 1x per month","1994","indirect migration background","higher education","","","",""
"Rarely","1994","no migration background","in school","","","",""
"Rarely","1994","no migration background","inadequately","","","",""
"Rarely","1994","no migration background","general elemantary","","","",""
"Rarely","1994","no migration background","middle vocational","","","",""
"Rarely","1994","no migration background","vocational + Abi","","","",""
"Rarely","1994","no migration background","higher vocational","","","",""
"Rarely","1994","no migration background","higher education","","","",""
"Rarely","1994","direct migration background","in school","","","",""
"Rarely","1994","direct migration background","inadequately","","","",""
"Rarely","1994","direct migration background","general elemantary","","","",""
"Rarely","1994","direct migration background","middle vocational","","","",""
"Rarely","1994","direct migration background","vocational + Abi","","","",""
"Rarely","1994","direct migration background","higher vocational","","","",""
"Rarely","1994","direct migration background","higher education","","","",""
"Rarely","1994","indirect migration background","in school","","","",""
"Rarely","1994","indirect migration background","inadequately","","","",""
"Rarely","1994","indirect migration background","general elemantary","","","",""
