"pli0089","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1996","inadequately","","","","","1"
"Daily","1996","general elemantary","","","","","1"
"Daily","1996","middle vocational","","","","","1"
"Daily","1996","vocational + Abi","","","","","1"
"Daily","1996","higher vocational","","","","","1"
"Daily","1996","higher education","","","","","1"
"Min 1x per month","1996","in school","","","","","3"
"Min 1x per month","1996","inadequately","","","","","3"
"Min 1x per month","1996","middle vocational","","","","","3"
"Min 1x per month","1996","vocational + Abi","","","","","3"
"Min 1x per month","1996","higher education","","","","","3"
"Min 1x per month","1996","higher vocational","","","","","3"
"Min 1x per month","1996","general elemantary","","","","","3"
"Min 1x per week","1996","higher education","","","","","2"
"Min 1x per week","1996","in school","","","","","2"
"Min 1x per week","1996","inadequately","","","","","2"
"Min 1x per week","1996","middle vocational","","","","","2"
"Min 1x per week","1996","vocational + Abi","","","","","2"
"Min 1x per week","1996","higher vocational","","","","","2"
"Min 1x per week","1996","general elemantary","","","","","2"
"Never","1996","higher education","","","","","5"
"Never","1996","middle vocational","","","","","5"
"Never","1996","vocational + Abi","","","","","5"
"Never","1996","higher vocational","","","","","5"
"Never","1996","in school","","","","","5"
"Never","1996","inadequately","","","","","5"
"Never","1996","general elemantary","","","","","5"
"Rarely","1996","in school","","","","","4"
"Rarely","1996","middle vocational","","","","","4"
"Rarely","1996","higher education","","","","","4"
"Rarely","1996","general elemantary","","","","","4"
"Rarely","1996","vocational + Abi","","","","","4"
"Rarely","1996","higher vocational","","","","","4"
"Rarely","1996","inadequately","","","","","4"
"Daily","1997","vocational + Abi","","","","","1"
"Daily","1997","higher vocational","","","","","1"
"Daily","1997","higher education","","","","","1"
"Daily","1997","general elemantary","","","","","1"
"Daily","1997","middle vocational","","","","","1"
"Daily","1997","in school","","","","","1"
"Daily","1997","inadequately","","","","","1"
"Min 1x per month","1997","vocational + Abi","","","","","3"
"Min 1x per month","1997","higher education","","","","","3"
"Min 1x per month","1997","in school","","","","","3"
"Min 1x per month","1997","inadequately","","","","","3"
"Min 1x per month","1997","middle vocational","","","","","3"
"Min 1x per month","1997","higher vocational","","","","","3"
"Min 1x per month","1997","general elemantary","","","","","3"
"Min 1x per week","1997","higher education","","","","","2"
"Min 1x per week","1997","vocational + Abi","","","","","2"
"Min 1x per week","1997","higher vocational","","","","","2"
"Min 1x per week","1997","in school","","","","","2"
"Min 1x per week","1997","middle vocational","","","","","2"
"Min 1x per week","1997","inadequately","","","","","2"
"Min 1x per week","1997","general elemantary","","","","","2"
"Never","1997","higher education","","","","","5"
"Never","1997","middle vocational","","","","","5"
"Never","1997","vocational + Abi","","","","","5"
"Never","1997","higher vocational","","","","","5"
"Never","1997","in school","","","","","5"
"Never","1997","inadequately","","","","","5"
"Never","1997","general elemantary","","","","","5"
"Rarely","1997","higher education","","","","","4"
"Rarely","1997","in school","","","","","4"
"Rarely","1997","middle vocational","","","","","4"
"Rarely","1997","vocational + Abi","","","","","4"
"Rarely","1997","higher vocational","","","","","4"
"Rarely","1997","inadequately","","","","","4"
"Rarely","1997","general elemantary","","","","","4"
"Daily","1998","vocational + Abi","1","","","","1"
"Daily","1998","higher vocational","2","","","","1"
"Daily","1998","higher education","","","","","1"
"Daily","1998","general elemantary","2","","","","1"
"Daily","1998","middle vocational","11","","","","1"
"Daily","1998","in school","","","","","1"
"Daily","1998","inadequately","","","","","1"
"Min 1x per month","1998","vocational + Abi","41","0.0836028804968443","0.0595332893583043","0.107672471635384","3"
"Min 1x per month","1998","higher education","144","0.0752283233332747","0.0635692432462167","0.0868874034203327","3"
"Min 1x per month","1998","in school","57","0.192880563128318","0.150245856618745","0.235515269637891","3"
"Min 1x per month","1998","inadequately","16","","","","3"
"Min 1x per month","1998","middle vocational","566","0.0790230417825383","0.0727010273153036","0.085345056249773","3"
"Min 1x per month","1998","higher vocational","72","0.0766994215542958","0.0584852776714641","0.0949135654371275","3"
"Min 1x per month","1998","general elemantary","178","0.0588780381463566","0.0497019162191927","0.0680541600735204","3"
"Min 1x per week","1998","higher education","58","0.0307537222029379","0.0231220053559232","0.0383854390499527","2"
"Min 1x per week","1998","vocational + Abi","23","","","","2"
"Min 1x per week","1998","higher vocational","43","0.061899931796581","0.0454065074082465","0.0783933561849155","2"
"Min 1x per week","1998","in school","42","0.134912440751446","0.0979971600625142","0.171827721440378","2"
"Min 1x per week","1998","inadequately","21","","","","2"
"Min 1x per week","1998","middle vocational","378","0.052604981339782","0.0473733971877924","0.0578365654917717","2"
"Min 1x per week","1998","general elemantary","125","0.0406758293501036","0.0329754794814716","0.0483761792187356","2"
"Never","1998","higher education","1106","0.572179531664604","0.550309305578495","0.594049757750713","5"
"Never","1998","middle vocational","3852","0.554592187507058","0.542945028071523","0.566239346942593","5"
"Never","1998","vocational + Abi","261","0.492426026923879","0.44895134564097","0.535900708206788","5"
"Never","1998","higher vocational","397","0.522262824866653","0.488074309643603","0.556451340089703","5"
"Never","1998","in school","88","0.257534972315502","0.210284489617946","0.304785455013058","5"
"Never","1998","inadequately","342","0.782010176373296","0.743605782223558","0.820414570523034","5"
"Never","1998","general elemantary","1672","0.694227967452783","0.67626783690803","0.712188097997536","5"
"Rarely","1998","higher education","658","0.321838422799184","0.301187385552385","0.342489460045983","4"
"Rarely","1998","vocational + Abi","182","0.364771792135369","0.322912512919054","0.406631071351684","4"
"Rarely","1998","in school","142","0.414672023804734","0.361436424048679","0.467907623560789","4"
"Rarely","1998","inadequately","65","0.134430759094653","0.10270172591312","0.166159792276187","4"
"Rarely","1998","middle vocational","2188","0.312076107795116","0.301217986505509","0.322934229084723","4"
"Rarely","1998","higher vocational","306","0.337391633172066","0.305029527115563","0.369753739228569","4"
"Rarely","1998","general elemantary","551","0.205766731528956","0.19000800303692","0.221525460020992","4"
"Daily","1999","vocational + Abi","","","","","1"
"Daily","1999","higher vocational","","","","","1"
"Daily","1999","higher education","","","","","1"
"Daily","1999","in school","","","","","1"
"Daily","1999","inadequately","","","","","1"
"Daily","1999","general elemantary","","","","","1"
"Daily","1999","middle vocational","","","","","1"
"Min 1x per month","1999","higher education","","","","","3"
"Min 1x per month","1999","vocational + Abi","","","","","3"
"Min 1x per month","1999","in school","","","","","3"
"Min 1x per month","1999","middle vocational","","","","","3"
"Min 1x per month","1999","higher vocational","","","","","3"
"Min 1x per month","1999","inadequately","","","","","3"
"Min 1x per month","1999","general elemantary","","","","","3"
"Min 1x per week","1999","vocational + Abi","","","","","2"
"Min 1x per week","1999","higher education","","","","","2"
"Min 1x per week","1999","higher vocational","","","","","2"
"Min 1x per week","1999","middle vocational","","","","","2"
"Min 1x per week","1999","general elemantary","","","","","2"
"Min 1x per week","1999","in school","","","","","2"
"Min 1x per week","1999","inadequately","","","","","2"
"Never","1999","middle vocational","","","","","5"
"Never","1999","vocational + Abi","","","","","5"
"Never","1999","higher education","","","","","5"
"Never","1999","higher vocational","","","","","5"
"Never","1999","in school","","","","","5"
"Never","1999","inadequately","","","","","5"
"Never","1999","general elemantary","","","","","5"
"Rarely","1999","higher education","","","","","4"
"Rarely","1999","in school","","","","","4"
"Rarely","1999","middle vocational","","","","","4"
"Rarely","1999","vocational + Abi","","","","","4"
"Rarely","1999","higher vocational","","","","","4"
"Rarely","1999","general elemantary","","","","","4"
"Rarely","1999","inadequately","","","","","4"
"Daily","2000","vocational + Abi","","","","","1"
"Daily","2000","higher vocational","","","","","1"
"Daily","2000","higher education","","","","","1"
"Daily","2000","in school","","","","","1"
"Daily","2000","inadequately","","","","","1"
"Daily","2000","general elemantary","","","","","1"
"Daily","2000","middle vocational","","","","","1"
"Min 1x per month","2000","higher education","","","","","3"
"Min 1x per month","2000","vocational + Abi","","","","","3"
"Min 1x per month","2000","in school","","","","","3"
"Min 1x per month","2000","inadequately","","","","","3"
"Min 1x per month","2000","middle vocational","","","","","3"
"Min 1x per month","2000","higher vocational","","","","","3"
"Min 1x per month","2000","general elemantary","","","","","3"
"Min 1x per week","2000","vocational + Abi","","","","","2"
"Min 1x per week","2000","higher education","","","","","2"
"Min 1x per week","2000","higher vocational","","","","","2"
"Min 1x per week","2000","middle vocational","","","","","2"
"Min 1x per week","2000","general elemantary","","","","","2"
"Min 1x per week","2000","inadequately","","","","","2"
"Min 1x per week","2000","in school","","","","","2"
"Never","2000","higher education","","","","","5"
"Never","2000","middle vocational","","","","","5"
"Never","2000","vocational + Abi","","","","","5"
"Never","2000","higher vocational","","","","","5"
"Never","2000","in school","","","","","5"
"Never","2000","inadequately","","","","","5"
"Never","2000","general elemantary","","","","","5"
"Rarely","2000","higher education","","","","","4"
"Rarely","2000","in school","","","","","4"
"Rarely","2000","middle vocational","","","","","4"
"Rarely","2000","vocational + Abi","","","","","4"
"Rarely","2000","higher vocational","","","","","4"
"Rarely","2000","inadequately","","","","","4"
"Rarely","2000","general elemantary","","","","","4"
"Daily","2001","vocational + Abi","","","","","1"
"Daily","2001","higher vocational","","","","","1"
"Daily","2001","higher education","","","","","1"
"Daily","2001","in school","","","","","1"
"Daily","2001","inadequately","","","","","1"
"Daily","2001","general elemantary","","","","","1"
"Daily","2001","middle vocational","","","","","1"
"Min 1x per month","2001","vocational + Abi","","","","","3"
"Min 1x per month","2001","higher education","","","","","3"
"Min 1x per month","2001","in school","","","","","3"
"Min 1x per month","2001","inadequately","","","","","3"
"Min 1x per month","2001","middle vocational","","","","","3"
"Min 1x per month","2001","higher vocational","","","","","3"
"Min 1x per month","2001","general elemantary","","","","","3"
"Min 1x per week","2001","vocational + Abi","","","","","2"
"Min 1x per week","2001","higher vocational","","","","","2"
"Min 1x per week","2001","middle vocational","","","","","2"
"Min 1x per week","2001","higher education","","","","","2"
"Min 1x per week","2001","in school","","","","","2"
"Min 1x per week","2001","inadequately","","","","","2"
"Min 1x per week","2001","general elemantary","","","","","2"
"Never","2001","higher education","","","","","5"
"Never","2001","middle vocational","","","","","5"
"Never","2001","vocational + Abi","","","","","5"
"Never","2001","higher vocational","","","","","5"
"Never","2001","in school","","","","","5"
"Never","2001","inadequately","","","","","5"
"Never","2001","general elemantary","","","","","5"
"Rarely","2001","higher education","","","","","4"
"Rarely","2001","vocational + Abi","","","","","4"
"Rarely","2001","in school","","","","","4"
"Rarely","2001","inadequately","","","","","4"
"Rarely","2001","middle vocational","","","","","4"
"Rarely","2001","higher vocational","","","","","4"
"Rarely","2001","general elemantary","","","","","4"
"Daily","2002","vocational + Abi","","","","","1"
"Daily","2002","higher vocational","","","","","1"
"Daily","2002","higher education","","","","","1"
"Daily","2002","in school","","","","","1"
"Daily","2002","inadequately","","","","","1"
"Daily","2002","general elemantary","","","","","1"
"Daily","2002","middle vocational","","","","","1"
"Min 1x per month","2002","vocational + Abi","","","","","3"
"Min 1x per month","2002","higher education","","","","","3"
"Min 1x per month","2002","middle vocational","","","","","3"
"Min 1x per month","2002","in school","","","","","3"
"Min 1x per month","2002","inadequately","","","","","3"
"Min 1x per month","2002","higher vocational","","","","","3"
"Min 1x per month","2002","general elemantary","","","","","3"
"Min 1x per week","2002","vocational + Abi","","","","","2"
"Min 1x per week","2002","higher education","","","","","2"
"Min 1x per week","2002","higher vocational","","","","","2"
"Min 1x per week","2002","middle vocational","","","","","2"
"Min 1x per week","2002","in school","","","","","2"
"Min 1x per week","2002","general elemantary","","","","","2"
"Min 1x per week","2002","inadequately","","","","","2"
"Never","2002","middle vocational","","","","","5"
"Never","2002","vocational + Abi","","","","","5"
"Never","2002","higher education","","","","","5"
"Never","2002","higher vocational","","","","","5"
"Never","2002","in school","","","","","5"
"Never","2002","inadequately","","","","","5"
"Never","2002","general elemantary","","","","","5"
"Rarely","2002","higher education","","","","","4"
"Rarely","2002","vocational + Abi","","","","","4"
"Rarely","2002","higher vocational","","","","","4"
"Rarely","2002","in school","","","","","4"
"Rarely","2002","inadequately","","","","","4"
"Rarely","2002","middle vocational","","","","","4"
"Rarely","2002","general elemantary","","","","","4"
"Daily","2003","vocational + Abi","2","","","","1"
"Daily","2003","higher vocational","4","","","","1"
"Daily","2003","higher education","3","","","","1"
"Daily","2003","in school","5","","","","1"
"Daily","2003","inadequately","","","","","1"
"Daily","2003","general elemantary","3","","","","1"
"Daily","2003","middle vocational","12","","","","1"
"Min 1x per month","2003","vocational + Abi","130","0.101843460421118","0.0844239316194772","0.119262989222759","3"
"Min 1x per month","2003","higher education","325","0.0753112620961572","0.0674556272646714","0.0831668969276431","3"
"Min 1x per month","2003","middle vocational","854","0.0701372346216895","0.0653827530062589","0.0748917162371202","3"
"Min 1x per month","2003","in school","116","0.187189931488432","0.156235776446728","0.218144086530137","3"
"Min 1x per month","2003","inadequately","14","","","","3"
"Min 1x per month","2003","higher vocational","131","0.0810501220450039","0.067988283581919","0.0941119605080887","3"
"Min 1x per month","2003","general elemantary","178","0.059750388384762","0.0508851631863615","0.0686156135831625","3"
"Min 1x per week","2003","vocational + Abi","57","0.0446603598219151","0.0327634595940656","0.0565572600497646","2"
"Min 1x per week","2003","higher education","150","0.0372996398982518","0.0316587005945602","0.0429405792019434","2"
"Min 1x per week","2003","higher vocational","85","0.045154299467942","0.0352163287530083","0.0550922701828758","2"
"Min 1x per week","2003","middle vocational","592","0.0491943649290612","0.0451679087482094","0.0532208211099129","2"
"Min 1x per week","2003","general elemantary","110","0.0403565675744667","0.0329960240867905","0.0477171110621428","2"
"Min 1x per week","2003","in school","88","0.120555219338161","0.0947159356427288","0.146394503033593","2"
"Min 1x per week","2003","inadequately","12","","","","2"
"Never","2003","higher education","2338","0.556951379392274","0.542164113691556","0.571738645092991","5"
"Never","2003","middle vocational","6375","0.588526849526334","0.579365207559544","0.597688491493125","5"
"Never","2003","vocational + Abi","589","0.530476650767698","0.501732098720787","0.559221202814609","5"
"Never","2003","higher vocational","887","0.52906796662642","0.505177952329356","0.552957980923484","5"
"Never","2003","in school","173","0.305354600768646","0.26880631690988","0.341902884627412","5"
"Never","2003","inadequately","223","0.814504591686205","0.767880990985874","0.861128192386536","5"
"Never","2003","general elemantary","1950","0.737815620549549","0.721365270109218","0.754265970989881","5"
"Rarely","2003","higher education","1519","0.329319726370173","0.315329646964785","0.343309805775561","4"
"Rarely","2003","vocational + Abi","380","0.321776597124645","0.294870083741747","0.348683110507543","4"
"Rarely","2003","higher vocational","570","0.339140828260433","0.316482594196713","0.361799062324153","4"
"Rarely","2003","in school","228","0.378577387316458","0.340086844603674","0.417067930029243","4"
"Rarely","2003","middle vocational","3250","0.291320411859417","0.282861201126418","0.299779622592417","4"
"Rarely","2003","inadequately","18","","","","4"
"Rarely","2003","general elemantary","505","0.161392589459426","0.14763257255877","0.175152606360081","4"
"Daily","2004","vocational + Abi","","","","","1"
"Daily","2004","higher vocational","","","","","1"
"Daily","2004","higher education","","","","","1"
"Daily","2004","inadequately","","","","","1"
"Daily","2004","general elemantary","","","","","1"
"Daily","2004","middle vocational","","","","","1"
"Daily","2004","in school","","","","","1"
"Min 1x per month","2004","vocational + Abi","","","","","3"
"Min 1x per month","2004","higher education","","","","","3"
"Min 1x per month","2004","inadequately","","","","","3"
"Min 1x per month","2004","middle vocational","","","","","3"
"Min 1x per month","2004","higher vocational","","","","","3"
"Min 1x per month","2004","in school","","","","","3"
"Min 1x per month","2004","general elemantary","","","","","3"
"Min 1x per week","2004","higher vocational","","","","","2"
"Min 1x per week","2004","vocational + Abi","","","","","2"
"Min 1x per week","2004","middle vocational","","","","","2"
"Min 1x per week","2004","higher education","","","","","2"
"Min 1x per week","2004","inadequately","","","","","2"
"Min 1x per week","2004","general elemantary","","","","","2"
"Min 1x per week","2004","in school","","","","","2"
"Never","2004","higher education","","","","","5"
"Never","2004","middle vocational","","","","","5"
"Never","2004","vocational + Abi","","","","","5"
"Never","2004","higher vocational","","","","","5"
"Never","2004","in school","","","","","5"
"Never","2004","inadequately","","","","","5"
"Never","2004","general elemantary","","","","","5"
"Rarely","2004","higher education","","","","","4"
"Rarely","2004","vocational + Abi","","","","","4"
"Rarely","2004","higher vocational","","","","","4"
"Rarely","2004","middle vocational","","","","","4"
"Rarely","2004","inadequately","","","","","4"
"Rarely","2004","general elemantary","","","","","4"
"Rarely","2004","in school","","","","","4"
"Daily","2005","vocational + Abi","","","","","1"
"Daily","2005","higher vocational","","","","","1"
"Daily","2005","higher education","","","","","1"
"Daily","2005","inadequately","","","","","1"
