"pli0089","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1992","no migration background","Rural Area","","","","","1"
"Daily","1992","direct migration background","Urban Area","","","","","1"
"Daily","1992","direct migration background","Rural Area","","","","","1"
"Daily","1992","indirect migration background","Urban Area","","","","","1"
"Daily","1992","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1992","no migration background","Rural Area","","","","","3"
"Min 1x per month","1992","no migration background","Urban Area","","","","","3"
"Min 1x per month","1992","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1992","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1992","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1992","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1992","no migration background","Urban Area","","","","","2"
"Min 1x per week","1992","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1992","no migration background","Rural Area","","","","","2"
"Min 1x per week","1992","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1992","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1992","indirect migration background","Rural Area","","","","","2"
"Never","1992","no migration background","Urban Area","","","","","5"
"Never","1992","no migration background","Rural Area","","","","","5"
"Never","1992","direct migration background","Urban Area","","","","","5"
"Never","1992","direct migration background","Rural Area","","","","","5"
"Never","1992","indirect migration background","Urban Area","","","","","5"
"Never","1992","indirect migration background","Rural Area","","","","","5"
"Rarely","1992","no migration background","Urban Area","","","","","4"
"Rarely","1992","no migration background","Rural Area","","","","","4"
"Rarely","1992","direct migration background","Urban Area","","","","","4"
"Rarely","1992","direct migration background","Rural Area","","","","","4"
"Rarely","1992","indirect migration background","Urban Area","","","","","4"
"Rarely","1992","indirect migration background","Rural Area","","","","","4"
"Daily","1993","no migration background","Urban Area","","","","","1"
"Daily","1993","no migration background","Rural Area","","","","","1"
"Daily","1993","direct migration background","Urban Area","","","","","1"
"Daily","1993","direct migration background","Rural Area","","","","","1"
"Daily","1993","indirect migration background","Urban Area","","","","","1"
"Daily","1993","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1993","no migration background","Urban Area","","","","","3"
"Min 1x per month","1993","no migration background","Rural Area","","","","","3"
"Min 1x per month","1993","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1993","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1993","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1993","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1993","no migration background","Urban Area","","","","","2"
"Min 1x per week","1993","no migration background","Rural Area","","","","","2"
"Min 1x per week","1993","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1993","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1993","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1993","indirect migration background","Rural Area","","","","","2"
"Never","1993","no migration background","Urban Area","","","","","5"
"Never","1993","no migration background","Rural Area","","","","","5"
"Never","1993","direct migration background","Urban Area","","","","","5"
"Never","1993","direct migration background","Rural Area","","","","","5"
"Never","1993","indirect migration background","Urban Area","","","","","5"
"Never","1993","indirect migration background","Rural Area","","","","","5"
"Rarely","1993","no migration background","Urban Area","","","","","4"
"Rarely","1993","no migration background","Rural Area","","","","","4"
"Rarely","1993","direct migration background","Urban Area","","","","","4"
"Rarely","1993","direct migration background","Rural Area","","","","","4"
"Rarely","1993","indirect migration background","Urban Area","","","","","4"
"Rarely","1993","indirect migration background","Rural Area","","","","","4"
"Daily","1994","no migration background","Urban Area","","","","","1"
"Daily","1994","no migration background","Rural Area","","","","","1"
"Daily","1994","direct migration background","Urban Area","","","","","1"
"Daily","1994","direct migration background","Rural Area","","","","","1"
"Daily","1994","indirect migration background","Urban Area","","","","","1"
"Daily","1994","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1994","no migration background","Rural Area","","","","","3"
"Min 1x per month","1994","no migration background","Urban Area","","","","","3"
"Min 1x per month","1994","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1994","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1994","indirect migration background","Rural Area","","","","","3"
"Min 1x per month","1994","indirect migration background","Urban Area","","","","","3"
"Min 1x per week","1994","no migration background","Urban Area","","","","","2"
"Min 1x per week","1994","no migration background","Rural Area","","","","","2"
"Min 1x per week","1994","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1994","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1994","indirect migration background","Rural Area","","","","","2"
"Min 1x per week","1994","indirect migration background","Urban Area","","","","","2"
"Never","1994","no migration background","Urban Area","","","","","5"
"Never","1994","no migration background","Rural Area","","","","","5"
"Never","1994","direct migration background","Urban Area","","","","","5"
"Never","1994","direct migration background","Rural Area","","","","","5"
"Never","1994","indirect migration background","Urban Area","","","","","5"
"Never","1994","indirect migration background","Rural Area","","","","","5"
"Rarely","1994","no migration background","Rural Area","","","","","4"
"Rarely","1994","no migration background","Urban Area","","","","","4"
"Rarely","1994","direct migration background","Rural Area","","","","","4"
"Rarely","1994","direct migration background","Urban Area","","","","","4"
"Rarely","1994","indirect migration background","Urban Area","","","","","4"
"Rarely","1994","indirect migration background","Rural Area","","","","","4"
"Daily","1995","no migration background","Urban Area","9","","","","1"
"Daily","1995","no migration background","Rural Area","4","","","","1"
"Daily","1995","direct migration background","Urban Area","3","","","","1"
"Daily","1995","direct migration background","Rural Area","","","","","1"
"Daily","1995","indirect migration background","Urban Area","7","","","","1"
"Daily","1995","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1995","no migration background","Urban Area","453","0.0710991456220073","0.0646287825480139","0.0775695086960007","3"
"Min 1x per month","1995","no migration background","Rural Area","307","0.0796742227221834","0.0711832763836967","0.0881651690606701","3"
"Min 1x per month","1995","direct migration background","Urban Area","153","0.060912676969012","0.0511888580820759","0.070636495855948","3"
"Min 1x per month","1995","direct migration background","Rural Area","31","0.0676168011883095","0.0446964029824895","0.0905371993941295","3"
"Min 1x per month","1995","indirect migration background","Urban Area","74","0.11608219275593","0.0859109717534964","0.146253413758363","3"
"Min 1x per month","1995","indirect migration background","Rural Area","12","","","","3"
"Min 1x per week","1995","no migration background","Urban Area","283","0.0482630131908027","0.0428669445072666","0.0536590818743387","2"
"Min 1x per week","1995","no migration background","Rural Area","193","0.0518761423823531","0.044922013110448","0.0588302716542582","2"
"Min 1x per week","1995","direct migration background","Urban Area","106","0.0487653664041595","0.040008885557013","0.0575218472513061","2"
"Min 1x per week","1995","direct migration background","Rural Area","29","","","","2"
"Min 1x per week","1995","indirect migration background","Urban Area","51","0.116663190029282","0.0864265011764449","0.146899878882119","2"
"Min 1x per week","1995","indirect migration background","Rural Area","7","","","","2"
"Never","1995","no migration background","Urban Area","3608","0.610251364131527","0.597972492466001","0.622530235797053","5"
"Never","1995","no migration background","Rural Area","2221","0.581054361239359","0.565583531561315","0.596525190917403","5"
"Never","1995","direct migration background","Urban Area","1614","0.69038557986906","0.671588669317782","0.709182490420338","5"
"Never","1995","direct migration background","Rural Area","310","0.626481047478223","0.582323197631335","0.67063889732511","5"
"Never","1995","indirect migration background","Urban Area","191","0.504837450195726","0.457744725302775","0.551930175088678","5"
"Never","1995","indirect migration background","Rural Area","24","","","","5"
"Rarely","1995","no migration background","Rural Area","1182","0.286259560345943","0.27208607896952","0.300433041722365","4"
"Rarely","1995","no migration background","Urban Area","1707","0.269372809727934","0.258203236690986","0.280542382764881","4"
"Rarely","1995","direct migration background","Urban Area","448","0.198388348773316","0.182175097219017","0.214601600327615","4"
"Rarely","1995","direct migration background","Rural Area","91","0.255854592277181","0.216023415309009","0.295685769245354","4"
"Rarely","1995","indirect migration background","Urban Area","110","0.244735917383121","0.204240823117979","0.285231011648263","4"
"Rarely","1995","indirect migration background","Rural Area","32","0.419358703484892","0.30768157203813","0.531035834931654","4"
"Daily","1996","no migration background","Urban Area","","","","","1"
"Daily","1996","no migration background","Rural Area","","","","","1"
"Daily","1996","direct migration background","Urban Area","","","","","1"
"Daily","1996","direct migration background","Rural Area","","","","","1"
"Daily","1996","indirect migration background","Urban Area","","","","","1"
"Daily","1996","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1996","no migration background","Urban Area","","","","","3"
"Min 1x per month","1996","no migration background","Rural Area","","","","","3"
"Min 1x per month","1996","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1996","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1996","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1996","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1996","no migration background","Urban Area","","","","","2"
"Min 1x per week","1996","no migration background","Rural Area","","","","","2"
"Min 1x per week","1996","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1996","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1996","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1996","indirect migration background","Rural Area","","","","","2"
"Never","1996","no migration background","Urban Area","","","","","5"
"Never","1996","no migration background","Rural Area","","","","","5"
"Never","1996","direct migration background","Urban Area","","","","","5"
"Never","1996","direct migration background","Rural Area","","","","","5"
"Never","1996","indirect migration background","Urban Area","","","","","5"
"Never","1996","indirect migration background","Rural Area","","","","","5"
"Rarely","1996","no migration background","Rural Area","","","","","4"
"Rarely","1996","no migration background","Urban Area","","","","","4"
"Rarely","1996","direct migration background","Urban Area","","","","","4"
"Rarely","1996","direct migration background","Rural Area","","","","","4"
"Rarely","1996","indirect migration background","Urban Area","","","","","4"
"Rarely","1996","indirect migration background","Rural Area","","","","","4"
"Daily","1997","no migration background","Urban Area","","","","","1"
"Daily","1997","no migration background","Rural Area","","","","","1"
"Daily","1997","direct migration background","Urban Area","","","","","1"
"Daily","1997","direct migration background","Rural Area","","","","","1"
"Daily","1997","indirect migration background","Urban Area","","","","","1"
"Daily","1997","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1997","no migration background","Urban Area","","","","","3"
"Min 1x per month","1997","no migration background","Rural Area","","","","","3"
"Min 1x per month","1997","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1997","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1997","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1997","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1997","no migration background","Urban Area","","","","","2"
"Min 1x per week","1997","no migration background","Rural Area","","","","","2"
"Min 1x per week","1997","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1997","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1997","indirect migration background","Rural Area","","","","","2"
"Min 1x per week","1997","indirect migration background","Urban Area","","","","","2"
"Never","1997","no migration background","Urban Area","","","","","5"
"Never","1997","no migration background","Rural Area","","","","","5"
"Never","1997","direct migration background","Urban Area","","","","","5"
"Never","1997","direct migration background","Rural Area","","","","","5"
"Never","1997","indirect migration background","Urban Area","","","","","5"
"Never","1997","indirect migration background","Rural Area","","","","","5"
"Rarely","1997","no migration background","Urban Area","","","","","4"
"Rarely","1997","direct migration background","Urban Area","","","","","4"
"Rarely","1997","no migration background","Rural Area","","","","","4"
"Rarely","1997","direct migration background","Rural Area","","","","","4"
"Rarely","1997","indirect migration background","Urban Area","","","","","4"
"Rarely","1997","indirect migration background","Rural Area","","","","","4"
"Daily","1998","no migration background","Urban Area","9","","","","1"
"Daily","1998","no migration background","Rural Area","4","","","","1"
"Daily","1998","direct migration background","Urban Area","1","","","","1"
"Daily","1998","direct migration background","Rural Area","1","","","","1"
"Daily","1998","indirect migration background","Rural Area","","","","","1"
"Daily","1998","indirect migration background","Urban Area","1","","","","1"
"Min 1x per month","1998","no migration background","Urban Area","545","0.078425522382144","0.0720562910913507","0.0847947536729373","3"
"Min 1x per month","1998","no migration background","Rural Area","360","0.0819519371043567","0.0737961567406568","0.0901077174680566","3"
"Min 1x per month","1998","direct migration background","Urban Area","118","0.0514279429249052","0.0417384162484746","0.0611174696013359","3"
"Min 1x per month","1998","direct migration background","Rural Area","30","0.0534678758949469","0.0315852609263164","0.0753504908635774","3"
"Min 1x per month","1998","indirect migration background","Rural Area","11","","","","3"
"Min 1x per month","1998","indirect migration background","Urban Area","62","0.100968695623584","0.0747689536105812","0.127168437636587","3"
"Min 1x per week","1998","no migration background","Urban Area","309","0.0443621085418013","0.0394840628795905","0.049240154204012","2"
"Min 1x per week","1998","no migration background","Rural Area","246","0.0566238269887952","0.049751635357663","0.0634960186199274","2"
"Min 1x per week","1998","direct migration background","Urban Area","89","0.0432906835994901","0.0343626658295521","0.0522187013694281","2"
"Min 1x per week","1998","direct migration background","Rural Area","24","","","","2"
"Min 1x per week","1998","indirect migration background","Urban Area","44","0.106306499131978","0.0795030648635091","0.133109933400447","2"
"Min 1x per week","1998","indirect migration background","Rural Area","12","","","","2"
"Never","1998","no migration background","Urban Area","3840","0.570709996744326","0.558983285855039","0.582436707633613","5"
"Never","1998","no migration background","Rural Area","2353","0.560203195195461","0.545444361934011","0.574962028456911","5"
"Never","1998","direct migration background","Urban Area","1355","0.667489937105279","0.646822216569859","0.6881576576407","5"
"Never","1998","direct migration background","Rural Area","263","0.675467170199045","0.629924707062183","0.721009633335908","5"
"Never","1998","indirect migration background","Urban Area","218","0.414333428111301","0.371496685407814","0.457170170814789","5"
"Never","1998","indirect migration background","Rural Area","29","","","","5"
"Rarely","1998","no migration background","Urban Area","2141","0.305053210570855","0.294144920776137","0.315961500365574","4"
"Rarely","1998","no migration background","Rural Area","1382","0.300673584551669","0.287039034682459","0.31430813442088","4"
"Rarely","1998","direct migration background","Urban Area","433","0.237195745232223","0.218535049863691","0.255856440600755","4"
"Rarely","1998","direct migration background","Rural Area","88","0.213581400491057","0.173716225261603","0.25344657572051","4"
"Rarely","1998","indirect migration background","Rural Area","38","0.322238991037611","0.22568857019079","0.418789411884433","4"
"Rarely","1998","indirect migration background","Urban Area","183","0.377719825828084","0.335560456304539","0.419879195351629","4"
"Daily","1999","no migration background","Urban Area","","","","","1"
"Daily","1999","no migration background","Rural Area","","","","","1"
"Daily","1999","direct migration background","Urban Area","","","","","1"
"Daily","1999","direct migration background","Rural Area","","","","","1"
"Daily","1999","indirect migration background","Rural Area","","","","","1"
"Daily","1999","indirect migration background","Urban Area","","","","","1"
"Min 1x per month","1999","no migration background","Urban Area","","","","","3"
"Min 1x per month","1999","no migration background","Rural Area","","","","","3"
"Min 1x per month","1999","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1999","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1999","indirect migration background","Rural Area","","","","","3"
"Min 1x per month","1999","indirect migration background","Urban Area","","","","","3"
"Min 1x per week","1999","no migration background","Urban Area","","","","","2"
"Min 1x per week","1999","no migration background","Rural Area","","","","","2"
"Min 1x per week","1999","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1999","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1999","indirect migration background","Rural Area","","","","","2"
"Min 1x per week","1999","indirect migration background","Urban Area","","","","","2"
"Never","1999","no migration background","Rural Area","","","","","5"
"Never","1999","no migration background","Urban Area","","","","","5"
"Never","1999","direct migration background","Urban Area","","","","","5"
"Never","1999","direct migration background","Rural Area","","","","","5"
"Never","1999","indirect migration background","Urban Area","","","","","5"
"Never","1999","indirect migration background","Rural Area","","","","","5"
"Rarely","1999","no migration background","Urban Area","","","","","4"
"Rarely","1999","no migration background","Rural Area","","","","","4"
"Rarely","1999","direct migration background","Urban Area","","","","","4"
"Rarely","1999","direct migration background","Rural Area","","","","","4"
"Rarely","1999","indirect migration background","Urban Area","","","","","4"
"Rarely","1999","indirect migration background","Rural Area","","","","","4"
"Daily","2000","no migration background","Urban Area","","","","","1"
"Daily","2000","no migration background","Rural Area","","","","","1"
"Daily","2000","direct migration background","Urban Area","","","","","1"
"Daily","2000","direct migration background","Rural Area","","","","","1"
"Daily","2000","indirect migration background","Urban Area","","","","","1"
"Daily","2000","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","2000","no migration background","Urban Area","","","","","3"
"Min 1x per month","2000","no migration background","Rural Area","","","","","3"
"Min 1x per month","2000","direct migration background","Urban Area","","","","","3"
"Min 1x per month","2000","direct migration background","Rural Area","","","","","3"
"Min 1x per month","2000","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","2000","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","2000","no migration background","Urban Area","","","","","2"
"Min 1x per week","2000","no migration background","Rural Area","","","","","2"
"Min 1x per week","2000","direct migration background","Urban Area","","","","","2"
"Min 1x per week","2000","direct migration background","Rural Area","","","","","2"
"Min 1x per week","2000","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","2000","indirect migration background","Rural Area","","","","","2"
"Never","2000","no migration background","Urban Area","","","","","5"
"Never","2000","no migration background","Rural Area","","","","","5"
"Never","2000","direct migration background","Urban Area","","","","","5"
"Never","2000","direct migration background","Rural Area","","","","","5"
"Never","2000","indirect migration background","Urban Area","","","","","5"
"Never","2000","indirect migration background","Rural Area","","","","","5"
"Rarely","2000","no migration background","Urban Area","","","","","4"
"Rarely","2000","no migration background","Rural Area","","","","","4"
"Rarely","2000","direct migration background","Urban Area","","","","","4"
"Rarely","2000","direct migration background","Rural Area","","","","","4"
"Rarely","2000","indirect migration background","Urban Area","","","","","4"
"Rarely","2000","indirect migration background","Rural Area","","","","","4"
"Daily","2001","no migration background","Urban Area","","","","","1"
"Daily","2001","no migration background","Rural Area","","","","","1"
"Daily","2001","direct migration background","Urban Area","","","","","1"
"Daily","2001","direct migration background","Rural Area","","","","","1"
"Daily","2001","indirect migration background","Rural Area","","","","","1"
"Daily","2001","indirect migration background","Urban Area","","","","","1"
"Min 1x per month","2001","no migration background","Urban Area","","","","","3"
"Min 1x per month","2001","no migration background","Rural Area","","","","","3"
"Min 1x per month","2001","direct migration background","Urban Area","","","","","3"
"Min 1x per month","2001","direct migration background","Rural Area","","","","","3"
"Min 1x per month","2001","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","2001","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","2001","no migration background","Rural Area","","","","","2"
"Min 1x per week","2001","no migration background","Urban Area","","","","","2"
"Min 1x per week","2001","direct migration background","Urban Area","","","","","2"
"Min 1x per week","2001","direct migration background","Rural Area","","","","","2"
"Min 1x per week","2001","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","2001","indirect migration background","Rural Area","","","","","2"
"Never","2001","no migration background","Rural Area","","","","","5"
"Never","2001","no migration background","Urban Area","","","","","5"
"Never","2001","direct migration background","Urban Area","","","","","5"
"Never","2001","direct migration background","Rural Area","","","","","5"
"Never","2001","indirect migration background","Urban Area","","","","","5"
"Never","2001","indirect migration background","Rural Area","","","","","5"
"Rarely","2001","no migration background","Urban Area","","","","","4"
"Rarely","2001","no migration background","Rural Area","","","","","4"
"Rarely","2001","direct migration background","Urban Area","","","","","4"
"Rarely","2001","indirect migration background","Urban Area","","","","","4"
"Rarely","2001","direct migration background","Rural Area","","","","","4"
"Rarely","2001","indirect migration background","Rural Area","","","","","4"
"Daily","2002","no migration background","Urban Area","","","","","1"
"Daily","2002","no migration background","Rural Area","","","","","1"
"Daily","2002","direct migration background","Urban Area","","","","","1"
"Daily","2002","direct migration background","Rural Area","","","","","1"
"Daily","2002","indirect migration background","Rural Area","","","","","1"
"Daily","2002","indirect migration background","Urban Area","","","","","1"
"Min 1x per month","2002","no migration background","Urban Area","","","","","3"
"Min 1x per month","2002","no migration background","Rural Area","","","","","3"
"Min 1x per month","2002","direct migration background","Urban Area","","","","","3"
"Min 1x per month","2002","direct migration background","Rural Area","","","","","3"
"Min 1x per month","2002","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","2002","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","2002","no migration background","Urban Area","","","","","2"
"Min 1x per week","2002","no migration background","Rural Area","","","","","2"
"Min 1x per week","2002","direct migration background","Urban Area","","","","","2"
"Min 1x per week","2002","direct migration background","Rural Area","","","","","2"
"Min 1x per week","2002","indirect migration background","Rural Area","","","","","2"
"Min 1x per week","2002","indirect migration background","Urban Area","","","","","2"
"Never","2002","no migration background","Urban Area","","","","","5"
"Never","2002","no migration background","Rural Area","","","","","5"
"Never","2002","direct migration background","Urban Area","","","","","5"
"Never","2002","direct migration background","Rural Area","","","","","5"
"Never","2002","indirect migration background","Urban Area","","","","","5"
"Never","2002","indirect migration background","Rural Area","","","","","5"
"Rarely","2002","no migration background","Urban Area","","","","","4"
"Rarely","2002","no migration background","Rural Area","","","","","4"
"Rarely","2002","direct migration background","Urban Area","","","","","4"
"Rarely","2002","direct migration background","Rural Area","","","","","4"
"Rarely","2002","indirect migration background","Urban Area","","","","","4"
"Rarely","2002","indirect migration background","Rural Area","","","","","4"
"Daily","2003","no migration background","Urban Area","13","","","","1"
"Daily","2003","no migration background","Rural Area","9","","","","1"
"Daily","2003","direct migration background","Urban Area","3","","","","1"
"Daily","2003","direct migration background","Rural Area","1","","","","1"
"Daily","2003","indirect migration background","Urban Area","5","","","","1"
"Daily","2003","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","2003","no migration background","Urban Area","994","0.078799441070677","0.0739732623344946","0.0836256198068595","3"
"Min 1x per month","2003","no migration background","Rural Area","544","0.0755741955506091","0.0692649633178807","0.0818834277833374","3"
"Min 1x per month","2003","direct migration background","Urban Area","119","0.043686343252531","0.0350546049017554","0.0523180816033067","3"
"Min 1x per month","2003","direct migration background","Rural Area","32","0.0767274001007696","0.0524312286780465","0.101023571523493","3"
"Min 1x per month","2003","indirect migration background","Urban Area","81","0.106143335740944","0.0830091167540835","0.129277554727805","3"
"Min 1x per month","2003","indirect migration background","Rural Area","9","","","","3"
"Min 1x per week","2003","no migration background","Rural Area","356","0.0524391976552342","0.0471182954185903","0.0577600998918781","2"
"Min 1x per week","2003","no migration background","Urban Area","575","0.042272610579661","0.0386683579397754","0.0458768632195465","2"
"Min 1x per week","2003","direct migration background","Urban Area","101","0.0449180250126834","0.0361710901526639","0.0536649598727028","2"
"Min 1x per week","2003","direct migration background","Rural Area","19","","","","2"
"Min 1x per week","2003","indirect migration background","Rural Area","8","","","","2"
"Min 1x per week","2003","indirect migration background","Urban Area","48","0.100068977242544","0.0775302765015147","0.122607677983573","2"
"Never","2003","no migration background","Urban Area","6727","0.589674598271867","0.580863396458","0.598485800085735","5"
"Never","2003","no migration background","Rural Area","3677","0.55608702912121","0.544227320555617","0.567946737686804","5"
"Never","2003","direct migration background","Urban Area","1524","0.714229740694748","0.695150867516237","0.73330861387326","5"
"Never","2003","direct migration background","Rural Area","317","0.675084706742337","0.632332174828261","0.717837238656412","5"
"Never","2003","indirect migration background","Urban Area","342","0.511704039698552","0.474161337928207","0.549246741468897","5"
"Never","2003","indirect migration background","Rural Area","56","0.604570180120359","0.508739149112035","0.700401211128684","5"
"Rarely","2003","no migration background","Urban Area","3663","0.288406663070772","0.280291760345781","0.296521565795763","4"
"Rarely","2003","no migration background","Rural Area","2156","0.314869895402243","0.303783105635902","0.325956685168583","4"
"Rarely","2003","direct migration background","Urban Area","407","0.194967359363892","0.178236704466851","0.211698014260932","4"
"Rarely","2003","direct migration background","Rural Area","92","0.207190630159009","0.170193582324314","0.244187677993703","4"
"Rarely","2003","indirect migration background","Rural Area","27","","","","4"
"Rarely","2003","indirect migration background","Urban Area","205","0.27517200869448","0.24162960817819","0.308714409210771","4"
"Daily","2004","no migration background","Urban Area","","","","","1"
