"pli0089","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1994","no migration background","West Germany","","","","","3"
"Min 1x per month","1994","direct migration background","West Germany","","","","","3"
"Min 1x per month","1994","direct migration background","East Germany","","","","","3"
"Min 1x per month","1994","indirect migration background","East Germany","","","","","3"
"Min 1x per month","1994","indirect migration background","West Germany","","","","","3"
"Min 1x per week","1994","no migration background","West Germany","","","","","2"
"Min 1x per week","1994","no migration background","East Germany","","","","","2"
"Min 1x per week","1994","direct migration background","West Germany","","","","","2"
"Min 1x per week","1994","direct migration background","East Germany","","","","","2"
"Min 1x per week","1994","indirect migration background","East Germany","","","","","2"
"Min 1x per week","1994","indirect migration background","West Germany","","","","","2"
"Never","1994","no migration background","West Germany","","","","","5"
"Never","1994","no migration background","East Germany","","","","","5"
"Never","1994","direct migration background","West Germany","","","","","5"
"Never","1994","direct migration background","East Germany","","","","","5"
"Never","1994","indirect migration background","West Germany","","","","","5"
"Never","1994","indirect migration background","East Germany","","","","","5"
"Rarely","1994","no migration background","East Germany","","","","","4"
"Rarely","1994","no migration background","West Germany","","","","","4"
"Rarely","1994","direct migration background","East Germany","","","","","4"
"Rarely","1994","direct migration background","West Germany","","","","","4"
"Rarely","1994","indirect migration background","West Germany","","","","","4"
"Rarely","1994","indirect migration background","East Germany","","","","","4"
"Daily","1995","no migration background","West Germany","9","","","","1"
"Daily","1995","no migration background","East Germany","4","","","","1"
"Daily","1995","direct migration background","West Germany","3","","","","1"
"Daily","1995","direct migration background","East Germany","","","","","1"
"Daily","1995","indirect migration background","West Germany","7","","","","1"
"Daily","1995","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1995","no migration background","West Germany","561","0.0805385523328388","0.0738974999577542","0.0871796047079234","3"
"Min 1x per month","1995","no migration background","East Germany","199","0.0499528320762759","0.0427531296220834","0.0571525345304685","3"
"Min 1x per month","1995","direct migration background","West Germany","175","0.0619405566150923","0.0527508374173214","0.0711302758128632","3"
"Min 1x per month","1995","direct migration background","East Germany","9","","","","3"
"Min 1x per month","1995","indirect migration background","West Germany","84","0.128892391353954","0.0992839815020226","0.158500801205885","3"
"Min 1x per month","1995","indirect migration background","East Germany","2","","","","3"
"Min 1x per week","1995","no migration background","West Germany","343","0.0532053780837542","0.0477279852190448","0.0586827709484637","2"
"Min 1x per week","1995","no migration background","East Germany","133","0.0358690563396924","0.0297230940199123","0.0420150186594725","2"
"Min 1x per week","1995","direct migration background","West Germany","132","0.0512764623851","0.0428677717472186","0.0596851530229814","2"
"Min 1x per week","1995","direct migration background","East Germany","3","","","","2"
"Min 1x per week","1995","indirect migration background","West Germany","58","0.116080289098755","0.0877760692157713","0.144384508981739","2"
"Min 1x per week","1995","indirect migration background","East Germany","","","","","2"
"Never","1995","no migration background","West Germany","3602","0.5815464183178","0.569507594159724","0.593585242475876","5"
"Never","1995","no migration background","East Germany","2227","0.669851173656921","0.654309207925561","0.685393139388281","5"
"Never","1995","direct migration background","West Germany","1826","0.676915523540957","0.65908661356329","0.694744433518624","5"
"Never","1995","direct migration background","East Germany","98","0.700922478470182","0.625616267039296","0.776228689901069","5"
"Never","1995","indirect migration background","West Germany","206","0.470929210659146","0.426822949308026","0.515035472010266","5"
"Never","1995","indirect migration background","East Germany","9","","","","5"
"Rarely","1995","no migration background","East Germany","954","0.243209790816179","0.229030967642847","0.257388613989512","4"
"Rarely","1995","no migration background","West Germany","1935","0.283673668965047","0.272672642630501","0.294674695299594","4"
"Rarely","1995","direct migration background","West Germany","507","0.208514747790775","0.193026962778301","0.22400253280325","4"
"Rarely","1995","direct migration background","East Germany","32","0.216262953770623","0.148548688285367","0.28397721925588","4"
"Rarely","1995","indirect migration background","West Germany","137","0.268617454660776","0.229451839685664","0.307783069635888","4"
"Rarely","1995","indirect migration background","East Germany","5","","","","4"
"Daily","1996","no migration background","West Germany","","","","","1"
"Daily","1996","no migration background","East Germany","","","","","1"
"Daily","1996","direct migration background","West Germany","","","","","1"
"Daily","1996","direct migration background","East Germany","","","","","1"
"Daily","1996","indirect migration background","West Germany","","","","","1"
"Daily","1996","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1996","no migration background","West Germany","","","","","3"
"Min 1x per month","1996","no migration background","East Germany","","","","","3"
"Min 1x per month","1996","direct migration background","West Germany","","","","","3"
"Min 1x per month","1996","direct migration background","East Germany","","","","","3"
"Min 1x per month","1996","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1996","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1996","no migration background","West Germany","","","","","2"
"Min 1x per week","1996","no migration background","East Germany","","","","","2"
"Min 1x per week","1996","direct migration background","West Germany","","","","","2"
"Min 1x per week","1996","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1996","direct migration background","East Germany","","","","","2"
"Min 1x per week","1996","indirect migration background","East Germany","","","","","2"
"Never","1996","no migration background","West Germany","","","","","5"
"Never","1996","no migration background","East Germany","","","","","5"
"Never","1996","direct migration background","West Germany","","","","","5"
"Never","1996","direct migration background","East Germany","","","","","5"
"Never","1996","indirect migration background","West Germany","","","","","5"
"Never","1996","indirect migration background","East Germany","","","","","5"
"Rarely","1996","no migration background","East Germany","","","","","4"
"Rarely","1996","no migration background","West Germany","","","","","4"
"Rarely","1996","direct migration background","West Germany","","","","","4"
"Rarely","1996","direct migration background","East Germany","","","","","4"
"Rarely","1996","indirect migration background","West Germany","","","","","4"
"Rarely","1996","indirect migration background","East Germany","","","","","4"
"Daily","1997","no migration background","West Germany","","","","","1"
"Daily","1997","no migration background","East Germany","","","","","1"
"Daily","1997","direct migration background","West Germany","","","","","1"
"Daily","1997","direct migration background","East Germany","","","","","1"
"Daily","1997","indirect migration background","West Germany","","","","","1"
"Daily","1997","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1997","no migration background","West Germany","","","","","3"
"Min 1x per month","1997","no migration background","East Germany","","","","","3"
"Min 1x per month","1997","direct migration background","West Germany","","","","","3"
"Min 1x per month","1997","direct migration background","East Germany","","","","","3"
"Min 1x per month","1997","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1997","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1997","no migration background","West Germany","","","","","2"
"Min 1x per week","1997","no migration background","East Germany","","","","","2"
"Min 1x per week","1997","direct migration background","West Germany","","","","","2"
"Min 1x per week","1997","direct migration background","East Germany","","","","","2"
"Min 1x per week","1997","indirect migration background","East Germany","","","","","2"
"Min 1x per week","1997","indirect migration background","West Germany","","","","","2"
"Never","1997","no migration background","West Germany","","","","","5"
"Never","1997","no migration background","East Germany","","","","","5"
"Never","1997","direct migration background","West Germany","","","","","5"
"Never","1997","direct migration background","East Germany","","","","","5"
"Never","1997","indirect migration background","West Germany","","","","","5"
"Never","1997","indirect migration background","East Germany","","","","","5"
"Rarely","1997","no migration background","West Germany","","","","","4"
"Rarely","1997","direct migration background","West Germany","","","","","4"
"Rarely","1997","no migration background","East Germany","","","","","4"
"Rarely","1997","direct migration background","East Germany","","","","","4"
"Rarely","1997","indirect migration background","West Germany","","","","","4"
"Rarely","1997","indirect migration background","East Germany","","","","","4"
"Daily","1998","no migration background","West Germany","9","","","","1"
"Daily","1998","no migration background","East Germany","4","","","","1"
"Daily","1998","direct migration background","West Germany","2","","","","1"
"Daily","1998","direct migration background","East Germany","","","","","1"
"Daily","1998","indirect migration background","East Germany","","","","","1"
"Daily","1998","indirect migration background","West Germany","1","","","","1"
"Min 1x per month","1998","no migration background","West Germany","666","0.0842618853296436","0.0779702085371198","0.0905535621221673","3"
"Min 1x per month","1998","no migration background","East Germany","239","0.062741026243445","0.0549284519344599","0.0705536005524302","3"
"Min 1x per month","1998","direct migration background","West Germany","140","0.0520345808089676","0.04292418149224","0.0611449801256951","3"
"Min 1x per month","1998","direct migration background","East Germany","8","","","","3"
"Min 1x per month","1998","indirect migration background","East Germany","2","","","","3"
"Min 1x per month","1998","indirect migration background","West Germany","71","0.103665676078424","0.0786850923438184","0.12864625981303","3"
"Min 1x per week","1998","no migration background","West Germany","412","0.0523461226705149","0.0473014579847387","0.0573907873562911","2"
"Min 1x per week","1998","no migration background","East Germany","143","0.0341220069973463","0.0282732043451626","0.03997080964953","2"
"Min 1x per week","1998","direct migration background","West Germany","109","0.0459988892870938","0.0374059202284219","0.0545918583457657","2"
"Min 1x per week","1998","direct migration background","East Germany","4","","","","2"
"Min 1x per week","1998","indirect migration background","West Germany","54","0.121683439283371","0.0948922896209297","0.148474588945813","2"
"Min 1x per week","1998","indirect migration background","East Germany","2","","","","2"
"Never","1998","no migration background","West Germany","3976","0.549838140286912","0.538569618406632","0.561106662167193","5"
"Never","1998","no migration background","East Germany","2217","0.629973734488813","0.614418876654578","0.645528592323049","5"
"Never","1998","direct migration background","West Germany","1531","0.6619423960304","0.642537979495968","0.681346812564831","5"
"Never","1998","direct migration background","East Germany","87","0.775533016147607","0.700569320020567","0.850496712274647","5"
"Never","1998","indirect migration background","West Germany","238","0.411987804320224","0.371652492047409","0.452323116593039","5"
"Never","1998","indirect migration background","East Germany","9","","","","5"
"Rarely","1998","no migration background","West Germany","2425","0.312323743058697","0.30182687620352","0.322820609913874","4"
"Rarely","1998","no migration background","East Germany","1098","0.272285567566348","0.25794450423482","0.286626630897875","4"
"Rarely","1998","direct migration background","West Germany","501","0.238730827611682","0.22124369881303","0.256217956410334","4"
"Rarely","1998","direct migration background","East Germany","20","","","","4"
"Rarely","1998","indirect migration background","East Germany","13","","","","4"
"Rarely","1998","indirect migration background","West Germany","208","0.362057450840827","0.322672563636319","0.401442338045335","4"
"Daily","1999","no migration background","West Germany","","","","","1"
"Daily","1999","no migration background","East Germany","","","","","1"
"Daily","1999","direct migration background","West Germany","","","","","1"
"Daily","1999","direct migration background","East Germany","","","","","1"
"Daily","1999","indirect migration background","East Germany","","","","","1"
"Daily","1999","indirect migration background","West Germany","","","","","1"
"Min 1x per month","1999","no migration background","West Germany","","","","","3"
"Min 1x per month","1999","no migration background","East Germany","","","","","3"
"Min 1x per month","1999","direct migration background","West Germany","","","","","3"
"Min 1x per month","1999","direct migration background","East Germany","","","","","3"
"Min 1x per month","1999","indirect migration background","East Germany","","","","","3"
"Min 1x per month","1999","indirect migration background","West Germany","","","","","3"
"Min 1x per week","1999","no migration background","West Germany","","","","","2"
"Min 1x per week","1999","no migration background","East Germany","","","","","2"
"Min 1x per week","1999","direct migration background","West Germany","","","","","2"
"Min 1x per week","1999","direct migration background","East Germany","","","","","2"
"Min 1x per week","1999","indirect migration background","East Germany","","","","","2"
"Min 1x per week","1999","indirect migration background","West Germany","","","","","2"
"Never","1999","no migration background","East Germany","","","","","5"
"Never","1999","no migration background","West Germany","","","","","5"
"Never","1999","direct migration background","West Germany","","","","","5"
"Never","1999","direct migration background","East Germany","","","","","5"
"Never","1999","indirect migration background","West Germany","","","","","5"
"Never","1999","indirect migration background","East Germany","","","","","5"
"Rarely","1999","no migration background","West Germany","","","","","4"
"Rarely","1999","no migration background","East Germany","","","","","4"
"Rarely","1999","direct migration background","West Germany","","","","","4"
"Rarely","1999","direct migration background","East Germany","","","","","4"
"Rarely","1999","indirect migration background","West Germany","","","","","4"
"Rarely","1999","indirect migration background","East Germany","","","","","4"
"Daily","2000","no migration background","West Germany","","","","","1"
"Daily","2000","no migration background","East Germany","","","","","1"
"Daily","2000","direct migration background","West Germany","","","","","1"
"Daily","2000","direct migration background","East Germany","","","","","1"
"Daily","2000","indirect migration background","West Germany","","","","","1"
"Daily","2000","indirect migration background","East Germany","","","","","1"
"Min 1x per month","2000","no migration background","West Germany","","","","","3"
"Min 1x per month","2000","no migration background","East Germany","","","","","3"
"Min 1x per month","2000","direct migration background","West Germany","","","","","3"
"Min 1x per month","2000","direct migration background","East Germany","","","","","3"
"Min 1x per month","2000","indirect migration background","West Germany","","","","","3"
"Min 1x per month","2000","indirect migration background","East Germany","","","","","3"
"Min 1x per week","2000","no migration background","West Germany","","","","","2"
"Min 1x per week","2000","no migration background","East Germany","","","","","2"
"Min 1x per week","2000","direct migration background","West Germany","","","","","2"
"Min 1x per week","2000","direct migration background","East Germany","","","","","2"
"Min 1x per week","2000","indirect migration background","West Germany","","","","","2"
"Min 1x per week","2000","indirect migration background","East Germany","","","","","2"
"Never","2000","no migration background","West Germany","","","","","5"
"Never","2000","no migration background","East Germany","","","","","5"
"Never","2000","direct migration background","West Germany","","","","","5"
"Never","2000","direct migration background","East Germany","","","","","5"
"Never","2000","indirect migration background","West Germany","","","","","5"
"Never","2000","indirect migration background","East Germany","","","","","5"
"Rarely","2000","no migration background","West Germany","","","","","4"
"Rarely","2000","no migration background","East Germany","","","","","4"
"Rarely","2000","direct migration background","West Germany","","","","","4"
"Rarely","2000","direct migration background","East Germany","","","","","4"
"Rarely","2000","indirect migration background","West Germany","","","","","4"
"Rarely","2000","indirect migration background","East Germany","","","","","4"
"Daily","2001","no migration background","West Germany","","","","","1"
"Daily","2001","no migration background","East Germany","","","","","1"
"Daily","2001","direct migration background","West Germany","","","","","1"
"Daily","2001","direct migration background","East Germany","","","","","1"
"Daily","2001","indirect migration background","East Germany","","","","","1"
"Daily","2001","indirect migration background","West Germany","","","","","1"
"Min 1x per month","2001","no migration background","West Germany","","","","","3"
"Min 1x per month","2001","no migration background","East Germany","","","","","3"
"Min 1x per month","2001","direct migration background","West Germany","","","","","3"
"Min 1x per month","2001","direct migration background","East Germany","","","","","3"
"Min 1x per month","2001","indirect migration background","West Germany","","","","","3"
"Min 1x per month","2001","indirect migration background","East Germany","","","","","3"
"Min 1x per week","2001","no migration background","East Germany","","","","","2"
"Min 1x per week","2001","no migration background","West Germany","","","","","2"
"Min 1x per week","2001","direct migration background","West Germany","","","","","2"
"Min 1x per week","2001","direct migration background","East Germany","","","","","2"
"Min 1x per week","2001","indirect migration background","West Germany","","","","","2"
"Min 1x per week","2001","indirect migration background","East Germany","","","","","2"
"Never","2001","no migration background","East Germany","","","","","5"
"Never","2001","no migration background","West Germany","","","","","5"
"Never","2001","direct migration background","West Germany","","","","","5"
"Never","2001","direct migration background","East Germany","","","","","5"
"Never","2001","indirect migration background","West Germany","","","","","5"
"Never","2001","indirect migration background","East Germany","","","","","5"
"Rarely","2001","no migration background","West Germany","","","","","4"
"Rarely","2001","no migration background","East Germany","","","","","4"
"Rarely","2001","direct migration background","West Germany","","","","","4"
"Rarely","2001","indirect migration background","West Germany","","","","","4"
"Rarely","2001","direct migration background","East Germany","","","","","4"
"Rarely","2001","indirect migration background","East Germany","","","","","4"
"Daily","2002","no migration background","West Germany","","","","","1"
"Daily","2002","no migration background","East Germany","","","","","1"
"Daily","2002","direct migration background","West Germany","","","","","1"
"Daily","2002","direct migration background","East Germany","","","","","1"
"Daily","2002","indirect migration background","East Germany","","","","","1"
"Daily","2002","indirect migration background","West Germany","","","","","1"
"Min 1x per month","2002","no migration background","West Germany","","","","","3"
"Min 1x per month","2002","no migration background","East Germany","","","","","3"
"Min 1x per month","2002","direct migration background","West Germany","","","","","3"
"Min 1x per month","2002","direct migration background","East Germany","","","","","3"
"Min 1x per month","2002","indirect migration background","West Germany","","","","","3"
"Min 1x per month","2002","indirect migration background","East Germany","","","","","3"
"Min 1x per week","2002","no migration background","West Germany","","","","","2"
"Min 1x per week","2002","no migration background","East Germany","","","","","2"
"Min 1x per week","2002","direct migration background","West Germany","","","","","2"
"Min 1x per week","2002","direct migration background","East Germany","","","","","2"
"Min 1x per week","2002","indirect migration background","East Germany","","","","","2"
"Min 1x per week","2002","indirect migration background","West Germany","","","","","2"
"Never","2002","no migration background","West Germany","","","","","5"
"Never","2002","no migration background","East Germany","","","","","5"
"Never","2002","direct migration background","West Germany","","","","","5"
"Never","2002","direct migration background","East Germany","","","","","5"
"Never","2002","indirect migration background","West Germany","","","","","5"
"Never","2002","indirect migration background","East Germany","","","","","5"
"Rarely","2002","no migration background","West Germany","","","","","4"
"Rarely","2002","no migration background","East Germany","","","","","4"
"Rarely","2002","direct migration background","West Germany","","","","","4"
"Rarely","2002","direct migration background","East Germany","","","","","4"
"Rarely","2002","indirect migration background","West Germany","","","","","4"
"Rarely","2002","indirect migration background","East Germany","","","","","4"
"Daily","2003","no migration background","West Germany","18","","","","1"
"Daily","2003","no migration background","East Germany","4","","","","1"
"Daily","2003","direct migration background","West Germany","4","","","","1"
"Daily","2003","direct migration background","East Germany","","","","","1"
"Daily","2003","indirect migration background","West Germany","5","","","","1"
"Daily","2003","indirect migration background","East Germany","","","","","1"
"Min 1x per month","2003","no migration background","West Germany","1202","0.0818699474480313","0.0772483707550032","0.0864915241410594","3"
"Min 1x per month","2003","no migration background","East Germany","336","0.0626253342223288","0.056036828169199","0.0692138402754587","3"
"Min 1x per month","2003","direct migration background","West Germany","140","0.0489126713444527","0.0404748151548967","0.0573505275340086","3"
"Min 1x per month","2003","direct migration background","East Germany","11","","","","3"
"Min 1x per month","2003","indirect migration background","West Germany","88","0.106246567667028","0.0841780329674076","0.128315102366647","3"
"Min 1x per month","2003","indirect migration background","East Germany","2","","","","3"
"Min 1x per week","2003","no migration background","East Germany","199","0.0342085759392694","0.0292658732805327","0.0391512785980061","2"
"Min 1x per week","2003","no migration background","West Germany","732","0.0488824449330644","0.0452477382820706","0.0525171515840582","2"
"Min 1x per week","2003","direct migration background","West Germany","118","0.0434703967007556","0.0354930725467288","0.0514477208547825","2"
"Min 1x per week","2003","direct migration background","East Germany","2","","","","2"
"Min 1x per week","2003","indirect migration background","East Germany","1","","","","2"
"Min 1x per week","2003","indirect migration background","West Germany","55","0.100520381666974","0.0789861237611476","0.1220546395728","2"
"Never","2003","no migration background","West Germany","7337","0.568855724858853","0.560507614426891","0.577203835290814","5"
"Never","2003","no migration background","East Germany","3067","0.612624935736507","0.599377906930384","0.625871964542631","5"
"Never","2003","direct migration background","West Germany","1769","0.707209165222753","0.689407365554663","0.725010964890842","5"
"Never","2003","direct migration background","East Germany","72","0.710346785134715","0.623585130138029","0.7971084401314","5"
"Never","2003","indirect migration background","West Germany","379","0.519986815199837","0.484207672411693","0.555765957987981","5"
"Never","2003","indirect migration background","East Germany","19","","","","5"
"Rarely","2003","no migration background","West Germany","4230","0.299530176792164","0.291808869913791","0.307251483670537","4"
"Rarely","2003","no migration background","East Germany","1589","0.289462767206204","0.27713043855423","0.301795095858179","4"
"Rarely","2003","direct migration background","West Germany","479","0.196827990286237","0.181273386900329","0.212382593672144","4"
"Rarely","2003","direct migration background","East Germany","20","","","","4"
"Rarely","2003","indirect migration background","East Germany","10","","","","4"
"Rarely","2003","indirect migration background","West Germany","222","0.266955576084407","0.235275090635628","0.298636061533186","4"
"Daily","2004","no migration background","West Germany","","","","","1"
"Daily","2004","no migration background","East Germany","","","","","1"
"Daily","2004","direct migration background","West Germany","","","","","1"
"Daily","2004","indirect migration background","West Germany","","","","","1"
"Daily","2004","direct migration background","East Germany","","","","","1"
"Daily","2004","indirect migration background","East Germany","","","","","1"
"Min 1x per month","2004","no migration background","West Germany","","","","","3"
"Min 1x per month","2004","no migration background","East Germany","","","","","3"
"Min 1x per month","2004","direct migration background","West Germany","","","","","3"
"Min 1x per month","2004","direct migration background","East Germany","","","","","3"
"Min 1x per month","2004","indirect migration background","West Germany","","","","","3"
"Min 1x per month","2004","indirect migration background","East Germany","","","","","3"
"Min 1x per week","2004","no migration background","West Germany","","","","","2"
"Min 1x per week","2004","direct migration background","West Germany","","","","","2"
"Min 1x per week","2004","no migration background","East Germany","","","","","2"
"Min 1x per week","2004","direct migration background","East Germany","","","","","2"
"Min 1x per week","2004","indirect migration background","West Germany","","","","","2"
"Min 1x per week","2004","indirect migration background","East Germany","","","","","2"
"Never","2004","no migration background","West Germany","","","","","5"
"Never","2004","no migration background","East Germany","","","","","5"
"Never","2004","direct migration background","West Germany","","","","","5"
"Never","2004","direct migration background","East Germany","","","","","5"
"Never","2004","indirect migration background","West Germany","","","","","5"
"Never","2004","indirect migration background","East Germany","","","","","5"
"Rarely","2004","no migration background","West Germany","","","","","4"
"Rarely","2004","no migration background","East Germany","","","","","4"
"Rarely","2004","direct migration background","West Germany","","","","","4"
"Rarely","2004","direct migration background","East Germany","","","","","4"
"Rarely","2004","indirect migration background","East Germany","","","","","4"
