"pli0083","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1991","general elemantary","Rural Area","","","","","1"
"Daily","1991","middle vocational","Urban Area","","","","","1"
"Daily","1991","middle vocational","Rural Area","","","","","1"
"Daily","1991","vocational + Abi","Urban Area","","","","","1"
"Daily","1991","vocational + Abi","Rural Area","","","","","1"
"Daily","1991","higher vocational","Urban Area","","","","","1"
"Daily","1991","higher vocational","Rural Area","","","","","1"
"Daily","1991","higher education","Urban Area","","","","","1"
"Daily","1991","higher education","Rural Area","","","","","1"
"Min 1x per month","1991","in school","Urban Area","","","","","3"
"Min 1x per month","1991","in school","Rural Area","","","","","3"
"Min 1x per month","1991","inadequately","Urban Area","","","","","3"
"Min 1x per month","1991","inadequately","Rural Area","","","","","3"
"Min 1x per month","1991","general elemantary","Urban Area","","","","","3"
"Min 1x per month","1991","general elemantary","Rural Area","","","","","3"
"Min 1x per month","1991","middle vocational","Urban Area","","","","","3"
"Min 1x per month","1991","middle vocational","Rural Area","","","","","3"
"Min 1x per month","1991","vocational + Abi","Urban Area","","","","","3"
"Min 1x per month","1991","vocational + Abi","Rural Area","","","","","3"
"Min 1x per month","1991","higher vocational","Urban Area","","","","","3"
"Min 1x per month","1991","higher vocational","Rural Area","","","","","3"
"Min 1x per month","1991","higher education","Urban Area","","","","","3"
"Min 1x per month","1991","higher education","Rural Area","","","","","3"
"Min 1x per week","1991","in school","Urban Area","","","","","2"
"Min 1x per week","1991","in school","Rural Area","","","","","2"
"Min 1x per week","1991","inadequately","Urban Area","","","","","2"
"Min 1x per week","1991","inadequately","Rural Area","","","","","2"
"Min 1x per week","1991","general elemantary","Urban Area","","","","","2"
"Min 1x per week","1991","general elemantary","Rural Area","","","","","2"
"Min 1x per week","1991","middle vocational","Urban Area","","","","","2"
"Min 1x per week","1991","middle vocational","Rural Area","","","","","2"
"Min 1x per week","1991","vocational + Abi","Urban Area","","","","","2"
"Min 1x per week","1991","vocational + Abi","Rural Area","","","","","2"
"Min 1x per week","1991","higher vocational","Urban Area","","","","","2"
"Min 1x per week","1991","higher vocational","Rural Area","","","","","2"
"Min 1x per week","1991","higher education","Urban Area","","","","","2"
"Min 1x per week","1991","higher education","Rural Area","","","","","2"
"Never","1991","in school","Urban Area","","","","","5"
"Never","1991","in school","Rural Area","","","","","5"
"Never","1991","inadequately","Urban Area","","","","","5"
"Never","1991","inadequately","Rural Area","","","","","5"
"Never","1991","general elemantary","Urban Area","","","","","5"
"Never","1991","general elemantary","Rural Area","","","","","5"
"Never","1991","middle vocational","Urban Area","","","","","5"
"Never","1991","middle vocational","Rural Area","","","","","5"
"Never","1991","vocational + Abi","Urban Area","","","","","5"
"Never","1991","vocational + Abi","Rural Area","","","","","5"
"Never","1991","higher vocational","Urban Area","","","","","5"
"Never","1991","higher vocational","Rural Area","","","","","5"
"Never","1991","higher education","Urban Area","","","","","5"
"Never","1991","higher education","Rural Area","","","","","5"
"Rarely","1991","in school","Urban Area","","","","","4"
"Rarely","1991","in school","Rural Area","","","","","4"
"Rarely","1991","inadequately","Urban Area","","","","","4"
"Rarely","1991","inadequately","Rural Area","","","","","4"
"Rarely","1991","general elemantary","Urban Area","","","","","4"
"Rarely","1991","general elemantary","Rural Area","","","","","4"
"Rarely","1991","middle vocational","Urban Area","","","","","4"
"Rarely","1991","middle vocational","Rural Area","","","","","4"
"Rarely","1991","vocational + Abi","Urban Area","","","","","4"
"Rarely","1991","vocational + Abi","Rural Area","","","","","4"
"Rarely","1991","higher vocational","Urban Area","","","","","4"
"Rarely","1991","higher vocational","Rural Area","","","","","4"
"Rarely","1991","higher education","Urban Area","","","","","4"
"Rarely","1991","higher education","Rural Area","","","","","4"
"Daily","1992","in school","Urban Area","","","","","1"
"Daily","1992","in school","Rural Area","","","","","1"
"Daily","1992","inadequately","Urban Area","","","","","1"
"Daily","1992","inadequately","Rural Area","","","","","1"
"Daily","1992","general elemantary","Urban Area","","","","","1"
"Daily","1992","general elemantary","Rural Area","","","","","1"
"Daily","1992","middle vocational","Urban Area","","","","","1"
"Daily","1992","middle vocational","Rural Area","","","","","1"
"Daily","1992","vocational + Abi","Urban Area","","","","","1"
"Daily","1992","vocational + Abi","Rural Area","","","","","1"
"Daily","1992","higher vocational","Urban Area","","","","","1"
"Daily","1992","higher vocational","Rural Area","","","","","1"
"Daily","1992","higher education","Urban Area","","","","","1"
"Daily","1992","higher education","Rural Area","","","","","1"
"Min 1x per month","1992","in school","Urban Area","","","","","3"
"Min 1x per month","1992","in school","Rural Area","","","","","3"
"Min 1x per month","1992","higher vocational","Rural Area","","","","","3"
"Min 1x per month","1992","higher education","Urban Area","","","","","3"
"Min 1x per month","1992","higher education","Rural Area","","","","","3"
"Min 1x per month","1992","inadequately","Urban Area","","","","","3"
"Min 1x per month","1992","inadequately","Rural Area","","","","","3"
"Min 1x per month","1992","general elemantary","Urban Area","","","","","3"
"Min 1x per month","1992","general elemantary","Rural Area","","","","","3"
"Min 1x per month","1992","middle vocational","Urban Area","","","","","3"
"Min 1x per month","1992","middle vocational","Rural Area","","","","","3"
"Min 1x per month","1992","vocational + Abi","Urban Area","","","","","3"
"Min 1x per month","1992","vocational + Abi","Rural Area","","","","","3"
"Min 1x per month","1992","higher vocational","Urban Area","","","","","3"
"Min 1x per week","1992","in school","Urban Area","","","","","2"
"Min 1x per week","1992","in school","Rural Area","","","","","2"
"Min 1x per week","1992","inadequately","Urban Area","","","","","2"
"Min 1x per week","1992","inadequately","Rural Area","","","","","2"
"Min 1x per week","1992","general elemantary","Urban Area","","","","","2"
"Min 1x per week","1992","general elemantary","Rural Area","","","","","2"
"Min 1x per week","1992","middle vocational","Urban Area","","","","","2"
"Min 1x per week","1992","middle vocational","Rural Area","","","","","2"
"Min 1x per week","1992","vocational + Abi","Urban Area","","","","","2"
"Min 1x per week","1992","vocational + Abi","Rural Area","","","","","2"
"Min 1x per week","1992","higher vocational","Urban Area","","","","","2"
"Min 1x per week","1992","higher vocational","Rural Area","","","","","2"
"Min 1x per week","1992","higher education","Urban Area","","","","","2"
"Min 1x per week","1992","higher education","Rural Area","","","","","2"
"Never","1992","higher vocational","Rural Area","","","","","5"
"Never","1992","higher education","Urban Area","","","","","5"
"Never","1992","higher education","Rural Area","","","","","5"
"Never","1992","in school","Urban Area","","","","","5"
"Never","1992","in school","Rural Area","","","","","5"
"Never","1992","inadequately","Urban Area","","","","","5"
"Never","1992","inadequately","Rural Area","","","","","5"
"Never","1992","general elemantary","Urban Area","","","","","5"
"Never","1992","general elemantary","Rural Area","","","","","5"
"Never","1992","middle vocational","Urban Area","","","","","5"
"Never","1992","middle vocational","Rural Area","","","","","5"
"Never","1992","vocational + Abi","Urban Area","","","","","5"
"Never","1992","vocational + Abi","Rural Area","","","","","5"
"Never","1992","higher vocational","Urban Area","","","","","5"
"Rarely","1992","higher vocational","Rural Area","","","","","4"
"Rarely","1992","higher education","Urban Area","","","","","4"
"Rarely","1992","higher education","Rural Area","","","","","4"
"Rarely","1992","in school","Urban Area","","","","","4"
"Rarely","1992","in school","Rural Area","","","","","4"
"Rarely","1992","inadequately","Urban Area","","","","","4"
"Rarely","1992","inadequately","Rural Area","","","","","4"
"Rarely","1992","general elemantary","Urban Area","","","","","4"
"Rarely","1992","general elemantary","Rural Area","","","","","4"
"Rarely","1992","middle vocational","Urban Area","","","","","4"
"Rarely","1992","middle vocational","Rural Area","","","","","4"
"Rarely","1992","vocational + Abi","Urban Area","","","","","4"
"Rarely","1992","vocational + Abi","Rural Area","","","","","4"
"Rarely","1992","higher vocational","Urban Area","","","","","4"
"Daily","1993","in school","Urban Area","","","","","1"
"Daily","1993","in school","Rural Area","","","","","1"
"Daily","1993","inadequately","Urban Area","","","","","1"
"Daily","1993","inadequately","Rural Area","","","","","1"
"Daily","1993","general elemantary","Urban Area","","","","","1"
"Daily","1993","general elemantary","Rural Area","","","","","1"
"Daily","1993","middle vocational","Urban Area","","","","","1"
"Daily","1993","middle vocational","Rural Area","","","","","1"
"Daily","1993","vocational + Abi","Urban Area","","","","","1"
"Daily","1993","vocational + Abi","Rural Area","","","","","1"
"Daily","1993","higher vocational","Urban Area","","","","","1"
"Daily","1993","higher vocational","Rural Area","","","","","1"
"Daily","1993","higher education","Urban Area","","","","","1"
"Daily","1993","higher education","Rural Area","","","","","1"
"Min 1x per month","1993","in school","Urban Area","","","","","3"
"Min 1x per month","1993","in school","Rural Area","","","","","3"
"Min 1x per month","1993","inadequately","Urban Area","","","","","3"
"Min 1x per month","1993","inadequately","Rural Area","","","","","3"
"Min 1x per month","1993","general elemantary","Urban Area","","","","","3"
"Min 1x per month","1993","general elemantary","Rural Area","","","","","3"
"Min 1x per month","1993","middle vocational","Urban Area","","","","","3"
"Min 1x per month","1993","middle vocational","Rural Area","","","","","3"
"Min 1x per month","1993","vocational + Abi","Urban Area","","","","","3"
"Min 1x per month","1993","vocational + Abi","Rural Area","","","","","3"
"Min 1x per month","1993","higher vocational","Urban Area","","","","","3"
"Min 1x per month","1993","higher vocational","Rural Area","","","","","3"
"Min 1x per month","1993","higher education","Urban Area","","","","","3"
"Min 1x per month","1993","higher education","Rural Area","","","","","3"
"Min 1x per week","1993","in school","Urban Area","","","","","2"
"Min 1x per week","1993","in school","Rural Area","","","","","2"
"Min 1x per week","1993","inadequately","Urban Area","","","","","2"
"Min 1x per week","1993","inadequately","Rural Area","","","","","2"
"Min 1x per week","1993","general elemantary","Urban Area","","","","","2"
"Min 1x per week","1993","general elemantary","Rural Area","","","","","2"
"Min 1x per week","1993","middle vocational","Urban Area","","","","","2"
"Min 1x per week","1993","middle vocational","Rural Area","","","","","2"
"Min 1x per week","1993","vocational + Abi","Urban Area","","","","","2"
"Min 1x per week","1993","vocational + Abi","Rural Area","","","","","2"
"Min 1x per week","1993","higher vocational","Urban Area","","","","","2"
"Min 1x per week","1993","higher vocational","Rural Area","","","","","2"
"Min 1x per week","1993","higher education","Urban Area","","","","","2"
"Min 1x per week","1993","higher education","Rural Area","","","","","2"
"Never","1993","in school","Urban Area","","","","","5"
"Never","1993","in school","Rural Area","","","","","5"
"Never","1993","inadequately","Urban Area","","","","","5"
"Never","1993","inadequately","Rural Area","","","","","5"
"Never","1993","general elemantary","Urban Area","","","","","5"
"Never","1993","general elemantary","Rural Area","","","","","5"
"Never","1993","middle vocational","Urban Area","","","","","5"
"Never","1993","middle vocational","Rural Area","","","","","5"
"Never","1993","vocational + Abi","Urban Area","","","","","5"
"Never","1993","vocational + Abi","Rural Area","","","","","5"
"Never","1993","higher vocational","Urban Area","","","","","5"
"Never","1993","higher vocational","Rural Area","","","","","5"
"Never","1993","higher education","Urban Area","","","","","5"
"Never","1993","higher education","Rural Area","","","","","5"
"Rarely","1993","in school","Urban Area","","","","","4"
"Rarely","1993","in school","Rural Area","","","","","4"
"Rarely","1993","inadequately","Urban Area","","","","","4"
"Rarely","1993","inadequately","Rural Area","","","","","4"
"Rarely","1993","general elemantary","Urban Area","","","","","4"
"Rarely","1993","general elemantary","Rural Area","","","","","4"
"Rarely","1993","middle vocational","Urban Area","","","","","4"
"Rarely","1993","middle vocational","Rural Area","","","","","4"
"Rarely","1993","vocational + Abi","Urban Area","","","","","4"
"Rarely","1993","vocational + Abi","Rural Area","","","","","4"
"Rarely","1993","higher vocational","Urban Area","","","","","4"
"Rarely","1993","higher vocational","Rural Area","","","","","4"
"Rarely","1993","higher education","Urban Area","","","","","4"
"Rarely","1993","higher education","Rural Area","","","","","4"
"Daily","1994","in school","Urban Area","","","","","1"
"Daily","1994","in school","Rural Area","","","","","1"
"Daily","1994","inadequately","Urban Area","","","","","1"
"Daily","1994","inadequately","Rural Area","","","","","1"
"Daily","1994","general elemantary","Urban Area","","","","","1"
"Daily","1994","general elemantary","Rural Area","","","","","1"
"Daily","1994","middle vocational","Urban Area","","","","","1"
"Daily","1994","middle vocational","Rural Area","","","","","1"
"Daily","1994","vocational + Abi","Urban Area","","","","","1"
"Daily","1994","vocational + Abi","Rural Area","","","","","1"
"Daily","1994","higher vocational","Urban Area","","","","","1"
"Daily","1994","higher vocational","Rural Area","","","","","1"
"Daily","1994","higher education","Urban Area","","","","","1"
"Daily","1994","higher education","Rural Area","","","","","1"
"Min 1x per month","1994","in school","Urban Area","","","","","3"
"Min 1x per month","1994","in school","Rural Area","","","","","3"
"Min 1x per month","1994","inadequately","Urban Area","","","","","3"
"Min 1x per month","1994","inadequately","Rural Area","","","","","3"
"Min 1x per month","1994","general elemantary","Urban Area","","","","","3"
"Min 1x per month","1994","general elemantary","Rural Area","","","","","3"
"Min 1x per month","1994","middle vocational","Urban Area","","","","","3"
"Min 1x per month","1994","middle vocational","Rural Area","","","","","3"
"Min 1x per month","1994","vocational + Abi","Urban Area","","","","","3"
"Min 1x per month","1994","vocational + Abi","Rural Area","","","","","3"
"Min 1x per month","1994","higher vocational","Urban Area","","","","","3"
"Min 1x per month","1994","higher vocational","Rural Area","","","","","3"
"Min 1x per month","1994","higher education","Urban Area","","","","","3"
"Min 1x per month","1994","higher education","Rural Area","","","","","3"
"Min 1x per week","1994","in school","Urban Area","","","","","2"
"Min 1x per week","1994","in school","Rural Area","","","","","2"
"Min 1x per week","1994","inadequately","Urban Area","","","","","2"
"Min 1x per week","1994","inadequately","Rural Area","","","","","2"
"Min 1x per week","1994","general elemantary","Urban Area","","","","","2"
"Min 1x per week","1994","general elemantary","Rural Area","","","","","2"
"Min 1x per week","1994","middle vocational","Urban Area","","","","","2"
"Min 1x per week","1994","middle vocational","Rural Area","","","","","2"
"Min 1x per week","1994","vocational + Abi","Urban Area","","","","","2"
"Min 1x per week","1994","vocational + Abi","Rural Area","","","","","2"
"Min 1x per week","1994","higher vocational","Urban Area","","","","","2"
"Min 1x per week","1994","higher vocational","Rural Area","","","","","2"
"Min 1x per week","1994","higher education","Urban Area","","","","","2"
"Min 1x per week","1994","higher education","Rural Area","","","","","2"
"Never","1994","in school","Urban Area","","","","","5"
"Never","1994","in school","Rural Area","","","","","5"
"Never","1994","inadequately","Urban Area","","","","","5"
"Never","1994","inadequately","Rural Area","","","","","5"
"Never","1994","general elemantary","Urban Area","","","","","5"
"Never","1994","general elemantary","Rural Area","","","","","5"
"Never","1994","middle vocational","Urban Area","","","","","5"
"Never","1994","middle vocational","Rural Area","","","","","5"
"Never","1994","vocational + Abi","Urban Area","","","","","5"
"Never","1994","vocational + Abi","Rural Area","","","","","5"
"Never","1994","higher vocational","Urban Area","","","","","5"
"Never","1994","higher vocational","Rural Area","","","","","5"
"Never","1994","higher education","Urban Area","","","","","5"
"Never","1994","higher education","Rural Area","","","","","5"
"Rarely","1994","in school","Urban Area","","","","","4"
"Rarely","1994","in school","Rural Area","","","","","4"
"Rarely","1994","inadequately","Urban Area","","","","","4"
"Rarely","1994","inadequately","Rural Area","","","","","4"
"Rarely","1994","general elemantary","Urban Area","","","","","4"
"Rarely","1994","general elemantary","Rural Area","","","","","4"
"Rarely","1994","middle vocational","Urban Area","","","","","4"
"Rarely","1994","middle vocational","Rural Area","","","","","4"
"Rarely","1994","vocational + Abi","Urban Area","","","","","4"
"Rarely","1994","vocational + Abi","Rural Area","","","","","4"
"Rarely","1994","higher vocational","Urban Area","","","","","4"
"Rarely","1994","higher vocational","Rural Area","","","","","4"
"Rarely","1994","higher education","Urban Area","","","","","4"
"Rarely","1994","higher education","Rural Area","","","","","4"
"Daily","1995","in school","Urban Area","165","0.794873942263237","0.738771586273754","0.850976298252719","1"
"Daily","1995","in school","Rural Area","73","0.821145972970279","0.740617769585068","0.901674176355489","1"
"Daily","1995","inadequately","Urban Area","400","0.899961090950988","0.872020050880632","0.927902131021343","1"
"Daily","1995","inadequately","Rural Area","74","0.87177660512206","0.800700295780582","0.942852914463539","1"
"Daily","1995","general elemantary","Urban Area","1532","0.86919627711955","0.85336219121167","0.885030363027431","1"
"Daily","1995","general elemantary","Rural Area","643","0.83934204779173","0.813217558651524","0.865466536931935","1"
"Daily","1995","middle vocational","Urban Area","3685","0.864039422857072","0.853785465354484","0.87429338035966","1"
"Daily","1995","middle vocational","Rural Area","2107","0.863484330680459","0.849830553365797","0.877138107995122","1"
"Daily","1995","vocational + Abi","Urban Area","269","0.729983430039736","0.684248763714606","0.775718096364866","1"
"Daily","1995","vocational + Abi","Rural Area","83","0.675346460059295","0.589391874515526","0.761301045603064","1"
"Daily","1995","higher vocational","Urban Area","374","0.806313993415006","0.770737745639998","0.841890241190014","1"
"Daily","1995","higher vocational","Rural Area","245","0.806878360757705","0.761445655651884","0.852311065863526","1"
"Daily","1995","higher education","Urban Area","838","0.731926411111278","0.705996202641429","0.757856619581127","1"
"Daily","1995","higher education","Rural Area","515","0.797824509612986","0.766562175399631","0.829086843826341","1"
"Min 1x per month","1995","in school","Urban Area","2","","","","3"
"Min 1x per month","1995","in school","Rural Area","","","","","3"
"Min 1x per month","1995","inadequately","Urban Area","1","","","","3"
"Min 1x per month","1995","inadequately","Rural Area","","","","","3"
"Min 1x per month","1995","general elemantary","Urban Area","19","","","","3"
"Min 1x per month","1995","general elemantary","Rural Area","6","","","","3"
"Min 1x per month","1995","middle vocational","Urban Area","54","0.0134644262510443","0.0100164161024187","0.01691243639967","3"
"Min 1x per month","1995","middle vocational","Rural Area","23","","","","3"
"Min 1x per month","1995","vocational + Abi","Urban Area","7","","","","3"
"Min 1x per month","1995","vocational + Abi","Rural Area","3","","","","3"
"Min 1x per month","1995","higher vocational","Urban Area","10","","","","3"
"Min 1x per month","1995","higher vocational","Rural Area","1","","","","3"
"Min 1x per month","1995","higher education","Urban Area","13","","","","3"
"Min 1x per month","1995","higher education","Rural Area","9","","","","3"
"Min 1x per week","1995","in school","Urban Area","27","","","","2"
"Min 1x per week","1995","in school","Rural Area","12","","","","2"
"Min 1x per week","1995","inadequately","Urban Area","29","","","","2"
"Min 1x per week","1995","inadequately","Rural Area","9","","","","2"
"Min 1x per week","1995","general elemantary","Urban Area","141","0.08126493517826","0.0684336322427659","0.0940962381137542","2"
"Min 1x per week","1995","general elemantary","Rural Area","89","0.112716795670235","0.0902183430049663","0.135215248335505","2"
"Min 1x per week","1995","middle vocational","Urban Area","424","0.0949452323824001","0.0861753807614133","0.103715084003387","2"
"Min 1x per week","1995","middle vocational","Rural Area","220","0.0886026204899062","0.077301760229757","0.0999034807500554","2"
"Min 1x per week","1995","vocational + Abi","Urban Area","69","0.199974132802446","0.158770763442414","0.241177502162478","2"
"Min 1x per week","1995","vocational + Abi","Rural Area","24","","","","2"
"Min 1x per week","1995","higher vocational","Urban Area","76","0.133466326368013","0.102851098541554","0.164081554194473","2"
"Min 1x per week","1995","higher vocational","Rural Area","32","0.142432173787852","0.102207976802477","0.182656370773227","2"
"Min 1x per week","1995","higher education","Urban Area","213","0.191902713401057","0.168850232721368","0.214955194080746","2"
"Min 1x per week","1995","higher education","Rural Area","76","0.124682146684291","0.098967030498315","0.150397262870268","2"
"Never","1995","in school","Urban Area","1","","","","5"
"Never","1995","in school","Rural Area","","","","","5"
"Never","1995","inadequately","Urban Area","8","","","","5"
"Never","1995","inadequately","Rural Area","1","","","","5"
"Never","1995","general elemantary","Urban Area","22","","","","5"
"Never","1995","general elemantary","Rural Area","6","","","","5"
"Never","1995","middle vocational","Urban Area","34","0.00720821650807083","0.00467739665367468","0.00973903636246699","5"
"Never","1995","middle vocational","Rural Area","11","","","","5"
"Never","1995","vocational + Abi","Urban Area","5","","","","5"
"Never","1995","vocational + Abi","Rural Area","","","","","5"
"Never","1995","higher vocational","Urban Area","4","","","","5"
"Never","1995","higher vocational","Rural Area","3","","","","5"
"Never","1995","higher education","Urban Area","18","","","","5"
"Never","1995","higher education","Rural Area","7","","","","5"
"Rarely","1995","in school","Urban Area","4","","","","4"
"Rarely","1995","in school","Rural Area","2","","","","4"
"Rarely","1995","inadequately","Urban Area","5","","","","4"
"Rarely","1995","inadequately","Rural Area","1","","","","4"
"Rarely","1995","general elemantary","Urban Area","28","","","","4"
"Rarely","1995","general elemantary","Rural Area","15","","","","4"
"Rarely","1995","middle vocational","Urban Area","95","0.0203427020014129","0.0161193270284625","0.0245660769743633","4"
"Rarely","1995","middle vocational","Rural Area","68","0.0299219677626202","0.0231466020198796","0.0366973335053607","4"
"Rarely","1995","vocational + Abi","Urban Area","12","","","","4"
"Rarely","1995","vocational + Abi","Rural Area","4","","","","4"
"Rarely","1995","higher vocational","Urban Area","10","","","","4"
"Rarely","1995","higher vocational","Rural Area","9","","","","4"
"Rarely","1995","higher education","Urban Area","39","0.0378605080547998","0.0266878238404053","0.0490331922691943","4"
"Rarely","1995","higher education","Rural Area","27","","","","4"
"Daily","1996","in school","Urban Area","","","","","1"
"Daily","1996","in school","Rural Area","","","","","1"
"Daily","1996","inadequately","Urban Area","","","","","1"
"Daily","1996","inadequately","Rural Area","","","","","1"
"Daily","1996","general elemantary","Urban Area","","","","","1"
"Daily","1996","general elemantary","Rural Area","","","","","1"
"Daily","1996","middle vocational","Urban Area","","","","","1"
"Daily","1996","middle vocational","Rural Area","","","","","1"
"Daily","1996","vocational + Abi","Urban Area","","","","","1"
"Daily","1996","vocational + Abi","Rural Area","","","","","1"
"Daily","1996","higher vocational","Urban Area","","","","","1"
"Daily","1996","higher vocational","Rural Area","","","","","1"
"Daily","1996","higher education","Urban Area","","","","","1"
"Daily","1996","higher education","Rural Area","","","","","1"
"Min 1x per month","1996","in school","Urban Area","","","","","3"
"Min 1x per month","1996","in school","Rural Area","","","","","3"
"Min 1x per month","1996","inadequately","Urban Area","","","","","3"
"Min 1x per month","1996","inadequately","Rural Area","","","","","3"
"Min 1x per month","1996","general elemantary","Urban Area","","","","","3"
"Min 1x per month","1996","general elemantary","Rural Area","","","","","3"
"Min 1x per month","1996","middle vocational","Urban Area","","","","","3"
"Min 1x per month","1996","middle vocational","Rural Area","","","","","3"
"Min 1x per month","1996","vocational + Abi","Urban Area","","","","","3"
"Min 1x per month","1996","vocational + Abi","Rural Area","","","","","3"
"Min 1x per month","1996","higher vocational","Urban Area","","","","","3"
"Min 1x per month","1996","higher vocational","Rural Area","","","","","3"
"Min 1x per month","1996","higher education","Urban Area","","","","","3"
"Min 1x per month","1996","higher education","Rural Area","","","","","3"
"Min 1x per week","1996","in school","Urban Area","","","","","2"
"Min 1x per week","1996","in school","Rural Area","","","","","2"
"Min 1x per week","1996","inadequately","Urban Area","","","","","2"
