"pli0083","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1999","indirect migration background","West Germany","","","",""
"Min 1x per month","1999","indirect migration background","East Germany","","","",""
"Rarely","1999","no migration background","West Germany","","","",""
"Rarely","1999","no migration background","East Germany","","","",""
"Rarely","1999","direct migration background","West Germany","","","",""
"Rarely","1999","direct migration background","East Germany","","","",""
"Rarely","1999","indirect migration background","West Germany","","","",""
"Rarely","1999","indirect migration background","East Germany","","","",""
"Never","1999","no migration background","West Germany","","","",""
"Never","1999","no migration background","East Germany","","","",""
"Never","1999","direct migration background","West Germany","","","",""
"Never","1999","direct migration background","East Germany","","","",""
"Never","1999","indirect migration background","West Germany","","","",""
"Never","1999","indirect migration background","East Germany","","","",""
"Daily","2000","no migration background","West Germany","","","",""
"Daily","2000","no migration background","East Germany","","","",""
"Daily","2000","direct migration background","West Germany","","","",""
"Daily","2000","direct migration background","East Germany","","","",""
"Daily","2000","indirect migration background","West Germany","","","",""
"Daily","2000","indirect migration background","East Germany","","","",""
"Min 1x per week","2000","no migration background","West Germany","","","",""
"Min 1x per week","2000","no migration background","East Germany","","","",""
"Min 1x per week","2000","direct migration background","West Germany","","","",""
"Min 1x per week","2000","direct migration background","East Germany","","","",""
"Min 1x per week","2000","indirect migration background","West Germany","","","",""
"Min 1x per week","2000","indirect migration background","East Germany","","","",""
"Min 1x per month","2000","no migration background","West Germany","","","",""
"Min 1x per month","2000","no migration background","East Germany","","","",""
"Min 1x per month","2000","direct migration background","West Germany","","","",""
"Min 1x per month","2000","direct migration background","East Germany","","","",""
"Min 1x per month","2000","indirect migration background","West Germany","","","",""
"Min 1x per month","2000","indirect migration background","East Germany","","","",""
"Rarely","2000","no migration background","West Germany","","","",""
"Rarely","2000","no migration background","East Germany","","","",""
"Rarely","2000","direct migration background","West Germany","","","",""
"Rarely","2000","direct migration background","East Germany","","","",""
"Rarely","2000","indirect migration background","West Germany","","","",""
"Rarely","2000","indirect migration background","East Germany","","","",""
"Never","2000","no migration background","West Germany","","","",""
"Never","2000","no migration background","East Germany","","","",""
"Never","2000","direct migration background","West Germany","","","",""
"Never","2000","direct migration background","East Germany","","","",""
"Never","2000","indirect migration background","West Germany","","","",""
"Never","2000","indirect migration background","East Germany","","","",""
"Daily","2001","no migration background","West Germany","","","",""
"Daily","2001","no migration background","East Germany","","","",""
"Daily","2001","direct migration background","West Germany","","","",""
"Daily","2001","direct migration background","East Germany","","","",""
"Daily","2001","indirect migration background","West Germany","","","",""
"Daily","2001","indirect migration background","East Germany","","","",""
"Min 1x per week","2001","no migration background","West Germany","","","",""
"Min 1x per week","2001","no migration background","East Germany","","","",""
"Min 1x per week","2001","direct migration background","West Germany","","","",""
"Min 1x per week","2001","direct migration background","East Germany","","","",""
"Min 1x per week","2001","indirect migration background","West Germany","","","",""
"Min 1x per week","2001","indirect migration background","East Germany","","","",""
"Min 1x per month","2001","no migration background","West Germany","","","",""
"Min 1x per month","2001","no migration background","East Germany","","","",""
"Min 1x per month","2001","direct migration background","West Germany","","","",""
"Min 1x per month","2001","direct migration background","East Germany","","","",""
"Min 1x per month","2001","indirect migration background","West Germany","","","",""
"Min 1x per month","2001","indirect migration background","East Germany","","","",""
"Rarely","2001","no migration background","West Germany","","","",""
"Rarely","2001","no migration background","East Germany","","","",""
"Rarely","2001","direct migration background","West Germany","","","",""
"Rarely","2001","direct migration background","East Germany","","","",""
"Rarely","2001","indirect migration background","West Germany","","","",""
"Rarely","2001","indirect migration background","East Germany","","","",""
"Never","2001","no migration background","West Germany","","","",""
"Never","2001","no migration background","East Germany","","","",""
"Never","2001","direct migration background","West Germany","","","",""
"Never","2001","direct migration background","East Germany","","","",""
"Never","2001","indirect migration background","West Germany","","","",""
"Never","2001","indirect migration background","East Germany","","","",""
"Daily","2002","no migration background","West Germany","","","",""
"Daily","2002","no migration background","East Germany","","","",""
"Daily","2002","direct migration background","West Germany","","","",""
"Daily","2002","direct migration background","East Germany","","","",""
"Daily","2002","indirect migration background","West Germany","","","",""
"Daily","2002","indirect migration background","East Germany","","","",""
"Min 1x per week","2002","no migration background","West Germany","","","",""
"Min 1x per week","2002","no migration background","East Germany","","","",""
"Min 1x per week","2002","direct migration background","West Germany","","","",""
"Min 1x per week","2002","direct migration background","East Germany","","","",""
"Min 1x per week","2002","indirect migration background","West Germany","","","",""
"Min 1x per week","2002","indirect migration background","East Germany","","","",""
"Min 1x per month","2002","no migration background","West Germany","","","",""
"Min 1x per month","2002","no migration background","East Germany","","","",""
"Min 1x per month","2002","direct migration background","West Germany","","","",""
"Min 1x per month","2002","direct migration background","East Germany","","","",""
"Min 1x per month","2002","indirect migration background","West Germany","","","",""
"Min 1x per month","2002","indirect migration background","East Germany","","","",""
"Rarely","2002","no migration background","West Germany","","","",""
"Rarely","2002","no migration background","East Germany","","","",""
"Rarely","2002","direct migration background","West Germany","","","",""
"Rarely","2002","direct migration background","East Germany","","","",""
"Rarely","2002","indirect migration background","West Germany","","","",""
"Rarely","2002","indirect migration background","East Germany","","","",""
"Never","2002","no migration background","West Germany","","","",""
"Never","2002","no migration background","East Germany","","","",""
"Never","2002","direct migration background","West Germany","","","",""
"Never","2002","direct migration background","East Germany","","","",""
"Never","2002","indirect migration background","West Germany","","","",""
"Never","2002","indirect migration background","East Germany","","","",""
"Daily","2003","no migration background","West Germany","11599","0.86190185373418","0.856100129443519","0.867703578024842"
"Daily","2003","no migration background","East Germany","4604","0.888617096048392","0.880080933940117","0.897153258156668"
"Daily","2003","direct migration background","West Germany","2219","0.867667066849252","0.854450217919194","0.880883915779311"
"Daily","2003","direct migration background","East Germany","94","0.884496889098469","0.823360689660701","0.945633088536237"
"Daily","2003","indirect migration background","West Germany","615","0.819900148916286","0.792453598882768","0.847346698949804"
"Daily","2003","indirect migration background","East Germany","25","","",""
"Min 1x per week","2003","no migration background","West Germany","1459","0.0971080269297176","0.0921285959651096","0.102087457894326"
"Min 1x per week","2003","no migration background","East Germany","418","0.0744701669238846","0.0673468473531345","0.0815934864946348"
"Min 1x per week","2003","direct migration background","West Germany","196","0.0776182196284335","0.067181726388354","0.088054712868513"
"Min 1x per week","2003","direct migration background","East Germany","9","","",""
"Min 1x per week","2003","indirect migration background","West Germany","101","0.132942589011605","0.108692876382817","0.157192301640394"
"Min 1x per week","2003","indirect migration background","East Germany","6","","",""
"Min 1x per month","2003","no migration background","West Germany","129","0.011378406008131","0.00959483660327569","0.0131619754129864"
"Min 1x per month","2003","no migration background","East Germany","47","0.00777994278786681","0.00539604156621131","0.0101638440095223"
"Min 1x per month","2003","direct migration background","West Germany","22","","",""
"Min 1x per month","2003","direct migration background","East Germany","1","","",""
"Min 1x per month","2003","indirect migration background","West Germany","10","","",""
"Min 1x per month","2003","indirect migration background","East Germany","","","",""
"Rarely","2003","no migration background","West Germany","235","0.0158500605896318","0.0137497653261309","0.0179503558531327"
"Rarely","2003","no migration background","East Germany","102","0.019412183934756","0.0156686954730014","0.0231556723965106"
"Rarely","2003","direct migration background","West Germany","40","0.0193130156507146","0.0139450756651408","0.0246809556362883"
"Rarely","2003","direct migration background","East Germany","","","",""
"Rarely","2003","indirect migration background","West Germany","17","","",""
"Rarely","2003","indirect migration background","East Germany","","","",""
"Never","2003","no migration background","West Germany","162","0.0137616527383392","0.0118025351916928","0.0157207702849855"
"Never","2003","no migration background","East Germany","47","0.00972061030510015","0.00705852670333862","0.0123826939068617"
"Never","2003","direct migration background","West Germany","48","0.0204532604300895","0.0149323429534885","0.0259741779066904"
"Never","2003","direct migration background","East Germany","1","","",""
"Never","2003","indirect migration background","West Germany","10","","",""
"Never","2003","indirect migration background","East Germany","1","","",""
"Daily","2004","no migration background","West Germany","","","",""
"Daily","2004","no migration background","East Germany","","","",""
"Daily","2004","direct migration background","West Germany","","","",""
"Daily","2004","direct migration background","East Germany","","","",""
"Daily","2004","indirect migration background","West Germany","","","",""
"Daily","2004","indirect migration background","East Germany","","","",""
"Min 1x per week","2004","no migration background","West Germany","","","",""
"Min 1x per week","2004","no migration background","East Germany","","","",""
"Min 1x per week","2004","direct migration background","West Germany","","","",""
"Min 1x per week","2004","direct migration background","East Germany","","","",""
"Min 1x per week","2004","indirect migration background","West Germany","","","",""
"Min 1x per week","2004","indirect migration background","East Germany","","","",""
"Min 1x per month","2004","no migration background","West Germany","","","",""
"Min 1x per month","2004","no migration background","East Germany","","","",""
"Min 1x per month","2004","direct migration background","West Germany","","","",""
"Min 1x per month","2004","direct migration background","East Germany","","","",""
"Min 1x per month","2004","indirect migration background","West Germany","","","",""
"Min 1x per month","2004","indirect migration background","East Germany","","","",""
"Rarely","2004","no migration background","West Germany","","","",""
"Rarely","2004","no migration background","East Germany","","","",""
"Rarely","2004","direct migration background","West Germany","","","",""
"Rarely","2004","direct migration background","East Germany","","","",""
"Rarely","2004","indirect migration background","West Germany","","","",""
"Rarely","2004","indirect migration background","East Germany","","","",""
"Never","2004","no migration background","West Germany","","","",""
"Never","2004","no migration background","East Germany","","","",""
"Never","2004","direct migration background","West Germany","","","",""
"Never","2004","direct migration background","East Germany","","","",""
"Never","2004","indirect migration background","West Germany","","","",""
"Never","2004","indirect migration background","East Germany","","","",""
"Daily","2005","no migration background","West Germany","","","",""
"Daily","2005","no migration background","East Germany","","","",""
"Daily","2005","direct migration background","West Germany","","","",""
"Daily","2005","direct migration background","East Germany","","","",""
"Daily","2005","indirect migration background","West Germany","","","",""
"Daily","2005","indirect migration background","East Germany","","","",""
"Min 1x per week","2005","no migration background","West Germany","","","",""
"Min 1x per week","2005","no migration background","East Germany","","","",""
"Min 1x per week","2005","direct migration background","West Germany","","","",""
"Min 1x per week","2005","direct migration background","East Germany","","","",""
"Min 1x per week","2005","indirect migration background","West Germany","","","",""
"Min 1x per week","2005","indirect migration background","East Germany","","","",""
"Min 1x per month","2005","no migration background","West Germany","","","",""
"Min 1x per month","2005","no migration background","East Germany","","","",""
"Min 1x per month","2005","direct migration background","West Germany","","","",""
"Min 1x per month","2005","direct migration background","East Germany","","","",""
"Min 1x per month","2005","indirect migration background","West Germany","","","",""
"Min 1x per month","2005","indirect migration background","East Germany","","","",""
"Rarely","2005","no migration background","West Germany","","","",""
"Rarely","2005","no migration background","East Germany","","","",""
"Rarely","2005","direct migration background","West Germany","","","",""
"Rarely","2005","direct migration background","East Germany","","","",""
"Rarely","2005","indirect migration background","West Germany","","","",""
"Rarely","2005","indirect migration background","East Germany","","","",""
"Never","2005","no migration background","West Germany","","","",""
"Never","2005","no migration background","East Germany","","","",""
"Never","2005","direct migration background","West Germany","","","",""
"Never","2005","direct migration background","East Germany","","","",""
"Never","2005","indirect migration background","West Germany","","","",""
"Never","2005","indirect migration background","East Germany","","","",""
"Daily","2006","no migration background","West Germany","","","",""
"Daily","2006","no migration background","East Germany","","","",""
"Daily","2006","direct migration background","West Germany","","","",""
"Daily","2006","direct migration background","East Germany","","","",""
"Daily","2006","indirect migration background","West Germany","","","",""
"Daily","2006","indirect migration background","East Germany","","","",""
"Min 1x per week","2006","no migration background","West Germany","","","",""
"Min 1x per week","2006","no migration background","East Germany","","","",""
"Min 1x per week","2006","direct migration background","West Germany","","","",""
