"pli0083","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1994","35-65 y.","","","","","3"
"Min 1x per month","1994","66 and older","","","","","3"
"Min 1x per week","1994","16-34 y.","","","","","2"
"Min 1x per week","1994","35-65 y.","","","","","2"
"Min 1x per week","1994","66 and older","","","","","2"
"Never","1994","16-34 y.","","","","","5"
"Never","1994","35-65 y.","","","","","5"
"Never","1994","66 and older","","","","","5"
"Rarely","1994","35-65 y.","","","","","4"
"Rarely","1994","16-34 y.","","","","","4"
"Rarely","1994","66 and older","","","","","4"
"Daily","1995","16-34 y.","3939","0.779217296954459","0.767638045178972","0.790796548729945","1"
"Daily","1995","35-65 y.","5835","0.834655729419623","0.825839714205352","0.843471744633893","1"
"Daily","1995","66 and older","1446","0.933955992928588","0.921567902775506","0.946344083081669","1"
"Min 1x per month","1995","16-34 y.","73","0.0196745510385981","0.0157974578846589","0.0235516441925373","3"
"Min 1x per month","1995","35-65 y.","71","0.0129072127204482","0.0102285422546233","0.015585883186273","3"
"Min 1x per month","1995","66 and older","5","","","","3"
"Min 1x per week","1995","16-34 y.","740","0.158969247380702","0.148761470256602","0.169177024504801","2"
"Min 1x per week","1995","35-65 y.","683","0.11350357562741","0.105975788458679","0.121031362796142","2"
"Min 1x per week","1995","66 and older","51","0.0342432782490222","0.0251724701284413","0.043314086369603","2"
"Never","1995","16-34 y.","36","0.00924272255517589","0.00657124041054588","0.0119142046998059","5"
"Never","1995","35-65 y.","59","0.0105528987222765","0.00812792944029333","0.0129778680042598","5"
"Never","1995","66 and older","26","","","","5"
"Rarely","1995","35-65 y.","173","0.0283805835102422","0.0244397978067397","0.0323213692137446","4"
"Rarely","1995","16-34 y.","141","0.0328961820710655","0.0279167710158786","0.0378755931262525","4"
"Rarely","1995","66 and older","16","","","","4"
"Daily","1996","16-34 y.","","","","","1"
"Daily","1996","35-65 y.","","","","","1"
"Daily","1996","66 and older","","","","","1"
"Min 1x per month","1996","16-34 y.","","","","","3"
"Min 1x per month","1996","35-65 y.","","","","","3"
"Min 1x per month","1996","66 and older","","","","","3"
"Min 1x per week","1996","16-34 y.","","","","","2"
"Min 1x per week","1996","35-65 y.","","","","","2"
"Min 1x per week","1996","66 and older","","","","","2"
"Never","1996","16-34 y.","","","","","5"
"Never","1996","35-65 y.","","","","","5"
"Never","1996","66 and older","","","","","5"
"Rarely","1996","35-65 y.","","","","","4"
"Rarely","1996","16-34 y.","","","","","4"
"Rarely","1996","66 and older","","","","","4"
"Daily","1997","16-34 y.","","","","","1"
"Daily","1997","35-65 y.","","","","","1"
"Daily","1997","66 and older","","","","","1"
"Min 1x per month","1997","16-34 y.","","","","","3"
"Min 1x per month","1997","35-65 y.","","","","","3"
"Min 1x per month","1997","66 and older","","","","","3"
"Min 1x per week","1997","16-34 y.","","","","","2"
"Min 1x per week","1997","35-65 y.","","","","","2"
"Min 1x per week","1997","66 and older","","","","","2"
"Never","1997","16-34 y.","","","","","5"
"Never","1997","35-65 y.","","","","","5"
"Never","1997","66 and older","","","","","5"
"Rarely","1997","16-34 y.","","","","","4"
"Rarely","1997","35-65 y.","","","","","4"
"Rarely","1997","66 and older","","","","","4"
"Daily","1998","16-34 y.","3980","0.789139376737858","0.777678003937769","0.800600749537948","1"
"Daily","1998","35-65 y.","6419","0.8403422046393","0.832054680045672","0.848629729232929","1"
"Daily","1998","66 and older","1771","0.942599517753965","0.932068152512813","0.953130882995117","1"
"Min 1x per month","1998","16-34 y.","54","0.0160767047333874","0.0125429111486125","0.0196104983181624","3"
"Min 1x per month","1998","35-65 y.","76","0.0116092596901714","0.00918561877539198","0.0140329006049509","3"
"Min 1x per month","1998","66 and older","8","","","","3"
"Min 1x per week","1998","16-34 y.","668","0.159105741668937","0.148828521548755","0.169382961789118","2"
"Min 1x per week","1998","66 and older","52","0.0310579702080004","0.0232038285566836","0.0389121118593172","2"
"Min 1x per week","1998","35-65 y.","738","0.105480361227508","0.0985303993493355","0.112430323105681","2"
"Never","1998","16-34 y.","38","0.009393069036853","0.0066827745790615","0.0121033634946445","5"
"Never","1998","35-65 y.","70","0.0110965096876082","0.00872638152074009","0.0134666378544764","5"
"Never","1998","66 and older","27","","","","5"
"Rarely","1998","16-34 y.","126","0.0262851078229646","0.0217900754248873","0.0307801402210419","4"
"Rarely","1998","35-65 y.","201","0.0314716647554117","0.0275214773316502","0.0354218521791732","4"
"Rarely","1998","66 and older","16","","","","4"
"Daily","1999","16-34 y.","","","","","1"
"Daily","1999","35-65 y.","","","","","1"
"Daily","1999","66 and older","","","","","1"
"Min 1x per month","1999","16-34 y.","","","","","3"
"Min 1x per month","1999","35-65 y.","","","","","3"
"Min 1x per month","1999","66 and older","","","","","3"
"Min 1x per week","1999","16-34 y.","","","","","2"
"Min 1x per week","1999","66 and older","","","","","2"
"Min 1x per week","1999","35-65 y.","","","","","2"
"Never","1999","16-34 y.","","","","","5"
"Never","1999","35-65 y.","","","","","5"
"Never","1999","66 and older","","","","","5"
"Rarely","1999","16-34 y.","","","","","4"
"Rarely","1999","35-65 y.","","","","","4"
"Rarely","1999","66 and older","","","","","4"
"Daily","2000","16-34 y.","","","","","1"
"Daily","2000","35-65 y.","","","","","1"
"Daily","2000","66 and older","","","","","1"
"Min 1x per month","2000","16-34 y.","","","","","3"
"Min 1x per month","2000","35-65 y.","","","","","3"
"Min 1x per month","2000","66 and older","","","","","3"
"Min 1x per week","2000","16-34 y.","","","","","2"
"Min 1x per week","2000","35-65 y.","","","","","2"
"Min 1x per week","2000","66 and older","","","","","2"
"Never","2000","16-34 y.","","","","","5"
"Never","2000","35-65 y.","","","","","5"
"Never","2000","66 and older","","","","","5"
"Rarely","2000","16-34 y.","","","","","4"
"Rarely","2000","35-65 y.","","","","","4"
"Rarely","2000","66 and older","","","","","4"
"Daily","2001","16-34 y.","","","","","1"
"Daily","2001","35-65 y.","","","","","1"
"Daily","2001","66 and older","","","","","1"
"Min 1x per month","2001","16-34 y.","","","","","3"
"Min 1x per month","2001","66 and older","","","","","3"
"Min 1x per month","2001","35-65 y.","","","","","3"
"Min 1x per week","2001","16-34 y.","","","","","2"
"Min 1x per week","2001","35-65 y.","","","","","2"
"Min 1x per week","2001","66 and older","","","","","2"
"Never","2001","16-34 y.","","","","","5"
"Never","2001","35-65 y.","","","","","5"
"Never","2001","66 and older","","","","","5"
"Rarely","2001","35-65 y.","","","","","4"
"Rarely","2001","16-34 y.","","","","","4"
"Rarely","2001","66 and older","","","","","4"
"Daily","2002","16-34 y.","","","","","1"
"Daily","2002","35-65 y.","","","","","1"
"Daily","2002","66 and older","","","","","1"
"Min 1x per month","2002","16-34 y.","","","","","3"
"Min 1x per month","2002","66 and older","","","","","3"
"Min 1x per month","2002","35-65 y.","","","","","3"
"Min 1x per week","2002","35-65 y.","","","","","2"
"Min 1x per week","2002","16-34 y.","","","","","2"
"Min 1x per week","2002","66 and older","","","","","2"
"Never","2002","16-34 y.","","","","","5"
"Never","2002","35-65 y.","","","","","5"
"Never","2002","66 and older","","","","","5"
"Rarely","2002","16-34 y.","","","","","4"
"Rarely","2002","35-65 y.","","","","","4"
"Rarely","2002","66 and older","","","","","4"
"Daily","2003","16-34 y.","4784","0.803911290350112","0.793755296968128","0.814067283732096","1"
"Daily","2003","35-65 y.","10882","0.862789438810288","0.85679645482838","0.868782422792196","1"
"Daily","2003","66 and older","3490","0.946049201610828","0.938753886086158","0.953344517135497","1"
"Min 1x per month","2003","16-34 y.","90","0.0202646939633628","0.0166604311182841","0.0238689568084416","3"
"Min 1x per month","2003","35-65 y.","109","0.0104864790702207","0.00871219705639324","0.0122607610840481","3"
"Min 1x per month","2003","66 and older","10","","","","3"
"Min 1x per week","2003","16-34 y.","825","0.14371959087396","0.134746169932633","0.152693011815287","2"
"Min 1x per week","2003","35-65 y.","1270","0.0946583264102633","0.0895593546916162","0.0997572981289103","2"
"Min 1x per week","2003","66 and older","94","0.0247502514279461","0.0197333448798775","0.0297671579760147","2"
"Never","2003","16-34 y.","51","0.0105235765401921","0.00791336047568815","0.013133792604696","5"
"Never","2003","35-65 y.","150","0.0127728478384028","0.0108169356573365","0.014728760019469","5"
"Never","2003","66 and older","68","0.0202677574146999","0.0157174071342141","0.0248181076951858","5"
"Rarely","2003","16-34 y.","121","0.021580848272373","0.017863880641679","0.0252978159030669","4"
"Rarely","2003","35-65 y.","251","0.0192929078708252","0.0168970257886381","0.0216887899530122","4"
"Rarely","2003","66 and older","22","","","","4"
"Daily","2004","16-34 y.","","","","","1"
"Daily","2004","35-65 y.","","","","","1"
"Daily","2004","66 and older","","","","","1"
"Min 1x per month","2004","16-34 y.","","","","","3"
"Min 1x per month","2004","35-65 y.","","","","","3"
"Min 1x per month","2004","66 and older","","","","","3"
"Min 1x per week","2004","16-34 y.","","","","","2"
"Min 1x per week","2004","35-65 y.","","","","","2"
"Min 1x per week","2004","66 and older","","","","","2"
"Never","2004","16-34 y.","","","","","5"
"Never","2004","35-65 y.","","","","","5"
"Never","2004","66 and older","","","","","5"
"Rarely","2004","16-34 y.","","","","","4"
"Rarely","2004","35-65 y.","","","","","4"
"Rarely","2004","66 and older","","","","","4"
"Daily","2005","16-34 y.","","","","","1"
"Daily","2005","35-65 y.","","","","","1"
"Daily","2005","66 and older","","","","","1"
"Min 1x per month","2005","16-34 y.","","","","","3"
"Min 1x per month","2005","35-65 y.","","","","","3"
"Min 1x per month","2005","66 and older","","","","","3"
"Min 1x per week","2005","16-34 y.","","","","","2"
"Min 1x per week","2005","35-65 y.","","","","","2"
"Min 1x per week","2005","66 and older","","","","","2"
"Never","2005","16-34 y.","","","","","5"
"Never","2005","35-65 y.","","","","","5"
"Never","2005","66 and older","","","","","5"
"Rarely","2005","16-34 y.","","","","","4"
"Rarely","2005","35-65 y.","","","","","4"
"Rarely","2005","66 and older","","","","","4"
"Daily","2006","16-34 y.","","","","","1"
"Daily","2006","35-65 y.","","","","","1"
"Daily","2006","66 and older","","","","","1"
"Min 1x per month","2006","16-34 y.","","","","","3"
"Min 1x per month","2006","35-65 y.","","","","","3"
"Min 1x per month","2006","66 and older","","","","","3"
"Min 1x per week","2006","16-34 y.","","","","","2"
"Min 1x per week","2006","35-65 y.","","","","","2"
"Min 1x per week","2006","66 and older","","","","","2"
"Never","2006","16-34 y.","","","","","5"
"Never","2006","35-65 y.","","","","","5"
"Never","2006","66 and older","","","","","5"
"Rarely","2006","16-34 y.","","","","","4"
"Rarely","2006","35-65 y.","","","","","4"
"Rarely","2006","66 and older","","","","","4"
"Daily","2007","16-34 y.","","","","","1"
"Daily","2007","35-65 y.","","","","","1"
"Daily","2007","66 and older","","","","","1"
"Min 1x per month","2007","35-65 y.","","","","","3"
"Min 1x per month","2007","16-34 y.","","","","","3"
"Min 1x per month","2007","66 and older","","","","","3"
"Min 1x per week","2007","16-34 y.","","","","","2"
"Min 1x per week","2007","35-65 y.","","","","","2"
"Min 1x per week","2007","66 and older","","","","","2"
"Never","2007","16-34 y.","","","","","5"
"Never","2007","35-65 y.","","","","","5"
"Never","2007","66 and older","","","","","5"
"Rarely","2007","16-34 y.","","","","","4"
"Rarely","2007","66 and older","","","","","4"
"Rarely","2007","35-65 y.","","","","","4"
"Daily","2008","16-34 y.","3309","0.768973011504505","0.756466321313135","0.781479701695874","1"
"Daily","2008","35-65 y.","8798","0.821055316438367","0.813780305818714","0.828330327058021","1"
"Daily","2008","66 and older","4076","0.931612347313323","0.924105464384754","0.939119230241892","1"
"Min 1x per month","2008","35-65 y.","157","0.0158505559692843","0.0134800513903399","0.0182210605482287","3"
"Min 1x per month","2008","16-34 y.","97","0.0225299439634614","0.0181265527517925","0.0269333351751303","3"
"Min 1x per month","2008","66 and older","21","","","","3"
"Min 1x per week","2008","16-34 y.","790","0.174543773730423","0.163280758041305","0.185806789419542","2"
"Min 1x per week","2008","66 and older","139","0.0305111445899174","0.0253960480254214","0.0356262411544133","2"
"Min 1x per week","2008","35-65 y.","1327","0.124444579383101","0.118179626120447","0.130709532645755","2"
"Never","2008","16-34 y.","52","0.0129307261219705","0.00957844248096481","0.0162830097629762","5"
"Never","2008","35-65 y.","104","0.012276138529409","0.0101861847290006","0.0143660923298174","5"
"Never","2008","66 and older","61","0.0167198700794758","0.012906506125196","0.0205332340337556","5"
"Rarely","2008","16-34 y.","115","0.0210225446796402","0.0167657326626904","0.0252793566965899","4"
"Rarely","2008","35-65 y.","278","0.0263734096798386","0.0233320528545013","0.0294147665051759","4"
"Rarely","2008","66 and older","46","0.0158534908122199","0.012138604673709","0.0195683769507308","4"
"Daily","2009","16-34 y.","","","","","1"
"Daily","2009","35-65 y.","","","","","1"
"Daily","2009","66 and older","","","","","1"
"Min 1x per month","2009","16-34 y.","","","","","3"
"Min 1x per month","2009","35-65 y.","","","","","3"
"Min 1x per month","2009","66 and older","","","","","3"
"Min 1x per week","2009","16-34 y.","","","","","2"
"Min 1x per week","2009","35-65 y.","","","","","2"
"Min 1x per week","2009","66 and older","","","","","2"
"Never","2009","16-34 y.","","","","","5"
"Never","2009","35-65 y.","","","","","5"
"Never","2009","66 and older","","","","","5"
"Rarely","2009","16-34 y.","","","","","4"
"Rarely","2009","35-65 y.","","","","","4"
"Rarely","2009","66 and older","","","","","4"
"Daily","2010","16-34 y.","","","","","1"
"Daily","2010","35-65 y.","","","","","1"
"Daily","2010","66 and older","","","","","1"
"Min 1x per month","2010","16-34 y.","","","","","3"
"Min 1x per month","2010","35-65 y.","","","","","3"
"Min 1x per month","2010","66 and older","","","","","3"
"Min 1x per week","2010","16-34 y.","","","","","2"
"Min 1x per week","2010","35-65 y.","","","","","2"
"Min 1x per week","2010","66 and older","","","","","2"
"Never","2010","16-34 y.","","","","","5"
"Never","2010","35-65 y.","","","","","5"
"Never","2010","66 and older","","","","","5"
"Rarely","2010","35-65 y.","","","","","4"
"Rarely","2010","16-34 y.","","","","","4"
"Rarely","2010","66 and older","","","","","4"
"Daily","2011","16-34 y.","","","","","1"
"Daily","2011","35-65 y.","","","","","1"
"Daily","2011","66 and older","","","","","1"
"Min 1x per month","2011","16-34 y.","","","","","3"
"Min 1x per month","2011","35-65 y.","","","","","3"
"Min 1x per month","2011","66 and older","","","","","3"
"Min 1x per week","2011","16-34 y.","","","","","2"
"Min 1x per week","2011","35-65 y.","","","","","2"
"Min 1x per week","2011","66 and older","","","","","2"
"Never","2011","16-34 y.","","","","","5"
"Never","2011","35-65 y.","","","","","5"
"Never","2011","66 and older","","","","","5"
"Rarely","2011","35-65 y.","","","","","4"
"Rarely","2011","16-34 y.","","","","","4"
"Rarely","2011","66 and older","","","","","4"
"Daily","2012","16-34 y.","","","","","1"
"Daily","2012","35-65 y.","","","","","1"
"Daily","2012","66 and older","","","","","1"
"Min 1x per month","2012","16-34 y.","","","","","3"
"Min 1x per month","2012","35-65 y.","","","","","3"
"Min 1x per month","2012","66 and older","","","","","3"
"Min 1x per week","2012","16-34 y.","","","","","2"
"Min 1x per week","2012","35-65 y.","","","","","2"
"Min 1x per week","2012","66 and older","","","","","2"
"Never","2012","16-34 y.","","","","","5"
"Never","2012","35-65 y.","","","","","5"
"Never","2012","66 and older","","","","","5"
"Rarely","2012","16-34 y.","","","","","4"
"Rarely","2012","35-65 y.","","","","","4"
"Rarely","2012","66 and older","","","","","4"
"Daily","2013","16-34 y.","3934","0.678626466777566","0.666447198486943","0.690805735068188","1"
"Daily","2013","35-65 y.","11411","0.786728783882523","0.780159627793775","0.79329793997127","1"
"Daily","2013","66 and older","4554","0.906275222247632","0.898190444872549","0.914359999622716","1"
"Min 1x per month","2013","16-34 y.","152","0.0279029105515968","0.0236077409051948","0.0321980801979988","3"
"Min 1x per month","2013","35-65 y.","371","0.0243101444982263","0.0218402374840957","0.0267800515123569","3"
"Min 1x per month","2013","66 and older","45","0.0088223577210906","0.0062283044951696","0.0114164109470116","3"
"Min 1x per week","2013","16-34 y.","1311","0.257034713325128","0.245637966558125","0.268431460092131","2"
"Min 1x per week","2013","66 and older","222","0.047375978503875","0.0414827855156856","0.0532691714920644","2"
"Min 1x per week","2013","35-65 y.","2463","0.144588897187618","0.138948809545116","0.15022898483012","2"
"Never","2013","16-34 y.","57","0.00762569938125588","0.00535699274328789","0.00989440601922386","5"
"Never","2013","35-65 y.","154","0.0104715155209341","0.00883902804151607","0.0121040030003521","5"
"Never","2013","66 and older","85","0.0213630750016527","0.0173520674065134","0.025374082596792","5"
"Rarely","2013","16-34 y.","194","0.0288102099644539","0.0244478046603481","0.0331726152685597","4"
"Rarely","2013","35-65 y.","537","0.0339006589106986","0.0309983348565709","0.0368029829648264","4"
"Rarely","2013","66 and older","86","0.0161633665257492","0.0126652182969185","0.0196615147545799","4"
"Daily","2014","16-34 y.","","","","","1"
"Daily","2014","35-65 y.","","","","","1"
"Daily","2014","66 and older","","","","","1"
"Min 1x per month","2014","16-34 y.","","","","","3"
"Min 1x per month","2014","35-65 y.","","","","","3"
"Min 1x per month","2014","66 and older","","","","","3"
"Min 1x per week","2014","16-34 y.","","","","","2"
"Min 1x per week","2014","66 and older","","","","","2"
"Min 1x per week","2014","35-65 y.","","","","","2"
"Never","2014","16-34 y.","","","","","5"
"Never","2014","35-65 y.","","","","","5"
"Never","2014","66 and older","","","","","5"
"Rarely","2014","16-34 y.","","","","","4"
"Rarely","2014","35-65 y.","","","","","4"
"Rarely","2014","66 and older","","","","","4"
"Daily","2015","16-34 y.","","","","","1"
"Daily","2015","35-65 y.","","","","","1"
"Daily","2015","66 and older","","","","","1"
"Min 1x per month","2015","16-34 y.","","","","","3"
"Min 1x per month","2015","35-65 y.","","","","","3"
"Min 1x per month","2015","66 and older","","","","","3"
"Min 1x per week","2015","16-34 y.","","","","","2"
"Min 1x per week","2015","66 and older","","","","","2"
"Min 1x per week","2015","35-65 y.","","","","","2"
"Never","2015","16-34 y.","","","","","5"
"Never","2015","35-65 y.","","","","","5"
"Never","2015","66 and older","","","","","5"
"Rarely","2015","16-34 y.","","","","","4"
"Rarely","2015","35-65 y.","","","","","4"
"Rarely","2015","66 and older","","","","","4"
"Daily","2016","16-34 y.","","","","","1"
"Daily","2016","35-65 y.","","","","","1"
"Daily","2016","66 and older","","","","","1"
"Min 1x per month","2016","16-34 y.","","","","","3"
"Min 1x per month","2016","35-65 y.","","","","","3"
"Min 1x per month","2016","66 and older","","","","","3"
"Min 1x per week","2016","16-34 y.","","","","","2"
"Min 1x per week","2016","35-65 y.","","","","","2"
"Min 1x per week","2016","66 and older","","","","","2"
"Never","2016","16-34 y.","","","","","5"
"Never","2016","35-65 y.","","","","","5"
"Never","2016","66 and older","","","","","5"
"Rarely","2016","16-34 y.","","","","","4"
"Rarely","2016","66 and older","","","","","4"
"Rarely","2016","35-65 y.","","","","","4"
"Daily","2017","16-34 y.","","","","","1"
"Daily","2017","35-65 y.","","","","","1"
"Daily","2017","66 and older","","","","","1"
"Min 1x per month","2017","16-34 y.","","","","","3"
"Min 1x per month","2017","35-65 y.","","","","","3"
"Min 1x per month","2017","66 and older","","","","","3"
"Min 1x per week","2017","35-65 y.","","","","","2"
"Min 1x per week","2017","16-34 y.","","","","","2"
"Min 1x per week","2017","66 and older","","","","","2"
"Never","2017","16-34 y.","","","","","5"
"Never","2017","35-65 y.","","","","","5"
"Never","2017","66 and older","","","","","5"
"Rarely","2017","16-34 y.","","","","","4"
"Rarely","2017","35-65 y.","","","","","4"
"Rarely","2017","66 and older","","","","","4"
"Daily","2018","16-34 y.","","","","","1"
"Daily","2018","35-65 y.","","","","","1"
"Daily","2018","66 and older","","","","","1"
"Min 1x per month","2018","16-34 y.","","","","","3"
"Min 1x per month","2018","35-65 y.","","","","","3"
"Min 1x per month","2018","66 and older","","","","","3"
"Min 1x per week","2018","16-34 y.","","","","","2"
"Min 1x per week","2018","35-65 y.","","","","","2"
"Min 1x per week","2018","66 and older","","","","","2"
"Never","2018","16-34 y.","","","","","5"
"Never","2018","35-65 y.","","","","","5"
"Never","2018","66 and older","","","","","5"
"Rarely","2018","16-34 y.","","","","","4"
"Rarely","2018","35-65 y.","","","","","4"
"Rarely","2018","66 and older","","","","","4"
"Daily","2019","35-65 y.","11057","0.753971802109851","0.747117647040501","0.7608259571792","1"
"Daily","2019","16-34 y.","3763","0.680327617911202","0.667950995727454","0.692704240094949","1"
"Daily","2019","66 and older","4637","0.891588790272933","0.883166103951477","0.90001147659439","1"
"Min 1x per month","2019","16-34 y.","153","0.0263315101270424","0.0220820479765051","0.0305809722775797","3"
"Min 1x per month","2019","66 and older","40","0.00803655110158513","0.00561767333811028","0.01045542886506","3"
"Min 1x per month","2019","35-65 y.","343","0.0224346633042726","0.0200778965353056","0.0247914300732395","3"
"Min 1x per week","2019","35-65 y.","2874","0.170573948777291","0.164588053443901","0.176559844110681","2"
"Min 1x per week","2019","16-34 y.","1232","0.241393765012463","0.230036814002896","0.25275071602203","2"
"Min 1x per week","2019","66 and older","336","0.0566280809097643","0.0503664332536155","0.0628897285659132","2"
"Never","2019","16-34 y.","76","0.01574931368577","0.0124450537550026","0.0190535736165374","5"
"Never","2019","35-65 y.","224","0.0135798693812302","0.0117379836194976","0.0154217551429628","5"
"Never","2019","66 and older","68","0.0143750889246543","0.0111503665008499","0.0175998113484588","5"
"Rarely","2019","16-34 y.","230","0.0361977932635233","0.0312407178039699","0.0411548687230767","4"
"Rarely","2019","35-65 y.","670","0.039439716427356","0.0363422034413513","0.0425372294133607","4"
"Rarely","2019","66 and older","153","0.0293714887910629","0.0247972299695349","0.0339457476125909","4"
