"pli0083","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Rarely","1990","higher vocational","19","","",""
"Rarely","1990","higher education","52","0.0720737501374908","0.0528472170838747","0.091300283191107"
"Never","1990","in school","","","",""
"Never","1990","inadequately","17","","",""
"Never","1990","general elemantary","31","0.0162686445064952","0.011280653518718","0.0212566354942724"
"Never","1990","middle vocational","26","","",""
"Never","1990","vocational + Abi","4","","",""
"Never","1990","higher vocational","5","","",""
"Never","1990","higher education","16","","",""
"Daily","1991","in school","","","",""
"Daily","1991","inadequately","","","",""
"Daily","1991","general elemantary","","","",""
"Daily","1991","middle vocational","","","",""
"Daily","1991","vocational + Abi","","","",""
"Daily","1991","higher vocational","","","",""
"Daily","1991","higher education","","","",""
"Min 1x per week","1991","in school","","","",""
"Min 1x per week","1991","inadequately","","","",""
"Min 1x per week","1991","general elemantary","","","",""
"Min 1x per week","1991","middle vocational","","","",""
"Min 1x per week","1991","vocational + Abi","","","",""
"Min 1x per week","1991","higher vocational","","","",""
"Min 1x per week","1991","higher education","","","",""
"Min 1x per month","1991","in school","","","",""
"Min 1x per month","1991","inadequately","","","",""
"Min 1x per month","1991","general elemantary","","","",""
"Min 1x per month","1991","middle vocational","","","",""
"Min 1x per month","1991","vocational + Abi","","","",""
"Min 1x per month","1991","higher vocational","","","",""
"Min 1x per month","1991","higher education","","","",""
"Rarely","1991","in school","","","",""
"Rarely","1991","inadequately","","","",""
"Rarely","1991","general elemantary","","","",""
"Rarely","1991","middle vocational","","","",""
"Rarely","1991","vocational + Abi","","","",""
"Rarely","1991","higher vocational","","","",""
"Rarely","1991","higher education","","","",""
"Never","1991","in school","","","",""
"Never","1991","inadequately","","","",""
"Never","1991","general elemantary","","","",""
"Never","1991","middle vocational","","","",""
"Never","1991","vocational + Abi","","","",""
"Never","1991","higher vocational","","","",""
"Never","1991","higher education","","","",""
"Daily","1992","in school","","","",""
"Daily","1992","inadequately","","","",""
"Daily","1992","general elemantary","","","",""
"Daily","1992","middle vocational","","","",""
"Daily","1992","vocational + Abi","","","",""
"Daily","1992","higher vocational","","","",""
"Daily","1992","higher education","","","",""
"Min 1x per week","1992","in school","","","",""
"Min 1x per week","1992","inadequately","","","",""
"Min 1x per week","1992","general elemantary","","","",""
"Min 1x per week","1992","middle vocational","","","",""
"Min 1x per week","1992","vocational + Abi","","","",""
"Min 1x per week","1992","higher vocational","","","",""
"Min 1x per week","1992","higher education","","","",""
"Min 1x per month","1992","in school","","","",""
"Min 1x per month","1992","inadequately","","","",""
"Min 1x per month","1992","general elemantary","","","",""
"Min 1x per month","1992","middle vocational","","","",""
"Min 1x per month","1992","vocational + Abi","","","",""
"Min 1x per month","1992","higher vocational","","","",""
"Min 1x per month","1992","higher education","","","",""
"Rarely","1992","in school","","","",""
"Rarely","1992","inadequately","","","",""
"Rarely","1992","general elemantary","","","",""
"Rarely","1992","middle vocational","","","",""
"Rarely","1992","vocational + Abi","","","",""
"Rarely","1992","higher vocational","","","",""
"Rarely","1992","higher education","","","",""
"Never","1992","in school","","","",""
"Never","1992","inadequately","","","",""
"Never","1992","general elemantary","","","",""
"Never","1992","middle vocational","","","",""
"Never","1992","vocational + Abi","","","",""
"Never","1992","higher vocational","","","",""
"Never","1992","higher education","","","",""
"Daily","1993","in school","","","",""
"Daily","1993","inadequately","","","",""
"Daily","1993","general elemantary","","","",""
"Daily","1993","middle vocational","","","",""
"Daily","1993","vocational + Abi","","","",""
"Daily","1993","higher vocational","","","",""
"Daily","1993","higher education","","","",""
"Min 1x per week","1993","in school","","","",""
"Min 1x per week","1993","inadequately","","","",""
"Min 1x per week","1993","general elemantary","","","",""
"Min 1x per week","1993","middle vocational","","","",""
"Min 1x per week","1993","vocational + Abi","","","",""
"Min 1x per week","1993","higher vocational","","","",""
"Min 1x per week","1993","higher education","","","",""
"Min 1x per month","1993","in school","","","",""
"Min 1x per month","1993","inadequately","","","",""
"Min 1x per month","1993","general elemantary","","","",""
"Min 1x per month","1993","middle vocational","","","",""
"Min 1x per month","1993","vocational + Abi","","","",""
"Min 1x per month","1993","higher vocational","","","",""
"Min 1x per month","1993","higher education","","","",""
"Rarely","1993","in school","","","",""
"Rarely","1993","inadequately","","","",""
"Rarely","1993","general elemantary","","","",""
"Rarely","1993","middle vocational","","","",""
"Rarely","1993","vocational + Abi","","","",""
"Rarely","1993","higher vocational","","","",""
"Rarely","1993","higher education","","","",""
"Never","1993","in school","","","",""
"Never","1993","inadequately","","","",""
"Never","1993","general elemantary","","","",""
"Never","1993","middle vocational","","","",""
"Never","1993","vocational + Abi","","","",""
"Never","1993","higher vocational","","","",""
"Never","1993","higher education","","","",""
"Daily","1994","in school","","","",""
"Daily","1994","inadequately","","","",""
"Daily","1994","general elemantary","","","",""
"Daily","1994","middle vocational","","","",""
"Daily","1994","vocational + Abi","","","",""
"Daily","1994","higher vocational","","","",""
"Daily","1994","higher education","","","",""
"Min 1x per week","1994","in school","","","",""
"Min 1x per week","1994","inadequately","","","",""
"Min 1x per week","1994","general elemantary","","","",""
"Min 1x per week","1994","middle vocational","","","",""
"Min 1x per week","1994","vocational + Abi","","","",""
"Min 1x per week","1994","higher vocational","","","",""
"Min 1x per week","1994","higher education","","","",""
"Min 1x per month","1994","in school","","","",""
"Min 1x per month","1994","inadequately","","","",""
"Min 1x per month","1994","general elemantary","","","",""
"Min 1x per month","1994","middle vocational","","","",""
"Min 1x per month","1994","vocational + Abi","","","",""
"Min 1x per month","1994","higher vocational","","","",""
"Min 1x per month","1994","higher education","","","",""
"Rarely","1994","in school","","","",""
"Rarely","1994","inadequately","","","",""
"Rarely","1994","general elemantary","","","",""
"Rarely","1994","middle vocational","","","",""
"Rarely","1994","vocational + Abi","","","",""
"Rarely","1994","higher vocational","","","",""
"Rarely","1994","higher education","","","",""
"Never","1994","in school","","","",""
"Never","1994","inadequately","","","",""
"Never","1994","general elemantary","","","",""
"Never","1994","middle vocational","","","",""
"Never","1994","vocational + Abi","","","",""
"Never","1994","higher vocational","","","",""
"Never","1994","higher education","","","",""
"Daily","1995","in school","238","0.801494205876133","0.755266551040899","0.847721860711366"
"Daily","1995","inadequately","474","0.894615134255839","0.868424960875315","0.920805307636364"
"Daily","1995","general elemantary","2175","0.859944154476343","0.846342961911672","0.873545347041014"
"Daily","1995","middle vocational","5792","0.863863825821992","0.855665209586188","0.872062442057795"
"Daily","1995","vocational + Abi","352","0.717542599146716","0.677099452460233","0.757985745833199"
"Daily","1995","higher vocational","619","0.806505067757087","0.778493348852177","0.834516786661997"
"Daily","1995","higher education","1353","0.750379110291338","0.73013072660597","0.770627493976706"
"Min 1x per week","1995","in school","39","0.163166982322518","0.120341662120875","0.205992302524162"
"Min 1x per week","1995","inadequately","38","0.0666691469182784","0.0453920980999574","0.0879461957365993"
"Min 1x per week","1995","general elemantary","230","0.0910121796116522","0.0797396850405085","0.102284674182796"
"Min 1x per week","1995","middle vocational","644","0.092938819952334","0.0859974049419514","0.0998802349627166"
"Min 1x per week","1995","vocational + Abi","93","0.213477571228724","0.176666682987087","0.250288459470362"
"Min 1x per week","1995","higher vocational","108","0.136501837580886","0.112157308975488","0.160846366186285"
"Min 1x per week","1995","higher education","289","0.17307969840457","0.155380058831916","0.190779337977224"
"Min 1x per month","1995","in school","2","","",""
"Min 1x per month","1995","inadequately","1","","",""
"Min 1x per month","1995","general elemantary","25","","",""
"Min 1x per month","1995","middle vocational","77","0.0124833635189633","0.00982894644332665","0.0151377805945999"
"Min 1x per month","1995","vocational + Abi","10","","",""
"Min 1x per month","1995","higher vocational","11","","",""
"Min 1x per month","1995","higher education","22","","",""
"Rarely","1995","in school","6","","",""
"Rarely","1995","inadequately","6","","",""
"Rarely","1995","general elemantary","43","0.0250558224926708","0.0189304084200447","0.0311812365652969"
"Rarely","1995","middle vocational","163","0.023372992711292","0.0197609517213266","0.0269850337012573"
"Rarely","1995","vocational + Abi","16","","",""
"Rarely","1995","higher vocational","19","","",""
"Rarely","1995","higher education","66","0.0386682327518525","0.0296478837788492","0.0476885817248557"
"Never","1995","in school","1","","",""
"Never","1995","inadequately","9","","",""
"Never","1995","general elemantary","28","","",""
"Never","1995","middle vocational","45","0.0073409979954193","0.00530015902460353","0.00938183696623506"
"Never","1995","vocational + Abi","5","","",""
"Never","1995","higher vocational","7","","",""
"Never","1995","higher education","25","","",""
"Daily","1996","in school","","","",""
"Daily","1996","inadequately","","","",""
"Daily","1996","general elemantary","","","",""
"Daily","1996","middle vocational","","","",""
"Daily","1996","vocational + Abi","","","",""
"Daily","1996","higher vocational","","","",""
"Daily","1996","higher education","","","",""
"Min 1x per week","1996","in school","","","",""
"Min 1x per week","1996","inadequately","","","",""
"Min 1x per week","1996","general elemantary","","","",""
"Min 1x per week","1996","middle vocational","","","",""
"Min 1x per week","1996","vocational + Abi","","","",""
"Min 1x per week","1996","higher vocational","","","",""
"Min 1x per week","1996","higher education","","","",""
"Min 1x per month","1996","in school","","","",""
"Min 1x per month","1996","inadequately","","","",""
"Min 1x per month","1996","general elemantary","","","",""
"Min 1x per month","1996","middle vocational","","","",""
"Min 1x per month","1996","vocational + Abi","","","",""
"Min 1x per month","1996","higher vocational","","","",""
"Min 1x per month","1996","higher education","","","",""
"Rarely","1996","in school","","","",""
"Rarely","1996","inadequately","","","",""
"Rarely","1996","general elemantary","","","",""
"Rarely","1996","middle vocational","","","",""
"Rarely","1996","vocational + Abi","","","",""
"Rarely","1996","higher vocational","","","",""
"Rarely","1996","higher education","","","",""
"Never","1996","in school","","","",""
"Never","1996","inadequately","","","",""
"Never","1996","general elemantary","","","",""
"Never","1996","middle vocational","","","",""
"Never","1996","vocational + Abi","","","",""
"Never","1996","higher vocational","","","",""
"Never","1996","higher education","","","",""
"Daily","1997","in school","","","",""
"Daily","1997","inadequately","","","",""
"Daily","1997","general elemantary","","","",""
"Daily","1997","middle vocational","","","",""
"Daily","1997","vocational + Abi","","","",""
"Daily","1997","higher vocational","","","",""
"Daily","1997","higher education","","","",""
"Min 1x per week","1997","in school","","","",""
"Min 1x per week","1997","inadequately","","","",""
"Min 1x per week","1997","general elemantary","","","",""
"Min 1x per week","1997","middle vocational","","","",""
"Min 1x per week","1997","vocational + Abi","","","",""
"Min 1x per week","1997","higher vocational","","","",""
"Min 1x per week","1997","higher education","","","",""
"Min 1x per month","1997","in school","","","",""
"Min 1x per month","1997","inadequately","","","",""
"Min 1x per month","1997","general elemantary","","","",""
"Min 1x per month","1997","middle vocational","","","",""
"Min 1x per month","1997","vocational + Abi","","","",""
"Min 1x per month","1997","higher vocational","","","",""
"Min 1x per month","1997","higher education","","","",""
"Rarely","1997","in school","","","",""
"Rarely","1997","inadequately","","","",""
"Rarely","1997","general elemantary","","","",""
"Rarely","1997","middle vocational","","","",""
"Rarely","1997","vocational + Abi","","","",""
"Rarely","1997","higher vocational","","","",""
"Rarely","1997","higher education","","","",""
"Never","1997","in school","","","",""
"Never","1997","inadequately","","","",""
"Never","1997","general elemantary","","","",""
"Never","1997","middle vocational","","","",""
"Never","1997","vocational + Abi","","","",""
"Never","1997","higher vocational","","","",""
"Never","1997","higher education","","","",""
"Daily","1998","in school","287","0.821557312290461","0.780433413183883","0.862681211397038"
"Daily","1998","inadequately","416","0.928943828645643","0.905073207831847","0.952814449459439"
"Daily","1998","general elemantary","2288","0.908191114259198","0.896961567827595","0.919420660690801"
"Daily","1998","middle vocational","6109","0.86656616922825","0.858609960007392","0.874522378449108"
"Daily","1998","vocational + Abi","392","0.738532531668338","0.700469203735507","0.776595859601169"
"Daily","1998","higher vocational","675","0.806453359762975","0.779478019509087","0.833428700016862"
"Daily","1998","higher education","1504","0.744230982024587","0.724974698289507","0.763487265759668"
"Min 1x per week","1998","in school","39","0.155679107816482","0.1167392008889","0.194619014744064"
"Min 1x per week","1998","inadequately","15","","",""
"Min 1x per week","1998","general elemantary","152","0.0530372842480093","0.0443218644283629","0.0617527040676556"
"Min 1x per week","1998","middle vocational","633","0.0896075465512463","0.0829247387556654","0.0962903543468271"
"Min 1x per week","1998","vocational + Abi","91","0.206816289156995","0.171733640459494","0.241898937854497"
"Min 1x per week","1998","higher vocational","102","0.117727570286739","0.0957223900689412","0.139732750504538"
"Min 1x per week","1998","higher education","351","0.188843078474582","0.171568891714265","0.206117265234899"
"Min 1x per month","1998","in school","1","","",""
"Min 1x per month","1998","inadequately","4","","",""
"Min 1x per month","1998","general elemantary","20","","",""
"Min 1x per month","1998","middle vocational","55","0.00794519923925094","0.00586793100221601","0.0100224674762859"
"Min 1x per month","1998","vocational + Abi","5","","",""
"Min 1x per month","1998","higher vocational","13","","",""
"Min 1x per month","1998","higher education","31","0.0202574849454148","0.0140395900696536","0.0264753798211761"
"Rarely","1998","in school","5","","",""
"Rarely","1998","inadequately","6","","",""
"Rarely","1998","general elemantary","49","0.0147207296653929","0.0100371752094772","0.0194042841213086"
"Rarely","1998","middle vocational","168","0.0278162969650709","0.023968641486071","0.0316639524440708"
"Rarely","1998","vocational + Abi","17","","",""
"Rarely","1998","higher vocational","24","","",""
"Rarely","1998","higher education","58","0.0263248977337335","0.019258712555039","0.0333910829124279"
"Never","1998","in school","1","","",""
"Never","1998","inadequately","4","","",""
"Never","1998","general elemantary","31","0.0160393317566348","0.0111537842880811","0.0209248792251885"
"Never","1998","middle vocational","52","0.0080647880161815","0.00597207110148476","0.0101575049308782"
"Never","1998","vocational + Abi","7","","",""
"Never","1998","higher vocational","10","","",""
"Never","1998","higher education","28","","",""
"Daily","1999","in school","","","",""
"Daily","1999","inadequately","","","",""
"Daily","1999","general elemantary","","","",""
"Daily","1999","middle vocational","","","",""
"Daily","1999","vocational + Abi","","","",""
"Daily","1999","higher vocational","","","",""
"Daily","1999","higher education","","","",""
"Min 1x per week","1999","in school","","","",""
"Min 1x per week","1999","inadequately","","","",""
"Min 1x per week","1999","general elemantary","","","",""
"Min 1x per week","1999","middle vocational","","","",""
"Min 1x per week","1999","vocational + Abi","","","",""
"Min 1x per week","1999","higher vocational","","","",""
"Min 1x per week","1999","higher education","","","",""
"Min 1x per month","1999","in school","","","",""
"Min 1x per month","1999","inadequately","","","",""
"Min 1x per month","1999","general elemantary","","","",""
"Min 1x per month","1999","middle vocational","","","",""
"Min 1x per month","1999","vocational + Abi","","","",""
"Min 1x per month","1999","higher vocational","","","",""
"Min 1x per month","1999","higher education","","","",""
"Rarely","1999","in school","","","",""
"Rarely","1999","inadequately","","","",""
"Rarely","1999","general elemantary","","","",""
"Rarely","1999","middle vocational","","","",""
"Rarely","1999","vocational + Abi","","","",""
"Rarely","1999","higher vocational","","","",""
"Rarely","1999","higher education","","","",""
"Never","1999","in school","","","",""
"Never","1999","inadequately","","","",""
"Never","1999","general elemantary","","","",""
"Never","1999","middle vocational","","","",""
"Never","1999","vocational + Abi","","","",""
"Never","1999","higher vocational","","","",""
"Never","1999","higher education","","","",""
"Daily","2000","in school","","","",""
"Daily","2000","inadequately","","","",""
"Daily","2000","general elemantary","","","",""
"Daily","2000","middle vocational","","","",""
"Daily","2000","vocational + Abi","","","",""
"Daily","2000","higher vocational","","","",""
"Daily","2000","higher education","","","",""
"Min 1x per week","2000","in school","","","",""
"Min 1x per week","2000","inadequately","","","",""
"Min 1x per week","2000","general elemantary","","","",""
"Min 1x per week","2000","middle vocational","","","",""
"Min 1x per week","2000","vocational + Abi","","","",""
"Min 1x per week","2000","higher vocational","","","",""
"Min 1x per week","2000","higher education","","","",""
"Min 1x per month","2000","in school","","","",""
"Min 1x per month","2000","inadequately","","","",""
"Min 1x per month","2000","general elemantary","","","",""
"Min 1x per month","2000","middle vocational","","","",""
"Min 1x per month","2000","vocational + Abi","","","",""
"Min 1x per month","2000","higher vocational","","","",""
"Min 1x per month","2000","higher education","","","",""
"Rarely","2000","in school","","","",""
"Rarely","2000","inadequately","","","",""
"Rarely","2000","general elemantary","","","",""
"Rarely","2000","middle vocational","","","",""
"Rarely","2000","vocational + Abi","","","",""
"Rarely","2000","higher vocational","","","",""
"Rarely","2000","higher education","","","",""
"Never","2000","in school","","","",""
"Never","2000","inadequately","","","",""
"Never","2000","general elemantary","","","",""
"Never","2000","middle vocational","","","",""
"Never","2000","vocational + Abi","","","",""
"Never","2000","higher vocational","","","",""
"Never","2000","higher education","","","",""
"Daily","2001","in school","","","",""
"Daily","2001","inadequately","","","",""
"Daily","2001","general elemantary","","","",""
"Daily","2001","middle vocational","","","",""
"Daily","2001","vocational + Abi","","","",""
"Daily","2001","higher vocational","","","",""
"Daily","2001","higher education","","","",""
"Min 1x per week","2001","in school","","","",""
"Min 1x per week","2001","inadequately","","","",""
"Min 1x per week","2001","general elemantary","","","",""
"Min 1x per week","2001","middle vocational","","","",""
"Min 1x per week","2001","vocational + Abi","","","",""
"Min 1x per week","2001","higher vocational","","","",""
"Min 1x per week","2001","higher education","","","",""
"Min 1x per month","2001","in school","","","",""
"Min 1x per month","2001","inadequately","","","",""
"Min 1x per month","2001","general elemantary","","","",""
"Min 1x per month","2001","middle vocational","","","",""
"Min 1x per month","2001","vocational + Abi","","","",""
"Min 1x per month","2001","higher vocational","","","",""
"Min 1x per month","2001","higher education","","","",""
"Rarely","2001","in school","","","",""
"Rarely","2001","inadequately","","","",""
"Rarely","2001","general elemantary","","","",""
"Rarely","2001","middle vocational","","","",""
"Rarely","2001","vocational + Abi","","","",""
"Rarely","2001","higher vocational","","","",""
"Rarely","2001","higher education","","","",""
"Never","2001","in school","","","",""
"Never","2001","inadequately","","","",""
"Never","2001","general elemantary","","","",""
"Never","2001","middle vocational","","","",""
"Never","2001","vocational + Abi","","","",""
"Never","2001","higher vocational","","","",""
"Never","2001","higher education","","","",""
"Daily","2002","in school","","","",""
"Daily","2002","inadequately","","","",""
"Daily","2002","general elemantary","","","",""
"Daily","2002","middle vocational","","","",""
"Daily","2002","vocational + Abi","","","",""
"Daily","2002","higher vocational","","","",""
"Daily","2002","higher education","","","",""
"Min 1x per week","2002","in school","","","",""
"Min 1x per week","2002","inadequately","","","",""
"Min 1x per week","2002","general elemantary","","","",""
"Min 1x per week","2002","middle vocational","","","",""
"Min 1x per week","2002","vocational + Abi","","","",""
"Min 1x per week","2002","higher vocational","","","",""
"Min 1x per week","2002","higher education","","","",""
"Min 1x per month","2002","in school","","","",""
"Min 1x per month","2002","inadequately","","","",""
"Min 1x per month","2002","general elemantary","","","",""
"Min 1x per month","2002","middle vocational","","","",""
"Min 1x per month","2002","vocational + Abi","","","",""
"Min 1x per month","2002","higher vocational","","","",""
"Min 1x per month","2002","higher education","","","",""
"Rarely","2002","in school","","","",""
"Rarely","2002","inadequately","","","",""
"Rarely","2002","general elemantary","","","",""
"Rarely","2002","middle vocational","","","",""
"Rarely","2002","vocational + Abi","","","",""
"Rarely","2002","higher vocational","","","",""
"Rarely","2002","higher education","","","",""
"Never","2002","in school","","","",""
"Never","2002","inadequately","","","",""
"Never","2002","general elemantary","","","",""
"Never","2002","middle vocational","","","",""
"Never","2002","vocational + Abi","","","",""
"Never","2002","higher vocational","","","",""
"Never","2002","higher education","","","",""
"Daily","2003","in school","513","0.81465207672549","0.783916324102631","0.845387829348349"
"Daily","2003","inadequately","243","0.898806732285129","0.862767052836678","0.934846411733579"
"Daily","2003","general elemantary","2512","0.919953409083279","0.909825838073017","0.930080980093542"
"Daily","2003","middle vocational","9878","0.886582415939543","0.880694172503171","0.892470659375915"
"Daily","2003","vocational + Abi","944","0.820626281841483","0.798557208531804","0.842695355151162"
"Daily","2003","higher vocational","1425","0.841834483288508","0.824422036283375","0.85924693029364"
"Daily","2003","higher education","3443","0.782504929784034","0.770251091950482","0.794758767617586"
"Min 1x per week","2003","in school","79","0.130050002726168","0.103444820748806","0.156655184703529"
"Min 1x per week","2003","inadequately","15","","",""
"Min 1x per week","2003","general elemantary","156","0.049409242384426","0.0413210429527859","0.0574974418160662"
"Min 1x per week","2003","middle vocational","878","0.0751928729792389","0.0702962132333265","0.0800895327251513"
"Min 1x per week","2003","vocational + Abi","163","0.135488790731133","0.115802269532867","0.155175311929398"
"Min 1x per week","2003","higher vocational","184","0.104331524231123","0.0897443231275804","0.118918725334666"
"Min 1x per week","2003","higher education","689","0.162317891627753","0.15136505285176","0.173270730403745"
"Min 1x per month","2003","in school","6","","",""
"Min 1x per month","2003","inadequately","2","","",""
"Min 1x per month","2003","general elemantary","20","","",""
"Min 1x per month","2003","middle vocational","100","0.0104385624567268","0.00855131985152486","0.0123258050619288"
"Min 1x per month","2003","vocational + Abi","15","","",""
"Min 1x per month","2003","higher vocational","21","","",""
"Min 1x per month","2003","higher education","43","0.0117247941524243","0.00852740540716127","0.0149221828976872"
"Rarely","2003","in school","11","","",""
"Rarely","2003","inadequately","5","","",""
"Rarely","2003","general elemantary","28","","",""
"Rarely","2003","middle vocational","170","0.0144961851780581","0.0122767522611941","0.0167156180949221"
"Rarely","2003","vocational + Abi","28","","",""
"Rarely","2003","higher vocational","36","0.0232957427759519","0.0160977671575343","0.0304937183943694"
"Rarely","2003","higher education","113","0.02589003502366","0.0211729447170453","0.0306071253302748"
"Never","2003","in school","5","","",""
"Never","2003","inadequately","4","","",""
"Never","2003","general elemantary","42","0.0143544122505123","0.00991521892789005","0.0187936055731346"
"Never","2003","middle vocational","115","0.0132899634464332","0.0111635746763683","0.0154163522164981"
"Never","2003","vocational + Abi","11","","",""
"Never","2003","higher vocational","21","","",""
"Never","2003","higher education","66","0.0175623494121288","0.0136607050165782","0.0214639938076794"
"Daily","2004","in school","","","",""
"Daily","2004","inadequately","","","",""
"Daily","2004","general elemantary","","","",""
"Daily","2004","middle vocational","","","",""
"Daily","2004","vocational + Abi","","","",""
"Daily","2004","higher vocational","","","",""
"Daily","2004","higher education","","","",""
"Min 1x per week","2004","in school","","","",""
"Min 1x per week","2004","inadequately","","","",""
"Min 1x per week","2004","general elemantary","","","",""
"Min 1x per week","2004","middle vocational","","","",""
"Min 1x per week","2004","vocational + Abi","","","",""
"Min 1x per week","2004","higher vocational","","","",""
"Min 1x per week","2004","higher education","","","",""
"Min 1x per month","2004","in school","","","",""
"Min 1x per month","2004","inadequately","","","",""
"Min 1x per month","2004","general elemantary","","","",""
"Min 1x per month","2004","middle vocational","","","",""
"Min 1x per month","2004","vocational + Abi","","","",""
"Min 1x per month","2004","higher vocational","","","",""
"Min 1x per month","2004","higher education","","","",""
"Rarely","2004","in school","","","",""
"Rarely","2004","inadequately","","","",""
"Rarely","2004","general elemantary","","","",""
"Rarely","2004","middle vocational","","","",""
"Rarely","2004","vocational + Abi","","","",""
"Rarely","2004","higher vocational","","","",""
"Rarely","2004","higher education","","","",""
"Never","2004","in school","","","",""
"Never","2004","inadequately","","","",""
"Never","2004","general elemantary","","","",""
"Never","2004","middle vocational","","","",""
"Never","2004","vocational + Abi","","","",""
"Never","2004","higher vocational","","","",""
"Never","2004","higher education","","","",""
"Daily","2005","in school","","","",""
"Daily","2005","inadequately","","","",""
"Daily","2005","general elemantary","","","",""
"Daily","2005","middle vocational","","","",""
"Daily","2005","vocational + Abi","","","",""
"Daily","2005","higher vocational","","","",""
"Daily","2005","higher education","","","",""
"Min 1x per week","2005","in school","","","",""
"Min 1x per week","2005","inadequately","","","",""
"Min 1x per week","2005","general elemantary","","","",""
"Min 1x per week","2005","middle vocational","","","",""
"Min 1x per week","2005","vocational + Abi","","","",""
"Min 1x per week","2005","higher vocational","","","",""
"Min 1x per week","2005","higher education","","","",""
"Min 1x per month","2005","in school","","","",""
"Min 1x per month","2005","inadequately","","","",""
"Min 1x per month","2005","general elemantary","","","",""
"Min 1x per month","2005","middle vocational","","","",""
"Min 1x per month","2005","vocational + Abi","","","",""
"Min 1x per month","2005","higher vocational","","","",""
"Min 1x per month","2005","higher education","","","",""
"Rarely","2005","in school","","","",""
"Rarely","2005","inadequately","","","",""
"Rarely","2005","general elemantary","","","",""
"Rarely","2005","middle vocational","","","",""
"Rarely","2005","vocational + Abi","","","",""
"Rarely","2005","higher vocational","","","",""
"Rarely","2005","higher education","","","",""
"Never","2005","in school","","","",""
"Never","2005","inadequately","","","",""
"Never","2005","general elemantary","","","",""
"Never","2005","middle vocational","","","",""
"Never","2005","vocational + Abi","","","",""
"Never","2005","higher vocational","","","",""
"Never","2005","higher education","","","",""
"Daily","2006","in school","","","",""
"Daily","2006","inadequately","","","",""
"Daily","2006","general elemantary","","","",""
"Daily","2006","middle vocational","","","",""
"Daily","2006","vocational + Abi","","","",""
"Daily","2006","higher vocational","","","",""
"Daily","2006","higher education","","","",""
"Min 1x per week","2006","in school","","","",""
"Min 1x per week","2006","inadequately","","","",""
"Min 1x per week","2006","general elemantary","","","",""
"Min 1x per week","2006","middle vocational","","","",""
"Min 1x per week","2006","vocational + Abi","","","",""
"Min 1x per week","2006","higher vocational","","","",""
"Min 1x per week","2006","higher education","","","",""
"Min 1x per month","2006","in school","","","",""
"Min 1x per month","2006","inadequately","","","",""
"Min 1x per month","2006","general elemantary","","","",""
"Min 1x per month","2006","middle vocational","","","",""
"Min 1x per month","2006","vocational + Abi","","","",""
"Min 1x per month","2006","higher vocational","","","",""
"Min 1x per month","2006","higher education","","","",""
"Rarely","2006","in school","","","",""
"Rarely","2006","inadequately","","","",""
"Rarely","2006","general elemantary","","","",""
"Rarely","2006","middle vocational","","","",""
"Rarely","2006","vocational + Abi","","","",""
"Rarely","2006","higher vocational","","","",""
"Rarely","2006","higher education","","","",""
"Never","2006","in school","","","",""
"Never","2006","inadequately","","","",""
"Never","2006","general elemantary","","","",""
"Never","2006","middle vocational","","","",""
"Never","2006","vocational + Abi","","","",""
"Never","2006","higher vocational","","","",""
"Never","2006","higher education","","","",""
"Daily","2007","in school","","","",""
"Daily","2007","inadequately","","","",""
"Daily","2007","general elemantary","","","",""
"Daily","2007","middle vocational","","","",""
