"pli0083","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1992","no migration background","Rural Area","","","",""
"Daily","1992","direct migration background","Urban Area","","","",""
"Daily","1992","direct migration background","Rural Area","","","",""
"Daily","1992","indirect migration background","Urban Area","","","",""
"Daily","1992","indirect migration background","Rural Area","","","",""
"Min 1x per week","1992","no migration background","Urban Area","","","",""
"Min 1x per week","1992","no migration background","Rural Area","","","",""
"Min 1x per week","1992","direct migration background","Urban Area","","","",""
"Min 1x per week","1992","direct migration background","Rural Area","","","",""
"Min 1x per week","1992","indirect migration background","Urban Area","","","",""
"Min 1x per week","1992","indirect migration background","Rural Area","","","",""
"Min 1x per month","1992","no migration background","Urban Area","","","",""
"Min 1x per month","1992","no migration background","Rural Area","","","",""
"Min 1x per month","1992","direct migration background","Urban Area","","","",""
"Min 1x per month","1992","direct migration background","Rural Area","","","",""
"Min 1x per month","1992","indirect migration background","Urban Area","","","",""
"Min 1x per month","1992","indirect migration background","Rural Area","","","",""
"Rarely","1992","no migration background","Urban Area","","","",""
"Rarely","1992","no migration background","Rural Area","","","",""
"Rarely","1992","direct migration background","Urban Area","","","",""
"Rarely","1992","direct migration background","Rural Area","","","",""
"Rarely","1992","indirect migration background","Urban Area","","","",""
"Rarely","1992","indirect migration background","Rural Area","","","",""
"Never","1992","no migration background","Urban Area","","","",""
"Never","1992","no migration background","Rural Area","","","",""
"Never","1992","direct migration background","Urban Area","","","",""
"Never","1992","direct migration background","Rural Area","","","",""
"Never","1992","indirect migration background","Urban Area","","","",""
"Never","1992","indirect migration background","Rural Area","","","",""
"Daily","1993","no migration background","Urban Area","","","",""
"Daily","1993","no migration background","Rural Area","","","",""
"Daily","1993","direct migration background","Urban Area","","","",""
"Daily","1993","direct migration background","Rural Area","","","",""
"Daily","1993","indirect migration background","Urban Area","","","",""
"Daily","1993","indirect migration background","Rural Area","","","",""
"Min 1x per week","1993","no migration background","Urban Area","","","",""
"Min 1x per week","1993","no migration background","Rural Area","","","",""
"Min 1x per week","1993","direct migration background","Urban Area","","","",""
"Min 1x per week","1993","direct migration background","Rural Area","","","",""
"Min 1x per week","1993","indirect migration background","Urban Area","","","",""
"Min 1x per week","1993","indirect migration background","Rural Area","","","",""
"Min 1x per month","1993","no migration background","Urban Area","","","",""
"Min 1x per month","1993","no migration background","Rural Area","","","",""
"Min 1x per month","1993","direct migration background","Urban Area","","","",""
"Min 1x per month","1993","direct migration background","Rural Area","","","",""
"Min 1x per month","1993","indirect migration background","Urban Area","","","",""
"Min 1x per month","1993","indirect migration background","Rural Area","","","",""
"Rarely","1993","no migration background","Urban Area","","","",""
"Rarely","1993","no migration background","Rural Area","","","",""
"Rarely","1993","direct migration background","Urban Area","","","",""
"Rarely","1993","direct migration background","Rural Area","","","",""
"Rarely","1993","indirect migration background","Urban Area","","","",""
"Rarely","1993","indirect migration background","Rural Area","","","",""
"Never","1993","no migration background","Urban Area","","","",""
"Never","1993","no migration background","Rural Area","","","",""
"Never","1993","direct migration background","Urban Area","","","",""
"Never","1993","direct migration background","Rural Area","","","",""
"Never","1993","indirect migration background","Urban Area","","","",""
"Never","1993","indirect migration background","Rural Area","","","",""
"Daily","1994","no migration background","Urban Area","","","",""
"Daily","1994","no migration background","Rural Area","","","",""
"Daily","1994","direct migration background","Urban Area","","","",""
"Daily","1994","direct migration background","Rural Area","","","",""
"Daily","1994","indirect migration background","Urban Area","","","",""
"Daily","1994","indirect migration background","Rural Area","","","",""
"Min 1x per week","1994","no migration background","Urban Area","","","",""
"Min 1x per week","1994","no migration background","Rural Area","","","",""
"Min 1x per week","1994","direct migration background","Urban Area","","","",""
"Min 1x per week","1994","direct migration background","Rural Area","","","",""
"Min 1x per week","1994","indirect migration background","Urban Area","","","",""
"Min 1x per week","1994","indirect migration background","Rural Area","","","",""
"Min 1x per month","1994","no migration background","Urban Area","","","",""
"Min 1x per month","1994","no migration background","Rural Area","","","",""
"Min 1x per month","1994","direct migration background","Urban Area","","","",""
"Min 1x per month","1994","direct migration background","Rural Area","","","",""
"Min 1x per month","1994","indirect migration background","Urban Area","","","",""
"Min 1x per month","1994","indirect migration background","Rural Area","","","",""
"Rarely","1994","no migration background","Urban Area","","","",""
"Rarely","1994","no migration background","Rural Area","","","",""
"Rarely","1994","direct migration background","Urban Area","","","",""
"Rarely","1994","direct migration background","Rural Area","","","",""
"Rarely","1994","indirect migration background","Urban Area","","","",""
"Rarely","1994","indirect migration background","Rural Area","","","",""
"Never","1994","no migration background","Urban Area","","","",""
"Never","1994","no migration background","Rural Area","","","",""
"Never","1994","direct migration background","Urban Area","","","",""
"Never","1994","direct migration background","Rural Area","","","",""
"Never","1994","indirect migration background","Urban Area","","","",""
"Never","1994","indirect migration background","Rural Area","","","",""
"Daily","1995","no migration background","Urban Area","5043","0.832733532703021","0.823350889272759","0.842116176133283"
"Daily","1995","no migration background","Rural Area","3333","0.839397643225447","0.827905275874504","0.85089001057639"
"Daily","1995","direct migration background","Urban Area","2033","0.856766456616809","0.842530166450983","0.871002746782635"
"Daily","1995","direct migration background","Rural Area","396","0.839307136518886","0.805746674733558","0.872867598304214"
"Daily","1995","indirect migration background","Urban Area","356","0.799391076434225","0.761758995481372","0.837023157387078"
"Daily","1995","indirect migration background","Rural Area","59","0.854053191686619","0.773613204614709","0.93449317875853"
"Min 1x per week","1995","no migration background","Urban Area","748","0.11650974002499","0.108443897425354","0.124575582624626"
"Min 1x per week","1995","no migration background","Rural Area","404","0.107512545016905","0.0978168197451199","0.11720827028869"
"Min 1x per week","1995","direct migration background","Urban Area","198","0.0972551311700955","0.0852135917406643","0.109296670599527"
"Min 1x per week","1995","direct migration background","Rural Area","51","0.103832911387222","0.0759568645091896","0.131708958265254"
"Min 1x per week","1995","indirect migration background","Urban Area","59","0.142243045809694","0.109418319928393","0.175067771690995"
"Min 1x per week","1995","indirect migration background","Rural Area","14","","",""
"Min 1x per month","1995","no migration background","Urban Area","82","0.0138094624026639","0.0108756215968387","0.0167433032084892"
"Min 1x per month","1995","no migration background","Rural Area","36","0.0113293608191762","0.00801669068251723","0.0146420309558352"
"Min 1x per month","1995","direct migration background","Urban Area","21","","",""
"Min 1x per month","1995","direct migration background","Rural Area","5","","",""
"Min 1x per month","1995","indirect migration background","Urban Area","4","","",""
"Min 1x per month","1995","indirect migration background","Rural Area","1","","",""
"Rarely","1995","no migration background","Urban Area","149","0.025816285173285","0.0218293878546683","0.0298031824919018"
"Rarely","1995","no migration background","Rural Area","122","0.0319524595489866","0.0264475503526825","0.0374573687452906"
"Rarely","1995","direct migration background","Urban Area","42","0.0190257259197483","0.0134738127791384","0.0245776390603582"
"Rarely","1995","direct migration background","Rural Area","6","","",""
"Rarely","1995","indirect migration background","Urban Area","11","","",""
"Rarely","1995","indirect migration background","Rural Area","","","",""
"Never","1995","no migration background","Urban Area","56","0.0111309796960398","0.0084934107306195","0.0137685486614601"
"Never","1995","no migration background","Rural Area","26","","",""
"Never","1995","direct migration background","Urban Area","32","0.0155646135370082","0.010534173055468","0.0205950540185485"
"Never","1995","direct migration background","Rural Area","2","","",""
"Never","1995","indirect migration background","Urban Area","5","","",""
"Never","1995","indirect migration background","Rural Area","","","",""
"Daily","1996","no migration background","Urban Area","","","",""
"Daily","1996","no migration background","Rural Area","","","",""
"Daily","1996","direct migration background","Urban Area","","","",""
"Daily","1996","direct migration background","Rural Area","","","",""
"Daily","1996","indirect migration background","Urban Area","","","",""
"Daily","1996","indirect migration background","Rural Area","","","",""
"Min 1x per week","1996","no migration background","Urban Area","","","",""
"Min 1x per week","1996","no migration background","Rural Area","","","",""
"Min 1x per week","1996","direct migration background","Urban Area","","","",""
"Min 1x per week","1996","direct migration background","Rural Area","","","",""
"Min 1x per week","1996","indirect migration background","Urban Area","","","",""
"Min 1x per week","1996","indirect migration background","Rural Area","","","",""
"Min 1x per month","1996","no migration background","Urban Area","","","",""
"Min 1x per month","1996","no migration background","Rural Area","","","",""
"Min 1x per month","1996","direct migration background","Urban Area","","","",""
"Min 1x per month","1996","direct migration background","Rural Area","","","",""
"Min 1x per month","1996","indirect migration background","Urban Area","","","",""
"Min 1x per month","1996","indirect migration background","Rural Area","","","",""
"Rarely","1996","no migration background","Urban Area","","","",""
"Rarely","1996","no migration background","Rural Area","","","",""
"Rarely","1996","direct migration background","Urban Area","","","",""
"Rarely","1996","direct migration background","Rural Area","","","",""
"Rarely","1996","indirect migration background","Urban Area","","","",""
"Rarely","1996","indirect migration background","Rural Area","","","",""
"Never","1996","no migration background","Urban Area","","","",""
"Never","1996","no migration background","Rural Area","","","",""
"Never","1996","direct migration background","Urban Area","","","",""
"Never","1996","direct migration background","Rural Area","","","",""
"Never","1996","indirect migration background","Urban Area","","","",""
"Never","1996","indirect migration background","Rural Area","","","",""
"Daily","1997","no migration background","Urban Area","","","",""
"Daily","1997","no migration background","Rural Area","","","",""
"Daily","1997","direct migration background","Urban Area","","","",""
"Daily","1997","direct migration background","Rural Area","","","",""
"Daily","1997","indirect migration background","Urban Area","","","",""
"Daily","1997","indirect migration background","Rural Area","","","",""
"Min 1x per week","1997","no migration background","Urban Area","","","",""
"Min 1x per week","1997","no migration background","Rural Area","","","",""
"Min 1x per week","1997","direct migration background","Urban Area","","","",""
"Min 1x per week","1997","direct migration background","Rural Area","","","",""
"Min 1x per week","1997","indirect migration background","Urban Area","","","",""
"Min 1x per week","1997","indirect migration background","Rural Area","","","",""
"Min 1x per month","1997","no migration background","Urban Area","","","",""
"Min 1x per month","1997","no migration background","Rural Area","","","",""
"Min 1x per month","1997","direct migration background","Urban Area","","","",""
"Min 1x per month","1997","direct migration background","Rural Area","","","",""
"Min 1x per month","1997","indirect migration background","Urban Area","","","",""
"Min 1x per month","1997","indirect migration background","Rural Area","","","",""
"Rarely","1997","no migration background","Urban Area","","","",""
"Rarely","1997","no migration background","Rural Area","","","",""
"Rarely","1997","direct migration background","Urban Area","","","",""
"Rarely","1997","direct migration background","Rural Area","","","",""
"Rarely","1997","indirect migration background","Urban Area","","","",""
"Rarely","1997","indirect migration background","Rural Area","","","",""
"Never","1997","no migration background","Urban Area","","","",""
"Never","1997","no migration background","Rural Area","","","",""
"Never","1997","direct migration background","Urban Area","","","",""
"Never","1997","direct migration background","Rural Area","","","",""
"Never","1997","indirect migration background","Urban Area","","","",""
"Never","1997","indirect migration background","Rural Area","","","",""
"Daily","1998","no migration background","Urban Area","5768","0.835082198404227","0.826307413122445","0.84385698368601"
"Daily","1998","no migration background","Rural Area","3776","0.859131354895065","0.848814585345676","0.869448124444454"
"Daily","1998","direct migration background","Urban Area","1759","0.863130802635416","0.848063591918252","0.878198013352579"
"Daily","1998","direct migration background","Rural Area","365","0.888754751661003","0.85813143098318","0.919378072338827"
"Daily","1998","indirect migration background","Urban Area","421","0.816007145944267","0.782476890076491","0.849537401812044"
"Daily","1998","indirect migration background","Rural Area","81","0.874241191044723","0.804963788634711","0.943518593454736"
"Min 1x per week","1998","no migration background","Urban Area","821","0.119972905600272","0.112289960550472","0.127655850650073"
"Min 1x per week","1998","no migration background","Rural Area","396","0.0871673705363822","0.0788021127915373","0.0955326282812271"
"Min 1x per week","1998","direct migration background","Urban Area","144","0.0881533454561704","0.0757247515570403","0.100581939355301"
"Min 1x per week","1998","direct migration background","Rural Area","26","","",""
"Min 1x per week","1998","indirect migration background","Urban Area","65","0.130299346595988","0.101169015182621","0.159429678009355"
"Min 1x per week","1998","indirect migration background","Rural Area","6","","",""
"Min 1x per month","1998","no migration background","Urban Area","57","0.00908036937338839","0.00683747361100485","0.0113232651357719"
"Min 1x per month","1998","no migration background","Rural Area","46","0.014490204524684","0.0109463612545681","0.0180340477947999"
"Min 1x per month","1998","direct migration background","Urban Area","20","","",""
"Min 1x per month","1998","direct migration background","Rural Area","6","","",""
"Min 1x per month","1998","indirect migration background","Urban Area","9","","",""
"Min 1x per month","1998","indirect migration background","Rural Area","","","",""
"Rarely","1998","no migration background","Urban Area","151","0.0241478202062858","0.0205181338259677","0.027777506586604"
"Rarely","1998","no migration background","Rural Area","120","0.0283230174698433","0.02340333023365","0.0332427047060367"
"Rarely","1998","direct migration background","Urban Area","51","0.0294678420524613","0.0220543841515068","0.0368812999534158"
"Rarely","1998","direct migration background","Rural Area","6","","",""
"Rarely","1998","indirect migration background","Urban Area","14","","",""
"Rarely","1998","indirect migration background","Rural Area","1","","",""
"Never","1998","no migration background","Urban Area","74","0.011716706415826","0.00917232849837382","0.0142610843332782"
"Never","1998","no migration background","Rural Area","30","0.0108880525740256","0.00781050620833894","0.0139655989397122"
"Never","1998","direct migration background","Urban Area","25","","",""
"Never","1998","direct migration background","Rural Area","2","","",""
"Never","1998","indirect migration background","Urban Area","4","","",""
"Never","1998","indirect migration background","Rural Area","","","",""
"Daily","1999","no migration background","Urban Area","","","",""
"Daily","1999","no migration background","Rural Area","","","",""
"Daily","1999","direct migration background","Urban Area","","","",""
"Daily","1999","direct migration background","Rural Area","","","",""
"Daily","1999","indirect migration background","Urban Area","","","",""
"Daily","1999","indirect migration background","Rural Area","","","",""
"Min 1x per week","1999","no migration background","Urban Area","","","",""
"Min 1x per week","1999","no migration background","Rural Area","","","",""
"Min 1x per week","1999","direct migration background","Urban Area","","","",""
"Min 1x per week","1999","direct migration background","Rural Area","","","",""
"Min 1x per week","1999","indirect migration background","Urban Area","","","",""
"Min 1x per week","1999","indirect migration background","Rural Area","","","",""
"Min 1x per month","1999","no migration background","Urban Area","","","",""
"Min 1x per month","1999","no migration background","Rural Area","","","",""
"Min 1x per month","1999","direct migration background","Urban Area","","","",""
"Min 1x per month","1999","direct migration background","Rural Area","","","",""
"Min 1x per month","1999","indirect migration background","Urban Area","","","",""
"Min 1x per month","1999","indirect migration background","Rural Area","","","",""
"Rarely","1999","no migration background","Urban Area","","","",""
"Rarely","1999","no migration background","Rural Area","","","",""
"Rarely","1999","direct migration background","Urban Area","","","",""
"Rarely","1999","direct migration background","Rural Area","","","",""
"Rarely","1999","indirect migration background","Urban Area","","","",""
"Rarely","1999","indirect migration background","Rural Area","","","",""
"Never","1999","no migration background","Urban Area","","","",""
"Never","1999","no migration background","Rural Area","","","",""
"Never","1999","direct migration background","Urban Area","","","",""
"Never","1999","direct migration background","Rural Area","","","",""
"Never","1999","indirect migration background","Urban Area","","","",""
"Never","1999","indirect migration background","Rural Area","","","",""
"Daily","2000","no migration background","Urban Area","","","",""
"Daily","2000","no migration background","Rural Area","","","",""
"Daily","2000","direct migration background","Urban Area","","","",""
"Daily","2000","direct migration background","Rural Area","","","",""
"Daily","2000","indirect migration background","Urban Area","","","",""
"Daily","2000","indirect migration background","Rural Area","","","",""
"Min 1x per week","2000","no migration background","Urban Area","","","",""
"Min 1x per week","2000","no migration background","Rural Area","","","",""
"Min 1x per week","2000","direct migration background","Urban Area","","","",""
"Min 1x per week","2000","direct migration background","Rural Area","","","",""
"Min 1x per week","2000","indirect migration background","Urban Area","","","",""
"Min 1x per week","2000","indirect migration background","Rural Area","","","",""
"Min 1x per month","2000","no migration background","Urban Area","","","",""
"Min 1x per month","2000","no migration background","Rural Area","","","",""
"Min 1x per month","2000","direct migration background","Urban Area","","","",""
"Min 1x per month","2000","direct migration background","Rural Area","","","",""
"Min 1x per month","2000","indirect migration background","Urban Area","","","",""
"Min 1x per month","2000","indirect migration background","Rural Area","","","",""
"Rarely","2000","no migration background","Urban Area","","","",""
"Rarely","2000","no migration background","Rural Area","","","",""
"Rarely","2000","direct migration background","Urban Area","","","",""
"Rarely","2000","direct migration background","Rural Area","","","",""
"Rarely","2000","indirect migration background","Urban Area","","","",""
"Rarely","2000","indirect migration background","Rural Area","","","",""
"Never","2000","no migration background","Urban Area","","","",""
"Never","2000","no migration background","Rural Area","","","",""
"Never","2000","direct migration background","Urban Area","","","",""
"Never","2000","direct migration background","Rural Area","","","",""
"Never","2000","indirect migration background","Urban Area","","","",""
"Never","2000","indirect migration background","Rural Area","","","",""
"Daily","2001","no migration background","Urban Area","","","",""
"Daily","2001","no migration background","Rural Area","","","",""
"Daily","2001","direct migration background","Urban Area","","","",""
"Daily","2001","direct migration background","Rural Area","","","",""
"Daily","2001","indirect migration background","Urban Area","","","",""
"Daily","2001","indirect migration background","Rural Area","","","",""
"Min 1x per week","2001","no migration background","Urban Area","","","",""
"Min 1x per week","2001","no migration background","Rural Area","","","",""
"Min 1x per week","2001","direct migration background","Urban Area","","","",""
"Min 1x per week","2001","direct migration background","Rural Area","","","",""
"Min 1x per week","2001","indirect migration background","Urban Area","","","",""
"Min 1x per week","2001","indirect migration background","Rural Area","","","",""
"Min 1x per month","2001","no migration background","Urban Area","","","",""
"Min 1x per month","2001","no migration background","Rural Area","","","",""
"Min 1x per month","2001","direct migration background","Urban Area","","","",""
"Min 1x per month","2001","direct migration background","Rural Area","","","",""
"Min 1x per month","2001","indirect migration background","Urban Area","","","",""
"Min 1x per month","2001","indirect migration background","Rural Area","","","",""
"Rarely","2001","no migration background","Urban Area","","","",""
"Rarely","2001","no migration background","Rural Area","","","",""
"Rarely","2001","direct migration background","Urban Area","","","",""
"Rarely","2001","direct migration background","Rural Area","","","",""
"Rarely","2001","indirect migration background","Urban Area","","","",""
"Rarely","2001","indirect migration background","Rural Area","","","",""
"Never","2001","no migration background","Urban Area","","","",""
"Never","2001","no migration background","Rural Area","","","",""
"Never","2001","direct migration background","Urban Area","","","",""
"Never","2001","direct migration background","Rural Area","","","",""
"Never","2001","indirect migration background","Urban Area","","","",""
"Never","2001","indirect migration background","Rural Area","","","",""
"Daily","2002","no migration background","Urban Area","","","",""
"Daily","2002","no migration background","Rural Area","","","",""
"Daily","2002","direct migration background","Urban Area","","","",""
"Daily","2002","direct migration background","Rural Area","","","",""
"Daily","2002","indirect migration background","Urban Area","","","",""
"Daily","2002","indirect migration background","Rural Area","","","",""
"Min 1x per week","2002","no migration background","Urban Area","","","",""
"Min 1x per week","2002","no migration background","Rural Area","","","",""
"Min 1x per week","2002","direct migration background","Urban Area","","","",""
"Min 1x per week","2002","direct migration background","Rural Area","","","",""
"Min 1x per week","2002","indirect migration background","Urban Area","","","",""
"Min 1x per week","2002","indirect migration background","Rural Area","","","",""
"Min 1x per month","2002","no migration background","Urban Area","","","",""
"Min 1x per month","2002","no migration background","Rural Area","","","",""
"Min 1x per month","2002","direct migration background","Urban Area","","","",""
"Min 1x per month","2002","direct migration background","Rural Area","","","",""
"Min 1x per month","2002","indirect migration background","Urban Area","","","",""
"Min 1x per month","2002","indirect migration background","Rural Area","","","",""
"Rarely","2002","no migration background","Urban Area","","","",""
"Rarely","2002","no migration background","Rural Area","","","",""
"Rarely","2002","direct migration background","Urban Area","","","",""
"Rarely","2002","direct migration background","Rural Area","","","",""
"Rarely","2002","indirect migration background","Urban Area","","","",""
"Rarely","2002","indirect migration background","Rural Area","","","",""
"Never","2002","no migration background","Urban Area","","","",""
"Never","2002","no migration background","Rural Area","","","",""
"Never","2002","direct migration background","Urban Area","","","",""
"Never","2002","direct migration background","Rural Area","","","",""
"Never","2002","indirect migration background","Urban Area","","","",""
"Never","2002","indirect migration background","Rural Area","","","",""
"Daily","2003","no migration background","Urban Area","10297","0.862168261123487","0.856009978815359","0.868326543431615"
"Daily","2003","no migration background","Rural Area","5906","0.878504812412119","0.870719683632492","0.886289941191747"
"Daily","2003","direct migration background","Urban Area","1919","0.874219338785562","0.860270587818515","0.88816808975261"
"Daily","2003","direct migration background","Rural Area","394","0.84017474015273","0.806651246833757","0.873698233471703"
"Daily","2003","indirect migration background","Urban Area","565","0.82212778117677","0.793511726530377","0.850743835823163"
"Daily","2003","indirect migration background","Rural Area","75","0.785335959018886","0.704456565554889","0.866215352482883"
"Min 1x per week","2003","no migration background","Urban Area","1283","0.0975281175756498","0.0922281804001122","0.102828054751187"
"Min 1x per week","2003","no migration background","Rural Area","594","0.0817700338580169","0.0752404273512653","0.0882996403647685"
"Min 1x per week","2003","direct migration background","Urban Area","168","0.0769114835377581","0.065703294487389","0.0881196725881271"
"Min 1x per week","2003","direct migration background","Rural Area","37","0.0817879940558754","0.0567177818445478","0.106858206267203"
"Min 1x per week","2003","indirect migration background","Urban Area","90","0.131529969725508","0.106238398452915","0.1568215409981"
"Min 1x per week","2003","indirect migration background","Rural Area","17","","",""
"Min 1x per month","2003","no migration background","Urban Area","108","0.0102914620553244","0.00848852253834267","0.0120944015723062"
"Min 1x per month","2003","no migration background","Rural Area","68","0.0112073203153212","0.00869879952853321","0.0137158411021092"
"Min 1x per month","2003","direct migration background","Urban Area","20","","",""
"Min 1x per month","2003","direct migration background","Rural Area","3","","",""
"Min 1x per month","2003","indirect migration background","Urban Area","9","","",""
"Min 1x per month","2003","indirect migration background","Rural Area","1","","",""
"Rarely","2003","no migration background","Urban Area","209","0.0166237606304265","0.0143396693577943","0.0189078519030588"
"Rarely","2003","no migration background","Rural Area","128","0.0166133594053446","0.013567533523054","0.0196591852876352"
"Rarely","2003","direct migration background","Urban Area","29","","",""
"Rarely","2003","direct migration background","Rural Area","11","","",""
"Rarely","2003","indirect migration background","Urban Area","16","","",""
"Rarely","2003","indirect migration background","Rural Area","1","","",""
"Never","2003","no migration background","Urban Area","140","0.0133883986151119","0.0113352216328526","0.0154415755973711"
"Never","2003","no migration background","Rural Area","69","0.0119044740091981","0.00932002027174281","0.0144889277466534"
"Never","2003","direct migration background","Urban Area","35","0.020449656589041","0.0144961262715641","0.0264031869065179"
"Never","2003","direct migration background","Rural Area","14","","",""
"Never","2003","indirect migration background","Urban Area","6","","",""
"Never","2003","indirect migration background","Rural Area","5","","",""
"Daily","2004","no migration background","Urban Area","","","",""
"Daily","2004","no migration background","Rural Area","","","",""
"Daily","2004","direct migration background","Urban Area","","","",""
"Daily","2004","direct migration background","Rural Area","","","",""
"Daily","2004","indirect migration background","Urban Area","","","",""
"Daily","2004","indirect migration background","Rural Area","","","",""
"Min 1x per week","2004","no migration background","Urban Area","","","",""
"Min 1x per week","2004","no migration background","Rural Area","","","",""
"Min 1x per week","2004","direct migration background","Urban Area","","","",""
"Min 1x per week","2004","direct migration background","Rural Area","","","",""
"Min 1x per week","2004","indirect migration background","Urban Area","","","",""
"Min 1x per week","2004","indirect migration background","Rural Area","","","",""
"Min 1x per month","2004","no migration background","Urban Area","","","",""
"Min 1x per month","2004","no migration background","Rural Area","","","",""
"Min 1x per month","2004","direct migration background","Urban Area","","","",""
"Min 1x per month","2004","direct migration background","Rural Area","","","",""
"Min 1x per month","2004","indirect migration background","Urban Area","","","",""
"Min 1x per month","2004","indirect migration background","Rural Area","","","",""
"Rarely","2004","no migration background","Urban Area","","","",""
"Rarely","2004","no migration background","Rural Area","","","",""
"Rarely","2004","direct migration background","Urban Area","","","",""
"Rarely","2004","direct migration background","Rural Area","","","",""
"Rarely","2004","indirect migration background","Urban Area","","","",""
"Rarely","2004","indirect migration background","Rural Area","","","",""
"Never","2004","no migration background","Urban Area","","","",""
"Never","2004","no migration background","Rural Area","","","",""
"Never","2004","direct migration background","Urban Area","","","",""
"Never","2004","direct migration background","Rural Area","","","",""
"Never","2004","indirect migration background","Urban Area","","","",""
"Never","2004","indirect migration background","Rural Area","","","",""
"Daily","2005","no migration background","Urban Area","","","",""
"Daily","2005","no migration background","Rural Area","","","",""
"Daily","2005","direct migration background","Urban Area","","","",""
"Daily","2005","direct migration background","Rural Area","","","",""
"Daily","2005","indirect migration background","Urban Area","","","",""
"Daily","2005","indirect migration background","Rural Area","","","",""
"Min 1x per week","2005","no migration background","Urban Area","","","",""
"Min 1x per week","2005","no migration background","Rural Area","","","",""
"Min 1x per week","2005","direct migration background","Urban Area","","","",""
"Min 1x per week","2005","direct migration background","Rural Area","","","",""
