"plh0178","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","Saxony","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","Saxony-Anhalt","Urban Area","","","","","0"
"0 Completely dissatisfied","1985","Saxony-Anhalt","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","Thuringia","Urban Area","","","","","0"
"0 Completely dissatisfied","1985","Thuringia","Rural Area","","","","","0"
"1 on Scale 1 to 10","1985","Brandenburg","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"1 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","North Rhine-Westphalia","Urban Area","19","","","","1"
"1 on Scale 1 to 10","1985","North Rhine-Westphalia","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Brandenburg","Urban Area","","","","","1"
"1 on Scale 1 to 10","1985","Bremen","Urban Area","3","","","","1"
"1 on Scale 1 to 10","1985","Bremen","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Saxony","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Saxony-Anhalt","Urban Area","","","","","1"
"1 on Scale 1 to 10","1985","Saxony-Anhalt","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Thuringia","Urban Area","","","","","1"
"1 on Scale 1 to 10","1985","Thuringia","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Saxony","Urban Area","","","","","1"
"1 on Scale 1 to 10","1985","Schleswig-Holstein","Urban Area","3","","","","1"
"1 on Scale 1 to 10","1985","Schleswig-Holstein","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1985","Hamburg","Urban Area","3","","","","1"
"1 on Scale 1 to 10","1985","Hamburg","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Lower Saxony","Urban Area","4","","","","1"
"1 on Scale 1 to 10","1985","Lower Saxony","Rural Area","6","","","","1"
"1 on Scale 1 to 10","1985","Berlin","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1985","Berlin","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Hesse","Urban Area","14","","","","1"
"1 on Scale 1 to 10","1985","Hesse","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Urban Area","4","","","","1"
"1 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Baden-Württemberg","Urban Area","25","","","","1"
"1 on Scale 1 to 10","1985","Baden-Württemberg","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1985","Bavaria","Urban Area","12","","","","1"
"1 on Scale 1 to 10","1985","Bavaria","Rural Area","15","","","","1"
"10 Completely satisfied","1985","Saxony","Rural Area","","","","","10"
"10 Completely satisfied","1985","Saxony-Anhalt","Urban Area","","","","","10"
"10 Completely satisfied","1985","Saxony-Anhalt","Rural Area","","","","","10"
"10 Completely satisfied","1985","Thuringia","Urban Area","","","","","10"
"10 Completely satisfied","1985","Thuringia","Rural Area","","","","","10"
"10 Completely satisfied","1985","Brandenburg","Urban Area","","","","","10"
"10 Completely satisfied","1985","Brandenburg","Rural Area","","","","","10"
"10 Completely satisfied","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","10"
"10 Completely satisfied","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","10"
"10 Completely satisfied","1985","Saxony","Urban Area","","","","","10"
"10 Completely satisfied","1985","Schleswig-Holstein","Urban Area","51","0.341114926884239","0.26921225119423","0.413017602574247","10"
"10 Completely satisfied","1985","Schleswig-Holstein","Rural Area","55","0.324553827840063","0.257085341467521","0.392022314212605","10"
"10 Completely satisfied","1985","Hamburg","Urban Area","57","0.260669589518328","0.208689469404453","0.312649709632204","10"
"10 Completely satisfied","1985","Hamburg","Rural Area","1","","","","10"
"10 Completely satisfied","1985","Lower Saxony","Urban Area","133","0.252844876409791","0.2173497017449","0.288340051074681","10"
"10 Completely satisfied","1985","Lower Saxony","Rural Area","136","0.274652236022011","0.236472480146109","0.312831991897914","10"
"10 Completely satisfied","1985","Bremen","Urban Area","42","0.476771084474772","0.385880285978193","0.567661882971352","10"
"10 Completely satisfied","1985","Bremen","Rural Area","","","","","10"
"10 Completely satisfied","1985","North Rhine-Westphalia","Urban Area","628","0.228172821979574","0.212848952216354","0.243496691742794","10"
"10 Completely satisfied","1985","North Rhine-Westphalia","Rural Area","11","","","","10"
"10 Completely satisfied","1985","Hesse","Urban Area","191","0.253081385883888","0.225649783463463","0.280512988304313","10"
"10 Completely satisfied","1985","Hesse","Rural Area","41","0.299016360947918","0.226233736141994","0.371798985753843","10"
"10 Completely satisfied","1985","Rhineland-Palatinate,Saarland","Urban Area","128","0.217445704525696","0.185259774135263","0.249631634916128","10"
"10 Completely satisfied","1985","Rhineland-Palatinate,Saarland","Rural Area","20","","","","10"
"10 Completely satisfied","1985","Baden-Württemberg","Urban Area","326","0.209719408479341","0.190656418908396","0.228782398050286","10"
"10 Completely satisfied","1985","Baden-Württemberg","Rural Area","62","0.233948035495589","0.185720946098509","0.282175124892669","10"
"10 Completely satisfied","1985","Bavaria","Urban Area","190","0.197538683945904","0.172984498303265","0.222092869588543","10"
"10 Completely satisfied","1985","Bavaria","Rural Area","198","0.229743875852785","0.202075659699971","0.257412092005599","10"
"10 Completely satisfied","1985","Berlin","Urban Area","68","0.234951363928869","0.191575457161151","0.278327270696586","10"
"10 Completely satisfied","1985","Berlin","Rural Area","","","","","10"
"2 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","Saxony","Urban Area","","","","","2"
"2 on Scale 1 to 10","1985","Brandenburg","Urban Area","","","","","2"
"2 on Scale 1 to 10","1985","Brandenburg","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"2 on Scale 1 to 10","1985","Saxony","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","Saxony-Anhalt","Urban Area","","","","","2"
"2 on Scale 1 to 10","1985","Saxony-Anhalt","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","Thuringia","Urban Area","","","","","2"
"2 on Scale 1 to 10","1985","Thuringia","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","Berlin","Urban Area","9","","","","2"
"2 on Scale 1 to 10","1985","Berlin","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","Schleswig-Holstein","Urban Area","9","","","","2"
"2 on Scale 1 to 10","1985","Schleswig-Holstein","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1985","Hamburg","Urban Area","11","","","","2"
"2 on Scale 1 to 10","1985","Hamburg","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","Lower Saxony","Urban Area","14","","","","2"
"2 on Scale 1 to 10","1985","Lower Saxony","Rural Area","11","","","","2"
"2 on Scale 1 to 10","1985","Bremen","Urban Area","3","","","","2"
"2 on Scale 1 to 10","1985","Bremen","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","North Rhine-Westphalia","Urban Area","93","0.0286104426423365","0.0225229918228306","0.0346978934618423","2"
"2 on Scale 1 to 10","1985","North Rhine-Westphalia","Rural Area","1","","","","2"
"2 on Scale 1 to 10","1985","Hesse","Urban Area","31","0.0211285426558872","0.0120548923398738","0.0302021929719007","2"
"2 on Scale 1 to 10","1985","Hesse","Rural Area","4","","","","2"
"2 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Urban Area","13","","","","2"
"2 on Scale 1 to 10","1985","Baden-Württemberg","Urban Area","70","0.0378947544314788","0.0289538412068501","0.0468356676561074","2"
"2 on Scale 1 to 10","1985","Baden-Württemberg","Rural Area","12","","","","2"
"2 on Scale 1 to 10","1985","Bavaria","Urban Area","37","0.0315523401886233","0.0207717814793999","0.0423328988978467","2"
"2 on Scale 1 to 10","1985","Bavaria","Rural Area","28","","","","2"
"2 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Rural Area","1","","","","2"
"3 on Scale 1 to 10","1985","Saxony","Rural Area","","","","","3"
"3 on Scale 1 to 10","1985","Saxony-Anhalt","Rural Area","","","","","3"
"3 on Scale 1 to 10","1985","Saxony-Anhalt","Urban Area","","","","","3"
"3 on Scale 1 to 10","1985","Thuringia","Urban Area","","","","","3"
"3 on Scale 1 to 10","1985","Thuringia","Rural Area","","","","","3"
"3 on Scale 1 to 10","1985","Saxony","Urban Area","","","","","3"
"3 on Scale 1 to 10","1985","Brandenburg","Urban Area","","","","","3"
"3 on Scale 1 to 10","1985","Brandenburg","Rural Area","","","","","3"
"3 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"3 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"3 on Scale 1 to 10","1985","Schleswig-Holstein","Urban Area","9","","","","3"
"3 on Scale 1 to 10","1985","Schleswig-Holstein","Rural Area","3","","","","3"
"3 on Scale 1 to 10","1985","Hamburg","Urban Area","9","","","","3"
"3 on Scale 1 to 10","1985","Lower Saxony","Rural Area","20","","","","3"
"3 on Scale 1 to 10","1985","Bremen","Urban Area","3","","","","3"
"3 on Scale 1 to 10","1985","Bremen","Rural Area","","","","","3"
"3 on Scale 1 to 10","1985","North Rhine-Westphalia","Urban Area","109","0.0333885404978171","0.0268285811311836","0.0399484998644505","3"
"3 on Scale 1 to 10","1985","North Rhine-Westphalia","Rural Area","2","","","","3"
"3 on Scale 1 to 10","1985","Hesse","Urban Area","44","0.0315931610741463","0.0205572066294371","0.0426291155188555","3"
"3 on Scale 1 to 10","1985","Hesse","Rural Area","10","","","","3"
"3 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Urban Area","37","0.0554382325837728","0.0375835028406739","0.0732929623268716","3"
"3 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Rural Area","3","","","","3"
"3 on Scale 1 to 10","1985","Baden-Württemberg","Urban Area","94","0.0511052276435502","0.0407937066407579","0.0614167486463425","3"
"3 on Scale 1 to 10","1985","Baden-Württemberg","Rural Area","6","","","","3"
"3 on Scale 1 to 10","1985","Bavaria","Urban Area","39","0.0315340430031914","0.0207565087571942","0.0423115772491886","3"
"3 on Scale 1 to 10","1985","Hamburg","Rural Area","1","","","","3"
"3 on Scale 1 to 10","1985","Lower Saxony","Urban Area","25","","","","3"
"3 on Scale 1 to 10","1985","Bavaria","Rural Area","45","0.0440496946956342","0.0305528976422141","0.0575464917490543","3"
"3 on Scale 1 to 10","1985","Berlin","Urban Area","16","","","","3"
"3 on Scale 1 to 10","1985","Berlin","Rural Area","","","","","3"
"4 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","4"
"4 on Scale 1 to 10","1985","Schleswig-Holstein","Urban Area","8","","","","4"
"4 on Scale 1 to 10","1985","Brandenburg","Urban Area","","","","","4"
"4 on Scale 1 to 10","1985","Brandenburg","Rural Area","","","","","4"
"4 on Scale 1 to 10","1985","Saxony-Anhalt","Urban Area","","","","","4"
"4 on Scale 1 to 10","1985","Saxony-Anhalt","Rural Area","","","","","4"
"4 on Scale 1 to 10","1985","Thuringia","Urban Area","","","","","4"
"4 on Scale 1 to 10","1985","Saxony","Rural Area","","","","","4"
"4 on Scale 1 to 10","1985","Thuringia","Rural Area","","","","","4"
"4 on Scale 1 to 10","1985","Berlin","Urban Area","13","","","","4"
"4 on Scale 1 to 10","1985","Berlin","Rural Area","","","","","4"
"4 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","4"
"4 on Scale 1 to 10","1985","Saxony","Urban Area","","","","","4"
"4 on Scale 1 to 10","1985","Lower Saxony","Urban Area","22","","","","4"
"4 on Scale 1 to 10","1985","Lower Saxony","Rural Area","17","","","","4"
"4 on Scale 1 to 10","1985","Bremen","Urban Area","5","","","","4"
"4 on Scale 1 to 10","1985","Schleswig-Holstein","Rural Area","4","","","","4"
"4 on Scale 1 to 10","1985","Hamburg","Urban Area","15","","","","4"
"4 on Scale 1 to 10","1985","Hamburg","Rural Area","","","","","4"
"4 on Scale 1 to 10","1985","Bremen","Rural Area","","","","","4"
"4 on Scale 1 to 10","1985","North Rhine-Westphalia","Urban Area","115","0.0338944206890873","0.0272866819274115","0.0405021594507631","4"
"4 on Scale 1 to 10","1985","North Rhine-Westphalia","Rural Area","5","","","","4"
"4 on Scale 1 to 10","1985","Hesse","Urban Area","39","0.0343556890091958","0.022863775231725","0.0458476027866666","4"
"4 on Scale 1 to 10","1985","Hesse","Rural Area","9","","","","4"
"4 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Urban Area","39","0.0682415029846327","0.0485667456724526","0.0879162602968128","4"
"4 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Rural Area","4","","","","4"
"4 on Scale 1 to 10","1985","Baden-Württemberg","Urban Area","102","0.0473850788643148","0.0374365117555232","0.0573336459731064","4"
"4 on Scale 1 to 10","1985","Baden-Württemberg","Rural Area","13","","","","4"
"4 on Scale 1 to 10","1985","Bavaria","Urban Area","52","0.0471354297658659","0.0340653954060029","0.0602054641257289","4"
"4 on Scale 1 to 10","1985","Bavaria","Rural Area","37","0.039818258594165","0.0269577109952472","0.0526788061930827","4"
"5 on Scale 1 to 10","1985","Saxony","Urban Area","","","","","5"
"5 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","5"
"5 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","5"
"5 on Scale 1 to 10","1985","Saxony","Rural Area","","","","","5"
"5 on Scale 1 to 10","1985","Saxony-Anhalt","Urban Area","","","","","5"
"5 on Scale 1 to 10","1985","Schleswig-Holstein","Urban Area","16","","","","5"
"5 on Scale 1 to 10","1985","Schleswig-Holstein","Rural Area","13","","","","5"
"5 on Scale 1 to 10","1985","Hamburg","Urban Area","29","","","","5"
"5 on Scale 1 to 10","1985","Hamburg","Rural Area","","","","","5"
"5 on Scale 1 to 10","1985","Lower Saxony","Urban Area","62","0.100496800634059","0.0759432488610107","0.125050352407108","5"
"5 on Scale 1 to 10","1985","Brandenburg","Urban Area","","","","","5"
"5 on Scale 1 to 10","1985","Lower Saxony","Rural Area","55","0.10539632154502","0.0791301663500651","0.131662476739974","5"
"5 on Scale 1 to 10","1985","Bremen","Urban Area","15","","","","5"
"5 on Scale 1 to 10","1985","Bremen","Rural Area","","","","","5"
"5 on Scale 1 to 10","1985","North Rhine-Westphalia","Urban Area","326","0.109039272622049","0.0976578325666184","0.12042071267748","5"
"5 on Scale 1 to 10","1985","North Rhine-Westphalia","Rural Area","8","","","","5"
"5 on Scale 1 to 10","1985","Hesse","Urban Area","110","0.100633891552256","0.0816526407832598","0.119615142321252","5"
"5 on Scale 1 to 10","1985","Hesse","Rural Area","18","","","","5"
"5 on Scale 1 to 10","1985","Brandenburg","Rural Area","","","","","5"
"5 on Scale 1 to 10","1985","Berlin","Rural Area","","","","","5"
"5 on Scale 1 to 10","1985","Saxony-Anhalt","Rural Area","","","","","5"
"5 on Scale 1 to 10","1985","Thuringia","Urban Area","","","","","5"
"5 on Scale 1 to 10","1985","Thuringia","Rural Area","","","","","5"
"5 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Urban Area","75","0.109452263142248","0.0850924256629613","0.133812100621535","5"
"5 on Scale 1 to 10","1985","Bavaria","Rural Area","103","0.110357414321511","0.089748735633573","0.130966093009449","5"
"5 on Scale 1 to 10","1985","Berlin","Urban Area","50","0.096927904479855","0.0666587226494131","0.127197086310297","5"
"5 on Scale 1 to 10","1985","Baden-Württemberg","Urban Area","166","0.0938449294525237","0.0801900550872652","0.107499803817782","5"
"5 on Scale 1 to 10","1985","Baden-Württemberg","Rural Area","33","0.113099743071981","0.0770194185585215","0.149180067585441","5"
"5 on Scale 1 to 10","1985","Bavaria","Urban Area","124","0.116811581913929","0.0970028333515524","0.136620330476305","5"
"5 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Rural Area","11","","","","5"
"6 on Scale 1 to 10","1985","Saxony","Rural Area","","","","","6"
"6 on Scale 1 to 10","1985","Saxony-Anhalt","Urban Area","","","","","6"
"6 on Scale 1 to 10","1985","Saxony-Anhalt","Rural Area","","","","","6"
"6 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","6"
"6 on Scale 1 to 10","1985","Saxony","Urban Area","","","","","6"
"6 on Scale 1 to 10","1985","Thuringia","Urban Area","","","","","6"
"6 on Scale 1 to 10","1985","Thuringia","Rural Area","","","","","6"
"6 on Scale 1 to 10","1985","Brandenburg","Urban Area","","","","","6"
"6 on Scale 1 to 10","1985","Brandenburg","Rural Area","","","","","6"
"6 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","6"
"6 on Scale 1 to 10","1985","Schleswig-Holstein","Urban Area","11","","","","6"
"6 on Scale 1 to 10","1985","Schleswig-Holstein","Rural Area","10","","","","6"
"6 on Scale 1 to 10","1985","Hamburg","Urban Area","20","","","","6"
"6 on Scale 1 to 10","1985","Lower Saxony","Urban Area","42","0.0682933565183777","0.0476934298436237","0.0888932831931318","6"
"6 on Scale 1 to 10","1985","Lower Saxony","Rural Area","34","0.0579834138775916","0.0379917194548447","0.0779751083003385","6"
"6 on Scale 1 to 10","1985","Bremen","Urban Area","7","","","","6"
"6 on Scale 1 to 10","1985","Bremen","Rural Area","","","","","6"
"6 on Scale 1 to 10","1985","North Rhine-Westphalia","Urban Area","240","0.0759066341034575","0.0662355701516901","0.085577698055225","6"
"6 on Scale 1 to 10","1985","North Rhine-Westphalia","Rural Area","8","","","","6"
"6 on Scale 1 to 10","1985","Hesse","Urban Area","75","0.0665313121680029","0.0508078798304107","0.0822547445055951","6"
"6 on Scale 1 to 10","1985","Hesse","Rural Area","9","","","","6"
"6 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Urban Area","50","0.0774535885574782","0.0565967588404915","0.0983104182744648","6"
"6 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Rural Area","14","","","","6"
"6 on Scale 1 to 10","1985","Baden-Württemberg","Urban Area","139","0.07157005094453","0.0594996617399503","0.0836404401491097","6"
"6 on Scale 1 to 10","1985","Hamburg","Rural Area","","","","","6"
"6 on Scale 1 to 10","1985","Baden-Württemberg","Rural Area","27","","","","6"
"6 on Scale 1 to 10","1985","Bavaria","Urban Area","90","0.093587409808086","0.0756252282191826","0.111549591396989","6"
"6 on Scale 1 to 10","1985","Bavaria","Rural Area","95","0.106909246973806","0.0865858153924418","0.127232678555171","6"
"6 on Scale 1 to 10","1985","Berlin","Urban Area","42","0.099348825494797","0.0687450690274478","0.129952581962146","6"
"6 on Scale 1 to 10","1985","Berlin","Rural Area","","","","","6"
"7 on Scale 1 to 10","1985","North Rhine-Westphalia","Urban Area","382","0.132164767788795","0.119798092739329","0.144531442838261","7"
"7 on Scale 1 to 10","1985","Saxony-Anhalt","Rural Area","","","","","7"
"7 on Scale 1 to 10","1985","Schleswig-Holstein","Urban Area","15","","","","7"
"7 on Scale 1 to 10","1985","Bremen","Rural Area","","","","","7"
"7 on Scale 1 to 10","1985","Lower Saxony","Rural Area","70","0.128010930435395","0.0994319002625126","0.156589960608278","7"
"7 on Scale 1 to 10","1985","Hesse","Urban Area","124","0.135822593434392","0.114206764357384","0.1574384225114","7"
"7 on Scale 1 to 10","1985","Hesse","Rural Area","25","","","","7"
"7 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Urban Area","73","0.107716337289776","0.0835269052803955","0.131905769299156","7"
"7 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Rural Area","25","","","","7"
"7 on Scale 1 to 10","1985","Brandenburg","Urban Area","","","","","7"
"7 on Scale 1 to 10","1985","Saxony","Rural Area","","","","","7"
"7 on Scale 1 to 10","1985","Thuringia","Urban Area","","","","","7"
"7 on Scale 1 to 10","1985","Thuringia","Rural Area","","","","","7"
"7 on Scale 1 to 10","1985","North Rhine-Westphalia","Rural Area","3","","","","7"
"7 on Scale 1 to 10","1985","Saxony-Anhalt","Urban Area","","","","","7"
"7 on Scale 1 to 10","1985","Lower Saxony","Urban Area","87","0.150110109373224","0.120941001156949","0.179279217589499","7"
"7 on Scale 1 to 10","1985","Bremen","Urban Area","13","","","","7"
"7 on Scale 1 to 10","1985","Brandenburg","Rural Area","","","","","7"
"7 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","7"
"7 on Scale 1 to 10","1985","Saxony","Urban Area","","","","","7"
"7 on Scale 1 to 10","1985","Schleswig-Holstein","Rural Area","25","","","","7"
"7 on Scale 1 to 10","1985","Hamburg","Urban Area","39","0.120938078190535","0.0823312542381425","0.159544902142927","7"
"7 on Scale 1 to 10","1985","Hamburg","Rural Area","","","","","7"
"7 on Scale 1 to 10","1985","Berlin","Rural Area","","","","","7"
"7 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","7"
"7 on Scale 1 to 10","1985","Berlin","Urban Area","57","0.161300884925368","0.123670684947518","0.198931084903218","7"
"7 on Scale 1 to 10","1985","Baden-Württemberg","Urban Area","263","0.159128453320032","0.141999935278394","0.17625697136167","7"
"7 on Scale 1 to 10","1985","Baden-Württemberg","Rural Area","47","0.163685376944997","0.121535916248213","0.205834837641781","7"
"7 on Scale 1 to 10","1985","Bavaria","Urban Area","140","0.141025532477657","0.119560754253653","0.162490310701661","7"
"7 on Scale 1 to 10","1985","Bavaria","Rural Area","107","0.128874844569973","0.106837159986354","0.150912529153592","7"
"8 on Scale 1 to 10","1985","Saxony-Anhalt","Urban Area","","","","","8"
"8 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","8"
"8 on Scale 1 to 10","1985","Saxony","Urban Area","","","","","8"
"8 on Scale 1 to 10","1985","Saxony","Rural Area","","","","","8"
"8 on Scale 1 to 10","1985","Lower Saxony","Urban Area","119","0.182299198715666","0.150769019384828","0.213829378046505","8"
"8 on Scale 1 to 10","1985","Brandenburg","Urban Area","","","","","8"
"8 on Scale 1 to 10","1985","Brandenburg","Rural Area","","","","","8"
"8 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","8"
"8 on Scale 1 to 10","1985","Schleswig-Holstein","Urban Area","30","0.185197943102008","0.126281842751288","0.244114043452728","8"
"8 on Scale 1 to 10","1985","Schleswig-Holstein","Rural Area","46","0.246515771995403","0.184411472846418","0.308620071144388","8"
"8 on Scale 1 to 10","1985","Hamburg","Urban Area","48","0.178450523564118","0.133113961438422","0.223787085689814","8"
"8 on Scale 1 to 10","1985","Hamburg","Rural Area","3","","","","8"
"8 on Scale 1 to 10","1985","Lower Saxony","Rural Area","108","0.195411259509232","0.161493261789185","0.229329257229278","8"
"8 on Scale 1 to 10","1985","Bremen","Urban Area","18","","","","8"
"8 on Scale 1 to 10","1985","Bremen","Rural Area","","","","","8"
"8 on Scale 1 to 10","1985","North Rhine-Westphalia","Urban Area","591","0.215882401708873","0.200858743910564","0.230906059507182","8"
"8 on Scale 1 to 10","1985","North Rhine-Westphalia","Rural Area","27","","","","8"
"8 on Scale 1 to 10","1985","Hesse","Urban Area","218","0.224305635198435","0.197987819287067","0.250623451109804","8"
"8 on Scale 1 to 10","1985","Berlin","Rural Area","","","","","8"
"8 on Scale 1 to 10","1985","Saxony-Anhalt","Rural Area","","","","","8"
"8 on Scale 1 to 10","1985","Thuringia","Urban Area","","","","","8"
"8 on Scale 1 to 10","1985","Thuringia","Rural Area","","","","","8"
"8 on Scale 1 to 10","1985","Hesse","Rural Area","25","","","","8"
"8 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Urban Area","136","0.213912350315023","0.181917003088767","0.24590769754128","8"
"8 on Scale 1 to 10","1985","Rhineland-Palatinate,Saarland","Rural Area","46","0.325086707457604","0.247217763000792","0.402955651914417","8"
"8 on Scale 1 to 10","1985","Baden-Württemberg","Urban Area","346","0.200029214269311","0.181298048031457","0.218760380507165","8"
"8 on Scale 1 to 10","1985","Baden-Württemberg","Rural Area","65","0.238625934715621","0.190068012347979","0.287183857083263","8"
"8 on Scale 1 to 10","1985","Bavaria","Urban Area","202","0.214176963207007","0.188876052117318","0.239477874296697","8"
"8 on Scale 1 to 10","1985","Bavaria","Rural Area","153","0.176567814583136","0.151488752064239","0.201646877102033","8"
"8 on Scale 1 to 10","1985","Berlin","Urban Area","71","0.209231742835057","0.167616401702273","0.250847083967841","8"
"9 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","9"
"9 on Scale 1 to 10","1985","Saxony","Urban Area","","","","","9"
"9 on Scale 1 to 10","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","9"
"9 on Scale 1 to 10","1985","Hamburg","Rural Area","1","","","","9"
"9 on Scale 1 to 10","1985","Lower Saxony","Urban Area","65","0.123828631475985","0.0969292735004426","0.150727989451528","9"
"9 on Scale 1 to 10","1985","Lower Saxony","Rural Area","60","0.127479881576519","0.0989515095174544","0.156008253635584","9"
"9 on Scale 1 to 10","1985","Bremen","Urban Area","5","","","","9"
"9 on Scale 1 to 10","1985","Bremen","Rural Area","","","","","9"
"9 on Scale 1 to 10","1985","North Rhine-Westphalia","Urban Area","341","0.125234830583938","0.113148769931584","0.137320891236293","9"
"9 on Scale 1 to 10","1985","North Rhine-Westphalia","Rural Area","7","","","","9"
"9 on Scale 1 to 10","1985","Baden-Württemberg","Urban Area","191","0.109177262688595","0.0945742390739697","0.12378028630322","9"
"9 on Scale 1 to 10","1985","Baden-Württemberg","Rural Area","26","","","","9"
