"hlf0001_h","year","e11103","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1986","Not Working","2089","0.506675944212637","0.491066905310608","0.522284983114665"
"Sub-Tenant","1986","Full Time","101","0.016931049176847","0.0133039128266236","0.0205581855270704"
"Sub-Tenant","1986","Part Time","33","0.0158182391261104","0.0100984934358482","0.0215379848163726"
"Sub-Tenant","1986","Not Working","64","0.0181117663816201","0.0139482880831492","0.0222752446800911"
"Owner","1986","Full Time","1866","0.46422248051512","0.450201277294676","0.478243683735564"
"Owner","1986","Part Time","715","0.451584389204803","0.428771286282247","0.474397492127359"
"Owner","1986","Not Working","1788","0.475212289405743","0.459621053836465","0.490803524975022"
"Nursing Home/Retirement Community","1986","Full Time","","","",""
"Nursing Home/Retirement Community","1986","Part Time","","","",""
"Nursing Home/Retirement Community","1986","Not Working","","","",""
"Tenant","1986","Full Time","","","",""
"Tenant","1986","Part Time","","","",""
"Tenant","1986","Not Working","","","",""
"Main Tenant","1987","Full Time","2880","0.506704870232828","0.492700669100081","0.520709071365575"
"Main Tenant","1987","Part Time","1038","0.524065377816495","0.501089285877212","0.547041469755778"
"Main Tenant","1987","Not Working","2043","0.516487156131945","0.500581642535849","0.532392669728041"
"Sub-Tenant","1987","Full Time","100","0.021175587712409","0.0171428728209832","0.0252083026038347"
"Sub-Tenant","1987","Part Time","46","0.0255817963820149","0.0183182621174845","0.0328453306465454"
"Sub-Tenant","1987","Not Working","61","0.0185441225400044","0.0142502172505449","0.022838027829464"
"Owner","1987","Full Time","1916","0.472119542054763","0.45813587202496","0.486103212084566"
"Owner","1987","Part Time","731","0.45035282580149","0.42746375185656","0.47324189974642"
"Owner","1987","Not Working","1688","0.464968721328051","0.449093661081489","0.480843781574612"
"Nursing Home/Retirement Community","1987","Full Time","","","",""
"Nursing Home/Retirement Community","1987","Part Time","","","",""
"Nursing Home/Retirement Community","1987","Not Working","","","",""
"Tenant","1987","Full Time","","","",""
"Tenant","1987","Part Time","","","",""
"Tenant","1987","Not Working","","","",""
"Main Tenant","1988","Full Time","2693","0.498718555676971","0.484267986137452","0.51316912521649"
"Main Tenant","1988","Part Time","1073","0.516896038966267","0.494106447259053","0.539685630673481"
"Main Tenant","1988","Not Working","1954","0.520186172743355","0.503800323777063","0.536572021709648"
"Sub-Tenant","1988","Full Time","102","0.0269090498826096","0.0222323200200283","0.0315857797451908"
"Sub-Tenant","1988","Part Time","33","0.0214244708233762","0.0148210819916365","0.0280278596551159"
"Sub-Tenant","1988","Not Working","60","0.0214006727435392","0.0166542180986187","0.0261471273884598"
"Owner","1988","Full Time","1804","0.474372394440419","0.459940771509011","0.488804017371828"
"Owner","1988","Part Time","741","0.461679490210357","0.43894394373394","0.484415036686774"
"Owner","1988","Not Working","1557","0.458413154513106","0.442070757554667","0.474755551471544"
"Nursing Home/Retirement Community","1988","Full Time","","","",""
"Nursing Home/Retirement Community","1988","Part Time","","","",""
"Nursing Home/Retirement Community","1988","Not Working","","","",""
"Tenant","1988","Full Time","","","",""
"Tenant","1988","Part Time","","","",""
"Tenant","1988","Not Working","","","",""
"Main Tenant","1989","Full Time","2704","0.509459878922233","0.494943827623073","0.523975930221394"
"Main Tenant","1989","Part Time","942","0.487156819146583","0.463486937020381","0.510826701272785"
"Main Tenant","1989","Not Working","1855","0.506633053195633","0.489913814210131","0.523352292181134"
"Sub-Tenant","1989","Full Time","86","0.0226518118439545","0.0183313282317602","0.0269722954561487"
"Sub-Tenant","1989","Part Time","39","0.0278045965653053","0.0200187742138008","0.0355904189168097"
"Sub-Tenant","1989","Not Working","55","0.0196965958929996","0.015049725463271","0.0243434663227282"
"Owner","1989","Full Time","1760","0.466118063108261","0.451632785807901","0.480603340408622"
"Owner","1989","Part Time","730","0.484212559315604","0.460546670713196","0.507878447918013"
"Owner","1989","Not Working","1519","0.470758187535022","0.454066096852928","0.487450278217116"
"Nursing Home/Retirement Community","1989","Full Time","","","",""
"Nursing Home/Retirement Community","1989","Part Time","","","",""
"Nursing Home/Retirement Community","1989","Not Working","","","",""
"Tenant","1989","Full Time","6","","",""
"Tenant","1989","Part Time","2","","",""
"Tenant","1989","Not Working","6","","",""
"Main Tenant","1990","Full Time","2575","0.509561609317615","0.49485390054948","0.524269318085751"
"Main Tenant","1990","Part Time","965","0.506624873652542","0.483086270381402","0.530163476923681"
"Main Tenant","1990","Not Working","1793","0.508552223346076","0.491610542504599","0.525493904187554"
"Sub-Tenant","1990","Full Time","109","0.0278811906382434","0.0230375738792775","0.0327248073972092"
"Sub-Tenant","1990","Part Time","39","0.0302110156629534","0.0221522208903778","0.038269810435529"
"Sub-Tenant","1990","Not Working","59","0.0218630415834559","0.0169073399073718","0.02681874325954"
"Owner","1990","Full Time","1753","0.462513056382811","0.447844060046342","0.47718205271928"
"Owner","1990","Part Time","728","0.463069136344306","0.439592768158307","0.486545504530305"
"Owner","1990","Not Working","1490","0.467736675375053","0.450827827639095","0.484645523111012"
"Nursing Home/Retirement Community","1990","Full Time","","","",""
"Nursing Home/Retirement Community","1990","Part Time","","","",""
"Nursing Home/Retirement Community","1990","Not Working","","","",""
"Tenant","1990","Full Time","1","","",""
"Tenant","1990","Part Time","1","","",""
"Tenant","1990","Not Working","3","","",""
"Main Tenant","1991","Full Time","2640","0.530971831986477","0.516271452909177","0.545672211063777"
"Main Tenant","1991","Part Time","959","0.490468939275365","0.467107141638345","0.513830736912386"
"Main Tenant","1991","Not Working","1711","0.495004118554066","0.477854485875021","0.51215375123311"
"Sub-Tenant","1991","Full Time","99","0.0283386615686522","0.0234505573279818","0.0332267658093226"
"Sub-Tenant","1991","Part Time","40","0.0241121467704922","0.0169435679174127","0.0312807256235717"
"Sub-Tenant","1991","Not Working","62","0.0224796846506537","0.0173949944028745","0.0275643748984329"
"Owner","1991","Full Time","1687","0.440648196554462","0.426023668839114","0.455272724269811"
"Owner","1991","Part Time","759","0.485320240638189","0.461964270138166","0.508676211138212"
"Owner","1991","Not Working","1490","0.480432252419878","0.46329490237256","0.497569602467196"
"Nursing Home/Retirement Community","1991","Full Time","","","",""
"Nursing Home/Retirement Community","1991","Part Time","","","",""
"Nursing Home/Retirement Community","1991","Not Working","","","",""
"Tenant","1991","Full Time","1","","",""
"Tenant","1991","Part Time","1","","",""
"Tenant","1991","Not Working","2","","",""
"Main Tenant","1992","Full Time","4056","0.559912035896038","0.547940735538885","0.571883336253192"
"Main Tenant","1992","Part Time","1439","0.515849593659966","0.49629886595761","0.535400321362321"
"Main Tenant","1992","Not Working","2359","0.5286511526721","0.513685810589675","0.543616494754525"
"Sub-Tenant","1992","Full Time","179","0.0300453241297927","0.0259283717147989","0.0341622765447865"
"Sub-Tenant","1992","Part Time","75","0.0361708375113851","0.0288663366622366","0.0434753383605336"
"Sub-Tenant","1992","Not Working","79","0.0220840693686816","0.0176783062411577","0.0264898324962055"
"Owner","1992","Full Time","2368","0.409595468087068","0.397736030532648","0.421454905641487"
"Owner","1992","Part Time","994","0.446534603368703","0.427086196718435","0.46598301001897"
"Owner","1992","Not Working","1832","0.447231994714753","0.43232573397737","0.462138255452135"
"Nursing Home/Retirement Community","1992","Full Time","","","",""
"Nursing Home/Retirement Community","1992","Part Time","","","",""
"Nursing Home/Retirement Community","1992","Not Working","","","",""
"Tenant","1992","Full Time","2","","",""
"Tenant","1992","Part Time","2","","",""
"Tenant","1992","Not Working","4","","",""
"Main Tenant","1993","Full Time","3790","0.550724574614987","0.538411329746249","0.563037819483725"
"Main Tenant","1993","Part Time","1392","0.510368272977173","0.490630218228299","0.530106327726047"
"Main Tenant","1993","Not Working","2511","0.526243519139898","0.511560012764214","0.540927025515583"
"Sub-Tenant","1993","Full Time","178","0.0301564604728968","0.0259230539196864","0.0343898670261071"
"Sub-Tenant","1993","Part Time","77","0.0354007531050362","0.0281043730230084","0.0426971331870641"
"Sub-Tenant","1993","Not Working","99","0.0290816304095789","0.0241401218919883","0.0340231389271696"
"Owner","1993","Full Time","2301","0.419118964912116","0.406904872224418","0.431333057599814"
"Owner","1993","Part Time","995","0.454230973917791","0.434571560558828","0.473890387276754"
"Owner","1993","Not Working","1832","0.444674850450523","0.430061366434867","0.459288334466178"
"Nursing Home/Retirement Community","1993","Full Time","","","",""
"Nursing Home/Retirement Community","1993","Part Time","","","",""
"Nursing Home/Retirement Community","1993","Not Working","","","",""
"Tenant","1993","Full Time","","","",""
"Tenant","1993","Part Time","","","",""
"Tenant","1993","Not Working","","","",""
"Main Tenant","1994","Full Time","3572","0.549746517368043","0.537139905751092","0.562353128984994"
"Main Tenant","1994","Part Time","1344","0.522009740151037","0.501895001814144","0.542124478487929"
"Main Tenant","1994","Not Working","2573","0.52208658012876","0.507631197263517","0.536541962994003"
"Sub-Tenant","1994","Full Time","158","0.0283035342299762","0.0241013582540476","0.0325057102059048"
"Sub-Tenant","1994","Part Time","77","0.0296202981582621","0.0227932789414281","0.0364473173750962"
"Sub-Tenant","1994","Not Working","101","0.0292050839619616","0.0243323051601405","0.0340778627637826"
"Owner","1994","Full Time","2253","0.421949948401981","0.409435786170445","0.434464110633517"
"Owner","1994","Part Time","948","0.448369961690701","0.428343336538898","0.468396586842505"
"Owner","1994","Not Working","1913","0.448708335909278","0.434315164327408","0.463101507491149"
"Nursing Home/Retirement Community","1994","Full Time","","","",""
"Nursing Home/Retirement Community","1994","Part Time","","","",""
"Nursing Home/Retirement Community","1994","Not Working","","","",""
"Tenant","1994","Full Time","","","",""
"Tenant","1994","Part Time","","","",""
"Tenant","1994","Not Working","","","",""
"Main Tenant","1995","Full Time","3481","0.529931559570592","0.517215544031755","0.542647575109429"
"Main Tenant","1995","Part Time","1526","0.528853323103827","0.509717771562165","0.547988874645489"
"Main Tenant","1995","Not Working","2793","0.516150752117296","0.502068942242198","0.530232561992395"
"Sub-Tenant","1995","Full Time","176","0.0345259007111051","0.0298742892384873","0.0391775121837229"
"Sub-Tenant","1995","Part Time","70","0.0290598103712886","0.0226205212317993","0.0354990995107778"
"Sub-Tenant","1995","Not Working","136","0.034391689484108","0.029256666262291","0.0395267127059251"
"Owner","1995","Full Time","2261","0.435542539718303","0.422909975667725","0.448175103768881"
"Owner","1995","Part Time","1018","0.442086866524884","0.423048380986013","0.461125352063756"
"Owner","1995","Not Working","1909","0.449457558398596","0.435440563818473","0.463474552978719"
"Nursing Home/Retirement Community","1995","Full Time","","","",""
"Nursing Home/Retirement Community","1995","Part Time","","","",""
"Nursing Home/Retirement Community","1995","Not Working","","","",""
"Tenant","1995","Full Time","","","",""
"Tenant","1995","Part Time","","","",""
"Tenant","1995","Not Working","","","",""
"Main Tenant","1996","Full Time","3305","0.533281047609874","0.520389451307343","0.546172643912405"
"Main Tenant","1996","Part Time","1548","0.524200844664538","0.50536667447453","0.543035014854546"
"Main Tenant","1996","Not Working","2663","0.515902501689083","0.501570944090138","0.530234059288028"
"Sub-Tenant","1996","Full Time","186","0.0344971940258311","0.0297812400308631","0.0392131480207991"
"Sub-Tenant","1996","Part Time","82","0.031617853432445","0.0250188952400914","0.0382168116247986"
"Sub-Tenant","1996","Not Working","120","0.0279485076360407","0.0232217089678946","0.0326753063041867"
"Owner","1996","Full Time","2262","0.432221758364295","0.41942076744032","0.445022749288269"
"Owner","1996","Part Time","1071","0.444181301903017","0.425442901635888","0.462919702170145"
"Owner","1996","Not Working","1888","0.456148990674876","0.44186542993524","0.470432551414512"
"Nursing Home/Retirement Community","1996","Full Time","","","",""
"Nursing Home/Retirement Community","1996","Part Time","","","",""
"Nursing Home/Retirement Community","1996","Not Working","","","",""
"Tenant","1996","Full Time","","","",""
"Tenant","1996","Part Time","","","",""
"Tenant","1996","Not Working","","","",""
"Main Tenant","1997","Full Time","3133","0.521636943370652","0.508560653745567","0.534713232995738"
"Main Tenant","1997","Part Time","1433","0.524485766351698","0.505129065380438","0.543842467322957"
"Main Tenant","1997","Not Working","2675","0.513270794682085","0.499059722191244","0.527481867172927"
"Sub-Tenant","1997","Full Time","165","0.0313479801250105","0.0267864534394649","0.035909506810556"
"Sub-Tenant","1997","Part Time","74","0.02837890175343","0.0219427098063704","0.0348150937004896"
"Sub-Tenant","1997","Not Working","106","0.0290027485585041","0.0242314295526196","0.0337740675643885"
"Owner","1997","Full Time","2308","0.447015076504337","0.434000223264977","0.460029929743697"
"Owner","1997","Part Time","1050","0.447135331894872","0.427864004062505","0.466406659727239"
"Owner","1997","Not Working","1971","0.457726456759411","0.443561276974507","0.471891636544314"
"Nursing Home/Retirement Community","1997","Full Time","","","",""
"Nursing Home/Retirement Community","1997","Part Time","","","",""
"Nursing Home/Retirement Community","1997","Not Working","","","",""
"Tenant","1997","Full Time","","","",""
"Tenant","1997","Part Time","","","",""
"Tenant","1997","Not Working","","","",""
"Main Tenant","1998","Full Time","3233","0.519403337873586","0.506768722712043","0.532037953035128"
"Main Tenant","1998","Part Time","1552","0.503902131836117","0.485644971057068","0.522159292615166"
"Main Tenant","1998","Not Working","2883","0.491008789771744","0.477722970627031","0.504294608916458"
"Sub-Tenant","1998","Full Time","180","0.0319486741221884","0.0275013898882544","0.0363959583561223"
"Sub-Tenant","1998","Part Time","101","0.0447240956617197","0.0371764473200545","0.0522717440033848"
"Sub-Tenant","1998","Not Working","137","0.0272365888951053","0.0229107680114108","0.0315624097787999"
"Owner","1998","Full Time","2594","0.448647988004226","0.436070711198444","0.461225264810008"
"Owner","1998","Part Time","1228","0.451373772502163","0.433202601941056","0.469544943063271"
"Owner","1998","Not Working","2400","0.475101378425758","0.461829896407296","0.48837286044422"
"Nursing Home/Retirement Community","1998","Full Time","","","",""
"Nursing Home/Retirement Community","1998","Part Time","","","",""
"Nursing Home/Retirement Community","1998","Not Working","","","",""
"Tenant","1998","Full Time","","","",""
"Tenant","1998","Part Time","","","",""
"Tenant","1998","Not Working","19","","",""
"Main Tenant","1999","Full Time","3128","0.51893693704001","0.50613453857683","0.53173933550319"
"Main Tenant","1999","Part Time","1545","0.497226907946141","0.479181195633801","0.51527262025848"
"Main Tenant","1999","Not Working","2640","0.497142409789865","0.483239035677948","0.511045783901782"
"Sub-Tenant","1999","Full Time","137","0.0255681523276092","0.0215237118398397","0.0296125928153787"
"Sub-Tenant","1999","Part Time","82","0.0309319579790626","0.0246832310498658","0.0371806849082595"
"Sub-Tenant","1999","Not Working","110","0.0240744264419298","0.0198121302967712","0.0283367225870884"
"Owner","1999","Full Time","2586","0.455494910632381","0.442734173040047","0.468255648224715"
"Owner","1999","Part Time","1320","0.471597674807244","0.453580823582986","0.489614526031502"
"Owner","1999","Not Working","2194","0.469624122896303","0.455746202967985","0.483502042824621"
"Nursing Home/Retirement Community","1999","Full Time","","","",""
"Nursing Home/Retirement Community","1999","Part Time","2","","",""
"Nursing Home/Retirement Community","1999","Not Working","24","","",""
"Tenant","1999","Full Time","","","",""
"Tenant","1999","Part Time","","","",""
"Tenant","1999","Not Working","","","",""
"Main Tenant","2000","Full Time","4993","0.52357507303417","0.513834250660622","0.533315895407719"
"Main Tenant","2000","Part Time","2516","0.519429227868721","0.505711718989258","0.533146736748184"
"Main Tenant","2000","Not Working","4324","0.490579149331227","0.480290430682414","0.500867867980039"
"Sub-Tenant","2000","Full Time","160","0.0185345016885968","0.0159040103222453","0.0211649930549482"
"Sub-Tenant","2000","Part Time","87","0.0199938158880951","0.016150592454637","0.0238370393215532"
"Sub-Tenant","2000","Not Working","103","0.0139464350338402","0.0115329186689003","0.0163599513987802"
"Owner","2000","Full Time","4945","0.457619700961751","0.447903125799085","0.467336276124418"
"Owner","2000","Part Time","2493","0.460576956243184","0.446891816651413","0.474262095834955"
"Owner","2000","Not Working","4610","0.489215330682369","0.478927179296118","0.499503482068619"
"Nursing Home/Retirement Community","2000","Full Time","1","","",""
"Nursing Home/Retirement Community","2000","Part Time","","","",""
"Nursing Home/Retirement Community","2000","Not Working","32","0.00625908495256464","0.00463592843935783","0.00788224146577144"
"Tenant","2000","Full Time","","","",""
"Tenant","2000","Part Time","","","",""
"Tenant","2000","Not Working","","","",""
"Main Tenant","2001","Full Time","4466","0.51991724804668","0.509643928675386","0.530190567417973"
"Main Tenant","2001","Part Time","2352","0.515823625979207","0.501742976356474","0.52990427560194"
"Main Tenant","2001","Not Working","3858","0.48652790463629","0.475669278832863","0.497386530439718"
"Sub-Tenant","2001","Full Time","143","0.0183084278284751","0.015551669580031","0.0210651860769192"
"Sub-Tenant","2001","Part Time","93","0.0234140949749247","0.019153559421935","0.0276746305279144"
"Sub-Tenant","2001","Not Working","93","0.0147867137858323","0.0121645275699787","0.0174089000016858"
"Owner","2001","Full Time","4474","0.461735729068047","0.451484400758483","0.471987057377612"
"Owner","2001","Part Time","2392","0.460160662091322","0.446117746393087","0.474203577789557"
"Owner","2001","Not Working","4154","0.490772513212173","0.479911793614934","0.501633232809411"
"Nursing Home/Retirement Community","2001","Full Time","2","","",""
"Nursing Home/Retirement Community","2001","Part Time","2","","",""
"Nursing Home/Retirement Community","2001","Not Working","34","0.0079128683657045","0.00598798488444751","0.00983775184696149"
"Tenant","2001","Full Time","","","",""
"Tenant","2001","Part Time","","","",""
"Tenant","2001","Not Working","","","",""
"Main Tenant","2002","Full Time","4348","0.516558622130229","0.506559604860175","0.526557639400283"
"Main Tenant","2002","Part Time","2377","0.516185462817428","0.502671375144561","0.529699550490295"
"Main Tenant","2002","Not Working","3760","0.482244998203574","0.471500905942404","0.492989090464743"
"Sub-Tenant","2002","Full Time","139","0.0176702488708627","0.0150340656994088","0.0203064320423166"
"Sub-Tenant","2002","Part Time","97","0.0222785984245734","0.0182874683311705","0.0262697285179763"
"Sub-Tenant","2002","Not Working","114","0.0156127947139472","0.01294718221351","0.0182784072143845"
"Owner","2002","Full Time","5105","0.465493363045473","0.455512711364975","0.475474014725971"
"Owner","2002","Part Time","2778","0.461012022383703","0.447532017321849","0.474492027445558"
"Owner","2002","Not Working","4405","0.495379671181707","0.484629257587333","0.506130084776082"
"Nursing Home/Retirement Community","2002","Full Time","3","","",""
"Nursing Home/Retirement Community","2002","Part Time","1","","",""
"Nursing Home/Retirement Community","2002","Not Working","30","0.00676253590077189","0.00500033649851525","0.00852473530302853"
"Tenant","2002","Full Time","","","",""
"Tenant","2002","Part Time","","","",""
"Tenant","2002","Not Working","","","",""
"Main Tenant","2003","Full Time","3994","0.520135720169495","0.509775547934474","0.530495892404515"
"Main Tenant","2003","Part Time","2294","0.49588356100707","0.482221674066089","0.509545447948051"
"Main Tenant","2003","Not Working","3667","0.482223586839693","0.471420846018279","0.493026327661107"
"Sub-Tenant","2003","Full Time","167","0.0231578841939569","0.0200389152478512","0.0262768531400626"
"Sub-Tenant","2003","Part Time","98","0.0257196961284284","0.021394256253788","0.0300451360030688"
"Sub-Tenant","2003","Not Working","135","0.0208744102664984","0.017783652930062","0.0239651676029348"
"Owner","2003","Full Time","4771","0.456695420791648","0.446365798650188","0.467025042933108"
"Owner","2003","Part Time","2753","0.478396742864502","0.464747151310967","0.492046334418036"
"Owner","2003","Not Working","4384","0.489958435678343","0.479151041170711","0.500765830185976"
"Nursing Home/Retirement Community","2003","Full Time","1","","",""
"Nursing Home/Retirement Community","2003","Part Time","","","",""
"Nursing Home/Retirement Community","2003","Not Working","33","0.00694356721546522","0.00514835048383606","0.00873878394709437"
"Tenant","2003","Full Time","","","",""
"Tenant","2003","Part Time","","","",""
"Tenant","2003","Not Working","","","",""
"Main Tenant","2004","Full Time","3767","0.514230917508765","0.503592677096628","0.524869157920901"
"Main Tenant","2004","Part Time","2233","0.520630660124482","0.506827523977809","0.534433796271156"
"Main Tenant","2004","Not Working","3683","0.488664861423633","0.47786003661682","0.499469686230446"
"Sub-Tenant","2004","Full Time","153","0.025504691925541","0.0221490493914501","0.028860334459632"
"Sub-Tenant","2004","Part Time","105","0.0219977205801763","0.0179450943696476","0.0260503467907049"
"Sub-Tenant","2004","Not Working","105","0.0176640919258682","0.0148167801609355","0.0205114036908008"
"Owner","2004","Full Time","4558","0.4602523035225","0.449643432791925","0.470861174253076"
"Owner","2004","Part Time","2692","0.457276129795746","0.443511754605579","0.471040504985912"
"Owner","2004","Not Working","4397","0.485324166951034","0.47452122103736","0.496127112864708"
"Nursing Home/Retirement Community","2004","Full Time","1","","",""
"Nursing Home/Retirement Community","2004","Part Time","2","","",""
"Nursing Home/Retirement Community","2004","Not Working","37","0.00834687969946534","0.00638034631607982","0.0103134130828509"
"Tenant","2004","Full Time","","","",""
"Tenant","2004","Part Time","","","",""
"Tenant","2004","Not Working","","","",""
"Main Tenant","2005","Full Time","3543","0.520801092902969","0.509889452107917","0.531712733698022"
"Main Tenant","2005","Part Time","2141","0.526601582557483","0.512520728199548","0.540682436915417"
"Main Tenant","2005","Not Working","3568","0.497311825304929","0.486306506960107","0.508317143649751"
"Sub-Tenant","2005","Full Time","170","0.0279382818267845","0.0243387752209671","0.0315377884326018"
"Sub-Tenant","2005","Part Time","84","0.0258063978275652","0.0213348193598551","0.0302779762952753"
"Sub-Tenant","2005","Not Working","137","0.0220235244692744","0.0187931973988061","0.0252538515397427"
"Owner","2005","Full Time","4338","0.451228483196226","0.440359466850348","0.462097499542104"
"Owner","2005","Part Time","2604","0.44754353196889","0.433520523400396","0.461566540537384"
"Owner","2005","Not Working","4187","0.47219906618847","0.461210614043115","0.483187518333825"
"Nursing Home/Retirement Community","2005","Full Time","1","","",""
"Nursing Home/Retirement Community","2005","Part Time","1","","",""
"Nursing Home/Retirement Community","2005","Not Working","37","0.00846558403732676","0.00644897717241699","0.0104821909022365"
"Tenant","2005","Full Time","","","",""
"Tenant","2005","Part Time","","","",""
"Tenant","2005","Not Working","","","",""
"Main Tenant","2006","Full Time","3685","0.52505531549675","0.514406019720117","0.535704611273384"
"Main Tenant","2006","Part Time","2187","0.515889430520283","0.502082878829193","0.529695982211374"
"Main Tenant","2006","Not Working","3934","0.509152904438645","0.498766273194614","0.519539535682676"
"Sub-Tenant","2006","Full Time","162","0.0246953346735174","0.0213857427137764","0.0280049266332585"
"Sub-Tenant","2006","Part Time","87","0.0245845027342897","0.0203063117748305","0.0288626936937489"
"Sub-Tenant","2006","Not Working","120","0.0181679439436855","0.0153930334329913","0.0209428544543797"
"Owner","2006","Full Time","4597","0.449779160741042","0.439170390927564","0.460387930554521"
"Owner","2006","Part Time","2759","0.459526066745427","0.445757869527126","0.473294263963728"
"Owner","2006","Not Working","4800","0.465325234805697","0.454961873634746","0.475688595976648"
"Nursing Home/Retirement Community","2006","Full Time","3","","",""
"Nursing Home/Retirement Community","2006","Part Time","","","",""
"Nursing Home/Retirement Community","2006","Not Working","45","0.00735391681197262","0.00557877088352595","0.00912906274041929"
"Tenant","2006","Full Time","","","",""
"Tenant","2006","Part Time","","","",""
"Tenant","2006","Not Working","","","",""
"Main Tenant","2007","Full Time","3395","0.509773445842321","0.498738013603616","0.520808878081026"
"Main Tenant","2007","Part Time","2100","0.523131525668536","0.508896174452245","0.537366876884827"
"Main Tenant","2007","Not Working","3662","0.498299033421712","0.487576575723325","0.509021491120098"
"Sub-Tenant","2007","Full Time","139","0.0262932341712384","0.0227610899639527","0.0298253783785241"
"Sub-Tenant","2007","Part Time","84","0.0266220783528586","0.022034059875251","0.0312100968304663"
"Sub-Tenant","2007","Not Working","126","0.0190414070490183","0.0161105022853558","0.0219723118126808"
"Owner","2007","Full Time","4346","0.462931857813568","0.451924690752996","0.47393902487414"
"Owner","2007","Part Time","2543","0.449669141164495","0.435490914686623","0.463847367642366"
"Owner","2007","Not Working","4518","0.474291580932542","0.4635832440831","0.484999917781984"
"Nursing Home/Retirement Community","2007","Full Time","3","","",""
"Nursing Home/Retirement Community","2007","Part Time","2","","",""
"Nursing Home/Retirement Community","2007","Not Working","47","0.00836797859672844","0.00641448315642242","0.0103214740370344"
"Tenant","2007","Full Time","","","",""
"Tenant","2007","Part Time","","","",""
"Tenant","2007","Not Working","","","",""
"Main Tenant","2008","Full Time","3197","0.500796517083591","0.489483690452933","0.512109343714249"
"Main Tenant","2008","Part Time","1942","0.517189241170377","0.502465958027472","0.531912524313281"
"Main Tenant","2008","Not Working","3321","0.485506193541223","0.474384045842511","0.496628341239936"
"Sub-Tenant","2008","Full Time","137","0.0245272988926613","0.0210275724403581","0.0280270253449645"
"Sub-Tenant","2008","Part Time","62","0.0154862065848833","0.0118481045073817","0.0191243086623849"
"Sub-Tenant","2008","Not Working","135","0.0271294199227648","0.023514081269742","0.0307447585757876"
"Owner","2008","Full Time","4168","0.473988094553621","0.462690572912113","0.48528561619513"
"Owner","2008","Part Time","2420","0.467281231478323","0.452580815595234","0.481981647361412"
"Owner","2008","Not Working","4255","0.477891561595221","0.466775620608184","0.489007502582258"
"Nursing Home/Retirement Community","2008","Full Time","2","","",""
"Nursing Home/Retirement Community","2008","Part Time","1","","",""
"Nursing Home/Retirement Community","2008","Not Working","46","0.00947282494079061","0.0073171952909456","0.0116284545906356"
"Tenant","2008","Full Time","","","",""
"Tenant","2008","Part Time","","","",""
"Tenant","2008","Not Working","","","",""
"Main Tenant","2009","Full Time","2962","0.500997311686289","0.489296005310208","0.512698618062369"
"Main Tenant","2009","Part Time","1867","0.508781782301289","0.493719933965566","0.523843630637013"
"Main Tenant","2009","Not Working","3004","0.476613059622858","0.465009425722922","0.488216693522793"
"Sub-Tenant","2009","Full Time","131","0.0240795841030686","0.0204920428580082","0.027667125348129"
"Sub-Tenant","2009","Part Time","86","0.0271312782333865","0.0222364494015866","0.0320261070651865"
