"hlf0001_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Owner","1986","Full Time","Male","1378","0.486902887865105","0.470219454817965","0.503586320912244","3"
"Owner","1986","Full Time","Female","488","0.410054251583386","0.384400112787369","0.435708390379404","3"
"Owner","1986","Part Time","Male","243","0.46911093936568","0.430111134253325","0.508110744478034","3"
"Owner","1986","Part Time","Female","472","0.442594296673756","0.414480007331177","0.470708586016335","3"
"Owner","1986","Not Working","Male","566","0.502228409313185","0.473736509421331","0.530720309205039","3"
"Owner","1986","Not Working","Female","1222","0.463439201600141","0.444828754212016","0.482049648988266","3"
"Sub-Tenant","1986","Full Time","Female","31","0.0196197892390578","0.0123858446184278","0.0268537338596879","2"
"Sub-Tenant","1986","Full Time","Male","70","0.0158052652796844","0.0116422704081888","0.0199682601511799","2"
"Sub-Tenant","1986","Part Time","Female","18","","","","2"
"Sub-Tenant","1986","Part Time","Male","15","","","","2"
"Sub-Tenant","1986","Not Working","Male","23","","","","2"
"Sub-Tenant","1986","Not Working","Female","41","0.0155556675839841","0.0109372747717459","0.0201740603962223","2"
"Tenant","1986","Full Time","Male","","","","","5"
"Tenant","1986","Full Time","Female","","","","","5"
"Tenant","1986","Part Time","Male","","","","","5"
"Tenant","1986","Part Time","Female","","","","","5"
"Tenant","1986","Not Working","Male","","","","","5"
"Tenant","1986","Not Working","Female","","","","","5"
"Main Tenant","1987","Full Time","Male","1978","0.482333106714203","0.465707324572448","0.498958888855959","1"
"Main Tenant","1987","Full Time","Female","902","0.56410180246966","0.538364702553144","0.589838902386175","1"
"Main Tenant","1987","Part Time","Male","361","0.553069220213427","0.513221142437844","0.59291729798901","1"
"Main Tenant","1987","Part Time","Female","677","0.510312965359023","0.482227578794039","0.538398351924008","1"
"Main Tenant","1987","Not Working","Male","579","0.480462781654132","0.451370931353291","0.509554631954973","1"
"Main Tenant","1987","Not Working","Female","1464","0.53207712011819","0.513111661241393","0.551042578994987","1"
"Nursing Home/Retirement Community","1987","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1987","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1987","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1987","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1987","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1987","Not Working","Female","","","","","4"
"Owner","1987","Full Time","Male","1417","0.497043879178568","0.480407999617716","0.51367975873942","3"
"Owner","1987","Full Time","Female","499","0.413421266575036","0.387862029189379","0.438980503960693","3"
"Owner","1987","Part Time","Male","222","0.424619209639673","0.385002810639241","0.464235608640104","3"
"Owner","1987","Part Time","Female","509","0.462554633363271","0.43454215840682","0.490567108319721","3"
"Owner","1987","Not Working","Male","534","0.497284526417297","0.468170871131025","0.526398181703568","3"
"Owner","1987","Not Working","Female","1154","0.450983683563185","0.432070616481758","0.469896750644612","3"
"Sub-Tenant","1987","Full Time","Female","25","","","","2"
"Sub-Tenant","1987","Full Time","Male","75","0.0206230141072284","0.0158943945917279","0.025351633622729","2"
"Sub-Tenant","1987","Part Time","Male","15","","","","2"
"Sub-Tenant","1987","Part Time","Female","31","0.0271324012777062","0.0180044400351462","0.0362603625202662","2"
"Sub-Tenant","1987","Not Working","Male","20","","","","2"
"Sub-Tenant","1987","Not Working","Female","41","0.0169391963186247","0.0120343487706875","0.0218440438665619","2"
"Tenant","1987","Full Time","Male","","","","","5"
"Tenant","1987","Full Time","Female","","","","","5"
"Tenant","1987","Part Time","Male","","","","","5"
"Tenant","1987","Not Working","Male","","","","","5"
"Tenant","1987","Part Time","Female","","","","","5"
"Tenant","1987","Not Working","Female","","","","","5"
"Main Tenant","1988","Full Time","Male","1861","0.478875295911328","0.461745366583356","0.4960052252393","1"
"Main Tenant","1988","Full Time","Female","832","0.547119122656717","0.520387278697872","0.573850966615563","1"
"Main Tenant","1988","Part Time","Male","358","0.485293196258254","0.445302909192682","0.525283483323826","1"
"Main Tenant","1988","Part Time","Female","715","0.530699343779268","0.503000303595041","0.558398383963494","1"
"Main Tenant","1988","Not Working","Male","564","0.491875997193916","0.462128810964229","0.521623183423603","1"
"Main Tenant","1988","Not Working","Female","1390","0.533039010062123","0.513427215908761","0.552650804215485","1"
"Nursing Home/Retirement Community","1988","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1988","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1988","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1988","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1988","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1988","Not Working","Female","","","","","4"
"Owner","1988","Full Time","Female","464","0.415765920682223","0.38929836313386","0.442233478230585","3"
"Owner","1988","Full Time","Male","1340","0.498399870879258","0.481254720282178","0.515545021476337","3"
"Owner","1988","Part Time","Male","229","0.483666878996635","0.443680633111945","0.523653124881325","3"
"Owner","1988","Part Time","Female","512","0.452075967126594","0.424452337070361","0.479699597182827","3"
"Owner","1988","Not Working","Female","1056","0.445361701007621","0.425824655413906","0.464898746601337","3"
"Owner","1988","Not Working","Male","501","0.487160810050306","0.457419506698911","0.5169021134017","3"
"Sub-Tenant","1988","Full Time","Male","66","0.0227248332094148","0.0176146989854087","0.0278349674334209","2"
"Sub-Tenant","1988","Full Time","Female","36","0.03711495666106","0.0269628147969267","0.0472670985251933","2"
"Sub-Tenant","1988","Part Time","Male","13","","","","2"
"Sub-Tenant","1988","Part Time","Female","20","","","","2"
"Sub-Tenant","1988","Not Working","Female","40","0.0215992889302558","0.0158848231591812","0.0273137547013305","2"
"Sub-Tenant","1988","Not Working","Male","20","","","","2"
"Tenant","1988","Full Time","Male","","","","","5"
"Tenant","1988","Full Time","Female","","","","","5"
"Tenant","1988","Not Working","Male","","","","","5"
"Tenant","1988","Part Time","Male","","","","","5"
"Tenant","1988","Part Time","Female","","","","","5"
"Tenant","1988","Not Working","Female","","","","","5"
"Main Tenant","1989","Full Time","Male","1826","0.482700310576456","0.465357050795086","0.500043570357826","1"
"Main Tenant","1989","Full Time","Female","878","0.571760012996391","0.545529044139673","0.597990981853109","1"
"Main Tenant","1989","Part Time","Male","290","0.453551232339196","0.411006762118185","0.496095702560207","1"
"Main Tenant","1989","Part Time","Female","652","0.501450867903494","0.47300685234798","0.529894883459008","1"
"Main Tenant","1989","Not Working","Male","545","0.484247097124993","0.454232837102592","0.514261357147394","1"
"Main Tenant","1989","Not Working","Female","1310","0.516995784008802","0.496877409908574","0.53711415810903","1"
"Nursing Home/Retirement Community","1989","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1989","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1989","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1989","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1989","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1989","Not Working","Female","","","","","4"
"Owner","1989","Full Time","Female","457","0.39622939520007","0.370301147793431","0.422157642606709","3"
"Owner","1989","Full Time","Male","1303","0.4961371090265","0.47878397686722","0.51349024118578","3"
"Owner","1989","Part Time","Male","218","0.498929235612726","0.456200088189145","0.541658383036307","3"
"Owner","1989","Part Time","Female","512","0.477952859411049","0.449536389604803","0.506369329217295","3"
"Owner","1989","Not Working","Male","495","0.489179253467943","0.459157118999575","0.519201387936311","3"
"Owner","1989","Not Working","Female","1024","0.462230852497281","0.442158359074819","0.482303345919742","3"
"Sub-Tenant","1989","Full Time","Male","56","0.0196020636191375","0.014790647455905","0.0244134797823701","2"
"Sub-Tenant","1989","Full Time","Female","30","0.0297520655118542","0.0207454057299744","0.038758725293734","2"
"Sub-Tenant","1989","Part Time","Male","17","","","","2"
"Sub-Tenant","1989","Not Working","Male","21","","","","2"
"Sub-Tenant","1989","Part Time","Female","22","","","","2"
"Sub-Tenant","1989","Not Working","Female","34","0.0188429679819632","0.0133688036132908","0.0243171323506357","2"
"Tenant","1989","Full Time","Male","4","","","","5"
"Tenant","1989","Full Time","Female","2","","","","5"
"Tenant","1989","Part Time","Male","1","","","","5"
"Tenant","1989","Part Time","Female","1","","","","5"
"Tenant","1989","Not Working","Male","4","","","","5"
"Tenant","1989","Not Working","Female","2","","","","5"
"Main Tenant","1990","Full Time","Male","1748","0.484855719984495","0.467302391115031","0.502409048853958","1"
"Main Tenant","1990","Full Time","Female","827","0.567964467514536","0.541282096722548","0.594646838306524","1"
"Main Tenant","1990","Part Time","Male","299","0.533616445656038","0.490235156704357","0.576997734607719","1"
"Main Tenant","1990","Part Time","Female","666","0.495410114740526","0.467411809004888","0.523408420476164","1"
"Main Tenant","1990","Not Working","Male","551","0.478628791849283","0.448655198327228","0.508602385371338","1"
"Main Tenant","1990","Not Working","Female","1242","0.522452048385925","0.501940287621064","0.542963809150787","1"
"Nursing Home/Retirement Community","1990","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1990","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1990","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1990","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1990","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1990","Not Working","Female","","","","","4"
"Owner","1990","Full Time","Male","1303","0.494968645357349","0.477408148398197","0.512529142316501","3"
"Owner","1990","Full Time","Female","450","0.385790492988327","0.359570164621108","0.412010821355547","3"
"Owner","1990","Part Time","Male","195","0.424025408919776","0.381050611488181","0.467000206351371","3"
"Owner","1990","Part Time","Female","533","0.479291459002499","0.451315998620757","0.507266919384241","3"
"Owner","1990","Not Working","Male","491","0.492703761701953","0.462705945399754","0.522701578004151","3"
"Owner","1990","Not Working","Female","999","0.456139137447763","0.4356858179141","0.476592456981426","3"
"Sub-Tenant","1990","Full Time","Male","62","0.0201128171091905","0.0151820637681494","0.0250435704502316","2"
"Sub-Tenant","1990","Full Time","Female","47","0.0462450394971371","0.0349326309648017","0.0575574480294726","2"
"Sub-Tenant","1990","Part Time","Male","14","","","","2"
"Sub-Tenant","1990","Part Time","Female","25","","","","2"
"Sub-Tenant","1990","Not Working","Male","23","","","","2"
"Sub-Tenant","1990","Not Working","Female","36","0.0207828114349947","0.0149246289791774","0.026640993890812","2"
"Tenant","1990","Full Time","Male","1","","","","5"
"Tenant","1990","Full Time","Female","","","","","5"
"Tenant","1990","Part Time","Male","","","","","5"
"Tenant","1990","Part Time","Female","1","","","","5"
"Tenant","1990","Not Working","Male","2","","","","5"
"Tenant","1990","Not Working","Female","1","","","","5"
"Main Tenant","1991","Full Time","Male","1760","0.497955957654571","0.480295188176861","0.51561672713228","1"
"Main Tenant","1991","Full Time","Female","880","0.605624279942653","0.579535133610233","0.631713426275072","1"
"Main Tenant","1991","Part Time","Male","298","0.49780156896113","0.455314371884175","0.540288766038086","1"
"Main Tenant","1991","Part Time","Female","661","0.48726122193334","0.459293646592898","0.515228797273782","1"
"Main Tenant","1991","Not Working","Male","517","0.459272042209623","0.428999621999881","0.489544462419366","1"
"Main Tenant","1991","Not Working","Female","1194","0.511591048202938","0.490816385777131","0.532365710628745","1"
"Nursing Home/Retirement Community","1991","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1991","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1991","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1991","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1991","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1991","Not Working","Female","","","","","4"
"Owner","1991","Full Time","Female","432","0.34966985929983","0.324213330396001","0.375126388203658","3"
"Owner","1991","Full Time","Male","1255","0.480884376773067","0.463236371283219","0.498532382262916","3"
"Owner","1991","Part Time","Female","539","0.493620856578695","0.465646476885508","0.521595236271882","3"
"Owner","1991","Part Time","Male","220","0.466345581600101","0.423954327701978","0.508736835498224","3"
"Owner","1991","Not Working","Male","497","0.512994554995989","0.482631461810111","0.543357648181866","3"
"Owner","1991","Not Working","Female","993","0.465316740608339","0.44458654826659","0.486046932950087","3"
"Sub-Tenant","1991","Full Time","Male","63","0.0211000859240585","0.0160237014907116","0.0261764703574055","2"
"Sub-Tenant","1991","Full Time","Female","36","0.0447058607575179","0.0336738689120514","0.0557378526029844","2"
"Sub-Tenant","1991","Part Time","Male","14","","","","2"
"Sub-Tenant","1991","Part Time","Female","26","","","","2"
"Sub-Tenant","1991","Not Working","Female","35","0.0200408940132135","0.0142166009206477","0.0258651871057793","2"
"Sub-Tenant","1991","Not Working","Male","27","","","","2"
"Tenant","1991","Full Time","Male","1","","","","5"
"Tenant","1991","Full Time","Female","","","","","5"
"Tenant","1991","Part Time","Male","","","","","5"
"Tenant","1991","Part Time","Female","1","","","","5"
"Tenant","1991","Not Working","Male","","","","","5"
"Tenant","1991","Not Working","Female","2","","","","5"
"Main Tenant","1992","Full Time","Male","2556","0.526946678401132","0.512096161675616","0.541797195126649","1"
"Main Tenant","1992","Full Time","Female","1500","0.628986482179869","0.609083354149567","0.648889610210171","1"
"Main Tenant","1992","Part Time","Male","456","0.52805488014692","0.492885647646048","0.563224112647792","1"
"Main Tenant","1992","Part Time","Female","983","0.510275792156548","0.486760439315232","0.533791144997865","1"
"Main Tenant","1992","Not Working","Female","1619","0.544812209209226","0.526690759223523","0.56293365919493","1"
"Main Tenant","1992","Not Working","Male","740","0.494878798449995","0.468432795300797","0.521324801599193","1"
"Nursing Home/Retirement Community","1992","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1992","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1992","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1992","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1992","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1992","Not Working","Female","","","","","4"
"Owner","1992","Full Time","Female","694","0.334447668474005","0.315009246530303","0.353886090417707","3"
"Owner","1992","Full Time","Male","1674","0.445459296354629","0.430675910601546","0.460242682107711","3"
"Owner","1992","Part Time","Male","287","0.415000812836526","0.380288806558274","0.449712819114778","3"
"Owner","1992","Part Time","Female","707","0.460935173913651","0.43748675019414","0.484383597633162","3"
"Owner","1992","Not Working","Male","610","0.48265796999888","0.456226492238593","0.509089447759166","3"
"Owner","1992","Not Working","Female","1222","0.430279632268107","0.412262714598891","0.448296549937323","3"
"Sub-Tenant","1992","Full Time","Male","110","0.0269334433059098","0.022118176070405","0.0317487105414146","2"
"Sub-Tenant","1992","Full Time","Female","69","0.0365658493461262","0.0288327308476053","0.044298967844647","2"
"Sub-Tenant","1992","Part Time","Male","31","0.0569443070165538","0.0406186210882858","0.0732699929448219","2"
"Sub-Tenant","1992","Part Time","Female","44","0.0266841945159209","0.0191031828066537","0.0342652062251881","2"
"Sub-Tenant","1992","Not Working","Male","22","","","","2"
"Sub-Tenant","1992","Not Working","Female","57","0.0224123979647765","0.0170260273537822","0.0277987685757708","2"
"Tenant","1992","Full Time","Male","2","","","","5"
"Tenant","1992","Full Time","Female","","","","","5"
"Tenant","1992","Part Time","Male","","","","","5"
"Tenant","1992","Part Time","Female","2","","","","5"
"Tenant","1992","Not Working","Male","1","","","","5"
"Tenant","1992","Not Working","Female","3","","","","5"
"Main Tenant","1993","Full Time","Male","2417","0.522527802273001","0.507330979859276","0.537724624686726","1"
"Main Tenant","1993","Full Time","Female","1373","0.611223609827575","0.590468137790955","0.631979081864195","1"
"Main Tenant","1993","Part Time","Male","468","0.564967744601237","0.529996426863105","0.59993906233937","1"
"Main Tenant","1993","Part Time","Female","924","0.485375807415023","0.46156182251141","0.509189792318637","1"
"Main Tenant","1993","Not Working","Male","799","0.488476027398977","0.46292290077515","0.514029154022804","1"
"Main Tenant","1993","Not Working","Female","1712","0.545266065345044","0.527363857047933","0.563168273642154","1"
"Nursing Home/Retirement Community","1993","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1993","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1993","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1993","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1993","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1993","Not Working","Female","","","","","4"
"Owner","1993","Full Time","Male","1618","0.448763673838289","0.43363148317008","0.463895864506498","3"
"Owner","1993","Full Time","Female","683","0.355513234886027","0.335132609757121","0.375893860014934","3"
"Owner","1993","Part Time","Male","277","0.389690446932166","0.355289182579369","0.424091711284962","3"
"Owner","1993","Part Time","Female","718","0.483773876991239","0.45996224799655","0.507585505985928","3"
"Owner","1993","Not Working","Male","631","0.474519471986574","0.448992767149528","0.500046176823621","3"
"Owner","1993","Not Working","Female","1201","0.429642856903292","0.411845687724256","0.447440026082328","3"
"Sub-Tenant","1993","Full Time","Male","115","0.02870852388871","0.0236280495414639","0.033788998235956","2"
"Sub-Tenant","1993","Part Time","Male","27","","","","2"
"Sub-Tenant","1993","Full Time","Female","63","0.0332631552863976","0.02562798953148","0.0408983210413153","2"
"Sub-Tenant","1993","Not Working","Male","40","0.0370045006144488","0.0273544669989507","0.046654534229947","2"
"Sub-Tenant","1993","Part Time","Female","50","0.0308503155937377","0.0226113413236033","0.0390892898638721","2"
"Sub-Tenant","1993","Not Working","Female","59","0.0250910777516642","0.0194681128962635","0.0307140426070648","2"
"Tenant","1993","Full Time","Male","","","","","5"
"Tenant","1993","Full Time","Female","","","","","5"
"Tenant","1993","Part Time","Male","","","","","5"
"Tenant","1993","Part Time","Female","","","","","5"
"Tenant","1993","Not Working","Male","","","","","5"
"Tenant","1993","Not Working","Female","","","","","5"
"Main Tenant","1994","Full Time","Male","2269","0.516607726653017","0.501061040105211","0.532154413200822","1"
"Main Tenant","1994","Full Time","Female","1303","0.621419414873787","0.600236294416463","0.642602535331111","1"
"Main Tenant","1994","Part Time","Male","448","0.576605976306894","0.540714251201593","0.612497701412195","1"
"Main Tenant","1994","Part Time","Female","896","0.497151308887209","0.472960145423071","0.521342472351346","1"
"Main Tenant","1994","Not Working","Male","833","0.487897143330208","0.462932206729557","0.512862079930859","1"
"Main Tenant","1994","Not Working","Female","1740","0.539757450544881","0.522060250087589","0.557454651002174","1"
"Nursing Home/Retirement Community","1994","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1994","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1994","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1994","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1994","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1994","Not Working","Female","","","","","4"
"Owner","1994","Full Time","Male","1607","0.462326593749804","0.446815541616653","0.477837645882954","3"
"Owner","1994","Full Time","Female","646","0.334622948798217","0.314015220113232","0.355230677483203","3"
"Owner","1994","Part Time","Male","244","0.376397220009822","0.341203949617589","0.411590490402055","3"
"Owner","1994","Part Time","Female","704","0.481140159380445","0.456965818970654","0.505314499790235","3"
"Owner","1994","Not Working","Male","675","0.477729815024972","0.452782344355973","0.502677285693971","3"
"Owner","1994","Not Working","Female","1238","0.433708533491962","0.416111848637528","0.451305218346397","3"
"Sub-Tenant","1994","Full Time","Female","65","0.0439576363279955","0.0350045227852388","0.0529107498707521","2"
"Sub-Tenant","1994","Full Time","Male","93","0.0210656795971795","0.0165981024976504","0.0255332566967087","2"
"Sub-Tenant","1994","Part Time","Male","36","0.0469968036832839","0.0316236226660642","0.0623699847005035","2"
"Sub-Tenant","1994","Part Time","Female","41","0.0217085317323465","0.0146576544037758","0.0287594090609172","2"
"Sub-Tenant","1994","Not Working","Male","32","0.03437304164482","0.0252738795096294","0.0434722037800106","2"
"Sub-Tenant","1994","Not Working","Female","69","0.0265340159631562","0.0208274643817193","0.0322405675445931","2"
"Tenant","1994","Full Time","Male","","","","","5"
"Tenant","1994","Full Time","Female","","","","","5"
"Tenant","1994","Part Time","Male","","","","","5"
"Tenant","1994","Part Time","Female","","","","","5"
"Tenant","1994","Not Working","Male","","","","","5"
"Tenant","1994","Not Working","Female","","","","","5"
"Main Tenant","1995","Full Time","Male","2251","0.500982139381406","0.485377677222215","0.516586601540597","1"
"Main Tenant","1995","Full Time","Female","1230","0.592704838795398","0.571030374188296","0.6143793034025","1"
"Main Tenant","1995","Part Time","Male","541","0.586575681955742","0.553624994215143","0.619526369696341","1"
"Main Tenant","1995","Part Time","Female","985","0.498014369955079","0.474628560060739","0.52140017984942","1"
"Main Tenant","1995","Not Working","Female","1871","0.527324339817926","0.510026429928552","0.544622249707301","1"
"Main Tenant","1995","Not Working","Male","922","0.49470402622028","0.470491685114335","0.518916367326224","1"
"Nursing Home/Retirement Community","1995","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1995","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1995","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1995","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1995","Not Working","Female","","","","","4"
"Nursing Home/Retirement Community","1995","Not Working","Male","","","","","4"
"Owner","1995","Full Time","Female","664","0.35328938233431","0.332203353056398","0.374375411612222","3"
"Owner","1995","Full Time","Male","1597","0.473475578176734","0.457893058306409","0.48905809804706","3"
"Owner","1995","Part Time","Male","287","0.37627357789519","0.343858029029126","0.408689126761255","3"
"Owner","1995","Part Time","Female","731","0.477248508650825","0.45388673749296","0.50061027980869","3"
"Owner","1995","Not Working","Male","674","0.470362615041326","0.446191490463635","0.494533739619017","3"
"Owner","1995","Not Working","Female","1235","0.438566176427016","0.421373639900859","0.455758712953172","3"
"Sub-Tenant","1995","Full Time","Female","80","0.0540057788702918","0.0440347752147384","0.0639767825258452","2"
"Sub-Tenant","1995","Full Time","Male","96","0.0255422824418592","0.0206185891817216","0.0304659757019969","2"
"Sub-Tenant","1995","Part Time","Male","30","0.0371507401490677","0.0244955891098618","0.0498058911882736","2"
"Sub-Tenant","1995","Part Time","Female","40","0.0247371213940958","0.0174723615454102","0.0320018812427815","2"
"Sub-Tenant","1995","Not Working","Male","42","0.0349333587383946","0.026041552996327","0.0438251644804621","2"
"Sub-Tenant","1995","Not Working","Female","94","0.0341094837550579","0.0278205846677227","0.0403983828423931","2"
"Tenant","1995","Full Time","Male","","","","","5"
"Tenant","1995","Full Time","Female","","","","","5"
