"hlf0001_h","year","n","percent","lower_confidence","upper_confidence"
"Owner","1990","5406","0.432601658629208","0.424381374048666","0.44082194320975"
"Nursing Home/Retirement Community","1990","","","",""
"Tenant","1990","11","","",""
"Main Tenant","1991","7930","0.538235329936405","0.529872938405701","0.54659772146711"
"Sub-Tenant","1991","407","0.0312192726930189","0.028302126584815","0.0341364188012228"
"Owner","1991","5306","0.429465156273035","0.421162078625017","0.437768233921053"
"Nursing Home/Retirement Community","1991","","","",""
"Tenant","1991","10","","",""
"Main Tenant","1992","7854","0.540190898913515","0.531749072196609","0.548632725630421"
"Sub-Tenant","1992","333","0.0280887540662632","0.0252900720203319","0.0308874361121945"
"Owner","1992","5194","0.43049152888937","0.422104533208273","0.438878524570467"
"Nursing Home/Retirement Community","1992","","","",""
"Tenant","1992","8","","",""
"Main Tenant","1993","7693","0.533955034319574","0.525437006927201","0.542473061711946"
"Sub-Tenant","1993","354","0.0306625968972905","0.0277187533097117","0.0336064404848693"
"Owner","1993","5128","0.435382368783136","0.426916229368607","0.443848508197665"
"Nursing Home/Retirement Community","1993","","","",""
"Tenant","1993","","","",""
"Main Tenant","1994","7489","0.533588657422866","0.524992871698563","0.542184443147169"
"Sub-Tenant","1994","336","0.0289020933948532","0.0260154449649976","0.0317887418247088"
"Owner","1994","5114","0.437509249182281","0.428961553601216","0.446056944763345"
"Nursing Home/Retirement Community","1994","","","",""
"Tenant","1994","","","",""
"Main Tenant","1995","7800","0.523936436607647","0.515470906474462","0.532401966740832"
"Sub-Tenant","1995","382","0.0334606547741549","0.0304123430682751","0.0365089664800346"
"Owner","1995","5188","0.442602908618198","0.434183688420687","0.45102212881571"
"Nursing Home/Retirement Community","1995","","","",""
"Tenant","1995","","","",""
"Main Tenant","1996","7516","0.524318756328471","0.515774895891354","0.532862616765588"
"Sub-Tenant","1996","388","0.0312220897437526","0.0282467159561948","0.0341974635313105"
"Owner","1996","5221","0.444459153927776","0.435958108038563","0.45296019981699"
"Nursing Home/Retirement Community","1996","","","",""
"Tenant","1996","","","",""
"Main Tenant","1997","7241","0.518603876607505","0.509986599487278","0.527221153727733"
"Sub-Tenant","1997","345","0.0297987353086093","0.0268662846039505","0.0327311860132681"
"Owner","1997","5329","0.451597388083886","0.443014640232795","0.460180135934977"
"Nursing Home/Retirement Community","1997","","","",""
"Tenant","1997","","","",""
"Main Tenant","1998","7668","0.504231811152845","0.496044808908084","0.512418813397606"
"Sub-Tenant","1998","418","0.0322831249420717","0.0293888992048745","0.0351773506792688"
"Owner","1998","6222","0.460605142804036","0.452443299500925","0.468766986107146"
"Nursing Home/Retirement Community","1998","","","",""
"Tenant","1998","19","","",""
"Main Tenant","1999","7313","0.505599219285518","0.49724789335049","0.513950545220545"
"Sub-Tenant","1999","329","0.0260417676477381","0.0233815445583066","0.0287019907371696"
"Owner","1999","6100","0.464552457599961","0.456221623076108","0.472883292123815"
"Nursing Home/Retirement Community","1999","26","","",""
"Tenant","1999","","","",""
"Main Tenant","2000","11835","0.509555509969093","0.503265668850318","0.515845351087868"
"Sub-Tenant","2000","350","0.0169866336219816","0.0153607765446212","0.0186124906993421"
"Owner","2000","12048","0.470840886508138","0.464560603440959","0.477121169575317"
"Nursing Home/Retirement Community","2000","33","0.00261696990078713","0.00197416475380378","0.00325977504777047"
"Tenant","2000","","","",""
"Main Tenant","2001","10676","0.505922078471959","0.499324943819752","0.512519213124166"
"Sub-Tenant","2001","329","0.0179990826313382","0.0162448105949439","0.0197533546677325"
"Owner","2001","11020","0.472824521802119","0.466236676310732","0.479412367293505"
"Nursing Home/Retirement Community","2001","38","0.00325431709458396","0.00250280162641045","0.00400583256275748"
"Tenant","2001","","","",""
"Main Tenant","2002","10485","0.502718066372212","0.496278293794556","0.509157838949869"
"Sub-Tenant","2002","350","0.017835774881842","0.0161310865448805","0.0195404632188034"
"Owner","2002","12288","0.476514978688761","0.470082218648272","0.48294773872925"
"Nursing Home/Retirement Community","2002","34","0.00293118005718495","0.00223488909281293","0.00362747102155697"
"Tenant","2002","","","",""
"Main Tenant","2003","9955","0.499293545220879","0.492730665499966","0.505856424941793"
"Sub-Tenant","2003","400","0.0227745241721512","0.0208163698288129","0.0247326785154895"
"Owner","2003","11908","0.475073478523624","0.468518752781053","0.481628204266194"
"Nursing Home/Retirement Community","2003","34","0.00285845208334596","0.00215769299570194","0.00355921117098999"
"Tenant","2003","","","",""
"Main Tenant","2004","9683","0.504971397920916","0.49832422789971","0.511618567942122"
"Sub-Tenant","2004","363","0.0214692795146337","0.0195422684049698","0.0233962906242976"
"Owner","2004","11647","0.470054208920177","0.463418643312353","0.476689774528002"
"Nursing Home/Retirement Community","2004","40","0.00350511364427293","0.00271937730361263","0.00429084998493323"
"Tenant","2004","","","",""
"Main Tenant","2005","9252","0.512600009224726","0.505809010020795","0.519391008428657"
"Sub-Tenant","2005","391","0.0250662051766048","0.0229423080665958","0.0271901022866137"
"Owner","2005","11129","0.458885692584047","0.452115541141823","0.465655844026272"
"Nursing Home/Retirement Community","2005","39","0.00344809301462202","0.00265167501831168","0.00424451101093236"
"Tenant","2005","","","",""
"Main Tenant","2006","9806","0.516459253076596","0.509911951842549","0.523006554310644"
"Sub-Tenant","2006","369","0.0219582599625082","0.0200382414820311","0.0238782784429853"
"Owner","2006","12156","0.458353028806752","0.451824941333411","0.464881116280094"
"Nursing Home/Retirement Community","2006","48","0.00322945815414313","0.0024861135711717","0.00397280273711456"
"Tenant","2006","","","",""
"Main Tenant","2007","9157","0.507934086242267","0.50116677770127","0.514701394783265"
"Sub-Tenant","2007","349","0.0233667398410411","0.0213218709191268","0.0254116087629554"
"Owner","2007","11407","0.464744537250412","0.457993222451661","0.471495852049163"
"Nursing Home/Retirement Community","2007","52","0.0039546366662796","0.00310507773274566","0.00480419559981354"
"Tenant","2007","","","",""
"Main Tenant","2008","8460","0.498218452494133","0.491233931965835","0.505202973022431"
"Sub-Tenant","2008","334","0.0236008545803642","0.021480312425132","0.0257213967355965"
"Owner","2008","10843","0.474095498615004","0.467120313937928","0.481070683292079"
"Nursing Home/Retirement Community","2008","49","0.00408519431049896","0.00319417564029314","0.00497621298070478"
"Tenant","2008","","","",""
"Main Tenant","2009","7833","0.493285567642272","0.486054421885725","0.500516713398819"
"Sub-Tenant","2009","347","0.0242303336244937","0.0220063600252432","0.0264543072237442"
"Owner","2009","10141","0.478925149076288","0.471699778071612","0.486150520080963"
"Nursing Home/Retirement Community","2009","42","0.00355894965694681","0.00269763269137557","0.00442026662251804"
"Tenant","2009","","","",""
"Main Tenant","2010","11608","0.487822492400868","0.481554770150736","0.494090214651001"
"Sub-Tenant","2010","375","0.0219764630323996","0.0201381387116547","0.0238147873531444"
"Owner","2010","12401","0.486318295699667","0.480051061353384","0.49258553004595"
"Nursing Home/Retirement Community","2010","48","0.0038827488670655","0.00310293049497749","0.00466256723915352"
"Tenant","2010","","","",""
"Main Tenant","2011","13600","0.482601617101655","0.476851936454283","0.488351297749028"
"Sub-Tenant","2011","369","0.0191264400339739","0.0175504248796455","0.0207024551883024"
"Owner","2011","14987","0.494787330861331","0.489034478807747","0.500540182914915"
"Nursing Home/Retirement Community","2011","59","0.00348461200304014","0.00280657089895565","0.00416265310712462"
"Tenant","2011","","","",""
"Main Tenant","2012","13242","0.484976454750549","0.479151226141358","0.490801683359741"
"Sub-Tenant","2012","357","0.0188156712950553","0.0172319663791019","0.0203993762110087"
"Owner","2012","14634","0.493788775729985","0.487961365437131","0.49961618602284"
"Nursing Home/Retirement Community","2012","43","0.00241909822441003","0.00184651328725162","0.00299168316156844"
"Tenant","2012","","","",""
"Main Tenant","2013","16006","0.481910053654795","0.476375908773716","0.487444198535873"
"Sub-Tenant","2013","389","0.0167340854982445","0.0153133885983765","0.0181547823981126"
"Owner","2013","14873","0.49867522468094","0.493137473622695","0.504212975739185"
"Nursing Home/Retirement Community","2013","48","0.00268063616602115","0.00210797067816639","0.0032533016538759"
"Tenant","2013","","","",""
"Main Tenant","2014","13855","0.486585128581108","0.480708223002448","0.492462034159769"
"Sub-Tenant","2014","352","0.0175956838410136","0.01604977713453","0.0191415905474971"
"Owner","2014","13534","0.493244100308257","0.487365615072762","0.499122585543752"
"Nursing Home/Retirement Community","2014","45","0.00257508726962098","0.00197919032730825","0.0031709842119337"
"Tenant","2014","","","",""
"Main Tenant","2015","14130","0.485968032132697","0.480062134367713","0.491873929897681"
"Sub-Tenant","2015","393","0.0176028496162924","0.0160489532682484","0.0191567459643365"
"Owner","2015","12941","0.493620871219505","0.487713127252832","0.499528615186179"
"Nursing Home/Retirement Community","2015","48","0.00280824703150489","0.00218293900563802","0.00343355505737176"
"Tenant","2015","","","",""
"Main Tenant","2016","12482","0.482272875016354","0.476073363369084","0.488472386663624"
"Sub-Tenant","2016","357","0.020495350816849","0.0187374614805361","0.022253240153162"
"Owner","2016","12071","0.493906897039392","0.487703945941582","0.500109848137202"
"Nursing Home/Retirement Community","2016","46","0.00332487712740521","0.00261066830286686","0.00403908595194355"
"Tenant","2016","","","",""
"Main Tenant","2017","15984","0.481509860126519","0.475859661155708","0.487160059097331"
"Sub-Tenant","2017","593","0.0226806692218959","0.0209970763619712","0.0243642620818207"
"Owner","2017","13407","0.492115641905344","0.48646227852014","0.497769005290547"
"Nursing Home/Retirement Community","2017","57","0.00369382874624123","0.00300782626434139","0.00437983122814106"
"Tenant","2017","","","",""
"Main Tenant","2018","16700","0.482912175818","0.477250659899315","0.488573691736686"
"Sub-Tenant","2018","497","0.0182488677081319","0.0167323930191001","0.0197653423971638"
"Owner","2018","12676","0.495430647309245","0.489766058793684","0.501095235824807"
"Nursing Home/Retirement Community","2018","54","0.0034083091646225","0.00274800411074328","0.00406861421850172"
"Tenant","2018","","","",""
"Main Tenant","2019","15426","0.477473359367784","0.471796713556369","0.483150005179198"
"Sub-Tenant","2019","589","0.0197488794568535","0.0181676208239093","0.0213301380897977"
"Owner","2019","13666","0.498790737198899","0.493108337998449","0.50447313639935"
"Nursing Home/Retirement Community","2019","61","0.00398702397646339","0.00327084770415519","0.00470320024877159"
"Tenant","2019","","","",""
