"hlf0001_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Sub-Tenant","1984","direct migration background","higher vocational","2","","",""
"Sub-Tenant","1984","direct migration background","higher education","1","","",""
"Sub-Tenant","1984","indirect migration background","in school","","","",""
"Sub-Tenant","1984","indirect migration background","inadequately","","","",""
"Sub-Tenant","1984","indirect migration background","general elemantary","1","","",""
"Sub-Tenant","1984","indirect migration background","middle vocational","3","","",""
"Sub-Tenant","1984","indirect migration background","vocational + Abi","","","",""
"Sub-Tenant","1984","indirect migration background","higher vocational","","","",""
"Sub-Tenant","1984","indirect migration background","higher education","","","",""
"Owner","1984","no migration background","in school","96","0.614012322339574","0.538103052996679","0.68992159168247"
"Owner","1984","no migration background","inadequately","28","","",""
"Owner","1984","no migration background","general elemantary","1254","0.523535046179218","0.503316140425808","0.543753951932629"
"Owner","1984","no migration background","middle vocational","2210","0.47013749336497","0.455773448351145","0.484501538378795"
"Owner","1984","no migration background","vocational + Abi","78","0.426256640529783","0.354994864527605","0.497518416531961"
"Owner","1984","no migration background","higher vocational","325","0.540237163368699","0.500491588607176","0.579982738130222"
"Owner","1984","no migration background","higher education","337","0.510940967237253","0.473033404275252","0.548848530199253"
"Owner","1984","direct migration background","in school","2","","",""
"Owner","1984","direct migration background","inadequately","28","","",""
"Owner","1984","direct migration background","general elemantary","88","0.185206119732802","0.161941020928192","0.208471218537412"
"Owner","1984","direct migration background","middle vocational","131","0.265930597564595","0.238987306295143","0.292873888834047"
"Owner","1984","direct migration background","vocational + Abi","11","","",""
"Owner","1984","direct migration background","higher vocational","19","","",""
"Owner","1984","direct migration background","higher education","33","0.393154845841886","0.306480826558408","0.479828865125364"
"Owner","1984","indirect migration background","in school","4","","",""
"Owner","1984","indirect migration background","inadequately","","","",""
"Owner","1984","indirect migration background","general elemantary","13","","",""
"Owner","1984","indirect migration background","middle vocational","14","","",""
"Owner","1984","indirect migration background","vocational + Abi","","","",""
"Owner","1984","indirect migration background","higher vocational","3","","",""
"Owner","1984","indirect migration background","higher education","","","",""
"Nursing Home/Retirement Community","1984","no migration background","in school","","","",""
"Nursing Home/Retirement Community","1984","no migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1984","no migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1984","no migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1984","no migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1984","no migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1984","no migration background","higher education","","","",""
"Nursing Home/Retirement Community","1984","direct migration background","in school","","","",""
"Nursing Home/Retirement Community","1984","direct migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1984","direct migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1984","direct migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1984","direct migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1984","direct migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1984","direct migration background","higher education","","","",""
"Nursing Home/Retirement Community","1984","indirect migration background","in school","","","",""
"Nursing Home/Retirement Community","1984","indirect migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1984","indirect migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1984","indirect migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1984","indirect migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1984","indirect migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1984","indirect migration background","higher education","","","",""
"Tenant","1984","no migration background","in school","1","","",""
"Tenant","1984","no migration background","inadequately","","","",""
"Tenant","1984","no migration background","general elemantary","5","","",""
"Tenant","1984","no migration background","middle vocational","6","","",""
"Tenant","1984","no migration background","vocational + Abi","1","","",""
"Tenant","1984","no migration background","higher vocational","1","","",""
"Tenant","1984","no migration background","higher education","1","","",""
"Tenant","1984","direct migration background","in school","","","",""
"Tenant","1984","direct migration background","inadequately","6","","",""
"Tenant","1984","direct migration background","general elemantary","3","","",""
"Tenant","1984","direct migration background","middle vocational","7","","",""
"Tenant","1984","direct migration background","vocational + Abi","1","","",""
"Tenant","1984","direct migration background","higher vocational","","","",""
"Tenant","1984","direct migration background","higher education","","","",""
"Tenant","1984","indirect migration background","in school","","","",""
"Tenant","1984","indirect migration background","inadequately","","","",""
"Tenant","1984","indirect migration background","general elemantary","","","",""
"Tenant","1984","indirect migration background","middle vocational","","","",""
"Tenant","1984","indirect migration background","vocational + Abi","","","",""
"Tenant","1984","indirect migration background","higher vocational","","","",""
"Tenant","1984","indirect migration background","higher education","","","",""
"Main Tenant","1985","no migration background","in school","58","0.361275991137202","0.285407071167351","0.437144911107053"
"Main Tenant","1985","no migration background","inadequately","50","0.600209405213916","0.495454074390628","0.704964736037204"
"Main Tenant","1985","no migration background","general elemantary","945","0.472136257808104","0.450733509670967","0.49353900594524"
"Main Tenant","1985","no migration background","middle vocational","2100","0.515625716933816","0.500542147948212","0.53070928591942"
"Main Tenant","1985","no migration background","vocational + Abi","101","0.597833497813918","0.524977294298591","0.670689701329245"
"Main Tenant","1985","no migration background","higher vocational","261","0.472650183837538","0.431592614195012","0.513707753480064"
"Main Tenant","1985","no migration background","higher education","309","0.482152688007648","0.443470392747904","0.520834983267392"
"Main Tenant","1985","direct migration background","in school","18","","",""
"Main Tenant","1985","direct migration background","inadequately","707","0.881513840529917","0.858537033650036","0.904490647409797"
"Main Tenant","1985","direct migration background","general elemantary","820","0.781159138947517","0.75445661935578","0.807861658539255"
"Main Tenant","1985","direct migration background","middle vocational","755","0.689009425657278","0.658900770229219","0.719118081085338"
"Main Tenant","1985","direct migration background","vocational + Abi","86","0.795610852785777","0.718109249572748","0.873112455998806"
"Main Tenant","1985","direct migration background","higher vocational","27","","",""
"Main Tenant","1985","direct migration background","higher education","75","0.573610404406144","0.481608162331998","0.66561264648029"
"Main Tenant","1985","indirect migration background","in school","9","","",""
"Main Tenant","1985","indirect migration background","inadequately","4","","",""
"Main Tenant","1985","indirect migration background","general elemantary","47","0.655168756259522","0.534900127498876","0.775437385020169"
"Main Tenant","1985","indirect migration background","middle vocational","44","0.780433358112896","0.672969666578724","0.887897049647067"
"Main Tenant","1985","indirect migration background","vocational + Abi","","","",""
"Main Tenant","1985","indirect migration background","higher vocational","1","","",""
"Main Tenant","1985","indirect migration background","higher education","3","","",""
"Sub-Tenant","1985","no migration background","in school","","","",""
"Sub-Tenant","1985","no migration background","inadequately","","","",""
"Sub-Tenant","1985","no migration background","general elemantary","22","","",""
"Sub-Tenant","1985","no migration background","middle vocational","54","0.0135935652566339","0.0100986155777516","0.0170885149355163"
"Sub-Tenant","1985","no migration background","vocational + Abi","3","","",""
"Sub-Tenant","1985","no migration background","higher vocational","6","","",""
"Sub-Tenant","1985","no migration background","higher education","4","","",""
"Sub-Tenant","1985","direct migration background","in school","","","",""
"Sub-Tenant","1985","direct migration background","inadequately","21","","",""
"Sub-Tenant","1985","direct migration background","general elemantary","16","","",""
"Sub-Tenant","1985","direct migration background","middle vocational","21","","",""
"Sub-Tenant","1985","direct migration background","vocational + Abi","5","","",""
"Sub-Tenant","1985","direct migration background","higher vocational","1","","",""
"Sub-Tenant","1985","direct migration background","higher education","2","","",""
"Sub-Tenant","1985","indirect migration background","in school","","","",""
"Sub-Tenant","1985","indirect migration background","inadequately","","","",""
"Sub-Tenant","1985","indirect migration background","general elemantary","","","",""
"Sub-Tenant","1985","indirect migration background","middle vocational","","","",""
"Sub-Tenant","1985","indirect migration background","vocational + Abi","","","",""
"Sub-Tenant","1985","indirect migration background","higher vocational","","","",""
"Sub-Tenant","1985","indirect migration background","higher education","","","",""
"Owner","1985","no migration background","in school","96","0.638724008862798","0.562855088892947","0.714592928832649"
"Owner","1985","no migration background","inadequately","34","0.399790594786084","0.295035263962796","0.504545925609372"
"Owner","1985","no migration background","general elemantary","1123","0.516078758442766","0.494653785463455","0.537503731422077"
"Owner","1985","no migration background","middle vocational","2063","0.47078071780955","0.455715568038928","0.485845867580172"
"Owner","1985","no migration background","vocational + Abi","70","0.384771915188419","0.312479418185313","0.457064412191524"
"Owner","1985","no migration background","higher vocational","301","0.515906995093616","0.474808678345081","0.55700531184215"
"Owner","1985","no migration background","higher education","328","0.511398814688327","0.472701913108474","0.550095716268181"
"Owner","1985","direct migration background","in school","4","","",""
"Owner","1985","direct migration background","inadequately","32","0.0654847984274753","0.0478972734358516","0.0830723234190991"
"Owner","1985","direct migration background","general elemantary","85","0.207047723646992","0.180879331996203","0.233216115297781"
"Owner","1985","direct migration background","middle vocational","132","0.286057014491508","0.256662706991172","0.315451321991845"
"Owner","1985","direct migration background","vocational + Abi","13","","",""
"Owner","1985","direct migration background","higher vocational","20","","",""
"Owner","1985","direct migration background","higher education","34","0.410059994475139","0.318561441400663","0.501558547549616"
"Owner","1985","indirect migration background","in school","1","","",""
"Owner","1985","indirect migration background","inadequately","1","","",""
"Owner","1985","indirect migration background","general elemantary","13","","",""
"Owner","1985","indirect migration background","middle vocational","13","","",""
"Owner","1985","indirect migration background","vocational + Abi","","","",""
"Owner","1985","indirect migration background","higher vocational","3","","",""
"Owner","1985","indirect migration background","higher education","1","","",""
"Nursing Home/Retirement Community","1985","no migration background","in school","","","",""
"Nursing Home/Retirement Community","1985","no migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1985","no migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1985","no migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1985","no migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1985","no migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1985","no migration background","higher education","","","",""
"Nursing Home/Retirement Community","1985","direct migration background","in school","","","",""
"Nursing Home/Retirement Community","1985","direct migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1985","direct migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1985","direct migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1985","direct migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1985","direct migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1985","direct migration background","higher education","","","",""
"Nursing Home/Retirement Community","1985","indirect migration background","in school","","","",""
"Nursing Home/Retirement Community","1985","indirect migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1985","indirect migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1985","indirect migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1985","indirect migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1985","indirect migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1985","indirect migration background","higher education","","","",""
"Tenant","1985","no migration background","in school","","","",""
"Tenant","1985","no migration background","inadequately","","","",""
"Tenant","1985","no migration background","general elemantary","","","",""
"Tenant","1985","no migration background","middle vocational","","","",""
"Tenant","1985","no migration background","vocational + Abi","","","",""
"Tenant","1985","no migration background","higher vocational","","","",""
"Tenant","1985","no migration background","higher education","","","",""
"Tenant","1985","direct migration background","in school","","","",""
"Tenant","1985","direct migration background","inadequately","","","",""
"Tenant","1985","direct migration background","general elemantary","","","",""
"Tenant","1985","direct migration background","middle vocational","","","",""
"Tenant","1985","direct migration background","vocational + Abi","","","",""
"Tenant","1985","direct migration background","higher vocational","","","",""
"Tenant","1985","direct migration background","higher education","","","",""
"Tenant","1985","indirect migration background","in school","","","",""
"Tenant","1985","indirect migration background","inadequately","","","",""
"Tenant","1985","indirect migration background","general elemantary","","","",""
"Tenant","1985","indirect migration background","middle vocational","","","",""
"Tenant","1985","indirect migration background","vocational + Abi","","","",""
"Tenant","1985","indirect migration background","higher vocational","","","",""
"Tenant","1985","indirect migration background","higher education","","","",""
"Main Tenant","1986","no migration background","in school","48","0.341059948727745","0.264162846010406","0.417957051445084"
"Main Tenant","1986","no migration background","inadequately","48","0.591539564599942","0.487042154997895","0.696036974201988"
"Main Tenant","1986","no migration background","general elemantary","840","0.468676992392861","0.446448421465139","0.490905563320583"
"Main Tenant","1986","no migration background","middle vocational","1937","0.507020452198465","0.491660916891231","0.5223799875057"
"Main Tenant","1986","no migration background","vocational + Abi","95","0.572618991654803","0.498688371164247","0.64654961214536"
"Main Tenant","1986","no migration background","higher vocational","228","0.452206338375971","0.409713121728462","0.494699555023479"
"Main Tenant","1986","no migration background","higher education","295","0.469237983067518","0.430483239068334","0.507992727066702"
"Main Tenant","1986","direct migration background","in school","23","","",""
"Main Tenant","1986","direct migration background","inadequately","643","0.898189519932806","0.87572362592638","0.920655413939232"
"Main Tenant","1986","direct migration background","general elemantary","808","0.781948581128758","0.755309711219665","0.80858745103785"
"Main Tenant","1986","direct migration background","middle vocational","713","0.694618692143464","0.664154105387527","0.725083278899401"
"Main Tenant","1986","direct migration background","vocational + Abi","88","0.78665831362345","0.708300127942178","0.865016499304721"
"Main Tenant","1986","direct migration background","higher vocational","28","","",""
"Main Tenant","1986","direct migration background","higher education","75","0.613117758332789","0.52210273309935","0.704132783566229"
"Main Tenant","1986","indirect migration background","in school","8","","",""
"Main Tenant","1986","indirect migration background","inadequately","6","","",""
"Main Tenant","1986","indirect migration background","general elemantary","45","0.661697870617634","0.541981180795179","0.78141456044009"
"Main Tenant","1986","indirect migration background","middle vocational","46","0.778233479325756","0.674825228329744","0.881641730321769"
"Main Tenant","1986","indirect migration background","vocational + Abi","1","","",""
"Main Tenant","1986","indirect migration background","higher vocational","3","","",""
"Main Tenant","1986","indirect migration background","higher education","4","","",""
"Sub-Tenant","1986","no migration background","in school","2","","",""
"Sub-Tenant","1986","no migration background","inadequately","2","","",""
"Sub-Tenant","1986","no migration background","general elemantary","32","0.0179300280241353","0.0120190803506729","0.0238409756975977"
"Sub-Tenant","1986","no migration background","middle vocational","65","0.0167592723096154","0.0128155312235492","0.0207030133956817"
"Sub-Tenant","1986","no migration background","vocational + Abi","1","","",""
"Sub-Tenant","1986","no migration background","higher vocational","6","","",""
"Sub-Tenant","1986","no migration background","higher education","2","","",""
"Sub-Tenant","1986","direct migration background","in school","","","",""
"Sub-Tenant","1986","direct migration background","inadequately","22","","",""
"Sub-Tenant","1986","direct migration background","general elemantary","22","","",""
"Sub-Tenant","1986","direct migration background","middle vocational","33","0.02979098640544","0.0185455600118064","0.0410364127990737"
"Sub-Tenant","1986","direct migration background","vocational + Abi","5","","",""
"Sub-Tenant","1986","direct migration background","higher vocational","2","","",""
"Sub-Tenant","1986","direct migration background","higher education","1","","",""
"Sub-Tenant","1986","indirect migration background","in school","","","",""
"Sub-Tenant","1986","indirect migration background","inadequately","","","",""
"Sub-Tenant","1986","indirect migration background","general elemantary","","","",""
"Sub-Tenant","1986","indirect migration background","middle vocational","","","",""
"Sub-Tenant","1986","indirect migration background","vocational + Abi","","","",""
"Sub-Tenant","1986","indirect migration background","higher vocational","","","",""
"Sub-Tenant","1986","indirect migration background","higher education","","","",""
"Owner","1986","no migration background","in school","96","0.649153193142329","0.571741952800265","0.726564433484394"
"Owner","1986","no migration background","inadequately","35","0.366741634847881","0.264292285588703","0.46919098410706"
"Owner","1986","no migration background","general elemantary","1064","0.513392979583004","0.491128653066663","0.535657306099344"
"Owner","1986","no migration background","middle vocational","2068","0.476220275491919","0.460876608340712","0.491563942643126"
"Owner","1986","no migration background","vocational + Abi","76","0.411321721897706","0.337783403333078","0.484860040462333"
"Owner","1986","no migration background","higher vocational","293","0.534142824761284","0.491553782156511","0.576731867366058"
"Owner","1986","no migration background","higher education","340","0.526293878744561","0.487519304964692","0.565068452524429"
"Owner","1986","direct migration background","in school","8","","",""
"Owner","1986","direct migration background","inadequately","31","0.0459116075101844","0.0303627305537718","0.0614604844665969"
"Owner","1986","direct migration background","general elemantary","93","0.201820852235878","0.17592796695012","0.227713737521636"
"Owner","1986","direct migration background","middle vocational","132","0.275590321451096","0.246035731662624","0.305144911239569"
"Owner","1986","direct migration background","vocational + Abi","12","","",""
"Owner","1986","direct migration background","higher vocational","20","","",""
"Owner","1986","direct migration background","higher education","34","0.385924799435563","0.294951515644754","0.476898083226372"
"Owner","1986","indirect migration background","in school","3","","",""
"Owner","1986","indirect migration background","inadequately","1","","",""
"Owner","1986","indirect migration background","general elemantary","15","","",""
"Owner","1986","indirect migration background","middle vocational","16","","",""
"Owner","1986","indirect migration background","vocational + Abi","","","",""
"Owner","1986","indirect migration background","higher vocational","3","","",""
"Owner","1986","indirect migration background","higher education","","","",""
"Nursing Home/Retirement Community","1986","no migration background","in school","","","",""
"Nursing Home/Retirement Community","1986","no migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1986","no migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1986","no migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1986","no migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1986","no migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1986","no migration background","higher education","","","",""
"Nursing Home/Retirement Community","1986","direct migration background","in school","","","",""
"Nursing Home/Retirement Community","1986","direct migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1986","direct migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1986","direct migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1986","direct migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1986","direct migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1986","direct migration background","higher education","","","",""
"Nursing Home/Retirement Community","1986","indirect migration background","in school","","","",""
"Nursing Home/Retirement Community","1986","indirect migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1986","indirect migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1986","indirect migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1986","indirect migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1986","indirect migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1986","indirect migration background","higher education","","","",""
"Tenant","1986","no migration background","in school","","","",""
"Tenant","1986","no migration background","inadequately","","","",""
"Tenant","1986","no migration background","general elemantary","","","",""
"Tenant","1986","no migration background","middle vocational","","","",""
"Tenant","1986","no migration background","vocational + Abi","","","",""
"Tenant","1986","no migration background","higher vocational","","","",""
"Tenant","1986","no migration background","higher education","","","",""
"Tenant","1986","direct migration background","in school","","","",""
"Tenant","1986","direct migration background","inadequately","","","",""
"Tenant","1986","direct migration background","general elemantary","","","",""
"Tenant","1986","direct migration background","middle vocational","","","",""
"Tenant","1986","direct migration background","vocational + Abi","","","",""
"Tenant","1986","direct migration background","higher vocational","","","",""
"Tenant","1986","direct migration background","higher education","","","",""
"Tenant","1986","indirect migration background","in school","","","",""
"Tenant","1986","indirect migration background","inadequately","","","",""
"Tenant","1986","indirect migration background","general elemantary","","","",""
"Tenant","1986","indirect migration background","middle vocational","","","",""
"Tenant","1986","indirect migration background","vocational + Abi","","","",""
"Tenant","1986","indirect migration background","higher vocational","","","",""
"Tenant","1986","indirect migration background","higher education","","","",""
"Main Tenant","1987","no migration background","in school","61","0.40573767153962","0.327157272856856","0.484318070222384"
"Main Tenant","1987","no migration background","inadequately","45","0.644895006675302","0.536592039273272","0.753197974077332"
"Main Tenant","1987","no migration background","general elemantary","793","0.466502577394869","0.443751192906685","0.489253961883052"
"Main Tenant","1987","no migration background","middle vocational","1889","0.501828845881766","0.486412879130796","0.517244812632736"
"Main Tenant","1987","no migration background","vocational + Abi","89","0.567421317640941","0.493595133748287","0.641247501533596"
"Main Tenant","1987","no migration background","higher vocational","219","0.447608839318718","0.404325894723231","0.490891783914204"
"Main Tenant","1987","no migration background","higher education","292","0.458159286633863","0.419557965547274","0.496760607720453"
"Main Tenant","1987","direct migration background","in school","23","","",""
"Main Tenant","1987","direct migration background","inadequately","609","0.867672168457818","0.842128799617646","0.89321553729799"
"Main Tenant","1987","direct migration background","general elemantary","820","0.754712223295472","0.727280011062995","0.782144435527948"
"Main Tenant","1987","direct migration background","middle vocational","716","0.6974839239847","0.666907980103964","0.728059867865437"
"Main Tenant","1987","direct migration background","vocational + Abi","89","0.833016380350037","0.760637524883782","0.905395235816293"
"Main Tenant","1987","direct migration background","higher vocational","31","0.509755618483657","0.376422347268308","0.643088889699006"
"Main Tenant","1987","direct migration background","higher education","65","0.576752628132354","0.479915920104991","0.673589336159717"
"Main Tenant","1987","indirect migration background","in school","8","","",""
"Main Tenant","1987","indirect migration background","inadequately","7","","",""
"Main Tenant","1987","indirect migration background","general elemantary","48","0.588563128314234","0.467049232011575","0.710077024616893"
"Main Tenant","1987","indirect migration background","middle vocational","57","0.75870162257147","0.663132975998063","0.854270269144878"
"Main Tenant","1987","indirect migration background","vocational + Abi","1","","",""
"Main Tenant","1987","indirect migration background","higher vocational","5","","",""
"Main Tenant","1987","indirect migration background","higher education","3","","",""
"Sub-Tenant","1987","no migration background","in school","1","","",""
"Sub-Tenant","1987","no migration background","inadequately","2","","",""
"Sub-Tenant","1987","no migration background","general elemantary","34","0.0195692431441072","0.0132522541327794","0.025886232155435"
"Sub-Tenant","1987","no migration background","middle vocational","76","0.020391057593519","0.0160334320108936","0.0247486831761443"
"Sub-Tenant","1987","no migration background","vocational + Abi","4","","",""
"Sub-Tenant","1987","no migration background","higher vocational","7","","",""
"Sub-Tenant","1987","no migration background","higher education","13","","",""
"Sub-Tenant","1987","direct migration background","in school","","","",""
"Sub-Tenant","1987","direct migration background","inadequately","29","","",""
"Sub-Tenant","1987","direct migration background","general elemantary","17","","",""
"Sub-Tenant","1987","direct migration background","middle vocational","18","","",""
"Sub-Tenant","1987","direct migration background","vocational + Abi","2","","",""
"Sub-Tenant","1987","direct migration background","higher vocational","","","",""
"Sub-Tenant","1987","direct migration background","higher education","1","","",""
"Sub-Tenant","1987","indirect migration background","in school","","","",""
"Sub-Tenant","1987","indirect migration background","inadequately","","","",""
"Sub-Tenant","1987","indirect migration background","general elemantary","","","",""
"Sub-Tenant","1987","indirect migration background","middle vocational","2","","",""
"Sub-Tenant","1987","indirect migration background","vocational + Abi","","","",""
"Sub-Tenant","1987","indirect migration background","higher vocational","","","",""
"Sub-Tenant","1987","indirect migration background","higher education","","","",""
"Owner","1987","no migration background","in school","88","0.588456088802067","0.509703002563306","0.667209175040828"
"Owner","1987","no migration background","inadequately","28","","",""
"Owner","1987","no migration background","general elemantary","1020","0.513928179461024","0.491134413696689","0.536721945225359"
"Owner","1987","no migration background","middle vocational","2076","0.477780096524715","0.462379256743795","0.493180936305634"
"Owner","1987","no migration background","vocational + Abi","80","0.414152514451061","0.340752275150056","0.487552753752066"
"Owner","1987","no migration background","higher vocational","281","0.535157677234876","0.491742875432716","0.578572479037036"
"Owner","1987","no migration background","higher education","335","0.518183963008767","0.479472399373742","0.556895526643791"
"Owner","1987","direct migration background","in school","9","","",""
"Owner","1987","direct migration background","inadequately","38","0.0638824708713301","0.0454479954073283","0.0823169463353319"
"Owner","1987","direct migration background","general elemantary","108","0.224195144462362","0.197604948697516","0.250785340227208"
"Owner","1987","direct migration background","middle vocational","133","0.275476296345883","0.245738624873861","0.305213967817905"
"Owner","1987","direct migration background","vocational + Abi","11","","",""
"Owner","1987","direct migration background","higher vocational","23","","",""
"Owner","1987","direct migration background","higher education","34","0.422140515535274","0.325337757296445","0.518943273774103"
"Owner","1987","indirect migration background","in school","1","","",""
"Owner","1987","indirect migration background","inadequately","2","","",""
"Owner","1987","indirect migration background","general elemantary","15","","",""
"Owner","1987","indirect migration background","middle vocational","18","","",""
"Owner","1987","indirect migration background","vocational + Abi","","","",""
"Owner","1987","indirect migration background","higher vocational","2","","",""
"Owner","1987","indirect migration background","higher education","1","","",""
"Nursing Home/Retirement Community","1987","no migration background","in school","","","",""
"Nursing Home/Retirement Community","1987","no migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1987","no migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1987","no migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1987","no migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1987","no migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1987","no migration background","higher education","","","",""
"Nursing Home/Retirement Community","1987","direct migration background","in school","","","",""
"Nursing Home/Retirement Community","1987","direct migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1987","direct migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1987","direct migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1987","direct migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1987","direct migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1987","direct migration background","higher education","","","",""
"Nursing Home/Retirement Community","1987","indirect migration background","in school","","","",""
"Nursing Home/Retirement Community","1987","indirect migration background","inadequately","","","",""
"Nursing Home/Retirement Community","1987","indirect migration background","general elemantary","","","",""
"Nursing Home/Retirement Community","1987","indirect migration background","middle vocational","","","",""
"Nursing Home/Retirement Community","1987","indirect migration background","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1987","indirect migration background","higher vocational","","","",""
"Nursing Home/Retirement Community","1987","indirect migration background","higher education","","","",""
"Tenant","1987","no migration background","in school","","","",""
"Tenant","1987","no migration background","inadequately","","","",""
"Tenant","1987","no migration background","general elemantary","","","",""
"Tenant","1987","no migration background","middle vocational","","","",""
