"hlf0001_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Nursing Home/Retirement Community","1986","East Germany","Female","","","","","4"
"Owner","1986","East Germany","Female","","","","","3"
"Owner","1986","East Germany","Male","","","","","3"
"Owner","1986","West Germany","Female","2182","0.447040385959805","0.433741309729614","0.460339462189995","3"
"Owner","1986","West Germany","Male","2187","0.489069676309517","0.475560731529558","0.502578621089476","3"
"Sub-Tenant","1986","East Germany","Female","","","","","2"
"Sub-Tenant","1986","West Germany","Male","108","0.0182109673476516","0.014597444417242","0.0218244902780613","2"
"Sub-Tenant","1986","West Germany","Female","90","0.0164057389599787","0.0130078648796535","0.0198036130403038","2"
"Sub-Tenant","1986","East Germany","Male","","","","","2"
"Tenant","1986","West Germany","Male","","","","","5"
"Tenant","1986","West Germany","Female","","","","","5"
"Tenant","1986","East Germany","Male","","","","","5"
"Tenant","1986","East Germany","Female","","","","","5"
"Main Tenant","1987","West Germany","Male","2918","0.489790284404616","0.476204519052566","0.503376049756666","1"
"Main Tenant","1987","East Germany","Female","","","","","1"
"Main Tenant","1987","West Germany","Female","3043","0.535019725893605","0.521594228296858","0.548445223490353","1"
"Main Tenant","1987","East Germany","Male","","","","","1"
"Nursing Home/Retirement Community","1987","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1987","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1987","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1987","East Germany","Female","","","","","4"
"Owner","1987","East Germany","Female","","","","","3"
"Owner","1987","East Germany","Male","","","","","3"
"Owner","1987","West Germany","Male","2173","0.488962762995455","0.475377475589315","0.502548050401594","3"
"Owner","1987","West Germany","Female","2162","0.444567000351224","0.431191418606855","0.457942582095593","3"
"Sub-Tenant","1987","West Germany","Female","97","0.0204132737551704","0.0166069475490754","0.0242195999612654","2"
"Sub-Tenant","1987","East Germany","Female","","","","","2"
"Sub-Tenant","1987","West Germany","Male","110","0.0212469525999288","0.0173278236580877","0.02516608154177","2"
"Sub-Tenant","1987","East Germany","Male","","","","","2"
"Tenant","1987","West Germany","Male","","","","","5"
"Tenant","1987","West Germany","Female","","","","","5"
"Tenant","1987","East Germany","Male","","","","","5"
"Tenant","1987","East Germany","Female","","","","","5"
"Main Tenant","1988","East Germany","Female","","","","","1"
"Main Tenant","1988","West Germany","Male","2783","0.483119863271674","0.469201757221449","0.497037969321899","1"
"Main Tenant","1988","East Germany","Male","","","","","1"
"Main Tenant","1988","West Germany","Female","2937","0.53572624680656","0.521991619016467","0.549460874596652","1"
"Nursing Home/Retirement Community","1988","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1988","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1988","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1988","East Germany","Female","","","","","4"
"Owner","1988","East Germany","Female","","","","","3"
"Owner","1988","East Germany","Male","","","","","3"
"Owner","1988","West Germany","Female","2032","0.440125442045285","0.426454703747298","0.453796180343273","3"
"Owner","1988","West Germany","Male","2070","0.493712886388044","0.479787942903656","0.507637829872432","3"
"Sub-Tenant","1988","East Germany","Male","","","","","2"
"Sub-Tenant","1988","East Germany","Female","","","","","2"
"Sub-Tenant","1988","West Germany","Male","99","0.0231672503402816","0.0189773361897634","0.0273571644907998","2"
"Sub-Tenant","1988","West Germany","Female","96","0.024148311148155","0.0199207134113758","0.0283759088849342","2"
"Tenant","1988","West Germany","Male","","","","","5"
"Tenant","1988","West Germany","Female","","","","","5"
"Tenant","1988","East Germany","Male","","","","","5"
"Tenant","1988","East Germany","Female","","","","","5"
"Main Tenant","1989","East Germany","Female","","","","","1"
"Main Tenant","1989","West Germany","Male","2661","0.480114823529942","0.465951655177458","0.494277991882426","1"
"Main Tenant","1989","East Germany","Male","","","","","1"
"Main Tenant","1989","West Germany","Female","2840","0.526864397847479","0.512918987127878","0.54080980856708","1"
"Nursing Home/Retirement Community","1989","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1989","East Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1989","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1989","West Germany","Female","","","","","4"
"Owner","1989","East Germany","Female","","","","","3"
"Owner","1989","East Germany","Male","","","","","3"
"Owner","1989","West Germany","Female","1993","0.449673803935061","0.435779142913845","0.463568464956278","3"
"Owner","1989","West Germany","Male","2016","0.494518956460194","0.480345425670743","0.508692487249645","3"
"Sub-Tenant","1989","East Germany","Female","","","","","2"
"Sub-Tenant","1989","West Germany","Male","94","0.0228261517555917","0.018592292560552","0.0270600109506314","2"
"Sub-Tenant","1989","East Germany","Male","","","","","2"
"Sub-Tenant","1989","West Germany","Female","86","0.0217892838061558","0.0177114759823974","0.0258670916299141","2"
"Tenant","1989","West Germany","Male","9","","","","5"
"Tenant","1989","West Germany","Female","5","","","","5"
"Tenant","1989","East Germany","Male","","","","","5"
"Tenant","1989","East Germany","Female","","","","","5"
"Main Tenant","1990","East Germany","Female","1518","0.677789120740805","0.658813869828179","0.696764371653431","1"
"Main Tenant","1990","East Germany","Male","1326","0.646016368459996","0.625602461127443","0.666430275792549","1"
"Main Tenant","1990","West Germany","Male","2598","0.488408945287264","0.47410152778281","0.502716362791719","1"
"Main Tenant","1990","West Germany","Female","2735","0.527178310957167","0.513093957878428","0.541262664035906","1"
"Nursing Home/Retirement Community","1990","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1990","East Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1990","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1990","East Germany","Male","","","","","4"
"Owner","1990","East Germany","Male","705","0.317759387349338","0.297883305942466","0.337635468756211","3"
"Owner","1990","East Germany","Female","730","0.286801086994318","0.268437147071868","0.305165026916769","3"
"Owner","1990","West Germany","Female","1982","0.444451565949043","0.430433676654545","0.458469455243541","3"
"Owner","1990","West Germany","Male","1989","0.486802320610138","0.472496043383806","0.501108597836469","3"
"Sub-Tenant","1990","East Germany","Female","78","0.0338768543541041","0.0265310744400609","0.0412226342681472","2"
"Sub-Tenant","1990","West Germany","Female","108","0.0280120665203686","0.0233571440410039","0.0326669889997333","2"
"Sub-Tenant","1990","East Germany","Male","75","0.0353712571230981","0.0274859586908921","0.0432565555553041","2"
"Sub-Tenant","1990","West Germany","Male","99","0.023564062154401","0.0192224109346921","0.0279057133741098","2"
"Tenant","1990","West Germany","Male","3","","","","5"
"Tenant","1990","West Germany","Female","2","","","","5"
"Tenant","1990","East Germany","Male","2","","","","5"
"Tenant","1990","East Germany","Female","4","","","","5"
"Main Tenant","1991","West Germany","Male","2592","0.488867245633303","0.474535056627866","0.503199434638739","1"
"Main Tenant","1991","East Germany","Female","1378","0.662426743342086","0.64258073344216","0.682272753242013","1"
"Main Tenant","1991","West Germany","Female","2750","0.529772701621701","0.515677915998116","0.543867487245286","1"
"Main Tenant","1991","East Germany","Male","1210","0.630681967899466","0.609434766752978","0.651929169045953","1"
"Nursing Home/Retirement Community","1991","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1991","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1991","East Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1991","West Germany","Male","","","","","4"
"Owner","1991","East Germany","Female","693","0.281379807997935","0.262507873056922","0.300251742938948","3"
"Owner","1991","East Germany","Male","676","0.316761095305138","0.296280221678469","0.337241968931807","3"
"Owner","1991","West Germany","Female","1964","0.442105518994538","0.42808065143948","0.456130386549595","3"
"Owner","1991","West Germany","Male","1973","0.486148618520477","0.471818377570744","0.50047885947021","3"
"Sub-Tenant","1991","East Germany","Male","93","0.0501001426410396","0.0404960872017172","0.059704198080362","2"
"Sub-Tenant","1991","East Germany","Female","107","0.0547095968267441","0.0451655043263964","0.0642536893270918","2"
"Sub-Tenant","1991","West Germany","Female","100","0.0265193998876835","0.0219820187166905","0.0310567810586765","2"
"Sub-Tenant","1991","West Germany","Male","107","0.0249472598366536","0.0204755287449946","0.0294189909283125","2"
"Tenant","1991","West Germany","Male","1","","","","5"
"Tenant","1991","West Germany","Female","3","","","","5"
"Tenant","1991","East Germany","Male","3","","","","5"
"Tenant","1991","East Germany","Female","3","","","","5"
"Main Tenant","1992","West Germany","Male","2535","0.481723580093392","0.467274763668499","0.496172396518286","1"
"Main Tenant","1992","East Germany","Male","1217","0.666010007686842","0.644775089685543","0.68724492568814","1"
"Main Tenant","1992","East Germany","Female","1375","0.692746607042066","0.672995656601438","0.712497557482694","1"
"Main Tenant","1992","West Germany","Female","2727","0.526483667933414","0.512364583842526","0.540602752024302","1"
"Nursing Home/Retirement Community","1992","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1992","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1992","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1992","East Germany","Female","","","","","4"
"Owner","1992","West Germany","Female","1964","0.444525729676719","0.430474089603946","0.458577369749492","3"
"Owner","1992","East Germany","Male","623","0.305322628983535","0.284587126862209","0.326058131104861","3"
"Owner","1992","East Germany","Female","659","0.278243579912041","0.259058643862174","0.297428515961907","3"
"Owner","1992","West Germany","Male","1948","0.488353203330587","0.473898647673421","0.502807758987753","3"
"Sub-Tenant","1992","East Germany","Female","60","0.0265652146026263","0.0196808708602939","0.0334495583449587","2"
"Sub-Tenant","1992","East Germany","Male","54","0.0275645572916983","0.0201931673716751","0.0349359472117214","2"
"Sub-Tenant","1992","West Germany","Male","109","0.0293388480130827","0.0244589814290312","0.0342187145971341","2"
"Sub-Tenant","1992","West Germany","Female","110","0.0274481079712639","0.0228279248424152","0.0320682911001126","2"
"Tenant","1992","West Germany","Male","2","","","","5"
"Tenant","1992","West Germany","Female","3","","","","5"
"Tenant","1992","East Germany","Male","1","","","","5"
"Tenant","1992","East Germany","Female","2","","","","5"
"Main Tenant","1993","West Germany","Male","2520","0.483174353056975","0.468687753821023","0.497660952292927","1"
"Main Tenant","1993","East Germany","Male","1164","0.659781411513894","0.638020745910922","0.681542077116867","1"
"Main Tenant","1993","East Germany","Female","1323","0.679362188955956","0.659004054190646","0.699720323721265","1"
"Main Tenant","1993","West Germany","Female","2686","0.516203027869793","0.502012319945259","0.530393735794326","1"
"Nursing Home/Retirement Community","1993","East Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1993","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1993","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1993","East Germany","Male","","","","","4"
"Owner","1993","East Germany","Male","609","0.316105593425906","0.294750388941243","0.337460797910568","3"
"Owner","1993","West Germany","Female","1950","0.453721427473729","0.439584209882415","0.467858645065043","3"
"Owner","1993","West Germany","Male","1917","0.481750235198314","0.46726508493088","0.496235385465747","3"
"Owner","1993","East Germany","Female","652","0.298056559253431","0.278104839615156","0.318008278891707","3"
"Sub-Tenant","1993","West Germany","Female","128","0.0300755446564784","0.0252255873015719","0.0349255020113849","2"
"Sub-Tenant","1993","East Germany","Female","44","0.0225812517906128","0.0161009643372201","0.0290615392440055","2"
"Sub-Tenant","1993","East Germany","Male","48","0.0241129950602","0.0170673872596431","0.0311586028607568","2"
"Sub-Tenant","1993","West Germany","Male","134","0.0350754117447108","0.0297421787664288","0.0404086447229929","2"
"Tenant","1993","West Germany","Male","","","","","5"
"Tenant","1993","West Germany","Female","","","","","5"
"Tenant","1993","East Germany","Male","","","","","5"
"Tenant","1993","East Germany","Female","","","","","5"
"Main Tenant","1994","West Germany","Male","2426","0.480267071091706","0.465568132883757","0.494966009299656","1"
"Main Tenant","1994","West Germany","Female","2671","0.519952361010832","0.505688952609077","0.534215769412587","1"
"Main Tenant","1994","East Germany","Male","1124","0.655027418016954","0.633061237997351","0.676993598036556","1"
"Main Tenant","1994","East Germany","Female","1268","0.676729025079053","0.65617383685919","0.697284213298917","1"
"Nursing Home/Retirement Community","1994","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1994","East Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1994","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1994","East Germany","Male","","","","","4"
"Owner","1994","West Germany","Male","1901","0.491350591767772","0.476642394176844","0.5060587893587","3"
"Owner","1994","West Germany","Female","1924","0.450122141284079","0.435918566061801","0.464325716506357","3"
"Owner","1994","East Germany","Male","625","0.319028863725906","0.297490542490375","0.340567184961437","3"
"Owner","1994","East Germany","Female","664","0.293857493968663","0.273838361101056","0.313876626836269","3"
"Sub-Tenant","1994","East Germany","Male","50","0.0259437182571406","0.0185978921263525","0.0332895443879287","2"
"Sub-Tenant","1994","West Germany","Female","118","0.0299254977050895","0.0250611724445692","0.0347898229656098","2"
"Sub-Tenant","1994","East Germany","Female","57","0.0294134809522838","0.0219880606851506","0.036838901219417","2"
"Sub-Tenant","1994","West Germany","Male","111","0.028382337140522","0.0234966436232399","0.0332680306578041","2"
"Tenant","1994","West Germany","Male","","","","","5"
"Tenant","1994","West Germany","Female","","","","","5"
"Tenant","1994","East Germany","Male","","","","","5"
"Tenant","1994","East Germany","Female","","","","","5"
"Main Tenant","1995","West Germany","Male","2648","0.482802818143517","0.468495444404265","0.497110191882769","1"
"Main Tenant","1995","West Germany","Female","2869","0.507154405137062","0.493267592739224","0.521041217534899","1"
"Main Tenant","1995","East Germany","Male","1066","0.627463525485563","0.604837308936478","0.650089742034649","1"
"Main Tenant","1995","East Germany","Female","1217","0.657620138757977","0.636564854241906","0.678675423274049","1"
"Nursing Home/Retirement Community","1995","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1995","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1995","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1995","East Germany","Female","","","","","4"
"Owner","1995","West Germany","Female","1966","0.455836527265459","0.442002574687325","0.469670479843592","3"
"Owner","1995","West Germany","Male","1925","0.487698257208907","0.473386746912431","0.502009767505383","3"
"Owner","1995","East Germany","Female","664","0.306959257738153","0.28649296378125","0.327425551695056","3"
"Owner","1995","East Germany","Male","633","0.340801893374292","0.318620323907685","0.362983462840899","3"
"Sub-Tenant","1995","West Germany","Male","113","0.029498924647576","0.0246544347831577","0.0343434145119943","2"
"Sub-Tenant","1995","East Germany","Male","55","0.0317345811401448","0.0235311243949162","0.0399380378853734","2"
"Sub-Tenant","1995","East Germany","Female","70","0.0354206035038696","0.0272186665786393","0.0436225404290999","2"
"Sub-Tenant","1995","West Germany","Female","144","0.0370090675974796","0.0317653149358688","0.0422528202590903","2"
"Tenant","1995","West Germany","Male","","","","","5"
"Tenant","1995","West Germany","Female","","","","","5"
"Tenant","1995","East Germany","Male","","","","","5"
"Tenant","1995","East Germany","Female","","","","","5"
"Main Tenant","1996","West Germany","Male","2501","0.478228439981527","0.463725151737991","0.492731728225064","1"
"Main Tenant","1996","West Germany","Female","2769","0.512440501561264","0.498404933781476","0.526476069341052","1"
"Main Tenant","1996","East Germany","Male","1042","0.621976886365856","0.59931036071701","0.644643412014702","1"
"Main Tenant","1996","East Germany","Female","1204","0.666346346251907","0.645353604773889","0.687339087729925","1"
"Nursing Home/Retirement Community","1996","East Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1996","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1996","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1996","West Germany","Female","","","","","4"
"Owner","1996","West Germany","Male","1916","0.490406418566545","0.475892034052611","0.50492080308048","3"
"Owner","1996","West Germany","Female","1958","0.457069919412602","0.443081851778959","0.471057987046244","3"
"Owner","1996","East Germany","Male","664","0.34311547421541","0.320923122652365","0.365307825778455","3"
"Owner","1996","East Germany","Female","683","0.303247594290003","0.282782717927342","0.323712470652665","3"
"Sub-Tenant","1996","West Germany","Female","145","0.0304895790261344","0.0256618108678596","0.0353173471844092","2"
"Sub-Tenant","1996","East Germany","Female","51","0.0304060594580898","0.02276160986624","0.0380505090499395","2"
"Sub-Tenant","1996","West Germany","Male","140","0.0313651414519273","0.0263044221543666","0.036425860749488","2"
"Sub-Tenant","1996","East Germany","Male","52","0.034907639418734","0.0263277175074769","0.0434875613299912","2"
"Tenant","1996","West Germany","Female","","","","","5"
"Tenant","1996","West Germany","Male","","","","","5"
"Tenant","1996","East Germany","Male","","","","","5"
"Tenant","1996","East Germany","Female","","","","","5"
"Main Tenant","1997","West Germany","Male","2440","0.480011433017207","0.465391642672931","0.494631223361483","1"
"Main Tenant","1997","West Germany","Female","2660","0.506775837027622","0.49259979016044","0.520951883894803","1"
"Main Tenant","1997","East Germany","Male","1002","0.604405519661091","0.581502415904095","0.627308623418086","1"
"Main Tenant","1997","East Germany","Female","1139","0.642586608826364","0.621037836331439","0.66413538132129","1"
"Nursing Home/Retirement Community","1997","East Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1997","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1997","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1997","East Germany","Male","","","","","4"
"Owner","1997","West Germany","Male","1943","0.495439131529022","0.480808253425935","0.51007000963211","3"
"Owner","1997","East Germany","Female","694","0.31391730032711","0.2930499575483","0.334784643105919","3"
"Owner","1997","East Germany","Male","692","0.36144899109435","0.338946721471527","0.383951260717172","3"
"Owner","1997","West Germany","Female","2000","0.462716724428487","0.448578844860387","0.476854603996588","3"
"Sub-Tenant","1997","West Germany","Female","118","0.0305074385438912","0.0256310294615058","0.0353838476262766","2"
"Sub-Tenant","1997","East Germany","Male","57","0.0341454892445598","0.0256394468277348","0.0426515316613848","2"
"Sub-Tenant","1997","East Germany","Female","67","0.043496090846526","0.0343246033415614","0.0526675783514906","2"
"Sub-Tenant","1997","West Germany","Male","103","0.0245494354537705","0.0200210660926065","0.0290778048149346","2"
"Tenant","1997","West Germany","Male","","","","","5"
"Tenant","1997","West Germany","Female","","","","","5"
"Tenant","1997","East Germany","Male","","","","","5"
"Tenant","1997","East Germany","Female","","","","","5"
"Main Tenant","1998","West Germany","Male","2592","0.465346361284265","0.451574255925956","0.479118466642575","1"
"Main Tenant","1998","West Germany","Female","2878","0.496768279657527","0.483436395239806","0.510100164075248","1"
"Main Tenant","1998","East Germany","Male","1030","0.578224986341631","0.555883873297743","0.600566099385518","1"
"Main Tenant","1998","East Germany","Female","1168","0.619511743916198","0.598276285684294","0.640747202148101","1"
"Nursing Home/Retirement Community","1998","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1998","East Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1998","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1998","West Germany","Male","","","","","4"
"Owner","1998","East Germany","Female","771","0.337201247618052","0.316523574557403","0.3578789206787","3"
"Owner","1998","West Germany","Male","2309","0.502931622844768","0.489126557996757","0.516736687692779","3"
"Owner","1998","West Germany","Female","2358","0.466738682829988","0.45343605178394","0.480041313876037","3"
"Owner","1998","East Germany","Male","784","0.386842144855718","0.364809380268565","0.408874909442872","3"
"Sub-Tenant","1998","West Germany","Male","135","0.030512608732708","0.025763778277712","0.0352614391877039","2"
"Sub-Tenant","1998","East Germany","Male","62","0.0340927980247035","0.0258833306807841","0.042302265368623","2"
"Sub-Tenant","1998","West Germany","Female","158","0.0325743004378818","0.0278408594603593","0.0373077414154044","2"
"Sub-Tenant","1998","East Germany","Female","63","0.0363136571886713","0.0281314761656596","0.0444958382116831","2"
"Tenant","1998","West Germany","Male","3","","","","5"
"Tenant","1998","West Germany","Female","9","","","","5"
"Tenant","1998","East Germany","Male","1","","","","5"
"Tenant","1998","East Germany","Female","6","","","","5"
"Main Tenant","1999","West Germany","Male","2459","0.468522759474446","0.454435313813301","0.482610205135592","1"
"Main Tenant","1999","West Germany","Female","2701","0.493264928551556","0.479603818120841","0.506926038982271","1"
"Main Tenant","1999","East Germany","Male","1001","0.588302205890044","0.565723129907507","0.610881281872581","1"
"Main Tenant","1999","East Germany","Female","1152","0.631979869626405","0.610726766120858","0.653232973131952","1"
"Nursing Home/Retirement Community","1999","East Germany","Female","6","","","","4"
"Nursing Home/Retirement Community","1999","East Germany","Male","1","","","","4"
"Nursing Home/Retirement Community","1999","West Germany","Male","5","","","","4"
"Nursing Home/Retirement Community","1999","West Germany","Female","14","","","","4"
"Owner","1999","East Germany","Female","775","0.340219898167041","0.319340671487412","0.361099124846669","3"
"Owner","1999","East Germany","Male","783","0.388677360909521","0.366313513575871","0.411041208243172","3"
"Owner","1999","West Germany","Female","2299","0.473296833087265","0.459653981159246","0.486939685015285","3"
"Owner","1999","West Germany","Male","2243","0.503388072444925","0.489272951444466","0.517503193445385","3"
"Sub-Tenant","1999","East Germany","Female","45","0.0219264370751927","0.015472796997265","0.0283800771531203","2"
"Sub-Tenant","1999","West Germany","Male","113","0.0262911135973328","0.0217741807968891","0.0308080463977765","2"
"Sub-Tenant","1999","West Germany","Female","131","0.0275979198963661","0.0231216474073126","0.0320741923854196","2"
"Sub-Tenant","1999","East Germany","Male","40","0.022140941196831","0.0153901787229962","0.0288917036706659","2"
"Tenant","1999","West Germany","Male","","","","","5"
"Tenant","1999","West Germany","Female","","","","","5"
"Tenant","1999","East Germany","Male","","","","","5"
"Tenant","1999","East Germany","Female","","","","","5"
"Main Tenant","2000","West Germany","Male","4110","0.481470510575169","0.471057633328172","0.491883387822167","1"
"Main Tenant","2000","West Germany","Female","4550","0.49667307881115","0.486641575534709","0.50670458208759","1"
"Main Tenant","2000","East Germany","Female","1716","0.619395118833942","0.60221159343531","0.636578644232574","1"
"Main Tenant","2000","East Germany","Male","1459","0.570940548716094","0.552643887412252","0.589237210019935","1"
"Nursing Home/Retirement Community","2000","East Germany","Female","5","","","","4"
"Nursing Home/Retirement Community","2000","West Germany","Female","21","","","","4"
"Nursing Home/Retirement Community","2000","East Germany","Male","3","","","","4"
"Nursing Home/Retirement Community","2000","West Germany","Male","4","","","","4"
"Owner","2000","East Germany","Female","1297","0.363845336271842","0.346818617339198","0.380872055204486","3"
"Owner","2000","East Germany","Male","1298","0.407446051796078","0.389281835146659","0.425610268445497","3"
"Owner","2000","West Germany","Male","4613","0.500295821666877","0.489875788514364","0.510715854819389","3"
"Owner","2000","West Germany","Female","4840","0.482206455920036","0.472181084876581","0.492231826963491","3"
"Sub-Tenant","2000","West Germany","Female","132","0.0171108399550752","0.0145089221897006","0.0197127577204498","2"
"Sub-Tenant","2000","East Germany","Female","49","0.0132459169925529","0.00919981632706544","0.0172920176580404","2"
"Sub-Tenant","2000","West Germany","Male","118","0.0172397191661077","0.0145271047608568","0.0199523335713586","2"
"Sub-Tenant","2000","East Germany","Male","51","0.0193766697499235","0.0142809169989298","0.0244724225009172","2"
"Tenant","2000","West Germany","Male","","","","","5"
"Tenant","2000","West Germany","Female","","","","","5"
"Tenant","2000","East Germany","Male","","","","","5"
"Tenant","2000","East Germany","Female","","","","","5"
"Main Tenant","2001","West Germany","Male","3669","0.480609807056362","0.469625069855288","0.491594544257436","1"
"Main Tenant","2001","West Germany","Female","4116","0.49276384917522","0.482228729979568","0.503298968370872","1"
"Main Tenant","2001","East Germany","Female","1542","0.607900402255152","0.589912965206983","0.625887839303322","1"
"Main Tenant","2001","East Germany","Male","1349","0.567200612909441","0.548282864495341","0.586118361323542","1"
"Nursing Home/Retirement Community","2001","East Germany","Male","1","","","","4"
"Nursing Home/Retirement Community","2001","West Germany","Female","25","","","","4"
"Nursing Home/Retirement Community","2001","East Germany","Female","6","","","","4"
"Nursing Home/Retirement Community","2001","West Germany","Male","6","","","","4"
"Owner","2001","East Germany","Female","1233","0.370404399025139","0.352612439429955","0.388196358620322","3"
"Owner","2001","East Germany","Male","1232","0.412666387147505","0.393868901704939","0.43146387259007","3"
"Owner","2001","West Germany","Female","4390","0.48482465320263","0.474293284472111","0.495356021933149","3"
"Owner","2001","West Germany","Male","4165","0.499220195830255","0.488227202596403","0.510213189064107","3"
"Sub-Tenant","2001","East Germany","Male","53","0.018866392299408","0.0136716227307146","0.0240611618681014","2"
"Sub-Tenant","2001","East Germany","Female","49","0.0167636583101645","0.0120335810502761","0.0214937355700529","2"
"Sub-Tenant","2001","West Germany","Male","107","0.0185944391024175","0.0156243992075231","0.0215644789973119","2"
"Sub-Tenant","2001","West Germany","Female","120","0.0175362199254743","0.0147702898226978","0.0203021500282509","2"
"Tenant","2001","West Germany","Male","","","","","5"
"Tenant","2001","West Germany","Female","","","","","5"
"Tenant","2001","East Germany","Male","","","","","5"
"Tenant","2001","East Germany","Female","","","","","5"
