"hlf0001_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Sub-Tenant","1985","35-65 y.","Urban Area","55","0.00947761852710775","0.00667918476010667","0.0122760522941088","2"
"Sub-Tenant","1985","66 and older","Urban Area","10","","","","2"
"Sub-Tenant","1985","35-65 y.","Rural Area","14","","","","2"
"Sub-Tenant","1985","66 and older","Rural Area","5","","","","2"
"Tenant","1985","16-34 y.","Urban Area","","","","","5"
"Tenant","1985","16-34 y.","Rural Area","","","","","5"
"Tenant","1985","35-65 y.","Urban Area","","","","","5"
"Tenant","1985","35-65 y.","Rural Area","","","","","5"
"Tenant","1985","66 and older","Urban Area","","","","","5"
"Tenant","1985","66 and older","Rural Area","","","","","5"
"Main Tenant","1986","16-34 y.","Urban Area","2265","0.634227246717418","0.617736588380135","0.650717905054702","1"
"Main Tenant","1986","16-34 y.","Rural Area","358","0.39914180944111","0.365458118019761","0.432825500862459","1"
"Main Tenant","1986","35-65 y.","Urban Area","2554","0.502500447096815","0.487706660309806","0.517294233883823","1"
"Main Tenant","1986","35-65 y.","Rural Area","362","0.293134559021059","0.266319659961241","0.319949458080876","1"
"Main Tenant","1986","66 and older","Urban Area","424","0.597518518490674","0.563213164986931","0.631823871994417","1"
"Main Tenant","1986","66 and older","Rural Area","99","0.457824714204148","0.397265407858455","0.518384020549841","1"
"Nursing Home/Retirement Community","1986","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1986","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1986","66 and older","Rural Area","","","","","4"
"Owner","1986","16-34 y.","Urban Area","931","0.338414199913902","0.322213743620187","0.354614656207618","3"
"Owner","1986","35-65 y.","Urban Area","1774","0.486872051890951","0.472083180266712","0.501660923515191","3"
"Owner","1986","16-34 y.","Rural Area","438","0.583583560717617","0.549676859894158","0.617490261541077","3"
"Owner","1986","66 and older","Urban Area","349","0.385434547033494","0.351388032866667","0.419481061200321","3"
"Owner","1986","35-65 y.","Rural Area","723","0.699222441992524","0.672207460491321","0.726237423493727","3"
"Owner","1986","66 and older","Rural Area","154","0.50273252722894","0.441957531670495","0.563507522787384","3"
"Sub-Tenant","1986","16-34 y.","Urban Area","81","0.0273585533686795","0.0217734293505199","0.0329436773868391","2"
"Sub-Tenant","1986","16-34 y.","Rural Area","16","","","","2"
"Sub-Tenant","1986","35-65 y.","Urban Area","60","0.0106275010122341","0.00759353803941626","0.0136614639850518","2"
"Sub-Tenant","1986","35-65 y.","Rural Area","22","","","","2"
"Sub-Tenant","1986","66 and older","Urban Area","12","","","","2"
"Sub-Tenant","1986","66 and older","Rural Area","7","","","","2"
"Tenant","1986","16-34 y.","Urban Area","","","","","5"
"Tenant","1986","16-34 y.","Rural Area","","","","","5"
"Tenant","1986","35-65 y.","Urban Area","","","","","5"
"Tenant","1986","35-65 y.","Rural Area","","","","","5"
"Tenant","1986","66 and older","Urban Area","","","","","5"
"Tenant","1986","66 and older","Rural Area","","","","","5"
"Main Tenant","1987","16-34 y.","Urban Area","2180","0.623394459572929","0.606669102593241","0.640119816552617","1"
"Main Tenant","1987","16-34 y.","Rural Area","380","0.400409894164493","0.366770441905333","0.434049346423652","1"
"Main Tenant","1987","35-65 y.","Urban Area","2476","0.500463078448084","0.485516761535399","0.51540939536077","1"
"Main Tenant","1987","35-65 y.","Rural Area","385","0.298457759204974","0.271180320166668","0.32573519824328","1"
"Main Tenant","1987","66 and older","Urban Area","441","0.59665931719916","0.563082433005839","0.63023620139248","1"
"Main Tenant","1987","66 and older","Rural Area","99","0.457499767830838","0.397404326240939","0.517595209420737","1"
"Nursing Home/Retirement Community","1987","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1987","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1987","66 and older","Rural Area","","","","","4"
"Owner","1987","16-34 y.","Urban Area","953","0.341057518110373","0.324693568187536","0.35742146803321","3"
"Owner","1987","35-65 y.","Urban Area","1756","0.487859209138035","0.472917292605098","0.502801125670972","3"
"Owner","1987","16-34 y.","Rural Area","415","0.57110192826756","0.537123510888404","0.605080345646717","3"
"Owner","1987","35-65 y.","Rural Area","684","0.690148885922343","0.662582288072055","0.717715483772631","3"
"Owner","1987","66 and older","Urban Area","367","0.383820430170847","0.350534641152529","0.417106219189165","3"
"Owner","1987","66 and older","Rural Area","160","0.515214396042377","0.454928602809271","0.575500189275483","3"
"Sub-Tenant","1987","16-34 y.","Rural Area","20","","","","2"
"Sub-Tenant","1987","16-34 y.","Urban Area","91","0.0355480223166981","0.02915658402085","0.0419394606125463","2"
"Sub-Tenant","1987","35-65 y.","Rural Area","12","","","","2"
"Sub-Tenant","1987","35-65 y.","Urban Area","67","0.011677712413881","0.00846632610931259","0.0148890987184494","2"
"Sub-Tenant","1987","66 and older","Urban Area","12","","","","2"
"Sub-Tenant","1987","66 and older","Rural Area","5","","","","2"
"Tenant","1987","16-34 y.","Urban Area","","","","","5"
"Tenant","1987","16-34 y.","Rural Area","","","","","5"
"Tenant","1987","35-65 y.","Urban Area","","","","","5"
"Tenant","1987","66 and older","Urban Area","","","","","5"
"Tenant","1987","35-65 y.","Rural Area","","","","","5"
"Tenant","1987","66 and older","Rural Area","","","","","5"
"Main Tenant","1988","16-34 y.","Urban Area","2105","0.608941420996166","0.591763289962334","0.626119552029998","1"
"Main Tenant","1988","16-34 y.","Rural Area","350","0.405659852844318","0.370542103828414","0.440777601860222","1"
"Main Tenant","1988","35-65 y.","Urban Area","2351","0.496594643670013","0.481269679517979","0.511919607822047","1"
"Main Tenant","1988","35-65 y.","Rural Area","374","0.297832544396516","0.269809410727312","0.325855678065721","1"
"Main Tenant","1988","66 and older","Urban Area","442","0.602731690935188","0.568949754187669","0.636513627682707","1"
"Main Tenant","1988","66 and older","Rural Area","98","0.468874628304793","0.406766399958121","0.530982856651466","1"
"Nursing Home/Retirement Community","1988","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1988","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1988","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1988","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1988","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1988","66 and older","Rural Area","","","","","4"
"Owner","1988","16-34 y.","Urban Area","914","0.352871449656002","0.336049714726629","0.369693184585374","3"
"Owner","1988","16-34 y.","Rural Area","381","0.5648181080046","0.529359814025523","0.600276401983677","3"
"Owner","1988","35-65 y.","Urban Area","1679","0.487627431195335","0.472306804332907","0.502948058057762","3"
"Owner","1988","35-65 y.","Rural Area","630","0.679983013689627","0.651397511805668","0.708568515573587","3"
"Owner","1988","66 and older","Urban Area","352","0.379854739750723","0.346347700114185","0.413361779387261","3"
"Owner","1988","66 and older","Rural Area","146","0.509881503203909","0.447664738226893","0.572098268180925","3"
"Sub-Tenant","1988","16-34 y.","Rural Area","20","","","","2"
"Sub-Tenant","1988","16-34 y.","Urban Area","81","0.0381871293478326","0.0314407455796084","0.0449335131160568","2"
"Sub-Tenant","1988","35-65 y.","Urban Area","59","0.0157779251346521","0.0119583854030819","0.0195974648662222","2"
"Sub-Tenant","1988","35-65 y.","Rural Area","19","","","","2"
"Sub-Tenant","1988","66 and older","Urban Area","12","","","","2"
"Sub-Tenant","1988","66 and older","Rural Area","4","","","","2"
"Tenant","1988","16-34 y.","Urban Area","","","","","5"
"Tenant","1988","16-34 y.","Rural Area","","","","","5"
"Tenant","1988","35-65 y.","Urban Area","","","","","5"
"Tenant","1988","66 and older","Urban Area","","","","","5"
"Tenant","1988","35-65 y.","Rural Area","","","","","5"
"Tenant","1988","66 and older","Rural Area","","","","","5"
"Main Tenant","1989","16-34 y.","Urban Area","2054","0.6017860820033","0.584410127692285","0.619162036314315","1"
"Main Tenant","1989","16-34 y.","Rural Area","330","0.390204126903278","0.354573783146194","0.425834470660361","1"
"Main Tenant","1989","35-65 y.","Urban Area","2250","0.491245259821637","0.475647114172957","0.506843405470318","1"
"Main Tenant","1989","35-65 y.","Rural Area","362","0.312672645309244","0.283347563473241","0.341997727145246","1"
"Main Tenant","1989","66 and older","Urban Area","415","0.584022752882086","0.549565036679599","0.618480469084572","1"
"Main Tenant","1989","66 and older","Rural Area","90","0.450171911761881","0.387618988200777","0.512724835322986","1"
"Nursing Home/Retirement Community","1989","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1989","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1989","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1989","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1989","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1989","66 and older","Rural Area","","","","","4"
"Owner","1989","16-34 y.","Rural Area","370","0.568673328766502","0.532497671566471","0.604848985966534","3"
"Owner","1989","16-34 y.","Urban Area","907","0.361355358590199","0.344303714284191","0.378407002896206","3"
"Owner","1989","35-65 y.","Urban Area","1639","0.492191026048454","0.476592391555134","0.507789660541774","3"
"Owner","1989","35-65 y.","Rural Area","583","0.661435893382228","0.631501062377549","0.691370724386907","3"
"Owner","1989","66 and older","Urban Area","359","0.39832774614948","0.364103247912885","0.432552244386075","3"
"Owner","1989","66 and older","Rural Area","151","0.54093051554665","0.478275634795039","0.603585396298261","3"
"Sub-Tenant","1989","16-34 y.","Urban Area","81","0.0331693266836347","0.0268129018340638","0.0395257515332056","2"
"Sub-Tenant","1989","35-65 y.","Urban Area","55","0.0158777013893155","0.011977492195666","0.019777910582965","2"
"Sub-Tenant","1989","16-34 y.","Rural Area","18","","","","2"
"Sub-Tenant","1989","35-65 y.","Rural Area","15","","","","2"
"Sub-Tenant","1989","66 and older","Urban Area","10","","","","2"
"Sub-Tenant","1989","66 and older","Rural Area","1","","","","2"
"Tenant","1989","16-34 y.","Urban Area","7","","","","5"
"Tenant","1989","16-34 y.","Rural Area","2","","","","5"
"Tenant","1989","35-65 y.","Urban Area","2","","","","5"
"Tenant","1989","35-65 y.","Rural Area","","","","","5"
"Tenant","1989","66 and older","Urban Area","2","","","","5"
"Tenant","1989","66 and older","Rural Area","1","","","","5"
"Main Tenant","1990","16-34 y.","Urban Area","2450","0.637368237417607","0.621456839492927","0.653279635342287","1"
"Main Tenant","1990","16-34 y.","Rural Area","930","0.476006697843236","0.45297326771422","0.499040127972252","1"
"Main Tenant","1990","35-65 y.","Urban Area","2854","0.533104285455844","0.518792339155756","0.547416231755933","1"
"Main Tenant","1990","35-65 y.","Rural Area","1062","0.385766963514812","0.366251528232129","0.405282398797495","1"
"Main Tenant","1990","66 and older","Urban Area","553","0.616111526017745","0.585363403676186","0.646859648359304","1"
"Main Tenant","1990","66 and older","Rural Area","247","0.493967577029065","0.45160234454577","0.53633280951236","1"
"Nursing Home/Retirement Community","1990","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1990","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1990","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1990","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1990","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1990","66 and older","Rural Area","","","","","4"
"Owner","1990","16-34 y.","Urban Area","950","0.322341093715018","0.306872756868906","0.33780943056113","3"
"Owner","1990","16-34 y.","Rural Area","779","0.458876266807587","0.435894399790005","0.48185813382517","3"
"Owner","1990","35-65 y.","Urban Area","1743","0.451903229789262","0.437626326704666","0.466180132873857","3"
"Owner","1990","35-65 y.","Rural Area","1255","0.583263922847038","0.563498220663757","0.60302962503032","3"
"Owner","1990","66 and older","Urban Area","398","0.367877268158513","0.337388591273","0.398365945044026","3"
"Owner","1990","66 and older","Rural Area","277","0.488408305703439","0.446051376900412","0.530765234506467","3"
"Sub-Tenant","1990","16-34 y.","Urban Area","105","0.0400196248410803","0.0335325651811261","0.0465066845010344","2"
"Sub-Tenant","1990","16-34 y.","Rural Area","96","0.0647991438262489","0.0534457343973039","0.076152553255194","2"
"Sub-Tenant","1990","35-65 y.","Urban Area","68","0.0146777988456356","0.011227932521596","0.0181276651696752","2"
"Sub-Tenant","1990","35-65 y.","Rural Area","69","0.0285243257084418","0.0218505316778508","0.0351981197390329","2"
"Sub-Tenant","1990","66 and older","Urban Area","9","","","","2"
"Sub-Tenant","1990","66 and older","Rural Area","11","","","","2"
"Tenant","1990","16-34 y.","Urban Area","2","","","","5"
"Tenant","1990","16-34 y.","Rural Area","1","","","","5"
"Tenant","1990","35-65 y.","Urban Area","3","","","","5"
"Tenant","1990","35-65 y.","Rural Area","4","","","","5"
"Tenant","1990","66 and older","Urban Area","1","","","","5"
"Tenant","1990","66 and older","Rural Area","","","","","5"
"Main Tenant","1991","16-34 y.","Urban Area","2396","0.653104280699515","0.637053025343725","0.669155536055306","1"
"Main Tenant","1991","16-34 y.","Rural Area","897","0.482805553909814","0.459400045840162","0.506211061979467","1"
"Main Tenant","1991","35-65 y.","Urban Area","2737","0.529101373229324","0.514642203584851","0.543560542873797","1"
"Main Tenant","1991","35-65 y.","Rural Area","1063","0.405368013600403","0.385643400901391","0.425092626299416","1"
"Main Tenant","1991","66 and older","Urban Area","530","0.584850041179551","0.553663762929142","0.61603631942996","1"
"Main Tenant","1991","66 and older","Rural Area","224","0.483602543819716","0.440526168237747","0.526678919401685","1"
"Nursing Home/Retirement Community","1991","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1991","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1991","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1991","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1991","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1991","66 and older","Rural Area","","","","","4"
"Owner","1991","16-34 y.","Urban Area","865","0.299721841646359","0.284272401182343","0.315171282110375","3"
"Owner","1991","16-34 y.","Rural Area","748","0.448668344960105","0.425372729057133","0.471963960863077","3"
"Owner","1991","35-65 y.","Urban Area","1756","0.454059095054265","0.439636639670611","0.46848155043792","3"
"Owner","1991","35-65 y.","Rural Area","1244","0.566339388115194","0.546429309023377","0.586249467207012","3"
"Owner","1991","66 and older","Urban Area","409","0.388592382109131","0.357742653240157","0.419442110978106","3"
"Owner","1991","66 and older","Rural Area","279","0.490163407829856","0.447072190398231","0.533254625261481","3"
"Sub-Tenant","1991","16-34 y.","Urban Area","116","0.0470029376071269","0.0398657592457941","0.0541401159684597","2"
"Sub-Tenant","1991","16-34 y.","Rural Area","106","0.0685261011300809","0.0566924605523021","0.0803597417078596","2"
"Sub-Tenant","1991","35-65 y.","Urban Area","79","0.0158850932003049","0.0122632638349097","0.0195069225657002","2"
"Sub-Tenant","1991","35-65 y.","Rural Area","73","0.0282925982844024","0.021631224791758","0.0349539717770467","2"
"Sub-Tenant","1991","66 and older","Urban Area","17","","","","2"
"Sub-Tenant","1991","66 and older","Rural Area","14","","","","2"
"Tenant","1991","16-34 y.","Urban Area","1","","","","5"
"Tenant","1991","16-34 y.","Rural Area","","","","","5"
"Tenant","1991","35-65 y.","Urban Area","6","","","","5"
"Tenant","1991","35-65 y.","Rural Area","","","","","5"
"Tenant","1991","66 and older","Urban Area","3","","","","5"
"Tenant","1991","66 and older","Rural Area","","","","","5"
"Main Tenant","1992","16-34 y.","Urban Area","2337","0.64734475374973","0.631052879002677","0.663636628496783","1"
"Main Tenant","1992","16-34 y.","Rural Area","889","0.520716669893908","0.496501578354021","0.544931761433794","1"
"Main Tenant","1992","35-65 y.","Urban Area","2727","0.528331189489926","0.513840635169181","0.542821743810671","1"
"Main Tenant","1992","35-65 y.","Rural Area","1037","0.403654569298343","0.383599115658279","0.423710022938407","1"
"Main Tenant","1992","66 and older","Urban Area","529","0.581047103964921","0.549933680730845","0.612160527198996","1"
"Main Tenant","1992","66 and older","Rural Area","225","0.470818033141945","0.427369694596143","0.514266371687748","1"
"Nursing Home/Retirement Community","1992","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1992","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1992","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1992","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1992","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1992","66 and older","Rural Area","","","","","4"
"Owner","1992","16-34 y.","Rural Area","675","0.43028610352116","0.406286930367794","0.454285276674525","3"
"Owner","1992","16-34 y.","Urban Area","858","0.304815726314836","0.289119446721009","0.320512005908663","3"
"Owner","1992","35-65 y.","Urban Area","1755","0.454629690558275","0.440175694307533","0.469083686809017","3"
"Owner","1992","35-65 y.","Rural Area","1205","0.569555763856983","0.549316012199258","0.589795515514709","3"
"Owner","1992","66 and older","Urban Area","420","0.397202346550069","0.366345523709389","0.428059169390749","3"
"Owner","1992","66 and older","Rural Area","274","0.502784851867516","0.459262998708277","0.546306705026755","3"
"Sub-Tenant","1992","16-34 y.","Urban Area","108","0.0474144883481722","0.0401678666204075","0.0546611100759369","2"
"Sub-Tenant","1992","16-34 y.","Rural Area","71","0.0489972265849328","0.0385339946249466","0.0594604585449191","2"
"Sub-Tenant","1992","35-65 y.","Urban Area","73","0.0156124623621302","0.0120138749988272","0.0192110497254333","2"
"Sub-Tenant","1992","35-65 y.","Rural Area","55","0.0251465126947715","0.0187464067510369","0.031546618638506","2"
"Sub-Tenant","1992","66 and older","Rural Area","8","","","","2"
"Sub-Tenant","1992","66 and older","Urban Area","16","","","","2"
"Tenant","1992","16-34 y.","Urban Area","1","","","","5"
"Tenant","1992","16-34 y.","Rural Area","","","","","5"
"Tenant","1992","35-65 y.","Urban Area","4","","","","5"
"Tenant","1992","35-65 y.","Rural Area","2","","","","5"
"Tenant","1992","66 and older","Urban Area","1","","","","5"
"Tenant","1992","66 and older","Rural Area","","","","","5"
"Main Tenant","1993","16-34 y.","Urban Area","2373","0.665478193171759","0.649399732344027","0.681556653999491","1"
"Main Tenant","1993","16-34 y.","Rural Area","855","0.504632208213106","0.480217491654684","0.529046924771528","1"
"Main Tenant","1993","35-65 y.","Urban Area","2671","0.512791364784113","0.498166296704614","0.527416432863613","1"
"Main Tenant","1993","35-65 y.","Rural Area","1022","0.406159168688088","0.38596050294153","0.426357834434647","1"
"Main Tenant","1993","66 and older","Urban Area","542","0.567993498725398","0.536995731617301","0.598991265833495","1"
"Main Tenant","1993","66 and older","Rural Area","230","0.475564408203388","0.432516349565631","0.518612466841145","1"
"Nursing Home/Retirement Community","1993","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1993","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1993","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1993","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1993","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1993","66 and older","Rural Area","","","","","4"
"Owner","1993","16-34 y.","Urban Area","826","0.293551941141213","0.278033505589927","0.3090703766925","3"
"Owner","1993","16-34 y.","Rural Area","658","0.425145569783836","0.401004968056859","0.449286171510813","3"
"Owner","1993","35-65 y.","Urban Area","1745","0.468496553523409","0.453895765396235","0.483097341650583","3"
"Owner","1993","35-65 y.","Rural Area","1201","0.565989625727777","0.545605419018772","0.586373832436781","3"
"Owner","1993","66 and older","Urban Area","422","0.408415175093558","0.377656116805191","0.439174233381925","3"
"Owner","1993","66 and older","Rural Area","276","0.501675788002983","0.458576471333636","0.54477510467233","3"
"Sub-Tenant","1993","16-34 y.","Urban Area","109","0.0409698656870278","0.0342150463573223","0.0477246850167333","2"
"Sub-Tenant","1993","16-34 y.","Rural Area","98","0.0702222220030579","0.0577447332910012","0.0826997107151146","2"
"Sub-Tenant","1993","35-65 y.","Urban Area","71","0.0187120816924777","0.014747208202127","0.0226769551828285","2"
"Sub-Tenant","1993","35-65 y.","Rural Area","48","0.0278512055841346","0.0210837113503995","0.0346186998178697","2"
"Sub-Tenant","1993","66 and older","Urban Area","17","","","","2"
"Sub-Tenant","1993","66 and older","Rural Area","11","","","","2"
"Tenant","1993","16-34 y.","Urban Area","","","","","5"
"Tenant","1993","16-34 y.","Rural Area","","","","","5"
"Tenant","1993","35-65 y.","Urban Area","","","","","5"
"Tenant","1993","35-65 y.","Rural Area","","","","","5"
"Tenant","1993","66 and older","Urban Area","","","","","5"
"Tenant","1993","66 and older","Rural Area","","","","","5"
"Main Tenant","1994","16-34 y.","Urban Area","2347","0.678398547699308","0.662349813949385","0.694447281449231","1"
"Main Tenant","1994","16-34 y.","Rural Area","815","0.504680515445755","0.479877892298755","0.529483138592755","1"
"Main Tenant","1994","35-65 y.","Urban Area","2563","0.508317749758097","0.493480105635832","0.523155393880362","1"
"Main Tenant","1994","35-65 y.","Rural Area","982","0.407873530640218","0.387535754950906","0.42821130632953","1"
"Main Tenant","1994","66 and older","Urban Area","559","0.568494786133152","0.537904071510525","0.599085500755778","1"
"Main Tenant","1994","66 and older","Rural Area","223","0.449337533063904","0.406292951063616","0.492382115064192","1"
"Nursing Home/Retirement Community","1994","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1994","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1994","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1994","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1994","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1994","66 and older","Rural Area","","","","","4"
"Owner","1994","16-34 y.","Urban Area","811","0.287161648761926","0.271616386107209","0.302706911416643","3"
"Owner","1994","16-34 y.","Rural Area","655","0.43579860227078","0.411200214988396","0.460396989553163","3"
"Owner","1994","35-65 y.","Urban Area","1717","0.468595598180302","0.453785200374795","0.48340599598581","3"
"Owner","1994","66 and older","Urban Area","436","0.409974016334157","0.379596861780642","0.440351170887672","3"
"Owner","1994","35-65 y.","Rural Area","1217","0.575332213111775","0.554876366465582","0.595788059757967","3"
"Owner","1994","66 and older","Rural Area","278","0.507476046461399","0.46421362131949","0.550738471603308","3"
"Sub-Tenant","1994","16-34 y.","Urban Area","96","0.0344398035387665","0.028174251713094","0.0407053553644391","2"
"Sub-Tenant","1994","35-65 y.","Urban Area","81","0.0230866520616008","0.0186294374212954","0.0275438667019062","2"
"Sub-Tenant","1994","16-34 y.","Rural Area","91","0.0595208822834651","0.0477839148902022","0.0712578496767281","2"
"Sub-Tenant","1994","66 and older","Urban Area","12","","","","2"
"Sub-Tenant","1994","35-65 y.","Rural Area","44","0.0167942562480075","0.0114764067091204","0.0221121057868946","2"
"Sub-Tenant","1994","66 and older","Rural Area","12","","","","2"
"Tenant","1994","16-34 y.","Urban Area","","","","","5"
"Tenant","1994","16-34 y.","Rural Area","","","","","5"
"Tenant","1994","35-65 y.","Urban Area","","","","","5"
"Tenant","1994","35-65 y.","Rural Area","","","","","5"
"Tenant","1994","66 and older","Urban Area","","","","","5"
"Tenant","1994","66 and older","Rural Area","","","","","5"
"Main Tenant","1995","16-34 y.","Urban Area","2388","0.658091976656616","0.641997830840387","0.674186122472845","1"
"Main Tenant","1995","16-34 y.","Rural Area","879","0.499576961322394","0.475266608760961","0.523887313883828","1"
"Main Tenant","1995","35-65 y.","Urban Area","2664","0.508875051695715","0.494278372100589","0.523471731290841","1"
"Main Tenant","1995","35-65 y.","Rural Area","1073","0.415456635509732","0.395523745878467","0.435389525140997","1"
"Main Tenant","1995","66 and older","Urban Area","584","0.552872884522023","0.522785218742753","0.582960550301293","1"
"Main Tenant","1995","66 and older","Rural Area","212","0.400242117989658","0.357510259838436","0.44297397614088","1"
"Nursing Home/Retirement Community","1995","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1995","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1995","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1995","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1995","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1995","66 and older","Rural Area","","","","","4"
"Owner","1995","16-34 y.","Rural Area","648","0.431704912757449","0.407622396914186","0.455787428600713","3"
"Owner","1995","16-34 y.","Urban Area","833","0.289384545677964","0.273998572218823","0.304770519137106","3"
"Owner","1995","35-65 y.","Urban Area","1766","0.473261281963982","0.45868319265672","0.487839371271244","3"
"Owner","1995","35-65 y.","Rural Area","1219","0.560421024761547","0.540345139227746","0.580496910295349","3"
"Owner","1995","66 and older","Urban Area","449","0.423384325421176","0.39348434137136","0.453284309470991","3"
"Owner","1995","66 and older","Rural Area","273","0.546537828845859","0.503118505895261","0.589957151796456","3"
"Sub-Tenant","1995","16-34 y.","Urban Area","116","0.0525234776654196","0.0449546092829534","0.0600923460478858","2"
"Sub-Tenant","1995","16-34 y.","Rural Area","98","0.0687181259201563","0.0564183376104002","0.0810179142299123","2"
"Sub-Tenant","1995","35-65 y.","Urban Area","76","0.0178636663403027","0.0139962254435399","0.0217311072370655","2"
"Sub-Tenant","1995","35-65 y.","Rural Area","56","0.0241223397287205","0.0179164158014523","0.0303282636559888","2"
"Sub-Tenant","1995","66 and older","Rural Area","20","","","","2"
