"hlf0001_h","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1986","16-34 y.","2623","0.58010618726338","0.564978831450081","0.595233543076679","1"
"Main Tenant","1986","35-65 y.","2916","0.45479695858747","0.441631010042907","0.467962907132033","1"
"Main Tenant","1986","66 and older","523","0.562373189659001","0.532294825708134","0.592451553609869","1"
"Nursing Home/Retirement Community","1986","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1986","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1986","66 and older","","","","","4"
"Owner","1986","16-34 y.","1369","0.394856766948673","0.379874124379853","0.409839409517493","3"
"Owner","1986","35-65 y.","2497","0.535255551644741","0.522068371523917","0.548442731765564","3"
"Owner","1986","66 and older","503","0.414945348219811","0.385072019738863","0.44481867670076","3"
"Sub-Tenant","1986","16-34 y.","97","0.0250370457879471","0.0202482630437969","0.0298258285320973","2"
"Sub-Tenant","1986","66 and older","19","","","","2"
"Sub-Tenant","1986","35-65 y.","82","0.00994748976778933","0.00732357267998015","0.0125714068555985","2"
"Tenant","1986","16-34 y.","","","","","5"
"Tenant","1986","35-65 y.","","","","","5"
"Tenant","1986","66 and older","","","","","5"
"Main Tenant","1987","16-34 y.","2560","0.572585452606601","0.557328915515304","0.587841989697899","1"
"Main Tenant","1987","35-65 y.","2861","0.454862985680789","0.441556906984878","0.4681690643767","1"
"Main Tenant","1987","66 and older","540","0.562557725168003","0.533026778312471","0.592088672023535","1"
"Nursing Home/Retirement Community","1987","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1987","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1987","66 and older","","","","","4"
"Owner","1987","16-34 y.","1368","0.393475173192607","0.378409306397999","0.408541039987214","3"
"Owner","1987","35-65 y.","2440","0.53352349194897","0.52019292515398","0.546854058743961","3"
"Owner","1987","66 and older","527","0.416019035583453","0.386677056926939","0.445361014239968","3"
"Sub-Tenant","1987","16-34 y.","111","0.0339393742007917","0.0283551188322035","0.03952362956938","2"
"Sub-Tenant","1987","35-65 y.","79","0.0116135223702412","0.00875064773254146","0.0144763970079409","2"
"Sub-Tenant","1987","66 and older","17","","","","2"
"Tenant","1987","16-34 y.","","","","","5"
"Tenant","1987","35-65 y.","","","","","5"
"Tenant","1987","66 and older","","","","","5"
"Main Tenant","1988","16-34 y.","2455","0.56344101237367","0.547776855408711","0.57910516933863","1"
"Main Tenant","1988","35-65 y.","2725","0.451934607337667","0.438291708532212","0.465577506143121","1"
"Main Tenant","1988","66 and older","540","0.570898195876162","0.541017735043854","0.60077865670847","1"
"Nursing Home/Retirement Community","1988","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1988","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1988","66 and older","","","","","4"
"Owner","1988","16-34 y.","1295","0.400311360951009","0.384836626677585","0.415786095224433","3"
"Owner","1988","35-65 y.","2309","0.530847981462839","0.51716771526462","0.544528247661057","3"
"Owner","1988","66 and older","498","0.410777324264304","0.381076346791443","0.440478301737166","3"
"Sub-Tenant","1988","16-34 y.","101","0.0362476266753206","0.0303444762503666","0.0421507771002747","2"
"Sub-Tenant","1988","35-65 y.","78","0.0172174111994946","0.0136515427179847","0.0207832796810046","2"
"Sub-Tenant","1988","66 and older","16","","","","2"
"Tenant","1988","16-34 y.","","","","","5"
"Tenant","1988","35-65 y.","","","","","5"
"Tenant","1988","66 and older","","","","","5"
"Main Tenant","1989","16-34 y.","2384","0.555891123372309","0.540028514395503","0.571753732349114","1"
"Main Tenant","1989","35-65 y.","2612","0.452034071378981","0.438107420706712","0.46596072205125","1"
"Main Tenant","1989","66 and older","505","0.551866522473355","0.521481390791471","0.582251654155239","1"
"Nursing Home/Retirement Community","1989","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1989","66 and older","","","","","4"
"Nursing Home/Retirement Community","1989","35-65 y.","","","","","4"
"Owner","1989","16-34 y.","1277","0.406325401806807","0.390645395156893","0.422005408456722","3"
"Owner","1989","35-65 y.","2222","0.529354016600493","0.515386969304164","0.543321063896822","3"
"Owner","1989","66 and older","510","0.432586533552545","0.402315536844748","0.462857530260343","3"
"Sub-Tenant","1989","16-34 y.","99","0.0344880569771871","0.0286623557080503","0.0403137582463239","2"
"Sub-Tenant","1989","35-65 y.","70","0.0180765347786565","0.0143484933584904","0.0218045761988226","2"
"Sub-Tenant","1989","66 and older","11","","","","2"
"Tenant","1989","16-34 y.","9","","","","5"
"Tenant","1989","35-65 y.","2","","","","5"
"Tenant","1989","66 and older","3","","","","5"
"Main Tenant","1990","16-34 y.","3419","0.589902268584933","0.576726280727636","0.603078256442229","1"
"Main Tenant","1990","35-65 y.","3955","0.490736434214661","0.479109002720326","0.502363865708995","1"
"Main Tenant","1990","66 and older","803","0.579029484442416","0.554044525477241","0.60401444340759","1"
"Nursing Home/Retirement Community","1990","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1990","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1990","66 and older","","","","","4"
"Owner","1990","16-34 y.","1730","0.362448242703791","0.349570783220369","0.375325702187213","3"
"Owner","1990","35-65 y.","3000","0.489402586504658","0.477775771294901","0.501029401714414","3"
"Owner","1990","66 and older","676","0.404488782022825","0.379651694042122","0.429325870003528","3"
"Sub-Tenant","1990","16-34 y.","201","0.0473654426915927","0.0416750343078652","0.0530558510753201","2"
"Sub-Tenant","1990","35-65 y.","139","0.018916819166769","0.0157482345744164","0.0220854037591217","2"
"Sub-Tenant","1990","66 and older","20","","","","2"
"Tenant","1990","16-34 y.","3","","","","5"
"Tenant","1990","66 and older","1","","","","5"
"Tenant","1990","35-65 y.","7","","","","5"
"Main Tenant","1991","16-34 y.","3328","0.600213378976364","0.586859366152743","0.613567391799985","1"
"Main Tenant","1991","35-65 y.","3842","0.492215587079255","0.480505654305765","0.503925519852745","1"
"Main Tenant","1991","66 and older","760","0.554727218686754","0.529423939853712","0.580030497519796","1"
"Nursing Home/Retirement Community","1991","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1991","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1991","66 and older","","","","","4"
"Owner","1991","16-34 y.","1616","0.345632710147927","0.332667993355763","0.358597426940091","3"
"Owner","1991","35-65 y.","3002","0.48745029119053","0.475742628527909","0.49915795385315","3"
"Owner","1991","66 and older","688","0.418883766880341","0.393764771963004","0.444002761797678","3"
"Sub-Tenant","1991","16-34 y.","224","0.0540379208969087","0.0478743697515473","0.06020147204227","2"
"Sub-Tenant","1991","35-65 y.","152","0.0196793897003948","0.0164260686936538","0.0229327107071358","2"
"Sub-Tenant","1991","66 and older","31","0.022424762572603","0.0148866431752678","0.0299628819699382","2"
"Tenant","1991","16-34 y.","1","","","","5"
"Tenant","1991","35-65 y.","6","","","","5"
"Tenant","1991","66 and older","3","","","","5"
"Main Tenant","1992","16-34 y.","3279","0.611012447790129","0.597496613887205","0.624528281693054","1"
"Main Tenant","1992","35-65 y.","3815","0.493051847171037","0.481264781258046","0.504838913084027","1"
"Main Tenant","1992","66 and older","760","0.548684772924625","0.523332396148342","0.574037149700908","1"
"Nursing Home/Retirement Community","1992","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1992","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1992","66 and older","","","","","4"
"Owner","1992","16-34 y.","1537","0.340897317015348","0.327756018024601","0.354038616006094","3"
"Owner","1992","35-65 y.","2962","0.487066820645903","0.475282560701717","0.498851080590088","3"
"Owner","1992","66 and older","695","0.428219256990163","0.40300970704646","0.453428806933867","3"
"Sub-Tenant","1992","16-34 y.","181","0.047798740876738","0.0418841791437467","0.0537133026097294","2"
"Sub-Tenant","1992","35-65 y.","128","0.0183966012282493","0.0152283875216198","0.0215648149348788","2"
"Sub-Tenant","1992","66 and older","24","","","","2"
"Tenant","1992","16-34 y.","1","","","","5"
"Tenant","1992","35-65 y.","6","","","","5"
"Tenant","1992","66 and older","1","","","","5"
"Main Tenant","1993","16-34 y.","3228","0.616609775347118","0.603022405400899","0.630197145293337","1"
"Main Tenant","1993","35-65 y.","3693","0.480989403170999","0.469077123965852","0.492901682376146","1"
"Main Tenant","1993","66 and older","772","0.538747844729346","0.513504077817714","0.563991611640978","1"
"Nursing Home/Retirement Community","1993","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1993","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1993","66 and older","","","","","4"
"Owner","1993","16-34 y.","1484","0.333532873392779","0.320357335068402","0.346708411717156","3"
"Owner","1993","35-65 y.","2946","0.497572864931231","0.485652106570074","0.509493623292387","3"
"Owner","1993","66 and older","698","0.437923932576781","0.412799915997248","0.463047949156313","3"
"Sub-Tenant","1993","16-34 y.","207","0.0498573512601025","0.0437750393567962","0.0559396631634089","2"
"Sub-Tenant","1993","35-65 y.","119","0.0214377318977707","0.017984524616699","0.0248909391788424","2"
"Sub-Tenant","1993","66 and older","28","","","","2"
"Tenant","1993","16-34 y.","","","","","5"
"Tenant","1993","35-65 y.","","","","","5"
"Tenant","1993","66 and older","","","","","5"
"Main Tenant","1994","16-34 y.","3162","0.625724478530784","0.612055463222932","0.639393493838635","1"
"Main Tenant","1994","35-65 y.","3545","0.478598980014089","0.46655094055351","0.490647019474668","1"
"Main Tenant","1994","66 and older","782","0.531801009053656","0.506715893134589","0.556886124972723","1"
"Nursing Home/Retirement Community","1994","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1994","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1994","66 and older","","","","","4"
"Owner","1994","16-34 y.","1466","0.332230736113184","0.318926710808914","0.345534761417454","3"
"Owner","1994","35-65 y.","2934","0.500176120287608","0.488117030295985","0.512235210279232","3"
"Owner","1994","66 and older","714","0.439999194543058","0.415044827214596","0.46495356187152","3"
"Sub-Tenant","1994","16-34 y.","187","0.0420447853560323","0.0363761487357765","0.0477134219762882","2"
"Sub-Tenant","1994","35-65 y.","125","0.0212248996983028","0.0177486670164291","0.0247011323801765","2"
"Sub-Tenant","1994","66 and older","24","","","","2"
"Tenant","1994","16-34 y.","","","","","5"
"Tenant","1994","35-65 y.","","","","","5"
"Tenant","1994","66 and older","","","","","5"
"Main Tenant","1995","16-34 y.","3267","0.608726614593373","0.595147513855322","0.622305715331425","1"
"Main Tenant","1995","35-65 y.","3737","0.480680221789338","0.46885194172779","0.492508501850885","1"
"Main Tenant","1995","66 and older","796","0.507384537443733","0.482527737464768","0.532241337422698","1"
"Nursing Home/Retirement Community","1995","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1995","66 and older","","","","","4"
"Nursing Home/Retirement Community","1995","35-65 y.","","","","","4"
"Owner","1995","35-65 y.","2985","0.499567167068783","0.487730051641097","0.51140428249647","3"
"Owner","1995","16-34 y.","1481","0.333706507449466","0.320586477248281","0.346826537650651","3"
"Owner","1995","66 and older","722","0.460087602453473","0.435307420029273","0.484867784877674","3"
"Sub-Tenant","1995","16-34 y.","214","0.0575668779571606","0.0510860376530787","0.0640477182612424","2"
"Sub-Tenant","1995","66 and older","36","0.0325278601027937","0.0237078402168334","0.041347879988754","2"
"Sub-Tenant","1995","35-65 y.","132","0.0197526111418791","0.0164583642481933","0.0230468580355649","2"
"Tenant","1995","16-34 y.","","","","","5"
"Tenant","1995","35-65 y.","","","","","5"
"Tenant","1995","66 and older","","","","","5"
"Main Tenant","1996","16-34 y.","3115","0.615541768316082","0.601752473240194","0.62933106339197","1"
"Main Tenant","1996","35-65 y.","3585","0.477469136525014","0.465566509738146","0.489371763311882","1"
"Main Tenant","1996","66 and older","816","0.510399661473457","0.485743068296311","0.535056254650604","1"
"Nursing Home/Retirement Community","1996","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1996","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1996","66 and older","","","","","4"
"Owner","1996","16-34 y.","1462","0.34018898030597","0.326759518073835","0.353618442538106","3"
"Owner","1996","35-65 y.","3033","0.499592211426157","0.487677485672643","0.511506937179671","3"
"Owner","1996","66 and older","726","0.456180996161119","0.431613957423341","0.480748034898897","3"
"Sub-Tenant","1996","16-34 y.","204","0.0442692513779476","0.0384387273766201","0.0500997753792751","2"
"Sub-Tenant","1996","66 and older","37","0.0334193423654236","0.024554418178775","0.0422842665520722","2"
"Sub-Tenant","1996","35-65 y.","147","0.0229386520488285","0.0193711925277846","0.0265061115698724","2"
"Tenant","1996","16-34 y.","","","","","5"
"Tenant","1996","35-65 y.","","","","","5"
"Tenant","1996","66 and older","","","","","5"
"Main Tenant","1997","16-34 y.","2969","0.614319087003578","0.600307495890812","0.628330678116344","1"
"Main Tenant","1997","35-65 y.","3423","0.466421737742768","0.454445955465015","0.478397520020521","1"
"Main Tenant","1997","66 and older","849","0.514463355040791","0.490072943027886","0.538853767053696","1"
"Nursing Home/Retirement Community","1997","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1997","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1997","66 and older","","","","","4"
"Owner","1997","16-34 y.","1486","0.344228293192061","0.330551760854446","0.357904825529675","3"
"Owner","1997","35-65 y.","3111","0.511203308204109","0.499203442294077","0.523203174114141","3"
"Owner","1997","66 and older","732","0.453442413553268","0.429147803043462","0.477737024063074","3"
"Sub-Tenant","1997","16-34 y.","181","0.0414526198043611","0.0357146380726306","0.0471906015360916","2"
"Sub-Tenant","1997","35-65 y.","132","0.0223749540531235","0.0188245100119044","0.0259253980943426","2"
"Sub-Tenant","1997","66 and older","32","0.0320942314059411","0.0234929939743596","0.0406954688375226","2"
"Tenant","1997","16-34 y.","","","","","5"
"Tenant","1997","35-65 y.","","","","","5"
"Tenant","1997","66 and older","","","","","5"
"Main Tenant","1998","16-34 y.","3009","0.597685137224399","0.58393411216038","0.611436162288419","1"
"Main Tenant","1998","35-65 y.","3709","0.458038241794879","0.446800448310196","0.469276035279562","1"
"Main Tenant","1998","66 and older","950","0.493790485212174","0.471256456817184","0.516324513607164","1"
"Nursing Home/Retirement Community","1998","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1998","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1998","66 and older","","","","","4"
"Owner","1998","16-34 y.","1654","0.347958880311134","0.334601623941601","0.361316136680667","3"
"Owner","1998","66 and older","892","0.470102860313261","0.447607416746052","0.492598303880469","3"
"Owner","1998","35-65 y.","3676","0.517437181173054","0.506166462736854","0.528707899609255","3"
"Sub-Tenant","1998","16-34 y.","222","0.0543559824644668","0.0479982342932079","0.0607137306357256","2"
"Sub-Tenant","1998","35-65 y.","165","0.0241916146845726","0.0207261573442338","0.0276570720249113","2"
"Sub-Tenant","1998","66 and older","31","0.0222571115336045","0.0156082228719904","0.0289060001952185","2"
"Tenant","1998","16-34 y.","","","","","5"
"Tenant","1998","35-65 y.","1","","","","5"
"Tenant","1998","66 and older","18","","","","5"
"Main Tenant","1999","16-34 y.","2871","0.606430178693396","0.592338281980288","0.620522075406505","1"
"Main Tenant","1999","35-65 y.","3546","0.461151896711149","0.449729258503518","0.47257453491878","1"
"Main Tenant","1999","66 and older","896","0.485879095259938","0.463011168355377","0.508747022164499","1"
"Nursing Home/Retirement Community","1999","16-34 y.","2","","","","4"
"Nursing Home/Retirement Community","1999","35-65 y.","1","","","","4"
"Nursing Home/Retirement Community","1999","66 and older","23","","","","4"
"Owner","1999","16-34 y.","1592","0.353975815077503","0.340182160778366","0.36776946937664","3"
"Owner","1999","66 and older","881","0.474807576717318","0.451959581296471","0.497655572138164","3"
"Owner","1999","35-65 y.","3627","0.517579516815456","0.506129327884936","0.529029705745977","3"
"Sub-Tenant","1999","35-65 y.","142","0.0209335862602519","0.0176530930962077","0.0242140794242962","2"
"Sub-Tenant","1999","16-34 y.","152","0.0394127479301704","0.0338002664489297","0.0450252294114111","2"
"Sub-Tenant","1999","66 and older","35","0.0213406236178022","0.014728371710653","0.0279528755249514","2"
"Tenant","1999","16-34 y.","","","","","5"
"Tenant","1999","35-65 y.","","","","","5"
"Tenant","1999","66 and older","","","","","5"
"Main Tenant","2000","16-34 y.","4315","0.633647218815668","0.622475487366657","0.644818950264678","1"
"Main Tenant","2000","66 and older","1611","0.473548183374213","0.457327886414458","0.489768480333967","1"
"Main Tenant","2000","35-65 y.","5907","0.461259964537358","0.452844428961549","0.469675500113168","1"
"Nursing Home/Retirement Community","2000","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","2000","35-65 y.","2","","","","4"
"Nursing Home/Retirement Community","2000","66 and older","31","0.0124039854855135","0.00880841598210996","0.0159995549889171","4"
"Owner","2000","16-34 y.","2650","0.335943481141341","0.324991754232168","0.346895208050515","3"
"Owner","2000","35-65 y.","7438","0.526947745010311","0.518519103395296","0.535376386625326","3"
"Owner","2000","66 and older","1960","0.500260406495854","0.484017365342775","0.516503447648934","3"
"Sub-Tenant","2000","35-65 y.","132","0.0115149972193739","0.00971390389980925","0.0133160905389385","2"
"Sub-Tenant","2000","16-34 y.","180","0.0304093000429912","0.0264278212491642","0.0343907788368181","2"
"Sub-Tenant","2000","66 and older","38","0.0137874246444196","0.00999930015260113","0.0175755491362381","2"
"Tenant","2000","16-34 y.","","","","","5"
"Tenant","2000","35-65 y.","","","","","5"
"Tenant","2000","66 and older","","","","","5"
"Main Tenant","2001","16-34 y.","3741","0.625892010119286","0.613943162798342","0.63784085744023","1"
"Main Tenant","2001","35-65 y.","5434","0.466350545130521","0.457540821780074","0.475160268480968","1"
"Main Tenant","2001","66 and older","1501","0.45953008354597","0.44288844003128","0.47617172706066","1"
"Nursing Home/Retirement Community","2001","35-65 y.","4","","","","4"
"Nursing Home/Retirement Community","2001","16-34 y.","3","","","","4"
"Nursing Home/Retirement Community","2001","66 and older","31","0.0145665891449889","0.0105657963924998","0.0185673818974781","4"
"Owner","2001","16-34 y.","2382","0.343883754061717","0.33215440147292","0.355613106650515","3"
"Owner","2001","35-65 y.","6761","0.519124390603284","0.510301110162652","0.527947671043916","3"
"Owner","2001","66 and older","1877","0.512698772333284","0.49600773342917","0.529389811237397","3"
"Sub-Tenant","2001","16-34 y.","174","0.0301229341902683","0.0259022311445898","0.0343436372359468","2"
"Sub-Tenant","2001","35-65 y.","119","0.0140401965839206","0.0119624422817505","0.0161179508860908","2"
"Sub-Tenant","2001","66 and older","36","0.0132045549757573","0.00939276529062442","0.0170163446608902","2"
"Tenant","2001","16-34 y.","","","","","5"
"Tenant","2001","35-65 y.","","","","","5"
"Tenant","2001","66 and older","","","","","5"
"Main Tenant","2002","16-34 y.","3506","0.633831023881104","0.621825789250712","0.645836258511496","1"
"Main Tenant","2002","35-65 y.","5401","0.459557769280837","0.451097626130541","0.468017912431133","1"
"Main Tenant","2002","66 and older","1578","0.456773999659883","0.440593992356533","0.472954006963234","1"
"Nursing Home/Retirement Community","2002","16-34 y.","3","","","","4"
"Nursing Home/Retirement Community","2002","35-65 y.","1","","","","4"
"Nursing Home/Retirement Community","2002","66 and older","30","0.0129054138307011","0.00923932398396708","0.0165715036774352","4"
"Owner","2002","16-34 y.","2506","0.337785209222777","0.325999305584181","0.349571112861374","3"
"Owner","2002","35-65 y.","7791","0.524802779334075","0.516325274903151","0.533280283764999","3"
"Owner","2002","66 and older","1991","0.518409230066998","0.502179429186521","0.534639030947476","3"
"Sub-Tenant","2002","16-34 y.","171","0.0279588160018945","0.0238506796087734","0.0320669523950156","2"
"Sub-Tenant","2002","66 and older","42","0.0119113564424172","0.00838751534795682","0.0154351975368777","2"
"Sub-Tenant","2002","35-65 y.","137","0.0154304505707332","0.0133380466742813","0.017522854467185","2"
"Tenant","2002","16-34 y.","","","","","5"
"Tenant","2002","35-65 y.","","","","","5"
"Tenant","2002","66 and older","","","","","5"
"Main Tenant","2003","16-34 y.","3279","0.622302154931813","0.609916731235465","0.634687578628162","1"
"Main Tenant","2003","35-65 y.","5099","0.465602249706238","0.45692930811327","0.474275191299207","1"
"Main Tenant","2003","66 and older","1577","0.442800660396079","0.426804268754133","0.458797052038024","1"
"Nursing Home/Retirement Community","2003","16-34 y.","1","","","","4"
"Nursing Home/Retirement Community","2003","66 and older","32","0.0129409674961095","0.00930125115311101","0.016580683839108","4"
"Nursing Home/Retirement Community","2003","35-65 y.","1","","","","4"
"Owner","2003","16-34 y.","2420","0.339724431638795","0.327625027965458","0.351823835312132","3"
"Owner","2003","35-65 y.","7445","0.516937268876074","0.508248719684753","0.525625818067395","3"
"Owner","2003","66 and older","2043","0.525296615015519","0.509215133072639","0.541378096958399","3"
"Sub-Tenant","2003","16-34 y.","186","0.0379568389615653","0.0330750358585573","0.0428386420645733","2"
"Sub-Tenant","2003","35-65 y.","162","0.0173475700184661","0.0150774654283863","0.0196176746085459","2"
"Sub-Tenant","2003","66 and older","52","0.0189617570922931","0.0145694281190063","0.0233540860655798","2"
"Tenant","2003","35-65 y.","","","","","5"
"Tenant","2003","16-34 y.","","","","","5"
"Tenant","2003","66 and older","","","","","5"
"Main Tenant","2004","16-34 y.","3151","0.629554834067576","0.616958145230098","0.642151522905054","1"
"Main Tenant","2004","35-65 y.","4925","0.471691833661808","0.462859028507525","0.480524638816091","1"
"Main Tenant","2004","66 and older","1607","0.448946987388203","0.433167923581103","0.464726051195302","1"
"Nursing Home/Retirement Community","2004","16-34 y.","1","","","","4"
"Nursing Home/Retirement Community","2004","66 and older","36","0.0152165649182339","0.0113331330516601","0.0190999967848078","4"
"Nursing Home/Retirement Community","2004","35-65 y.","3","","","","4"
"Owner","2004","35-65 y.","7197","0.510648770641401","0.501803781647103","0.519493759635699","3"
"Owner","2004","16-34 y.","2323","0.334565804002584","0.322258271638958","0.34687333636621","3"
"Owner","2004","66 and older","2127","0.520526289354193","0.504677695161705","0.53637488354668","3"
"Sub-Tenant","2004","16-34 y.","171","0.0358612408502827","0.0310110360002609","0.0407114457003045","2"
"Sub-Tenant","2004","35-65 y.","145","0.0174930922600045","0.0151734185031671","0.0198127660168419","2"
"Sub-Tenant","2004","66 and older","47","0.0153101583393707","0.0114149868657273","0.0192053298130141","2"
"Tenant","2004","16-34 y.","","","","","5"
"Tenant","2004","35-65 y.","","","","","5"
"Tenant","2004","66 and older","","","","","5"
"Main Tenant","2005","16-34 y.","2986","0.630512491036725","0.617571677063004","0.643453305010447","1"
"Main Tenant","2005","35-65 y.","4681","0.4813387603089","0.472264949404308","0.490412571213492","1"
"Main Tenant","2005","66 and older","1585","0.451392321232298","0.435609621782876","0.467175020681721","1"
"Nursing Home/Retirement Community","2005","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","2005","35-65 y.","4","","","","4"
"Nursing Home/Retirement Community","2005","66 and older","35","0.0149866814085909","0.0111332551656863","0.0188401076514956","4"
"Owner","2005","35-65 y.","6818","0.499790364346222","0.490710227867935","0.50887050082451","3"
"Owner","2005","16-34 y.","2174","0.326358486332242","0.313787286126798","0.338929686537686","3"
"Owner","2005","66 and older","2137","0.513870490162151","0.498018781072325","0.529722199251977","3"
"Sub-Tenant","2005","16-34 y.","184","0.0431290226310329","0.0376824115450997","0.0485756337169661","2"
"Sub-Tenant","2005","35-65 y.","145","0.0185810598633793","0.0161286962211712","0.0210334235055875","2"
"Sub-Tenant","2005","66 and older","62","0.0197505071969598","0.0153375399776832","0.0241634744162364","2"
"Tenant","2005","16-34 y.","","","","","5"
"Tenant","2005","35-65 y.","","","","","5"
"Tenant","2005","66 and older","","","","","5"
"Main Tenant","2006","16-34 y.","3026","0.634417081647106","0.621630040323757","0.647204122970454","1"
"Main Tenant","2006","35-65 y.","4933","0.48346200485888","0.474679768415415","0.492244241302344","1"
"Main Tenant","2006","66 and older","1847","0.464101303090759","0.44951732639601","0.478685279785508","1"
"Nursing Home/Retirement Community","2006","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","2006","35-65 y.","4","","","","4"
"Nursing Home/Retirement Community","2006","66 and older","44","0.013222696232311","0.00988230139586138","0.0165630910687607","4"
"Owner","2006","16-34 y.","2243","0.322996049552625","0.310579986944825","0.335412112160426","3"
"Owner","2006","35-65 y.","7366","0.500969887128278","0.492182859294974","0.509756914961583","3"
"Owner","2006","66 and older","2547","0.507453750964348","0.492833663904113","0.522073838024582","3"
"Sub-Tenant","2006","16-34 y.","180","0.0425868688002691","0.0372254808766567","0.0479482567238814","2"
"Sub-Tenant","2006","35-65 y.","135","0.0151400657335518","0.0129940943313246","0.017286037135779","2"
"Sub-Tenant","2006","66 and older","54","0.0152222497125827","0.0116418068125037","0.0188026926126617","2"
"Tenant","2006","16-34 y.","","","","","5"
"Tenant","2006","35-65 y.","","","","","5"
"Tenant","2006","66 and older","","","","","5"
"Main Tenant","2007","16-34 y.","2807","0.616945956919285","0.60356599515696","0.63032591868161","1"
"Main Tenant","2007","35-65 y.","4541","0.477524290533412","0.468390779400087","0.486657801666737","1"
"Main Tenant","2007","66 and older","1809","0.460475536936953","0.445756344381991","0.475194729491915","1"
"Nursing Home/Retirement Community","2007","35-65 y.","6","","","","4"
"Nursing Home/Retirement Community","2007","16-34 y.","2","","","","4"
"Nursing Home/Retirement Community","2007","66 and older","44","0.0136935388592407","0.0102616048931049","0.0171254728253766","4"
"Owner","2007","16-34 y.","2080","0.332219133488745","0.319255385138855","0.345182881838635","3"
"Owner","2007","35-65 y.","6831","0.507697615741839","0.498555946417516","0.516839285066162","3"
"Owner","2007","66 and older","2496","0.508914979131477","0.494151928973412","0.523678029289542","3"
