"plh0206i05","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"4 on scale 1-7","2007","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2007","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2007","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2007","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2007","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2007","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2007","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2007","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2007","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2007","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2007","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2007","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2007","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2007","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2008","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2008","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2008","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2008","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2008","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2008","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2008","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2008","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2008","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2008","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2008","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2008","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2008","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2008","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2008","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2008","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2008","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2008","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2008","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2008","Rural Area","East Germany","","","","","6"
"6 on scale 1-7","2008","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2008","Rural Area","West Germany","","","","","6"
"7 Strongly agree","2008","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2008","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2008","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2008","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2009","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2009","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2009","Rural Area","East Germany","","","","","1"
"1 Strongly disagree","2009","Urban Area","West Germany","","","","","1"
"2 on scale 1-7 ","2009","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2009","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2009","Rural Area","East Germany","","","","","2"
"2 on scale 1-7 ","2009","Urban Area","West Germany","","","","","2"
"3 on scale 1-7 ","2009","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2009","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2009","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2009","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2009","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2009","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2009","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2009","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2009","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2009","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2009","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2009","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2009","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2009","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2009","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2009","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2009","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2009","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2009","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2009","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2010","Urban Area","West Germany","1956","0.212862474363142","0.204656324580757","0.221068624145527","1"
"1 Strongly disagree","2010","Urban Area","East Germany","286","0.200609016029348","0.180018362517344","0.221199669541352","1"
"1 Strongly disagree","2010","Rural Area","West Germany","567","0.17766207279405","0.163901658357565","0.191422487230536","1"
"1 Strongly disagree","2010","Rural Area","East Germany","454","0.186757724048651","0.172000285137586","0.201515162959716","1"
"2 on scale 1-7 ","2010","Urban Area","West Germany","2215","0.213247240039697","0.205035684682265","0.221458795397128","2"
"2 on scale 1-7 ","2010","Urban Area","East Germany","352","0.239393658491053","0.217452903095066","0.261334413887039","2"
"2 on scale 1-7 ","2010","Rural Area","West Germany","657","0.206938378118021","0.192354165779911","0.221522590456132","2"
"2 on scale 1-7 ","2010","Rural Area","East Germany","547","0.194306394884694","0.179323689507674","0.209289100261714","2"
"3 on scale 1-7 ","2010","Urban Area","West Germany","1842","0.192407948739191","0.184505310518179","0.200310586960203","3"
"3 on scale 1-7 ","2010","Urban Area","East Germany","270","0.176932070208131","0.157310380508889","0.196553759907372","3"
"3 on scale 1-7 ","2010","Rural Area","East Germany","458","0.170881360282145","0.156627994849646","0.185134725714644","3"
"3 on scale 1-7 ","2010","Rural Area","West Germany","525","0.180358245996703","0.166516558819948","0.194199933173458","3"
"4 on scale 1-7","2010","Urban Area","East Germany","283","0.201086488866345","0.180477503428431","0.221695474304259","4"
"4 on scale 1-7","2010","Rural Area","West Germany","544","0.176721432906987","0.162989647491586","0.190453218322388","4"
"4 on scale 1-7","2010","Urban Area","West Germany","1662","0.169592664959443","0.162069272826916","0.17711605709197","4"
"4 on scale 1-7","2010","Rural Area","East Germany","545","0.18152651217536","0.166930504806371","0.196122519544349","4"
"5 on scale 1-7","2010","Urban Area","West Germany","945","0.105793197148835","0.0996270705986159","0.111959323699054","5"
"5 on scale 1-7","2010","Rural Area","West Germany","348","0.125747107175491","0.113810620109046","0.137683594241936","5"
"5 on scale 1-7","2010","Urban Area","East Germany","117","0.0816052452312189","0.0675289288895133","0.0956815615729245","5"
"5 on scale 1-7","2010","Rural Area","East Germany","332","0.120806086816151","0.108465140049504","0.133147033582798","5"
"6 on scale 1-7","2010","Urban Area","West Germany","518","0.0589093846760361","0.0541890527080432","0.063629716644029","6"
"6 on scale 1-7","2010","Urban Area","East Germany","80","0.0535401219287102","0.0419655199423631","0.0651147239150573","6"
"6 on scale 1-7","2010","Rural Area","West Germany","180","0.0738171885392992","0.0644040142493955","0.083230362829203","6"
"6 on scale 1-7","2010","Rural Area","East Germany","215","0.0834475507789609","0.0729751273748148","0.0939199741831069","6"
"7 Strongly agree","2010","Urban Area","West Germany","420","0.0471870900736555","0.0429361988447533","0.0514379813025577","7"
"7 Strongly agree","2010","Urban Area","East Germany","65","0.0468333992451944","0.0359697050435483","0.0576970934468405","7"
"7 Strongly agree","2010","Rural Area","West Germany","143","0.058755574469448","0.0502894482622081","0.0672217006766879","7"
"7 Strongly agree","2010","Rural Area","East Germany","128","0.0622743710140378","0.0531236713401963","0.0714250706878792","7"
"1 Strongly disagree","2011","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2011","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2011","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2011","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2011","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2011","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2011","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2011","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2011","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2011","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2011","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2011","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2011","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2011","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2011","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2011","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2011","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2011","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2011","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2011","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2011","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2011","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2011","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2011","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2011","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2011","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2011","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2011","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2012","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2012","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2012","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2012","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2012","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2012","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2012","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2012","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2012","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2012","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2012","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2012","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2012","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2012","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2012","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2012","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2012","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2012","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2012","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2012","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2012","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2012","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2012","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2012","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2012","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2012","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2012","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2012","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2013","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2013","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2013","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2013","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2013","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2013","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2013","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2013","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2013","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2013","Rural Area","East Germany","","","","","3"
"3 on scale 1-7 ","2013","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2013","Urban Area","East Germany","","","","","3"
"4 on scale 1-7","2013","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2013","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2013","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2013","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2013","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2013","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2013","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2013","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2013","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2013","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2013","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2013","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2013","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2013","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2013","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2013","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2014","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2014","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2014","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2014","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2014","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2014","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2014","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2014","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2014","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2014","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2014","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2014","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2014","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2014","Rural Area","East Germany","","","","","4"
"4 on scale 1-7","2014","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2014","Rural Area","West Germany","","","","","4"
"5 on scale 1-7","2014","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2014","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2014","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2014","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2014","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2014","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2014","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2014","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2014","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2014","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2014","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2014","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2015","Urban Area","West Germany","4319","0.263852070709072","0.256932845146911","0.270771296271233","1"
"1 Strongly disagree","2015","Urban Area","East Germany","522","0.238861914462273","0.220253887652582","0.257469941271965","1"
"1 Strongly disagree","2015","Rural Area","West Germany","1464","0.234425566215917","0.223438336397886","0.245412796033948","1"
"1 Strongly disagree","2015","Rural Area","East Germany","716","0.211088206253754","0.197381416795542","0.224794995711965","1"
"2 on scale 1-7 ","2015","Urban Area","West Germany","4035","0.249679608375955","0.242884293278144","0.256474923473767","2"
"2 on scale 1-7 ","2015","Urban Area","East Germany","509","0.250959884518408","0.232038634101566","0.26988113493525","2"
"2 on scale 1-7 ","2015","Rural Area","East Germany","853","0.236724904205231","0.22244740798567","0.251002400424793","2"
"2 on scale 1-7 ","2015","Rural Area","West Germany","1407","0.238200740140077","0.22715273576831","0.249248744511844","2"
"3 on scale 1-7 ","2015","Urban Area","West Germany","2366","0.158517685003317","0.152783706705553","0.164251663301081","3"
"3 on scale 1-7 ","2015","Rural Area","West Germany","930","0.170605070480606","0.160849140690674","0.180361000270537","3"
"3 on scale 1-7 ","2015","Urban Area","East Germany","361","0.185135804213278","0.168185286458341","0.202086321968214","3"
"3 on scale 1-7 ","2015","Rural Area","East Germany","594","0.186285677393059","0.173208462941522","0.199362891844596","3"
"4 on scale 1-7","2015","Urban Area","West Germany","2275","0.157721892698222","0.151999621534966","0.163444163861478","4"
"4 on scale 1-7","2015","Rural Area","East Germany","563","0.145870333102501","0.13401442229084","0.157726243914161","4"
"4 on scale 1-7","2015","Urban Area","East Germany","283","0.135265878315796","0.120340320590538","0.150191436041054","4"
"4 on scale 1-7","2015","Rural Area","West Germany","879","0.162150527161188","0.152591048815272","0.171710005507104","4"
"5 on scale 1-7","2015","Urban Area","West Germany","1200","0.079573719391464","0.0753248437316024","0.0838225950513255","5"
"5 on scale 1-7","2015","Urban Area","East Germany","169","0.105480159488773","0.0920748909093773","0.118885428068168","5"
"5 on scale 1-7","2015","Rural Area","West Germany","500","0.0948133028158549","0.0872153650826712","0.102411240549039","5"
"5 on scale 1-7","2015","Rural Area","East Germany","313","0.0976937859448114","0.0877213793519089","0.107666192537714","5"
"6 on scale 1-7","2015","Rural Area","East Germany","206","0.0691472612502643","0.0606257324707851","0.0776687900297436","6"
"6 on scale 1-7","2015","Urban Area","West Germany","766","0.0530330407669033","0.0495147205378159","0.0565513609959908","6"
"6 on scale 1-7","2015","Urban Area","East Germany","86","0.0406632203932766","0.0320437303048342","0.049282710481719","6"
"6 on scale 1-7","2015","Rural Area","West Germany","301","0.056628545103672","0.05063407113798","0.062623019069364","6"
"7 Strongly agree","2015","Rural Area","East Germany","160","0.0531898318503794","0.0456521934700003","0.0607274702307586","7"
"7 Strongly agree","2015","Urban Area","West Germany","624","0.0376219830550661","0.0346346174496287","0.0406093486605036","7"
"7 Strongly agree","2015","Urban Area","East Germany","87","0.043633138608196","0.0347182560080076","0.0525480212083844","7"
"7 Strongly agree","2015","Rural Area","West Germany","230","0.0431762480826858","0.0379047939147353","0.0484477022506362","7"
"1 Strongly disagree","2016","Urban Area","West Germany","1858","0.493510175181622","0.474665955193728","0.512354395169517","1"
"1 Strongly disagree","2016","Urban Area","East Germany","206","0.529381463836128","0.472615404614869","0.586147523057387","1"
"1 Strongly disagree","2016","Rural Area","West Germany","618","0.617566538561627","0.585886646274135","0.649246430849119","1"
"1 Strongly disagree","2016","Rural Area","East Germany","292","0.663733558901914","0.619388677434053","0.708078440369775","1"
"2 on scale 1-7 ","2016","Urban Area","East Germany","29","","","","2"
"2 on scale 1-7 ","2016","Rural Area","East Germany","49","0.149236355953308","0.115790168019242","0.182682543887374","2"
"2 on scale 1-7 ","2016","Urban Area","West Germany","284","0.199584239167906","0.184519358890975","0.214649119444836","2"
"2 on scale 1-7 ","2016","Rural Area","West Germany","85","0.100079604520398","0.0805164577426808","0.119642751298116","2"
"3 on scale 1-7 ","2016","Urban Area","West Germany","172","0.0784938922785096","0.0683568376033599","0.0886309469536594","3"
"3 on scale 1-7 ","2016","Rural Area","West Germany","49","0.0929236244157232","0.0739980585220005","0.111849190309446","3"
"3 on scale 1-7 ","2016","Rural Area","East Germany","19","","","","3"
"3 on scale 1-7 ","2016","Urban Area","East Germany","19","","","","3"
"4 on scale 1-7","2016","Urban Area","West Germany","148","0.0806049441285614","0.0703442516885546","0.0908656365685682","4"
"4 on scale 1-7","2016","Rural Area","East Germany","21","","","","4"
"4 on scale 1-7","2016","Urban Area","East Germany","15","","","","4"
"4 on scale 1-7","2016","Rural Area","West Germany","54","0.062410867811616","0.0466420088492627","0.0781797267739693","4"
"5 on scale 1-7","2016","Urban Area","West Germany","72","0.0436769974759415","0.0359737573447345","0.0513802376071485","5"
"5 on scale 1-7","2016","Urban Area","East Germany","6","","","","5"
"5 on scale 1-7","2016","Rural Area","West Germany","36","0.0616317384901932","0.0459551073418232","0.0773083696385631","5"
"5 on scale 1-7","2016","Rural Area","East Germany","19","","","","5"
"6 on scale 1-7","2016","Urban Area","West Germany","48","0.0446370339043851","0.0368535037429469","0.0524205640658233","6"
"6 on scale 1-7","2016","Urban Area","East Germany","4","","","","6"
"6 on scale 1-7","2016","Rural Area","East Germany","6","","","","6"
"6 on scale 1-7","2016","Rural Area","West Germany","20","","","","6"
"7 Strongly agree","2016","Urban Area","West Germany","122","0.0594927178630744","0.0505769709168721","0.0684084648092767","7"
"7 Strongly agree","2016","Rural Area","East Germany","30","0.0546293061990525","0.0332979358215631","0.075960676576542","7"
"7 Strongly agree","2016","Urban Area","East Germany","18","","","","7"
"7 Strongly agree","2016","Rural Area","West Germany","42","0.0437394162597336","0.0304076253244367","0.0570712071950305","7"
"1 Strongly disagree","2017","Urban Area","West Germany","1332","0.664290528439875","0.643314370586249","0.6852666862935","1"
"1 Strongly disagree","2017","Urban Area","East Germany","87","0.539899683307704","0.454875214396586","0.624924152218822","1"
"1 Strongly disagree","2017","Rural Area","West Germany","500","0.78162418029595","0.749715677665283","0.813532682926616","1"
"1 Strongly disagree","2017","Rural Area","East Germany","98","0.78199270569523","0.711016418353431","0.852968993037029","1"
"2 on scale 1-7 ","2017","Urban Area","West Germany","197","0.10447968447677","0.0908928350410644","0.118066533912476","2"
"2 on scale 1-7 ","2017","Rural Area","West Germany","48","0.0707837245264683","0.0509761970645206","0.0905912519884159","2"
"2 on scale 1-7 ","2017","Rural Area","East Germany","13","","","","2"
"2 on scale 1-7 ","2017","Urban Area","East Germany","11","","","","2"
"3 on scale 1-7 ","2017","Urban Area","West Germany","107","0.0533218700347556","0.0433421358594628","0.0633016042100484","3"
"3 on scale 1-7 ","2017","Urban Area","East Germany","7","","","","3"
"3 on scale 1-7 ","2017","Rural Area","West Germany","27","","","","3"
"3 on scale 1-7 ","2017","Rural Area","East Germany","1","","","","3"
"4 on scale 1-7","2017","Urban Area","West Germany","126","0.063812916799944","0.0529561443436493","0.0746696892562387","4"
"4 on scale 1-7","2017","Urban Area","East Germany","12","","","","4"
