"plh0206i05","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"4 on scale 1-7","2005","indirect migration background","West Germany","167","0.187795935509167","0.160596419655597","0.214995451362737","4"
"4 on scale 1-7","2005","no migration background","West Germany","2410","0.195949466421075","0.189008300732331","0.202890632109818","4"
"4 on scale 1-7","2005","direct migration background","East Germany","15","","","","4"
"5 on scale 1-7","2005","indirect migration background","East Germany","5","","","","5"
"5 on scale 1-7","2005","direct migration background","East Germany","15","","","","5"
"5 on scale 1-7","2005","indirect migration background","West Germany","104","0.12786867701628","0.104611418063721","0.15112593596884","5"
"5 on scale 1-7","2005","no migration background","West Germany","1371","0.104531447939549","0.0991812808100514","0.109881615069046","5"
"5 on scale 1-7","2005","no migration background","East Germany","573","0.109934579721216","0.101185925569307","0.118683233873125","5"
"5 on scale 1-7","2005","direct migration background","West Germany","273","0.131181435799004","0.117256703386253","0.145106168211755","5"
"6 on scale 1-7","2005","indirect migration background","East Germany","5","","","","6"
"6 on scale 1-7","2005","direct migration background","West Germany","134","0.0607254501775993","0.0508747347922101","0.0705761655629885","6"
"6 on scale 1-7","2005","indirect migration background","West Germany","75","0.101671061523845","0.0806234958035429","0.122718627244147","6"
"6 on scale 1-7","2005","no migration background","West Germany","830","0.0752095800777997","0.0705977113239351","0.0798214488316642","6"
"6 on scale 1-7","2005","direct migration background","East Germany","7","","","","6"
"6 on scale 1-7","2005","no migration background","East Germany","344","0.0737923150121098","0.0664805389524451","0.0811040910717745","6"
"7 Strongly agree","2005","indirect migration background","East Germany","2","","","","7"
"7 Strongly agree","2005","indirect migration background","West Germany","61","0.081271078907632","0.0622407100193549","0.100301447795909","7"
"7 Strongly agree","2005","direct migration background","West Germany","156","0.0675630151432861","0.0572103926164306","0.0779156376701415","7"
"7 Strongly agree","2005","direct migration background","East Germany","8","","","","7"
"7 Strongly agree","2005","no migration background","West Germany","582","0.0517163930910954","0.0478437994155682","0.0555889867666225","7"
"7 Strongly agree","2005","no migration background","East Germany","256","0.06400311641212","0.0571576840160934","0.0708485488081466","7"
"1 Strongly disagree","2006","no migration background","East Germany","","","","","1"
"1 Strongly disagree","2006","direct migration background","West Germany","","","","","1"
"1 Strongly disagree","2006","direct migration background","East Germany","","","","","1"
"1 Strongly disagree","2006","indirect migration background","West Germany","","","","","1"
"1 Strongly disagree","2006","indirect migration background","East Germany","","","","","1"
"1 Strongly disagree","2006","no migration background","West Germany","","","","","1"
"2 on scale 1-7 ","2006","no migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2006","indirect migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2006","no migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2006","indirect migration background","West Germany","","","","","2"
"3 on scale 1-7 ","2006","indirect migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2006","no migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2006","no migration background","West Germany","","","","","3"
"4 on scale 1-7","2006","no migration background","East Germany","","","","","4"
"4 on scale 1-7","2006","no migration background","West Germany","","","","","4"
"4 on scale 1-7","2006","indirect migration background","East Germany","","","","","4"
"4 on scale 1-7","2006","indirect migration background","West Germany","","","","","4"
"4 on scale 1-7","2006","direct migration background","East Germany","","","","","4"
"4 on scale 1-7","2006","direct migration background","West Germany","","","","","4"
"5 on scale 1-7","2006","indirect migration background","East Germany","","","","","5"
"5 on scale 1-7","2006","indirect migration background","West Germany","","","","","5"
"5 on scale 1-7","2006","direct migration background","West Germany","","","","","5"
"5 on scale 1-7","2006","direct migration background","East Germany","","","","","5"
"5 on scale 1-7","2006","no migration background","West Germany","","","","","5"
"5 on scale 1-7","2006","no migration background","East Germany","","","","","5"
"6 on scale 1-7","2006","indirect migration background","East Germany","","","","","6"
"6 on scale 1-7","2006","direct migration background","West Germany","","","","","6"
"6 on scale 1-7","2006","indirect migration background","West Germany","","","","","6"
"6 on scale 1-7","2006","direct migration background","East Germany","","","","","6"
"6 on scale 1-7","2006","no migration background","East Germany","","","","","6"
"6 on scale 1-7","2006","no migration background","West Germany","","","","","6"
"7 Strongly agree","2006","indirect migration background","East Germany","","","","","7"
"7 Strongly agree","2006","direct migration background","West Germany","","","","","7"
"7 Strongly agree","2006","direct migration background","East Germany","","","","","7"
"7 Strongly agree","2006","indirect migration background","West Germany","","","","","7"
"7 Strongly agree","2006","no migration background","West Germany","","","","","7"
"7 Strongly agree","2006","no migration background","East Germany","","","","","7"
"1 Strongly disagree","2007","no migration background","West Germany","","","","","1"
"1 Strongly disagree","2007","no migration background","East Germany","","","","","1"
"1 Strongly disagree","2007","direct migration background","West Germany","","","","","1"
"1 Strongly disagree","2007","direct migration background","East Germany","","","","","1"
"1 Strongly disagree","2007","indirect migration background","West Germany","","","","","1"
"1 Strongly disagree","2007","indirect migration background","East Germany","","","","","1"
"2 on scale 1-7 ","2007","indirect migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2007","indirect migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2007","no migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2007","no migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","East Germany","","","","","2"
"3 on scale 1-7 ","2007","direct migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2007","no migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2007","no migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2007","direct migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","West Germany","","","","","3"
"4 on scale 1-7","2007","no migration background","West Germany","","","","","4"
"4 on scale 1-7","2007","no migration background","East Germany","","","","","4"
"4 on scale 1-7","2007","indirect migration background","East Germany","","","","","4"
"4 on scale 1-7","2007","indirect migration background","West Germany","","","","","4"
"4 on scale 1-7","2007","direct migration background","West Germany","","","","","4"
"4 on scale 1-7","2007","direct migration background","East Germany","","","","","4"
"5 on scale 1-7","2007","indirect migration background","East Germany","","","","","5"
"5 on scale 1-7","2007","indirect migration background","West Germany","","","","","5"
"5 on scale 1-7","2007","direct migration background","West Germany","","","","","5"
"5 on scale 1-7","2007","direct migration background","East Germany","","","","","5"
"5 on scale 1-7","2007","no migration background","West Germany","","","","","5"
"5 on scale 1-7","2007","no migration background","East Germany","","","","","5"
"6 on scale 1-7","2007","indirect migration background","East Germany","","","","","6"
"6 on scale 1-7","2007","indirect migration background","West Germany","","","","","6"
"6 on scale 1-7","2007","direct migration background","East Germany","","","","","6"
"6 on scale 1-7","2007","no migration background","West Germany","","","","","6"
"6 on scale 1-7","2007","direct migration background","West Germany","","","","","6"
"6 on scale 1-7","2007","no migration background","East Germany","","","","","6"
"7 Strongly agree","2007","indirect migration background","East Germany","","","","","7"
"7 Strongly agree","2007","no migration background","West Germany","","","","","7"
"7 Strongly agree","2007","no migration background","East Germany","","","","","7"
"7 Strongly agree","2007","direct migration background","West Germany","","","","","7"
"7 Strongly agree","2007","direct migration background","East Germany","","","","","7"
"7 Strongly agree","2007","indirect migration background","West Germany","","","","","7"
"1 Strongly disagree","2008","no migration background","East Germany","","","","","1"
"1 Strongly disagree","2008","direct migration background","West Germany","","","","","1"
"1 Strongly disagree","2008","direct migration background","East Germany","","","","","1"
"1 Strongly disagree","2008","indirect migration background","West Germany","","","","","1"
"1 Strongly disagree","2008","indirect migration background","East Germany","","","","","1"
"1 Strongly disagree","2008","no migration background","West Germany","","","","","1"
"2 on scale 1-7 ","2008","direct migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2008","indirect migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2008","no migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2008","indirect migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2008","direct migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2008","no migration background","West Germany","","","","","2"
"3 on scale 1-7 ","2008","direct migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2008","no migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2008","indirect migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2008","no migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2008","direct migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2008","indirect migration background","West Germany","","","","","3"
"4 on scale 1-7","2008","indirect migration background","East Germany","","","","","4"
"4 on scale 1-7","2008","direct migration background","West Germany","","","","","4"
"4 on scale 1-7","2008","indirect migration background","West Germany","","","","","4"
"4 on scale 1-7","2008","direct migration background","East Germany","","","","","4"
"4 on scale 1-7","2008","no migration background","East Germany","","","","","4"
"4 on scale 1-7","2008","no migration background","West Germany","","","","","4"
"5 on scale 1-7","2008","indirect migration background","East Germany","","","","","5"
"5 on scale 1-7","2008","indirect migration background","West Germany","","","","","5"
"5 on scale 1-7","2008","direct migration background","West Germany","","","","","5"
"5 on scale 1-7","2008","direct migration background","East Germany","","","","","5"
"5 on scale 1-7","2008","no migration background","East Germany","","","","","5"
"5 on scale 1-7","2008","no migration background","West Germany","","","","","5"
"6 on scale 1-7","2008","indirect migration background","East Germany","","","","","6"
"6 on scale 1-7","2008","indirect migration background","West Germany","","","","","6"
"6 on scale 1-7","2008","direct migration background","West Germany","","","","","6"
"6 on scale 1-7","2008","direct migration background","East Germany","","","","","6"
"6 on scale 1-7","2008","no migration background","East Germany","","","","","6"
"6 on scale 1-7","2008","no migration background","West Germany","","","","","6"
"7 Strongly agree","2008","indirect migration background","East Germany","","","","","7"
"7 Strongly agree","2008","no migration background","West Germany","","","","","7"
"7 Strongly agree","2008","direct migration background","West Germany","","","","","7"
"7 Strongly agree","2008","direct migration background","East Germany","","","","","7"
"7 Strongly agree","2008","indirect migration background","West Germany","","","","","7"
"7 Strongly agree","2008","no migration background","East Germany","","","","","7"
"1 Strongly disagree","2009","no migration background","East Germany","","","","","1"
"1 Strongly disagree","2009","direct migration background","West Germany","","","","","1"
"1 Strongly disagree","2009","direct migration background","East Germany","","","","","1"
"1 Strongly disagree","2009","indirect migration background","West Germany","","","","","1"
"1 Strongly disagree","2009","indirect migration background","East Germany","","","","","1"
"1 Strongly disagree","2009","no migration background","West Germany","","","","","1"
"2 on scale 1-7 ","2009","indirect migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2009","direct migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2009","direct migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2009","indirect migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2009","no migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2009","no migration background","East Germany","","","","","2"
"3 on scale 1-7 ","2009","direct migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2009","no migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2009","no migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2009","indirect migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2009","indirect migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2009","direct migration background","East Germany","","","","","3"
"4 on scale 1-7","2009","indirect migration background","East Germany","","","","","4"
"4 on scale 1-7","2009","direct migration background","West Germany","","","","","4"
"4 on scale 1-7","2009","indirect migration background","West Germany","","","","","4"
"4 on scale 1-7","2009","no migration background","East Germany","","","","","4"
"4 on scale 1-7","2009","direct migration background","East Germany","","","","","4"
"4 on scale 1-7","2009","no migration background","West Germany","","","","","4"
"5 on scale 1-7","2009","indirect migration background","East Germany","","","","","5"
"5 on scale 1-7","2009","direct migration background","West Germany","","","","","5"
"5 on scale 1-7","2009","indirect migration background","West Germany","","","","","5"
"5 on scale 1-7","2009","no migration background","East Germany","","","","","5"
"5 on scale 1-7","2009","direct migration background","East Germany","","","","","5"
"5 on scale 1-7","2009","no migration background","West Germany","","","","","5"
"6 on scale 1-7","2009","indirect migration background","East Germany","","","","","6"
"6 on scale 1-7","2009","indirect migration background","West Germany","","","","","6"
"6 on scale 1-7","2009","direct migration background","West Germany","","","","","6"
"6 on scale 1-7","2009","direct migration background","East Germany","","","","","6"
"6 on scale 1-7","2009","no migration background","East Germany","","","","","6"
"6 on scale 1-7","2009","no migration background","West Germany","","","","","6"
"7 Strongly agree","2009","indirect migration background","East Germany","","","","","7"
"7 Strongly agree","2009","no migration background","West Germany","","","","","7"
"7 Strongly agree","2009","no migration background","East Germany","","","","","7"
"7 Strongly agree","2009","direct migration background","West Germany","","","","","7"
"7 Strongly agree","2009","direct migration background","East Germany","","","","","7"
"7 Strongly agree","2009","indirect migration background","West Germany","","","","","7"
"1 Strongly disagree","2010","no migration background","East Germany","719","0.19129202349479","0.179151647893492","0.203432399096088","1"
"1 Strongly disagree","2010","direct migration background","West Germany","273","0.203557270395915","0.182428142469443","0.224686398322386","1"
"1 Strongly disagree","2010","direct migration background","East Germany","20","","","","1"
"1 Strongly disagree","2010","indirect migration background","West Germany","95","0.151899423185174","0.123578510135402","0.180220336234947","1"
"1 Strongly disagree","2010","indirect migration background","East Germany","1","","","","1"
"1 Strongly disagree","2010","no migration background","West Germany","2155","0.207625420222148","0.199870947681082","0.215379892763214","1"
"2 on scale 1-7 ","2010","direct migration background","West Germany","296","0.194939692383388","0.174151088078487","0.215728296688289","2"
"2 on scale 1-7 ","2010","direct migration background","East Germany","11","","","","2"
"2 on scale 1-7 ","2010","no migration background","East Germany","882","0.21374281960776","0.201089166957324","0.226396472258195","2"
"2 on scale 1-7 ","2010","indirect migration background","East Germany","6","","","","2"
"2 on scale 1-7 ","2010","indirect migration background","West Germany","139","0.198113528359846","0.166663646474818","0.229563410244875","2"
"2 on scale 1-7 ","2010","no migration background","West Germany","2437","0.215546148940497","0.207684736771442","0.223407561109552","2"
"3 on scale 1-7 ","2010","no migration background","East Germany","713","0.174830337109056","0.163106551897639","0.186554122320472","3"
"3 on scale 1-7 ","2010","direct migration background","West Germany","271","0.187137250810536","0.166670461417656","0.207604040203415","3"
"3 on scale 1-7 ","2010","no migration background","West Germany","1977","0.188580858780633","0.18110229569029","0.196059421870976","3"
"3 on scale 1-7 ","2010","indirect migration background","East Germany","5","","","","3"
"3 on scale 1-7 ","2010","indirect migration background","West Germany","119","0.214205274808051","0.181832856457472","0.246577693158629","3"
"3 on scale 1-7 ","2010","direct migration background","East Germany","10","","","","3"
"4 on scale 1-7","2010","indirect migration background","East Germany","14","","","","4"
"4 on scale 1-7","2010","indirect migration background","West Germany","98","0.169284366602308","0.139694696223509","0.198874036981107","4"
"4 on scale 1-7","2010","direct migration background","West Germany","228","0.149223212037066","0.130525563354586","0.167920860719547","4"
"4 on scale 1-7","2010","no migration background","East Germany","805","0.18714524987093","0.175106435793144","0.199184063948716","4"
"4 on scale 1-7","2010","direct migration background","East Germany","9","","","","4"
"4 on scale 1-7","2010","no migration background","West Germany","1880","0.175380114835034","0.168109622687541","0.182650606982527","4"
"5 on scale 1-7","2010","indirect migration background","East Germany","5","","","","5"
"5 on scale 1-7","2010","direct migration background","West Germany","155","0.126438628005723","0.108998583640299","0.143878672371147","5"
"5 on scale 1-7","2010","indirect migration background","West Germany","68","0.121434055822341","0.0956611764209404","0.147206935223741","5"
"5 on scale 1-7","2010","direct migration background","East Germany","3","","","","5"
"5 on scale 1-7","2010","no migration background","East Germany","441","0.104262111488251","0.0948292912186646","0.113694931757838","5"
"5 on scale 1-7","2010","no migration background","West Germany","1070","0.107059542929854","0.10114841068444","0.112970675175267","5"
"6 on scale 1-7","2010","indirect migration background","East Germany","5","","","","6"
"6 on scale 1-7","2010","direct migration background","West Germany","89","0.0783853881340821","0.0642810334839659","0.0924897427841983","6"
"6 on scale 1-7","2010","indirect migration background","West Germany","48","0.0818637963435182","0.0602313813544727","0.103496211332564","6"
"6 on scale 1-7","2010","no migration background","East Germany","286","0.0726361938182188","0.0646251438674458","0.0806472437689918","6"
"6 on scale 1-7","2010","direct migration background","East Germany","4","","","","6"
"6 on scale 1-7","2010","no migration background","West Germany","561","0.0584884585079987","0.0540020930847161","0.0629748239312813","6"
"7 Strongly agree","2010","indirect migration background","East Germany","1","","","","7"
"7 Strongly agree","2010","no migration background","West Germany","430","0.0473194557838363","0.0432602576365899","0.0513786539310826","7"
"7 Strongly agree","2010","no migration background","East Germany","186","0.056091264610995","0.0489889411461858","0.0631935880758041","7"
"7 Strongly agree","2010","direct migration background","West Germany","83","0.06031855823329","0.0478252691790379","0.0728118472875421","7"
"7 Strongly agree","2010","direct migration background","East Germany","6","","","","7"
"7 Strongly agree","2010","indirect migration background","West Germany","50","0.0631995548787616","0.0440002253386429","0.0823988844188803","7"
"1 Strongly disagree","2011","no migration background","East Germany","","","","","1"
"1 Strongly disagree","2011","direct migration background","West Germany","","","","","1"
"1 Strongly disagree","2011","direct migration background","East Germany","","","","","1"
"1 Strongly disagree","2011","indirect migration background","West Germany","","","","","1"
"1 Strongly disagree","2011","indirect migration background","East Germany","","","","","1"
"1 Strongly disagree","2011","no migration background","West Germany","","","","","1"
"2 on scale 1-7 ","2011","indirect migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2011","direct migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2011","direct migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2011","no migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2011","no migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2011","indirect migration background","West Germany","","","","","2"
"3 on scale 1-7 ","2011","indirect migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2011","indirect migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2011","no migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2011","direct migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2011","direct migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2011","no migration background","West Germany","","","","","3"
"4 on scale 1-7","2011","indirect migration background","West Germany","","","","","4"
"4 on scale 1-7","2011","indirect migration background","East Germany","","","","","4"
"4 on scale 1-7","2011","direct migration background","West Germany","","","","","4"
"4 on scale 1-7","2011","direct migration background","East Germany","","","","","4"
"4 on scale 1-7","2011","no migration background","East Germany","","","","","4"
"4 on scale 1-7","2011","no migration background","West Germany","","","","","4"
"5 on scale 1-7","2011","indirect migration background","East Germany","","","","","5"
"5 on scale 1-7","2011","indirect migration background","West Germany","","","","","5"
"5 on scale 1-7","2011","direct migration background","West Germany","","","","","5"
"5 on scale 1-7","2011","direct migration background","East Germany","","","","","5"
"5 on scale 1-7","2011","no migration background","East Germany","","","","","5"
"5 on scale 1-7","2011","no migration background","West Germany","","","","","5"
"6 on scale 1-7","2011","no migration background","East Germany","","","","","6"
"6 on scale 1-7","2011","indirect migration background","East Germany","","","","","6"
"6 on scale 1-7","2011","direct migration background","West Germany","","","","","6"
"6 on scale 1-7","2011","no migration background","West Germany","","","","","6"
"6 on scale 1-7","2011","direct migration background","East Germany","","","","","6"
"6 on scale 1-7","2011","indirect migration background","West Germany","","","","","6"
"7 Strongly agree","2011","no migration background","East Germany","","","","","7"
"7 Strongly agree","2011","direct migration background","West Germany","","","","","7"
"7 Strongly agree","2011","indirect migration background","East Germany","","","","","7"
"7 Strongly agree","2011","no migration background","West Germany","","","","","7"
"7 Strongly agree","2011","direct migration background","East Germany","","","","","7"
"7 Strongly agree","2011","indirect migration background","West Germany","","","","","7"
"1 Strongly disagree","2012","no migration background","East Germany","","","","","1"
"1 Strongly disagree","2012","direct migration background","West Germany","","","","","1"
"1 Strongly disagree","2012","indirect migration background","West Germany","","","","","1"
"1 Strongly disagree","2012","indirect migration background","East Germany","","","","","1"
"1 Strongly disagree","2012","direct migration background","East Germany","","","","","1"
"1 Strongly disagree","2012","no migration background","West Germany","","","","","1"
"2 on scale 1-7 ","2012","direct migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2012","direct migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2012","indirect migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2012","no migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2012","no migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2012","indirect migration background","West Germany","","","","","2"
"3 on scale 1-7 ","2012","indirect migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2012","indirect migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2012","direct migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2012","direct migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2012","no migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2012","no migration background","West Germany","","","","","3"
"4 on scale 1-7","2012","indirect migration background","East Germany","","","","","4"
"4 on scale 1-7","2012","indirect migration background","West Germany","","","","","4"
"4 on scale 1-7","2012","direct migration background","West Germany","","","","","4"
"4 on scale 1-7","2012","direct migration background","East Germany","","","","","4"
"4 on scale 1-7","2012","no migration background","East Germany","","","","","4"
"4 on scale 1-7","2012","no migration background","West Germany","","","","","4"
"5 on scale 1-7","2012","indirect migration background","East Germany","","","","","5"
"5 on scale 1-7","2012","indirect migration background","West Germany","","","","","5"
"5 on scale 1-7","2012","direct migration background","West Germany","","","","","5"
"5 on scale 1-7","2012","direct migration background","East Germany","","","","","5"
"5 on scale 1-7","2012","no migration background","East Germany","","","","","5"
"5 on scale 1-7","2012","no migration background","West Germany","","","","","5"
"6 on scale 1-7","2012","no migration background","East Germany","","","","","6"
"6 on scale 1-7","2012","indirect migration background","East Germany","","","","","6"
"6 on scale 1-7","2012","indirect migration background","West Germany","","","","","6"
"6 on scale 1-7","2012","no migration background","West Germany","","","","","6"
"6 on scale 1-7","2012","direct migration background","West Germany","","","","","6"
"6 on scale 1-7","2012","direct migration background","East Germany","","","","","6"
"7 Strongly agree","2012","indirect migration background","East Germany","","","","","7"
"7 Strongly agree","2012","direct migration background","West Germany","","","","","7"
"7 Strongly agree","2012","no migration background","West Germany","","","","","7"
"7 Strongly agree","2012","no migration background","East Germany","","","","","7"
"7 Strongly agree","2012","direct migration background","East Germany","","","","","7"
"7 Strongly agree","2012","indirect migration background","West Germany","","","","","7"
"1 Strongly disagree","2013","no migration background","East Germany","","","","","1"
"1 Strongly disagree","2013","direct migration background","West Germany","","","","","1"
"1 Strongly disagree","2013","indirect migration background","East Germany","","","","","1"
"1 Strongly disagree","2013","no migration background","West Germany","","","","","1"
"1 Strongly disagree","2013","direct migration background","East Germany","","","","","1"
"1 Strongly disagree","2013","indirect migration background","West Germany","","","","","1"
"2 on scale 1-7 ","2013","no migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2013","direct migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2013","indirect migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2013","direct migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2013","no migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2013","indirect migration background","West Germany","","","","","2"
"3 on scale 1-7 ","2013","indirect migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2013","indirect migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2013","direct migration background","West Germany","","","","","3"
"3 on scale 1-7 ","2013","direct migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2013","no migration background","East Germany","","","","","3"
"3 on scale 1-7 ","2013","no migration background","West Germany","","","","","3"
"4 on scale 1-7","2013","indirect migration background","East Germany","","","","","4"
"4 on scale 1-7","2013","indirect migration background","West Germany","","","","","4"
"4 on scale 1-7","2013","direct migration background","West Germany","","","","","4"
"4 on scale 1-7","2013","direct migration background","East Germany","","","","","4"
"4 on scale 1-7","2013","no migration background","West Germany","","","","","4"
"4 on scale 1-7","2013","no migration background","East Germany","","","","","4"
"5 on scale 1-7","2013","indirect migration background","East Germany","","","","","5"
"5 on scale 1-7","2013","direct migration background","West Germany","","","","","5"
"5 on scale 1-7","2013","direct migration background","East Germany","","","","","5"
"5 on scale 1-7","2013","indirect migration background","West Germany","","","","","5"
"5 on scale 1-7","2013","no migration background","East Germany","","","","","5"
"5 on scale 1-7","2013","no migration background","West Germany","","","","","5"
"6 on scale 1-7","2013","no migration background","East Germany","","","","","6"
"6 on scale 1-7","2013","indirect migration background","East Germany","","","","","6"
"6 on scale 1-7","2013","indirect migration background","West Germany","","","","","6"
"6 on scale 1-7","2013","direct migration background","West Germany","","","","","6"
"6 on scale 1-7","2013","direct migration background","East Germany","","","","","6"
"6 on scale 1-7","2013","no migration background","West Germany","","","","","6"
"7 Strongly agree","2013","indirect migration background","East Germany","","","","","7"
"7 Strongly agree","2013","no migration background","West Germany","","","","","7"
"7 Strongly agree","2013","no migration background","East Germany","","","","","7"
"7 Strongly agree","2013","direct migration background","West Germany","","","","","7"
"7 Strongly agree","2013","direct migration background","East Germany","","","","","7"
"7 Strongly agree","2013","indirect migration background","West Germany","","","","","7"
"1 Strongly disagree","2014","no migration background","East Germany","","","","","1"
"1 Strongly disagree","2014","direct migration background","West Germany","","","","","1"
"1 Strongly disagree","2014","direct migration background","East Germany","","","","","1"
"1 Strongly disagree","2014","indirect migration background","West Germany","","","","","1"
"1 Strongly disagree","2014","indirect migration background","East Germany","","","","","1"
"1 Strongly disagree","2014","no migration background","West Germany","","","","","1"
"2 on scale 1-7 ","2014","indirect migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2014","direct migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2014","indirect migration background","West Germany","","","","","2"
"2 on scale 1-7 ","2014","no migration background","East Germany","","","","","2"
