"plh0206i05","year","sampreg","n","percent","lower_confidence","upper_confidence"
"2 on scale 1-7 ","2007","East Germany","","","",""
"3 on scale 1-7 ","2007","West Germany","","","",""
"3 on scale 1-7 ","2007","East Germany","","","",""
"4 on scale 1-7","2007","West Germany","","","",""
"4 on scale 1-7","2007","East Germany","","","",""
"5 on scale 1-7","2007","West Germany","","","",""
"5 on scale 1-7","2007","East Germany","","","",""
"6 on scale 1-7","2007","West Germany","","","",""
"6 on scale 1-7","2007","East Germany","","","",""
"7 Strongly agree","2007","West Germany","","","",""
"7 Strongly agree","2007","East Germany","","","",""
"1 Strongly disagree","2008","West Germany","","","",""
"1 Strongly disagree","2008","East Germany","","","",""
"2 on scale 1-7 ","2008","West Germany","","","",""
"2 on scale 1-7 ","2008","East Germany","","","",""
"3 on scale 1-7 ","2008","West Germany","","","",""
"3 on scale 1-7 ","2008","East Germany","","","",""
"4 on scale 1-7","2008","West Germany","","","",""
"4 on scale 1-7","2008","East Germany","","","",""
"5 on scale 1-7","2008","West Germany","","","",""
"5 on scale 1-7","2008","East Germany","","","",""
"6 on scale 1-7","2008","West Germany","","","",""
"6 on scale 1-7","2008","East Germany","","","",""
"7 Strongly agree","2008","West Germany","","","",""
"7 Strongly agree","2008","East Germany","","","",""
"1 Strongly disagree","2009","West Germany","","","",""
"1 Strongly disagree","2009","East Germany","","","",""
"2 on scale 1-7 ","2009","West Germany","","","",""
"2 on scale 1-7 ","2009","East Germany","","","",""
"3 on scale 1-7 ","2009","West Germany","","","",""
"3 on scale 1-7 ","2009","East Germany","","","",""
"4 on scale 1-7","2009","West Germany","","","",""
"4 on scale 1-7","2009","East Germany","","","",""
"5 on scale 1-7","2009","West Germany","","","",""
"5 on scale 1-7","2009","East Germany","","","",""
"6 on scale 1-7","2009","West Germany","","","",""
"6 on scale 1-7","2009","East Germany","","","",""
"7 Strongly agree","2009","West Germany","","","",""
"7 Strongly agree","2009","East Germany","","","",""
"1 Strongly disagree","2010","West Germany","2523","0.204487005700874","0.19742272840931","0.211551282992439"
"1 Strongly disagree","2010","East Germany","740","0.191855490911447","0.179849457034482","0.203861524788412"
"2 on scale 1-7 ","2010","West Germany","2872","0.211746130024919","0.204590431453318","0.21890182859652"
"2 on scale 1-7 ","2010","East Germany","899","0.21090010749049","0.198461483855038","0.223338731125942"
"3 on scale 1-7 ","2010","West Germany","2367","0.189540881796467","0.182676076152344","0.19640568744059"
"3 on scale 1-7 ","2010","East Germany","728","0.173108236201017","0.161572345479055","0.18464412692298"
"4 on scale 1-7","2010","West Germany","2206","0.171288860738007","0.164689871957609","0.177887849518404"
"4 on scale 1-7","2010","East Germany","828","0.188725277543336","0.176794549582691","0.200656005503981"
"5 on scale 1-7","2010","West Germany","1293","0.110540965375","0.105048898166642","0.116033032583357"
"5 on scale 1-7","2010","East Germany","449","0.10637878635177","0.0969778267765015","0.115779745927039"
"6 on scale 1-7","2010","West Germany","698","0.0624564988711661","0.0582181590674169","0.0666948386749153"
"6 on scale 1-7","2010","East Germany","295","0.0724405559111385","0.0645368695565275","0.0803442422657494"
"7 Strongly agree","2010","West Germany","563","0.0499396574935674","0.0461245250776278","0.053754789909507"
"7 Strongly agree","2010","East Germany","193","0.056591545590801","0.0495463412474369","0.0636367499341651"
"1 Strongly disagree","2011","West Germany","","","",""
"1 Strongly disagree","2011","East Germany","","","",""
"2 on scale 1-7 ","2011","West Germany","","","",""
"2 on scale 1-7 ","2011","East Germany","","","",""
"3 on scale 1-7 ","2011","West Germany","","","",""
"3 on scale 1-7 ","2011","East Germany","","","",""
"4 on scale 1-7","2011","West Germany","","","",""
"4 on scale 1-7","2011","East Germany","","","",""
"5 on scale 1-7","2011","West Germany","","","",""
"5 on scale 1-7","2011","East Germany","","","",""
"6 on scale 1-7","2011","West Germany","","","",""
"6 on scale 1-7","2011","East Germany","","","",""
"7 Strongly agree","2011","West Germany","","","",""
"7 Strongly agree","2011","East Germany","","","",""
"1 Strongly disagree","2012","West Germany","","","",""
"1 Strongly disagree","2012","East Germany","","","",""
"2 on scale 1-7 ","2012","West Germany","","","",""
"2 on scale 1-7 ","2012","East Germany","","","",""
"3 on scale 1-7 ","2012","West Germany","","","",""
"3 on scale 1-7 ","2012","East Germany","","","",""
"4 on scale 1-7","2012","West Germany","","","",""
"4 on scale 1-7","2012","East Germany","","","",""
"5 on scale 1-7","2012","West Germany","","","",""
"5 on scale 1-7","2012","East Germany","","","",""
"6 on scale 1-7","2012","West Germany","","","",""
"6 on scale 1-7","2012","East Germany","","","",""
"7 Strongly agree","2012","West Germany","","","",""
"7 Strongly agree","2012","East Germany","","","",""
"1 Strongly disagree","2013","West Germany","","","",""
"1 Strongly disagree","2013","East Germany","","","",""
"2 on scale 1-7 ","2013","West Germany","","","",""
"2 on scale 1-7 ","2013","East Germany","","","",""
"3 on scale 1-7 ","2013","West Germany","","","",""
"3 on scale 1-7 ","2013","East Germany","","","",""
"4 on scale 1-7","2013","West Germany","","","",""
"4 on scale 1-7","2013","East Germany","","","",""
"5 on scale 1-7","2013","West Germany","","","",""
"5 on scale 1-7","2013","East Germany","","","",""
"6 on scale 1-7","2013","West Germany","","","",""
"6 on scale 1-7","2013","East Germany","","","",""
"7 Strongly agree","2013","West Germany","","","",""
"7 Strongly agree","2013","East Germany","","","",""
"1 Strongly disagree","2014","West Germany","","","",""
"1 Strongly disagree","2014","East Germany","","","",""
"2 on scale 1-7 ","2014","West Germany","","","",""
"2 on scale 1-7 ","2014","East Germany","","","",""
"3 on scale 1-7 ","2014","West Germany","","","",""
"3 on scale 1-7 ","2014","East Germany","","","",""
"4 on scale 1-7","2014","West Germany","","","",""
"4 on scale 1-7","2014","East Germany","","","",""
"5 on scale 1-7","2014","West Germany","","","",""
"5 on scale 1-7","2014","East Germany","","","",""
"6 on scale 1-7","2014","West Germany","","","",""
"6 on scale 1-7","2014","East Germany","","","",""
"7 Strongly agree","2014","West Germany","","","",""
"7 Strongly agree","2014","East Germany","","","",""
"1 Strongly disagree","2015","West Germany","5783","0.256592621834127","0.250726722743597","0.262458520924657"
"1 Strongly disagree","2015","East Germany","1238","0.221638993999878","0.210583403223426","0.23269458477633"
"2 on scale 1-7 ","2015","West Germany","5442","0.246847798803739","0.241056778651379","0.252638818956099"
"2 on scale 1-7 ","2015","East Germany","1362","0.242132545659768","0.230730269716848","0.253534821602688"
"3 on scale 1-7 ","2015","West Germany","3296","0.16149961433592","0.156557230733457","0.166441997938384"
"3 on scale 1-7 ","2015","East Germany","955","0.185848858954421","0.175495034393667","0.196202683515175"
"4 on scale 1-7","2015","West Germany","3154","0.158814426317946","0.153905461099556","0.163723391536336"
"4 on scale 1-7","2015","East Germany","846","0.141841870256348","0.132555324146015","0.151128416366682"
"5 on scale 1-7","2015","West Germany","1700","0.0833332884823343","0.079621236389435","0.0870453405752336"
"5 on scale 1-7","2015","East Germany","482","0.100651704777889","0.092643358200865","0.108660051354912"
"6 on scale 1-7","2015","West Germany","1067","0.0539200431602214","0.0508865843067187","0.0569535020137242"
"6 on scale 1-7","2015","East Germany","292","0.0583266294866662","0.0520885354205667","0.0645647235527657"
"7 Strongly agree","2015","West Germany","854","0.038992207065712","0.0363923382448129","0.041592075886611"
"7 Strongly agree","2015","East Germany","247","0.0495593968650299","0.0437825104144194","0.0553362833156404"
"1 Strongly disagree","2016","West Germany","2476","0.521477390180424","0.505177532982139","0.537777247378709"
"1 Strongly disagree","2016","East Germany","498","0.604429600594643","0.569031426651649","0.639827774537637"
"2 on scale 1-7 ","2016","West Germany","369","0.177151955690115","0.164693975877452","0.189609935502778"
"2 on scale 1-7 ","2016","East Germany","78","0.162825541312372","0.136097609539486","0.189553473085258"
"3 on scale 1-7 ","2016","West Germany","221","0.0817469250940888","0.0728070441516592","0.0906868060365185"
"3 on scale 1-7 ","2016","East Germany","38","0.0573001552119699","0.0404749364101466","0.0741253740137933"
"4 on scale 1-7","2016","West Germany","202","0.0765032791256791","0.067830215533853","0.0851763427175051"
"4 on scale 1-7","2016","East Germany","36","0.0606764448040664","0.0433936579665713","0.0779592316415614"
"5 on scale 1-7","2016","West Germany","108","0.0477247068276596","0.0407685763505101","0.0546808373048091"
"5 on scale 1-7","2016","East Germany","","","",""
"6 on scale 1-7","2016","West Germany","68","0.0394544429848663","0.033102278013817","0.0458066079559156"
"6 on scale 1-7","2016","East Germany","","","",""
"7 Strongly agree","2016","West Germany","164","0.0559413000971671","0.0484426929122629","0.0634399072820713"
"7 Strongly agree","2016","East Germany","48","0.0464019778315766","0.0311738322283921","0.0616301234347611"
"1 Strongly disagree","2017","West Germany","1832","0.691030786841847","0.673238954139802","0.708822619543893"
"1 Strongly disagree","2017","East Germany","185","0.674831609115613","0.618109899174987","0.731553319056239"
"2 on scale 1-7 ","2017","West Germany","245","0.0968003984243866","0.0854150893286957","0.108185707520077"
"2 on scale 1-7 ","2017","East Germany","","","",""
"3 on scale 1-7 ","2017","West Germany","134","0.0545913961237409","0.0458438496137048","0.063338942633777"
"3 on scale 1-7 ","2017","East Germany","","","",""
"4 on scale 1-7","2017","West Germany","154","0.0571252349000949","0.0481889832504518","0.0660614865497381"
"4 on scale 1-7","2017","East Germany","","","",""
"5 on scale 1-7","2017","West Germany","58","0.0294638802099682","0.0229526176820368","0.0359751427378997"
"5 on scale 1-7","2017","East Germany","","","",""
"6 on scale 1-7","2017","West Germany","","","",""
"6 on scale 1-7","2017","East Germany","","","",""
"7 Strongly agree","2017","West Germany","141","0.0587549273777011","0.0496999391655754","0.0678099155898268"
"7 Strongly agree","2017","East Germany","","","",""
"1 Strongly disagree","2018","West Germany","218","0.637227259128439","0.588170437852218","0.686284080404661"
"1 Strongly disagree","2018","East Germany","31","0.671378635278495","0.539861691850605","0.802895578706385"
"2 on scale 1-7 ","2018","West Germany","34","0.0751511427010413","0.0482520219568197","0.102050263445263"
"2 on scale 1-7 ","2018","East Germany","","","",""
"3 on scale 1-7 ","2018","West Germany","","","",""
"3 on scale 1-7 ","2018","East Germany","","","",""
"4 on scale 1-7","2018","West Germany","35","0.0590426080500908","0.0349932962170748","0.0830919198831069"
"4 on scale 1-7","2018","East Germany","","","",""
"5 on scale 1-7","2018","West Germany","","","",""
"5 on scale 1-7","2018","East Germany","","","",""
"6 on scale 1-7","2018","West Germany","","","",""
"6 on scale 1-7","2018","East Germany","","","",""
"7 Strongly agree","2018","West Germany","37","0.115506435657489","0.0828938421143878","0.14811902920059"
"7 Strongly agree","2018","East Germany","","","",""
"1 Strongly disagree","2019","West Germany","125","0.550605197372246","0.489189131049152","0.61202126369534"
"1 Strongly disagree","2019","East Germany","","","",""
"2 on scale 1-7 ","2019","West Germany","37","0.0978834563881945","0.0611946322951419","0.134572280481247"
"2 on scale 1-7 ","2019","East Germany","","","",""
"3 on scale 1-7 ","2019","West Germany","","","",""
"3 on scale 1-7 ","2019","East Germany","","","",""
"4 on scale 1-7","2019","West Germany","","","",""
"4 on scale 1-7","2019","East Germany","","","",""
"5 on scale 1-7","2019","West Germany","","","",""
"5 on scale 1-7","2019","East Germany","","","",""
"6 on scale 1-7","2019","West Germany","","","",""
"6 on scale 1-7","2019","East Germany","","","",""
"7 Strongly agree","2019","West Germany","","","",""
"7 Strongly agree","2019","East Germany","","","",""
