"plh0206i05","year","migback","n","percent","lower_confidence","upper_confidence"
"5 on scale 1-7","2009","direct migration background","","","",""
"5 on scale 1-7","2009","indirect migration background","","","",""
"6 on scale 1-7","2009","no migration background","","","",""
"6 on scale 1-7","2009","direct migration background","","","",""
"6 on scale 1-7","2009","indirect migration background","","","",""
"7 Strongly agree","2009","no migration background","","","",""
"7 Strongly agree","2009","direct migration background","","","",""
"7 Strongly agree","2009","indirect migration background","","","",""
"1 Strongly disagree","2010","no migration background","2874","0.204103751706062","0.197553021043808","0.210654482368317"
"1 Strongly disagree","2010","direct migration background","293","0.206653869941583","0.185870189604712","0.227437550278455"
"1 Strongly disagree","2010","indirect migration background","96","0.145657922549089","0.118621939165879","0.172693905932298"
"2 on scale 1-7 ","2010","no migration background","3319","0.215157330359693","0.208478423339188","0.221836237380198"
"2 on scale 1-7 ","2010","direct migration background","307","0.192375872294143","0.172143385175872","0.212608359412414"
"2 on scale 1-7 ","2010","indirect migration background","145","0.194877236328234","0.16451939925802","0.225235073398448"
"3 on scale 1-7 ","2010","no migration background","2690","0.185616087884605","0.179296941423603","0.191935234345607"
"3 on scale 1-7 ","2010","direct migration background","281","0.185216108078988","0.165275889097385","0.205156327060592"
"3 on scale 1-7 ","2010","indirect migration background","124","0.209153572368435","0.177983490795005","0.240323653941864"
"4 on scale 1-7","2010","no migration background","2685","0.17791681349821","0.171700936674632","0.184132690321788"
"4 on scale 1-7","2010","direct migration background","237","0.14874312221506","0.130478188829012","0.167008055601109"
"4 on scale 1-7","2010","indirect migration background","112","0.182362233004619","0.152767996558607","0.21195646945063"
"5 on scale 1-7","2010","no migration background","1511","0.106456384481048","0.101443591665495","0.111469177296601"
"5 on scale 1-7","2010","direct migration background","158","0.127364289776687","0.110251939600373","0.144476639953001"
"5 on scale 1-7","2010","indirect migration background","73","0.125975418334254","0.100544388634633","0.151406448033874"
"6 on scale 1-7","2010","no migration background","847","0.0615388732409283","0.0576329928945848","0.0654447535872717"
"6 on scale 1-7","2010","direct migration background","93","0.0779574795733737","0.0641957284843011","0.0917192306624462"
"6 on scale 1-7","2010","indirect migration background","53","0.081359782290145","0.0604072348268984","0.102312329753392"
"7 Strongly agree","2010","no migration background","616","0.0492107588294536","0.0456950881969895","0.0527264294619177"
"7 Strongly agree","2010","direct migration background","89","0.0616892581201649","0.0493398129336534","0.0740387033066764"
"7 Strongly agree","2010","indirect migration background","51","0.0606138351252256","0.0423257944764796","0.0789018757739715"
"1 Strongly disagree","2011","no migration background","","","",""
"1 Strongly disagree","2011","direct migration background","","","",""
"1 Strongly disagree","2011","indirect migration background","","","",""
"2 on scale 1-7 ","2011","no migration background","","","",""
"2 on scale 1-7 ","2011","direct migration background","","","",""
"2 on scale 1-7 ","2011","indirect migration background","","","",""
"3 on scale 1-7 ","2011","no migration background","","","",""
"3 on scale 1-7 ","2011","direct migration background","","","",""
"3 on scale 1-7 ","2011","indirect migration background","","","",""
"4 on scale 1-7","2011","no migration background","","","",""
"4 on scale 1-7","2011","direct migration background","","","",""
"4 on scale 1-7","2011","indirect migration background","","","",""
"5 on scale 1-7","2011","no migration background","","","",""
"5 on scale 1-7","2011","direct migration background","","","",""
"5 on scale 1-7","2011","indirect migration background","","","",""
"6 on scale 1-7","2011","no migration background","","","",""
"6 on scale 1-7","2011","direct migration background","","","",""
"6 on scale 1-7","2011","indirect migration background","","","",""
"7 Strongly agree","2011","no migration background","","","",""
"7 Strongly agree","2011","direct migration background","","","",""
"7 Strongly agree","2011","indirect migration background","","","",""
"1 Strongly disagree","2012","no migration background","","","",""
"1 Strongly disagree","2012","direct migration background","","","",""
"1 Strongly disagree","2012","indirect migration background","","","",""
"2 on scale 1-7 ","2012","no migration background","","","",""
"2 on scale 1-7 ","2012","direct migration background","","","",""
"2 on scale 1-7 ","2012","indirect migration background","","","",""
"3 on scale 1-7 ","2012","no migration background","","","",""
"3 on scale 1-7 ","2012","direct migration background","","","",""
"3 on scale 1-7 ","2012","indirect migration background","","","",""
"4 on scale 1-7","2012","no migration background","","","",""
"4 on scale 1-7","2012","direct migration background","","","",""
"4 on scale 1-7","2012","indirect migration background","","","",""
"5 on scale 1-7","2012","no migration background","","","",""
"5 on scale 1-7","2012","direct migration background","","","",""
"5 on scale 1-7","2012","indirect migration background","","","",""
"6 on scale 1-7","2012","no migration background","","","",""
"6 on scale 1-7","2012","direct migration background","","","",""
"6 on scale 1-7","2012","indirect migration background","","","",""
"7 Strongly agree","2012","no migration background","","","",""
"7 Strongly agree","2012","direct migration background","","","",""
"7 Strongly agree","2012","indirect migration background","","","",""
"1 Strongly disagree","2013","no migration background","","","",""
"1 Strongly disagree","2013","direct migration background","","","",""
"1 Strongly disagree","2013","indirect migration background","","","",""
"2 on scale 1-7 ","2013","no migration background","","","",""
"2 on scale 1-7 ","2013","direct migration background","","","",""
"2 on scale 1-7 ","2013","indirect migration background","","","",""
"3 on scale 1-7 ","2013","no migration background","","","",""
"3 on scale 1-7 ","2013","direct migration background","","","",""
"3 on scale 1-7 ","2013","indirect migration background","","","",""
"4 on scale 1-7","2013","no migration background","","","",""
"4 on scale 1-7","2013","direct migration background","","","",""
"4 on scale 1-7","2013","indirect migration background","","","",""
"5 on scale 1-7","2013","no migration background","","","",""
"5 on scale 1-7","2013","direct migration background","","","",""
"5 on scale 1-7","2013","indirect migration background","","","",""
"6 on scale 1-7","2013","no migration background","","","",""
"6 on scale 1-7","2013","direct migration background","","","",""
"6 on scale 1-7","2013","indirect migration background","","","",""
"7 Strongly agree","2013","no migration background","","","",""
"7 Strongly agree","2013","direct migration background","","","",""
"7 Strongly agree","2013","indirect migration background","","","",""
"1 Strongly disagree","2014","no migration background","","","",""
"1 Strongly disagree","2014","direct migration background","","","",""
"1 Strongly disagree","2014","indirect migration background","","","",""
"2 on scale 1-7 ","2014","no migration background","","","",""
"2 on scale 1-7 ","2014","direct migration background","","","",""
"2 on scale 1-7 ","2014","indirect migration background","","","",""
"3 on scale 1-7 ","2014","no migration background","","","",""
"3 on scale 1-7 ","2014","direct migration background","","","",""
"3 on scale 1-7 ","2014","indirect migration background","","","",""
"4 on scale 1-7","2014","no migration background","","","",""
"4 on scale 1-7","2014","direct migration background","","","",""
"4 on scale 1-7","2014","indirect migration background","","","",""
"5 on scale 1-7","2014","no migration background","","","",""
"5 on scale 1-7","2014","direct migration background","","","",""
"5 on scale 1-7","2014","indirect migration background","","","",""
"6 on scale 1-7","2014","no migration background","","","",""
"6 on scale 1-7","2014","direct migration background","","","",""
"6 on scale 1-7","2014","indirect migration background","","","",""
"7 Strongly agree","2014","no migration background","","","",""
"7 Strongly agree","2014","direct migration background","","","",""
"7 Strongly agree","2014","indirect migration background","","","",""
"1 Strongly disagree","2015","no migration background","4701","0.239948070403148","0.233917232361693","0.245978908444603"
"1 Strongly disagree","2015","direct migration background","1899","0.312093417347601","0.300140003197378","0.324046831497823"
"1 Strongly disagree","2015","indirect migration background","421","0.234752658095563","0.214509269054243","0.254996047136884"
"2 on scale 1-7 ","2015","no migration background","5081","0.249981876968149","0.243867002542461","0.256096751393837"
"2 on scale 1-7 ","2015","direct migration background","1308","0.220339867221586","0.209647247163539","0.231032487279632"
"2 on scale 1-7 ","2015","indirect migration background","415","0.258579343040812","0.237666826270475","0.27949185981115"
"3 on scale 1-7 ","2015","no migration background","3206","0.170329414771941","0.165020630527665","0.175638199016218"
"3 on scale 1-7 ","2015","direct migration background","784","0.143141784330736","0.134106899400458","0.152176669261013"
"3 on scale 1-7 ","2015","indirect migration background","261","0.160649112848438","0.143110792836969","0.178187432859908"
"4 on scale 1-7","2015","no migration background","2981","0.156973729968461","0.151836471167686","0.162110988769236"
"4 on scale 1-7","2015","direct migration background","768","0.147577567440791","0.138427537005396","0.156727597876186"
"4 on scale 1-7","2015","indirect migration background","251","0.161459846786853","0.143885821490425","0.17903387208328"
"5 on scale 1-7","2015","no migration background","1630","0.0895466359239965","0.085514353974329","0.0935789178736639"
"5 on scale 1-7","2015","direct migration background","428","0.0731680703732224","0.0664499740849099","0.079886166661535"
"5 on scale 1-7","2015","indirect migration background","124","0.0751151107398264","0.0625263046100875","0.0877039168695654"
"6 on scale 1-7","2015","no migration background","980","0.0556248240285949","0.0523881124001072","0.0588615356570827"
"6 on scale 1-7","2015","direct migration background","282","0.0500117950921189","0.0443886374624729","0.0556349527217649"
"6 on scale 1-7","2015","indirect migration background","97","0.0537895814468098","0.043014514113712","0.0645646487799075"
"7 Strongly agree","2015","no migration background","683","0.0375954479357092","0.0349092137742046","0.0402816820972139"
"7 Strongly agree","2015","direct migration background","303","0.0536674981939454","0.0478536661256387","0.0594813302622522"
"7 Strongly agree","2015","indirect migration background","115","0.0556543470416973","0.044704902554508","0.0666037915288865"
"1 Strongly disagree","2016","no migration background","","","",""
"1 Strongly disagree","2016","direct migration background","2972","0.57585668658401","0.561100526319857","0.590612846848163"
"1 Strongly disagree","2016","indirect migration background","","","",""
"2 on scale 1-7 ","2016","no migration background","","","",""
"2 on scale 1-7 ","2016","direct migration background","438","0.163275005038789","0.152239020885799","0.174310989191779"
"2 on scale 1-7 ","2016","indirect migration background","","","",""
"3 on scale 1-7 ","2016","no migration background","","","",""
"3 on scale 1-7 ","2016","direct migration background","254","0.0658797135948826","0.0584728030925248","0.0732866240972404"
"3 on scale 1-7 ","2016","indirect migration background","","","",""
"4 on scale 1-7","2016","no migration background","","","",""
"4 on scale 1-7","2016","direct migration background","236","0.0700293501767201","0.0624097091182876","0.0776489912351527"
"4 on scale 1-7","2016","indirect migration background","","","",""
"5 on scale 1-7","2016","no migration background","","","",""
"5 on scale 1-7","2016","direct migration background","128","0.0467575644044044","0.0404539815125391","0.0530611472962696"
"5 on scale 1-7","2016","indirect migration background","","","",""
"6 on scale 1-7","2016","no migration background","","","",""
"6 on scale 1-7","2016","direct migration background","73","0.0283926035740256","0.0234334465535209","0.0333517605945302"
"6 on scale 1-7","2016","indirect migration background","","","",""
"7 Strongly agree","2016","no migration background","","","",""
"7 Strongly agree","2016","direct migration background","208","0.0498090766271684","0.0433134728134999","0.0563046804408368"
"7 Strongly agree","2016","indirect migration background","","","",""
"1 Strongly disagree","2017","no migration background","","","",""
"1 Strongly disagree","2017","direct migration background","2017","0.689101939347173","0.672117627793751","0.706086250900596"
"1 Strongly disagree","2017","indirect migration background","","","",""
"2 on scale 1-7 ","2017","no migration background","","","",""
"2 on scale 1-7 ","2017","direct migration background","269","0.0928874125288203","0.0822360238056606","0.10353880125198"
"2 on scale 1-7 ","2017","indirect migration background","","","",""
"3 on scale 1-7 ","2017","no migration background","","","",""
"3 on scale 1-7 ","2017","direct migration background","142","0.0538460548302286","0.0455636767421677","0.0621284329182895"
"3 on scale 1-7 ","2017","indirect migration background","","","",""
"4 on scale 1-7","2017","no migration background","","","",""
"4 on scale 1-7","2017","direct migration background","175","0.0659931037817642","0.0568830377701663","0.0751031697933622"
"4 on scale 1-7","2017","indirect migration background","","","",""
"5 on scale 1-7","2017","no migration background","","","",""
"5 on scale 1-7","2017","direct migration background","64","0.0275102728465625","0.0215083948194666","0.0335121508736585"
"5 on scale 1-7","2017","indirect migration background","","","",""
"6 on scale 1-7","2017","no migration background","","","",""
"6 on scale 1-7","2017","direct migration background","","","",""
"6 on scale 1-7","2017","indirect migration background","","","",""
"7 Strongly agree","2017","no migration background","","","",""
"7 Strongly agree","2017","direct migration background","157","0.0596753916577455","0.0509831109071104","0.0683676724083806"
"7 Strongly agree","2017","indirect migration background","","","",""
"1 Strongly disagree","2018","no migration background","","","",""
"1 Strongly disagree","2018","direct migration background","249","0.642303466752584","0.596353262237115","0.688253671268054"
"1 Strongly disagree","2018","indirect migration background","","","",""
"2 on scale 1-7 ","2018","no migration background","","","",""
"2 on scale 1-7 ","2018","direct migration background","38","0.0756992428497412","0.0503413961284834","0.101057089570999"
"2 on scale 1-7 ","2018","indirect migration background","","","",""
"3 on scale 1-7 ","2018","no migration background","","","",""
"3 on scale 1-7 ","2018","direct migration background","","","",""
"3 on scale 1-7 ","2018","indirect migration background","","","",""
"4 on scale 1-7","2018","no migration background","","","",""
"4 on scale 1-7","2018","direct migration background","38","0.0544137346505455","0.0326684651197103","0.0761590041813806"
"4 on scale 1-7","2018","indirect migration background","","","",""
"5 on scale 1-7","2018","no migration background","","","",""
"5 on scale 1-7","2018","direct migration background","","","",""
"5 on scale 1-7","2018","indirect migration background","","","",""
"6 on scale 1-7","2018","no migration background","","","",""
"6 on scale 1-7","2018","direct migration background","","","",""
"6 on scale 1-7","2018","indirect migration background","","","",""
"7 Strongly agree","2018","no migration background","","","",""
"7 Strongly agree","2018","direct migration background","42","0.113617710959304","0.0831953088255861","0.144040113093021"
"7 Strongly agree","2018","indirect migration background","","","",""
"1 Strongly disagree","2019","no migration background","","","",""
"1 Strongly disagree","2019","direct migration background","137","0.52085745712277","0.461813758611184","0.579901155634356"
"1 Strongly disagree","2019","indirect migration background","","","",""
"2 on scale 1-7 ","2019","no migration background","","","",""
"2 on scale 1-7 ","2019","direct migration background","40","0.119213225676199","0.0809149380779771","0.157511513274421"
"2 on scale 1-7 ","2019","indirect migration background","","","",""
"3 on scale 1-7 ","2019","no migration background","","","",""
"3 on scale 1-7 ","2019","direct migration background","","","",""
"3 on scale 1-7 ","2019","indirect migration background","","","",""
"4 on scale 1-7","2019","no migration background","","","",""
"4 on scale 1-7","2019","direct migration background","","","",""
"4 on scale 1-7","2019","indirect migration background","","","",""
"5 on scale 1-7","2019","no migration background","","","",""
"5 on scale 1-7","2019","direct migration background","","","",""
"5 on scale 1-7","2019","indirect migration background","","","",""
"6 on scale 1-7","2019","no migration background","","","",""
"6 on scale 1-7","2019","direct migration background","","","",""
"6 on scale 1-7","2019","indirect migration background","","","",""
"7 Strongly agree","2019","no migration background","","","",""
"7 Strongly agree","2019","direct migration background","","","",""
"7 Strongly agree","2019","indirect migration background","","","",""
