"plh0206i05","year","regtyp","n","percent","lower_confidence","upper_confidence"
"5 on scale 1-7","2007","Urban Area","","","",""
"5 on scale 1-7","2007","Rural Area","","","",""
"6 on scale 1-7","2007","Urban Area","","","",""
"6 on scale 1-7","2007","Rural Area","","","",""
"7 Strongly agree","2007","Urban Area","","","",""
"7 Strongly agree","2007","Rural Area","","","",""
"1 Strongly disagree","2008","Urban Area","","","",""
"1 Strongly disagree","2008","Rural Area","","","",""
"2 on scale 1-7 ","2008","Urban Area","","","",""
"2 on scale 1-7 ","2008","Rural Area","","","",""
"3 on scale 1-7 ","2008","Urban Area","","","",""
"3 on scale 1-7 ","2008","Rural Area","","","",""
"4 on scale 1-7","2008","Urban Area","","","",""
"4 on scale 1-7","2008","Rural Area","","","",""
"5 on scale 1-7","2008","Urban Area","","","",""
"5 on scale 1-7","2008","Rural Area","","","",""
"6 on scale 1-7","2008","Urban Area","","","",""
"6 on scale 1-7","2008","Rural Area","","","",""
"7 Strongly agree","2008","Urban Area","","","",""
"7 Strongly agree","2008","Rural Area","","","",""
"1 Strongly disagree","2009","Urban Area","","","",""
"1 Strongly disagree","2009","Rural Area","","","",""
"2 on scale 1-7 ","2009","Urban Area","","","",""
"2 on scale 1-7 ","2009","Rural Area","","","",""
"3 on scale 1-7 ","2009","Urban Area","","","",""
"3 on scale 1-7 ","2009","Rural Area","","","",""
"4 on scale 1-7","2009","Urban Area","","","",""
"4 on scale 1-7","2009","Rural Area","","","",""
"5 on scale 1-7","2009","Urban Area","","","",""
"5 on scale 1-7","2009","Rural Area","","","",""
"6 on scale 1-7","2009","Urban Area","","","",""
"6 on scale 1-7","2009","Rural Area","","","",""
"7 Strongly agree","2009","Urban Area","","","",""
"7 Strongly agree","2009","Rural Area","","","",""
"1 Strongly disagree","2010","Urban Area","2242","0.211644645281721","0.204015087558196","0.219274203005246"
"1 Strongly disagree","2010","Rural Area","1021","0.181097375209174","0.171049707234938","0.19114504318341"
"2 on scale 1-7 ","2010","Urban Area","2567","0.215845842646216","0.208161490151985","0.223530195140448"
"2 on scale 1-7 ","2010","Rural Area","1204","0.202167451738527","0.191688820446758","0.212646083030297"
"3 on scale 1-7 ","2010","Urban Area","2112","0.190869854396985","0.183529575325519","0.198210133468451"
"3 on scale 1-7 ","2010","Rural Area","983","0.176778956567966","0.16682566833725","0.186732244798681"
"4 on scale 1-7","2010","Urban Area","1945","0.17272272780327","0.16566223523318","0.17978322037336"
"4 on scale 1-7","2010","Rural Area","1089","0.178536245277586","0.168544290325916","0.188528200229256"
"5 on scale 1-7","2010","Urban Area","1062","0.103389239795501","0.0977023560011334","0.109076123589868"
"5 on scale 1-7","2010","Rural Area","680","0.123880951724002","0.115285337936127","0.132476565511877"
"6 on scale 1-7","2010","Urban Area","598","0.0583757521176707","0.053996602625965","0.0627549016093765"
"6 on scale 1-7","2010","Rural Area","395","0.0774544439412909","0.0704799910260575","0.0844288968565244"
"7 Strongly agree","2010","Urban Area","485","0.0471519379586363","0.043192839423335","0.0511110364939377"
"7 Strongly agree","2010","Rural Area","271","0.0600845755414543","0.0538841863153109","0.0662849647675977"
"1 Strongly disagree","2011","Urban Area","","","",""
"1 Strongly disagree","2011","Rural Area","","","",""
"2 on scale 1-7 ","2011","Urban Area","","","",""
"2 on scale 1-7 ","2011","Rural Area","","","",""
"3 on scale 1-7 ","2011","Urban Area","","","",""
"3 on scale 1-7 ","2011","Rural Area","","","",""
"4 on scale 1-7","2011","Urban Area","","","",""
"4 on scale 1-7","2011","Rural Area","","","",""
"5 on scale 1-7","2011","Urban Area","","","",""
"5 on scale 1-7","2011","Rural Area","","","",""
"6 on scale 1-7","2011","Urban Area","","","",""
"6 on scale 1-7","2011","Rural Area","","","",""
"7 Strongly agree","2011","Urban Area","","","",""
"7 Strongly agree","2011","Rural Area","","","",""
"1 Strongly disagree","2012","Urban Area","","","",""
"1 Strongly disagree","2012","Rural Area","","","",""
"2 on scale 1-7 ","2012","Urban Area","","","",""
"2 on scale 1-7 ","2012","Rural Area","","","",""
"3 on scale 1-7 ","2012","Urban Area","","","",""
"3 on scale 1-7 ","2012","Rural Area","","","",""
"4 on scale 1-7","2012","Urban Area","","","",""
"4 on scale 1-7","2012","Rural Area","","","",""
"5 on scale 1-7","2012","Urban Area","","","",""
"5 on scale 1-7","2012","Rural Area","","","",""
"6 on scale 1-7","2012","Urban Area","","","",""
"6 on scale 1-7","2012","Rural Area","","","",""
"7 Strongly agree","2012","Urban Area","","","",""
"7 Strongly agree","2012","Rural Area","","","",""
"1 Strongly disagree","2013","Urban Area","","","",""
"1 Strongly disagree","2013","Rural Area","","","",""
"2 on scale 1-7 ","2013","Urban Area","","","",""
"2 on scale 1-7 ","2013","Rural Area","","","",""
"3 on scale 1-7 ","2013","Urban Area","","","",""
"3 on scale 1-7 ","2013","Rural Area","","","",""
"4 on scale 1-7","2013","Urban Area","","","",""
"4 on scale 1-7","2013","Rural Area","","","",""
"5 on scale 1-7","2013","Urban Area","","","",""
"5 on scale 1-7","2013","Rural Area","","","",""
"6 on scale 1-7","2013","Urban Area","","","",""
"6 on scale 1-7","2013","Rural Area","","","",""
"7 Strongly agree","2013","Urban Area","","","",""
"7 Strongly agree","2013","Rural Area","","","",""
"1 Strongly disagree","2014","Urban Area","","","",""
"1 Strongly disagree","2014","Rural Area","","","",""
"2 on scale 1-7 ","2014","Urban Area","","","",""
"2 on scale 1-7 ","2014","Rural Area","","","",""
"3 on scale 1-7 ","2014","Urban Area","","","",""
"3 on scale 1-7 ","2014","Rural Area","","","",""
"4 on scale 1-7","2014","Urban Area","","","",""
"4 on scale 1-7","2014","Rural Area","","","",""
"5 on scale 1-7","2014","Urban Area","","","",""
"5 on scale 1-7","2014","Rural Area","","","",""
"6 on scale 1-7","2014","Urban Area","","","",""
"6 on scale 1-7","2014","Rural Area","","","",""
"7 Strongly agree","2014","Urban Area","","","",""
"7 Strongly agree","2014","Rural Area","","","",""
"1 Strongly disagree","2015","Urban Area","4841","0.261399260770198","0.254908073641271","0.267890447899124"
"1 Strongly disagree","2015","Rural Area","2180","0.226217926471664","0.217629397728492","0.234806455214836"
"2 on scale 1-7 ","2015","Urban Area","4544","0.249805268816639","0.243410057718365","0.256200479914913"
"2 on scale 1-7 ","2015","Rural Area","2260","0.237681695582574","0.228943696892975","0.246419694272174"
"3 on scale 1-7 ","2015","Urban Area","2727","0.1611302812075","0.155698992060643","0.166561570354357"
"3 on scale 1-7 ","2015","Rural Area","1524","0.176119866186603","0.168300309693324","0.183939422679883"
"4 on scale 1-7","2015","Urban Area","2558","0.155517811430352","0.150164131569909","0.160871491290795"
"4 on scale 1-7","2015","Rural Area","1442","0.156424859475688","0.148967918491745","0.163881800459631"
"5 on scale 1-7","2015","Urban Area","1369","0.0821164635473624","0.0780606685833172","0.0861722585114076"
"5 on scale 1-7","2015","Rural Area","813","0.0958263551855405","0.0897838874569297","0.101868822914151"
"6 on scale 1-7","2015","Urban Area","852","0.0518189299764432","0.0485443398845222","0.0550935200683642"
"6 on scale 1-7","2015","Rural Area","507","0.061031318697531","0.0561171748719594","0.0659454625231025"
"7 Strongly agree","2015","Urban Area","711","0.0382119842515063","0.0353798974608635","0.041044071042149"
"7 Strongly agree","2015","Rural Area","390","0.0466979784003987","0.0423667585410343","0.051029198259763"
"1 Strongly disagree","2016","Urban Area","2064","0.49665859057741","0.478770029850734","0.514547151304085"
"1 Strongly disagree","2016","Rural Area","910","0.631183356844717","0.605350126488307","0.657016587201127"
"2 on scale 1-7 ","2016","Urban Area","313","0.197867302544755","0.183613681116838","0.212120923972673"
"2 on scale 1-7 ","2016","Rural Area","134","0.114578234640239","0.09752440768423","0.131632061596248"
"3 on scale 1-7 ","2016","Urban Area","191","0.0786458786505026","0.0690149898349012","0.088276767466104"
"3 on scale 1-7 ","2016","Rural Area","68","0.0770733594791308","0.0627932535948685","0.0913534653633931"
"4 on scale 1-7","2016","Urban Area","163","0.0819328618939018","0.072120323322525","0.0917454004652785"
"4 on scale 1-7","2016","Rural Area","75","0.0537283022873627","0.0416555809539429","0.0658010236207824"
"5 on scale 1-7","2016","Urban Area","78","0.0460043908866976","0.0385091098116131","0.0534996719617821"
"5 on scale 1-7","2016","Rural Area","55","0.0586045196253236","0.0460283814163746","0.0711806578342725"
"6 on scale 1-7","2016","Urban Area","52","0.0414610479094563","0.0343285752833729","0.0485935205355397"
"6 on scale 1-7","2016","Rural Area","26","","",""
"7 Strongly agree","2016","Urban Area","140","0.0574299275372767","0.0491057554355828","0.0657540996389707"
"7 Strongly agree","2016","Rural Area","72","0.046951355244177","0.0356253360780507","0.0582773744103034"
"1 Strongly disagree","2017","Urban Area","1419","0.655344710890074","0.634915658625337","0.67577376315481"
"1 Strongly disagree","2017","Rural Area","598","0.781715736023602","0.752614378246544","0.81081709380066"
"2 on scale 1-7 ","2017","Urban Area","208","0.10152994600385","0.0885471053345682","0.114512786673131"
"2 on scale 1-7 ","2017","Rural Area","61","0.0691764067795541","0.0512995853557978","0.0870532282033104"
"3 on scale 1-7 ","2017","Urban Area","114","0.0511291808656251","0.0416611686563626","0.0605971930748877"
"3 on scale 1-7 ","2017","Rural Area","28","","",""
"4 on scale 1-7","2017","Urban Area","138","0.0756482361204837","0.0642814186384327","0.0870150536025347"
"4 on scale 1-7","2017","Rural Area","37","0.0395040078407699","0.0257811056295906","0.0532269100519493"
"5 on scale 1-7","2017","Urban Area","53","0.0344711608432439","0.0266290779997681","0.0423132436867198"
"5 on scale 1-7","2017","Rural Area","11","","",""
"6 on scale 1-7","2017","Urban Area","22","","",""
"6 on scale 1-7","2017","Rural Area","7","","",""
"7 Strongly agree","2017","Urban Area","125","0.0695433724153993","0.0586089263462284","0.0804778184845701"
"7 Strongly agree","2017","Rural Area","32","0.032602340780429","0.0200909808524371","0.0451137007084209"
"1 Strongly disagree","2018","Urban Area","155","0.630141199938758","0.571795731266371","0.688486668611146"
"1 Strongly disagree","2018","Rural Area","94","0.665299150857114","0.59101107092836","0.739587230785868"
"2 on scale 1-7 ","2018","Urban Area","21","","",""
"2 on scale 1-7 ","2018","Rural Area","17","","",""
"3 on scale 1-7 ","2018","Urban Area","19","","",""
"3 on scale 1-7 ","2018","Rural Area","9","","",""
"4 on scale 1-7","2018","Urban Area","25","","",""
"4 on scale 1-7","2018","Rural Area","13","","",""
"5 on scale 1-7","2018","Urban Area","16","","",""
"5 on scale 1-7","2018","Rural Area","3","","",""
"6 on scale 1-7","2018","Urban Area","2","","",""
"6 on scale 1-7","2018","Rural Area","2","","",""
"7 Strongly agree","2018","Urban Area","25","","",""
"7 Strongly agree","2018","Rural Area","17","","",""
"1 Strongly disagree","2019","Urban Area","80","0.508395929524728","0.43346539973116","0.583326459318296"
"1 Strongly disagree","2019","Rural Area","56","0.54350785321764","0.446365868744595","0.640649837690686"
"2 on scale 1-7 ","2019","Urban Area","22","","",""
"2 on scale 1-7 ","2019","Rural Area","18","","",""
"3 on scale 1-7 ","2019","Urban Area","22","","",""
"3 on scale 1-7 ","2019","Rural Area","7","","",""
"4 on scale 1-7","2019","Urban Area","17","","",""
"4 on scale 1-7","2019","Rural Area","10","","",""
"5 on scale 1-7","2019","Urban Area","7","","",""
"5 on scale 1-7","2019","Rural Area","5","","",""
"6 on scale 1-7","2019","Urban Area","6","","",""
"6 on scale 1-7","2019","Rural Area","2","","",""
"7 Strongly agree","2019","Urban Area","17","","",""
"7 Strongly agree","2019","Rural Area","3","","",""
