"plh0206i05","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"4 on scale 1-7","2005","lower secondary degree","East Germany","258","0.202740925671823","0.181605493191104","0.223876358152542"
"4 on scale 1-7","2005","secondary school degree","West Germany","738","0.195329993593976","0.182701511264102","0.207958475923851"
"4 on scale 1-7","2005","secondary school degree","East Germany","436","0.186664440450565","0.170467087858253","0.202861793042877"
"4 on scale 1-7","2005","college entrance qualification","West Germany","735","0.190308683442764","0.178228092998403","0.202389273887126"
"4 on scale 1-7","2005","college entrance qualification","East Germany","205","0.195011626142056","0.171879732387369","0.218143519896743"
"4 on scale 1-7","2005","Other degree","West Germany","204","0.205066632933188","0.18089736133627","0.229235904530106"
"4 on scale 1-7","2005","Other degree","East Germany","4","","",""
"4 on scale 1-7","2005","no degree/no degree yet","West Germany","154","0.180001003024314","0.152054729601748","0.207947276446881"
"4 on scale 1-7","2005","no degree/no degree yet","East Germany","37","0.214546616329307","0.152286360956608","0.276806871702006"
"5 on scale 1-7","2005","lower secondary degree","West Germany","640","0.11216509335668","0.10395766452131","0.120372522192051"
"5 on scale 1-7","2005","lower secondary degree","East Germany","161","0.106485965035954","0.0902701954122302","0.122701734659677"
"5 on scale 1-7","2005","secondary school degree","West Germany","441","0.109439007771424","0.0994946739685714","0.119383341574276"
"5 on scale 1-7","2005","secondary school degree","East Germany","279","0.123366896391023","0.109696326722879","0.137037466059166"
"5 on scale 1-7","2005","college entrance qualification","West Germany","419","0.100277634532513","0.091033730748706","0.10952153831632"
"5 on scale 1-7","2005","college entrance qualification","East Germany","110","0.0904715655161164","0.073724052416926","0.107219078615307"
"5 on scale 1-7","2005","Other degree","West Germany","123","0.119705075677262","0.100272915574101","0.139137235780423"
"5 on scale 1-7","2005","Other degree","East Germany","6","","",""
"5 on scale 1-7","2005","no degree/no degree yet","West Germany","88","0.114810675710078","0.0916213029939855","0.13800004842617"
"5 on scale 1-7","2005","no degree/no degree yet","East Germany","19","","",""
"6 on scale 1-7","2005","lower secondary degree","West Germany","440","0.0831691462620811","0.0759872704946375","0.0903510220295246"
"6 on scale 1-7","2005","lower secondary degree","East Germany","121","0.0842827957336915","0.0696781561348517","0.0988874353325313"
"6 on scale 1-7","2005","secondary school degree","West Germany","247","0.0747666519693322","0.0663887091532584","0.083144594785406"
"6 on scale 1-7","2005","secondary school degree","East Germany","155","0.0789684155221426","0.0677574676435098","0.0901793634007755"
"6 on scale 1-7","2005","college entrance qualification","West Germany","195","0.0532430582071371","0.0463335066252547","0.0601526097890196"
"6 on scale 1-7","2005","college entrance qualification","East Germany","53","0.0424584963047834","0.0306865779541522","0.0542304146554146"
"6 on scale 1-7","2005","Other degree","West Germany","60","0.0592505370630208","0.045117554162603","0.0733835199634386"
"6 on scale 1-7","2005","Other degree","East Germany","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","West Germany","73","0.115810476679016","0.0925335098547631","0.139087443503268"
"6 on scale 1-7","2005","no degree/no degree yet","East Germany","16","","",""
"7 Strongly agree","2005","lower secondary degree","West Germany","374","0.0677441864111414","0.0612081310429596","0.0742802417793233"
"7 Strongly agree","2005","lower secondary degree","East Germany","92","0.0665597807104268","0.0534562030532074","0.0796633583676461"
"7 Strongly agree","2005","secondary school degree","West Germany","159","0.0441029951642012","0.0375626995416962","0.0506432907867061"
"7 Strongly agree","2005","secondary school degree","East Germany","116","0.0656848817392838","0.0553867662259243","0.0759829972526432"
"7 Strongly agree","2005","college entrance qualification","West Germany","94","0.028642803855896","0.0235095071973962","0.0337761005143958"
"7 Strongly agree","2005","college entrance qualification","East Germany","31","0.0355788319481663","0.0247641103704989","0.0463935535258336"
"7 Strongly agree","2005","Other degree","West Germany","79","0.0703778305289338","0.0550661848050996","0.085689476252768"
"7 Strongly agree","2005","Other degree","East Germany","5","","",""
"7 Strongly agree","2005","no degree/no degree yet","West Germany","61","0.0837371920094461","0.0635884003318645","0.103885983687028"
"7 Strongly agree","2005","no degree/no degree yet","East Germany","12","","",""
"1 Strongly disagree","2006","lower secondary degree","West Germany","","","",""
"1 Strongly disagree","2006","lower secondary degree","East Germany","","","",""
"1 Strongly disagree","2006","secondary school degree","West Germany","","","",""
"1 Strongly disagree","2006","secondary school degree","East Germany","","","",""
"1 Strongly disagree","2006","college entrance qualification","West Germany","","","",""
"1 Strongly disagree","2006","college entrance qualification","East Germany","","","",""
"1 Strongly disagree","2006","Other degree","West Germany","","","",""
"1 Strongly disagree","2006","Other degree","East Germany","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","West Germany","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","East Germany","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","West Germany","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","East Germany","","","",""
"2 on scale 1-7 ","2006","secondary school degree","West Germany","","","",""
"2 on scale 1-7 ","2006","secondary school degree","East Germany","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","West Germany","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","East Germany","","","",""
"2 on scale 1-7 ","2006","Other degree","West Germany","","","",""
"2 on scale 1-7 ","2006","Other degree","East Germany","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","West Germany","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","East Germany","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","West Germany","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","East Germany","","","",""
"3 on scale 1-7 ","2006","secondary school degree","West Germany","","","",""
"3 on scale 1-7 ","2006","secondary school degree","East Germany","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","West Germany","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","East Germany","","","",""
"3 on scale 1-7 ","2006","Other degree","West Germany","","","",""
"3 on scale 1-7 ","2006","Other degree","East Germany","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","West Germany","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","East Germany","","","",""
"4 on scale 1-7","2006","lower secondary degree","West Germany","","","",""
"4 on scale 1-7","2006","lower secondary degree","East Germany","","","",""
"4 on scale 1-7","2006","secondary school degree","West Germany","","","",""
"4 on scale 1-7","2006","secondary school degree","East Germany","","","",""
"4 on scale 1-7","2006","college entrance qualification","West Germany","","","",""
"4 on scale 1-7","2006","college entrance qualification","East Germany","","","",""
"4 on scale 1-7","2006","Other degree","West Germany","","","",""
"4 on scale 1-7","2006","Other degree","East Germany","","","",""
"4 on scale 1-7","2006","no degree/no degree yet","West Germany","","","",""
"4 on scale 1-7","2006","no degree/no degree yet","East Germany","","","",""
"5 on scale 1-7","2006","lower secondary degree","West Germany","","","",""
"5 on scale 1-7","2006","lower secondary degree","East Germany","","","",""
"5 on scale 1-7","2006","secondary school degree","West Germany","","","",""
"5 on scale 1-7","2006","secondary school degree","East Germany","","","",""
"5 on scale 1-7","2006","college entrance qualification","West Germany","","","",""
"5 on scale 1-7","2006","college entrance qualification","East Germany","","","",""
"5 on scale 1-7","2006","Other degree","West Germany","","","",""
"5 on scale 1-7","2006","Other degree","East Germany","","","",""
"5 on scale 1-7","2006","no degree/no degree yet","West Germany","","","",""
"5 on scale 1-7","2006","no degree/no degree yet","East Germany","","","",""
"6 on scale 1-7","2006","lower secondary degree","West Germany","","","",""
"6 on scale 1-7","2006","lower secondary degree","East Germany","","","",""
"6 on scale 1-7","2006","secondary school degree","West Germany","","","",""
"6 on scale 1-7","2006","secondary school degree","East Germany","","","",""
"6 on scale 1-7","2006","college entrance qualification","West Germany","","","",""
"6 on scale 1-7","2006","college entrance qualification","East Germany","","","",""
"6 on scale 1-7","2006","Other degree","West Germany","","","",""
"6 on scale 1-7","2006","Other degree","East Germany","","","",""
"6 on scale 1-7","2006","no degree/no degree yet","West Germany","","","",""
"6 on scale 1-7","2006","no degree/no degree yet","East Germany","","","",""
"7 Strongly agree","2006","lower secondary degree","West Germany","","","",""
"7 Strongly agree","2006","lower secondary degree","East Germany","","","",""
"7 Strongly agree","2006","secondary school degree","West Germany","","","",""
"7 Strongly agree","2006","secondary school degree","East Germany","","","",""
"7 Strongly agree","2006","college entrance qualification","West Germany","","","",""
"7 Strongly agree","2006","college entrance qualification","East Germany","","","",""
"7 Strongly agree","2006","Other degree","West Germany","","","",""
"7 Strongly agree","2006","Other degree","East Germany","","","",""
"7 Strongly agree","2006","no degree/no degree yet","West Germany","","","",""
"7 Strongly agree","2006","no degree/no degree yet","East Germany","","","",""
"1 Strongly disagree","2007","lower secondary degree","West Germany","","","",""
"1 Strongly disagree","2007","lower secondary degree","East Germany","","","",""
"1 Strongly disagree","2007","secondary school degree","West Germany","","","",""
"1 Strongly disagree","2007","secondary school degree","East Germany","","","",""
"1 Strongly disagree","2007","college entrance qualification","West Germany","","","",""
"1 Strongly disagree","2007","college entrance qualification","East Germany","","","",""
"1 Strongly disagree","2007","Other degree","West Germany","","","",""
"1 Strongly disagree","2007","Other degree","East Germany","","","",""
"1 Strongly disagree","2007","no degree/no degree yet","West Germany","","","",""
"1 Strongly disagree","2007","no degree/no degree yet","East Germany","","","",""
"2 on scale 1-7 ","2007","lower secondary degree","West Germany","","","",""
"2 on scale 1-7 ","2007","lower secondary degree","East Germany","","","",""
"2 on scale 1-7 ","2007","secondary school degree","West Germany","","","",""
"2 on scale 1-7 ","2007","secondary school degree","East Germany","","","",""
"2 on scale 1-7 ","2007","college entrance qualification","West Germany","","","",""
"2 on scale 1-7 ","2007","college entrance qualification","East Germany","","","",""
"2 on scale 1-7 ","2007","Other degree","West Germany","","","",""
"2 on scale 1-7 ","2007","Other degree","East Germany","","","",""
"2 on scale 1-7 ","2007","no degree/no degree yet","West Germany","","","",""
"2 on scale 1-7 ","2007","no degree/no degree yet","East Germany","","","",""
"3 on scale 1-7 ","2007","lower secondary degree","West Germany","","","",""
"3 on scale 1-7 ","2007","lower secondary degree","East Germany","","","",""
"3 on scale 1-7 ","2007","secondary school degree","West Germany","","","",""
"3 on scale 1-7 ","2007","secondary school degree","East Germany","","","",""
"3 on scale 1-7 ","2007","college entrance qualification","West Germany","","","",""
"3 on scale 1-7 ","2007","college entrance qualification","East Germany","","","",""
"3 on scale 1-7 ","2007","Other degree","West Germany","","","",""
"3 on scale 1-7 ","2007","Other degree","East Germany","","","",""
"3 on scale 1-7 ","2007","no degree/no degree yet","West Germany","","","",""
"3 on scale 1-7 ","2007","no degree/no degree yet","East Germany","","","",""
"4 on scale 1-7","2007","lower secondary degree","West Germany","","","",""
"4 on scale 1-7","2007","lower secondary degree","East Germany","","","",""
"4 on scale 1-7","2007","secondary school degree","West Germany","","","",""
"4 on scale 1-7","2007","secondary school degree","East Germany","","","",""
"4 on scale 1-7","2007","college entrance qualification","West Germany","","","",""
"4 on scale 1-7","2007","college entrance qualification","East Germany","","","",""
"4 on scale 1-7","2007","Other degree","West Germany","","","",""
"4 on scale 1-7","2007","Other degree","East Germany","","","",""
"4 on scale 1-7","2007","no degree/no degree yet","West Germany","","","",""
"4 on scale 1-7","2007","no degree/no degree yet","East Germany","","","",""
"5 on scale 1-7","2007","lower secondary degree","West Germany","","","",""
"5 on scale 1-7","2007","lower secondary degree","East Germany","","","",""
"5 on scale 1-7","2007","secondary school degree","West Germany","","","",""
"5 on scale 1-7","2007","secondary school degree","East Germany","","","",""
"5 on scale 1-7","2007","college entrance qualification","West Germany","","","",""
"5 on scale 1-7","2007","college entrance qualification","East Germany","","","",""
"5 on scale 1-7","2007","Other degree","West Germany","","","",""
"5 on scale 1-7","2007","Other degree","East Germany","","","",""
"5 on scale 1-7","2007","no degree/no degree yet","West Germany","","","",""
"5 on scale 1-7","2007","no degree/no degree yet","East Germany","","","",""
"6 on scale 1-7","2007","lower secondary degree","West Germany","","","",""
"6 on scale 1-7","2007","lower secondary degree","East Germany","","","",""
"6 on scale 1-7","2007","secondary school degree","West Germany","","","",""
"6 on scale 1-7","2007","secondary school degree","East Germany","","","",""
"6 on scale 1-7","2007","college entrance qualification","West Germany","","","",""
"6 on scale 1-7","2007","college entrance qualification","East Germany","","","",""
"6 on scale 1-7","2007","Other degree","West Germany","","","",""
"6 on scale 1-7","2007","Other degree","East Germany","","","",""
"6 on scale 1-7","2007","no degree/no degree yet","West Germany","","","",""
"6 on scale 1-7","2007","no degree/no degree yet","East Germany","","","",""
"7 Strongly agree","2007","lower secondary degree","West Germany","","","",""
"7 Strongly agree","2007","lower secondary degree","East Germany","","","",""
"7 Strongly agree","2007","secondary school degree","West Germany","","","",""
"7 Strongly agree","2007","secondary school degree","East Germany","","","",""
"7 Strongly agree","2007","college entrance qualification","West Germany","","","",""
"7 Strongly agree","2007","college entrance qualification","East Germany","","","",""
"7 Strongly agree","2007","Other degree","West Germany","","","",""
"7 Strongly agree","2007","Other degree","East Germany","","","",""
"7 Strongly agree","2007","no degree/no degree yet","West Germany","","","",""
"7 Strongly agree","2007","no degree/no degree yet","East Germany","","","",""
"1 Strongly disagree","2008","lower secondary degree","West Germany","","","",""
"1 Strongly disagree","2008","lower secondary degree","East Germany","","","",""
"1 Strongly disagree","2008","secondary school degree","West Germany","","","",""
"1 Strongly disagree","2008","secondary school degree","East Germany","","","",""
"1 Strongly disagree","2008","college entrance qualification","West Germany","","","",""
"1 Strongly disagree","2008","college entrance qualification","East Germany","","","",""
"1 Strongly disagree","2008","Other degree","West Germany","","","",""
"1 Strongly disagree","2008","Other degree","East Germany","","","",""
"1 Strongly disagree","2008","no degree/no degree yet","West Germany","","","",""
"1 Strongly disagree","2008","no degree/no degree yet","East Germany","","","",""
"2 on scale 1-7 ","2008","lower secondary degree","West Germany","","","",""
"2 on scale 1-7 ","2008","lower secondary degree","East Germany","","","",""
"2 on scale 1-7 ","2008","secondary school degree","West Germany","","","",""
"2 on scale 1-7 ","2008","secondary school degree","East Germany","","","",""
"2 on scale 1-7 ","2008","college entrance qualification","West Germany","","","",""
"2 on scale 1-7 ","2008","college entrance qualification","East Germany","","","",""
"2 on scale 1-7 ","2008","Other degree","West Germany","","","",""
"2 on scale 1-7 ","2008","Other degree","East Germany","","","",""
"2 on scale 1-7 ","2008","no degree/no degree yet","West Germany","","","",""
"2 on scale 1-7 ","2008","no degree/no degree yet","East Germany","","","",""
"3 on scale 1-7 ","2008","lower secondary degree","West Germany","","","",""
"3 on scale 1-7 ","2008","lower secondary degree","East Germany","","","",""
"3 on scale 1-7 ","2008","secondary school degree","West Germany","","","",""
"3 on scale 1-7 ","2008","secondary school degree","East Germany","","","",""
"3 on scale 1-7 ","2008","college entrance qualification","West Germany","","","",""
"3 on scale 1-7 ","2008","college entrance qualification","East Germany","","","",""
"3 on scale 1-7 ","2008","Other degree","West Germany","","","",""
"3 on scale 1-7 ","2008","Other degree","East Germany","","","",""
"3 on scale 1-7 ","2008","no degree/no degree yet","West Germany","","","",""
"3 on scale 1-7 ","2008","no degree/no degree yet","East Germany","","","",""
"4 on scale 1-7","2008","lower secondary degree","West Germany","","","",""
"4 on scale 1-7","2008","lower secondary degree","East Germany","","","",""
"4 on scale 1-7","2008","secondary school degree","West Germany","","","",""
"4 on scale 1-7","2008","secondary school degree","East Germany","","","",""
"4 on scale 1-7","2008","college entrance qualification","West Germany","","","",""
"4 on scale 1-7","2008","college entrance qualification","East Germany","","","",""
"4 on scale 1-7","2008","Other degree","West Germany","","","",""
"4 on scale 1-7","2008","Other degree","East Germany","","","",""
"4 on scale 1-7","2008","no degree/no degree yet","West Germany","","","",""
"4 on scale 1-7","2008","no degree/no degree yet","East Germany","","","",""
"5 on scale 1-7","2008","lower secondary degree","West Germany","","","",""
"5 on scale 1-7","2008","lower secondary degree","East Germany","","","",""
"5 on scale 1-7","2008","secondary school degree","West Germany","","","",""
"5 on scale 1-7","2008","secondary school degree","East Germany","","","",""
"5 on scale 1-7","2008","college entrance qualification","West Germany","","","",""
"5 on scale 1-7","2008","college entrance qualification","East Germany","","","",""
"5 on scale 1-7","2008","Other degree","West Germany","","","",""
"5 on scale 1-7","2008","Other degree","East Germany","","","",""
"5 on scale 1-7","2008","no degree/no degree yet","West Germany","","","",""
"5 on scale 1-7","2008","no degree/no degree yet","East Germany","","","",""
"6 on scale 1-7","2008","lower secondary degree","West Germany","","","",""
"6 on scale 1-7","2008","lower secondary degree","East Germany","","","",""
"6 on scale 1-7","2008","secondary school degree","West Germany","","","",""
"6 on scale 1-7","2008","secondary school degree","East Germany","","","",""
"6 on scale 1-7","2008","college entrance qualification","West Germany","","","",""
"6 on scale 1-7","2008","college entrance qualification","East Germany","","","",""
"6 on scale 1-7","2008","Other degree","West Germany","","","",""
"6 on scale 1-7","2008","Other degree","East Germany","","","",""
"6 on scale 1-7","2008","no degree/no degree yet","West Germany","","","",""
"6 on scale 1-7","2008","no degree/no degree yet","East Germany","","","",""
"7 Strongly agree","2008","lower secondary degree","West Germany","","","",""
"7 Strongly agree","2008","lower secondary degree","East Germany","","","",""
"7 Strongly agree","2008","secondary school degree","West Germany","","","",""
"7 Strongly agree","2008","secondary school degree","East Germany","","","",""
"7 Strongly agree","2008","college entrance qualification","West Germany","","","",""
"7 Strongly agree","2008","college entrance qualification","East Germany","","","",""
"7 Strongly agree","2008","Other degree","West Germany","","","",""
"7 Strongly agree","2008","Other degree","East Germany","","","",""
"7 Strongly agree","2008","no degree/no degree yet","West Germany","","","",""
"7 Strongly agree","2008","no degree/no degree yet","East Germany","","","",""
"1 Strongly disagree","2009","lower secondary degree","West Germany","","","",""
"1 Strongly disagree","2009","lower secondary degree","East Germany","","","",""
"1 Strongly disagree","2009","secondary school degree","West Germany","","","",""
"1 Strongly disagree","2009","secondary school degree","East Germany","","","",""
"1 Strongly disagree","2009","college entrance qualification","West Germany","","","",""
"1 Strongly disagree","2009","college entrance qualification","East Germany","","","",""
"1 Strongly disagree","2009","Other degree","West Germany","","","",""
"1 Strongly disagree","2009","Other degree","East Germany","","","",""
"1 Strongly disagree","2009","no degree/no degree yet","West Germany","","","",""
"1 Strongly disagree","2009","no degree/no degree yet","East Germany","","","",""
"2 on scale 1-7 ","2009","lower secondary degree","West Germany","","","",""
"2 on scale 1-7 ","2009","lower secondary degree","East Germany","","","",""
"2 on scale 1-7 ","2009","secondary school degree","West Germany","","","",""
"2 on scale 1-7 ","2009","secondary school degree","East Germany","","","",""
"2 on scale 1-7 ","2009","college entrance qualification","West Germany","","","",""
"2 on scale 1-7 ","2009","college entrance qualification","East Germany","","","",""
"2 on scale 1-7 ","2009","Other degree","West Germany","","","",""
"2 on scale 1-7 ","2009","Other degree","East Germany","","","",""
"2 on scale 1-7 ","2009","no degree/no degree yet","West Germany","","","",""
"2 on scale 1-7 ","2009","no degree/no degree yet","East Germany","","","",""
"3 on scale 1-7 ","2009","lower secondary degree","West Germany","","","",""
"3 on scale 1-7 ","2009","lower secondary degree","East Germany","","","",""
"3 on scale 1-7 ","2009","secondary school degree","West Germany","","","",""
"3 on scale 1-7 ","2009","secondary school degree","East Germany","","","",""
"3 on scale 1-7 ","2009","college entrance qualification","West Germany","","","",""
"3 on scale 1-7 ","2009","college entrance qualification","East Germany","","","",""
"3 on scale 1-7 ","2009","Other degree","West Germany","","","",""
"3 on scale 1-7 ","2009","Other degree","East Germany","","","",""
"3 on scale 1-7 ","2009","no degree/no degree yet","West Germany","","","",""
"3 on scale 1-7 ","2009","no degree/no degree yet","East Germany","","","",""
"4 on scale 1-7","2009","lower secondary degree","West Germany","","","",""
"4 on scale 1-7","2009","lower secondary degree","East Germany","","","",""
"4 on scale 1-7","2009","secondary school degree","West Germany","","","",""
"4 on scale 1-7","2009","secondary school degree","East Germany","","","",""
"4 on scale 1-7","2009","college entrance qualification","West Germany","","","",""
"4 on scale 1-7","2009","college entrance qualification","East Germany","","","",""
"4 on scale 1-7","2009","Other degree","West Germany","","","",""
"4 on scale 1-7","2009","Other degree","East Germany","","","",""
"4 on scale 1-7","2009","no degree/no degree yet","West Germany","","","",""
"4 on scale 1-7","2009","no degree/no degree yet","East Germany","","","",""
"5 on scale 1-7","2009","lower secondary degree","West Germany","","","",""
"5 on scale 1-7","2009","lower secondary degree","East Germany","","","",""
"5 on scale 1-7","2009","secondary school degree","West Germany","","","",""
"5 on scale 1-7","2009","secondary school degree","East Germany","","","",""
"5 on scale 1-7","2009","college entrance qualification","West Germany","","","",""
"5 on scale 1-7","2009","college entrance qualification","East Germany","","","",""
"5 on scale 1-7","2009","Other degree","West Germany","","","",""
"5 on scale 1-7","2009","Other degree","East Germany","","","",""
"5 on scale 1-7","2009","no degree/no degree yet","West Germany","","","",""
"5 on scale 1-7","2009","no degree/no degree yet","East Germany","","","",""
"6 on scale 1-7","2009","lower secondary degree","West Germany","","","",""
"6 on scale 1-7","2009","lower secondary degree","East Germany","","","",""
"6 on scale 1-7","2009","secondary school degree","West Germany","","","",""
"6 on scale 1-7","2009","secondary school degree","East Germany","","","",""
"6 on scale 1-7","2009","college entrance qualification","West Germany","","","",""
"6 on scale 1-7","2009","college entrance qualification","East Germany","","","",""
"6 on scale 1-7","2009","Other degree","West Germany","","","",""
"6 on scale 1-7","2009","Other degree","East Germany","","","",""
"6 on scale 1-7","2009","no degree/no degree yet","West Germany","","","",""
"6 on scale 1-7","2009","no degree/no degree yet","East Germany","","","",""
"7 Strongly agree","2009","lower secondary degree","West Germany","","","",""
"7 Strongly agree","2009","lower secondary degree","East Germany","","","",""
"7 Strongly agree","2009","secondary school degree","West Germany","","","",""
"7 Strongly agree","2009","secondary school degree","East Germany","","","",""
"7 Strongly agree","2009","college entrance qualification","West Germany","","","",""
"7 Strongly agree","2009","college entrance qualification","East Germany","","","",""
"7 Strongly agree","2009","Other degree","West Germany","","","",""
"7 Strongly agree","2009","Other degree","East Germany","","","",""
"7 Strongly agree","2009","no degree/no degree yet","West Germany","","","",""
"7 Strongly agree","2009","no degree/no degree yet","East Germany","","","",""
"1 Strongly disagree","2010","lower secondary degree","West Germany","871","0.208016775332848","0.195876620038925","0.220156930626771"
"1 Strongly disagree","2010","lower secondary degree","East Germany","209","0.205992371430285","0.181657542070643","0.230327200789927"
"1 Strongly disagree","2010","secondary school degree","West Germany","658","0.214221878379041","0.199970940750887","0.228472816007194"
"1 Strongly disagree","2010","secondary school degree","East Germany","305","0.181011369262748","0.163494722654453","0.198528015871043"
"1 Strongly disagree","2010","college entrance qualification","West Germany","746","0.200146709175344","0.187145128997112","0.213148289353576"
"1 Strongly disagree","2010","college entrance qualification","East Germany","193","0.211808776723691","0.186758621783384","0.236858931663997"
"1 Strongly disagree","2010","Other degree","West Germany","138","0.189790694382041","0.160273891505559","0.219307497258524"
"1 Strongly disagree","2010","Other degree","East Germany","8","","",""
"1 Strongly disagree","2010","no degree/no degree yet","West Germany","59","0.196073023866502","0.15550896484686","0.236637082886143"
"1 Strongly disagree","2010","no degree/no degree yet","East Germany","10","","",""
"2 on scale 1-7 ","2010","lower secondary degree","West Germany","817","0.180461618731172","0.168959068351444","0.1919641691109"
"2 on scale 1-7 ","2010","lower secondary degree","East Germany","184","0.188557780515863","0.165021305089692","0.212094255942034"
"2 on scale 1-7 ","2010","secondary school degree","West Germany","753","0.211638991073754","0.197450965224357","0.225827016923151"
"2 on scale 1-7 ","2010","secondary school degree","East Germany","396","0.207332368260343","0.18888908563413","0.225775650886557"
"2 on scale 1-7 ","2010","college entrance qualification","West Germany","1009","0.258505203153372","0.24427846160049","0.272731944706255"
"2 on scale 1-7 ","2010","college entrance qualification","East Germany","281","0.256468167678766","0.229695653278428","0.283240682079104"
"2 on scale 1-7 ","2010","Other degree","West Germany","153","0.219474764310307","0.188320391378871","0.250629137241744"
"2 on scale 1-7 ","2010","Other degree","East Germany","9","","",""
"2 on scale 1-7 ","2010","no degree/no degree yet","West Germany","67","0.209359093177324","0.167791035099382","0.250927151255265"
"2 on scale 1-7 ","2010","no degree/no degree yet","East Germany","10","","",""
"3 on scale 1-7 ","2010","lower secondary degree","West Germany","738","0.173295971180588","0.161974931016659","0.184617011344516"
"3 on scale 1-7 ","2010","lower secondary degree","East Germany","163","0.153190366508147","0.131518365028258","0.174862367988035"
"3 on scale 1-7 ","2010","secondary school degree","West Germany","604","0.185311423971336","0.171815318258424","0.198807529684249"
"3 on scale 1-7 ","2010","secondary school degree","East Germany","340","0.184732265588509","0.167076741623022","0.202387789553995"
"3 on scale 1-7 ","2010","college entrance qualification","West Germany","751","0.210784381226153","0.197530783247485","0.224037979204821"
"3 on scale 1-7 ","2010","college entrance qualification","East Germany","196","0.185752679362649","0.161909269973392","0.209596088751906"
