"plh0206i05","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"7 Strongly agree","2007","no migration background","Urban Area","","","",""
"7 Strongly agree","2007","no migration background","Rural Area","","","",""
"7 Strongly agree","2007","direct migration background","Urban Area","","","",""
"7 Strongly agree","2007","direct migration background","Rural Area","","","",""
"7 Strongly agree","2007","indirect migration background","Urban Area","","","",""
"7 Strongly agree","2007","indirect migration background","Rural Area","","","",""
"1 Strongly disagree","2008","no migration background","Urban Area","","","",""
"1 Strongly disagree","2008","no migration background","Rural Area","","","",""
"1 Strongly disagree","2008","direct migration background","Urban Area","","","",""
"1 Strongly disagree","2008","direct migration background","Rural Area","","","",""
"1 Strongly disagree","2008","indirect migration background","Urban Area","","","",""
"1 Strongly disagree","2008","indirect migration background","Rural Area","","","",""
"2 on scale 1-7 ","2008","no migration background","Urban Area","","","",""
"2 on scale 1-7 ","2008","no migration background","Rural Area","","","",""
"2 on scale 1-7 ","2008","direct migration background","Urban Area","","","",""
"2 on scale 1-7 ","2008","direct migration background","Rural Area","","","",""
"2 on scale 1-7 ","2008","indirect migration background","Urban Area","","","",""
"2 on scale 1-7 ","2008","indirect migration background","Rural Area","","","",""
"3 on scale 1-7 ","2008","no migration background","Urban Area","","","",""
"3 on scale 1-7 ","2008","no migration background","Rural Area","","","",""
"3 on scale 1-7 ","2008","direct migration background","Urban Area","","","",""
"3 on scale 1-7 ","2008","direct migration background","Rural Area","","","",""
"3 on scale 1-7 ","2008","indirect migration background","Urban Area","","","",""
"3 on scale 1-7 ","2008","indirect migration background","Rural Area","","","",""
"4 on scale 1-7","2008","no migration background","Urban Area","","","",""
"4 on scale 1-7","2008","no migration background","Rural Area","","","",""
"4 on scale 1-7","2008","direct migration background","Urban Area","","","",""
"4 on scale 1-7","2008","direct migration background","Rural Area","","","",""
"4 on scale 1-7","2008","indirect migration background","Urban Area","","","",""
"4 on scale 1-7","2008","indirect migration background","Rural Area","","","",""
"5 on scale 1-7","2008","no migration background","Urban Area","","","",""
"5 on scale 1-7","2008","no migration background","Rural Area","","","",""
"5 on scale 1-7","2008","direct migration background","Urban Area","","","",""
"5 on scale 1-7","2008","direct migration background","Rural Area","","","",""
"5 on scale 1-7","2008","indirect migration background","Urban Area","","","",""
"5 on scale 1-7","2008","indirect migration background","Rural Area","","","",""
"6 on scale 1-7","2008","no migration background","Urban Area","","","",""
"6 on scale 1-7","2008","no migration background","Rural Area","","","",""
"6 on scale 1-7","2008","direct migration background","Urban Area","","","",""
"6 on scale 1-7","2008","direct migration background","Rural Area","","","",""
"6 on scale 1-7","2008","indirect migration background","Urban Area","","","",""
"6 on scale 1-7","2008","indirect migration background","Rural Area","","","",""
"7 Strongly agree","2008","no migration background","Urban Area","","","",""
"7 Strongly agree","2008","no migration background","Rural Area","","","",""
"7 Strongly agree","2008","direct migration background","Urban Area","","","",""
"7 Strongly agree","2008","direct migration background","Rural Area","","","",""
"7 Strongly agree","2008","indirect migration background","Urban Area","","","",""
"7 Strongly agree","2008","indirect migration background","Rural Area","","","",""
"1 Strongly disagree","2009","no migration background","Urban Area","","","",""
"1 Strongly disagree","2009","no migration background","Rural Area","","","",""
"1 Strongly disagree","2009","direct migration background","Urban Area","","","",""
"1 Strongly disagree","2009","direct migration background","Rural Area","","","",""
"1 Strongly disagree","2009","indirect migration background","Urban Area","","","",""
"1 Strongly disagree","2009","indirect migration background","Rural Area","","","",""
"2 on scale 1-7 ","2009","no migration background","Urban Area","","","",""
"2 on scale 1-7 ","2009","no migration background","Rural Area","","","",""
"2 on scale 1-7 ","2009","direct migration background","Urban Area","","","",""
"2 on scale 1-7 ","2009","direct migration background","Rural Area","","","",""
"2 on scale 1-7 ","2009","indirect migration background","Urban Area","","","",""
"2 on scale 1-7 ","2009","indirect migration background","Rural Area","","","",""
"3 on scale 1-7 ","2009","no migration background","Urban Area","","","",""
"3 on scale 1-7 ","2009","no migration background","Rural Area","","","",""
"3 on scale 1-7 ","2009","direct migration background","Urban Area","","","",""
"3 on scale 1-7 ","2009","direct migration background","Rural Area","","","",""
"3 on scale 1-7 ","2009","indirect migration background","Urban Area","","","",""
"3 on scale 1-7 ","2009","indirect migration background","Rural Area","","","",""
"4 on scale 1-7","2009","no migration background","Urban Area","","","",""
"4 on scale 1-7","2009","no migration background","Rural Area","","","",""
"4 on scale 1-7","2009","direct migration background","Urban Area","","","",""
"4 on scale 1-7","2009","direct migration background","Rural Area","","","",""
"4 on scale 1-7","2009","indirect migration background","Urban Area","","","",""
"4 on scale 1-7","2009","indirect migration background","Rural Area","","","",""
"5 on scale 1-7","2009","no migration background","Urban Area","","","",""
"5 on scale 1-7","2009","no migration background","Rural Area","","","",""
"5 on scale 1-7","2009","direct migration background","Urban Area","","","",""
"5 on scale 1-7","2009","direct migration background","Rural Area","","","",""
"5 on scale 1-7","2009","indirect migration background","Urban Area","","","",""
"5 on scale 1-7","2009","indirect migration background","Rural Area","","","",""
"6 on scale 1-7","2009","no migration background","Urban Area","","","",""
"6 on scale 1-7","2009","no migration background","Rural Area","","","",""
"6 on scale 1-7","2009","direct migration background","Urban Area","","","",""
"6 on scale 1-7","2009","direct migration background","Rural Area","","","",""
"6 on scale 1-7","2009","indirect migration background","Urban Area","","","",""
"6 on scale 1-7","2009","indirect migration background","Rural Area","","","",""
"7 Strongly agree","2009","no migration background","Urban Area","","","",""
"7 Strongly agree","2009","no migration background","Rural Area","","","",""
"7 Strongly agree","2009","direct migration background","Urban Area","","","",""
"7 Strongly agree","2009","direct migration background","Rural Area","","","",""
"7 Strongly agree","2009","indirect migration background","Urban Area","","","",""
"7 Strongly agree","2009","indirect migration background","Rural Area","","","",""
"1 Strongly disagree","2010","no migration background","Urban Area","1929","0.215051207261711","0.206690186026751","0.223412228496671"
"1 Strongly disagree","2010","no migration background","Rural Area","945","0.182161689489939","0.171736837162282","0.192586541817597"
"1 Strongly disagree","2010","direct migration background","Urban Area","234","0.213573795539562","0.190210057738409","0.236937533340715"
"1 Strongly disagree","2010","direct migration background","Rural Area","59","0.1807796734616","0.135378329542551","0.226181017380648"
"1 Strongly disagree","2010","indirect migration background","Urban Area","79","0.147775066787521","0.11819744675243","0.177352686822612"
"1 Strongly disagree","2010","indirect migration background","Rural Area","17","","",""
"2 on scale 1-7 ","2010","no migration background","Urban Area","2203","0.223559465183014","0.215080978310667","0.232037952055362"
"2 on scale 1-7 ","2010","no migration background","Rural Area","1116","0.198316872400817","0.187547537872189","0.209086206929445"
"2 on scale 1-7 ","2010","direct migration background","Urban Area","239","0.177103337082306","0.155340005669352","0.198866668495259"
"2 on scale 1-7 ","2010","direct migration background","Rural Area","68","0.249481193908286","0.198431487781458","0.300530900035114"
"2 on scale 1-7 ","2010","indirect migration background","Urban Area","125","0.197836814256401","0.164634340375262","0.23103928813754"
"2 on scale 1-7 ","2010","indirect migration background","Rural Area","20","","",""
"3 on scale 1-7 ","2010","no migration background","Urban Area","1780","0.191399584647104","0.183393776164441","0.199405393129767"
"3 on scale 1-7 ","2010","no migration background","Rural Area","910","0.174024184620471","0.163784274773457","0.184264094467484"
"3 on scale 1-7 ","2010","direct migration background","Urban Area","225","0.179636916199056","0.157752236097218","0.201521596300894"
"3 on scale 1-7 ","2010","direct migration background","Rural Area","56","0.20607718597021","0.15835749213453","0.25379687980589"
"3 on scale 1-7 ","2010","indirect migration background","Urban Area","107","0.214809421028601","0.18057998625779","0.249038855799411"
"3 on scale 1-7 ","2010","indirect migration background","Rural Area","17","","",""
"4 on scale 1-7","2010","no migration background","Urban Area","1661","0.176837600969238","0.169073381725022","0.184601820213454"
"4 on scale 1-7","2010","no migration background","Rural Area","1024","0.180079886765305","0.169701591122206","0.190458182408403"
"4 on scale 1-7","2010","direct migration background","Urban Area","199","0.151910542460647","0.131448256844377","0.172372828076917"
"4 on scale 1-7","2010","direct migration background","Rural Area","38","0.13689986572211","0.0963466168255732","0.177453114618647"
"4 on scale 1-7","2010","indirect migration background","Urban Area","85","0.163540950550386","0.132714670026946","0.194367231073826"
"4 on scale 1-7","2010","indirect migration background","Rural Area","27","","",""
"5 on scale 1-7","2010","no migration background","Urban Area","865","0.0968701257854212","0.0908509398783733","0.102889311692469"
"5 on scale 1-7","2010","no migration background","Rural Area","646","0.125670190250806","0.116717337477193","0.134623043024418"
"5 on scale 1-7","2010","direct migration background","Urban Area","132","0.132572188116743","0.113239945525873","0.151904430707613"
"5 on scale 1-7","2010","direct migration background","Rural Area","26","","",""
"5 on scale 1-7","2010","indirect migration background","Urban Area","65","0.12906496253881","0.101121347708729","0.157008577368891"
"5 on scale 1-7","2010","indirect migration background","Rural Area","8","","",""
"6 on scale 1-7","2010","no migration background","Urban Area","478","0.0537880828485639","0.04919710750475","0.0583790581923778"
"6 on scale 1-7","2010","no migration background","Rural Area","369","0.0770738369728096","0.069870319193569","0.0842773547520501"
"6 on scale 1-7","2010","direct migration background","Urban Area","77","0.0772551663177287","0.0620341402469866","0.0924761923884709"
"6 on scale 1-7","2010","direct migration background","Rural Area","16","","",""
"6 on scale 1-7","2010","indirect migration background","Urban Area","43","0.0813120478842699","0.0585324011163569","0.104091694652183"
"6 on scale 1-7","2010","indirect migration background","Rural Area","10","","",""
"7 Strongly agree","2010","no migration background","Urban Area","360","0.0424939333049481","0.038389039236231","0.0465988273736653"
"7 Strongly agree","2010","no migration background","Rural Area","256","0.0626733394998535","0.0561270596568882","0.0692196193428188"
"7 Strongly agree","2010","direct migration background","Urban Area","76","0.0679480542839571","0.0536014894934596","0.0822946190744546"
"7 Strongly agree","2010","direct migration background","Rural Area","13","","",""
"7 Strongly agree","2010","indirect migration background","Urban Area","49","0.0656607369540113","0.0450168866397814","0.0863045872682413"
"7 Strongly agree","2010","indirect migration background","Rural Area","2","","",""
"1 Strongly disagree","2011","no migration background","Urban Area","","","",""
"1 Strongly disagree","2011","no migration background","Rural Area","","","",""
"1 Strongly disagree","2011","direct migration background","Urban Area","","","",""
"1 Strongly disagree","2011","direct migration background","Rural Area","","","",""
"1 Strongly disagree","2011","indirect migration background","Urban Area","","","",""
"1 Strongly disagree","2011","indirect migration background","Rural Area","","","",""
"2 on scale 1-7 ","2011","no migration background","Urban Area","","","",""
"2 on scale 1-7 ","2011","no migration background","Rural Area","","","",""
"2 on scale 1-7 ","2011","direct migration background","Urban Area","","","",""
"2 on scale 1-7 ","2011","direct migration background","Rural Area","","","",""
"2 on scale 1-7 ","2011","indirect migration background","Urban Area","","","",""
"2 on scale 1-7 ","2011","indirect migration background","Rural Area","","","",""
"3 on scale 1-7 ","2011","no migration background","Urban Area","","","",""
"3 on scale 1-7 ","2011","no migration background","Rural Area","","","",""
"3 on scale 1-7 ","2011","direct migration background","Urban Area","","","",""
"3 on scale 1-7 ","2011","direct migration background","Rural Area","","","",""
"3 on scale 1-7 ","2011","indirect migration background","Urban Area","","","",""
"3 on scale 1-7 ","2011","indirect migration background","Rural Area","","","",""
"4 on scale 1-7","2011","no migration background","Urban Area","","","",""
"4 on scale 1-7","2011","no migration background","Rural Area","","","",""
"4 on scale 1-7","2011","direct migration background","Urban Area","","","",""
"4 on scale 1-7","2011","direct migration background","Rural Area","","","",""
"4 on scale 1-7","2011","indirect migration background","Urban Area","","","",""
"4 on scale 1-7","2011","indirect migration background","Rural Area","","","",""
"5 on scale 1-7","2011","no migration background","Urban Area","","","",""
"5 on scale 1-7","2011","no migration background","Rural Area","","","",""
"5 on scale 1-7","2011","direct migration background","Urban Area","","","",""
"5 on scale 1-7","2011","direct migration background","Rural Area","","","",""
"5 on scale 1-7","2011","indirect migration background","Urban Area","","","",""
"5 on scale 1-7","2011","indirect migration background","Rural Area","","","",""
"6 on scale 1-7","2011","no migration background","Urban Area","","","",""
"6 on scale 1-7","2011","no migration background","Rural Area","","","",""
"6 on scale 1-7","2011","direct migration background","Urban Area","","","",""
"6 on scale 1-7","2011","direct migration background","Rural Area","","","",""
"6 on scale 1-7","2011","indirect migration background","Urban Area","","","",""
"6 on scale 1-7","2011","indirect migration background","Rural Area","","","",""
"7 Strongly agree","2011","no migration background","Urban Area","","","",""
"7 Strongly agree","2011","no migration background","Rural Area","","","",""
"7 Strongly agree","2011","direct migration background","Urban Area","","","",""
"7 Strongly agree","2011","direct migration background","Rural Area","","","",""
"7 Strongly agree","2011","indirect migration background","Urban Area","","","",""
"7 Strongly agree","2011","indirect migration background","Rural Area","","","",""
"1 Strongly disagree","2012","no migration background","Urban Area","","","",""
"1 Strongly disagree","2012","no migration background","Rural Area","","","",""
"1 Strongly disagree","2012","direct migration background","Urban Area","","","",""
"1 Strongly disagree","2012","direct migration background","Rural Area","","","",""
"1 Strongly disagree","2012","indirect migration background","Urban Area","","","",""
"1 Strongly disagree","2012","indirect migration background","Rural Area","","","",""
"2 on scale 1-7 ","2012","no migration background","Urban Area","","","",""
"2 on scale 1-7 ","2012","no migration background","Rural Area","","","",""
"2 on scale 1-7 ","2012","direct migration background","Urban Area","","","",""
"2 on scale 1-7 ","2012","direct migration background","Rural Area","","","",""
"2 on scale 1-7 ","2012","indirect migration background","Urban Area","","","",""
"2 on scale 1-7 ","2012","indirect migration background","Rural Area","","","",""
"3 on scale 1-7 ","2012","no migration background","Urban Area","","","",""
"3 on scale 1-7 ","2012","no migration background","Rural Area","","","",""
"3 on scale 1-7 ","2012","direct migration background","Urban Area","","","",""
"3 on scale 1-7 ","2012","direct migration background","Rural Area","","","",""
"3 on scale 1-7 ","2012","indirect migration background","Urban Area","","","",""
"3 on scale 1-7 ","2012","indirect migration background","Rural Area","","","",""
"4 on scale 1-7","2012","no migration background","Urban Area","","","",""
"4 on scale 1-7","2012","no migration background","Rural Area","","","",""
"4 on scale 1-7","2012","direct migration background","Urban Area","","","",""
"4 on scale 1-7","2012","direct migration background","Rural Area","","","",""
"4 on scale 1-7","2012","indirect migration background","Urban Area","","","",""
"4 on scale 1-7","2012","indirect migration background","Rural Area","","","",""
"5 on scale 1-7","2012","no migration background","Urban Area","","","",""
"5 on scale 1-7","2012","no migration background","Rural Area","","","",""
"5 on scale 1-7","2012","direct migration background","Urban Area","","","",""
"5 on scale 1-7","2012","direct migration background","Rural Area","","","",""
"5 on scale 1-7","2012","indirect migration background","Urban Area","","","",""
"5 on scale 1-7","2012","indirect migration background","Rural Area","","","",""
"6 on scale 1-7","2012","no migration background","Urban Area","","","",""
"6 on scale 1-7","2012","no migration background","Rural Area","","","",""
"6 on scale 1-7","2012","direct migration background","Urban Area","","","",""
"6 on scale 1-7","2012","direct migration background","Rural Area","","","",""
"6 on scale 1-7","2012","indirect migration background","Urban Area","","","",""
"6 on scale 1-7","2012","indirect migration background","Rural Area","","","",""
"7 Strongly agree","2012","no migration background","Urban Area","","","",""
"7 Strongly agree","2012","no migration background","Rural Area","","","",""
"7 Strongly agree","2012","direct migration background","Urban Area","","","",""
"7 Strongly agree","2012","direct migration background","Rural Area","","","",""
"7 Strongly agree","2012","indirect migration background","Urban Area","","","",""
"7 Strongly agree","2012","indirect migration background","Rural Area","","","",""
"1 Strongly disagree","2013","no migration background","Urban Area","","","",""
"1 Strongly disagree","2013","no migration background","Rural Area","","","",""
"1 Strongly disagree","2013","direct migration background","Urban Area","","","",""
"1 Strongly disagree","2013","direct migration background","Rural Area","","","",""
"1 Strongly disagree","2013","indirect migration background","Urban Area","","","",""
"1 Strongly disagree","2013","indirect migration background","Rural Area","","","",""
"2 on scale 1-7 ","2013","no migration background","Urban Area","","","",""
"2 on scale 1-7 ","2013","no migration background","Rural Area","","","",""
"2 on scale 1-7 ","2013","direct migration background","Urban Area","","","",""
"2 on scale 1-7 ","2013","direct migration background","Rural Area","","","",""
"2 on scale 1-7 ","2013","indirect migration background","Urban Area","","","",""
"2 on scale 1-7 ","2013","indirect migration background","Rural Area","","","",""
"3 on scale 1-7 ","2013","no migration background","Urban Area","","","",""
"3 on scale 1-7 ","2013","no migration background","Rural Area","","","",""
"3 on scale 1-7 ","2013","direct migration background","Urban Area","","","",""
"3 on scale 1-7 ","2013","direct migration background","Rural Area","","","",""
"3 on scale 1-7 ","2013","indirect migration background","Urban Area","","","",""
"3 on scale 1-7 ","2013","indirect migration background","Rural Area","","","",""
"4 on scale 1-7","2013","no migration background","Urban Area","","","",""
"4 on scale 1-7","2013","no migration background","Rural Area","","","",""
"4 on scale 1-7","2013","direct migration background","Urban Area","","","",""
"4 on scale 1-7","2013","direct migration background","Rural Area","","","",""
"4 on scale 1-7","2013","indirect migration background","Urban Area","","","",""
"4 on scale 1-7","2013","indirect migration background","Rural Area","","","",""
"5 on scale 1-7","2013","no migration background","Urban Area","","","",""
"5 on scale 1-7","2013","no migration background","Rural Area","","","",""
"5 on scale 1-7","2013","direct migration background","Urban Area","","","",""
"5 on scale 1-7","2013","direct migration background","Rural Area","","","",""
"5 on scale 1-7","2013","indirect migration background","Urban Area","","","",""
"5 on scale 1-7","2013","indirect migration background","Rural Area","","","",""
"6 on scale 1-7","2013","no migration background","Urban Area","","","",""
"6 on scale 1-7","2013","no migration background","Rural Area","","","",""
"6 on scale 1-7","2013","direct migration background","Urban Area","","","",""
"6 on scale 1-7","2013","direct migration background","Rural Area","","","",""
"6 on scale 1-7","2013","indirect migration background","Urban Area","","","",""
"6 on scale 1-7","2013","indirect migration background","Rural Area","","","",""
"7 Strongly agree","2013","no migration background","Urban Area","","","",""
"7 Strongly agree","2013","no migration background","Rural Area","","","",""
"7 Strongly agree","2013","direct migration background","Urban Area","","","",""
"7 Strongly agree","2013","direct migration background","Rural Area","","","",""
"7 Strongly agree","2013","indirect migration background","Urban Area","","","",""
"7 Strongly agree","2013","indirect migration background","Rural Area","","","",""
"1 Strongly disagree","2014","no migration background","Urban Area","","","",""
"1 Strongly disagree","2014","no migration background","Rural Area","","","",""
"1 Strongly disagree","2014","direct migration background","Urban Area","","","",""
"1 Strongly disagree","2014","direct migration background","Rural Area","","","",""
"1 Strongly disagree","2014","indirect migration background","Urban Area","","","",""
"1 Strongly disagree","2014","indirect migration background","Rural Area","","","",""
"2 on scale 1-7 ","2014","no migration background","Urban Area","","","",""
"2 on scale 1-7 ","2014","no migration background","Rural Area","","","",""
"2 on scale 1-7 ","2014","direct migration background","Urban Area","","","",""
"2 on scale 1-7 ","2014","direct migration background","Rural Area","","","",""
"2 on scale 1-7 ","2014","indirect migration background","Urban Area","","","",""
"2 on scale 1-7 ","2014","indirect migration background","Rural Area","","","",""
"3 on scale 1-7 ","2014","no migration background","Urban Area","","","",""
"3 on scale 1-7 ","2014","no migration background","Rural Area","","","",""
"3 on scale 1-7 ","2014","direct migration background","Urban Area","","","",""
"3 on scale 1-7 ","2014","direct migration background","Rural Area","","","",""
