"plh0206i05","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"3 on scale 1-7 ","2007","Employed","","","","","3"
"4 on scale 1-7","2007","Employed","","","","","4"
"4 on scale 1-7","2007","Not Employed","","","","","4"
"5 on scale 1-7","2007","Employed","","","","","5"
"5 on scale 1-7","2007","Not Employed","","","","","5"
"6 on scale 1-7","2007","Employed","","","","","6"
"6 on scale 1-7","2007","Not Employed","","","","","6"
"7 Strongly agree","2007","Not Employed","","","","","7"
"7 Strongly agree","2007","Employed","","","","","7"
"1 Strongly disagree","2008","Not Employed","","","","","1"
"1 Strongly disagree","2008","Employed","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","","","","","2"
"2 on scale 1-7 ","2008","Employed","","","","","2"
"3 on scale 1-7 ","2008","Employed","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","","","","","3"
"4 on scale 1-7","2008","Not Employed","","","","","4"
"4 on scale 1-7","2008","Employed","","","","","4"
"5 on scale 1-7","2008","Employed","","","","","5"
"5 on scale 1-7","2008","Not Employed","","","","","5"
"6 on scale 1-7","2008","Employed","","","","","6"
"6 on scale 1-7","2008","Not Employed","","","","","6"
"7 Strongly agree","2008","Not Employed","","","","","7"
"7 Strongly agree","2008","Employed","","","","","7"
"1 Strongly disagree","2009","Not Employed","","","","","1"
"1 Strongly disagree","2009","Employed","","","","","1"
"2 on scale 1-7 ","2009","Employed","","","","","2"
"2 on scale 1-7 ","2009","Not Employed","","","","","2"
"3 on scale 1-7 ","2009","Not Employed","","","","","3"
"3 on scale 1-7 ","2009","Employed","","","","","3"
"4 on scale 1-7","2009","Employed","","","","","4"
"4 on scale 1-7","2009","Not Employed","","","","","4"
"5 on scale 1-7","2009","Employed","","","","","5"
"5 on scale 1-7","2009","Not Employed","","","","","5"
"6 on scale 1-7","2009","Employed","","","","","6"
"6 on scale 1-7","2009","Not Employed","","","","","6"
"7 Strongly agree","2009","Not Employed","","","","","7"
"7 Strongly agree","2009","Employed","","","","","7"
"1 Strongly disagree","2010","Not Employed","1449","0.245390348572003","0.234783743058744","0.255996954085261","1"
"1 Strongly disagree","2010","Employed","1814","0.174334644352699","0.167018693295419","0.181650595409978","1"
"2 on scale 1-7 ","2010","Not Employed","1349","0.200115871022784","0.190254420348916","0.209977321696652","2"
"2 on scale 1-7 ","2010","Employed","2422","0.218963543432876","0.210989135111281","0.22693795175447","2"
"3 on scale 1-7 ","2010","Employed","2007","0.196468636705375","0.188806940241126","0.204130333169623","3"
"3 on scale 1-7 ","2010","Not Employed","1088","0.170951969382769","0.161672708172467","0.180231230593071","3"
"4 on scale 1-7","2010","Employed","1910","0.177389492320297","0.170023386017857","0.184755598622736","4"
"4 on scale 1-7","2010","Not Employed","1124","0.170086733191909","0.160826155627682","0.179347310756135","4"
"5 on scale 1-7","2010","Employed","1113","0.116625470368184","0.11043610599189","0.122814834744479","5"
"5 on scale 1-7","2010","Not Employed","629","0.0990967944932583","0.0917320892560663","0.10646149973045","5"
"6 on scale 1-7","2010","Not Employed","361","0.0560930503068083","0.0504214499571276","0.0617646506564891","6"
"6 on scale 1-7","2010","Employed","632","0.0695976683152128","0.0646907407138197","0.0745045959166059","6"
"7 Strongly agree","2010","Not Employed","323","0.0582652330304687","0.0524915153264047","0.0640389507345328","7"
"7 Strongly agree","2010","Employed","433","0.0466205445053573","0.042555189505836","0.0506858995048786","7"
"1 Strongly disagree","2011","Not Employed","","","","","1"
"1 Strongly disagree","2011","Employed","","","","","1"
"2 on scale 1-7 ","2011","Employed","","","","","2"
"2 on scale 1-7 ","2011","Not Employed","","","","","2"
"3 on scale 1-7 ","2011","Not Employed","","","","","3"
"3 on scale 1-7 ","2011","Employed","","","","","3"
"4 on scale 1-7","2011","Employed","","","","","4"
"4 on scale 1-7","2011","Not Employed","","","","","4"
"5 on scale 1-7","2011","Employed","","","","","5"
"5 on scale 1-7","2011","Not Employed","","","","","5"
"6 on scale 1-7","2011","Employed","","","","","6"
"6 on scale 1-7","2011","Not Employed","","","","","6"
"7 Strongly agree","2011","Not Employed","","","","","7"
"7 Strongly agree","2011","Employed","","","","","7"
"1 Strongly disagree","2012","Not Employed","","","","","1"
"1 Strongly disagree","2012","Employed","","","","","1"
"2 on scale 1-7 ","2012","Not Employed","","","","","2"
"2 on scale 1-7 ","2012","Employed","","","","","2"
"3 on scale 1-7 ","2012","Employed","","","","","3"
"3 on scale 1-7 ","2012","Not Employed","","","","","3"
"4 on scale 1-7","2012","Employed","","","","","4"
"4 on scale 1-7","2012","Not Employed","","","","","4"
"5 on scale 1-7","2012","Employed","","","","","5"
"5 on scale 1-7","2012","Not Employed","","","","","5"
"6 on scale 1-7","2012","Not Employed","","","","","6"
"6 on scale 1-7","2012","Employed","","","","","6"
"7 Strongly agree","2012","Not Employed","","","","","7"
"7 Strongly agree","2012","Employed","","","","","7"
"1 Strongly disagree","2013","Not Employed","","","","","1"
"1 Strongly disagree","2013","Employed","","","","","1"
"2 on scale 1-7 ","2013","Employed","","","","","2"
"2 on scale 1-7 ","2013","Not Employed","","","","","2"
"3 on scale 1-7 ","2013","Employed","","","","","3"
"3 on scale 1-7 ","2013","Not Employed","","","","","3"
"4 on scale 1-7","2013","Employed","","","","","4"
"4 on scale 1-7","2013","Not Employed","","","","","4"
"5 on scale 1-7","2013","Not Employed","","","","","5"
"5 on scale 1-7","2013","Employed","","","","","5"
"6 on scale 1-7","2013","Employed","","","","","6"
"6 on scale 1-7","2013","Not Employed","","","","","6"
"7 Strongly agree","2013","Not Employed","","","","","7"
"7 Strongly agree","2013","Employed","","","","","7"
"1 Strongly disagree","2014","Not Employed","","","","","1"
"1 Strongly disagree","2014","Employed","","","","","1"
"2 on scale 1-7 ","2014","Not Employed","","","","","2"
"2 on scale 1-7 ","2014","Employed","","","","","2"
"3 on scale 1-7 ","2014","Employed","","","","","3"
"3 on scale 1-7 ","2014","Not Employed","","","","","3"
"4 on scale 1-7","2014","Employed","","","","","4"
"4 on scale 1-7","2014","Not Employed","","","","","4"
"5 on scale 1-7","2014","Employed","","","","","5"
"5 on scale 1-7","2014","Not Employed","","","","","5"
"6 on scale 1-7","2014","Not Employed","","","","","6"
"6 on scale 1-7","2014","Employed","","","","","6"
"7 Strongly agree","2014","Not Employed","","","","","7"
"7 Strongly agree","2014","Employed","","","","","7"
"1 Strongly disagree","2015","Not Employed","2920","0.277130802347287","0.268407080299683","0.285854524394891","1"
"1 Strongly disagree","2015","Employed","4101","0.233786784888145","0.22734953493868","0.24022403483761","1"
"2 on scale 1-7 ","2015","Employed","4375","0.254371329257098","0.247747472174233","0.260995186339962","2"
"2 on scale 1-7 ","2015","Not Employed","2429","0.232543110604629","0.224309159308163","0.240777061901095","2"
"3 on scale 1-7 ","2015","Employed","2768","0.175548342215539","0.169762100948588","0.18133458348249","3"
"3 on scale 1-7 ","2015","Not Employed","1483","0.150153457911098","0.143190921402695","0.1571159944195","3"
"4 on scale 1-7","2015","Employed","2577","0.161611224316826","0.156012693642014","0.167209754991639","4"
"4 on scale 1-7","2015","Not Employed","1423","0.146443312467566","0.139552339961704","0.153334284973428","4"
"5 on scale 1-7","2015","Not Employed","792","0.0824638099546527","0.0771024759999916","0.0878251439093137","5"
"5 on scale 1-7","2015","Employed","1390","0.0888555218202525","0.084527879004566","0.0931831646359391","5"
"6 on scale 1-7","2015","Employed","798","0.0513725182938062","0.048014919092002","0.0547301174956105","6"
"6 on scale 1-7","2015","Not Employed","561","0.0600659825395351","0.0554347931975058","0.0646971718815644","6"
"7 Strongly agree","2015","Not Employed","504","0.0511995241752326","0.0469036656548475","0.0554953826956177","7"
"7 Strongly agree","2015","Employed","597","0.0344542792083336","0.0316801698313348","0.0372283885853323","7"
"1 Strongly disagree","2016","Not Employed","2958","0.532962829031424","0.518083591640069","0.547842066422779","1"
"1 Strongly disagree","2016","Employed","","","","","1"
"2 on scale 1-7 ","2016","Employed","","","","","2"
"2 on scale 1-7 ","2016","Not Employed","447","0.175591717231994","0.164244753276835","0.186938681187153","2"
"3 on scale 1-7 ","2016","Employed","","","","","3"
"3 on scale 1-7 ","2016","Not Employed","258","0.0783911478677318","0.0703750442993924","0.0864072514360711","3"
"4 on scale 1-7","2016","Not Employed","234","0.0740034202570485","0.0661963681790165","0.0818104723350804","4"
"4 on scale 1-7","2016","Employed","","","","","4"
"5 on scale 1-7","2016","Employed","","","","","5"
"5 on scale 1-7","2016","Not Employed","132","0.049216608564219","0.0427652211250776","0.0556679960033605","5"
"6 on scale 1-7","2016","Not Employed","78","0.0351122169136472","0.0296228277809876","0.0406016060463068","6"
"6 on scale 1-7","2016","Employed","","","","","6"
"7 Strongly agree","2016","Not Employed","212","0.0547220601339354","0.0479391280295542","0.0615049922383165","7"
"7 Strongly agree","2016","Employed","","","","","7"
"1 Strongly disagree","2017","Not Employed","2017","0.689101939347173","0.672117627793751","0.706086250900596","1"
"1 Strongly disagree","2017","Employed","","","","","1"
"2 on scale 1-7 ","2017","Employed","","","","","2"
"2 on scale 1-7 ","2017","Not Employed","269","0.0928874125288203","0.0822360238056606","0.10353880125198","2"
"3 on scale 1-7 ","2017","Employed","","","","","3"
"3 on scale 1-7 ","2017","Not Employed","142","0.0538460548302286","0.0455636767421677","0.0621284329182895","3"
"4 on scale 1-7","2017","Employed","","","","","4"
"4 on scale 1-7","2017","Not Employed","175","0.0659931037817642","0.0568830377701663","0.0751031697933622","4"
"5 on scale 1-7","2017","Not Employed","64","0.0275102728465625","0.0215083948194666","0.0335121508736585","5"
"5 on scale 1-7","2017","Employed","","","","","5"
"6 on scale 1-7","2017","Employed","","","","","6"
"6 on scale 1-7","2017","Not Employed","29","","","","6"
"7 Strongly agree","2017","Not Employed","157","0.0596753916577455","0.0509831109071104","0.0683676724083806","7"
"7 Strongly agree","2017","Employed","","","","","7"
"1 Strongly disagree","2018","Employed","","","","","1"
"1 Strongly disagree","2018","Not Employed","249","0.642303466752584","0.596353262237115","0.688253671268054","1"
"2 on scale 1-7 ","2018","Employed","","","","","2"
"2 on scale 1-7 ","2018","Not Employed","38","0.0756992428497412","0.0503413961284834","0.101057089570999","2"
"3 on scale 1-7 ","2018","Employed","","","","","3"
"3 on scale 1-7 ","2018","Not Employed","28","","","","3"
"4 on scale 1-7","2018","Not Employed","38","0.0544137346505455","0.0326684651197103","0.0761590041813806","4"
"4 on scale 1-7","2018","Employed","","","","","4"
"5 on scale 1-7","2018","Employed","","","","","5"
"5 on scale 1-7","2018","Not Employed","19","","","","5"
"6 on scale 1-7","2018","Not Employed","4","","","","6"
"6 on scale 1-7","2018","Employed","","","","","6"
"7 Strongly agree","2018","Not Employed","42","0.113617710959304","0.0831953088255861","0.144040113093021","7"
"7 Strongly agree","2018","Employed","","","","","7"
"1 Strongly disagree","2019","Employed","","","","","1"
"1 Strongly disagree","2019","Not Employed","137","0.52085745712277","0.461813758611184","0.579901155634356","1"
"2 on scale 1-7 ","2019","Employed","","","","","2"
"2 on scale 1-7 ","2019","Not Employed","40","0.119213225676199","0.0809149380779771","0.157511513274421","2"
"3 on scale 1-7 ","2019","Not Employed","29","","","","3"
"3 on scale 1-7 ","2019","Employed","","","","","3"
"4 on scale 1-7","2019","Employed","","","","","4"
"4 on scale 1-7","2019","Not Employed","29","","","","4"
"5 on scale 1-7","2019","Not Employed","12","","","","5"
"5 on scale 1-7","2019","Employed","","","","","5"
"6 on scale 1-7","2019","Employed","","","","","6"
"6 on scale 1-7","2019","Not Employed","8","","","","6"
"7 Strongly agree","2019","Not Employed","20","","","","7"
"7 Strongly agree","2019","Employed","","","","","7"
