"pld0045","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Never","2008","direct migration background","Male","537","0.622290031992018","0.590239938639803","0.654340125344234"
"Never","2008","direct migration background","Female","638","0.629066844264439","0.599364039400299","0.658769649128578"
"Never","2008","indirect migration background","Male","230","0.611637104207449","0.562110061337546","0.661164147077352"
"Never","2008","indirect migration background","Female","238","0.589417705788107","0.541087543621287","0.637747867954927"
"Very often","2009","no migration background","Male","","","",""
"Very often","2009","no migration background","Female","","","",""
"Very often","2009","direct migration background","Male","","","",""
"Very often","2009","direct migration background","Female","","","",""
"Very often","2009","indirect migration background","Male","","","",""
"Very often","2009","indirect migration background","Female","","","",""
"Often","2009","no migration background","Male","","","",""
"Often","2009","no migration background","Female","","","",""
"Often","2009","direct migration background","Male","","","",""
"Often","2009","direct migration background","Female","","","",""
"Often","2009","indirect migration background","Male","","","",""
"Often","2009","indirect migration background","Female","","","",""
"Sometimes","2009","no migration background","Male","","","",""
"Sometimes","2009","no migration background","Female","","","",""
"Sometimes","2009","direct migration background","Male","","","",""
"Sometimes","2009","direct migration background","Female","","","",""
"Sometimes","2009","indirect migration background","Male","","","",""
"Sometimes","2009","indirect migration background","Female","","","",""
"Rarely","2009","no migration background","Male","","","",""
"Rarely","2009","no migration background","Female","","","",""
"Rarely","2009","direct migration background","Male","","","",""
"Rarely","2009","direct migration background","Female","","","",""
"Rarely","2009","indirect migration background","Male","","","",""
"Rarely","2009","indirect migration background","Female","","","",""
"Never","2009","no migration background","Male","","","",""
"Never","2009","no migration background","Female","","","",""
"Never","2009","direct migration background","Male","","","",""
"Never","2009","direct migration background","Female","","","",""
"Never","2009","indirect migration background","Male","","","",""
"Never","2009","indirect migration background","Female","","","",""
"Very often","2010","no migration background","Male","","","",""
"Very often","2010","no migration background","Female","","","",""
"Very often","2010","direct migration background","Male","","","",""
"Very often","2010","direct migration background","Female","","","",""
"Very often","2010","indirect migration background","Male","","","",""
"Very often","2010","indirect migration background","Female","","","",""
"Often","2010","no migration background","Male","","","",""
"Often","2010","no migration background","Female","","","",""
"Often","2010","direct migration background","Male","","","",""
"Often","2010","direct migration background","Female","","","",""
"Often","2010","indirect migration background","Male","","","",""
"Often","2010","indirect migration background","Female","","","",""
"Sometimes","2010","no migration background","Male","","","",""
"Sometimes","2010","no migration background","Female","","","",""
"Sometimes","2010","direct migration background","Male","","","",""
"Sometimes","2010","direct migration background","Female","","","",""
"Sometimes","2010","indirect migration background","Male","","","",""
"Sometimes","2010","indirect migration background","Female","","","",""
"Rarely","2010","no migration background","Male","","","",""
"Rarely","2010","no migration background","Female","","","",""
"Rarely","2010","direct migration background","Male","","","",""
"Rarely","2010","direct migration background","Female","","","",""
"Rarely","2010","indirect migration background","Male","","","",""
"Rarely","2010","indirect migration background","Female","","","",""
"Never","2010","no migration background","Male","","","",""
"Never","2010","no migration background","Female","","","",""
"Never","2010","direct migration background","Male","","","",""
"Never","2010","direct migration background","Female","","","",""
"Never","2010","indirect migration background","Male","","","",""
"Never","2010","indirect migration background","Female","","","",""
"Very often","2011","no migration background","Male","","","",""
"Very often","2011","no migration background","Female","","","",""
"Very often","2011","direct migration background","Male","","","",""
"Very often","2011","direct migration background","Female","","","",""
"Very often","2011","indirect migration background","Male","","","",""
"Very often","2011","indirect migration background","Female","","","",""
"Often","2011","no migration background","Male","","","",""
"Often","2011","no migration background","Female","","","",""
"Often","2011","direct migration background","Male","","","",""
"Often","2011","direct migration background","Female","","","",""
"Often","2011","indirect migration background","Male","","","",""
"Often","2011","indirect migration background","Female","","","",""
"Sometimes","2011","no migration background","Male","","","",""
"Sometimes","2011","no migration background","Female","","","",""
"Sometimes","2011","direct migration background","Male","","","",""
"Sometimes","2011","direct migration background","Female","","","",""
"Sometimes","2011","indirect migration background","Male","","","",""
"Sometimes","2011","indirect migration background","Female","","","",""
"Rarely","2011","no migration background","Male","","","",""
"Rarely","2011","no migration background","Female","","","",""
"Rarely","2011","direct migration background","Male","","","",""
"Rarely","2011","direct migration background","Female","","","",""
"Rarely","2011","indirect migration background","Male","","","",""
"Rarely","2011","indirect migration background","Female","","","",""
"Never","2011","no migration background","Male","","","",""
"Never","2011","no migration background","Female","","","",""
"Never","2011","direct migration background","Male","","","",""
"Never","2011","direct migration background","Female","","","",""
"Never","2011","indirect migration background","Male","","","",""
"Never","2011","indirect migration background","Female","","","",""
"Very often","2012","no migration background","Male","","","",""
"Very often","2012","no migration background","Female","","","",""
"Very often","2012","direct migration background","Male","","","",""
"Very often","2012","direct migration background","Female","","","",""
"Very often","2012","indirect migration background","Male","","","",""
"Very often","2012","indirect migration background","Female","","","",""
"Often","2012","no migration background","Male","","","",""
"Often","2012","no migration background","Female","","","",""
"Often","2012","direct migration background","Male","","","",""
"Often","2012","direct migration background","Female","","","",""
"Often","2012","indirect migration background","Male","","","",""
"Often","2012","indirect migration background","Female","","","",""
"Sometimes","2012","no migration background","Male","","","",""
"Sometimes","2012","no migration background","Female","","","",""
"Sometimes","2012","direct migration background","Male","","","",""
"Sometimes","2012","direct migration background","Female","","","",""
"Sometimes","2012","indirect migration background","Male","","","",""
"Sometimes","2012","indirect migration background","Female","","","",""
"Rarely","2012","no migration background","Male","","","",""
"Rarely","2012","no migration background","Female","","","",""
"Rarely","2012","direct migration background","Male","","","",""
"Rarely","2012","direct migration background","Female","","","",""
"Rarely","2012","indirect migration background","Male","","","",""
"Rarely","2012","indirect migration background","Female","","","",""
"Never","2012","no migration background","Male","","","",""
"Never","2012","no migration background","Female","","","",""
"Never","2012","direct migration background","Male","","","",""
"Never","2012","direct migration background","Female","","","",""
"Never","2012","indirect migration background","Male","","","",""
"Never","2012","indirect migration background","Female","","","",""
"Very often","2013","no migration background","Male","568","0.0505717355970877","0.0462424774521432","0.0549009937420322"
"Very often","2013","no migration background","Female","885","0.0594333441669474","0.0551693693675098","0.0636973189663849"
"Very often","2013","direct migration background","Male","51","0.043297555276136","0.0315396337115685","0.0550554768407035"
"Very often","2013","direct migration background","Female","96","0.0611678408038646","0.0490082423495246","0.0733274392582045"
"Very often","2013","indirect migration background","Male","40","0.0531141224065407","0.0339673044510177","0.0722609403620636"
"Very often","2013","indirect migration background","Female","66","0.074101348854866","0.0539336953834142","0.0942690023263178"
"Often","2013","no migration background","Male","1081","0.0995744005285683","0.0936584267255042","0.105490374331632"
"Often","2013","no migration background","Female","1383","0.0977355800926988","0.0923801048057833","0.103091055379614"
"Often","2013","direct migration background","Male","116","0.0640156574199747","0.0498744065758176","0.0781569082641319"
"Often","2013","direct migration background","Female","158","0.101803293251253","0.0864595853477524","0.117147001154753"
"Often","2013","indirect migration background","Male","42","0.0595072394521244","0.0393093768404396","0.0797051020638091"
"Often","2013","indirect migration background","Female","68","0.0879440219875248","0.0661380978434735","0.109749946131576"
"Sometimes","2013","no migration background","Male","1124","0.104737369014197","0.0986873807279149","0.11078735730048"
"Sometimes","2013","no migration background","Female","1323","0.103474479565871","0.0979815666984826","0.10896739243326"
"Sometimes","2013","direct migration background","Male","137","0.112946238257269","0.0946601300352163","0.131232346479321"
"Sometimes","2013","direct migration background","Female","149","0.0726530430393112","0.0594822565447034","0.0858238295339189"
"Sometimes","2013","indirect migration background","Male","51","0.137755978216654","0.108331206178827","0.16718075025448"
"Sometimes","2013","indirect migration background","Female","77","0.126712789361837","0.101100443152186","0.152325135571489"
"Rarely","2013","no migration background","Male","1969","0.197335774909091","0.189472592667504","0.205198957150677"
"Rarely","2013","no migration background","Female","2003","0.172727185749456","0.16590993165826","0.179544439840652"
"Rarely","2013","direct migration background","Male","179","0.161294199902257","0.140045878460597","0.182542521343917"
"Rarely","2013","direct migration background","Female","216","0.144614247518806","0.12676786379829","0.162460631239321"
"Rarely","2013","indirect migration background","Male","111","0.198211144409852","0.164175276801943","0.232247012017762"
"Rarely","2013","indirect migration background","Female","98","0.141068411921356","0.114267179556724","0.167869644285988"
"Never","2013","no migration background","Male","5099","0.547780719951056","0.537947259318193","0.557614180583918"
"Never","2013","no migration background","Female","6217","0.566629410425027","0.557692569452158","0.575566251397896"
"Never","2013","direct migration background","Male","668","0.618446349144363","0.59038301605887","0.646509682229857"
"Never","2013","direct migration background","Female","873","0.619761575386766","0.595129329914364","0.644393820859168"
"Never","2013","indirect migration background","Male","283","0.551411515514829","0.508949093761752","0.593873937267906"
"Never","2013","indirect migration background","Female","339","0.570173427874416","0.53205713062511","0.608289725123723"
"Very often","2014","no migration background","Male","","","",""
"Very often","2014","no migration background","Female","","","",""
"Very often","2014","direct migration background","Male","","","",""
"Very often","2014","direct migration background","Female","","","",""
"Very often","2014","indirect migration background","Male","","","",""
"Very often","2014","indirect migration background","Female","","","",""
"Often","2014","no migration background","Male","","","",""
"Often","2014","no migration background","Female","","","",""
"Often","2014","direct migration background","Male","","","",""
"Often","2014","direct migration background","Female","","","",""
"Often","2014","indirect migration background","Male","","","",""
"Often","2014","indirect migration background","Female","","","",""
"Sometimes","2014","no migration background","Male","","","",""
"Sometimes","2014","no migration background","Female","","","",""
"Sometimes","2014","direct migration background","Male","","","",""
"Sometimes","2014","direct migration background","Female","","","",""
"Sometimes","2014","indirect migration background","Male","","","",""
"Sometimes","2014","indirect migration background","Female","","","",""
"Rarely","2014","no migration background","Male","","","",""
"Rarely","2014","no migration background","Female","","","",""
"Rarely","2014","direct migration background","Male","","","",""
"Rarely","2014","direct migration background","Female","","","",""
"Rarely","2014","indirect migration background","Male","","","",""
"Rarely","2014","indirect migration background","Female","","","",""
"Never","2014","no migration background","Male","","","",""
"Never","2014","no migration background","Female","","","",""
"Never","2014","direct migration background","Male","","","",""
"Never","2014","direct migration background","Female","","","",""
"Never","2014","indirect migration background","Male","","","",""
"Never","2014","indirect migration background","Female","","","",""
"Very often","2015","no migration background","Male","","","",""
"Very often","2015","no migration background","Female","","","",""
"Very often","2015","direct migration background","Male","","","",""
"Very often","2015","direct migration background","Female","","","",""
"Very often","2015","indirect migration background","Male","","","",""
"Very often","2015","indirect migration background","Female","","","",""
"Often","2015","no migration background","Male","","","",""
"Often","2015","no migration background","Female","","","",""
"Often","2015","direct migration background","Male","","","",""
"Often","2015","direct migration background","Female","","","",""
"Often","2015","indirect migration background","Male","","","",""
"Often","2015","indirect migration background","Female","","","",""
"Sometimes","2015","no migration background","Male","","","",""
"Sometimes","2015","no migration background","Female","","","",""
"Sometimes","2015","direct migration background","Male","","","",""
"Sometimes","2015","direct migration background","Female","","","",""
"Sometimes","2015","indirect migration background","Male","","","",""
"Sometimes","2015","indirect migration background","Female","","","",""
"Rarely","2015","no migration background","Male","","","",""
"Rarely","2015","no migration background","Female","","","",""
"Rarely","2015","direct migration background","Male","","","",""
"Rarely","2015","direct migration background","Female","","","",""
"Rarely","2015","indirect migration background","Male","","","",""
"Rarely","2015","indirect migration background","Female","","","",""
"Never","2015","no migration background","Male","","","",""
"Never","2015","no migration background","Female","","","",""
"Never","2015","direct migration background","Male","","","",""
"Never","2015","direct migration background","Female","","","",""
"Never","2015","indirect migration background","Male","","","",""
"Never","2015","indirect migration background","Female","","","",""
"Very often","2016","no migration background","Male","","","",""
"Very often","2016","no migration background","Female","","","",""
"Very often","2016","direct migration background","Male","","","",""
"Very often","2016","direct migration background","Female","","","",""
"Very often","2016","indirect migration background","Male","","","",""
"Very often","2016","indirect migration background","Female","","","",""
"Often","2016","no migration background","Male","","","",""
"Often","2016","no migration background","Female","","","",""
"Often","2016","direct migration background","Male","","","",""
"Often","2016","direct migration background","Female","","","",""
"Often","2016","indirect migration background","Male","","","",""
"Often","2016","indirect migration background","Female","","","",""
"Sometimes","2016","no migration background","Male","","","",""
"Sometimes","2016","no migration background","Female","","","",""
"Sometimes","2016","direct migration background","Male","","","",""
"Sometimes","2016","direct migration background","Female","","","",""
"Sometimes","2016","indirect migration background","Male","","","",""
"Sometimes","2016","indirect migration background","Female","","","",""
"Rarely","2016","no migration background","Male","","","",""
"Rarely","2016","no migration background","Female","","","",""
"Rarely","2016","direct migration background","Male","","","",""
"Rarely","2016","direct migration background","Female","","","",""
"Rarely","2016","indirect migration background","Male","","","",""
"Rarely","2016","indirect migration background","Female","","","",""
"Never","2016","no migration background","Male","","","",""
"Never","2016","no migration background","Female","","","",""
"Never","2016","direct migration background","Male","","","",""
"Never","2016","direct migration background","Female","","","",""
"Never","2016","indirect migration background","Male","","","",""
"Never","2016","indirect migration background","Female","","","",""
"Very often","2017","no migration background","Male","","","",""
"Very often","2017","no migration background","Female","","","",""
"Very often","2017","direct migration background","Male","","","",""
"Very often","2017","direct migration background","Female","","","",""
"Very often","2017","indirect migration background","Male","","","",""
"Very often","2017","indirect migration background","Female","","","",""
"Often","2017","no migration background","Male","","","",""
"Often","2017","no migration background","Female","","","",""
"Often","2017","direct migration background","Male","","","",""
"Often","2017","direct migration background","Female","","","",""
"Often","2017","indirect migration background","Male","","","",""
"Often","2017","indirect migration background","Female","","","",""
"Sometimes","2017","no migration background","Male","","","",""
"Sometimes","2017","no migration background","Female","","","",""
"Sometimes","2017","direct migration background","Male","","","",""
"Sometimes","2017","direct migration background","Female","","","",""
"Sometimes","2017","indirect migration background","Male","","","",""
"Sometimes","2017","indirect migration background","Female","","","",""
"Rarely","2017","no migration background","Male","","","",""
"Rarely","2017","no migration background","Female","","","",""
"Rarely","2017","direct migration background","Male","","","",""
"Rarely","2017","direct migration background","Female","","","",""
"Rarely","2017","indirect migration background","Male","","","",""
"Rarely","2017","indirect migration background","Female","","","",""
"Never","2017","no migration background","Male","","","",""
"Never","2017","no migration background","Female","","","",""
"Never","2017","direct migration background","Male","","","",""
"Never","2017","direct migration background","Female","","","",""
"Never","2017","indirect migration background","Male","","","",""
"Never","2017","indirect migration background","Female","","","",""
"Very often","2018","no migration background","Male","557","0.0570580133327491","0.0522852110281092","0.061830815637389"
"Very often","2018","no migration background","Female","844","0.0728195394387953","0.0678426257344515","0.0777964531431391"
"Very often","2018","direct migration background","Male","118","0.0584438734316289","0.0481139178082029","0.0687738290550548"
"Very often","2018","direct migration background","Female","145","0.0651865567259675","0.0553776968186276","0.0749954166333075"
"Very often","2018","indirect migration background","Male","47","0.0458202932473005","0.0310610217362351","0.0605795647583659"
"Very often","2018","indirect migration background","Female","88","0.0907964895182079","0.0723206017786802","0.109272377257736"
"Often","2018","no migration background","Male","913","0.0928158488332965","0.0868450638326064","0.0987866338339867"
"Often","2018","no migration background","Female","1157","0.103767372950201","0.0979262708539725","0.109608475046429"
"Often","2018","direct migration background","Male","175","0.0873589445572853","0.0749249823410889","0.0997929067734817"
"Often","2018","direct migration background","Female","205","0.0814428413593188","0.0705746672303482","0.0923110154882894"
"Often","2018","indirect migration background","Male","83","0.104704332535448","0.0830927549803025","0.126315910090594"
"Often","2018","indirect migration background","Female","107","0.108376184101819","0.0883868654151812","0.128365502788456"
"Sometimes","2018","no migration background","Male","1060","0.119218178677404","0.112550448019864","0.125885909334944"
"Sometimes","2018","no migration background","Female","1169","0.109913039502553","0.103922101303203","0.115903977701903"
"Sometimes","2018","direct migration background","Male","175","0.0869192029460443","0.0745135871901593","0.0993248187019293"
"Sometimes","2018","direct migration background","Female","246","0.105074102069932","0.0928893016998914","0.117258902439972"
"Sometimes","2018","indirect migration background","Male","79","0.0997228838537259","0.0785730761947691","0.120872691512683"
"Sometimes","2018","indirect migration background","Female","84","0.0879638269658544","0.0697501209006504","0.106177533031058"
"Rarely","2018","no migration background","Male","1712","0.193835073339855","0.185701137041725","0.201969009637984"
"Rarely","2018","no migration background","Female","1731","0.162811269631522","0.155739828512935","0.169882710750108"
"Rarely","2018","direct migration background","Male","287","0.176188200976474","0.159411434179929","0.192964967773019"
"Rarely","2018","direct migration background","Female","293","0.124342682096376","0.111231125837772","0.13745423835498"
"Rarely","2018","indirect migration background","Male","131","0.167040851190839","0.140711260942629","0.193370441439048"
"Rarely","2018","indirect migration background","Female","154","0.177144452029261","0.152593642753652","0.201695261304871"
"Never","2018","no migration background","Male","4831","0.537072885816696","0.526812928390357","0.547332843243034"
"Never","2018","no migration background","Female","5570","0.550688778476929","0.541161238992899","0.56021631796096"
"Never","2018","direct migration background","Male","1226","0.591089778088568","0.569440343358905","0.61273921281823"
"Never","2018","direct migration background","Female","1544","0.623953817748406","0.604706338871073","0.643201296625739"
"Never","2018","indirect migration background","Male","431","0.582711639172687","0.54790469600809","0.617518582337284"
"Never","2018","indirect migration background","Female","496","0.535719047384858","0.503649028814955","0.567789065954761"
