"pld0045","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Often","2003","no migration background","(3b) higher tertiary education","228","0.0906415251434877","0.0789006963561296","0.102382353930846"
"Often","2003","direct migration background","(0) in school","","","",""
"Often","2003","direct migration background","(1a) inadequately completed","7","","",""
"Often","2003","direct migration background","(1b) general elementary school","28","","",""
"Often","2003","direct migration background","(1c) basic vocational qualification","65","0.103331839638668","0.0815761865139971","0.125087492763338"
"Often","2003","direct migration background","(2b) intermediate general qualification","4","","",""
"Often","2003","direct migration background","(2a) intermediate vocational","11","","",""
"Often","2003","direct migration background","(2c_gen) general maturity certificate","10","","",""
"Often","2003","direct migration background","(2c_voc) vocational maturity certificate","23","","",""
"Often","2003","direct migration background","(3a) lower tertiary education","6","","",""
"Often","2003","direct migration background","(3b) higher tertiary education","22","","",""
"Often","2003","indirect migration background","(0) in school","4","","",""
"Often","2003","indirect migration background","(1a) inadequately completed","1","","",""
"Often","2003","indirect migration background","(1b) general elementary school","8","","",""
"Often","2003","indirect migration background","(1c) basic vocational qualification","11","","",""
"Often","2003","indirect migration background","(2b) intermediate general qualification","5","","",""
"Often","2003","indirect migration background","(2a) intermediate vocational","13","","",""
"Often","2003","indirect migration background","(2c_gen) general maturity certificate","7","","",""
"Often","2003","indirect migration background","(2c_voc) vocational maturity certificate","4","","",""
"Often","2003","indirect migration background","(3a) lower tertiary education","2","","",""
"Often","2003","indirect migration background","(3b) higher tertiary education","5","","",""
"Sometimes","2003","no migration background","(0) in school","57","0.116248751018216","0.0879266995493199","0.144570802487111"
"Sometimes","2003","no migration background","(1a) inadequately completed","6","","",""
"Sometimes","2003","no migration background","(1b) general elementary school","115","0.0816006410879988","0.0673720838867805","0.0958291982892172"
"Sometimes","2003","no migration background","(1c) basic vocational qualification","487","0.0874364280510948","0.0799065518098216","0.0949663042923679"
"Sometimes","2003","no migration background","(2b) intermediate general qualification","58","0.0919414308159959","0.0667655083623867","0.117117353269605"
"Sometimes","2003","no migration background","(2a) intermediate vocational","537","0.112199133654653","0.103320405911052","0.121077861398255"
"Sometimes","2003","no migration background","(2c_gen) general maturity certificate","82","0.150152389833002","0.12281652461324","0.177488255052764"
"Sometimes","2003","no migration background","(2c_voc) vocational maturity certificate","142","0.127126833402591","0.108480345574998","0.145773321230184"
"Sometimes","2003","no migration background","(3a) lower tertiary education","202","0.136124007310262","0.119409786072217","0.152838228548307"
"Sometimes","2003","no migration background","(3b) higher tertiary education","286","0.124951144107082","0.111428741486816","0.138473546727348"
"Sometimes","2003","direct migration background","(0) in school","4","","",""
"Sometimes","2003","direct migration background","(1a) inadequately completed","12","","",""
"Sometimes","2003","direct migration background","(1b) general elementary school","50","0.0606261479334653","0.0416571005035643","0.0795951953633662"
"Sometimes","2003","direct migration background","(1c) basic vocational qualification","70","0.0875461381494719","0.0673455914061795","0.107746684892764"
"Sometimes","2003","direct migration background","(2b) intermediate general qualification","8","","",""
"Sometimes","2003","direct migration background","(2a) intermediate vocational","19","","",""
"Sometimes","2003","direct migration background","(2c_gen) general maturity certificate","12","","",""
"Sometimes","2003","direct migration background","(2c_voc) vocational maturity certificate","37","0.142093777361631","0.101978570576876","0.182208984146386"
"Sometimes","2003","direct migration background","(3a) lower tertiary education","9","","",""
"Sometimes","2003","direct migration background","(3b) higher tertiary education","32","0.100732458620933","0.0656045161435028","0.135860401098363"
"Sometimes","2003","indirect migration background","(0) in school","8","","",""
"Sometimes","2003","indirect migration background","(1a) inadequately completed","","","",""
"Sometimes","2003","indirect migration background","(1b) general elementary school","8","","",""
"Sometimes","2003","indirect migration background","(1c) basic vocational qualification","6","","",""
"Sometimes","2003","indirect migration background","(2b) intermediate general qualification","7","","",""
"Sometimes","2003","indirect migration background","(2a) intermediate vocational","10","","",""
"Sometimes","2003","indirect migration background","(2c_gen) general maturity certificate","8","","",""
"Sometimes","2003","indirect migration background","(2c_voc) vocational maturity certificate","3","","",""
"Sometimes","2003","indirect migration background","(3a) lower tertiary education","1","","",""
"Sometimes","2003","indirect migration background","(3b) higher tertiary education","4","","",""
"Rarely","2003","no migration background","(0) in school","105","0.207400846850115","0.171574906019034","0.243226787681196"
"Rarely","2003","no migration background","(1a) inadequately completed","14","","",""
"Rarely","2003","no migration background","(1b) general elementary school","199","0.126031616024295","0.108781742848207","0.143281489200382"
"Rarely","2003","no migration background","(1c) basic vocational qualification","894","0.160236529220306","0.150458094864327","0.170014963576285"
"Rarely","2003","no migration background","(2b) intermediate general qualification","87","0.183849645938819","0.150098438188615","0.217600853689024"
"Rarely","2003","no migration background","(2a) intermediate vocational","914","0.178584559494368","0.167809948743615","0.189359170245121"
"Rarely","2003","no migration background","(2c_gen) general maturity certificate","136","0.207857642890132","0.176806271293355","0.238909014486909"
"Rarely","2003","no migration background","(2c_voc) vocational maturity certificate","231","0.168175901253915","0.147239574541525","0.189112227966306"
"Rarely","2003","no migration background","(3a) lower tertiary education","319","0.177919932303919","0.159279222624315","0.196560641983523"
"Rarely","2003","no migration background","(3b) higher tertiary education","488","0.218722712068403","0.201817635807338","0.235627788329467"
"Rarely","2003","direct migration background","(0) in school","10","","",""
"Rarely","2003","direct migration background","(1a) inadequately completed","20","","",""
"Rarely","2003","direct migration background","(1b) general elementary school","80","0.143199841149999","0.115357398186522","0.171042284113476"
"Rarely","2003","direct migration background","(1c) basic vocational qualification","102","0.144323284938874","0.119206605061408","0.169439964816339"
"Rarely","2003","direct migration background","(2b) intermediate general qualification","4","","",""
"Rarely","2003","direct migration background","(2a) intermediate vocational","16","","",""
"Rarely","2003","direct migration background","(2c_gen) general maturity certificate","18","","",""
"Rarely","2003","direct migration background","(2c_voc) vocational maturity certificate","51","0.188292744531091","0.143374983185027","0.233210505877154"
"Rarely","2003","direct migration background","(3a) lower tertiary education","18","","",""
"Rarely","2003","direct migration background","(3b) higher tertiary education","43","0.179894686251426","0.135064812333321","0.22472456016953"
"Rarely","2003","indirect migration background","(0) in school","13","","",""
"Rarely","2003","indirect migration background","(1a) inadequately completed","1","","",""
"Rarely","2003","indirect migration background","(1b) general elementary school","23","","",""
"Rarely","2003","indirect migration background","(1c) basic vocational qualification","24","","",""
"Rarely","2003","indirect migration background","(2b) intermediate general qualification","12","","",""
"Rarely","2003","indirect migration background","(2a) intermediate vocational","33","0.244086906585818","0.170809633190819","0.317364179980816"
"Rarely","2003","indirect migration background","(2c_gen) general maturity certificate","14","","",""
"Rarely","2003","indirect migration background","(2c_voc) vocational maturity certificate","12","","",""
"Rarely","2003","indirect migration background","(3a) lower tertiary education","6","","",""
"Rarely","2003","indirect migration background","(3b) higher tertiary education","7","","",""
"Never","2003","no migration background","(0) in school","254","0.499639231780362","0.455458243033467","0.543820220527257"
"Never","2003","no migration background","(1a) inadequately completed","58","0.621892508667435","0.519997298745314","0.723787718589556"
"Never","2003","no migration background","(1b) general elementary school","953","0.698104352796005","0.674243448905548","0.721965256686463"
"Never","2003","no migration background","(1c) basic vocational qualification","3441","0.647804982208278","0.635072185174933","0.660537779241623"
"Never","2003","no migration background","(2b) intermediate general qualification","285","0.556676809180883","0.513392088191817","0.59996153016995"
"Never","2003","no migration background","(2a) intermediate vocational","2782","0.578035426730624","0.564141870327848","0.591928983133401"
"Never","2003","no migration background","(2c_gen) general maturity certificate","334","0.495383393086233","0.457123155496975","0.533643630675491"
"Never","2003","no migration background","(2c_voc) vocational maturity certificate","653","0.550880578799241","0.523037804650135","0.578723352948346"
"Never","2003","no migration background","(3a) lower tertiary education","865","0.553444328449039","0.529213522673515","0.577675134224564"
"Never","2003","no migration background","(3b) higher tertiary education","1166","0.510631228793321","0.490188474677176","0.531073982909466"
"Never","2003","direct migration background","(0) in school","30","0.521581871307535","0.380265482679137","0.662898259935934"
"Never","2003","direct migration background","(1a) inadequately completed","130","0.719457536647664","0.653271961977324","0.785643111318003"
"Never","2003","direct migration background","(1b) general elementary school","435","0.726372387534472","0.690935471044339","0.761809304024605"
"Never","2003","direct migration background","(1c) basic vocational qualification","486","0.624004415195099","0.589384629544334","0.658624200845863"
"Never","2003","direct migration background","(2b) intermediate general qualification","31","0.678102467660508","0.551117326724906","0.80508760859611"
"Never","2003","direct migration background","(2a) intermediate vocational","99","0.613001693956145","0.536570408961744","0.689432978950546"
"Never","2003","direct migration background","(2c_gen) general maturity certificate","79","0.560628993680381","0.473623523359838","0.647634464000924"
"Never","2003","direct migration background","(2c_voc) vocational maturity certificate","162","0.521162202124963","0.463766117902358","0.578558286347569"
"Never","2003","direct migration background","(3a) lower tertiary education","47","0.60844713104338","0.504067663519097","0.712826598567663"
"Never","2003","direct migration background","(3b) higher tertiary education","165","0.596987529050652","0.539738858081531","0.654236200019772"
"Never","2003","indirect migration background","(0) in school","40","0.64722224673036","0.535284545384299","0.759159948076422"
"Never","2003","indirect migration background","(1a) inadequately completed","6","","",""
"Never","2003","indirect migration background","(1b) general elementary school","70","0.590564004159542","0.501463193157661","0.679664815161422"
"Never","2003","indirect migration background","(1c) basic vocational qualification","85","0.611109469023613","0.529773669758722","0.692445268288503"
"Never","2003","indirect migration background","(2b) intermediate general qualification","46","0.63191375172182","0.521279306989035","0.742548196454606"
"Never","2003","indirect migration background","(2a) intermediate vocational","71","0.541933737994592","0.45693776052562","0.626929715463563"
"Never","2003","indirect migration background","(2c_gen) general maturity certificate","52","0.507455911577078","0.401173759010498","0.613738064143659"
"Never","2003","indirect migration background","(2c_voc) vocational maturity certificate","36","0.615528721634966","0.489239357852996","0.741818085416935"
"Never","2003","indirect migration background","(3a) lower tertiary education","8","","",""
"Never","2003","indirect migration background","(3b) higher tertiary education","28","","",""
"Very often","2004","no migration background","(0) in school","","","",""
"Very often","2004","no migration background","(1a) inadequately completed","","","",""
"Very often","2004","no migration background","(1b) general elementary school","","","",""
"Very often","2004","no migration background","(1c) basic vocational qualification","","","",""
"Very often","2004","no migration background","(2b) intermediate general qualification","","","",""
"Very often","2004","no migration background","(2a) intermediate vocational","","","",""
"Very often","2004","no migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2004","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","no migration background","(3a) lower tertiary education","","","",""
"Very often","2004","no migration background","(3b) higher tertiary education","","","",""
"Very often","2004","direct migration background","(0) in school","","","",""
"Very often","2004","direct migration background","(1a) inadequately completed","","","",""
"Very often","2004","direct migration background","(1b) general elementary school","","","",""
"Very often","2004","direct migration background","(1c) basic vocational qualification","","","",""
"Very often","2004","direct migration background","(2b) intermediate general qualification","","","",""
"Very often","2004","direct migration background","(2a) intermediate vocational","","","",""
"Very often","2004","direct migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2004","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","direct migration background","(3a) lower tertiary education","","","",""
"Very often","2004","direct migration background","(3b) higher tertiary education","","","",""
"Very often","2004","indirect migration background","(0) in school","","","",""
"Very often","2004","indirect migration background","(1a) inadequately completed","","","",""
"Very often","2004","indirect migration background","(1b) general elementary school","","","",""
"Very often","2004","indirect migration background","(1c) basic vocational qualification","","","",""
"Very often","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"Very often","2004","indirect migration background","(2a) intermediate vocational","","","",""
"Very often","2004","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","indirect migration background","(3a) lower tertiary education","","","",""
"Very often","2004","indirect migration background","(3b) higher tertiary education","","","",""
"Often","2004","no migration background","(0) in school","","","",""
"Often","2004","no migration background","(1a) inadequately completed","","","",""
"Often","2004","no migration background","(1b) general elementary school","","","",""
"Often","2004","no migration background","(1c) basic vocational qualification","","","",""
"Often","2004","no migration background","(2b) intermediate general qualification","","","",""
"Often","2004","no migration background","(2a) intermediate vocational","","","",""
"Often","2004","no migration background","(2c_gen) general maturity certificate","","","",""
"Often","2004","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2004","no migration background","(3a) lower tertiary education","","","",""
"Often","2004","no migration background","(3b) higher tertiary education","","","",""
"Often","2004","direct migration background","(0) in school","","","",""
"Often","2004","direct migration background","(1a) inadequately completed","","","",""
"Often","2004","direct migration background","(1b) general elementary school","","","",""
"Often","2004","direct migration background","(1c) basic vocational qualification","","","",""
"Often","2004","direct migration background","(2b) intermediate general qualification","","","",""
"Often","2004","direct migration background","(2a) intermediate vocational","","","",""
"Often","2004","direct migration background","(2c_gen) general maturity certificate","","","",""
"Often","2004","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2004","direct migration background","(3a) lower tertiary education","","","",""
"Often","2004","direct migration background","(3b) higher tertiary education","","","",""
"Often","2004","indirect migration background","(0) in school","","","",""
"Often","2004","indirect migration background","(1a) inadequately completed","","","",""
"Often","2004","indirect migration background","(1b) general elementary school","","","",""
"Often","2004","indirect migration background","(1c) basic vocational qualification","","","",""
"Often","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"Often","2004","indirect migration background","(2a) intermediate vocational","","","",""
"Often","2004","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Often","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2004","indirect migration background","(3a) lower tertiary education","","","",""
"Often","2004","indirect migration background","(3b) higher tertiary education","","","",""
"Sometimes","2004","no migration background","(0) in school","","","",""
"Sometimes","2004","no migration background","(1a) inadequately completed","","","",""
"Sometimes","2004","no migration background","(1b) general elementary school","","","",""
"Sometimes","2004","no migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2004","no migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2004","no migration background","(2a) intermediate vocational","","","",""
"Sometimes","2004","no migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2004","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2004","no migration background","(3a) lower tertiary education","","","",""
"Sometimes","2004","no migration background","(3b) higher tertiary education","","","",""
"Sometimes","2004","direct migration background","(0) in school","","","",""
"Sometimes","2004","direct migration background","(1a) inadequately completed","","","",""
"Sometimes","2004","direct migration background","(1b) general elementary school","","","",""
"Sometimes","2004","direct migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2004","direct migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2004","direct migration background","(2a) intermediate vocational","","","",""
"Sometimes","2004","direct migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2004","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2004","direct migration background","(3a) lower tertiary education","","","",""
"Sometimes","2004","direct migration background","(3b) higher tertiary education","","","",""
"Sometimes","2004","indirect migration background","(0) in school","","","",""
"Sometimes","2004","indirect migration background","(1a) inadequately completed","","","",""
"Sometimes","2004","indirect migration background","(1b) general elementary school","","","",""
"Sometimes","2004","indirect migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2004","indirect migration background","(2a) intermediate vocational","","","",""
"Sometimes","2004","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2004","indirect migration background","(3a) lower tertiary education","","","",""
"Sometimes","2004","indirect migration background","(3b) higher tertiary education","","","",""
"Rarely","2004","no migration background","(0) in school","","","",""
"Rarely","2004","no migration background","(1a) inadequately completed","","","",""
"Rarely","2004","no migration background","(1b) general elementary school","","","",""
"Rarely","2004","no migration background","(1c) basic vocational qualification","","","",""
"Rarely","2004","no migration background","(2b) intermediate general qualification","","","",""
"Rarely","2004","no migration background","(2a) intermediate vocational","","","",""
"Rarely","2004","no migration background","(2c_gen) general maturity certificate","","","",""
"Rarely","2004","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2004","no migration background","(3a) lower tertiary education","","","",""
"Rarely","2004","no migration background","(3b) higher tertiary education","","","",""
"Rarely","2004","direct migration background","(0) in school","","","",""
"Rarely","2004","direct migration background","(1a) inadequately completed","","","",""
"Rarely","2004","direct migration background","(1b) general elementary school","","","",""
"Rarely","2004","direct migration background","(1c) basic vocational qualification","","","",""
"Rarely","2004","direct migration background","(2b) intermediate general qualification","","","",""
"Rarely","2004","direct migration background","(2a) intermediate vocational","","","",""
"Rarely","2004","direct migration background","(2c_gen) general maturity certificate","","","",""
"Rarely","2004","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2004","direct migration background","(3a) lower tertiary education","","","",""
"Rarely","2004","direct migration background","(3b) higher tertiary education","","","",""
"Rarely","2004","indirect migration background","(0) in school","","","",""
"Rarely","2004","indirect migration background","(1a) inadequately completed","","","",""
"Rarely","2004","indirect migration background","(1b) general elementary school","","","",""
"Rarely","2004","indirect migration background","(1c) basic vocational qualification","","","",""
"Rarely","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"Rarely","2004","indirect migration background","(2a) intermediate vocational","","","",""
"Rarely","2004","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Rarely","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2004","indirect migration background","(3a) lower tertiary education","","","",""
"Rarely","2004","indirect migration background","(3b) higher tertiary education","","","",""
"Never","2004","no migration background","(0) in school","","","",""
"Never","2004","no migration background","(1a) inadequately completed","","","",""
"Never","2004","no migration background","(1b) general elementary school","","","",""
"Never","2004","no migration background","(1c) basic vocational qualification","","","",""
"Never","2004","no migration background","(2b) intermediate general qualification","","","",""
"Never","2004","no migration background","(2a) intermediate vocational","","","",""
"Never","2004","no migration background","(2c_gen) general maturity certificate","","","",""
"Never","2004","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Never","2004","no migration background","(3a) lower tertiary education","","","",""
"Never","2004","no migration background","(3b) higher tertiary education","","","",""
"Never","2004","direct migration background","(0) in school","","","",""
"Never","2004","direct migration background","(1a) inadequately completed","","","",""
"Never","2004","direct migration background","(1b) general elementary school","","","",""
"Never","2004","direct migration background","(1c) basic vocational qualification","","","",""
"Never","2004","direct migration background","(2b) intermediate general qualification","","","",""
"Never","2004","direct migration background","(2a) intermediate vocational","","","",""
"Never","2004","direct migration background","(2c_gen) general maturity certificate","","","",""
"Never","2004","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Never","2004","direct migration background","(3a) lower tertiary education","","","",""
"Never","2004","direct migration background","(3b) higher tertiary education","","","",""
"Never","2004","indirect migration background","(0) in school","","","",""
"Never","2004","indirect migration background","(1a) inadequately completed","","","",""
"Never","2004","indirect migration background","(1b) general elementary school","","","",""
"Never","2004","indirect migration background","(1c) basic vocational qualification","","","",""
"Never","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"Never","2004","indirect migration background","(2a) intermediate vocational","","","",""
"Never","2004","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Never","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Never","2004","indirect migration background","(3a) lower tertiary education","","","",""
"Never","2004","indirect migration background","(3b) higher tertiary education","","","",""
"Very often","2005","no migration background","(0) in school","","","",""
"Very often","2005","no migration background","(1a) inadequately completed","","","",""
"Very often","2005","no migration background","(1b) general elementary school","","","",""
"Very often","2005","no migration background","(1c) basic vocational qualification","","","",""
"Very often","2005","no migration background","(2b) intermediate general qualification","","","",""
"Very often","2005","no migration background","(2a) intermediate vocational","","","",""
"Very often","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2005","no migration background","(3a) lower tertiary education","","","",""
"Very often","2005","no migration background","(3b) higher tertiary education","","","",""
"Very often","2005","direct migration background","(0) in school","","","",""
"Very often","2005","direct migration background","(1a) inadequately completed","","","",""
"Very often","2005","direct migration background","(1b) general elementary school","","","",""
"Very often","2005","direct migration background","(1c) basic vocational qualification","","","",""
"Very often","2005","direct migration background","(2b) intermediate general qualification","","","",""
"Very often","2005","direct migration background","(2a) intermediate vocational","","","",""
"Very often","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2005","direct migration background","(3a) lower tertiary education","","","",""
"Very often","2005","direct migration background","(3b) higher tertiary education","","","",""
"Very often","2005","indirect migration background","(0) in school","","","",""
"Very often","2005","indirect migration background","(1a) inadequately completed","","","",""
"Very often","2005","indirect migration background","(1b) general elementary school","","","",""
"Very often","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"Very often","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"Very often","2005","indirect migration background","(2a) intermediate vocational","","","",""
"Very often","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2005","indirect migration background","(3a) lower tertiary education","","","",""
"Very often","2005","indirect migration background","(3b) higher tertiary education","","","",""
"Often","2005","no migration background","(0) in school","","","",""
"Often","2005","no migration background","(1a) inadequately completed","","","",""
"Often","2005","no migration background","(1b) general elementary school","","","",""
"Often","2005","no migration background","(1c) basic vocational qualification","","","",""
"Often","2005","no migration background","(2b) intermediate general qualification","","","",""
"Often","2005","no migration background","(2a) intermediate vocational","","","",""
"Often","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"Often","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2005","no migration background","(3a) lower tertiary education","","","",""
"Often","2005","no migration background","(3b) higher tertiary education","","","",""
"Often","2005","direct migration background","(0) in school","","","",""
"Often","2005","direct migration background","(1a) inadequately completed","","","",""
"Often","2005","direct migration background","(1b) general elementary school","","","",""
"Often","2005","direct migration background","(1c) basic vocational qualification","","","",""
"Often","2005","direct migration background","(2b) intermediate general qualification","","","",""
"Often","2005","direct migration background","(2a) intermediate vocational","","","",""
"Often","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"Often","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2005","direct migration background","(3a) lower tertiary education","","","",""
"Often","2005","direct migration background","(3b) higher tertiary education","","","",""
"Often","2005","indirect migration background","(0) in school","","","",""
"Often","2005","indirect migration background","(1a) inadequately completed","","","",""
"Often","2005","indirect migration background","(1b) general elementary school","","","",""
"Often","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"Often","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"Often","2005","indirect migration background","(2a) intermediate vocational","","","",""
"Often","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Often","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2005","indirect migration background","(3a) lower tertiary education","","","",""
"Often","2005","indirect migration background","(3b) higher tertiary education","","","",""
"Sometimes","2005","no migration background","(0) in school","","","",""
"Sometimes","2005","no migration background","(1a) inadequately completed","","","",""
"Sometimes","2005","no migration background","(1b) general elementary school","","","",""
"Sometimes","2005","no migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2005","no migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2005","no migration background","(2a) intermediate vocational","","","",""
"Sometimes","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2005","no migration background","(3a) lower tertiary education","","","",""
"Sometimes","2005","no migration background","(3b) higher tertiary education","","","",""
"Sometimes","2005","direct migration background","(0) in school","","","",""
"Sometimes","2005","direct migration background","(1a) inadequately completed","","","",""
"Sometimes","2005","direct migration background","(1b) general elementary school","","","",""
"Sometimes","2005","direct migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2005","direct migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2005","direct migration background","(2a) intermediate vocational","","","",""
"Sometimes","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2005","direct migration background","(3a) lower tertiary education","","","",""
"Sometimes","2005","direct migration background","(3b) higher tertiary education","","","",""
"Sometimes","2005","indirect migration background","(0) in school","","","",""
"Sometimes","2005","indirect migration background","(1a) inadequately completed","","","",""
"Sometimes","2005","indirect migration background","(1b) general elementary school","","","",""
"Sometimes","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2005","indirect migration background","(2a) intermediate vocational","","","",""
"Sometimes","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2005","indirect migration background","(3a) lower tertiary education","","","",""
