"pld0045","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Brandenburg","indirect migration background","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","no migration background","18","","",""
"Very often","2003","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Very often","2003","Saxony","no migration background","52","0.0287393573087397","0.0205038837467978","0.0369748308706816"
"Very often","2003","Saxony","direct migration background","2","","",""
"Very often","2003","Saxony","indirect migration background","","","",""
"Very often","2003","Saxony-Anhalt","no migration background","38","0.0332303394886542","0.0215203708552153","0.0449403081220932"
"Very often","2003","Saxony-Anhalt","direct migration background","1","","",""
"Very often","2003","Saxony-Anhalt","indirect migration background","2","","",""
"Very often","2003","Thuringia","no migration background","28","","",""
"Very often","2003","Thuringia","direct migration background","1","","",""
"Very often","2003","Thuringia","indirect migration background","","","",""
"Often","2003","Schleswig-Holstein","no migration background","45","0.0972353528958843","0.0733689698415035","0.121101735950265"
"Often","2003","Schleswig-Holstein","direct migration background","4","","",""
"Often","2003","Schleswig-Holstein","indirect migration background","2","","",""
"Often","2003","Hamburg","no migration background","18","","",""
"Often","2003","Hamburg","direct migration background","1","","",""
"Often","2003","Hamburg","indirect migration background","","","",""
"Often","2003","Lower Saxony","no migration background","156","0.0797029028303821","0.0666586556338599","0.0927471500269043"
"Often","2003","Lower Saxony","direct migration background","19","","",""
"Often","2003","Lower Saxony","indirect migration background","3","","",""
"Often","2003","Bremen","no migration background","12","","",""
"Often","2003","Bremen","direct migration background","","","",""
"Often","2003","Bremen","indirect migration background","","","",""
"Often","2003","North Rhine-Westphalia","no migration background","257","0.0637393823779881","0.055903945115805","0.0715748196401711"
"Often","2003","North Rhine-Westphalia","direct migration background","41","0.0554344736996478","0.0385672193463792","0.0723017280529164"
"Often","2003","North Rhine-Westphalia","indirect migration background","17","","",""
"Often","2003","Hesse","no migration background","108","0.0795197610599286","0.0640896905678776","0.0949498315519797"
"Often","2003","Hesse","direct migration background","12","","",""
"Often","2003","Hesse","indirect migration background","4","","",""
"Often","2003","Rhineland-Palatinate,Saarland","no migration background","105","0.0929338623854691","0.075768391740318","0.11009933303062"
"Often","2003","Rhineland-Palatinate,Saarland","direct migration background","11","","",""
"Often","2003","Rhineland-Palatinate,Saarland","indirect migration background","6","","",""
"Often","2003","Baden-Württemberg","no migration background","179","0.084257403362661","0.071764126850627","0.0967506798746949"
"Often","2003","Baden-Württemberg","direct migration background","42","0.0927615725363154","0.0694127215168612","0.11611042355577"
"Often","2003","Baden-Württemberg","indirect migration background","17","","",""
"Often","2003","Bavaria","no migration background","284","0.0922359507912866","0.0811348910112967","0.103337010571276"
"Often","2003","Bavaria","direct migration background","38","0.100966435530879","0.07132977246051","0.130603098601249"
"Often","2003","Bavaria","indirect migration background","9","","",""
"Often","2003","Berlin","no migration background","33","0.0400237943002531","0.025696208791635","0.0543513798088711"
"Often","2003","Berlin","direct migration background","6","","",""
"Often","2003","Berlin","indirect migration background","3","","",""
"Often","2003","Brandenburg","no migration background","57","0.0692093400117498","0.0528353092201149","0.0855833708033848"
"Often","2003","Brandenburg","direct migration background","1","","",""
"Often","2003","Brandenburg","indirect migration background","","","",""
"Often","2003","Mecklenburg-Western Pomerania","no migration background","30","0.0479993334958479","0.0294287551371261","0.0665699118545697"
"Often","2003","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Often","2003","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Often","2003","Saxony","no migration background","111","0.0686333789200226","0.0561707351642117","0.0810960226758336"
"Often","2003","Saxony","direct migration background","4","","",""
"Often","2003","Saxony","indirect migration background","","","",""
"Often","2003","Saxony-Anhalt","no migration background","94","0.104924357494689","0.0849029380085757","0.124945776980801"
"Often","2003","Saxony-Anhalt","direct migration background","1","","",""
"Often","2003","Saxony-Anhalt","indirect migration background","1","","",""
"Often","2003","Thuringia","no migration background","61","0.0487098898239741","0.0349121691056108","0.0625076105423373"
"Often","2003","Thuringia","direct migration background","","","",""
"Often","2003","Thuringia","indirect migration background","","","",""
"Sometimes","2003","Schleswig-Holstein","no migration background","43","0.0813950716626709","0.0593683087048382","0.103421834620504"
"Sometimes","2003","Schleswig-Holstein","direct migration background","7","","",""
"Sometimes","2003","Schleswig-Holstein","indirect migration background","1","","",""
"Sometimes","2003","Hamburg","no migration background","22","","",""
"Sometimes","2003","Hamburg","direct migration background","4","","",""
"Sometimes","2003","Hamburg","indirect migration background","","","",""
"Sometimes","2003","Lower Saxony","no migration background","231","0.134727783684845","0.118283199858128","0.151172367511563"
"Sometimes","2003","Lower Saxony","direct migration background","22","","",""
"Sometimes","2003","Lower Saxony","indirect migration background","5","","",""
"Sometimes","2003","Bremen","no migration background","12","","",""
"Sometimes","2003","Bremen","direct migration background","2","","",""
"Sometimes","2003","Bremen","indirect migration background","","","",""
"Sometimes","2003","North Rhine-Westphalia","no migration background","369","0.103734824595277","0.0939547653927688","0.113514883797785"
"Sometimes","2003","North Rhine-Westphalia","direct migration background","64","0.0831733761632359","0.062818233169361","0.103528519157111"
"Sometimes","2003","North Rhine-Westphalia","indirect migration background","17","","",""
"Sometimes","2003","Hesse","no migration background","130","0.0927099474208057","0.0761690379676718","0.10925085687394"
"Sometimes","2003","Hesse","direct migration background","20","","",""
"Sometimes","2003","Hesse","indirect migration background","4","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","no migration background","87","0.0803912244565056","0.0643160712744444","0.0964663776385669"
"Sometimes","2003","Rhineland-Palatinate,Saarland","direct migration background","21","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Sometimes","2003","Baden-Württemberg","no migration background","191","0.109404854311692","0.0953655991765908","0.123444109446794"
"Sometimes","2003","Baden-Württemberg","direct migration background","64","0.0937464827022579","0.0702867484573794","0.117206216947136"
"Sometimes","2003","Baden-Württemberg","indirect migration background","11","","",""
"Sometimes","2003","Bavaria","no migration background","316","0.115520837832128","0.103257694476448","0.127783981187808"
"Sometimes","2003","Bavaria","direct migration background","34","0.085359905162534","0.0578743244361278","0.11284548588894"
"Sometimes","2003","Bavaria","indirect migration background","14","","",""
"Sometimes","2003","Berlin","no migration background","55","0.0768538858383127","0.0573845209652809","0.0963232507113444"
"Sometimes","2003","Berlin","direct migration background","13","","",""
"Sometimes","2003","Berlin","indirect migration background","5","","",""
"Sometimes","2003","Brandenburg","no migration background","94","0.105528386548101","0.0857078607680099","0.125348912328193"
"Sometimes","2003","Brandenburg","direct migration background","2","","",""
"Sometimes","2003","Brandenburg","indirect migration background","","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","no migration background","54","0.0867187636466153","0.0622705007985881","0.111167026494642"
"Sometimes","2003","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Sometimes","2003","Saxony","no migration background","167","0.0974055163011555","0.0827897944358473","0.112021238166464"
"Sometimes","2003","Saxony","direct migration background","2","","",""
"Sometimes","2003","Saxony","indirect migration background","1","","",""
"Sometimes","2003","Saxony-Anhalt","no migration background","114","0.114249706172454","0.0934666201708824","0.135032792174025"
"Sometimes","2003","Saxony-Anhalt","direct migration background","1","","",""
"Sometimes","2003","Saxony-Anhalt","indirect migration background","","","",""
"Sometimes","2003","Thuringia","no migration background","107","0.127316507925201","0.105951009679472","0.14868200617093"
"Sometimes","2003","Thuringia","direct migration background","","","",""
"Sometimes","2003","Thuringia","indirect migration background","","","",""
"Rarely","2003","Schleswig-Holstein","no migration background","101","0.193559610604976","0.161733707013652","0.2253855141963"
"Rarely","2003","Schleswig-Holstein","direct migration background","15","","",""
"Rarely","2003","Schleswig-Holstein","indirect migration background","5","","",""
"Rarely","2003","Hamburg","no migration background","62","0.217661694615736","0.167884040217103","0.267439349014368"
"Rarely","2003","Hamburg","direct migration background","10","","",""
"Rarely","2003","Hamburg","indirect migration background","3","","",""
"Rarely","2003","Lower Saxony","no migration background","342","0.196160543279848","0.177035236396007","0.215285850163689"
"Rarely","2003","Lower Saxony","direct migration background","25","","",""
"Rarely","2003","Lower Saxony","indirect migration background","8","","",""
"Rarely","2003","Bremen","no migration background","12","","",""
"Rarely","2003","Bremen","direct migration background","5","","",""
"Rarely","2003","Bremen","indirect migration background","","","",""
"Rarely","2003","North Rhine-Westphalia","no migration background","621","0.159184647606232","0.147450221869274","0.17091907334319"
"Rarely","2003","North Rhine-Westphalia","direct migration background","85","0.122680694181275","0.0984979634770149","0.146863424885535"
"Rarely","2003","North Rhine-Westphalia","indirect migration background","44","0.19789833058141","0.145606790241639","0.25018987092118"
"Rarely","2003","Hesse","no migration background","207","0.162474030194004","0.141435555007584","0.183512505380425"
"Rarely","2003","Hesse","direct migration background","26","","",""
"Rarely","2003","Hesse","indirect migration background","9","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","no migration background","175","0.156620101938662","0.135132664825319","0.178107539052005"
"Rarely","2003","Rhineland-Palatinate,Saarland","direct migration background","20","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"Rarely","2003","Baden-Württemberg","no migration background","354","0.159810341498236","0.143329601260313","0.176291081736159"
"Rarely","2003","Baden-Württemberg","direct migration background","87","0.159313735714403","0.129858375993532","0.188769095435275"
"Rarely","2003","Baden-Württemberg","indirect migration background","34","0.14618509805086","0.0969756025324704","0.19539459356925"
"Rarely","2003","Bavaria","no migration background","522","0.191980850295521","0.176870740519682","0.207090960071361"
"Rarely","2003","Bavaria","direct migration background","60","0.184351399257751","0.146207278858917","0.222495519656586"
"Rarely","2003","Bavaria","indirect migration background","33","0.257820539751358","0.180827676512269","0.334813402990447"
"Rarely","2003","Berlin","no migration background","125","0.140826948139506","0.115401603227016","0.166252293051996"
"Rarely","2003","Berlin","direct migration background","19","","",""
"Rarely","2003","Berlin","indirect migration background","7","","",""
"Rarely","2003","Brandenburg","no migration background","196","0.195489439626332","0.16990506734217","0.221073811910494"
"Rarely","2003","Brandenburg","direct migration background","1","","",""
"Rarely","2003","Brandenburg","indirect migration background","1","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","no migration background","89","0.162775336879479","0.130704927188503","0.194845746570455"
"Rarely","2003","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","indirect migration background","2","","",""
"Rarely","2003","Saxony","no migration background","263","0.170991800140562","0.152433029207439","0.189550571073684"
"Rarely","2003","Saxony","direct migration background","3","","",""
"Rarely","2003","Saxony","indirect migration background","","","",""
"Rarely","2003","Saxony-Anhalt","no migration background","172","0.160611713695722","0.136623555930485","0.184599871460958"
"Rarely","2003","Saxony-Anhalt","direct migration background","8","","",""
"Rarely","2003","Saxony-Anhalt","indirect migration background","1","","",""
"Rarely","2003","Thuringia","no migration background","185","0.185719554160999","0.160793237687825","0.210645870634174"
"Rarely","2003","Thuringia","direct migration background","5","","",""
"Rarely","2003","Thuringia","indirect migration background","1","","",""
"Never","2003","Schleswig-Holstein","no migration background","384","0.58877008103531","0.549132927755855","0.628407234314766"
"Never","2003","Schleswig-Holstein","direct migration background","36","0.470982102275305","0.349635171194387","0.592329033356222"
"Never","2003","Schleswig-Holstein","indirect migration background","3","","",""
"Never","2003","Hamburg","no migration background","149","0.617145690040254","0.558510714541348","0.675780665539159"
"Never","2003","Hamburg","direct migration background","6","","",""
"Never","2003","Hamburg","indirect migration background","5","","",""
"Never","2003","Lower Saxony","no migration background","819","0.532137238707723","0.508105289884418","0.556169187531028"
"Never","2003","Lower Saxony","direct migration background","130","0.703950130956085","0.641609977855652","0.766290284056518"
"Never","2003","Lower Saxony","indirect migration background","30","0.564512442119202","0.422762204035389","0.706262680203015"
"Never","2003","Bremen","no migration background","107","0.753029652774011","0.68307765721231","0.822981648335712"
"Never","2003","Bremen","direct migration background","15","","",""
"Never","2003","Bremen","indirect migration background","4","","",""
"Never","2003","North Rhine-Westphalia","no migration background","2360","0.638503563978416","0.623093848961721","0.653913278995111"
"Never","2003","North Rhine-Westphalia","direct migration background","482","0.693207974697899","0.659214763505346","0.727201185890451"
"Never","2003","North Rhine-Westphalia","indirect migration background","128","0.543603323495396","0.478228888609165","0.608977758381626"
"Never","2003","Hesse","no migration background","657","0.602148986393895","0.574234132669804","0.630063840117987"
"Never","2003","Hesse","direct migration background","179","0.737080163876504","0.681844164483047","0.792316163269961"
"Never","2003","Hesse","indirect migration background","43","0.604627323453024","0.486670427840918","0.722584219065131"
"Never","2003","Rhineland-Palatinate,Saarland","no migration background","670","0.619081172063432","0.590370770785575","0.647791573341289"
"Never","2003","Rhineland-Palatinate,Saarland","direct migration background","125","0.575774353421185","0.5055001536612","0.64604855318117"
"Never","2003","Rhineland-Palatinate,Saarland","indirect migration background","23","","",""
"Never","2003","Baden-Württemberg","no migration background","1070","0.590548983256319","0.56843257752144","0.612665388991198"
"Never","2003","Baden-Württemberg","direct migration background","387","0.639501007640624","0.600856000803336","0.678146014477912"
"Never","2003","Baden-Württemberg","indirect migration background","135","0.716354951500975","0.653568312923356","0.779141590078593"
"Never","2003","Bavaria","no migration background","1298","0.525508921146491","0.506351726600598","0.544666115692384"
"Never","2003","Bavaria","direct migration background","236","0.544511247538665","0.495522640153906","0.593499854923425"
"Never","2003","Bavaria","indirect migration background","58","0.466534105768466","0.378726471372936","0.554341740163997"
"Never","2003","Berlin","no migration background","487","0.704716936290728","0.671373506579143","0.738060366002313"
"Never","2003","Berlin","direct migration background","29","","",""
"Never","2003","Berlin","indirect migration background","21","","",""
"Never","2003","Brandenburg","no migration background","548","0.601415856058836","0.569829852026179","0.633001860091492"
"Never","2003","Brandenburg","direct migration background","8","","",""
"Never","2003","Brandenburg","indirect migration background","1","","",""
"Never","2003","Mecklenburg-Western Pomerania","no migration background","318","0.663457990314935","0.622407763961289","0.704508216668582"
"Never","2003","Mecklenburg-Western Pomerania","direct migration background","14","","",""
"Never","2003","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Never","2003","Saxony","no migration background","988","0.634229947329521","0.610488368254847","0.657971526404195"
"Never","2003","Saxony","direct migration background","17","","",""
"Never","2003","Saxony","indirect migration background","6","","",""
"Never","2003","Saxony-Anhalt","no migration background","482","0.586983883148481","0.554815930236575","0.619151836060388"
"Never","2003","Saxony-Anhalt","direct migration background","15","","",""
"Never","2003","Saxony-Anhalt","indirect migration background","2","","",""
"Never","2003","Thuringia","no migration background","554","0.59995109221244","0.568549132342606","0.631353052082274"
"Never","2003","Thuringia","direct migration background","10","","",""
"Never","2003","Thuringia","indirect migration background","5","","",""
"Very often","2004","Schleswig-Holstein","no migration background","","","",""
"Very often","2004","Schleswig-Holstein","direct migration background","","","",""
"Very often","2004","Schleswig-Holstein","indirect migration background","","","",""
"Very often","2004","Hamburg","no migration background","","","",""
"Very often","2004","Hamburg","direct migration background","","","",""
"Very often","2004","Hamburg","indirect migration background","","","",""
"Very often","2004","Lower Saxony","no migration background","","","",""
"Very often","2004","Lower Saxony","direct migration background","","","",""
"Very often","2004","Lower Saxony","indirect migration background","","","",""
"Very often","2004","Bremen","no migration background","","","",""
"Very often","2004","Bremen","direct migration background","","","",""
"Very often","2004","Bremen","indirect migration background","","","",""
"Very often","2004","North Rhine-Westphalia","no migration background","","","",""
"Very often","2004","North Rhine-Westphalia","direct migration background","","","",""
"Very often","2004","North Rhine-Westphalia","indirect migration background","","","",""
"Very often","2004","Hesse","no migration background","","","",""
"Very often","2004","Hesse","direct migration background","","","",""
"Very often","2004","Hesse","indirect migration background","","","",""
"Very often","2004","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Very often","2004","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Very often","2004","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Very often","2004","Baden-Württemberg","no migration background","","","",""
"Very often","2004","Baden-Württemberg","direct migration background","","","",""
"Very often","2004","Baden-Württemberg","indirect migration background","","","",""
"Very often","2004","Bavaria","no migration background","","","",""
"Very often","2004","Bavaria","direct migration background","","","",""
"Very often","2004","Bavaria","indirect migration background","","","",""
"Very often","2004","Berlin","no migration background","","","",""
"Very often","2004","Berlin","direct migration background","","","",""
"Very often","2004","Berlin","indirect migration background","","","",""
"Very often","2004","Brandenburg","no migration background","","","",""
"Very often","2004","Brandenburg","direct migration background","","","",""
"Very often","2004","Brandenburg","indirect migration background","","","",""
"Very often","2004","Mecklenburg-Western Pomerania","no migration background","","","",""
"Very often","2004","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Very often","2004","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Very often","2004","Saxony","no migration background","","","",""
"Very often","2004","Saxony","direct migration background","","","",""
"Very often","2004","Saxony","indirect migration background","","","",""
"Very often","2004","Saxony-Anhalt","no migration background","","","",""
"Very often","2004","Saxony-Anhalt","direct migration background","","","",""
"Very often","2004","Saxony-Anhalt","indirect migration background","","","",""
"Very often","2004","Thuringia","no migration background","","","",""
"Very often","2004","Thuringia","direct migration background","","","",""
"Very often","2004","Thuringia","indirect migration background","","","",""
"Often","2004","Schleswig-Holstein","no migration background","","","",""
"Often","2004","Schleswig-Holstein","direct migration background","","","",""
"Often","2004","Schleswig-Holstein","indirect migration background","","","",""
"Often","2004","Hamburg","no migration background","","","",""
"Often","2004","Hamburg","direct migration background","","","",""
"Often","2004","Hamburg","indirect migration background","","","",""
"Often","2004","Lower Saxony","no migration background","","","",""
"Often","2004","Lower Saxony","direct migration background","","","",""
"Often","2004","Lower Saxony","indirect migration background","","","",""
"Often","2004","Bremen","no migration background","","","",""
"Often","2004","Bremen","direct migration background","","","",""
"Often","2004","Bremen","indirect migration background","","","",""
"Often","2004","North Rhine-Westphalia","no migration background","","","",""
"Often","2004","North Rhine-Westphalia","direct migration background","","","",""
"Often","2004","North Rhine-Westphalia","indirect migration background","","","",""
"Often","2004","Hesse","no migration background","","","",""
"Often","2004","Hesse","direct migration background","","","",""
"Often","2004","Hesse","indirect migration background","","","",""
"Often","2004","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Often","2004","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Often","2004","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Often","2004","Baden-Württemberg","no migration background","","","",""
"Often","2004","Baden-Württemberg","direct migration background","","","",""
"Often","2004","Baden-Württemberg","indirect migration background","","","",""
"Often","2004","Bavaria","no migration background","","","",""
"Often","2004","Bavaria","direct migration background","","","",""
"Often","2004","Bavaria","indirect migration background","","","",""
"Often","2004","Berlin","no migration background","","","",""
"Often","2004","Berlin","direct migration background","","","",""
"Often","2004","Berlin","indirect migration background","","","",""
"Often","2004","Brandenburg","no migration background","","","",""
"Often","2004","Brandenburg","direct migration background","","","",""
"Often","2004","Brandenburg","indirect migration background","","","",""
"Often","2004","Mecklenburg-Western Pomerania","no migration background","","","",""
"Often","2004","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Often","2004","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Often","2004","Saxony","no migration background","","","",""
"Often","2004","Saxony","direct migration background","","","",""
"Often","2004","Saxony","indirect migration background","","","",""
"Often","2004","Saxony-Anhalt","no migration background","","","",""
"Often","2004","Saxony-Anhalt","direct migration background","","","",""
"Often","2004","Saxony-Anhalt","indirect migration background","","","",""
"Often","2004","Thuringia","no migration background","","","",""
"Often","2004","Thuringia","direct migration background","","","",""
"Often","2004","Thuringia","indirect migration background","","","",""
"Sometimes","2004","Schleswig-Holstein","no migration background","","","",""
"Sometimes","2004","Schleswig-Holstein","direct migration background","","","",""
"Sometimes","2004","Schleswig-Holstein","indirect migration background","","","",""
"Sometimes","2004","Hamburg","no migration background","","","",""
"Sometimes","2004","Hamburg","direct migration background","","","",""
"Sometimes","2004","Hamburg","indirect migration background","","","",""
"Sometimes","2004","Lower Saxony","no migration background","","","",""
"Sometimes","2004","Lower Saxony","direct migration background","","","",""
"Sometimes","2004","Lower Saxony","indirect migration background","","","",""
"Sometimes","2004","Bremen","no migration background","","","",""
"Sometimes","2004","Bremen","direct migration background","","","",""
"Sometimes","2004","Bremen","indirect migration background","","","",""
"Sometimes","2004","North Rhine-Westphalia","no migration background","","","",""
"Sometimes","2004","North Rhine-Westphalia","direct migration background","","","",""
"Sometimes","2004","North Rhine-Westphalia","indirect migration background","","","",""
"Sometimes","2004","Hesse","no migration background","","","",""
"Sometimes","2004","Hesse","direct migration background","","","",""
"Sometimes","2004","Hesse","indirect migration background","","","",""
"Sometimes","2004","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Sometimes","2004","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Sometimes","2004","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Sometimes","2004","Baden-Württemberg","no migration background","","","",""
"Sometimes","2004","Baden-Württemberg","direct migration background","","","",""
"Sometimes","2004","Baden-Württemberg","indirect migration background","","","",""
"Sometimes","2004","Bavaria","no migration background","","","",""
"Sometimes","2004","Bavaria","direct migration background","","","",""
"Sometimes","2004","Bavaria","indirect migration background","","","",""
"Sometimes","2004","Berlin","no migration background","","","",""
"Sometimes","2004","Berlin","direct migration background","","","",""
"Sometimes","2004","Berlin","indirect migration background","","","",""
"Sometimes","2004","Brandenburg","no migration background","","","",""
"Sometimes","2004","Brandenburg","direct migration background","","","",""
"Sometimes","2004","Brandenburg","indirect migration background","","","",""
"Sometimes","2004","Mecklenburg-Western Pomerania","no migration background","","","",""
"Sometimes","2004","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Sometimes","2004","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Sometimes","2004","Saxony","no migration background","","","",""
"Sometimes","2004","Saxony","direct migration background","","","",""
"Sometimes","2004","Saxony","indirect migration background","","","",""
"Sometimes","2004","Saxony-Anhalt","no migration background","","","",""
"Sometimes","2004","Saxony-Anhalt","direct migration background","","","",""
"Sometimes","2004","Saxony-Anhalt","indirect migration background","","","",""
"Sometimes","2004","Thuringia","no migration background","","","",""
"Sometimes","2004","Thuringia","direct migration background","","","",""
"Sometimes","2004","Thuringia","indirect migration background","","","",""
"Rarely","2004","Schleswig-Holstein","no migration background","","","",""
"Rarely","2004","Schleswig-Holstein","direct migration background","","","",""
"Rarely","2004","Schleswig-Holstein","indirect migration background","","","",""
"Rarely","2004","Hamburg","no migration background","","","",""
"Rarely","2004","Hamburg","direct migration background","","","",""
"Rarely","2004","Hamburg","indirect migration background","","","",""
"Rarely","2004","Lower Saxony","no migration background","","","",""
"Rarely","2004","Lower Saxony","direct migration background","","","",""
"Rarely","2004","Lower Saxony","indirect migration background","","","",""
"Rarely","2004","Bremen","no migration background","","","",""
"Rarely","2004","Bremen","direct migration background","","","",""
"Rarely","2004","Bremen","indirect migration background","","","",""
"Rarely","2004","North Rhine-Westphalia","no migration background","","","",""
"Rarely","2004","North Rhine-Westphalia","direct migration background","","","",""
"Rarely","2004","North Rhine-Westphalia","indirect migration background","","","",""
"Rarely","2004","Hesse","no migration background","","","",""
"Rarely","2004","Hesse","direct migration background","","","",""
"Rarely","2004","Hesse","indirect migration background","","","",""
"Rarely","2004","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Rarely","2004","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Rarely","2004","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Rarely","2004","Baden-Württemberg","no migration background","","","",""
"Rarely","2004","Baden-Württemberg","direct migration background","","","",""
"Rarely","2004","Baden-Württemberg","indirect migration background","","","",""
"Rarely","2004","Bavaria","no migration background","","","",""
"Rarely","2004","Bavaria","direct migration background","","","",""
"Rarely","2004","Bavaria","indirect migration background","","","",""
"Rarely","2004","Berlin","no migration background","","","",""
"Rarely","2004","Berlin","direct migration background","","","",""
"Rarely","2004","Berlin","indirect migration background","","","",""
"Rarely","2004","Brandenburg","no migration background","","","",""
"Rarely","2004","Brandenburg","direct migration background","","","",""
"Rarely","2004","Brandenburg","indirect migration background","","","",""
"Rarely","2004","Mecklenburg-Western Pomerania","no migration background","","","",""
"Rarely","2004","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Rarely","2004","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Rarely","2004","Saxony","no migration background","","","",""
"Rarely","2004","Saxony","direct migration background","","","",""
"Rarely","2004","Saxony","indirect migration background","","","",""
"Rarely","2004","Saxony-Anhalt","no migration background","","","",""
"Rarely","2004","Saxony-Anhalt","direct migration background","","","",""
"Rarely","2004","Saxony-Anhalt","indirect migration background","","","",""
"Rarely","2004","Thuringia","no migration background","","","",""
"Rarely","2004","Thuringia","direct migration background","","","",""
"Rarely","2004","Thuringia","indirect migration background","","","",""
"Never","2004","Schleswig-Holstein","no migration background","","","",""
"Never","2004","Schleswig-Holstein","direct migration background","","","",""
"Never","2004","Schleswig-Holstein","indirect migration background","","","",""
"Never","2004","Hamburg","no migration background","","","",""
"Never","2004","Hamburg","direct migration background","","","",""
"Never","2004","Hamburg","indirect migration background","","","",""
"Never","2004","Lower Saxony","no migration background","","","",""
"Never","2004","Lower Saxony","direct migration background","","","",""
"Never","2004","Lower Saxony","indirect migration background","","","",""
"Never","2004","Bremen","no migration background","","","",""
"Never","2004","Bremen","direct migration background","","","",""
"Never","2004","Bremen","indirect migration background","","","",""
"Never","2004","North Rhine-Westphalia","no migration background","","","",""
"Never","2004","North Rhine-Westphalia","direct migration background","","","",""
"Never","2004","North Rhine-Westphalia","indirect migration background","","","",""
"Never","2004","Hesse","no migration background","","","",""
"Never","2004","Hesse","direct migration background","","","",""
