"pld0045","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Sometimes","2003","indirect migration background","East Germany","1","","","","3"
"Very often","2003","no migration background","West Germany","713","0.051130202476392","0.0474204173625564","0.0548399875902276","1"
"Very often","2003","no migration background","East Germany","176","0.0335420867003825","0.0286512572246388","0.0384329161761261","1"
"Very often","2003","direct migration background","West Germany","114","0.0431491810309775","0.0352016335765618","0.0510967284853931","1"
"Very often","2003","direct migration background","East Germany","7","","","","1"
"Very often","2003","indirect migration background","West Germany","42","0.0664493219349898","0.0486123385259107","0.0842863053440689","1"
"Very often","2003","indirect migration background","East Germany","2","","","","1"
"Never","2004","no migration background","West Germany","","","","","5"
"Never","2004","no migration background","East Germany","","","","","5"
"Never","2004","direct migration background","West Germany","","","","","5"
"Never","2004","direct migration background","East Germany","","","","","5"
"Never","2004","indirect migration background","West Germany","","","","","5"
"Never","2004","indirect migration background","East Germany","","","","","5"
"Often","2004","no migration background","East Germany","","","","","2"
"Often","2004","no migration background","West Germany","","","","","2"
"Often","2004","direct migration background","West Germany","","","","","2"
"Often","2004","direct migration background","East Germany","","","","","2"
"Often","2004","indirect migration background","West Germany","","","","","2"
"Often","2004","indirect migration background","East Germany","","","","","2"
"Rarely","2004","no migration background","West Germany","","","","","4"
"Rarely","2004","direct migration background","West Germany","","","","","4"
"Rarely","2004","no migration background","East Germany","","","","","4"
"Rarely","2004","indirect migration background","West Germany","","","","","4"
"Rarely","2004","direct migration background","East Germany","","","","","4"
"Rarely","2004","indirect migration background","East Germany","","","","","4"
"Sometimes","2004","no migration background","East Germany","","","","","3"
"Sometimes","2004","indirect migration background","West Germany","","","","","3"
"Sometimes","2004","no migration background","West Germany","","","","","3"
"Sometimes","2004","direct migration background","West Germany","","","","","3"
"Sometimes","2004","direct migration background","East Germany","","","","","3"
"Sometimes","2004","indirect migration background","East Germany","","","","","3"
"Very often","2004","direct migration background","West Germany","","","","","1"
"Very often","2004","no migration background","West Germany","","","","","1"
"Very often","2004","no migration background","East Germany","","","","","1"
"Very often","2004","direct migration background","East Germany","","","","","1"
"Very often","2004","indirect migration background","West Germany","","","","","1"
"Very often","2004","indirect migration background","East Germany","","","","","1"
"Never","2005","direct migration background","West Germany","","","","","5"
"Never","2005","no migration background","West Germany","","","","","5"
"Never","2005","no migration background","East Germany","","","","","5"
"Never","2005","direct migration background","East Germany","","","","","5"
"Never","2005","indirect migration background","West Germany","","","","","5"
"Never","2005","indirect migration background","East Germany","","","","","5"
"Often","2005","no migration background","West Germany","","","","","2"
"Often","2005","no migration background","East Germany","","","","","2"
"Often","2005","direct migration background","West Germany","","","","","2"
"Often","2005","indirect migration background","West Germany","","","","","2"
"Often","2005","direct migration background","East Germany","","","","","2"
"Often","2005","indirect migration background","East Germany","","","","","2"
"Rarely","2005","no migration background","East Germany","","","","","4"
"Rarely","2005","no migration background","West Germany","","","","","4"
"Rarely","2005","direct migration background","West Germany","","","","","4"
"Rarely","2005","direct migration background","East Germany","","","","","4"
"Rarely","2005","indirect migration background","West Germany","","","","","4"
"Rarely","2005","indirect migration background","East Germany","","","","","4"
"Sometimes","2005","no migration background","West Germany","","","","","3"
"Sometimes","2005","direct migration background","West Germany","","","","","3"
"Sometimes","2005","direct migration background","East Germany","","","","","3"
"Sometimes","2005","indirect migration background","East Germany","","","","","3"
"Sometimes","2005","no migration background","East Germany","","","","","3"
"Sometimes","2005","indirect migration background","West Germany","","","","","3"
"Very often","2005","no migration background","West Germany","","","","","1"
"Very often","2005","no migration background","East Germany","","","","","1"
"Very often","2005","direct migration background","West Germany","","","","","1"
"Very often","2005","direct migration background","East Germany","","","","","1"
"Very often","2005","indirect migration background","West Germany","","","","","1"
"Very often","2005","indirect migration background","East Germany","","","","","1"
"Never","2006","no migration background","East Germany","","","","","5"
"Never","2006","no migration background","West Germany","","","","","5"
"Never","2006","direct migration background","East Germany","","","","","5"
"Never","2006","direct migration background","West Germany","","","","","5"
"Never","2006","indirect migration background","West Germany","","","","","5"
"Never","2006","indirect migration background","East Germany","","","","","5"
"Often","2006","no migration background","West Germany","","","","","2"
"Often","2006","direct migration background","West Germany","","","","","2"
"Often","2006","no migration background","East Germany","","","","","2"
"Often","2006","indirect migration background","West Germany","","","","","2"
"Often","2006","direct migration background","East Germany","","","","","2"
"Often","2006","indirect migration background","East Germany","","","","","2"
"Rarely","2006","no migration background","West Germany","","","","","4"
"Rarely","2006","direct migration background","West Germany","","","","","4"
"Rarely","2006","no migration background","East Germany","","","","","4"
"Rarely","2006","indirect migration background","West Germany","","","","","4"
"Rarely","2006","direct migration background","East Germany","","","","","4"
"Rarely","2006","indirect migration background","East Germany","","","","","4"
"Sometimes","2006","direct migration background","West Germany","","","","","3"
"Sometimes","2006","no migration background","West Germany","","","","","3"
"Sometimes","2006","no migration background","East Germany","","","","","3"
"Sometimes","2006","direct migration background","East Germany","","","","","3"
"Sometimes","2006","indirect migration background","West Germany","","","","","3"
"Sometimes","2006","indirect migration background","East Germany","","","","","3"
"Very often","2006","no migration background","West Germany","","","","","1"
"Very often","2006","no migration background","East Germany","","","","","1"
"Very often","2006","direct migration background","West Germany","","","","","1"
"Very often","2006","direct migration background","East Germany","","","","","1"
"Very often","2006","indirect migration background","West Germany","","","","","1"
"Very often","2006","indirect migration background","East Germany","","","","","1"
"Never","2007","no migration background","West Germany","","","","","5"
"Never","2007","direct migration background","West Germany","","","","","5"
"Never","2007","no migration background","East Germany","","","","","5"
"Never","2007","direct migration background","East Germany","","","","","5"
"Never","2007","indirect migration background","West Germany","","","","","5"
"Never","2007","indirect migration background","East Germany","","","","","5"
"Often","2007","no migration background","East Germany","","","","","2"
"Often","2007","no migration background","West Germany","","","","","2"
"Often","2007","direct migration background","West Germany","","","","","2"
"Often","2007","direct migration background","East Germany","","","","","2"
"Often","2007","indirect migration background","West Germany","","","","","2"
"Often","2007","indirect migration background","East Germany","","","","","2"
"Rarely","2007","no migration background","West Germany","","","","","4"
"Rarely","2007","no migration background","East Germany","","","","","4"
"Rarely","2007","direct migration background","West Germany","","","","","4"
"Rarely","2007","direct migration background","East Germany","","","","","4"
"Rarely","2007","indirect migration background","West Germany","","","","","4"
"Rarely","2007","indirect migration background","East Germany","","","","","4"
"Sometimes","2007","no migration background","West Germany","","","","","3"
"Sometimes","2007","no migration background","East Germany","","","","","3"
"Sometimes","2007","direct migration background","West Germany","","","","","3"
"Sometimes","2007","direct migration background","East Germany","","","","","3"
"Sometimes","2007","indirect migration background","West Germany","","","","","3"
"Sometimes","2007","indirect migration background","East Germany","","","","","3"
"Very often","2007","direct migration background","West Germany","","","","","1"
"Very often","2007","indirect migration background","East Germany","","","","","1"
"Very often","2007","no migration background","West Germany","","","","","1"
"Very often","2007","no migration background","East Germany","","","","","1"
"Very often","2007","direct migration background","East Germany","","","","","1"
"Very often","2007","indirect migration background","West Germany","","","","","1"
"Never","2008","no migration background","West Germany","6771","0.56337305296154","0.554497750441029","0.572248355482051","5"
"Never","2008","no migration background","East Germany","2778","0.62220216262394","0.608253332066723","0.636150993181156","5"
"Never","2008","direct migration background","West Germany","1129","0.627542682378117","0.605313140228736","0.649772224527497","5"
"Never","2008","direct migration background","East Germany","46","0.569335537507024","0.459446478554034","0.679224596460014","5"
"Never","2008","indirect migration background","West Germany","445","0.605227001315209","0.569695484021187","0.64075851860923","5"
"Never","2008","indirect migration background","East Germany","23","","","","5"
"Often","2008","no migration background","East Germany","373","0.0778948089028872","0.0701842333254399","0.0856053844803345","2"
"Often","2008","no migration background","West Germany","1144","0.0945902404026091","0.0893533243426056","0.0998271564626126","2"
"Often","2008","direct migration background","West Germany","131","0.0738019331150121","0.0617804948287598","0.0858233714012644","2"
"Often","2008","direct migration background","East Germany","9","","","","2"
"Often","2008","indirect migration background","West Germany","69","0.102604627650502","0.0805471284198767","0.124662126881127","2"
"Often","2008","indirect migration background","East Germany","3","","","","2"
"Rarely","2008","no migration background","West Germany","2153","0.182836966339328","0.175919991086348","0.189753941592308","4"
"Rarely","2008","no migration background","East Germany","818","0.167466014645738","0.156723483167945","0.17820854612353","4"
"Rarely","2008","direct migration background","West Germany","288","0.151198391335428","0.134726354316841","0.167670428354014","4"
"Rarely","2008","direct migration background","East Germany","13","","","","4"
"Rarely","2008","indirect migration background","West Germany","91","0.124355763740183","0.100368666714164","0.148342860766202","4"
"Rarely","2008","indirect migration background","East Germany","9","","","","4"
"Sometimes","2008","no migration background","West Germany","1259","0.105872944657364","0.100367125065711","0.111378764249017","3"
"Sometimes","2008","no migration background","East Germany","462","0.0943487183975777","0.0859388187713606","0.102758618023795","3"
"Sometimes","2008","direct migration background","West Germany","184","0.0937828020883035","0.0803783712082356","0.107187232968371","3"
"Sometimes","2008","direct migration background","East Germany","7","","","","3"
"Sometimes","2008","indirect migration background","West Germany","76","0.0905724624793446","0.0697101222564638","0.111434802702225","3"
"Sometimes","2008","indirect migration background","East Germany","6","","","","3"
"Very often","2008","no migration background","West Germany","669","0.0533267956391589","0.0493060865766465","0.0573475047016713","1"
"Very often","2008","no migration background","East Germany","210","0.0380882954298577","0.0325814145793757","0.0435951762803396","1"
"Very often","2008","direct migration background","West Germany","85","0.0536741910831399","0.0433114720382395","0.0640369101280402","1"
"Very often","2008","direct migration background","East Germany","3","","","","1"
"Very often","2008","indirect migration background","West Germany","46","0.0772401448147617","0.057833664709715","0.0966466249198083","1"
"Very often","2008","indirect migration background","East Germany","2","","","","1"
"Never","2009","no migration background","East Germany","","","","","5"
"Never","2009","no migration background","West Germany","","","","","5"
"Never","2009","direct migration background","West Germany","","","","","5"
"Never","2009","direct migration background","East Germany","","","","","5"
"Never","2009","indirect migration background","West Germany","","","","","5"
"Never","2009","indirect migration background","East Germany","","","","","5"
"Often","2009","no migration background","West Germany","","","","","2"
"Often","2009","no migration background","East Germany","","","","","2"
"Often","2009","direct migration background","West Germany","","","","","2"
"Often","2009","direct migration background","East Germany","","","","","2"
"Often","2009","indirect migration background","West Germany","","","","","2"
"Often","2009","indirect migration background","East Germany","","","","","2"
"Rarely","2009","no migration background","East Germany","","","","","4"
"Rarely","2009","no migration background","West Germany","","","","","4"
"Rarely","2009","direct migration background","West Germany","","","","","4"
"Rarely","2009","direct migration background","East Germany","","","","","4"
"Rarely","2009","indirect migration background","West Germany","","","","","4"
"Rarely","2009","indirect migration background","East Germany","","","","","4"
"Sometimes","2009","no migration background","West Germany","","","","","3"
"Sometimes","2009","direct migration background","West Germany","","","","","3"
"Sometimes","2009","no migration background","East Germany","","","","","3"
"Sometimes","2009","indirect migration background","West Germany","","","","","3"
"Sometimes","2009","indirect migration background","East Germany","","","","","3"
"Sometimes","2009","direct migration background","East Germany","","","","","3"
"Very often","2009","no migration background","West Germany","","","","","1"
"Very often","2009","no migration background","East Germany","","","","","1"
"Very often","2009","direct migration background","West Germany","","","","","1"
"Very often","2009","direct migration background","East Germany","","","","","1"
"Very often","2009","indirect migration background","East Germany","","","","","1"
"Very often","2009","indirect migration background","West Germany","","","","","1"
"Never","2010","no migration background","West Germany","","","","","5"
"Never","2010","direct migration background","West Germany","","","","","5"
"Never","2010","direct migration background","East Germany","","","","","5"
"Never","2010","no migration background","East Germany","","","","","5"
"Never","2010","indirect migration background","West Germany","","","","","5"
"Never","2010","indirect migration background","East Germany","","","","","5"
"Often","2010","no migration background","West Germany","","","","","2"
"Often","2010","no migration background","East Germany","","","","","2"
"Often","2010","direct migration background","West Germany","","","","","2"
"Often","2010","direct migration background","East Germany","","","","","2"
"Often","2010","indirect migration background","West Germany","","","","","2"
"Often","2010","indirect migration background","East Germany","","","","","2"
"Rarely","2010","no migration background","West Germany","","","","","4"
"Rarely","2010","no migration background","East Germany","","","","","4"
"Rarely","2010","direct migration background","West Germany","","","","","4"
"Rarely","2010","direct migration background","East Germany","","","","","4"
"Rarely","2010","indirect migration background","West Germany","","","","","4"
"Rarely","2010","indirect migration background","East Germany","","","","","4"
"Sometimes","2010","no migration background","West Germany","","","","","3"
"Sometimes","2010","no migration background","East Germany","","","","","3"
"Sometimes","2010","direct migration background","West Germany","","","","","3"
"Sometimes","2010","indirect migration background","West Germany","","","","","3"
"Sometimes","2010","direct migration background","East Germany","","","","","3"
"Sometimes","2010","indirect migration background","East Germany","","","","","3"
"Very often","2010","no migration background","West Germany","","","","","1"
"Very often","2010","direct migration background","West Germany","","","","","1"
"Very often","2010","indirect migration background","East Germany","","","","","1"
"Very often","2010","no migration background","East Germany","","","","","1"
"Very often","2010","direct migration background","East Germany","","","","","1"
"Very often","2010","indirect migration background","West Germany","","","","","1"
"Never","2011","no migration background","East Germany","","","","","5"
"Never","2011","direct migration background","West Germany","","","","","5"
"Never","2011","indirect migration background","West Germany","","","","","5"
"Never","2011","no migration background","West Germany","","","","","5"
"Never","2011","direct migration background","East Germany","","","","","5"
"Never","2011","indirect migration background","East Germany","","","","","5"
"Often","2011","no migration background","West Germany","","","","","2"
"Often","2011","no migration background","East Germany","","","","","2"
"Often","2011","direct migration background","West Germany","","","","","2"
"Often","2011","direct migration background","East Germany","","","","","2"
"Often","2011","indirect migration background","West Germany","","","","","2"
"Often","2011","indirect migration background","East Germany","","","","","2"
"Rarely","2011","no migration background","West Germany","","","","","4"
"Rarely","2011","no migration background","East Germany","","","","","4"
"Rarely","2011","direct migration background","West Germany","","","","","4"
"Rarely","2011","direct migration background","East Germany","","","","","4"
"Rarely","2011","indirect migration background","West Germany","","","","","4"
"Rarely","2011","indirect migration background","East Germany","","","","","4"
"Sometimes","2011","no migration background","West Germany","","","","","3"
"Sometimes","2011","direct migration background","West Germany","","","","","3"
"Sometimes","2011","no migration background","East Germany","","","","","3"
"Sometimes","2011","direct migration background","East Germany","","","","","3"
"Sometimes","2011","indirect migration background","West Germany","","","","","3"
"Sometimes","2011","indirect migration background","East Germany","","","","","3"
"Very often","2011","no migration background","West Germany","","","","","1"
"Very often","2011","no migration background","East Germany","","","","","1"
"Very often","2011","indirect migration background","West Germany","","","","","1"
"Very often","2011","direct migration background","West Germany","","","","","1"
"Very often","2011","direct migration background","East Germany","","","","","1"
"Very often","2011","indirect migration background","East Germany","","","","","1"
"Never","2012","no migration background","East Germany","","","","","5"
"Never","2012","no migration background","West Germany","","","","","5"
"Never","2012","direct migration background","West Germany","","","","","5"
"Never","2012","direct migration background","East Germany","","","","","5"
"Never","2012","indirect migration background","West Germany","","","","","5"
"Never","2012","indirect migration background","East Germany","","","","","5"
"Often","2012","no migration background","West Germany","","","","","2"
"Often","2012","no migration background","East Germany","","","","","2"
"Often","2012","direct migration background","West Germany","","","","","2"
"Often","2012","direct migration background","East Germany","","","","","2"
"Often","2012","indirect migration background","East Germany","","","","","2"
"Often","2012","indirect migration background","West Germany","","","","","2"
"Rarely","2012","no migration background","West Germany","","","","","4"
"Rarely","2012","no migration background","East Germany","","","","","4"
"Rarely","2012","direct migration background","West Germany","","","","","4"
"Rarely","2012","direct migration background","East Germany","","","","","4"
"Rarely","2012","indirect migration background","West Germany","","","","","4"
"Rarely","2012","indirect migration background","East Germany","","","","","4"
"Sometimes","2012","direct migration background","West Germany","","","","","3"
"Sometimes","2012","no migration background","West Germany","","","","","3"
"Sometimes","2012","no migration background","East Germany","","","","","3"
"Sometimes","2012","indirect migration background","West Germany","","","","","3"
"Sometimes","2012","direct migration background","East Germany","","","","","3"
"Sometimes","2012","indirect migration background","East Germany","","","","","3"
"Very often","2012","no migration background","West Germany","","","","","1"
"Very often","2012","no migration background","East Germany","","","","","1"
"Very often","2012","direct migration background","West Germany","","","","","1"
"Very often","2012","direct migration background","East Germany","","","","","1"
"Very often","2012","indirect migration background","East Germany","","","","","1"
"Very often","2012","indirect migration background","West Germany","","","","","1"
"Never","2013","no migration background","West Germany","8174","0.549202059213897","0.541526209557963","0.556877908869831","5"
"Never","2013","no migration background","East Germany","3142","0.588234561640012","0.575239674677145","0.60122944860288","5"
"Never","2013","direct migration background","West Germany","1458","0.615522315421531","0.596475822131726","0.634568808711336","5"
"Never","2013","direct migration background","East Germany","83","0.715080665690056","0.639497289751526","0.790664041628585","5"
"Never","2013","indirect migration background","West Germany","585","0.570779445790793","0.541555980560988","0.600002911020597","5"
"Never","2013","indirect migration background","East Germany","37","0.371153469349219","0.260328975161282","0.481977963537157","5"
"Often","2013","no migration background","West Germany","1961","0.102297576523904","0.0976227199518606","0.106972433095948","2"
"Often","2013","no migration background","East Germany","503","0.0850469834498774","0.0776815019108866","0.0924124649888681","2"
"Often","2013","direct migration background","West Germany","261","0.0846556737681237","0.0737568949270075","0.0955544526092399","2"
"Often","2013","direct migration background","East Germany","13","","","","2"
"Often","2013","indirect migration background","West Germany","105","0.0752573714327275","0.0596818621678629","0.0908328806975922","2"
"Often","2013","indirect migration background","East Germany","5","","","","2"
"Rarely","2013","no migration background","West Germany","2945","0.185308937644173","0.179314974356441","0.191302900931905","4"
"Rarely","2013","no migration background","East Germany","1027","0.182124879064484","0.171934263261083","0.192315494867885","4"
"Rarely","2013","direct migration background","West Germany","377","0.155651681911402","0.141457992819131","0.169845371003673","4"
"Rarely","2013","direct migration background","East Germany","18","","","","4"
"Rarely","2013","indirect migration background","East Germany","18","","","","4"
"Rarely","2013","indirect migration background","West Germany","191","0.156132847238316","0.13470189468603","0.177563799790602","4"
"Sometimes","2013","no migration background","West Germany","1866","0.104247627390475","0.0995335523353051","0.108961702445644","3"
"Sometimes","2013","no migration background","East Germany","581","0.103485495921694","0.0954430028719975","0.111527988971391","3"
"Sometimes","2013","direct migration background","West Germany","272","0.0905405307036819","0.0793055908909827","0.101775470516381","3"
"Sometimes","2013","direct migration background","East Germany","14","","","","3"
"Sometimes","2013","indirect migration background","West Germany","115","0.131021004499619","0.111099029276131","0.150942979723107","3"
"Sometimes","2013","indirect migration background","East Germany","13","","","","3"
"Very often","2013","no migration background","West Germany","1196","0.0589437992275511","0.0553105410281368","0.0625770574269654","1"
"Very often","2013","no migration background","East Germany","257","0.0411080799239322","0.0358657938454724","0.046350366002392","1"
"Very often","2013","direct migration background","West Germany","138","0.0536297981952614","0.0448093395583448","0.062450256832178","1"
"Very often","2013","direct migration background","East Germany","9","","","","1"
"Very often","2013","indirect migration background","West Germany","106","0.0668093310385444","0.0520671734563989","0.0815514886206898","1"
"Very often","2013","indirect migration background","East Germany","","","","","1"
"Never","2014","no migration background","East Germany","","","","","5"
"Never","2014","direct migration background","West Germany","","","","","5"
"Never","2014","indirect migration background","West Germany","","","","","5"
"Never","2014","indirect migration background","East Germany","","","","","5"
"Never","2014","no migration background","West Germany","","","","","5"
"Never","2014","direct migration background","East Germany","","","","","5"
"Often","2014","no migration background","West Germany","","","","","2"
"Often","2014","no migration background","East Germany","","","","","2"
"Often","2014","direct migration background","West Germany","","","","","2"
"Often","2014","direct migration background","East Germany","","","","","2"
"Often","2014","indirect migration background","West Germany","","","","","2"
"Often","2014","indirect migration background","East Germany","","","","","2"
"Rarely","2014","no migration background","West Germany","","","","","4"
"Rarely","2014","no migration background","East Germany","","","","","4"
"Rarely","2014","direct migration background","West Germany","","","","","4"
"Rarely","2014","direct migration background","East Germany","","","","","4"
"Rarely","2014","indirect migration background","East Germany","","","","","4"
"Rarely","2014","indirect migration background","West Germany","","","","","4"
"Sometimes","2014","no migration background","West Germany","","","","","3"
"Sometimes","2014","no migration background","East Germany","","","","","3"
"Sometimes","2014","direct migration background","West Germany","","","","","3"
"Sometimes","2014","direct migration background","East Germany","","","","","3"
"Sometimes","2014","indirect migration background","West Germany","","","","","3"
"Sometimes","2014","indirect migration background","East Germany","","","","","3"
"Very often","2014","no migration background","West Germany","","","","","1"
"Very often","2014","no migration background","East Germany","","","","","1"
"Very often","2014","direct migration background","West Germany","","","","","1"
"Very often","2014","indirect migration background","West Germany","","","","","1"
"Very often","2014","direct migration background","East Germany","","","","","1"
"Very often","2014","indirect migration background","East Germany","","","","","1"
"Never","2015","no migration background","West Germany","","","","","5"
"Never","2015","no migration background","East Germany","","","","","5"
"Never","2015","direct migration background","West Germany","","","","","5"
"Never","2015","direct migration background","East Germany","","","","","5"
"Never","2015","indirect migration background","West Germany","","","","","5"
"Never","2015","indirect migration background","East Germany","","","","","5"
"Often","2015","no migration background","West Germany","","","","","2"
"Often","2015","direct migration background","West Germany","","","","","2"
"Often","2015","no migration background","East Germany","","","","","2"
"Often","2015","indirect migration background","West Germany","","","","","2"
"Often","2015","direct migration background","East Germany","","","","","2"
"Often","2015","indirect migration background","East Germany","","","","","2"
"Rarely","2015","no migration background","West Germany","","","","","4"
"Rarely","2015","direct migration background","West Germany","","","","","4"
"Rarely","2015","no migration background","East Germany","","","","","4"
"Rarely","2015","indirect migration background","West Germany","","","","","4"
"Rarely","2015","direct migration background","East Germany","","","","","4"
"Rarely","2015","indirect migration background","East Germany","","","","","4"
"Sometimes","2015","no migration background","West Germany","","","","","3"
"Sometimes","2015","no migration background","East Germany","","","","","3"
"Sometimes","2015","direct migration background","West Germany","","","","","3"
"Sometimes","2015","indirect migration background","West Germany","","","","","3"
"Sometimes","2015","indirect migration background","East Germany","","","","","3"
"Sometimes","2015","direct migration background","East Germany","","","","","3"
"Very often","2015","no migration background","West Germany","","","","","1"
"Very often","2015","no migration background","East Germany","","","","","1"
"Very often","2015","direct migration background","East Germany","","","","","1"
"Very often","2015","direct migration background","West Germany","","","","","1"
"Very often","2015","indirect migration background","East Germany","","","","","1"
"Very often","2015","indirect migration background","West Germany","","","","","1"
"Never","2016","no migration background","West Germany","","","","","5"
"Never","2016","no migration background","East Germany","","","","","5"
"Never","2016","direct migration background","West Germany","","","","","5"
"Never","2016","direct migration background","East Germany","","","","","5"
"Never","2016","indirect migration background","West Germany","","","","","5"
"Never","2016","indirect migration background","East Germany","","","","","5"
"Often","2016","no migration background","West Germany","","","","","2"
"Often","2016","no migration background","East Germany","","","","","2"
"Often","2016","direct migration background","West Germany","","","","","2"
"Often","2016","direct migration background","East Germany","","","","","2"
"Often","2016","indirect migration background","East Germany","","","","","2"
"Often","2016","indirect migration background","West Germany","","","","","2"
"Rarely","2016","no migration background","West Germany","","","","","4"
"Rarely","2016","direct migration background","West Germany","","","","","4"
"Rarely","2016","no migration background","East Germany","","","","","4"
"Rarely","2016","direct migration background","East Germany","","","","","4"
"Rarely","2016","indirect migration background","West Germany","","","","","4"
"Rarely","2016","indirect migration background","East Germany","","","","","4"
"Sometimes","2016","no migration background","East Germany","","","","","3"
"Sometimes","2016","indirect migration background","West Germany","","","","","3"
"Sometimes","2016","no migration background","West Germany","","","","","3"
"Sometimes","2016","direct migration background","West Germany","","","","","3"
"Sometimes","2016","direct migration background","East Germany","","","","","3"
"Sometimes","2016","indirect migration background","East Germany","","","","","3"
"Very often","2016","no migration background","West Germany","","","","","1"
"Very often","2016","no migration background","East Germany","","","","","1"
"Very often","2016","direct migration background","West Germany","","","","","1"
"Very often","2016","indirect migration background","West Germany","","","","","1"
"Very often","2016","indirect migration background","East Germany","","","","","1"
"Very often","2016","direct migration background","East Germany","","","","","1"
"Never","2017","no migration background","West Germany","","","","","5"
"Never","2017","no migration background","East Germany","","","","","5"
"Never","2017","direct migration background","West Germany","","","","","5"
"Never","2017","indirect migration background","West Germany","","","","","5"
"Never","2017","indirect migration background","East Germany","","","","","5"
"Never","2017","direct migration background","East Germany","","","","","5"
"Often","2017","no migration background","West Germany","","","","","2"
"Often","2017","direct migration background","West Germany","","","","","2"
"Often","2017","no migration background","East Germany","","","","","2"
"Often","2017","indirect migration background","West Germany","","","","","2"
"Often","2017","direct migration background","East Germany","","","","","2"
"Often","2017","indirect migration background","East Germany","","","","","2"
"Rarely","2017","no migration background","West Germany","","","","","4"
"Rarely","2017","no migration background","East Germany","","","","","4"
"Rarely","2017","direct migration background","West Germany","","","","","4"
"Rarely","2017","direct migration background","East Germany","","","","","4"
"Rarely","2017","indirect migration background","East Germany","","","","","4"
"Rarely","2017","indirect migration background","West Germany","","","","","4"
"Sometimes","2017","no migration background","West Germany","","","","","3"
"Sometimes","2017","direct migration background","West Germany","","","","","3"
"Sometimes","2017","direct migration background","East Germany","","","","","3"
"Sometimes","2017","indirect migration background","East Germany","","","","","3"
"Sometimes","2017","no migration background","East Germany","","","","","3"
"Sometimes","2017","indirect migration background","West Germany","","","","","3"
"Very often","2017","no migration background","West Germany","","","","","1"
"Very often","2017","no migration background","East Germany","","","","","1"
"Very often","2017","direct migration background","West Germany","","","","","1"
"Very often","2017","direct migration background","East Germany","","","","","1"
"Very often","2017","indirect migration background","West Germany","","","","","1"
"Very often","2017","indirect migration background","East Germany","","","","","1"
"Never","2018","no migration background","West Germany","7415","0.526846076070686","0.51872230862255","0.534969843518822","5"
"Never","2018","no migration background","East Germany","2986","0.610635572131067","0.597165786888025","0.62410535737411","5"
"Never","2018","direct migration background","West Germany","2538","0.606219131313758","0.591201323952919","0.621236938674598","5"
"Never","2018","direct migration background","East Germany","232","0.648424291224003","0.598259669983477","0.69858891246453","5"
"Never","2018","indirect migration background","West Germany","861","0.561050855866799","0.536565703580496","0.585536008153102","5"
"Never","2018","indirect migration background","East Germany","66","0.537149389270567","0.44867121766711","0.625627560874023","5"
"Often","2018","no migration background","West Germany","1603","0.100207380306497","0.095321582924641","0.105093177688353","2"
"Often","2018","direct migration background","West Germany","353","0.084780939792232","0.0762189235943609","0.0933429559901032","2"
"Often","2018","no migration background","East Germany","467","0.0913061105514451","0.0833490949278283","0.0992631261750618","2"
"Often","2018","indirect migration background","West Germany","174","0.107180853432076","0.0919180277347514","0.122443679129401","2"
"Often","2018","indirect migration background","East Germany","16","","","","2"
"Often","2018","direct migration background","East Germany","27","","","","2"
"Rarely","2018","no migration background","West Germany","2640","0.18463576338229","0.178322584032787","0.190948942731794","4"
