"pld0045","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Sometimes","2004","Employed","Full Time","","","",""
"Sometimes","2004","Employed","Part Time","","","",""
"Sometimes","2004","Employed","Not Working","","","",""
"Rarely","2004","Not Employed","Full Time","","","",""
"Rarely","2004","Not Employed","Part Time","","","",""
"Rarely","2004","Not Employed","Not Working","","","",""
"Rarely","2004","Employed","Full Time","","","",""
"Rarely","2004","Employed","Part Time","","","",""
"Rarely","2004","Employed","Not Working","","","",""
"Never","2004","Not Employed","Full Time","","","",""
"Never","2004","Not Employed","Part Time","","","",""
"Never","2004","Not Employed","Not Working","","","",""
"Never","2004","Employed","Full Time","","","",""
"Never","2004","Employed","Part Time","","","",""
"Never","2004","Employed","Not Working","","","",""
"Very often","2005","Not Employed","Full Time","","","",""
"Very often","2005","Not Employed","Part Time","","","",""
"Very often","2005","Not Employed","Not Working","","","",""
"Very often","2005","Employed","Full Time","","","",""
"Very often","2005","Employed","Part Time","","","",""
"Very often","2005","Employed","Not Working","","","",""
"Often","2005","Not Employed","Full Time","","","",""
"Often","2005","Not Employed","Part Time","","","",""
"Often","2005","Not Employed","Not Working","","","",""
"Often","2005","Employed","Full Time","","","",""
"Often","2005","Employed","Part Time","","","",""
"Often","2005","Employed","Not Working","","","",""
"Sometimes","2005","Not Employed","Full Time","","","",""
"Sometimes","2005","Not Employed","Part Time","","","",""
"Sometimes","2005","Not Employed","Not Working","","","",""
"Sometimes","2005","Employed","Full Time","","","",""
"Sometimes","2005","Employed","Part Time","","","",""
"Sometimes","2005","Employed","Not Working","","","",""
"Rarely","2005","Not Employed","Full Time","","","",""
"Rarely","2005","Not Employed","Part Time","","","",""
"Rarely","2005","Not Employed","Not Working","","","",""
"Rarely","2005","Employed","Full Time","","","",""
"Rarely","2005","Employed","Part Time","","","",""
"Rarely","2005","Employed","Not Working","","","",""
"Never","2005","Not Employed","Full Time","","","",""
"Never","2005","Not Employed","Part Time","","","",""
"Never","2005","Not Employed","Not Working","","","",""
"Never","2005","Employed","Full Time","","","",""
"Never","2005","Employed","Part Time","","","",""
"Never","2005","Employed","Not Working","","","",""
"Very often","2006","Not Employed","Full Time","","","",""
"Very often","2006","Not Employed","Part Time","","","",""
"Very often","2006","Not Employed","Not Working","","","",""
"Very often","2006","Employed","Full Time","","","",""
"Very often","2006","Employed","Part Time","","","",""
"Very often","2006","Employed","Not Working","","","",""
"Often","2006","Not Employed","Full Time","","","",""
"Often","2006","Not Employed","Part Time","","","",""
"Often","2006","Not Employed","Not Working","","","",""
"Often","2006","Employed","Full Time","","","",""
"Often","2006","Employed","Part Time","","","",""
"Often","2006","Employed","Not Working","","","",""
"Sometimes","2006","Not Employed","Full Time","","","",""
"Sometimes","2006","Not Employed","Part Time","","","",""
"Sometimes","2006","Not Employed","Not Working","","","",""
"Sometimes","2006","Employed","Full Time","","","",""
"Sometimes","2006","Employed","Part Time","","","",""
"Sometimes","2006","Employed","Not Working","","","",""
"Rarely","2006","Not Employed","Full Time","","","",""
"Rarely","2006","Not Employed","Part Time","","","",""
"Rarely","2006","Not Employed","Not Working","","","",""
"Rarely","2006","Employed","Full Time","","","",""
"Rarely","2006","Employed","Part Time","","","",""
"Rarely","2006","Employed","Not Working","","","",""
"Never","2006","Not Employed","Full Time","","","",""
"Never","2006","Not Employed","Part Time","","","",""
"Never","2006","Not Employed","Not Working","","","",""
"Never","2006","Employed","Full Time","","","",""
"Never","2006","Employed","Part Time","","","",""
"Never","2006","Employed","Not Working","","","",""
"Very often","2007","Not Employed","Full Time","","","",""
"Very often","2007","Not Employed","Part Time","","","",""
"Very often","2007","Not Employed","Not Working","","","",""
"Very often","2007","Employed","Full Time","","","",""
"Very often","2007","Employed","Part Time","","","",""
"Very often","2007","Employed","Not Working","","","",""
"Often","2007","Not Employed","Full Time","","","",""
"Often","2007","Not Employed","Part Time","","","",""
"Often","2007","Not Employed","Not Working","","","",""
"Often","2007","Employed","Full Time","","","",""
"Often","2007","Employed","Part Time","","","",""
"Often","2007","Employed","Not Working","","","",""
"Sometimes","2007","Not Employed","Full Time","","","",""
"Sometimes","2007","Not Employed","Part Time","","","",""
"Sometimes","2007","Not Employed","Not Working","","","",""
"Sometimes","2007","Employed","Full Time","","","",""
"Sometimes","2007","Employed","Part Time","","","",""
"Sometimes","2007","Employed","Not Working","","","",""
"Rarely","2007","Not Employed","Full Time","","","",""
"Rarely","2007","Not Employed","Part Time","","","",""
"Rarely","2007","Not Employed","Not Working","","","",""
"Rarely","2007","Employed","Full Time","","","",""
"Rarely","2007","Employed","Part Time","","","",""
"Rarely","2007","Employed","Not Working","","","",""
"Never","2007","Not Employed","Full Time","","","",""
"Never","2007","Not Employed","Part Time","","","",""
"Never","2007","Not Employed","Not Working","","","",""
"Never","2007","Employed","Full Time","","","",""
"Never","2007","Employed","Part Time","","","",""
"Never","2007","Employed","Not Working","","","",""
"Very often","2008","Not Employed","Full Time","","","",""
"Very often","2008","Not Employed","Part Time","","","",""
"Very often","2008","Not Employed","Not Working","290","0.0376932550467202","0.0333615467290418","0.0420249633643986"
"Very often","2008","Employed","Full Time","440","0.0591387470626444","0.053788499637117","0.0644889944881718"
"Very often","2008","Employed","Part Time","285","0.0634525326531886","0.0562569259263643","0.070648139380013"
"Very often","2008","Employed","Not Working","","","",""
"Often","2008","Not Employed","Full Time","","","",""
"Often","2008","Not Employed","Part Time","","","",""
"Often","2008","Not Employed","Not Working","527","0.0754529215464404","0.069445706708329","0.0814601363845518"
"Often","2008","Employed","Full Time","732","0.0969344976823363","0.0902237049805604","0.103645290384112"
"Often","2008","Employed","Part Time","470","0.101627886088657","0.0927089588895601","0.110546813287753"
"Often","2008","Employed","Not Working","","","",""
"Sometimes","2008","Not Employed","Full Time","","","",""
"Sometimes","2008","Not Employed","Part Time","","","",""
"Sometimes","2008","Not Employed","Not Working","595","0.0783936460924064","0.0722802324651038","0.0845070597197089"
"Sometimes","2008","Employed","Full Time","861","0.112836741742528","0.105660417423567","0.120013066061489"
"Sometimes","2008","Employed","Part Time","538","0.123257757405457","0.11355441987755","0.132961094933365"
"Sometimes","2008","Employed","Not Working","","","",""
"Rarely","2008","Not Employed","Full Time","","","",""
"Rarely","2008","Not Employed","Part Time","","","",""
"Rarely","2008","Not Employed","Not Working","1122","0.147168919672944","0.139111236645621","0.155226602700267"
"Rarely","2008","Employed","Full Time","1417","0.186365608198959","0.177533333870953","0.195197882526965"
"Rarely","2008","Employed","Part Time","833","0.198620720926273","0.186844407036052","0.210397034816495"
"Rarely","2008","Employed","Not Working","","","",""
"Never","2008","Not Employed","Full Time","","","",""
"Never","2008","Not Employed","Part Time","","","",""
"Never","2008","Not Employed","Not Working","4892","0.661291257641489","0.650527095960435","0.672055419322542"
"Never","2008","Employed","Full Time","4017","0.544724405313532","0.533429031265292","0.556019779361772"
"Never","2008","Employed","Part Time","2283","0.513041102926424","0.498287425819481","0.527794780033367"
"Never","2008","Employed","Not Working","","","",""
"Very often","2009","Not Employed","Full Time","","","",""
"Very often","2009","Not Employed","Part Time","","","",""
"Very often","2009","Not Employed","Not Working","","","",""
"Very often","2009","Employed","Full Time","","","",""
"Very often","2009","Employed","Part Time","","","",""
"Very often","2009","Employed","Not Working","","","",""
"Often","2009","Not Employed","Full Time","","","",""
"Often","2009","Not Employed","Part Time","","","",""
"Often","2009","Not Employed","Not Working","","","",""
"Often","2009","Employed","Full Time","","","",""
"Often","2009","Employed","Part Time","","","",""
"Often","2009","Employed","Not Working","","","",""
"Sometimes","2009","Not Employed","Full Time","","","",""
"Sometimes","2009","Not Employed","Part Time","","","",""
"Sometimes","2009","Not Employed","Not Working","","","",""
"Sometimes","2009","Employed","Full Time","","","",""
"Sometimes","2009","Employed","Part Time","","","",""
"Sometimes","2009","Employed","Not Working","","","",""
"Rarely","2009","Not Employed","Full Time","","","",""
"Rarely","2009","Not Employed","Part Time","","","",""
"Rarely","2009","Not Employed","Not Working","","","",""
"Rarely","2009","Employed","Full Time","","","",""
"Rarely","2009","Employed","Part Time","","","",""
"Rarely","2009","Employed","Not Working","","","",""
"Never","2009","Not Employed","Full Time","","","",""
"Never","2009","Not Employed","Part Time","","","",""
"Never","2009","Not Employed","Not Working","","","",""
"Never","2009","Employed","Full Time","","","",""
"Never","2009","Employed","Part Time","","","",""
"Never","2009","Employed","Not Working","","","",""
"Very often","2010","Not Employed","Full Time","","","",""
"Very often","2010","Not Employed","Part Time","","","",""
"Very often","2010","Not Employed","Not Working","","","",""
"Very often","2010","Employed","Full Time","","","",""
"Very often","2010","Employed","Part Time","","","",""
"Very often","2010","Employed","Not Working","","","",""
"Often","2010","Not Employed","Full Time","","","",""
"Often","2010","Not Employed","Part Time","","","",""
"Often","2010","Not Employed","Not Working","","","",""
"Often","2010","Employed","Full Time","","","",""
"Often","2010","Employed","Part Time","","","",""
"Often","2010","Employed","Not Working","","","",""
"Sometimes","2010","Not Employed","Full Time","","","",""
"Sometimes","2010","Not Employed","Part Time","","","",""
"Sometimes","2010","Not Employed","Not Working","","","",""
"Sometimes","2010","Employed","Full Time","","","",""
"Sometimes","2010","Employed","Part Time","","","",""
"Sometimes","2010","Employed","Not Working","","","",""
"Rarely","2010","Not Employed","Full Time","","","",""
"Rarely","2010","Not Employed","Part Time","","","",""
"Rarely","2010","Not Employed","Not Working","","","",""
"Rarely","2010","Employed","Full Time","","","",""
"Rarely","2010","Employed","Part Time","","","",""
"Rarely","2010","Employed","Not Working","","","",""
"Never","2010","Not Employed","Full Time","","","",""
"Never","2010","Not Employed","Part Time","","","",""
"Never","2010","Not Employed","Not Working","","","",""
"Never","2010","Employed","Full Time","","","",""
"Never","2010","Employed","Part Time","","","",""
"Never","2010","Employed","Not Working","","","",""
"Very often","2011","Not Employed","Full Time","","","",""
"Very often","2011","Not Employed","Part Time","","","",""
"Very often","2011","Not Employed","Not Working","","","",""
"Very often","2011","Employed","Full Time","","","",""
"Very often","2011","Employed","Part Time","","","",""
"Very often","2011","Employed","Not Working","","","",""
"Often","2011","Not Employed","Full Time","","","",""
"Often","2011","Not Employed","Part Time","","","",""
"Often","2011","Not Employed","Not Working","","","",""
"Often","2011","Employed","Full Time","","","",""
"Often","2011","Employed","Part Time","","","",""
"Often","2011","Employed","Not Working","","","",""
"Sometimes","2011","Not Employed","Full Time","","","",""
"Sometimes","2011","Not Employed","Part Time","","","",""
"Sometimes","2011","Not Employed","Not Working","","","",""
"Sometimes","2011","Employed","Full Time","","","",""
"Sometimes","2011","Employed","Part Time","","","",""
"Sometimes","2011","Employed","Not Working","","","",""
"Rarely","2011","Not Employed","Full Time","","","",""
"Rarely","2011","Not Employed","Part Time","","","",""
"Rarely","2011","Not Employed","Not Working","","","",""
"Rarely","2011","Employed","Full Time","","","",""
"Rarely","2011","Employed","Part Time","","","",""
"Rarely","2011","Employed","Not Working","","","",""
"Never","2011","Not Employed","Full Time","","","",""
"Never","2011","Not Employed","Part Time","","","",""
"Never","2011","Not Employed","Not Working","","","",""
"Never","2011","Employed","Full Time","","","",""
"Never","2011","Employed","Part Time","","","",""
"Never","2011","Employed","Not Working","","","",""
"Very often","2012","Not Employed","Full Time","","","",""
"Very often","2012","Not Employed","Part Time","","","",""
"Very often","2012","Not Employed","Not Working","","","",""
"Very often","2012","Employed","Full Time","","","",""
"Very often","2012","Employed","Part Time","","","",""
"Very often","2012","Employed","Not Working","","","",""
"Often","2012","Not Employed","Full Time","","","",""
"Often","2012","Not Employed","Part Time","","","",""
"Often","2012","Not Employed","Not Working","","","",""
"Often","2012","Employed","Full Time","","","",""
"Often","2012","Employed","Part Time","","","",""
"Often","2012","Employed","Not Working","","","",""
"Sometimes","2012","Not Employed","Full Time","","","",""
"Sometimes","2012","Not Employed","Part Time","","","",""
"Sometimes","2012","Not Employed","Not Working","","","",""
"Sometimes","2012","Employed","Full Time","","","",""
"Sometimes","2012","Employed","Part Time","","","",""
"Sometimes","2012","Employed","Not Working","","","",""
"Rarely","2012","Not Employed","Full Time","","","",""
"Rarely","2012","Not Employed","Part Time","","","",""
"Rarely","2012","Not Employed","Not Working","","","",""
"Rarely","2012","Employed","Full Time","","","",""
"Rarely","2012","Employed","Part Time","","","",""
"Rarely","2012","Employed","Not Working","","","",""
"Never","2012","Not Employed","Full Time","","","",""
"Never","2012","Not Employed","Part Time","","","",""
"Never","2012","Not Employed","Not Working","","","",""
"Never","2012","Employed","Full Time","","","",""
"Never","2012","Employed","Part Time","","","",""
"Never","2012","Employed","Not Working","","","",""
"Very often","2013","Not Employed","Full Time","","","",""
"Very often","2013","Not Employed","Part Time","","","",""
"Very often","2013","Not Employed","Not Working","453","0.0440629744200917","0.0397676117242585","0.048358337115925"
"Very often","2013","Employed","Full Time","652","0.0576508036853885","0.0529897359403614","0.0623118714304155"
"Very often","2013","Employed","Part Time","601","0.0696227106301259","0.0637001773044565","0.0755452439557954"
"Very often","2013","Employed","Not Working","","","",""
"Often","2013","Not Employed","Full Time","","","",""
"Often","2013","Not Employed","Part Time","","","",""
"Often","2013","Not Employed","Not Working","731","0.0748962626763085","0.0693872523613066","0.0804052729913104"
"Often","2013","Employed","Full Time","1188","0.109367862399475","0.103126622978862","0.115609101820088"
"Often","2013","Employed","Part Time","929","0.111195652501072","0.103880060305989","0.118511244696156"
"Often","2013","Employed","Not Working","","","",""
"Sometimes","2013","Not Employed","Full Time","","","",""
"Sometimes","2013","Not Employed","Part Time","","","",""
"Sometimes","2013","Not Employed","Not Working","818","0.0913560991760698","0.0853261461926996","0.09738605215944"
"Sometimes","2013","Employed","Full Time","1152","0.108246620230291","0.102033548686974","0.114459691773608"
"Sometimes","2013","Employed","Part Time","891","0.117119006210083","0.109636152202932","0.124601860217234"
"Sometimes","2013","Employed","Not Working","","","",""
"Rarely","2013","Not Employed","Full Time","","","",""
"Rarely","2013","Not Employed","Part Time","","","",""
"Rarely","2013","Not Employed","Not Working","1415","0.156980968373453","0.149367360843503","0.164594575903404"
"Rarely","2013","Employed","Full Time","1889","0.19811564121782","0.190145022159756","0.206086260275884"
"Rarely","2013","Employed","Part Time","1272","0.19353380683906","0.184340452447327","0.202727161230793"
"Rarely","2013","Employed","Not Working","","","",""
"Never","2013","Not Employed","Full Time","","","",""
"Never","2013","Not Employed","Part Time","","","",""
"Never","2013","Not Employed","Not Working","5353","0.632703695354077","0.622614494701446","0.642792896006707"
"Never","2013","Employed","Full Time","4725","0.526619072467026","0.516634477089711","0.536603667844341"
"Never","2013","Employed","Part Time","3401","0.508528823819659","0.496895352802527","0.520162294836791"
"Never","2013","Employed","Not Working","","","",""
"Very often","2014","Not Employed","Full Time","","","",""
"Very often","2014","Not Employed","Part Time","","","",""
"Very often","2014","Not Employed","Not Working","","","",""
"Very often","2014","Employed","Full Time","","","",""
"Very often","2014","Employed","Part Time","","","",""
"Very often","2014","Employed","Not Working","","","",""
"Often","2014","Not Employed","Full Time","","","",""
"Often","2014","Not Employed","Part Time","","","",""
"Often","2014","Not Employed","Not Working","","","",""
"Often","2014","Employed","Full Time","","","",""
"Often","2014","Employed","Part Time","","","",""
"Often","2014","Employed","Not Working","","","",""
"Sometimes","2014","Not Employed","Full Time","","","",""
"Sometimes","2014","Not Employed","Part Time","","","",""
"Sometimes","2014","Not Employed","Not Working","","","",""
"Sometimes","2014","Employed","Full Time","","","",""
"Sometimes","2014","Employed","Part Time","","","",""
"Sometimes","2014","Employed","Not Working","","","",""
"Rarely","2014","Not Employed","Full Time","","","",""
"Rarely","2014","Not Employed","Part Time","","","",""
"Rarely","2014","Not Employed","Not Working","","","",""
"Rarely","2014","Employed","Full Time","","","",""
"Rarely","2014","Employed","Part Time","","","",""
"Rarely","2014","Employed","Not Working","","","",""
"Never","2014","Not Employed","Full Time","","","",""
"Never","2014","Not Employed","Part Time","","","",""
"Never","2014","Not Employed","Not Working","","","",""
"Never","2014","Employed","Full Time","","","",""
"Never","2014","Employed","Part Time","","","",""
"Never","2014","Employed","Not Working","","","",""
"Very often","2015","Not Employed","Full Time","","","",""
"Very often","2015","Not Employed","Part Time","","","",""
"Very often","2015","Not Employed","Not Working","","","",""
"Very often","2015","Employed","Full Time","","","",""
"Very often","2015","Employed","Part Time","","","",""
"Very often","2015","Employed","Not Working","","","",""
"Often","2015","Not Employed","Full Time","","","",""
"Often","2015","Not Employed","Part Time","","","",""
"Often","2015","Not Employed","Not Working","","","",""
"Often","2015","Employed","Full Time","","","",""
"Often","2015","Employed","Part Time","","","",""
"Often","2015","Employed","Not Working","","","",""
"Sometimes","2015","Not Employed","Full Time","","","",""
"Sometimes","2015","Not Employed","Part Time","","","",""
"Sometimes","2015","Not Employed","Not Working","","","",""
"Sometimes","2015","Employed","Full Time","","","",""
"Sometimes","2015","Employed","Part Time","","","",""
"Sometimes","2015","Employed","Not Working","","","",""
"Rarely","2015","Not Employed","Full Time","","","",""
"Rarely","2015","Not Employed","Part Time","","","",""
"Rarely","2015","Not Employed","Not Working","","","",""
"Rarely","2015","Employed","Full Time","","","",""
"Rarely","2015","Employed","Part Time","","","",""
"Rarely","2015","Employed","Not Working","","","",""
"Never","2015","Not Employed","Full Time","","","",""
"Never","2015","Not Employed","Part Time","","","",""
"Never","2015","Not Employed","Not Working","","","",""
"Never","2015","Employed","Full Time","","","",""
"Never","2015","Employed","Part Time","","","",""
"Never","2015","Employed","Not Working","","","",""
"Very often","2016","Not Employed","Full Time","","","",""
"Very often","2016","Not Employed","Part Time","","","",""
"Very often","2016","Not Employed","Not Working","","","",""
"Very often","2016","Employed","Full Time","","","",""
"Very often","2016","Employed","Part Time","","","",""
"Very often","2016","Employed","Not Working","","","",""
"Often","2016","Not Employed","Full Time","","","",""
"Often","2016","Not Employed","Part Time","","","",""
"Often","2016","Not Employed","Not Working","","","",""
"Often","2016","Employed","Full Time","","","",""
"Often","2016","Employed","Part Time","","","",""
"Often","2016","Employed","Not Working","","","",""
"Sometimes","2016","Not Employed","Full Time","","","",""
"Sometimes","2016","Not Employed","Part Time","","","",""
"Sometimes","2016","Not Employed","Not Working","","","",""
"Sometimes","2016","Employed","Full Time","","","",""
"Sometimes","2016","Employed","Part Time","","","",""
"Sometimes","2016","Employed","Not Working","","","",""
"Rarely","2016","Not Employed","Full Time","","","",""
"Rarely","2016","Not Employed","Part Time","","","",""
"Rarely","2016","Not Employed","Not Working","","","",""
"Rarely","2016","Employed","Full Time","","","",""
"Rarely","2016","Employed","Part Time","","","",""
"Rarely","2016","Employed","Not Working","","","",""
"Never","2016","Not Employed","Full Time","","","",""
"Never","2016","Not Employed","Part Time","","","",""
"Never","2016","Not Employed","Not Working","","","",""
"Never","2016","Employed","Full Time","","","",""
"Never","2016","Employed","Part Time","","","",""
"Never","2016","Employed","Not Working","","","",""
"Very often","2017","Not Employed","Full Time","","","",""
"Very often","2017","Not Employed","Part Time","","","",""
"Very often","2017","Not Employed","Not Working","","","",""
"Very often","2017","Employed","Full Time","","","",""
"Very often","2017","Employed","Part Time","","","",""
"Very often","2017","Employed","Not Working","","","",""
"Often","2017","Not Employed","Full Time","","","",""
"Often","2017","Not Employed","Part Time","","","",""
"Often","2017","Not Employed","Not Working","","","",""
"Often","2017","Employed","Full Time","","","",""
"Often","2017","Employed","Part Time","","","",""
"Often","2017","Employed","Not Working","","","",""
"Sometimes","2017","Not Employed","Full Time","","","",""
"Sometimes","2017","Not Employed","Part Time","","","",""
"Sometimes","2017","Not Employed","Not Working","","","",""
"Sometimes","2017","Employed","Full Time","","","",""
"Sometimes","2017","Employed","Part Time","","","",""
"Sometimes","2017","Employed","Not Working","","","",""
"Rarely","2017","Not Employed","Full Time","","","",""
"Rarely","2017","Not Employed","Part Time","","","",""
"Rarely","2017","Not Employed","Not Working","","","",""
"Rarely","2017","Employed","Full Time","","","",""
"Rarely","2017","Employed","Part Time","","","",""
"Rarely","2017","Employed","Not Working","","","",""
"Never","2017","Not Employed","Full Time","","","",""
"Never","2017","Not Employed","Part Time","","","",""
"Never","2017","Not Employed","Not Working","","","",""
"Never","2017","Employed","Full Time","","","",""
"Never","2017","Employed","Part Time","","","",""
"Never","2017","Employed","Not Working","","","",""
"Very often","2018","Not Employed","Full Time","","","",""
"Very often","2018","Not Employed","Part Time","","","",""
"Very often","2018","Not Employed","Not Working","442","0.0499590950240271","0.0452551426183846","0.0546630474296696"
"Very often","2018","Employed","Full Time","710","0.0659286954712583","0.0610403966081727","0.0708169943343438"
"Very often","2018","Employed","Part Time","647","0.0827269066889425","0.0765000388200078","0.0889537745578772"
"Very often","2018","Employed","Not Working","","","",""
"Often","2018","Not Employed","Full Time","","","",""
"Often","2018","Not Employed","Part Time","","","",""
"Often","2018","Not Employed","Not Working","672","0.0740715859297328","0.0684170233788014","0.0797261484806643"
"Often","2018","Employed","Full Time","1091","0.105069398352429","0.0990290317755276","0.11110976492933"
"Often","2018","Employed","Part Time","877","0.114173242729045","0.106984490826486","0.121361994631603"
"Often","2018","Employed","Not Working","","","",""
"Sometimes","2018","Not Employed","Full Time","","","",""
"Sometimes","2018","Not Employed","Part Time","","","",""
"Sometimes","2018","Not Employed","Not Working","756","0.0940118029814523","0.0877104044707403","0.100313201492164"
"Sometimes","2018","Employed","Full Time","1165","0.120202169847765","0.113796300292736","0.126608039402795"
"Sometimes","2018","Employed","Part Time","892","0.117908521350536","0.110618541294315","0.125198501406757"
"Sometimes","2018","Employed","Not Working","","","",""
"Rarely","2018","Not Employed","Full Time","","","",""
"Rarely","2018","Not Employed","Part Time","","","",""
"Rarely","2018","Not Employed","Not Working","1270","0.158669146019045","0.150780288082024","0.166558003956066"
"Rarely","2018","Employed","Full Time","1746","0.187319239945526","0.179633570953546","0.195004908937507"
"Rarely","2018","Employed","Part Time","1292","0.17136392740364","0.162845909443003","0.179881945364276"
"Rarely","2018","Employed","Not Working","","","",""
"Never","2018","Not Employed","Full Time","","","",""
"Never","2018","Not Employed","Part Time","","","",""
"Never","2018","Not Employed","Not Working","5100","0.623288370045743","0.612825917265099","0.633750822826388"
"Never","2018","Employed","Full Time","5188","0.521480496383021","0.51164040003878","0.531320592727263"
"Never","2018","Employed","Part Time","3810","0.513827401827837","0.502529421882746","0.525125381772928"
"Never","2018","Employed","Not Working","","","",""
