"pld0045","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","2008","middle vocational","5809","0.597853282561055","0.588105027743072","0.607601537379038"
"Never","2008","vocational + Abi","609","0.547301663459505","0.517819532918514","0.576783794000496"
"Never","2008","higher vocational","763","0.554908628078466","0.528995947793964","0.580821308362968"
"Never","2008","higher education","2209","0.527148497016235","0.512029541680541","0.542267452351929"
"Very often","2009","in school","","","",""
"Very often","2009","inadequately","","","",""
"Very often","2009","general elemantary","","","",""
"Very often","2009","middle vocational","","","",""
"Very often","2009","vocational + Abi","","","",""
"Very often","2009","higher vocational","","","",""
"Very often","2009","higher education","","","",""
"Often","2009","in school","","","",""
"Often","2009","inadequately","","","",""
"Often","2009","general elemantary","","","",""
"Often","2009","middle vocational","","","",""
"Often","2009","vocational + Abi","","","",""
"Often","2009","higher vocational","","","",""
"Often","2009","higher education","","","",""
"Sometimes","2009","in school","","","",""
"Sometimes","2009","inadequately","","","",""
"Sometimes","2009","general elemantary","","","",""
"Sometimes","2009","middle vocational","","","",""
"Sometimes","2009","vocational + Abi","","","",""
"Sometimes","2009","higher vocational","","","",""
"Sometimes","2009","higher education","","","",""
"Rarely","2009","in school","","","",""
"Rarely","2009","inadequately","","","",""
"Rarely","2009","general elemantary","","","",""
"Rarely","2009","middle vocational","","","",""
"Rarely","2009","vocational + Abi","","","",""
"Rarely","2009","higher vocational","","","",""
"Rarely","2009","higher education","","","",""
"Never","2009","in school","","","",""
"Never","2009","inadequately","","","",""
"Never","2009","general elemantary","","","",""
"Never","2009","middle vocational","","","",""
"Never","2009","vocational + Abi","","","",""
"Never","2009","higher vocational","","","",""
"Never","2009","higher education","","","",""
"Very often","2010","in school","","","",""
"Very often","2010","inadequately","","","",""
"Very often","2010","general elemantary","","","",""
"Very often","2010","middle vocational","","","",""
"Very often","2010","vocational + Abi","","","",""
"Very often","2010","higher vocational","","","",""
"Very often","2010","higher education","","","",""
"Often","2010","in school","","","",""
"Often","2010","inadequately","","","",""
"Often","2010","general elemantary","","","",""
"Often","2010","middle vocational","","","",""
"Often","2010","vocational + Abi","","","",""
"Often","2010","higher vocational","","","",""
"Often","2010","higher education","","","",""
"Sometimes","2010","in school","","","",""
"Sometimes","2010","inadequately","","","",""
"Sometimes","2010","general elemantary","","","",""
"Sometimes","2010","middle vocational","","","",""
"Sometimes","2010","vocational + Abi","","","",""
"Sometimes","2010","higher vocational","","","",""
"Sometimes","2010","higher education","","","",""
"Rarely","2010","in school","","","",""
"Rarely","2010","inadequately","","","",""
"Rarely","2010","general elemantary","","","",""
"Rarely","2010","middle vocational","","","",""
"Rarely","2010","vocational + Abi","","","",""
"Rarely","2010","higher vocational","","","",""
"Rarely","2010","higher education","","","",""
"Never","2010","in school","","","",""
"Never","2010","inadequately","","","",""
"Never","2010","general elemantary","","","",""
"Never","2010","middle vocational","","","",""
"Never","2010","vocational + Abi","","","",""
"Never","2010","higher vocational","","","",""
"Never","2010","higher education","","","",""
"Very often","2011","in school","","","",""
"Very often","2011","inadequately","","","",""
"Very often","2011","general elemantary","","","",""
"Very often","2011","middle vocational","","","",""
"Very often","2011","vocational + Abi","","","",""
"Very often","2011","higher vocational","","","",""
"Very often","2011","higher education","","","",""
"Often","2011","in school","","","",""
"Often","2011","inadequately","","","",""
"Often","2011","general elemantary","","","",""
"Often","2011","middle vocational","","","",""
"Often","2011","vocational + Abi","","","",""
"Often","2011","higher vocational","","","",""
"Often","2011","higher education","","","",""
"Sometimes","2011","in school","","","",""
"Sometimes","2011","inadequately","","","",""
"Sometimes","2011","general elemantary","","","",""
"Sometimes","2011","middle vocational","","","",""
"Sometimes","2011","vocational + Abi","","","",""
"Sometimes","2011","higher vocational","","","",""
"Sometimes","2011","higher education","","","",""
"Rarely","2011","in school","","","",""
"Rarely","2011","inadequately","","","",""
"Rarely","2011","general elemantary","","","",""
"Rarely","2011","middle vocational","","","",""
"Rarely","2011","vocational + Abi","","","",""
"Rarely","2011","higher vocational","","","",""
"Rarely","2011","higher education","","","",""
"Never","2011","in school","","","",""
"Never","2011","inadequately","","","",""
"Never","2011","general elemantary","","","",""
"Never","2011","middle vocational","","","",""
"Never","2011","vocational + Abi","","","",""
"Never","2011","higher vocational","","","",""
"Never","2011","higher education","","","",""
"Very often","2012","in school","","","",""
"Very often","2012","inadequately","","","",""
"Very often","2012","general elemantary","","","",""
"Very often","2012","middle vocational","","","",""
"Very often","2012","vocational + Abi","","","",""
"Very often","2012","higher vocational","","","",""
"Very often","2012","higher education","","","",""
"Often","2012","in school","","","",""
"Often","2012","inadequately","","","",""
"Often","2012","general elemantary","","","",""
"Often","2012","middle vocational","","","",""
"Often","2012","vocational + Abi","","","",""
"Often","2012","higher vocational","","","",""
"Often","2012","higher education","","","",""
"Sometimes","2012","in school","","","",""
"Sometimes","2012","inadequately","","","",""
"Sometimes","2012","general elemantary","","","",""
"Sometimes","2012","middle vocational","","","",""
"Sometimes","2012","vocational + Abi","","","",""
"Sometimes","2012","higher vocational","","","",""
"Sometimes","2012","higher education","","","",""
"Rarely","2012","in school","","","",""
"Rarely","2012","inadequately","","","",""
"Rarely","2012","general elemantary","","","",""
"Rarely","2012","middle vocational","","","",""
"Rarely","2012","vocational + Abi","","","",""
"Rarely","2012","higher vocational","","","",""
"Rarely","2012","higher education","","","",""
"Never","2012","in school","","","",""
"Never","2012","inadequately","","","",""
"Never","2012","general elemantary","","","",""
"Never","2012","middle vocational","","","",""
"Never","2012","vocational + Abi","","","",""
"Never","2012","higher vocational","","","",""
"Never","2012","higher education","","","",""
"Very often","2013","in school","40","0.079876038462311","0.0544290568847659","0.105323020039856"
"Very often","2013","inadequately","26","","",""
"Very often","2013","general elemantary","130","0.0457507752459971","0.037674201007577","0.0538273494844172"
"Very often","2013","middle vocational","830","0.0522513279271407","0.0483348337435851","0.0561678221106963"
"Very often","2013","vocational + Abi","140","0.057210933179711","0.0463914069912299","0.068030459368192"
"Very often","2013","higher vocational","93","0.0536571672675569","0.0428753930744019","0.064438941460712"
"Very often","2013","higher education","404","0.0638066824035318","0.0575275093943943","0.0700858554126692"
"Often","2013","in school","38","0.0564551972752023","0.0347912258367717","0.0781191687136329"
"Often","2013","inadequately","31","0.0872340265465574","0.0566965005536356","0.117771552539479"
"Often","2013","general elemantary","237","0.072273099214394","0.0622639891064204","0.0822822093223675"
"Often","2013","middle vocational","1298","0.0919690973082347","0.0868831307068934","0.0970550639095759"
"Often","2013","vocational + Abi","217","0.103329537422929","0.089149083523098","0.11750999132276"
"Often","2013","higher vocational","245","0.124291875888419","0.108506563769544","0.140077188007293"
"Often","2013","higher education","738","0.1125344744347","0.104415425893187","0.120653522976213"
"Sometimes","2013","in school","43","0.130061711845016","0.09848813369601","0.161635289994023"
"Sometimes","2013","inadequately","33","0.0860921874643493","0.055736209041273","0.116448165887426"
"Sometimes","2013","general elemantary","268","0.101515770098158","0.0898417875731148","0.113189752623202"
"Sometimes","2013","middle vocational","1278","0.0961680485234195","0.0909793137230716","0.101356783323767"
"Sometimes","2013","vocational + Abi","212","0.107702252508396","0.0932602056644692","0.122144299352322"
"Sometimes","2013","higher vocational","202","0.113749926438896","0.0985582459717615","0.128941606906031"
"Sometimes","2013","higher education","772","0.117203655296195","0.108939709878448","0.125467600713941"
"Rarely","2013","in school","73","0.161875777127375","0.12730174940989","0.19644980484486"
"Rarely","2013","inadequately","49","0.123077908558917","0.0875244602959471","0.158631356821887"
"Rarely","2013","general elemantary","414","0.161486104750589","0.147262169584745","0.175710039916434"
"Rarely","2013","middle vocational","2159","0.177177852121579","0.170457996683552","0.183897707559605"
"Rarely","2013","vocational + Abi","317","0.194974605203597","0.17651785336488","0.213431357042314"
"Rarely","2013","higher vocational","347","0.203993325319448","0.184712818483435","0.223273832155461"
"Rarely","2013","higher education","1141","0.19458812394256","0.184417355221561","0.20475889266356"
"Never","2013","in school","242","0.571731275290095","0.525284132704335","0.618178417875856"
"Never","2013","inadequately","189","0.609762360352465","0.556971826545742","0.662552894159188"
"Never","2013","general elemantary","1522","0.618974250690861","0.600202252357243","0.637746249024479"
"Never","2013","middle vocational","6837","0.582433674119627","0.573754304176806","0.591113044062447"
"Never","2013","vocational + Abi","884","0.536782671685367","0.513552463584502","0.560012879786233"
"Never","2013","higher vocational","791","0.50430770508568","0.48038523618365","0.528230173987709"
"Never","2013","higher education","2765","0.511867063923013","0.499025017142665","0.52470911070336"
"Very often","2014","in school","","","",""
"Very often","2014","inadequately","","","",""
"Very often","2014","general elemantary","","","",""
"Very often","2014","middle vocational","","","",""
"Very often","2014","vocational + Abi","","","",""
"Very often","2014","higher vocational","","","",""
"Very often","2014","higher education","","","",""
"Often","2014","in school","","","",""
"Often","2014","inadequately","","","",""
"Often","2014","general elemantary","","","",""
"Often","2014","middle vocational","","","",""
"Often","2014","vocational + Abi","","","",""
"Often","2014","higher vocational","","","",""
"Often","2014","higher education","","","",""
"Sometimes","2014","in school","","","",""
"Sometimes","2014","inadequately","","","",""
"Sometimes","2014","general elemantary","","","",""
"Sometimes","2014","middle vocational","","","",""
"Sometimes","2014","vocational + Abi","","","",""
"Sometimes","2014","higher vocational","","","",""
"Sometimes","2014","higher education","","","",""
"Rarely","2014","in school","","","",""
"Rarely","2014","inadequately","","","",""
"Rarely","2014","general elemantary","","","",""
"Rarely","2014","middle vocational","","","",""
"Rarely","2014","vocational + Abi","","","",""
"Rarely","2014","higher vocational","","","",""
"Rarely","2014","higher education","","","",""
"Never","2014","in school","","","",""
"Never","2014","inadequately","","","",""
"Never","2014","general elemantary","","","",""
"Never","2014","middle vocational","","","",""
"Never","2014","vocational + Abi","","","",""
"Never","2014","higher vocational","","","",""
"Never","2014","higher education","","","",""
"Very often","2015","in school","","","",""
"Very often","2015","inadequately","","","",""
"Very often","2015","general elemantary","","","",""
"Very often","2015","middle vocational","","","",""
"Very often","2015","vocational + Abi","","","",""
"Very often","2015","higher vocational","","","",""
"Very often","2015","higher education","","","",""
"Often","2015","in school","","","",""
"Often","2015","inadequately","","","",""
"Often","2015","general elemantary","","","",""
"Often","2015","middle vocational","","","",""
"Often","2015","vocational + Abi","","","",""
"Often","2015","higher vocational","","","",""
"Often","2015","higher education","","","",""
"Sometimes","2015","in school","","","",""
"Sometimes","2015","inadequately","","","",""
"Sometimes","2015","general elemantary","","","",""
"Sometimes","2015","middle vocational","","","",""
"Sometimes","2015","vocational + Abi","","","",""
"Sometimes","2015","higher vocational","","","",""
"Sometimes","2015","higher education","","","",""
"Rarely","2015","in school","","","",""
"Rarely","2015","inadequately","","","",""
"Rarely","2015","general elemantary","","","",""
"Rarely","2015","middle vocational","","","",""
"Rarely","2015","vocational + Abi","","","",""
"Rarely","2015","higher vocational","","","",""
"Rarely","2015","higher education","","","",""
"Never","2015","in school","","","",""
"Never","2015","inadequately","","","",""
"Never","2015","general elemantary","","","",""
"Never","2015","middle vocational","","","",""
"Never","2015","vocational + Abi","","","",""
"Never","2015","higher vocational","","","",""
"Never","2015","higher education","","","",""
"Very often","2016","in school","","","",""
"Very often","2016","inadequately","","","",""
"Very often","2016","general elemantary","","","",""
"Very often","2016","middle vocational","","","",""
"Very often","2016","vocational + Abi","","","",""
"Very often","2016","higher vocational","","","",""
"Very often","2016","higher education","","","",""
"Often","2016","in school","","","",""
"Often","2016","inadequately","","","",""
"Often","2016","general elemantary","","","",""
"Often","2016","middle vocational","","","",""
"Often","2016","vocational + Abi","","","",""
"Often","2016","higher vocational","","","",""
"Often","2016","higher education","","","",""
"Sometimes","2016","in school","","","",""
"Sometimes","2016","inadequately","","","",""
"Sometimes","2016","general elemantary","","","",""
"Sometimes","2016","middle vocational","","","",""
"Sometimes","2016","vocational + Abi","","","",""
"Sometimes","2016","higher vocational","","","",""
"Sometimes","2016","higher education","","","",""
"Rarely","2016","in school","","","",""
"Rarely","2016","inadequately","","","",""
"Rarely","2016","general elemantary","","","",""
"Rarely","2016","middle vocational","","","",""
"Rarely","2016","vocational + Abi","","","",""
"Rarely","2016","higher vocational","","","",""
"Rarely","2016","higher education","","","",""
"Never","2016","in school","","","",""
"Never","2016","inadequately","","","",""
"Never","2016","general elemantary","","","",""
"Never","2016","middle vocational","","","",""
"Never","2016","vocational + Abi","","","",""
"Never","2016","higher vocational","","","",""
"Never","2016","higher education","","","",""
"Very often","2017","in school","","","",""
"Very often","2017","inadequately","","","",""
"Very often","2017","general elemantary","","","",""
"Very often","2017","middle vocational","","","",""
"Very often","2017","vocational + Abi","","","",""
"Very often","2017","higher vocational","","","",""
"Very often","2017","higher education","","","",""
"Often","2017","in school","","","",""
"Often","2017","inadequately","","","",""
"Often","2017","general elemantary","","","",""
"Often","2017","middle vocational","","","",""
"Often","2017","vocational + Abi","","","",""
"Often","2017","higher vocational","","","",""
"Often","2017","higher education","","","",""
"Sometimes","2017","in school","","","",""
"Sometimes","2017","inadequately","","","",""
"Sometimes","2017","general elemantary","","","",""
"Sometimes","2017","middle vocational","","","",""
"Sometimes","2017","vocational + Abi","","","",""
"Sometimes","2017","higher vocational","","","",""
"Sometimes","2017","higher education","","","",""
"Rarely","2017","in school","","","",""
"Rarely","2017","inadequately","","","",""
"Rarely","2017","general elemantary","","","",""
"Rarely","2017","middle vocational","","","",""
"Rarely","2017","vocational + Abi","","","",""
"Rarely","2017","higher vocational","","","",""
"Rarely","2017","higher education","","","",""
"Never","2017","in school","","","",""
"Never","2017","inadequately","","","",""
"Never","2017","general elemantary","","","",""
"Never","2017","middle vocational","","","",""
"Never","2017","vocational + Abi","","","",""
"Never","2017","higher vocational","","","",""
"Never","2017","higher education","","","",""
"Very often","2018","in school","25","","",""
"Very often","2018","inadequately","25","","",""
"Very often","2018","general elemantary","188","0.0656025201328328","0.0561937390554429","0.0750113012102227"
"Very often","2018","middle vocational","783","0.062238373933152","0.0578152294134017","0.0666615184529024"
"Very often","2018","vocational + Abi","175","0.0746604254117336","0.0634479946917343","0.0858728561317329"
"Very often","2018","higher vocational","89","0.0572555402688129","0.04528897364607","0.0692221068915558"
"Very often","2018","higher education","461","0.070548920582219","0.0642387376162199","0.076859103548218"
"Often","2018","in school","44","0.149392990990011","0.111445957412575","0.187340024567446"
"Often","2018","inadequately","47","0.0874909006377108","0.0622400741072947","0.112741727168127"
"Often","2018","general elemantary","230","0.0829003334814887","0.072421964698133","0.0933787022648444"
"Often","2018","middle vocational","1134","0.094220268210268","0.0888716789306855","0.0995688574898505"
"Often","2018","vocational + Abi","228","0.100001608132434","0.0872040139884153","0.112799202276452"
"Often","2018","higher vocational","175","0.11082854945154","0.0946595781713056","0.126997520731775"
"Often","2018","higher education","701","0.102809713166256","0.0953255568010421","0.11029386953147"
"Sometimes","2018","in school","35","0.108782834740467","0.0756376686872052","0.141928000793729"
"Sometimes","2018","inadequately","37","0.0894515127603963","0.0639467706707113","0.114956254850081"
"Sometimes","2018","general elemantary","256","0.105143868666696","0.0934871622657277","0.116800575067663"
"Sometimes","2018","middle vocational","1156","0.100989785854565","0.0954731182038482","0.106506453505282"
"Sometimes","2018","vocational + Abi","261","0.127422038723761","0.113197821728875","0.141646255718648"
"Sometimes","2018","higher vocational","174","0.134494201406504","0.116921012350782","0.152067390462226"
"Sometimes","2018","higher education","784","0.115899609099284","0.10801145703545","0.123787761163119"
"Rarely","2018","in school","49","0.147629150835556","0.109867706518249","0.185390595152863"
"Rarely","2018","inadequately","57","0.104531757117762","0.0771901037912802","0.131873410444243"
"Rarely","2018","general elemantary","340","0.136881074720516","0.123818935882921","0.14994321355811"
"Rarely","2018","middle vocational","1847","0.169172570912021","0.16230858837625","0.176036553447791"
"Rarely","2018","vocational + Abi","357","0.184752492517772","0.168196932832039","0.201308052203504"
"Rarely","2018","higher vocational","270","0.195762044582363","0.1753248942786","0.216199194886125"
"Rarely","2018","higher education","1246","0.198970650736973","0.189132754860068","0.208808546613877"
"Never","2018","in school","186","0.548369766376384","0.495394091645917","0.601345441106851"
"Never","2018","inadequately","315","0.670816344995625","0.628821449743497","0.712811240247754"
"Never","2018","general elemantary","1646","0.609472202998467","0.590932182927796","0.628012223069138"
"Never","2018","middle vocational","6540","0.573379001089995","0.564323806484716","0.582434195695273"
"Never","2018","vocational + Abi","1090","0.5131634352143","0.491841657034408","0.534485213394192"
"Never","2018","higher vocational","740","0.50165966429078","0.475906451168143","0.527412877413417"
"Never","2018","higher education","3134","0.511771106415268","0.499453307291284","0.524088905539252"
