"pld0043","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Often","2003","Saxony","direct migration background","4","","",""
"Often","2003","Saxony","indirect migration background","2","","",""
"Often","2003","Saxony-Anhalt","no migration background","167","0.176906265432845","0.152003872737858","0.201808658127832"
"Often","2003","Saxony-Anhalt","direct migration background","4","","",""
"Often","2003","Saxony-Anhalt","indirect migration background","2","","",""
"Often","2003","Thuringia","no migration background","117","0.125302996705189","0.104082681349079","0.146523312061299"
"Often","2003","Thuringia","direct migration background","","","",""
"Often","2003","Thuringia","indirect migration background","2","","",""
"Sometimes","2003","Schleswig-Holstein","no migration background","252","0.402506257461256","0.363068894507316","0.441943620415197"
"Sometimes","2003","Schleswig-Holstein","direct migration background","23","","",""
"Sometimes","2003","Schleswig-Holstein","indirect migration background","3","","",""
"Sometimes","2003","Hamburg","no migration background","104","0.361915726366797","0.303947651767329","0.419883800966264"
"Sometimes","2003","Hamburg","direct migration background","10","","",""
"Sometimes","2003","Hamburg","indirect migration background","3","","",""
"Sometimes","2003","Lower Saxony","no migration background","559","0.313770316508104","0.291428035249735","0.336112597766473"
"Sometimes","2003","Lower Saxony","direct migration background","79","0.37099767518263","0.305030756259349","0.436964594105911"
"Sometimes","2003","Lower Saxony","indirect migration background","19","","",""
"Sometimes","2003","Bremen","no migration background","45","0.294895513233387","0.220929453364263","0.368861573102511"
"Sometimes","2003","Bremen","direct migration background","15","","",""
"Sometimes","2003","Bremen","indirect migration background","1","","",""
"Sometimes","2003","North Rhine-Westphalia","no migration background","1403","0.36291629421142","0.347491457379323","0.378341131043517"
"Sometimes","2003","North Rhine-Westphalia","direct migration background","247","0.337311585315894","0.302485730903715","0.372137439728073"
"Sometimes","2003","North Rhine-Westphalia","indirect migration background","81","0.345786480611978","0.283913801086786","0.407659160137171"
"Sometimes","2003","Hesse","no migration background","431","0.345064979409061","0.317963755642183","0.372166203175939"
"Sometimes","2003","Hesse","direct migration background","70","0.293886215711797","0.236844575901925","0.350927855521669"
"Sometimes","2003","Hesse","indirect migration background","23","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","no migration background","337","0.29901055390899","0.271918384932464","0.326102722885515"
"Sometimes","2003","Rhineland-Palatinate,Saarland","direct migration background","62","0.300229853444511","0.234180758747348","0.366278948141674"
"Sometimes","2003","Rhineland-Palatinate,Saarland","indirect migration background","17","","",""
"Sometimes","2003","Baden-Württemberg","no migration background","717","0.371467057697917","0.349763106999588","0.393171008396246"
"Sometimes","2003","Baden-Württemberg","direct migration background","171","0.28649172302505","0.250132849788641","0.322850596261459"
"Sometimes","2003","Baden-Württemberg","indirect migration background","73","0.315884387189779","0.251133708118683","0.380635066260875"
"Sometimes","2003","Bavaria","no migration background","877","0.32081367184741","0.302905603679394","0.338721740015427"
"Sometimes","2003","Bavaria","direct migration background","110","0.247722510919878","0.205204565714342","0.290240456125413"
"Sometimes","2003","Bavaria","indirect migration background","57","0.390513301221253","0.304644128276556","0.476382474165951"
"Sometimes","2003","Berlin","no migration background","260","0.355367982662624","0.32038323624554","0.390352729079707"
"Sometimes","2003","Berlin","direct migration background","22","","",""
"Sometimes","2003","Berlin","indirect migration background","12","","",""
"Sometimes","2003","Brandenburg","no migration background","347","0.345364904413653","0.314722984836278","0.376006823991028"
"Sometimes","2003","Brandenburg","direct migration background","2","","",""
"Sometimes","2003","Brandenburg","indirect migration background","1","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","no migration background","169","0.314021830903213","0.273701483262523","0.354342178543903"
"Sometimes","2003","Mecklenburg-Western Pomerania","direct migration background","9","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Sometimes","2003","Saxony","no migration background","533","0.321959171176045","0.298906411915149","0.345011930436941"
"Sometimes","2003","Saxony","direct migration background","4","","",""
"Sometimes","2003","Saxony","indirect migration background","3","","",""
"Sometimes","2003","Saxony-Anhalt","no migration background","235","0.242281340094917","0.214319947514759","0.270242732675075"
"Sometimes","2003","Saxony-Anhalt","direct migration background","4","","",""
"Sometimes","2003","Saxony-Anhalt","indirect migration background","2","","",""
"Sometimes","2003","Thuringia","no migration background","316","0.284338851793226","0.255424456855449","0.313253246731003"
"Sometimes","2003","Thuringia","direct migration background","8","","",""
"Sometimes","2003","Thuringia","indirect migration background","","","",""
"Rarely","2003","Schleswig-Holstein","no migration background","170","0.294954717533954","0.258282172767327","0.331627262300581"
"Rarely","2003","Schleswig-Holstein","direct migration background","18","","",""
"Rarely","2003","Schleswig-Holstein","indirect migration background","2","","",""
"Rarely","2003","Hamburg","no migration background","66","0.266549993561156","0.213213958926742","0.319886028195571"
"Rarely","2003","Hamburg","direct migration background","7","","",""
"Rarely","2003","Hamburg","indirect migration background","1","","",""
"Rarely","2003","Lower Saxony","no migration background","470","0.305933191257251","0.283746079371542","0.328120303142961"
"Rarely","2003","Lower Saxony","direct migration background","49","0.182319151778163","0.129593429280488","0.235044874275839"
"Rarely","2003","Lower Saxony","indirect migration background","9","","",""
"Rarely","2003","Bremen","no migration background","37","0.274815487324678","0.202402489808062","0.347228484841293"
"Rarely","2003","Bremen","direct migration background","3","","",""
"Rarely","2003","Bremen","indirect migration background","","","",""
"Rarely","2003","North Rhine-Westphalia","no migration background","938","0.243265668574774","0.229502094454236","0.257029242695312"
"Rarely","2003","North Rhine-Westphalia","direct migration background","159","0.230895431115121","0.199854708172127","0.261936154058115"
"Rarely","2003","North Rhine-Westphalia","indirect migration background","31","0.150634661357821","0.104103393383164","0.197165929332477"
"Rarely","2003","Hesse","no migration background","315","0.249919396593658","0.225236660369654","0.274602132817661"
"Rarely","2003","Hesse","direct migration background","59","0.237635986462556","0.184339037622731","0.29093293530238"
"Rarely","2003","Hesse","indirect migration background","8","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","no migration background","296","0.268375547987843","0.242153877518579","0.294597218457107"
"Rarely","2003","Rhineland-Palatinate,Saarland","direct migration background","37","0.196813809476069","0.139521262829305","0.254106356122832"
"Rarely","2003","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"Rarely","2003","Baden-Württemberg","no migration background","558","0.296541267559005","0.276026032311179","0.317056502806831"
"Rarely","2003","Baden-Württemberg","direct migration background","163","0.297106796584422","0.260356924319628","0.333856668849216"
"Rarely","2003","Baden-Württemberg","indirect migration background","40","0.215420322182371","0.158156892083175","0.272683752281566"
"Rarely","2003","Bavaria","no migration background","782","0.283521353337357","0.266230264195105","0.300812442479609"
"Rarely","2003","Bavaria","direct migration background","120","0.294664645872505","0.249762991719294","0.339566300025717"
"Rarely","2003","Bavaria","indirect migration background","25","","",""
"Rarely","2003","Berlin","no migration background","191","0.258134568404865","0.226147878724698","0.290121258085031"
"Rarely","2003","Berlin","direct migration background","13","","",""
"Rarely","2003","Berlin","indirect migration background","5","","",""
"Rarely","2003","Brandenburg","no migration background","246","0.267523338643847","0.238996413780081","0.296050263507613"
"Rarely","2003","Brandenburg","direct migration background","8","","",""
"Rarely","2003","Brandenburg","indirect migration background","","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","no migration background","154","0.293259925032568","0.253710022406764","0.332809827658372"
"Rarely","2003","Mecklenburg-Western Pomerania","direct migration background","5","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Rarely","2003","Saxony","no migration background","464","0.299511328907156","0.276911675614848","0.322110982199465"
"Rarely","2003","Saxony","direct migration background","8","","",""
"Rarely","2003","Saxony","indirect migration background","2","","",""
"Rarely","2003","Saxony-Anhalt","no migration background","272","0.293449677249504","0.263734167143175","0.323165187355833"
"Rarely","2003","Saxony-Anhalt","direct migration background","8","","",""
"Rarely","2003","Saxony-Anhalt","indirect migration background","","","",""
"Rarely","2003","Thuringia","no migration background","297","0.303769668220492","0.274292147123359","0.333247189317624"
"Rarely","2003","Thuringia","direct migration background","5","","",""
"Rarely","2003","Thuringia","indirect migration background","2","","",""
"Never","2003","Schleswig-Holstein","no migration background","78","0.137722181359198","0.110009380427417","0.165434982290979"
"Never","2003","Schleswig-Holstein","direct migration background","11","","",""
"Never","2003","Schleswig-Holstein","indirect migration background","","","",""
"Never","2003","Hamburg","no migration background","29","","",""
"Never","2003","Hamburg","direct migration background","3","","",""
"Never","2003","Hamburg","indirect migration background","","","",""
"Never","2003","Lower Saxony","no migration background","221","0.162997866905483","0.145213390659899","0.180782343151067"
"Never","2003","Lower Saxony","direct migration background","32","0.197397826489315","0.143043285848574","0.251752367130055"
"Never","2003","Lower Saxony","indirect migration background","2","","",""
"Never","2003","Bremen","no migration background","25","","",""
"Never","2003","Bremen","direct migration background","2","","",""
"Never","2003","Bremen","indirect migration background","","","",""
"Never","2003","North Rhine-Westphalia","no migration background","582","0.189453001291443","0.176882316347155","0.202023686235731"
"Never","2003","North Rhine-Westphalia","direct migration background","172","0.249564855851207","0.21768768588333","0.281442025819084"
"Never","2003","North Rhine-Westphalia","indirect migration background","23","","",""
"Never","2003","Hesse","no migration background","171","0.176901049234165","0.155147477153028","0.198654621315302"
"Never","2003","Hesse","direct migration background","65","0.272319261935201","0.216578273056616","0.328060250813785"
"Never","2003","Hesse","indirect migration background","4","","",""
"Never","2003","Rhineland-Palatinate,Saarland","no migration background","237","0.241550880099474","0.216222214213627","0.266879545985321"
"Never","2003","Rhineland-Palatinate,Saarland","direct migration background","34","0.130387636302935","0.0818651232122288","0.178910149393642"
"Never","2003","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"Never","2003","Baden-Württemberg","no migration background","256","0.15547430792822","0.139198207225895","0.171750408630545"
"Never","2003","Baden-Württemberg","direct migration background","186","0.263858066259619","0.228415852953607","0.29930027956563"
"Never","2003","Baden-Württemberg","indirect migration background","37","0.208026460542138","0.151489804001524","0.264563117082753"
"Never","2003","Bavaria","no migration background","427","0.217660904416523","0.201829641229977","0.233492167603069"
"Never","2003","Bavaria","direct migration background","92","0.223404077922703","0.182379549356016","0.264428606489389"
"Never","2003","Bavaria","indirect migration background","7","","",""
"Never","2003","Berlin","no migration background","86","0.163226347763441","0.136212728411119","0.190239967115763"
"Never","2003","Berlin","direct migration background","16","","",""
"Never","2003","Berlin","indirect migration background","1","","",""
"Never","2003","Brandenburg","no migration background","177","0.209992278042794","0.183744378497542","0.236240177588046"
"Never","2003","Brandenburg","direct migration background","3","","",""
"Never","2003","Brandenburg","indirect migration background","1","","",""
"Never","2003","Mecklenburg-Western Pomerania","no migration background","83","0.21322964931997","0.17764710583265","0.248812192807291"
"Never","2003","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"Never","2003","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Never","2003","Saxony","no migration background","275","0.196246255047873","0.176650735383727","0.215841774712019"
"Never","2003","Saxony","direct migration background","12","","",""
"Never","2003","Saxony","indirect migration background","","","",""
"Never","2003","Saxony-Anhalt","no migration background","190","0.257801281326164","0.22925513693782","0.286347425714507"
"Never","2003","Saxony-Anhalt","direct migration background","8","","",""
"Never","2003","Saxony-Anhalt","indirect migration background","1","","",""
"Never","2003","Thuringia","no migration background","176","0.247708148849177","0.220038374892817","0.275377922805538"
"Never","2003","Thuringia","direct migration background","3","","",""
"Never","2003","Thuringia","indirect migration background","2","","",""
"Very often","2004","Schleswig-Holstein","no migration background","","","",""
"Very often","2004","Schleswig-Holstein","direct migration background","","","",""
"Very often","2004","Schleswig-Holstein","indirect migration background","","","",""
"Very often","2004","Hamburg","no migration background","","","",""
"Very often","2004","Hamburg","direct migration background","","","",""
"Very often","2004","Hamburg","indirect migration background","","","",""
"Very often","2004","Lower Saxony","no migration background","","","",""
"Very often","2004","Lower Saxony","direct migration background","","","",""
"Very often","2004","Lower Saxony","indirect migration background","","","",""
"Very often","2004","Bremen","no migration background","","","",""
"Very often","2004","Bremen","direct migration background","","","",""
"Very often","2004","Bremen","indirect migration background","","","",""
"Very often","2004","North Rhine-Westphalia","no migration background","","","",""
"Very often","2004","North Rhine-Westphalia","direct migration background","","","",""
"Very often","2004","North Rhine-Westphalia","indirect migration background","","","",""
"Very often","2004","Hesse","no migration background","","","",""
"Very often","2004","Hesse","direct migration background","","","",""
"Very often","2004","Hesse","indirect migration background","","","",""
"Very often","2004","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Very often","2004","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Very often","2004","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Very often","2004","Baden-Württemberg","no migration background","","","",""
"Very often","2004","Baden-Württemberg","direct migration background","","","",""
"Very often","2004","Baden-Württemberg","indirect migration background","","","",""
"Very often","2004","Bavaria","no migration background","","","",""
"Very often","2004","Bavaria","direct migration background","","","",""
"Very often","2004","Bavaria","indirect migration background","","","",""
"Very often","2004","Berlin","no migration background","","","",""
"Very often","2004","Berlin","direct migration background","","","",""
"Very often","2004","Berlin","indirect migration background","","","",""
"Very often","2004","Brandenburg","no migration background","","","",""
"Very often","2004","Brandenburg","direct migration background","","","",""
"Very often","2004","Brandenburg","indirect migration background","","","",""
"Very often","2004","Mecklenburg-Western Pomerania","no migration background","","","",""
"Very often","2004","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Very often","2004","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Very often","2004","Saxony","no migration background","","","",""
"Very often","2004","Saxony","direct migration background","","","",""
"Very often","2004","Saxony","indirect migration background","","","",""
"Very often","2004","Saxony-Anhalt","no migration background","","","",""
"Very often","2004","Saxony-Anhalt","direct migration background","","","",""
"Very often","2004","Saxony-Anhalt","indirect migration background","","","",""
"Very often","2004","Thuringia","no migration background","","","",""
"Very often","2004","Thuringia","direct migration background","","","",""
"Very often","2004","Thuringia","indirect migration background","","","",""
"Often","2004","Schleswig-Holstein","no migration background","","","",""
"Often","2004","Schleswig-Holstein","direct migration background","","","",""
"Often","2004","Schleswig-Holstein","indirect migration background","","","",""
"Often","2004","Hamburg","no migration background","","","",""
"Often","2004","Hamburg","direct migration background","","","",""
"Often","2004","Hamburg","indirect migration background","","","",""
"Often","2004","Lower Saxony","no migration background","","","",""
"Often","2004","Lower Saxony","direct migration background","","","",""
"Often","2004","Lower Saxony","indirect migration background","","","",""
"Often","2004","Bremen","no migration background","","","",""
"Often","2004","Bremen","direct migration background","","","",""
"Often","2004","Bremen","indirect migration background","","","",""
"Often","2004","North Rhine-Westphalia","no migration background","","","",""
"Often","2004","North Rhine-Westphalia","direct migration background","","","",""
"Often","2004","North Rhine-Westphalia","indirect migration background","","","",""
"Often","2004","Hesse","no migration background","","","",""
"Often","2004","Hesse","direct migration background","","","",""
"Often","2004","Hesse","indirect migration background","","","",""
"Often","2004","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Often","2004","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Often","2004","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Often","2004","Baden-Württemberg","no migration background","","","",""
"Often","2004","Baden-Württemberg","direct migration background","","","",""
"Often","2004","Baden-Württemberg","indirect migration background","","","",""
"Often","2004","Bavaria","no migration background","","","",""
"Often","2004","Bavaria","direct migration background","","","",""
"Often","2004","Bavaria","indirect migration background","","","",""
"Often","2004","Berlin","no migration background","","","",""
"Often","2004","Berlin","direct migration background","","","",""
"Often","2004","Berlin","indirect migration background","","","",""
"Often","2004","Brandenburg","no migration background","","","",""
"Often","2004","Brandenburg","direct migration background","","","",""
"Often","2004","Brandenburg","indirect migration background","","","",""
"Often","2004","Mecklenburg-Western Pomerania","no migration background","","","",""
"Often","2004","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Often","2004","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Often","2004","Saxony","no migration background","","","",""
"Often","2004","Saxony","direct migration background","","","",""
"Often","2004","Saxony","indirect migration background","","","",""
"Often","2004","Saxony-Anhalt","no migration background","","","",""
"Often","2004","Saxony-Anhalt","direct migration background","","","",""
"Often","2004","Saxony-Anhalt","indirect migration background","","","",""
"Often","2004","Thuringia","no migration background","","","",""
"Often","2004","Thuringia","direct migration background","","","",""
"Often","2004","Thuringia","indirect migration background","","","",""
"Sometimes","2004","Schleswig-Holstein","no migration background","","","",""
"Sometimes","2004","Schleswig-Holstein","direct migration background","","","",""
"Sometimes","2004","Schleswig-Holstein","indirect migration background","","","",""
"Sometimes","2004","Hamburg","no migration background","","","",""
"Sometimes","2004","Hamburg","direct migration background","","","",""
"Sometimes","2004","Hamburg","indirect migration background","","","",""
"Sometimes","2004","Lower Saxony","no migration background","","","",""
"Sometimes","2004","Lower Saxony","direct migration background","","","",""
"Sometimes","2004","Lower Saxony","indirect migration background","","","",""
"Sometimes","2004","Bremen","no migration background","","","",""
"Sometimes","2004","Bremen","direct migration background","","","",""
"Sometimes","2004","Bremen","indirect migration background","","","",""
"Sometimes","2004","North Rhine-Westphalia","no migration background","","","",""
"Sometimes","2004","North Rhine-Westphalia","direct migration background","","","",""
"Sometimes","2004","North Rhine-Westphalia","indirect migration background","","","",""
"Sometimes","2004","Hesse","no migration background","","","",""
"Sometimes","2004","Hesse","direct migration background","","","",""
"Sometimes","2004","Hesse","indirect migration background","","","",""
"Sometimes","2004","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Sometimes","2004","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Sometimes","2004","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Sometimes","2004","Baden-Württemberg","no migration background","","","",""
"Sometimes","2004","Baden-Württemberg","direct migration background","","","",""
"Sometimes","2004","Baden-Württemberg","indirect migration background","","","",""
"Sometimes","2004","Bavaria","no migration background","","","",""
"Sometimes","2004","Bavaria","direct migration background","","","",""
"Sometimes","2004","Bavaria","indirect migration background","","","",""
"Sometimes","2004","Berlin","no migration background","","","",""
"Sometimes","2004","Berlin","direct migration background","","","",""
"Sometimes","2004","Berlin","indirect migration background","","","",""
"Sometimes","2004","Brandenburg","no migration background","","","",""
"Sometimes","2004","Brandenburg","direct migration background","","","",""
"Sometimes","2004","Brandenburg","indirect migration background","","","",""
"Sometimes","2004","Mecklenburg-Western Pomerania","no migration background","","","",""
"Sometimes","2004","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Sometimes","2004","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Sometimes","2004","Saxony","no migration background","","","",""
"Sometimes","2004","Saxony","direct migration background","","","",""
"Sometimes","2004","Saxony","indirect migration background","","","",""
"Sometimes","2004","Saxony-Anhalt","no migration background","","","",""
"Sometimes","2004","Saxony-Anhalt","direct migration background","","","",""
"Sometimes","2004","Saxony-Anhalt","indirect migration background","","","",""
"Sometimes","2004","Thuringia","no migration background","","","",""
"Sometimes","2004","Thuringia","direct migration background","","","",""
"Sometimes","2004","Thuringia","indirect migration background","","","",""
"Rarely","2004","Schleswig-Holstein","no migration background","","","",""
"Rarely","2004","Schleswig-Holstein","direct migration background","","","",""
"Rarely","2004","Schleswig-Holstein","indirect migration background","","","",""
"Rarely","2004","Hamburg","no migration background","","","",""
"Rarely","2004","Hamburg","direct migration background","","","",""
"Rarely","2004","Hamburg","indirect migration background","","","",""
"Rarely","2004","Lower Saxony","no migration background","","","",""
"Rarely","2004","Lower Saxony","direct migration background","","","",""
"Rarely","2004","Lower Saxony","indirect migration background","","","",""
"Rarely","2004","Bremen","no migration background","","","",""
"Rarely","2004","Bremen","direct migration background","","","",""
"Rarely","2004","Bremen","indirect migration background","","","",""
"Rarely","2004","North Rhine-Westphalia","no migration background","","","",""
"Rarely","2004","North Rhine-Westphalia","direct migration background","","","",""
"Rarely","2004","North Rhine-Westphalia","indirect migration background","","","",""
"Rarely","2004","Hesse","no migration background","","","",""
"Rarely","2004","Hesse","direct migration background","","","",""
"Rarely","2004","Hesse","indirect migration background","","","",""
"Rarely","2004","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Rarely","2004","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Rarely","2004","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Rarely","2004","Baden-Württemberg","no migration background","","","",""
"Rarely","2004","Baden-Württemberg","direct migration background","","","",""
"Rarely","2004","Baden-Württemberg","indirect migration background","","","",""
"Rarely","2004","Bavaria","no migration background","","","",""
"Rarely","2004","Bavaria","direct migration background","","","",""
"Rarely","2004","Bavaria","indirect migration background","","","",""
"Rarely","2004","Berlin","no migration background","","","",""
"Rarely","2004","Berlin","direct migration background","","","",""
"Rarely","2004","Berlin","indirect migration background","","","",""
"Rarely","2004","Brandenburg","no migration background","","","",""
"Rarely","2004","Brandenburg","direct migration background","","","",""
"Rarely","2004","Brandenburg","indirect migration background","","","",""
"Rarely","2004","Mecklenburg-Western Pomerania","no migration background","","","",""
"Rarely","2004","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Rarely","2004","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Rarely","2004","Saxony","no migration background","","","",""
"Rarely","2004","Saxony","direct migration background","","","",""
"Rarely","2004","Saxony","indirect migration background","","","",""
"Rarely","2004","Saxony-Anhalt","no migration background","","","",""
"Rarely","2004","Saxony-Anhalt","direct migration background","","","",""
"Rarely","2004","Saxony-Anhalt","indirect migration background","","","",""
"Rarely","2004","Thuringia","no migration background","","","",""
"Rarely","2004","Thuringia","direct migration background","","","",""
"Rarely","2004","Thuringia","indirect migration background","","","",""
"Never","2004","Schleswig-Holstein","no migration background","","","",""
"Never","2004","Schleswig-Holstein","direct migration background","","","",""
"Never","2004","Schleswig-Holstein","indirect migration background","","","",""
"Never","2004","Hamburg","no migration background","","","",""
"Never","2004","Hamburg","direct migration background","","","",""
"Never","2004","Hamburg","indirect migration background","","","",""
"Never","2004","Lower Saxony","no migration background","","","",""
"Never","2004","Lower Saxony","direct migration background","","","",""
"Never","2004","Lower Saxony","indirect migration background","","","",""
