"pld0043","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Rhineland-Palatinate,Saarland","in school","4","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","inadequately","2","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","general elemantary","7","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","middle vocational","21","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","vocational + Abi","3","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","higher vocational","1","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","higher education","7","","",""
"Very often","2003","Baden-Württemberg","in school","4","","",""
"Very often","2003","Baden-Württemberg","inadequately","","","",""
"Very often","2003","Baden-Württemberg","general elemantary","11","","",""
"Very often","2003","Baden-Württemberg","middle vocational","48","0.0421983752641411","0.0310800616250183","0.0533166889032639"
"Very often","2003","Baden-Württemberg","vocational + Abi","6","","",""
"Very often","2003","Baden-Württemberg","higher vocational","9","","",""
"Very often","2003","Baden-Württemberg","higher education","18","","",""
"Very often","2003","Bavaria","in school","7","","",""
"Very often","2003","Bavaria","inadequately","","","",""
"Very often","2003","Bavaria","general elemantary","14","","",""
"Very often","2003","Bavaria","middle vocational","69","0.0449519512167444","0.0349270365348505","0.0549768658986383"
"Very often","2003","Bavaria","vocational + Abi","5","","",""
"Very often","2003","Bavaria","higher vocational","12","","",""
"Very often","2003","Bavaria","higher education","21","","",""
"Very often","2003","Berlin","in school","2","","",""
"Very often","2003","Berlin","inadequately","","","",""
"Very often","2003","Berlin","general elemantary","5","","",""
"Very often","2003","Berlin","middle vocational","23","","",""
"Very often","2003","Berlin","vocational + Abi","1","","",""
"Very often","2003","Berlin","higher vocational","9","","",""
"Very often","2003","Berlin","higher education","9","","",""
"Very often","2003","Brandenburg","in school","5","","",""
"Very often","2003","Brandenburg","inadequately","","","",""
"Very often","2003","Brandenburg","general elemantary","3","","",""
"Very often","2003","Brandenburg","middle vocational","17","","",""
"Very often","2003","Brandenburg","vocational + Abi","2","","",""
"Very often","2003","Brandenburg","higher vocational","1","","",""
"Very often","2003","Brandenburg","higher education","11","","",""
"Very often","2003","Mecklenburg-Western Pomerania","in school","1","","",""
"Very often","2003","Mecklenburg-Western Pomerania","inadequately","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","general elemantary","2","","",""
"Very often","2003","Mecklenburg-Western Pomerania","middle vocational","7","","",""
"Very often","2003","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","higher education","6","","",""
"Very often","2003","Saxony","in school","3","","",""
"Very often","2003","Saxony","inadequately","","","",""
"Very often","2003","Saxony","general elemantary","2","","",""
"Very often","2003","Saxony","middle vocational","28","","",""
"Very often","2003","Saxony","vocational + Abi","1","","",""
"Very often","2003","Saxony","higher vocational","","","",""
"Very often","2003","Saxony","higher education","10","","",""
"Very often","2003","Saxony-Anhalt","in school","7","","",""
"Very often","2003","Saxony-Anhalt","inadequately","","","",""
"Very often","2003","Saxony-Anhalt","general elemantary","4","","",""
"Very often","2003","Saxony-Anhalt","middle vocational","17","","",""
"Very often","2003","Saxony-Anhalt","vocational + Abi","3","","",""
"Very often","2003","Saxony-Anhalt","higher vocational","1","","",""
"Very often","2003","Saxony-Anhalt","higher education","8","","",""
"Very often","2003","Thuringia","in school","2","","",""
"Very often","2003","Thuringia","inadequately","","","",""
"Very often","2003","Thuringia","general elemantary","5","","",""
"Very often","2003","Thuringia","middle vocational","16","","",""
"Very often","2003","Thuringia","vocational + Abi","1","","",""
"Very often","2003","Thuringia","higher vocational","1","","",""
"Very often","2003","Thuringia","higher education","3","","",""
"Often","2003","Schleswig-Holstein","in school","6","","",""
"Often","2003","Schleswig-Holstein","inadequately","","","",""
"Often","2003","Schleswig-Holstein","general elemantary","12","","",""
"Often","2003","Schleswig-Holstein","middle vocational","41","0.117395728228824","0.084144629512657","0.150646826944991"
"Often","2003","Schleswig-Holstein","vocational + Abi","5","","",""
"Often","2003","Schleswig-Holstein","higher vocational","6","","",""
"Often","2003","Schleswig-Holstein","higher education","22","","",""
"Often","2003","Hamburg","in school","4","","",""
"Often","2003","Hamburg","inadequately","1","","",""
"Often","2003","Hamburg","general elemantary","5","","",""
"Often","2003","Hamburg","middle vocational","21","","",""
"Often","2003","Hamburg","vocational + Abi","8","","",""
"Often","2003","Hamburg","higher vocational","3","","",""
"Often","2003","Hamburg","higher education","17","","",""
"Often","2003","Lower Saxony","in school","25","","",""
"Often","2003","Lower Saxony","inadequately","2","","",""
"Often","2003","Lower Saxony","general elemantary","38","0.139468355405759","0.0981457713711104","0.180790939440408"
"Often","2003","Lower Saxony","middle vocational","161","0.142049768446401","0.120347446001525","0.163752090891277"
"Often","2003","Lower Saxony","vocational + Abi","24","","",""
"Often","2003","Lower Saxony","higher vocational","24","","",""
"Often","2003","Lower Saxony","higher education","75","0.278077574684847","0.227291956098036","0.328863193271658"
"Often","2003","Bremen","in school","4","","",""
"Often","2003","Bremen","inadequately","","","",""
"Often","2003","Bremen","general elemantary","3","","",""
"Often","2003","Bremen","middle vocational","15","","",""
"Often","2003","Bremen","vocational + Abi","3","","",""
"Often","2003","Bremen","higher vocational","2","","",""
"Often","2003","Bremen","higher education","10","","",""
"Often","2003","North Rhine-Westphalia","in school","54","0.378943114006946","0.298583697674963","0.459302530338929"
"Often","2003","North Rhine-Westphalia","inadequately","13","","",""
"Often","2003","North Rhine-Westphalia","general elemantary","92","0.143102016224506","0.114917655982372","0.17128637646664"
"Often","2003","North Rhine-Westphalia","middle vocational","349","0.136532636269731","0.122383074403823","0.150682198135638"
"Often","2003","North Rhine-Westphalia","vocational + Abi","73","0.195876067603986","0.153875688234906","0.237876446973067"
"Often","2003","North Rhine-Westphalia","higher vocational","58","0.177166592452641","0.136280786640826","0.218052398264456"
"Often","2003","North Rhine-Westphalia","higher education","187","0.2463024598867","0.217303455447649","0.275301464325751"
"Often","2003","Hesse","in school","10","","",""
"Often","2003","Hesse","inadequately","","","",""
"Often","2003","Hesse","general elemantary","32","0.122029080253824","0.0772223868840279","0.166835773623619"
"Often","2003","Hesse","middle vocational","114","0.159250700748075","0.132046897712877","0.186454503783274"
"Often","2003","Hesse","vocational + Abi","22","","",""
"Often","2003","Hesse","higher vocational","20","","",""
"Often","2003","Hesse","higher education","72","0.224012239464988","0.178543790530161","0.269480688399815"
"Often","2003","Rhineland-Palatinate,Saarland","in school","17","","",""
"Often","2003","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Often","2003","Rhineland-Palatinate,Saarland","general elemantary","35","0.152770201245465","0.105761660648734","0.199778741842196"
"Often","2003","Rhineland-Palatinate,Saarland","middle vocational","127","0.204739395131095","0.174477704876011","0.235001085386179"
"Often","2003","Rhineland-Palatinate,Saarland","vocational + Abi","9","","",""
"Often","2003","Rhineland-Palatinate,Saarland","higher vocational","20","","",""
"Often","2003","Rhineland-Palatinate,Saarland","higher education","40","0.191858958861691","0.135117976575607","0.248599941147775"
"Often","2003","Baden-Württemberg","in school","33","0.431860780947544","0.320497873029762","0.543223688865327"
"Often","2003","Baden-Württemberg","inadequately","1","","",""
"Often","2003","Baden-Württemberg","general elemantary","51","0.105156356192826","0.0770320812990386","0.133280631086614"
"Often","2003","Baden-Württemberg","middle vocational","155","0.112155638744374","0.0947041593716678","0.12960711811708"
"Often","2003","Baden-Württemberg","vocational + Abi","26","","",""
"Often","2003","Baden-Württemberg","higher vocational","30","0.190931035051082","0.137645910823324","0.244216159278839"
"Often","2003","Baden-Württemberg","higher education","84","0.175152158811296","0.140825438951458","0.209478878671134"
"Often","2003","Bavaria","in school","19","","",""
"Often","2003","Bavaria","inadequately","3","","",""
"Often","2003","Bavaria","general elemantary","40","0.100556797627412","0.0707855080813061","0.130328087173517"
"Often","2003","Bavaria","middle vocational","238","0.140097278822761","0.123304084553924","0.156890473091599"
"Often","2003","Bavaria","vocational + Abi","29","","",""
"Often","2003","Bavaria","higher vocational","47","0.146814407830448","0.102587494247555","0.191041321413341"
"Often","2003","Bavaria","higher education","120","0.209183648352045","0.176252947789481","0.242114348914609"
"Often","2003","Berlin","in school","18","","",""
"Often","2003","Berlin","inadequately","2","","",""
"Often","2003","Berlin","general elemantary","14","","",""
"Often","2003","Berlin","middle vocational","60","0.13845430168765","0.102115070109252","0.174793533266048"
"Often","2003","Berlin","vocational + Abi","10","","",""
"Often","2003","Berlin","higher vocational","10","","",""
"Often","2003","Berlin","higher education","48","0.216372611173119","0.164916556530113","0.267828665816125"
"Often","2003","Brandenburg","in school","13","","",""
"Often","2003","Brandenburg","inadequately","","","",""
"Often","2003","Brandenburg","general elemantary","6","","",""
"Often","2003","Brandenburg","middle vocational","56","0.122520450272563","0.0925895057279357","0.152451394817191"
"Often","2003","Brandenburg","vocational + Abi","5","","",""
"Often","2003","Brandenburg","higher vocational","15","","",""
"Often","2003","Brandenburg","higher education","20","","",""
"Often","2003","Mecklenburg-Western Pomerania","in school","3","","",""
"Often","2003","Mecklenburg-Western Pomerania","inadequately","","","",""
"Often","2003","Mecklenburg-Western Pomerania","general elemantary","10","","",""
"Often","2003","Mecklenburg-Western Pomerania","middle vocational","37","0.145532976834061","0.103702277320395","0.187363676347728"
"Often","2003","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Often","2003","Mecklenburg-Western Pomerania","higher vocational","7","","",""
"Often","2003","Mecklenburg-Western Pomerania","higher education","28","","",""
"Often","2003","Saxony","in school","20","","",""
"Often","2003","Saxony","inadequately","","","",""
"Often","2003","Saxony","general elemantary","26","","",""
"Often","2003","Saxony","middle vocational","112","0.130496960016558","0.108228540049467","0.15276537998365"
"Often","2003","Saxony","vocational + Abi","10","","",""
"Often","2003","Saxony","higher vocational","16","","",""
"Often","2003","Saxony","higher education","78","0.196611899655569","0.156332787701349","0.236891011609788"
"Often","2003","Saxony-Anhalt","in school","14","","",""
"Often","2003","Saxony-Anhalt","inadequately","","","",""
"Often","2003","Saxony-Anhalt","general elemantary","14","","",""
"Often","2003","Saxony-Anhalt","middle vocational","81","0.161568650553303","0.127861064252912","0.195276236853694"
"Often","2003","Saxony-Anhalt","vocational + Abi","4","","",""
"Often","2003","Saxony-Anhalt","higher vocational","20","","",""
"Often","2003","Saxony-Anhalt","higher education","39","0.175025449812823","0.125263778460462","0.224787121165184"
"Often","2003","Thuringia","in school","10","","",""
"Often","2003","Thuringia","inadequately","1","","",""
"Often","2003","Thuringia","general elemantary","8","","",""
"Often","2003","Thuringia","middle vocational","61","0.108391571732202","0.0829597784806422","0.133823364983761"
"Often","2003","Thuringia","vocational + Abi","4","","",""
"Often","2003","Thuringia","higher vocational","11","","",""
"Often","2003","Thuringia","higher education","23","","",""
"Sometimes","2003","Schleswig-Holstein","in school","6","","",""
"Sometimes","2003","Schleswig-Holstein","inadequately","2","","",""
"Sometimes","2003","Schleswig-Holstein","general elemantary","19","","",""
"Sometimes","2003","Schleswig-Holstein","middle vocational","146","0.396136985144298","0.34561402917309","0.446659941115506"
"Sometimes","2003","Schleswig-Holstein","vocational + Abi","13","","",""
"Sometimes","2003","Schleswig-Holstein","higher vocational","29","","",""
"Sometimes","2003","Schleswig-Holstein","higher education","58","0.548546922105027","0.454256104273784","0.642837739936269"
"Sometimes","2003","Hamburg","in school","2","","",""
"Sometimes","2003","Hamburg","inadequately","1","","",""
"Sometimes","2003","Hamburg","general elemantary","9","","",""
"Sometimes","2003","Hamburg","middle vocational","55","0.333984657365475","0.255859762048634","0.412109552682317"
"Sometimes","2003","Hamburg","vocational + Abi","8","","",""
"Sometimes","2003","Hamburg","higher vocational","10","","",""
"Sometimes","2003","Hamburg","higher education","31","0.40661787372872","0.295450352491788","0.517785394965651"
"Sometimes","2003","Lower Saxony","in school","18","","",""
"Sometimes","2003","Lower Saxony","inadequately","7","","",""
"Sometimes","2003","Lower Saxony","general elemantary","79","0.219270947724477","0.169918701266371","0.268623194182583"
"Sometimes","2003","Lower Saxony","middle vocational","354","0.336592454834693","0.307216141600319","0.365968768069068"
"Sometimes","2003","Lower Saxony","vocational + Abi","46","0.342877725798234","0.257949862294501","0.427805589301967"
"Sometimes","2003","Lower Saxony","higher vocational","44","0.325011007622085","0.242237203383056","0.407784811861115"
"Sometimes","2003","Lower Saxony","higher education","106","0.374730503220073","0.319864207332416","0.429596799107729"
"Sometimes","2003","Bremen","in school","","","",""
"Sometimes","2003","Bremen","inadequately","","","",""
"Sometimes","2003","Bremen","general elemantary","8","","",""
"Sometimes","2003","Bremen","middle vocational","25","","",""
"Sometimes","2003","Bremen","vocational + Abi","6","","",""
"Sometimes","2003","Bremen","higher vocational","5","","",""
"Sometimes","2003","Bremen","higher education","17","","",""
"Sometimes","2003","North Rhine-Westphalia","in school","52","0.337620836966235","0.259286526433798","0.415955147498673"
"Sometimes","2003","North Rhine-Westphalia","inadequately","30","0.299443517102098","0.210119871485279","0.388767162718916"
"Sometimes","2003","North Rhine-Westphalia","general elemantary","183","0.293595488340876","0.256941421686846","0.330249554994906"
"Sometimes","2003","North Rhine-Westphalia","middle vocational","813","0.350509840644472","0.330847365525186","0.370172315763758"
"Sometimes","2003","North Rhine-Westphalia","vocational + Abi","147","0.435155018476213","0.382687845233128","0.487622191719298"
"Sometimes","2003","North Rhine-Westphalia","higher vocational","141","0.425032317523835","0.372095432624293","0.477969202423377"
"Sometimes","2003","North Rhine-Westphalia","higher education","347","0.387954970621416","0.355158091981379","0.420751849261452"
"Sometimes","2003","Hesse","in school","10","","",""
"Sometimes","2003","Hesse","inadequately","5","","",""
"Sometimes","2003","Hesse","general elemantary","53","0.23978557935411","0.181340124504581","0.298231034203639"
"Sometimes","2003","Hesse","middle vocational","233","0.339037275147164","0.303843334505589","0.374231215788738"
"Sometimes","2003","Hesse","vocational + Abi","48","0.372591073507329","0.28383721659016","0.461344930424497"
"Sometimes","2003","Hesse","higher vocational","42","0.469250776381712","0.370445022336209","0.568056530427214"
"Sometimes","2003","Hesse","higher education","131","0.347398771395612","0.295472766197088","0.399324776594136"
"Sometimes","2003","Rhineland-Palatinate,Saarland","in school","9","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","inadequately","7","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","general elemantary","68","0.306224507996782","0.245998194315995","0.36645082167757"
"Sometimes","2003","Rhineland-Palatinate,Saarland","middle vocational","197","0.277154160665049","0.243586483997605","0.310721837332492"
"Sometimes","2003","Rhineland-Palatinate,Saarland","vocational + Abi","27","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","higher vocational","33","0.336419555019552","0.246473408069323","0.42636570196978"
"Sometimes","2003","Rhineland-Palatinate,Saarland","higher education","70","0.419554728043576","0.348443664242338","0.490665791844814"
"Sometimes","2003","Baden-Württemberg","in school","26","","",""
"Sometimes","2003","Baden-Württemberg","inadequately","10","","",""
"Sometimes","2003","Baden-Württemberg","general elemantary","145","0.318812731542242","0.276086845257023","0.361538617827462"
"Sometimes","2003","Baden-Württemberg","middle vocational","447","0.343751379680572","0.317484426621881","0.370018332739263"
"Sometimes","2003","Baden-Württemberg","vocational + Abi","42","0.32865439047937","0.251666420551388","0.405642360407351"
"Sometimes","2003","Baden-Württemberg","higher vocational","89","0.410522488558742","0.343829981238701","0.477214995878783"
"Sometimes","2003","Baden-Württemberg","higher education","193","0.394195169952427","0.350062555866979","0.438327784037875"
"Sometimes","2003","Bavaria","in school","28","","",""
"Sometimes","2003","Bavaria","inadequately","6","","",""
"Sometimes","2003","Bavaria","general elemantary","112","0.255076940222457","0.211925393603396","0.298228486841518"
"Sometimes","2003","Bavaria","middle vocational","543","0.304403150554881","0.282139459072439","0.326666842037324"
"Sometimes","2003","Bavaria","vocational + Abi","53","0.37753908810989","0.298905396180528","0.456172780039252"
"Sometimes","2003","Bavaria","higher vocational","83","0.344272413599743","0.284898814326001","0.403646012873484"
"Sometimes","2003","Bavaria","higher education","208","0.343108197564092","0.304670111813661","0.381546283314524"
"Sometimes","2003","Berlin","in school","8","","",""
"Sometimes","2003","Berlin","inadequately","1","","",""
"Sometimes","2003","Berlin","general elemantary","22","","",""
"Sometimes","2003","Berlin","middle vocational","119","0.343077065315899","0.293126959909042","0.393027170722755"
"Sometimes","2003","Berlin","vocational + Abi","16","","",""
"Sometimes","2003","Berlin","higher vocational","15","","",""
"Sometimes","2003","Berlin","higher education","107","0.444833171962753","0.382733275703425","0.50693306822208"
"Sometimes","2003","Brandenburg","in school","10","","",""
"Sometimes","2003","Brandenburg","inadequately","","","",""
"Sometimes","2003","Brandenburg","general elemantary","22","","",""
"Sometimes","2003","Brandenburg","middle vocational","158","0.320004869415636","0.277422598061393","0.362587140769879"
"Sometimes","2003","Brandenburg","vocational + Abi","12","","",""
"Sometimes","2003","Brandenburg","higher vocational","20","","",""
"Sometimes","2003","Brandenburg","higher education","125","0.469941574318641","0.409158590749017","0.530724557888265"
"Sometimes","2003","Mecklenburg-Western Pomerania","in school","6","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","inadequately","2","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","general elemantary","15","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","middle vocational","85","0.300325057787374","0.245948625133461","0.354701490441287"
"Sometimes","2003","Mecklenburg-Western Pomerania","vocational + Abi","3","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","higher vocational","15","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","higher education","48","0.294489464585864","0.218440171615623","0.370538757556105"
"Sometimes","2003","Saxony","in school","15","","",""
"Sometimes","2003","Saxony","inadequately","","","",""
"Sometimes","2003","Saxony","general elemantary","32","0.249806118932081","0.172351778005154","0.327260459859008"
"Sometimes","2003","Saxony","middle vocational","276","0.298329481124264","0.268083452784598","0.328575509463929"
"Sometimes","2003","Saxony","vocational + Abi","16","","",""
"Sometimes","2003","Saxony","higher vocational","53","0.381179761954542","0.299252511789889","0.463107012119195"
"Sometimes","2003","Saxony","higher education","143","0.377775363762228","0.328639034718949","0.426911692805507"
"Sometimes","2003","Saxony-Anhalt","in school","7","","",""
"Sometimes","2003","Saxony-Anhalt","inadequately","1","","",""
"Sometimes","2003","Saxony-Anhalt","general elemantary","17","","",""
"Sometimes","2003","Saxony-Anhalt","middle vocational","104","0.237244296937207","0.198285460780459","0.276203133093954"
"Sometimes","2003","Saxony-Anhalt","vocational + Abi","16","","",""
"Sometimes","2003","Saxony-Anhalt","higher vocational","20","","",""
"Sometimes","2003","Saxony-Anhalt","higher education","70","0.277874756930758","0.219213023356397","0.33653649050512"
"Sometimes","2003","Thuringia","in school","13","","",""
"Sometimes","2003","Thuringia","inadequately","","","",""
"Sometimes","2003","Thuringia","general elemantary","21","","",""
"Sometimes","2003","Thuringia","middle vocational","179","0.275946702693086","0.239379644984811","0.312513760401361"
"Sometimes","2003","Thuringia","vocational + Abi","11","","",""
"Sometimes","2003","Thuringia","higher vocational","18","","",""
"Sometimes","2003","Thuringia","higher education","78","0.404160681174782","0.331661455727358","0.476659906622206"
"Rarely","2003","Schleswig-Holstein","in school","","","",""
"Rarely","2003","Schleswig-Holstein","inadequately","1","","",""
"Rarely","2003","Schleswig-Holstein","general elemantary","27","","",""
"Rarely","2003","Schleswig-Holstein","middle vocational","111","0.321586455585755","0.273336938593066","0.369835972578444"
"Rarely","2003","Schleswig-Holstein","vocational + Abi","14","","",""
"Rarely","2003","Schleswig-Holstein","higher vocational","10","","",""
"Rarely","2003","Schleswig-Holstein","higher education","25","","",""
"Rarely","2003","Hamburg","in school","1","","",""
"Rarely","2003","Hamburg","inadequately","","","",""
"Rarely","2003","Hamburg","general elemantary","9","","",""
"Rarely","2003","Hamburg","middle vocational","36","0.293761448021291","0.218311805952646","0.369211090089936"
"Rarely","2003","Hamburg","vocational + Abi","4","","",""
"Rarely","2003","Hamburg","higher vocational","6","","",""
"Rarely","2003","Hamburg","higher education","18","","",""
"Rarely","2003","Lower Saxony","in school","5","","",""
"Rarely","2003","Lower Saxony","inadequately","8","","",""
"Rarely","2003","Lower Saxony","general elemantary","66","0.28878252215083","0.234725406165353","0.342839638136307"
"Rarely","2003","Lower Saxony","middle vocational","302","0.320726587768935","0.291710110317971","0.3497430652199"
"Rarely","2003","Lower Saxony","vocational + Abi","29","","",""
"Rarely","2003","Lower Saxony","higher vocational","39","0.346787603537358","0.262676268435594","0.430898938639123"
"Rarely","2003","Lower Saxony","higher education","72","0.203762662610232","0.158106850764127","0.249418474456336"
"Rarely","2003","Bremen","in school","","","",""
"Rarely","2003","Bremen","inadequately","","","",""
"Rarely","2003","Bremen","general elemantary","3","","",""
"Rarely","2003","Bremen","middle vocational","23","","",""
"Rarely","2003","Bremen","vocational + Abi","4","","",""
"Rarely","2003","Bremen","higher vocational","2","","",""
"Rarely","2003","Bremen","higher education","7","","",""
"Rarely","2003","North Rhine-Westphalia","in school","14","","",""
"Rarely","2003","North Rhine-Westphalia","inadequately","21","","",""
"Rarely","2003","North Rhine-Westphalia","general elemantary","133","0.226069137836837","0.192403064427435","0.259735211246239"
"Rarely","2003","North Rhine-Westphalia","middle vocational","599","0.26141919071609","0.243311230435867","0.279527150996313"
"Rarely","2003","North Rhine-Westphalia","vocational + Abi","75","0.221131872804324","0.177212243180133","0.265051502428516"
"Rarely","2003","North Rhine-Westphalia","higher vocational","77","0.18082561016132","0.139611698083569","0.222039522239071"
"Rarely","2003","North Rhine-Westphalia","higher education","201","0.225026632899473","0.196919890414846","0.2531333753841"
"Rarely","2003","Hesse","in school","4","","",""
"Rarely","2003","Hesse","inadequately","5","","",""
"Rarely","2003","Hesse","general elemantary","43","0.210451010088675","0.154650751839514","0.266251268337836"
"Rarely","2003","Hesse","middle vocational","197","0.272567574194082","0.239462915758846","0.305672232629319"
"Rarely","2003","Hesse","vocational + Abi","26","","",""
"Rarely","2003","Hesse","higher vocational","27","","",""
"Rarely","2003","Hesse","higher education","76","0.255791057116884","0.20820968623637","0.303372427997399"
"Rarely","2003","Rhineland-Palatinate,Saarland","in school","6","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","inadequately","6","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","general elemantary","44","0.187164549356758","0.136199793667642","0.238129305045873"
"Rarely","2003","Rhineland-Palatinate,Saarland","middle vocational","190","0.272021583322548","0.238648320169077","0.305394846476018"
"Rarely","2003","Rhineland-Palatinate,Saarland","vocational + Abi","10","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","higher vocational","32","0.333853621008559","0.244078078206327","0.423629163810792"
"Rarely","2003","Rhineland-Palatinate,Saarland","higher education","47","0.241107619167149","0.179468306058508","0.302746932275791"
"Rarely","2003","Baden-Württemberg","in school","10","","",""
"Rarely","2003","Baden-Württemberg","inadequately","13","","",""
"Rarely","2003","Baden-Württemberg","general elemantary","119","0.262619605979636","0.222273710719588","0.302965501239685"
"Rarely","2003","Baden-Württemberg","middle vocational","370","0.310532927182821","0.284943305519629","0.336122548846013"
"Rarely","2003","Baden-Württemberg","vocational + Abi","43","0.31689552036055","0.240638173900522","0.393152866820579"
"Rarely","2003","Baden-Württemberg","higher vocational","59","0.2295760779877","0.172559238027451","0.286592917947948"
"Rarely","2003","Baden-Württemberg","higher education","141","0.31887355221889","0.276785312791098","0.360961791646681"
"Rarely","2003","Bavaria","in school","12","","",""
"Rarely","2003","Bavaria","inadequately","8","","",""
"Rarely","2003","Bavaria","general elemantary","111","0.262245201767476","0.218702552002402","0.305787851532551"
"Rarely","2003","Bavaria","middle vocational","502","0.293148542292297","0.271124260809364","0.315172823775229"
"Rarely","2003","Bavaria","vocational + Abi","43","0.269178738992104","0.197234234311116","0.341123243673092"
"Rarely","2003","Bavaria","higher vocational","64","0.233589513854644","0.180716029903475","0.286462997805814"
"Rarely","2003","Bavaria","higher education","183","0.299202733429551","0.262127980884362","0.33627748597474"
"Rarely","2003","Berlin","in school","4","","",""
"Rarely","2003","Berlin","inadequately","2","","",""
"Rarely","2003","Berlin","general elemantary","17","","",""
"Rarely","2003","Berlin","middle vocational","91","0.265359684652338","0.218904070736964","0.311815298567712"
"Rarely","2003","Berlin","vocational + Abi","4","","",""
"Rarely","2003","Berlin","higher vocational","22","","",""
"Rarely","2003","Berlin","higher education","66","0.231227657460381","0.178541163104387","0.283914151816375"
"Rarely","2003","Brandenburg","in school","1","","",""
"Rarely","2003","Brandenburg","inadequately","","","",""
"Rarely","2003","Brandenburg","general elemantary","14","","",""
"Rarely","2003","Brandenburg","middle vocational","127","0.270852570056676","0.230285673612272","0.31141946650108"
"Rarely","2003","Brandenburg","vocational + Abi","5","","",""
"Rarely","2003","Brandenburg","higher vocational","29","","",""
"Rarely","2003","Brandenburg","higher education","76","0.256192208087857","0.203028957277207","0.309355458898507"
"Rarely","2003","Mecklenburg-Western Pomerania","in school","4","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","inadequately","","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","general elemantary","11","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","middle vocational","81","0.257412189807557","0.205549476983254","0.30927490263186"
"Rarely","2003","Mecklenburg-Western Pomerania","vocational + Abi","2","","",""
