"pld0043","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Very often","2008","general elemantary","47","0.0228395383590202","0.0163166916933819","0.0293623850246586","1"
"Very often","2008","middle vocational","270","0.0284884425201244","0.0251799532098202","0.0317969318304287","1"
"Very often","2008","vocational + Abi","41","0.0308996492039033","0.0206641725779314","0.0411351258298753","1"
"Very often","2008","higher vocational","35","0.0207912644150777","0.0133410171815861","0.0282415116485693","1"
"Very often","2008","higher education","160","0.0386122751802972","0.032777061862419","0.0444474884981753","1"
"Never","2009","higher education","","","","","5"
"Never","2009","vocational + Abi","","","","","5"
"Never","2009","higher vocational","","","","","5"
"Never","2009","middle vocational","","","","","5"
"Never","2009","in school","","","","","5"
"Never","2009","inadequately","","","","","5"
"Never","2009","general elemantary","","","","","5"
"Often","2009","higher education","","","","","2"
"Often","2009","middle vocational","","","","","2"
"Often","2009","vocational + Abi","","","","","2"
"Often","2009","higher vocational","","","","","2"
"Often","2009","in school","","","","","2"
"Often","2009","inadequately","","","","","2"
"Often","2009","general elemantary","","","","","2"
"Rarely","2009","middle vocational","","","","","4"
"Rarely","2009","vocational + Abi","","","","","4"
"Rarely","2009","higher education","","","","","4"
"Rarely","2009","inadequately","","","","","4"
"Rarely","2009","general elemantary","","","","","4"
"Rarely","2009","higher vocational","","","","","4"
"Rarely","2009","in school","","","","","4"
"Sometimes","2009","inadequately","","","","","3"
"Sometimes","2009","vocational + Abi","","","","","3"
"Sometimes","2009","middle vocational","","","","","3"
"Sometimes","2009","in school","","","","","3"
"Sometimes","2009","higher vocational","","","","","3"
"Sometimes","2009","higher education","","","","","3"
"Sometimes","2009","general elemantary","","","","","3"
"Very often","2009","vocational + Abi","","","","","1"
"Very often","2009","in school","","","","","1"
"Very often","2009","inadequately","","","","","1"
"Very often","2009","general elemantary","","","","","1"
"Very often","2009","middle vocational","","","","","1"
"Very often","2009","higher vocational","","","","","1"
"Very often","2009","higher education","","","","","1"
"Never","2010","higher education","","","","","5"
"Never","2010","middle vocational","","","","","5"
"Never","2010","vocational + Abi","","","","","5"
"Never","2010","higher vocational","","","","","5"
"Never","2010","in school","","","","","5"
"Never","2010","inadequately","","","","","5"
"Never","2010","general elemantary","","","","","5"
"Often","2010","vocational + Abi","","","","","2"
"Often","2010","higher vocational","","","","","2"
"Often","2010","higher education","","","","","2"
"Often","2010","middle vocational","","","","","2"
"Often","2010","in school","","","","","2"
"Often","2010","inadequately","","","","","2"
"Often","2010","general elemantary","","","","","2"
"Rarely","2010","vocational + Abi","","","","","4"
"Rarely","2010","higher vocational","","","","","4"
"Rarely","2010","middle vocational","","","","","4"
"Rarely","2010","higher education","","","","","4"
"Rarely","2010","inadequately","","","","","4"
"Rarely","2010","general elemantary","","","","","4"
"Rarely","2010","in school","","","","","4"
"Sometimes","2010","vocational + Abi","","","","","3"
"Sometimes","2010","in school","","","","","3"
"Sometimes","2010","inadequately","","","","","3"
"Sometimes","2010","middle vocational","","","","","3"
"Sometimes","2010","higher vocational","","","","","3"
"Sometimes","2010","higher education","","","","","3"
"Sometimes","2010","general elemantary","","","","","3"
"Very often","2010","vocational + Abi","","","","","1"
"Very often","2010","higher vocational","","","","","1"
"Very often","2010","higher education","","","","","1"
"Very often","2010","in school","","","","","1"
"Very often","2010","inadequately","","","","","1"
"Very often","2010","general elemantary","","","","","1"
"Very often","2010","middle vocational","","","","","1"
"Never","2011","middle vocational","","","","","5"
"Never","2011","vocational + Abi","","","","","5"
"Never","2011","higher vocational","","","","","5"
"Never","2011","higher education","","","","","5"
"Never","2011","in school","","","","","5"
"Never","2011","inadequately","","","","","5"
"Never","2011","general elemantary","","","","","5"
"Often","2011","higher education","","","","","2"
"Often","2011","vocational + Abi","","","","","2"
"Often","2011","higher vocational","","","","","2"
"Often","2011","in school","","","","","2"
"Often","2011","middle vocational","","","","","2"
"Often","2011","inadequately","","","","","2"
"Often","2011","general elemantary","","","","","2"
"Rarely","2011","vocational + Abi","","","","","4"
"Rarely","2011","higher vocational","","","","","4"
"Rarely","2011","higher education","","","","","4"
"Rarely","2011","middle vocational","","","","","4"
"Rarely","2011","in school","","","","","4"
"Rarely","2011","inadequately","","","","","4"
"Rarely","2011","general elemantary","","","","","4"
"Sometimes","2011","vocational + Abi","","","","","3"
"Sometimes","2011","in school","","","","","3"
"Sometimes","2011","inadequately","","","","","3"
"Sometimes","2011","middle vocational","","","","","3"
"Sometimes","2011","higher vocational","","","","","3"
"Sometimes","2011","higher education","","","","","3"
"Sometimes","2011","general elemantary","","","","","3"
"Very often","2011","vocational + Abi","","","","","1"
"Very often","2011","higher vocational","","","","","1"
"Very often","2011","higher education","","","","","1"
"Very often","2011","inadequately","","","","","1"
"Very often","2011","general elemantary","","","","","1"
"Very often","2011","middle vocational","","","","","1"
"Very often","2011","in school","","","","","1"
"Never","2012","in school","","","","","5"
"Never","2012","inadequately","","","","","5"
"Never","2012","middle vocational","","","","","5"
"Never","2012","vocational + Abi","","","","","5"
"Never","2012","higher vocational","","","","","5"
"Never","2012","higher education","","","","","5"
"Never","2012","general elemantary","","","","","5"
"Often","2012","higher education","","","","","2"
"Often","2012","inadequately","","","","","2"
"Often","2012","vocational + Abi","","","","","2"
"Often","2012","higher vocational","","","","","2"
"Often","2012","in school","","","","","2"
"Often","2012","general elemantary","","","","","2"
"Often","2012","middle vocational","","","","","2"
"Rarely","2012","vocational + Abi","","","","","4"
"Rarely","2012","higher vocational","","","","","4"
"Rarely","2012","higher education","","","","","4"
"Rarely","2012","inadequately","","","","","4"
"Rarely","2012","general elemantary","","","","","4"
"Rarely","2012","middle vocational","","","","","4"
"Rarely","2012","in school","","","","","4"
"Sometimes","2012","vocational + Abi","","","","","3"
"Sometimes","2012","in school","","","","","3"
"Sometimes","2012","inadequately","","","","","3"
"Sometimes","2012","higher education","","","","","3"
"Sometimes","2012","middle vocational","","","","","3"
"Sometimes","2012","general elemantary","","","","","3"
"Sometimes","2012","higher vocational","","","","","3"
"Very often","2012","vocational + Abi","","","","","1"
"Very often","2012","higher vocational","","","","","1"
"Very often","2012","higher education","","","","","1"
"Very often","2012","middle vocational","","","","","1"
"Very often","2012","inadequately","","","","","1"
"Very often","2012","general elemantary","","","","","1"
"Very often","2012","in school","","","","","1"
"Never","2013","in school","20","","","","5"
"Never","2013","inadequately","110","0.362197182944528","0.310182384516797","0.414211981372259","5"
"Never","2013","general elemantary","654","0.299545578114601","0.281870569459149","0.317220586770053","5"
"Never","2013","middle vocational","2274","0.197916095377746","0.190909286557121","0.204922904198371","5"
"Never","2013","vocational + Abi","159","0.0898301295096787","0.0765242519237352","0.103136007095622","5"
"Never","2013","higher vocational","195","0.133576257113819","0.117303821925853","0.149848692301784","5"
"Never","2013","higher education","447","0.0799959048737112","0.0730315671833823","0.08696024256404","5"
"Often","2013","vocational + Abi","321","0.17507364218608","0.157389285868691","0.192757998503468","2"
"Often","2013","higher vocational","239","0.128223477709983","0.112231244907365","0.1442157105126","2"
"Often","2013","higher education","1130","0.193781577975532","0.183634671297302","0.203928484653763","2"
"Often","2013","inadequately","37","0.0825945655004884","0.0528047673987748","0.112384363602202","2"
"Often","2013","general elemantary","348","0.116889750745869","0.104492256457163","0.129287245034576","2"
"Often","2013","middle vocational","1700","0.131512164617657","0.125568768953965","0.137455560281348","2"
"Often","2013","in school","145","0.277254299173875","0.23561642877902","0.318892169568731","2"
"Rarely","2013","vocational + Abi","555","0.308107010289369","0.286621704539488","0.329592316039249","4"
"Rarely","2013","higher vocational","607","0.348164508492004","0.32537767423425","0.370951342749759","4"
"Rarely","2013","inadequately","97","0.331886251907902","0.280926065881734","0.38284643793407","4"
"Rarely","2013","general elemantary","780","0.303849539486953","0.286102779056408","0.321596299917499","4"
"Rarely","2013","higher education","1739","0.309137338572572","0.2972735702851","0.321001106860044","4"
"Rarely","2013","middle vocational","4122","0.33287043862659","0.324583149001369","0.341157728251812","4"
"Rarely","2013","in school","83","0.16708777403981","0.132387847042415","0.201787701037206","4"
"Sometimes","2013","in school","167","0.467964181713869","0.421551854203069","0.51437650922467","3"
"Sometimes","2013","inadequately","72","0.207952326098169","0.164031679828313","0.251872972368025","3"
"Sometimes","2013","vocational + Abi","688","0.39560944516363","0.37285514705567","0.418363743271589","3"
"Sometimes","2013","higher education","2326","0.386843399332298","0.374340683433612","0.399346115230984","3"
"Sometimes","2013","general elemantary","716","0.255298090679551","0.238473161102297","0.272123020256806","3"
"Sometimes","2013","middle vocational","4065","0.318440392798823","0.310247527631687","0.326633257965959","3"
"Sometimes","2013","higher vocational","603","0.367559781136328","0.344497807293361","0.390621754979296","3"
"Very often","2013","in school","29","","","","1"
"Very often","2013","vocational + Abi","51","0.0313797728512433","0.0232669321596474","0.0394926135428391","1"
"Very often","2013","higher vocational","35","0.0224759755478661","0.0153859836593823","0.0295659674363499","1"
"Very often","2013","higher education","187","0.0302417792458863","0.0258454878801222","0.0346380706116504","1"
"Very often","2013","inadequately","12","","","","1"
"Very often","2013","middle vocational","260","0.0192609085791839","0.0168438624542898","0.021677954704078","1"
"Very often","2013","general elemantary","82","0.0244170409730249","0.0184615597889014","0.0303725221571483","1"
"Never","2014","in school","","","","","5"
"Never","2014","inadequately","","","","","5"
"Never","2014","general elemantary","","","","","5"
"Never","2014","middle vocational","","","","","5"
"Never","2014","vocational + Abi","","","","","5"
"Never","2014","higher vocational","","","","","5"
"Never","2014","higher education","","","","","5"
"Often","2014","vocational + Abi","","","","","2"
"Often","2014","middle vocational","","","","","2"
"Often","2014","higher vocational","","","","","2"
"Often","2014","in school","","","","","2"
"Often","2014","inadequately","","","","","2"
"Often","2014","general elemantary","","","","","2"
"Often","2014","higher education","","","","","2"
"Rarely","2014","vocational + Abi","","","","","4"
"Rarely","2014","in school","","","","","4"
"Rarely","2014","inadequately","","","","","4"
"Rarely","2014","general elemantary","","","","","4"
"Rarely","2014","higher vocational","","","","","4"
"Rarely","2014","higher education","","","","","4"
"Rarely","2014","middle vocational","","","","","4"
"Sometimes","2014","in school","","","","","3"
"Sometimes","2014","inadequately","","","","","3"
"Sometimes","2014","vocational + Abi","","","","","3"
"Sometimes","2014","middle vocational","","","","","3"
"Sometimes","2014","higher vocational","","","","","3"
"Sometimes","2014","general elemantary","","","","","3"
"Sometimes","2014","higher education","","","","","3"
"Very often","2014","vocational + Abi","","","","","1"
"Very often","2014","higher vocational","","","","","1"
"Very often","2014","higher education","","","","","1"
"Very often","2014","inadequately","","","","","1"
"Very often","2014","general elemantary","","","","","1"
"Very often","2014","middle vocational","","","","","1"
"Very often","2014","in school","","","","","1"
"Never","2015","in school","","","","","5"
"Never","2015","inadequately","","","","","5"
"Never","2015","middle vocational","","","","","5"
"Never","2015","vocational + Abi","","","","","5"
"Never","2015","higher vocational","","","","","5"
"Never","2015","higher education","","","","","5"
"Never","2015","general elemantary","","","","","5"
"Often","2015","vocational + Abi","","","","","2"
"Often","2015","higher vocational","","","","","2"
"Often","2015","in school","","","","","2"
"Often","2015","inadequately","","","","","2"
"Often","2015","general elemantary","","","","","2"
"Often","2015","middle vocational","","","","","2"
"Often","2015","higher education","","","","","2"
"Rarely","2015","vocational + Abi","","","","","4"
"Rarely","2015","higher vocational","","","","","4"
"Rarely","2015","higher education","","","","","4"
"Rarely","2015","inadequately","","","","","4"
"Rarely","2015","general elemantary","","","","","4"
"Rarely","2015","middle vocational","","","","","4"
"Rarely","2015","in school","","","","","4"
"Sometimes","2015","in school","","","","","3"
"Sometimes","2015","inadequately","","","","","3"
"Sometimes","2015","vocational + Abi","","","","","3"
"Sometimes","2015","higher vocational","","","","","3"
"Sometimes","2015","general elemantary","","","","","3"
"Sometimes","2015","higher education","","","","","3"
"Sometimes","2015","middle vocational","","","","","3"
"Very often","2015","vocational + Abi","","","","","1"
"Very often","2015","higher vocational","","","","","1"
"Very often","2015","higher education","","","","","1"
"Very often","2015","in school","","","","","1"
"Very often","2015","inadequately","","","","","1"
"Very often","2015","general elemantary","","","","","1"
"Very often","2015","middle vocational","","","","","1"
"Never","2016","in school","","","","","5"
"Never","2016","inadequately","","","","","5"
"Never","2016","general elemantary","","","","","5"
"Never","2016","middle vocational","","","","","5"
"Never","2016","vocational + Abi","","","","","5"
"Never","2016","higher vocational","","","","","5"
"Never","2016","higher education","","","","","5"
"Often","2016","vocational + Abi","","","","","2"
"Often","2016","higher vocational","","","","","2"
"Often","2016","inadequately","","","","","2"
"Often","2016","general elemantary","","","","","2"
"Often","2016","in school","","","","","2"
"Often","2016","middle vocational","","","","","2"
"Often","2016","higher education","","","","","2"
"Rarely","2016","vocational + Abi","","","","","4"
"Rarely","2016","higher vocational","","","","","4"
"Rarely","2016","in school","","","","","4"
"Rarely","2016","higher education","","","","","4"
"Rarely","2016","general elemantary","","","","","4"
"Rarely","2016","middle vocational","","","","","4"
"Rarely","2016","inadequately","","","","","4"
"Sometimes","2016","inadequately","","","","","3"
"Sometimes","2016","in school","","","","","3"
"Sometimes","2016","higher education","","","","","3"
"Sometimes","2016","general elemantary","","","","","3"
"Sometimes","2016","vocational + Abi","","","","","3"
"Sometimes","2016","higher vocational","","","","","3"
"Sometimes","2016","middle vocational","","","","","3"
"Very often","2016","in school","","","","","1"
"Very often","2016","vocational + Abi","","","","","1"
"Very often","2016","higher vocational","","","","","1"
"Very often","2016","higher education","","","","","1"
"Very often","2016","inadequately","","","","","1"
"Very often","2016","general elemantary","","","","","1"
"Very often","2016","middle vocational","","","","","1"
"Never","2017","in school","","","","","5"
"Never","2017","inadequately","","","","","5"
"Never","2017","general elemantary","","","","","5"
"Never","2017","middle vocational","","","","","5"
"Never","2017","vocational + Abi","","","","","5"
"Never","2017","higher vocational","","","","","5"
"Never","2017","higher education","","","","","5"
"Often","2017","vocational + Abi","","","","","2"
"Often","2017","middle vocational","","","","","2"
"Often","2017","higher vocational","","","","","2"
"Often","2017","inadequately","","","","","2"
"Often","2017","general elemantary","","","","","2"
"Often","2017","higher education","","","","","2"
"Often","2017","in school","","","","","2"
"Rarely","2017","higher education","","","","","4"
"Rarely","2017","vocational + Abi","","","","","4"
"Rarely","2017","higher vocational","","","","","4"
"Rarely","2017","inadequately","","","","","4"
"Rarely","2017","middle vocational","","","","","4"
"Rarely","2017","in school","","","","","4"
"Rarely","2017","general elemantary","","","","","4"
"Sometimes","2017","inadequately","","","","","3"
"Sometimes","2017","vocational + Abi","","","","","3"
"Sometimes","2017","higher vocational","","","","","3"
"Sometimes","2017","higher education","","","","","3"
"Sometimes","2017","general elemantary","","","","","3"
"Sometimes","2017","middle vocational","","","","","3"
"Sometimes","2017","in school","","","","","3"
"Very often","2017","vocational + Abi","","","","","1"
"Very often","2017","higher vocational","","","","","1"
"Very often","2017","higher education","","","","","1"
"Very often","2017","inadequately","","","","","1"
"Very often","2017","in school","","","","","1"
"Very often","2017","general elemantary","","","","","1"
"Very often","2017","middle vocational","","","","","1"
"Never","2018","in school","21","","","","5"
"Never","2018","inadequately","150","0.347364577126292","0.304814177989079","0.389914976263506","5"
"Never","2018","general elemantary","642","0.258554465964199","0.241928127033686","0.275180804894712","5"
"Never","2018","middle vocational","2002","0.181600554974676","0.17454814888327","0.188652961066082","5"
"Never","2018","vocational + Abi","261","0.117816233962826","0.104066850226068","0.131565617699585","5"
"Never","2018","higher vocational","176","0.122911495691716","0.106023319779085","0.139799671604347","5"
"Never","2018","higher education","483","0.0736844325139289","0.0672489770787928","0.0801198879490649","5"
"Often","2018","vocational + Abi","402","0.199778118390719","0.182725922829389","0.216830313952048","2"
"Often","2018","higher vocational","240","0.175675387184755","0.156101847253801","0.19524892711571","2"
"Often","2018","inadequately","71","0.137023118391375","0.106292446402151","0.167753790380599","2"
"Often","2018","general elemantary","356","0.104906235313997","0.0932699088338594","0.116542561794134","2"
"Often","2018","middle vocational","1688","0.148584557660071","0.142077964349687","0.155091150970454","2"
"Often","2018","higher education","1278","0.212932710608318","0.202848566176474","0.223016855040161","2"
"Often","2018","in school","101","0.266539037154191","0.219950512671081","0.313127561637301","2"
"Rarely","2018","vocational + Abi","577","0.272444724361897","0.253456981903506","0.291432466820287","4"
"Rarely","2018","higher vocational","461","0.306357999728016","0.282647151728712","0.33006884772732","4"
"Rarely","2018","higher education","1810","0.289407813922888","0.278237194023617","0.300578433822159","4"
"Rarely","2018","inadequately","114","0.253558593196721","0.214679817451711","0.29243736894173","4"
"Rarely","2018","general elemantary","762","0.301830143423074","0.284398319401949","0.319261967444199","4"
"Rarely","2018","middle vocational","3571","0.30792601884895","0.299481099279791","0.31637093841811","4"
"Rarely","2018","in school","75","0.25687816899541","0.210841525699456","0.302914812291365","4"
