"ple0013","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2012","in school","Male","","","",""
"Yes","2012","in school","Female","","","",""
"Yes","2012","inadequately","Male","","","",""
"Yes","2012","inadequately","Female","","","",""
"Yes","2012","general elemantary","Male","","","",""
"Yes","2012","general elemantary","Female","","","",""
"Yes","2012","middle vocational","Male","","","",""
"Yes","2012","middle vocational","Female","","","",""
"Yes","2012","vocational + Abi","Male","","","",""
"Yes","2012","vocational + Abi","Female","","","",""
"Yes","2012","higher vocational","Male","","","",""
"Yes","2012","higher vocational","Female","","","",""
"Yes","2012","higher education","Male","","","",""
"Yes","2012","higher education","Female","","","",""
"Yes","2013","in school","Male","8","","",""
"Yes","2013","in school","Female","10","","",""
"Yes","2013","inadequately","Male","6","","",""
"Yes","2013","inadequately","Female","10","","",""
"Yes","2013","general elemantary","Male","28","","",""
"Yes","2013","general elemantary","Female","103","1","1","1"
"Yes","2013","middle vocational","Male","246","1","1","1"
"Yes","2013","middle vocational","Female","347","1","1","1"
"Yes","2013","vocational + Abi","Male","25","","",""
"Yes","2013","vocational + Abi","Female","29","","",""
"Yes","2013","higher vocational","Male","39","1","1","1"
"Yes","2013","higher vocational","Female","22","","",""
"Yes","2013","higher education","Male","116","1","1","1"
"Yes","2013","higher education","Female","128","1","1","1"
"Yes","2014","in school","Male","","","",""
"Yes","2014","in school","Female","","","",""
"Yes","2014","inadequately","Male","","","",""
"Yes","2014","inadequately","Female","","","",""
"Yes","2014","general elemantary","Male","","","",""
"Yes","2014","general elemantary","Female","","","",""
"Yes","2014","middle vocational","Male","","","",""
"Yes","2014","middle vocational","Female","","","",""
"Yes","2014","vocational + Abi","Male","","","",""
"Yes","2014","vocational + Abi","Female","","","",""
"Yes","2014","higher vocational","Male","","","",""
"Yes","2014","higher vocational","Female","","","",""
"Yes","2014","higher education","Male","","","",""
"Yes","2014","higher education","Female","","","",""
"Yes","2015","in school","Male","10","","",""
"Yes","2015","in school","Female","16","","",""
"Yes","2015","inadequately","Male","15","","",""
"Yes","2015","inadequately","Female","27","","",""
"Yes","2015","general elemantary","Male","51","1","1","1"
"Yes","2015","general elemantary","Female","128","1","1","1"
"Yes","2015","middle vocational","Male","304","1","1","1"
"Yes","2015","middle vocational","Female","442","1","1","1"
"Yes","2015","vocational + Abi","Male","36","1","1","1"
"Yes","2015","vocational + Abi","Female","72","1","1","1"
"Yes","2015","higher vocational","Male","52","1","1","1"
"Yes","2015","higher vocational","Female","28","","",""
"Yes","2015","higher education","Male","148","1","1","1"
"Yes","2015","higher education","Female","177","1","1","1"
"Yes","2016","in school","Male","","","",""
"Yes","2016","in school","Female","","","",""
"Yes","2016","inadequately","Male","","","",""
"Yes","2016","inadequately","Female","","","",""
"Yes","2016","general elemantary","Male","","","",""
"Yes","2016","general elemantary","Female","","","",""
"Yes","2016","middle vocational","Male","","","",""
"Yes","2016","middle vocational","Female","","","",""
"Yes","2016","vocational + Abi","Male","","","",""
"Yes","2016","vocational + Abi","Female","","","",""
"Yes","2016","higher vocational","Male","","","",""
"Yes","2016","higher vocational","Female","","","",""
"Yes","2016","higher education","Male","","","",""
"Yes","2016","higher education","Female","","","",""
"Yes","2017","in school","Male","18","","",""
"Yes","2017","in school","Female","11","","",""
"Yes","2017","inadequately","Male","16","","",""
"Yes","2017","inadequately","Female","26","","",""
"Yes","2017","general elemantary","Male","65","1","1","1"
"Yes","2017","general elemantary","Female","141","1","1","1"
"Yes","2017","middle vocational","Male","343","1","1","1"
"Yes","2017","middle vocational","Female","470","1","1","1"
"Yes","2017","vocational + Abi","Male","43","1","1","1"
"Yes","2017","vocational + Abi","Female","96","1","1","1"
"Yes","2017","higher vocational","Male","55","1","1","1"
"Yes","2017","higher vocational","Female","34","1","1","1"
"Yes","2017","higher education","Male","169","1","1","1"
"Yes","2017","higher education","Female","200","1","1","1"
"Yes","2018","in school","Male","","","",""
"Yes","2018","in school","Female","","","",""
"Yes","2018","inadequately","Male","","","",""
"Yes","2018","inadequately","Female","","","",""
"Yes","2018","general elemantary","Male","","","",""
"Yes","2018","general elemantary","Female","","","",""
"Yes","2018","middle vocational","Male","","","",""
"Yes","2018","middle vocational","Female","","","",""
"Yes","2018","vocational + Abi","Male","","","",""
"Yes","2018","vocational + Abi","Female","","","",""
"Yes","2018","higher vocational","Male","","","",""
"Yes","2018","higher vocational","Female","","","",""
"Yes","2018","higher education","Male","","","",""
"Yes","2018","higher education","Female","","","",""
"Yes","2019","in school","Male","5","","",""
"Yes","2019","in school","Female","9","","",""
"Yes","2019","inadequately","Male","15","","",""
"Yes","2019","inadequately","Female","25","","",""
"Yes","2019","general elemantary","Male","62","1","1","1"
"Yes","2019","general elemantary","Female","132","1","1","1"
"Yes","2019","middle vocational","Male","370","1","1","1"
"Yes","2019","middle vocational","Female","466","1","1","1"
"Yes","2019","vocational + Abi","Male","52","1","1","1"
"Yes","2019","vocational + Abi","Female","95","1","1","1"
"Yes","2019","higher vocational","Male","59","1","1","1"
"Yes","2019","higher vocational","Female","45","1","1","1"
"Yes","2019","higher education","Male","231","1","1","1"
"Yes","2019","higher education","Female","226","1","1","1"
