"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2002","direct migration background","6.77","7","2801","3","5","8","10","6.69","6.85","7","7"
"2002","indirect migration background","6.87","7","780","3","5","9","10","6.71","7.03","7","7"
"2002","no migration background","7.13","8","19456","4","6","9","10","7.1","7.16","7","8"
"2003","direct migration background","6.72","7","2631","3","5","8","10","6.63","6.81","7","7"
"2003","indirect migration background","6.73","7","789","3","5","9","10","6.57","6.89","7","7"
"2003","no migration background","7.17","8","18789","4","6","9","10","7.14","7.2","7","8"
"2004","direct migration background","6.66","7","2536","3","5","8","10","6.57","6.75","7","7"
"2004","indirect migration background","6.76","7","801","4","5","8","10","6.6","6.92","7","7"
"2004","no migration background","7.13","8","18251","4","6","9","10","7.1","7.16","7","8"
"2005","direct migration background","6.81","7","2372","3","5","9","10","6.72","6.9","7","7"
"2005","indirect migration background","6.74","7","829","3","5","8","10","6.59","6.89","7","7"
"2005","no migration background","7.08","8","17500","4","6","9","10","7.05","7.11","7","7"
"2006","direct migration background","6.62","7","2374","3","5","9","10","6.52","6.72","7","7"
"2006","indirect migration background","6.51","7","820","3","5","8","10","6.35","6.67","7","7"
"2006","no migration background","7.06","8","18783","4","6","9","10","7.03","7.09","7","8"
"2007","direct migration background","6.59","7","2126","3","5","8","10","6.49","6.69","7","7"
"2007","indirect migration background","6.47","7","784","3","5","8","10","6.3","6.64","7","7"
"2007","no migration background","7.05","7","17620","4","6","9","10","7.02","7.08","7","7"
"2008","direct migration background","6.84","7","1910","4","5","8","10","6.74","6.94","7","7"
"2008","indirect migration background","6.7","7","772","3","5","9","10","6.54","6.86","7","7"
"2008","no migration background","7.16","8","16692","4","6","9","10","7.13","7.19","8","8"
"2009","direct migration background","6.78","7","1664","3","5","9","10","6.67","6.89","7","7"
"2009","indirect migration background","6.58","7","714","3","5","8","9","6.42","6.74","7","7"
"2009","no migration background","7.15","8","15685","4","6","9","10","7.12","7.18","8","8"
"2010","direct migration background","6.67","7","2902","3","5","8","10","6.58","6.76","7","7"
"2010","indirect migration background","6.81","7","1146","4","5","8","10","6.67","6.95","7","7"
"2010","no migration background","7.14","8","19952","4","6","9","10","7.11","7.17","7","7"
"2011","direct migration background","6.92","7","1674","4","5","9","10","6.81","7.03","7","7"
"2011","indirect migration background","6.76","7","708","4","5","8","10","6.59","6.93","7","7"
"2011","no migration background","7.25","8","15838","4","6","9","10","7.22","7.28","8","8"
"2012","direct migration background","6.96","7","1802","4","5","9","10","6.85","7.07","7","8"
"2012","indirect migration background","6.89","7","742","4","5","9","10","6.73","7.05","7","7"
"2012","no migration background","7.28","8","16750","4","6","9","10","7.25","7.31","8","8"
"2013","direct migration background","7.03","8","1654","4","6","9","10","6.92","7.14","7","8"
"2013","indirect migration background","7.04","7","697","4","6","9","9","6.88","7.2","7","7"
"2013","no migration background","7.33","8","16368","4","6","9","10","7.3","7.36","8","8"
"2014","direct migration background","6.88","7","5115","3","5","9","10","6.81","6.95","7","7"
"2014","indirect migration background","7.03","7","1794","4","6","9","10","6.93","7.13","7","7"
"2014","no migration background","7.26","8","20222","4","6","9","10","7.23","7.29","8","8"
"2015","direct migration background","6.9","7","4305","4","5","8","10","6.83","6.97","7","7"
"2015","indirect migration background","7.06","7","1628","4","6","9","10","6.95","7.17","7","7"
"2015","no migration background","7.28","8","19139","4","6","9","10","7.25","7.31","8","8"
"2016","direct migration background","7.01","8","4781","4","5","9","10","6.94","7.08","7","7"
"2016","indirect migration background","6.96","7","1547","4","6","8","10","6.85","7.07","7","7"
"2016","no migration background","7.27","8","17879","4","6","9","10","7.24","7.3","8","8"
"2017","direct migration background","6.91","7","4567","4","5","9","10","6.84","6.98","7","7"
"2017","indirect migration background","7.11","7","1689","5","6","9","10","7","7.22","7","7"
"2017","no migration background","7.28","8","20261","5","6","9","10","7.25","7.31","8","8"
"2018","direct migration background","6.77","7","4374","4","5","8","10","6.7","6.84","7","7"
"2018","indirect migration background","6.99","7","1697","4","6","9","10","6.88","7.1","7","7"
"2018","no migration background","7.26","8","19560","4","6","9","10","7.23","7.29","8","8"
"2019","direct migration background","7","7","3843","4","6","9","10","6.93","7.07","7","7"
"2019","indirect migration background","7.22","8","1707","4","6","9","10","7.11","7.33","7","7"
"2019","no migration background","7.34","8","20242","5","6","9","10","7.31","7.37","8","8"
