"m11126","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Very good","1995","in school","Rural Area","27","","",""
"Very good","1995","inadequately","Urban Area","27","","",""
"Very good","1995","inadequately","Rural Area","5","","",""
"Very good","1995","general elemantary","Urban Area","181","0.0714065507786649","0.0593420070415716","0.0834710945157582"
"Very good","1995","general elemantary","Rural Area","77","0.0799938277191572","0.0607068177675397","0.0992808376707747"
"Very good","1995","middle vocational","Urban Area","397","0.0703566293079561","0.0627143379878981","0.0779989206280141"
"Very good","1995","middle vocational","Rural Area","203","0.0711031474193974","0.0608996634895491","0.0813066313492457"
"Very good","1995","vocational + Abi","Urban Area","44","0.125264413156049","0.0913054899786941","0.159223336333404"
"Very good","1995","vocational + Abi","Rural Area","12","","",""
"Very good","1995","higher vocational","Urban Area","45","0.093970155064038","0.0677022677956255","0.12023804233245"
"Very good","1995","higher vocational","Rural Area","18","","",""
"Very good","1995","higher education","Urban Area","113","0.084410676870357","0.0681439298057859","0.100677423934928"
"Very good","1995","higher education","Rural Area","60","0.10232874978715","0.0787740797221548","0.125883419852145"
"Good","1995","in school","Urban Area","100","0.546211039594137","0.476511925948431","0.615910153239842"
"Good","1995","in school","Rural Area","43","0.439750526460171","0.335450990239518","0.544050062680823"
"Good","1995","inadequately","Urban Area","143","0.325212077642552","0.281881756892276","0.368542398392829"
"Good","1995","inadequately","Rural Area","32","0.411661729953248","0.307649917943978","0.515673541962518"
"Good","1995","general elemantary","Urban Area","607","0.285438052394907","0.264278574667739","0.306597530122075"
"Good","1995","general elemantary","Rural Area","264","0.295065128171244","0.262640520096538","0.327489736245949"
"Good","1995","middle vocational","Urban Area","1790","0.386540736764592","0.371989383394712","0.401092090134472"
"Good","1995","middle vocational","Rural Area","1026","0.38440785805617","0.365094268906413","0.403721447205926"
"Good","1995","vocational + Abi","Urban Area","185","0.526707766248725","0.475486394044081","0.57792913845337"
"Good","1995","vocational + Abi","Rural Area","57","0.48432992613403","0.392591289460546","0.576068562807513"
"Good","1995","higher vocational","Urban Area","188","0.370012199787403","0.326547867559626","0.41347653201518"
"Good","1995","higher vocational","Rural Area","129","0.438435770319752","0.381228414124808","0.495643126514696"
"Good","1995","higher education","Urban Area","519","0.445936852828326","0.416851925895645","0.475021779761007"
"Good","1995","higher education","Rural Area","276","0.43390729158238","0.395389463731823","0.472425119432936"
"Satisfactory","1995","in school","Urban Area","31","0.157446294368968","0.106456287127198","0.208436301610739"
"Satisfactory","1995","in school","Rural Area","13","","",""
"Satisfactory","1995","inadequately","Urban Area","152","0.317226823250365","0.27417930714424","0.360274339356489"
"Satisfactory","1995","inadequately","Rural Area","27","","",""
"Satisfactory","1995","general elemantary","Urban Area","519","0.342547914437043","0.3203137002898","0.364782128584287"
"Satisfactory","1995","general elemantary","Rural Area","248","0.330673030777612","0.297225824773733","0.36412023678149"
"Satisfactory","1995","middle vocational","Urban Area","1379","0.341256111150545","0.32708801790861","0.355424204392479"
"Satisfactory","1995","middle vocational","Rural Area","834","0.365807713708838","0.346684660489554","0.384930766928122"
"Satisfactory","1995","vocational + Abi","Urban Area","94","0.244301547799506","0.200221806765251","0.28838128883376"
"Satisfactory","1995","vocational + Abi","Rural Area","34","0.28673144920773","0.203715819212884","0.369747079202576"
"Satisfactory","1995","higher vocational","Urban Area","174","0.368117662562419","0.324699608402517","0.411535716722322"
"Satisfactory","1995","higher vocational","Rural Area","96","0.34011311654194","0.285493882169775","0.394732350914105"
"Satisfactory","1995","higher education","Urban Area","359","0.350890850006059","0.322965633439611","0.378816066572507"
"Satisfactory","1995","higher education","Rural Area","227","0.340856357621305","0.304018423542655","0.377694291699955"
"Poor","1995","in school","Urban Area","6","","",""
"Poor","1995","in school","Rural Area","4","","",""
"Poor","1995","inadequately","Urban Area","103","0.240205021265963","0.200689822492489","0.279720220039437"
"Poor","1995","inadequately","Rural Area","18","","",""
"Poor","1995","general elemantary","Urban Area","341","0.220586300926665","0.20115945244143","0.2400131494119"
"Poor","1995","general elemantary","Rural Area","121","0.208817428902329","0.179919745894902","0.237715111909756"
"Poor","1995","middle vocational","Urban Area","569","0.152921510778585","0.142166545697829","0.163676475859341"
"Poor","1995","middle vocational","Rural Area","312","0.148402082291347","0.134287838349867","0.162516326232828"
"Poor","1995","vocational + Abi","Urban Area","31","0.0695096886122274","0.0434193174153002","0.0956000598091546"
"Poor","1995","vocational + Abi","Rural Area","10","","",""
"Poor","1995","higher vocational","Urban Area","50","0.12052356552486","0.091214160036152","0.149832971013568"
"Poor","1995","higher vocational","Rural Area","41","0.133163038682404","0.0939924833593601","0.172333594005447"
"Poor","1995","higher education","Urban Area","113","0.104904961976057","0.0869747983552518","0.122835125596863"
"Poor","1995","higher education","Rural Area","55","0.0990986816959275","0.0758770847405995","0.122320278651255"
"Bad ","1995","in school","Urban Area","1","","",""
"Bad ","1995","in school","Rural Area","","","",""
"Bad ","1995","inadequately","Urban Area","24","","",""
"Bad ","1995","inadequately","Rural Area","4","","",""
"Bad ","1995","general elemantary","Urban Area","102","0.08002118146272","0.0673089889720055","0.0927333739534345"
"Bad ","1995","general elemantary","Rural Area","50","0.0854505844296584","0.0655758011427372","0.10532536771658"
"Bad ","1995","middle vocational","Urban Area","167","0.0489250119983222","0.0424790797171981","0.0553709442794463"
"Bad ","1995","middle vocational","Rural Area","62","0.0302791985242472","0.0234759573016972","0.0370824397467972"
"Bad ","1995","vocational + Abi","Urban Area","11","","",""
"Bad ","1995","vocational + Abi","Rural Area","1","","",""
"Bad ","1995","higher vocational","Urban Area","17","","",""
"Bad ","1995","higher vocational","Rural Area","5","","",""
"Bad ","1995","higher education","Urban Area","18","","",""
"Bad ","1995","higher education","Rural Area","18","","",""
"Very good","1996","in school","Urban Area","62","0.288483975450866","0.226160270633812","0.350807680267919"
"Very good","1996","in school","Rural Area","34","0.412410345156621","0.311268879966298","0.513551810346943"
"Very good","1996","inadequately","Urban Area","27","","",""
"Very good","1996","inadequately","Rural Area","9","","",""
"Very good","1996","general elemantary","Urban Area","161","0.0698078215068861","0.0575825557991388","0.0820330872146334"
"Very good","1996","general elemantary","Rural Area","48","0.0425073792568444","0.0279224507633769","0.0570923077503118"
"Very good","1996","middle vocational","Urban Area","409","0.0757248556677582","0.067732432089773","0.0837172792457434"
"Very good","1996","middle vocational","Rural Area","207","0.0808097707094641","0.0699533832876732","0.091666158131255"
"Very good","1996","vocational + Abi","Urban Area","44","0.131153777420837","0.0964276272599055","0.165879927581768"
"Very good","1996","vocational + Abi","Rural Area","12","","",""
"Very good","1996","higher vocational","Urban Area","53","0.0876824962521309","0.0624590756417008","0.112905916862561"
"Very good","1996","higher vocational","Rural Area","25","","",""
"Very good","1996","higher education","Urban Area","117","0.0986316507916984","0.0812775998975122","0.115985701685884"
"Very good","1996","higher education","Rural Area","43","0.075976403929734","0.0553518597118528","0.0966009481476152"
"Good","1996","in school","Urban Area","96","0.459265656350864","0.390713040068029","0.527818272633698"
"Good","1996","in school","Rural Area","37","0.379921981241394","0.280198421283624","0.479645541199164"
"Good","1996","inadequately","Urban Area","121","0.304507702078983","0.259853399290875","0.349162004867091"
"Good","1996","inadequately","Rural Area","29","","",""
"Good","1996","general elemantary","Urban Area","565","0.277920397745701","0.2564286035825","0.299412191908901"
"Good","1996","general elemantary","Rural Area","249","0.309937627681208","0.276503827143139","0.343371428219277"
"Good","1996","middle vocational","Urban Area","1667","0.359840864159075","0.345341203361085","0.374340524957064"
"Good","1996","middle vocational","Rural Area","979","0.373855418611332","0.35458283895239","0.393127998270274"
"Good","1996","vocational + Abi","Urban Area","176","0.497079178921643","0.445644341360162","0.548514016483125"
"Good","1996","vocational + Abi","Rural Area","68","0.64456209417396","0.557081157914685","0.732043030433235"
"Good","1996","higher vocational","Urban Area","192","0.361249294062555","0.318409859914343","0.404088728210767"
"Good","1996","higher vocational","Rural Area","126","0.411395361405045","0.354264970393426","0.468525752416664"
"Good","1996","higher education","Urban Area","545","0.484916430514325","0.455828430490792","0.514004430537859"
"Good","1996","higher education","Rural Area","292","0.443318111890831","0.404648951249702","0.48198727253196"
"Satisfactory","1996","in school","Urban Area","31","0.169855734333261","0.118200187330404","0.221511281336118"
"Satisfactory","1996","in school","Rural Area","17","","",""
"Satisfactory","1996","inadequately","Urban Area","146","0.366142629653404","0.319397224321009","0.412888034985799"
"Satisfactory","1996","inadequately","Rural Area","27","","",""
"Satisfactory","1996","general elemantary","Urban Area","552","0.362082466793907","0.339025300074318","0.385139633513496"
"Satisfactory","1996","general elemantary","Rural Area","271","0.374094614143714","0.339112222819188","0.40907700546824"
"Satisfactory","1996","middle vocational","Urban Area","1442","0.372280731758572","0.357676569903887","0.386884893613256"
"Satisfactory","1996","middle vocational","Rural Area","883","0.381127360080471","0.361781573106936","0.400473147054005"
"Satisfactory","1996","vocational + Abi","Urban Area","102","0.255529397593878","0.210661162105045","0.30039763308271"
"Satisfactory","1996","vocational + Abi","Rural Area","23","","",""
"Satisfactory","1996","higher vocational","Urban Area","169","0.367073010239723","0.32408695820153","0.410059062277916"
"Satisfactory","1996","higher vocational","Rural Area","91","0.302441905146829","0.249116172004112","0.355767638289545"
"Satisfactory","1996","higher education","Urban Area","329","0.288265769284946","0.261902635856752","0.314628902713139"
"Satisfactory","1996","higher education","Rural Area","225","0.361401697444901","0.324006792294121","0.398796602595681"
"Poor","1996","in school","Urban Area","13","","",""
"Poor","1996","in school","Rural Area","3","","",""
"Poor","1996","inadequately","Urban Area","81","0.164589400864878","0.128608756878447","0.20057004485131"
"Poor","1996","inadequately","Rural Area","18","","",""
"Poor","1996","general elemantary","Urban Area","295","0.212178243225152","0.192563422982748","0.231793063467556"
"Poor","1996","general elemantary","Rural Area","123","0.200379159061723","0.171440876778382","0.229317441345064"
"Poor","1996","middle vocational","Urban Area","553","0.148660078339581","0.137912581987673","0.15940757469149"
"Poor","1996","middle vocational","Rural Area","280","0.129447731848052","0.116075763356127","0.142819700339977"
"Poor","1996","vocational + Abi","Urban Area","32","0.093986584957734","0.0639676674489763","0.124005502466492"
"Poor","1996","vocational + Abi","Rural Area","9","","",""
"Poor","1996","higher vocational","Urban Area","54","0.147711048076357","0.116068281693375","0.17935381445934"
"Poor","1996","higher vocational","Rural Area","33","0.162851623874941","0.119984640024952","0.20571860772493"
"Poor","1996","higher education","Urban Area","121","0.104721923868645","0.0869006253679922","0.122543222369298"
"Poor","1996","higher education","Rural Area","62","0.103671247274753","0.0799429656677824","0.127399528881723"
"Bad ","1996","in school","Urban Area","1","","",""
"Bad ","1996","in school","Rural Area","","","",""
"Bad ","1996","inadequately","Urban Area","33","0.0914813848051425","0.0635075961332294","0.119455173477056"
"Bad ","1996","inadequately","Rural Area","3","","",""
"Bad ","1996","general elemantary","Urban Area","96","0.0780110707283542","0.0651445567776246","0.0908775846790837"
"Bad ","1996","general elemantary","Rural Area","44","0.0730812198565106","0.054265182954627","0.0918972567583942"
"Bad ","1996","middle vocational","Urban Area","138","0.0434934700750143","0.0373315703425129","0.0496553698075156"
"Bad ","1996","middle vocational","Rural Area","72","0.0347597187506809","0.0274633539093076","0.0420560835920543"
"Bad ","1996","vocational + Abi","Urban Area","9","","",""
"Bad ","1996","vocational + Abi","Rural Area","3","","",""
"Bad ","1996","higher vocational","Urban Area","15","","",""
"Bad ","1996","higher vocational","Rural Area","10","","",""
"Bad ","1996","higher education","Urban Area","22","","",""
"Bad ","1996","higher education","Rural Area","12","","",""
"Very good","1997","in school","Urban Area","75","0.355222590218556","0.290494374034638","0.419950806402474"
"Very good","1997","in school","Rural Area","32","0.351444182145901","0.260558176435872","0.442330187855929"
"Very good","1997","inadequately","Urban Area","20","","",""
"Very good","1997","inadequately","Rural Area","6","","",""
"Very good","1997","general elemantary","Urban Area","146","0.0630114862526343","0.0512551825774753","0.0747677899277933"
"Very good","1997","general elemantary","Rural Area","49","0.0624081303942522","0.0445013880571969","0.0803148727313074"
"Very good","1997","middle vocational","Urban Area","354","0.0802900334043843","0.072008436429305","0.0885716303794635"
"Very good","1997","middle vocational","Rural Area","195","0.0744923917951659","0.0639279834907326","0.0850568000995992"
"Very good","1997","vocational + Abi","Urban Area","33","0.120730362745583","0.0862501194182634","0.155210606072902"
"Very good","1997","vocational + Abi","Rural Area","17","","",""
"Very good","1997","higher vocational","Urban Area","46","0.0806994699851353","0.0564339553409358","0.104964984629335"
"Very good","1997","higher vocational","Rural Area","14","","",""
"Very good","1997","higher education","Urban Area","99","0.0866877570667774","0.0702528437198627","0.103122670413692"
"Very good","1997","higher education","Rural Area","46","0.0869288994003314","0.0652203732095712","0.108637425591092"
"Good","1997","in school","Urban Area","95","0.47088259006255","0.403372173727808","0.538393006397292"
"Good","1997","in school","Rural Area","55","0.454527968520937","0.359738146447787","0.549317790594087"
