"ple0044_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","1985","66 and older","higher vocational","54","0.671389521392436","0.568462102793701","0.774316939991171","1"
"Yes","1985","66 and older","higher education","38","0.683919787305388","0.562145578517688","0.805693996093089","1"
"No","1986","66 and older","general elemantary","371","0.941016164542256","0.917870396231379","0.964161932853132","2"
"No","1986","66 and older","in school","","","","","2"
"No","1986","66 and older","inadequately","19","","","","2"
"No","1986","66 and older","higher vocational","70","0.951909877748615","0.903161733404241","1.00065802209299","2"
"No","1986","66 and older","vocational + Abi","19","","","","2"
"No","1986","66 and older","higher education","47","0.915042380623669","0.839978341794844","0.990106419452495","2"
"No","1986","16-34 y.","higher education","132","0.604530754375769","0.54006671553026","0.668994793221278","2"
"No","1986","66 and older","middle vocational","442","0.921929066309746","0.897903492174114","0.945954640445378","2"
"No","1986","16-34 y.","higher vocational","102","0.548525792089312","0.47720070892163","0.619850875256993","2"
"No","1986","16-34 y.","middle vocational","1150","0.618548196701068","0.59655006432866","0.640546329073476","2"
"No","1986","35-65 y.","vocational + Abi","61","0.589270440640134","0.491867882996245","0.686672998284023","2"
"No","1986","35-65 y.","higher education","216","0.47819573545576","0.432596843473479","0.523794627438042","2"
"No","1986","16-34 y.","inadequately","167","0.737217815233683","0.680335136077716","0.79410049438965","2"
"No","1986","35-65 y.","middle vocational","1560","0.609426498358014","0.590626321654758","0.62822667506127","2"
"No","1986","35-65 y.","higher vocational","169","0.542995772124131","0.48815838002237","0.597833164225892","2"
"No","1986","16-34 y.","general elemantary","736","0.667948787674736","0.640305813030038","0.695591762319433","2"
"No","1986","16-34 y.","in school","171","0.924686808080011","0.886659543631617","0.962714072528404","2"
"No","1986","16-34 y.","vocational + Abi","85","0.573515661458446","0.495149863455796","0.651881459461095","2"
"No","1986","35-65 y.","in school","","","","","2"
"No","1986","35-65 y.","inadequately","380","0.724571785945491","0.686431169680699","0.762712402210283","2"
"No","1986","35-65 y.","general elemantary","944","0.709264462740425","0.685349133486501","0.73317979199435","2"
"Yes","1986","16-34 y.","in school","14","","","","1"
"Yes","1986","16-34 y.","inadequately","63","0.262782184766317","0.20589950561035","0.319664863922285","1"
"Yes","1986","16-34 y.","general elemantary","379","0.332051212325264","0.304408237680567","0.359694186969962","1"
"Yes","1986","16-34 y.","middle vocational","723","0.381451803298932","0.359453670926524","0.40344993567134","1"
"Yes","1986","16-34 y.","vocational + Abi","68","0.426484338541554","0.348118540538905","0.504850136544204","1"
"Yes","1986","16-34 y.","higher vocational","85","0.451474207910688","0.380149124743006","0.52279929107837","1"
"Yes","1986","16-34 y.","higher education","89","0.395469245624231","0.331005206778722","0.459933284469741","1"
"Yes","1986","35-65 y.","in school","","","","","1"
"Yes","1986","35-65 y.","inadequately","147","0.275428214054509","0.237287597789717","0.313568830319301","1"
"Yes","1986","35-65 y.","general elemantary","441","0.290735537259575","0.26682020800565","0.314650866513499","1"
"Yes","1986","35-65 y.","middle vocational","1027","0.390573501641985","0.371773324938729","0.409373678345241","1"
"Yes","1986","35-65 y.","vocational + Abi","37","0.410729559359866","0.313327001715977","0.508132117003755","1"
"Yes","1986","35-65 y.","higher vocational","148","0.457004227875869","0.402166835774108","0.511841619977629","1"
"Yes","1986","35-65 y.","higher education","245","0.52180426454424","0.476205372561958","0.567403156526521","1"
"Yes","1986","66 and older","in school","","","","","1"
"Yes","1986","66 and older","inadequately","","","","","1"
"Yes","1986","66 and older","general elemantary","27","","","","1"
"Yes","1986","66 and older","middle vocational","37","0.0780709336902538","0.0540453595546218","0.102096507825886","1"
"Yes","1986","66 and older","vocational + Abi","1","","","","1"
"Yes","1986","66 and older","higher vocational","4","","","","1"
"Yes","1986","66 and older","higher education","6","","","","1"
"No","1987","66 and older","higher vocational","69","0.990548424929196","0.967881687126364","1.01321516273203","2"
"No","1987","66 and older","in school","","","","","2"
"No","1987","66 and older","higher education","53","0.95110128902312","0.895600879871349","1.00660169817489","2"
"No","1987","66 and older","inadequately","17","","","","2"
"No","1987","66 and older","general elemantary","400","0.974870851625574","0.959757460876284","0.989984242374864","2"
"No","1987","66 and older","vocational + Abi","18","","","","2"
"No","1987","16-34 y.","higher education","122","0.565033892923549","0.498920998054936","0.631146787792161","2"
"No","1987","66 and older","middle vocational","498","0.986764119440592","0.976806490769849","0.996721748111335","2"
"No","1987","16-34 y.","inadequately","163","0.775628197746965","0.718798695635567","0.832457699858362","2"
"No","1987","16-34 y.","general elemantary","749","0.689107245875978","0.661515196890135","0.716699294861821","2"
"No","1987","35-65 y.","vocational + Abi","62","0.634380283112064","0.539987729940621","0.728772836283506","2"
"No","1987","35-65 y.","higher vocational","169","0.543402511075261","0.487683104410263","0.599121917740259","2"
"No","1987","35-65 y.","higher education","218","0.497094947168087","0.450795931495038","0.543393962841135","2"
"No","1987","16-34 y.","middle vocational","1231","0.662033405228896","0.640536870394888","0.683529940062904","2"
"No","1987","16-34 y.","higher vocational","114","0.653022081852242","0.582896527105559","0.723147636598924","2"
"No","1987","35-65 y.","middle vocational","1616","0.643893242053526","0.625178832152938","0.662607651954115","2"
"No","1987","16-34 y.","in school","180","0.917698705067182","0.878723823777786","0.956673586356578","2"
"No","1987","16-34 y.","vocational + Abi","100","0.647007882085332","0.571529076281471","0.722486687889194","2"
"No","1987","35-65 y.","in school","","","","","2"
"No","1987","35-65 y.","inadequately","383","0.720326629652139","0.682042266861545","0.758610992442734","2"
"No","1987","35-65 y.","general elemantary","956","0.743247668512458","0.719681710412259","0.766813626612658","2"
"Yes","1987","16-34 y.","in school","11","","","","1"
"Yes","1987","16-34 y.","inadequately","44","0.224371802253035","0.167542300141638","0.281201304364433","1"
"Yes","1987","16-34 y.","general elemantary","332","0.310892754124022","0.283300705138179","0.338484803109865","1"
"Yes","1987","16-34 y.","middle vocational","629","0.337966594771104","0.316470059937096","0.359463129605112","1"
"Yes","1987","16-34 y.","vocational + Abi","54","0.352992117914668","0.277513312110806","0.428470923718529","1"
"Yes","1987","16-34 y.","higher vocational","63","0.346977918147758","0.276852363401076","0.417103472894441","1"
"Yes","1987","16-34 y.","higher education","94","0.434966107076451","0.368853212207839","0.501079001945064","1"
"Yes","1987","35-65 y.","in school","","","","","1"
"Yes","1987","35-65 y.","inadequately","145","0.279673370347861","0.241389007557266","0.317957733138455","1"
"Yes","1987","35-65 y.","general elemantary","364","0.256752331487541","0.233186373387342","0.280318289587741","1"
"Yes","1987","35-65 y.","middle vocational","899","0.356106757946474","0.337392348045885","0.374821167847062","1"
"Yes","1987","35-65 y.","vocational + Abi","38","0.365619716887936","0.271227163716494","0.460012270059379","1"
"Yes","1987","35-65 y.","higher vocational","138","0.456597488924739","0.400878082259741","0.512316895589737","1"
"Yes","1987","35-65 y.","higher education","230","0.502905052831913","0.456606037158865","0.549204068504962","1"
"Yes","1987","66 and older","in school","","","","","1"
"Yes","1987","66 and older","inadequately","","","","","1"
"Yes","1987","66 and older","general elemantary","12","","","","1"
"Yes","1987","66 and older","middle vocational","8","","","","1"
"Yes","1987","66 and older","vocational + Abi","1","","","","1"
"Yes","1987","66 and older","higher vocational","1","","","","1"
"Yes","1987","66 and older","higher education","5","","","","1"
"No","1988","16-34 y.","higher vocational","94","0.643882284128182","0.568979442787155","0.718785125469209","2"
"No","1988","16-34 y.","higher education","107","0.511873392680514","0.442770284698401","0.580976500662628","2"
"No","1988","66 and older","general elemantary","380","0.985700680534299","0.973872367182369","0.997528993886229","2"
"No","1988","66 and older","higher education","47","0.888096525244054","0.80478240403288","0.971410646455229","2"
"No","1988","66 and older","higher vocational","67","0.977882452397747","0.943181982369517","1.01258292242598","2"
"No","1988","66 and older","in school","","","","","2"
"No","1988","16-34 y.","general elemantary","743","0.693673375290922","0.665844370778301","0.721502379803543","2"
"No","1988","66 and older","inadequately","17","","","","2"
"No","1988","16-34 y.","vocational + Abi","103","0.712156332042496","0.639701313547056","0.784611350537937","2"
"No","1988","16-34 y.","inadequately","143","0.752647335607855","0.691133720687247","0.814160950528463","2"
"No","1988","66 and older","middle vocational","492","0.975301035977389","0.96175096611682","0.988851105837958","2"
"No","1988","66 and older","vocational + Abi","18","","","","2"
"No","1988","16-34 y.","middle vocational","1114","0.617063819423202","0.594398697563107","0.639728941283297","2"
"No","1988","16-34 y.","in school","156","0.960748476198283","0.930936730930747","0.990560221465819","2"
"No","1988","35-65 y.","inadequately","383","0.804148668290171","0.769046108888017","0.839251227692325","2"
"No","1988","35-65 y.","general elemantary","902","0.729845968429661","0.705249811246054","0.754442125613269","2"
"No","1988","35-65 y.","middle vocational","1527","0.645195849915831","0.626026081344499","0.664365618487164","2"
"No","1988","35-65 y.","vocational + Abi","58","0.585933088198231","0.488906721416633","0.68295945497983","2"
"No","1988","35-65 y.","higher vocational","160","0.545064144891809","0.48862097613898","0.601507313644638","2"
"No","1988","35-65 y.","higher education","199","0.473170610942305","0.42581428165902","0.52052694022559","2"
"No","1988","35-65 y.","in school","","","","","2"
"Yes","1988","16-34 y.","in school","7","","","","1"
"Yes","1988","16-34 y.","inadequately","46","0.247352664392145","0.185839049471537","0.308866279312753","1"
"Yes","1988","16-34 y.","general elemantary","311","0.306326624709078","0.278497620196457","0.334155629221699","1"
"Yes","1988","16-34 y.","middle vocational","653","0.382936180576798","0.360271058716703","0.405601302436893","1"
"Yes","1988","16-34 y.","vocational + Abi","47","0.287843667957504","0.215388649462063","0.360298686452944","1"
"Yes","1988","16-34 y.","higher vocational","63","0.356117715871818","0.281214874530791","0.431020557212845","1"
"Yes","1988","16-34 y.","higher education","94","0.488126607319486","0.419023499337372","0.557229715301599","1"
"Yes","1988","35-65 y.","in school","","","","","1"
"Yes","1988","35-65 y.","inadequately","108","0.195851331709829","0.160748772307675","0.230953891111983","1"
"Yes","1988","35-65 y.","general elemantary","350","0.270154031570339","0.245557874386731","0.294750188753946","1"
"Yes","1988","35-65 y.","middle vocational","866","0.354804150084169","0.335634381512836","0.373973918655501","1"
"Yes","1988","35-65 y.","vocational + Abi","41","0.414066911801769","0.31704054502017","0.511093278583367","1"
"Yes","1988","35-65 y.","higher vocational","139","0.454935855108191","0.398492686355362","0.51137902386102","1"
"Yes","1988","35-65 y.","higher education","228","0.526829389057695","0.47947305977441","0.57418571834098","1"
"Yes","1988","66 and older","in school","","","","","1"
"Yes","1988","66 and older","inadequately","","","","","1"
"Yes","1988","66 and older","general elemantary","7","","","","1"
"Yes","1988","66 and older","middle vocational","12","","","","1"
"Yes","1988","66 and older","vocational + Abi","1","","","","1"
"Yes","1988","66 and older","higher vocational","2","","","","1"
"Yes","1988","66 and older","higher education","8","","","","1"
"No","1989","16-34 y.","higher education","109","0.557777531329484","0.489956343613181","0.625598719045787","2"
"No","1989","66 and older","in school","","","","","2"
"No","1989","66 and older","general elemantary","377","0.982466557359707","0.969356330318855","0.995576784400559","2"
"No","1989","66 and older","inadequately","13","","","","2"
"No","1989","16-34 y.","higher vocational","92","0.561640039645742","0.484025562716202","0.639254516575282","2"
"No","1989","66 and older","higher vocational","64","0.943490025148897","0.888608667267891","0.998371383029902","2"
"No","1989","66 and older","higher education","51","0.939638960602817","0.87726361855182","1.00201430265381","2"
"No","1989","16-34 y.","general elemantary","702","0.719705559408999","0.691840017643768","0.747571101174229","2"
"No","1989","16-34 y.","middle vocational","1187","0.67200294301088","0.650168245925794","0.693837640095965","2"
"No","1989","16-34 y.","vocational + Abi","110","0.657842643325358","0.585452394213127","0.730232892437589","2"
"No","1989","16-34 y.","inadequately","143","0.825724974117633","0.768867793064861","0.882582155170404","2"
"No","1989","66 and older","middle vocational","473","0.99117073591661","0.982784431331337","0.999557040501883","2"
"No","1989","66 and older","vocational + Abi","22","","","","2"
"No","1989","16-34 y.","in school","168","0.976332300435895","0.953810354101218","0.998854246770572","2"
"No","1989","35-65 y.","in school","","","","","2"
"No","1989","35-65 y.","inadequately","376","0.822857302937591","0.788304318866118","0.857410287009063","2"
"No","1989","35-65 y.","general elemantary","857","0.731347869198731","0.706078377987621","0.756617360409841","2"
"No","1989","35-65 y.","middle vocational","1512","0.64940562562605","0.630089065859157","0.668722185392944","2"
"No","1989","35-65 y.","vocational + Abi","58","0.630735655242894","0.534695113173987","0.7267761973118","2"
"No","1989","35-65 y.","higher vocational","161","0.564188934643606","0.506821087650886","0.621556781636325","2"
"No","1989","35-65 y.","higher education","212","0.488147173742254","0.441173837686699","0.535120509797809","2"
"Yes","1989","16-34 y.","in school","7","","","","1"
"Yes","1989","16-34 y.","inadequately","28","","","","1"
"Yes","1989","16-34 y.","general elemantary","296","0.280294440591001","0.252428898825771","0.308159982356232","1"
"Yes","1989","16-34 y.","middle vocational","589","0.32799705698912","0.306162359904034","0.349831754074206","1"
"Yes","1989","16-34 y.","vocational + Abi","55","0.342157356674642","0.269767107562411","0.414547605786873","1"
"Yes","1989","16-34 y.","higher vocational","65","0.438359960354258","0.360745483424718","0.515974437283798","1"
"Yes","1989","16-34 y.","higher education","97","0.442222468670516","0.374401280954213","0.510043656386819","1"
"Yes","1989","35-65 y.","in school","","","","","1"
"Yes","1989","35-65 y.","inadequately","93","0.177142697062409","0.142589712990937","0.211695681133882","1"
"Yes","1989","35-65 y.","general elemantary","325","0.268652130801269","0.243382639590159","0.293921622012379","1"
"Yes","1989","35-65 y.","middle vocational","832","0.35059437437395","0.331277814607056","0.369910934140843","1"
"Yes","1989","35-65 y.","vocational + Abi","39","0.369264344757106","0.2732238026882","0.465304886826013","1"
"Yes","1989","35-65 y.","higher vocational","126","0.435811065356394","0.378443218363675","0.493178912349114","1"
"Yes","1989","35-65 y.","higher education","223","0.511852826257746","0.464879490202191","0.558826162313301","1"
"Yes","1989","66 and older","in school","","","","","1"
"Yes","1989","66 and older","inadequately","","","","","1"
"Yes","1989","66 and older","general elemantary","8","","","","1"
"Yes","1989","66 and older","middle vocational","5","","","","1"
"Yes","1989","66 and older","vocational + Abi","2","","","","1"
"Yes","1989","66 and older","higher vocational","4","","","","1"
"Yes","1989","66 and older","higher education","5","","","","1"
"No","1990","16-34 y.","higher education","","","","","2"
"No","1990","66 and older","in school","","","","","2"
"No","1990","66 and older","inadequately","","","","","2"
"No","1990","66 and older","general elemantary","","","","","2"
"No","1990","16-34 y.","higher vocational","","","","","2"
"No","1990","66 and older","higher education","","","","","2"
"No","1990","66 and older","higher vocational","","","","","2"
"No","1990","16-34 y.","vocational + Abi","","","","","2"
"No","1990","16-34 y.","inadequately","","","","","2"
"No","1990","16-34 y.","general elemantary","","","","","2"
"No","1990","16-34 y.","middle vocational","","","","","2"
"No","1990","66 and older","middle vocational","","","","","2"
"No","1990","66 and older","vocational + Abi","","","","","2"
"No","1990","16-34 y.","in school","","","","","2"
"No","1990","35-65 y.","in school","","","","","2"
"No","1990","35-65 y.","inadequately","","","","","2"
"No","1990","35-65 y.","general elemantary","","","","","2"
"No","1990","35-65 y.","middle vocational","","","","","2"
"No","1990","35-65 y.","vocational + Abi","","","","","2"
"No","1990","35-65 y.","higher vocational","","","","","2"
"No","1990","35-65 y.","higher education","","","","","2"
"Yes","1990","16-34 y.","in school","","","","","1"
"Yes","1990","16-34 y.","inadequately","","","","","1"
"Yes","1990","16-34 y.","general elemantary","","","","","1"
"Yes","1990","16-34 y.","middle vocational","","","","","1"
"Yes","1990","16-34 y.","vocational + Abi","","","","","1"
"Yes","1990","16-34 y.","higher vocational","","","","","1"
"Yes","1990","16-34 y.","higher education","","","","","1"
"Yes","1990","35-65 y.","in school","","","","","1"
"Yes","1990","35-65 y.","inadequately","","","","","1"
"Yes","1990","35-65 y.","general elemantary","","","","","1"
"Yes","1990","35-65 y.","middle vocational","","","","","1"
"Yes","1990","35-65 y.","vocational + Abi","","","","","1"
"Yes","1990","35-65 y.","higher vocational","","","","","1"
"Yes","1990","35-65 y.","higher education","","","","","1"
"Yes","1990","66 and older","in school","","","","","1"
"Yes","1990","66 and older","inadequately","","","","","1"
"Yes","1990","66 and older","general elemantary","","","","","1"
"Yes","1990","66 and older","middle vocational","","","","","1"
"Yes","1990","66 and older","vocational + Abi","","","","","1"
"Yes","1990","66 and older","higher vocational","","","","","1"
"Yes","1990","66 and older","higher education","","","","","1"
"No","1991","16-34 y.","higher vocational","148","0.674721268058936","0.611359326335335","0.738083209782537","2"
"No","1991","16-34 y.","general elemantary","829","0.755952579770028","0.730312280026936","0.781592879513119","2"
"No","1991","16-34 y.","vocational + Abi","170","0.711791402995818","0.652609807842224","0.770972998149413","2"
"No","1991","16-34 y.","middle vocational","2143","0.761893719406587","0.745786235387171","0.778001203426004","2"
"No","1991","16-34 y.","higher education","394","0.716563867675363","0.675993029566769","0.757134705783957","2"
"No","1991","16-34 y.","inadequately","150","0.785797387300918","0.727306950982885","0.84428782361895","2"
"No","1991","16-34 y.","in school","156","0.950438488255679","0.917017070909949","0.98385990560141","2"
"No","1991","66 and older","in school","","","","","2"
"No","1991","66 and older","higher education","108","0.963744474129482","0.929279581954372","0.998209366304592","2"
"No","1991","66 and older","inadequately","22","","","","2"
"No","1991","66 and older","general elemantary","502","0.99365976783636","0.986750762233479","1.00056877343924","2"
"No","1991","66 and older","higher vocational","91","0.976085720555702","0.945200067131509","1.0069713739799","2"
"No","1991","66 and older","middle vocational","713","0.986703128762256","0.978336512948901","0.995069744575612","2"
"No","1991","66 and older","vocational + Abi","21","","","","2"
"No","1991","35-65 y.","in school","","","","","2"
"No","1991","35-65 y.","inadequately","338","0.75369094885101","0.713837881235148","0.793544016466873","2"
"No","1991","35-65 y.","general elemantary","979","0.773642475756728","0.750850560185435","0.796434391328021","2"
"No","1991","35-65 y.","middle vocational","2695","0.722753516518945","0.707940400355504","0.737566632682386","2"
"No","1991","35-65 y.","vocational + Abi","91","0.696966002804764","0.618267962571035","0.775664043038493","2"
"No","1991","35-65 y.","higher vocational","347","0.726201908748","0.685002997874295","0.767400819621704","2"
"No","1991","35-65 y.","higher education","885","0.72686020249682","0.700432786030038","0.753287618963601","2"
"Yes","1991","16-34 y.","in school","6","","","","1"
"Yes","1991","16-34 y.","inadequately","39","0.214202612699082","0.15571217638105","0.272693049017115","1"
"Yes","1991","16-34 y.","general elemantary","249","0.244047420229972","0.218407120486881","0.269687719973064","1"
"Yes","1991","16-34 y.","middle vocational","543","0.238106280593413","0.221998796573996","0.254213764612829","1"
"Yes","1991","16-34 y.","vocational + Abi","55","0.288208597004182","0.229027001850587","0.347390192157776","1"
"Yes","1991","16-34 y.","higher vocational","62","0.325278731941064","0.261916790217463","0.388640673664665","1"
"Yes","1991","16-34 y.","higher education","80","0.283436132324637","0.242865294216043","0.324006970433231","1"
"Yes","1991","35-65 y.","in school","","","","","1"
"Yes","1991","35-65 y.","inadequately","111","0.24630905114899","0.206455983533127","0.286162118764852","1"
"Yes","1991","35-65 y.","general elemantary","316","0.226357524243272","0.203565608671979","0.249149439814565","1"
"Yes","1991","35-65 y.","middle vocational","813","0.277246483481055","0.262433367317614","0.292059599644496","1"
"Yes","1991","35-65 y.","vocational + Abi","40","0.303033997195236","0.224335956961507","0.381732037428965","1"
"Yes","1991","35-65 y.","higher vocational","103","0.273798091252","0.232599180378296","0.314997002125705","1"
"Yes","1991","35-65 y.","higher education","207","0.27313979750318","0.246712381036399","0.299567213969962","1"
"Yes","1991","66 and older","in school","","","","","1"
"Yes","1991","66 and older","inadequately","1","","","","1"
"Yes","1991","66 and older","general elemantary","5","","","","1"
"Yes","1991","66 and older","middle vocational","7","","","","1"
"Yes","1991","66 and older","vocational + Abi","2","","","","1"
"Yes","1991","66 and older","higher vocational","3","","","","1"
"Yes","1991","66 and older","higher education","5","","","","1"
"No","1992","16-34 y.","general elemantary","750","0.70910047761908","0.681784847349869","0.736416107888291","2"
"No","1992","16-34 y.","inadequately","147","0.86040856551061","0.807846599245279","0.912970531775941","2"
"No","1992","16-34 y.","middle vocational","1576","0.63201545628952","0.613164035273556","0.650866877305484","2"
"No","1992","16-34 y.","higher education","253","0.5998062914299","0.554079636418745","0.645532946441055","2"
"No","1992","16-34 y.","vocational + Abi","160","0.684211708099115","0.623066156576574","0.745357259621655","2"
"No","1992","16-34 y.","higher vocational","123","0.591603591507542","0.525747255837087","0.657459927177998","2"
"No","1992","16-34 y.","in school","172","0.905185762060787","0.863084292484411","0.947287231637163","2"
"No","1992","66 and older","inadequately","27","","","","2"
"No","1992","66 and older","in school","","","","","2"
"No","1992","66 and older","general elemantary","488","0.995888346746761","0.9902225157315","1.00155417776202","2"
"No","1992","66 and older","higher vocational","91","0.978498026116027","0.949018142901732","1.00797790933032","2"
"No","1992","66 and older","higher education","104","0.968154881320798","0.935191732010424","1.00111803063117","2"
"No","1992","66 and older","middle vocational","720","0.989250429834201","0.981764719803763","0.996736139864639","2"
"No","1992","66 and older","vocational + Abi","25","","","","2"
"No","1992","35-65 y.","in school","","","","","2"
"No","1992","35-65 y.","inadequately","340","0.795331029656154","0.75719690087044","0.833465158441868","2"
"No","1992","35-65 y.","general elemantary","919","0.764758221078128","0.740967392723842","0.788549049432414","2"
"No","1992","35-65 y.","middle vocational","2051","0.620425114275387","0.604189531916066","0.636660696634708","2"
"No","1992","35-65 y.","vocational + Abi","75","0.55527113412499","0.472058740357719","0.63848352789226","2"
"No","1992","35-65 y.","higher vocational","224","0.53496199625372","0.489282527944455","0.580641464562986","2"
"No","1992","35-65 y.","higher education","515","0.500078612833609","0.470490669641392","0.529666556025826","2"
"Yes","1992","16-34 y.","in school","14","","","","1"
"Yes","1992","16-34 y.","inadequately","20","","","","1"
"Yes","1992","16-34 y.","general elemantary","312","0.29089952238092","0.263583892111709","0.318215152650131","1"
"Yes","1992","16-34 y.","middle vocational","938","0.36798454371048","0.349133122694516","0.386835964726444","1"
"Yes","1992","16-34 y.","vocational + Abi","62","0.315788291900885","0.254642740378345","0.376933843423426","1"
"Yes","1992","16-34 y.","higher vocational","91","0.408396408492458","0.342540072822002","0.474252744162913","1"
"Yes","1992","16-34 y.","higher education","188","0.4001937085701","0.354467053558945","0.445920363581255","1"
"Yes","1992","35-65 y.","in school","","","","","1"
"Yes","1992","35-65 y.","inadequately","90","0.204668970343846","0.166534841558132","0.24280309912956","1"
"Yes","1992","35-65 y.","general elemantary","302","0.235241778921872","0.211450950567586","0.259032607276158","1"
"Yes","1992","35-65 y.","middle vocational","1381","0.379574885724613","0.363339303365292","0.395810468083934","1"
"Yes","1992","35-65 y.","vocational + Abi","62","0.44472886587501","0.36151647210774","0.527941259642281","1"
"Yes","1992","35-65 y.","higher vocational","234","0.46503800374628","0.419358535437014","0.510717472055545","1"
"Yes","1992","35-65 y.","higher education","582","0.499921387166391","0.470333443974174","0.529509330358608","1"
"Yes","1992","66 and older","in school","","","","","1"
"Yes","1992","66 and older","inadequately","","","","","1"
"Yes","1992","66 and older","general elemantary","2","","","","1"
"Yes","1992","66 and older","middle vocational","9","","","","1"
"Yes","1992","66 and older","vocational + Abi","","","","","1"
"Yes","1992","66 and older","higher vocational","2","","","","1"
"Yes","1992","66 and older","higher education","5","","","","1"
"No","1993","16-34 y.","higher education","","","","","2"
"No","1993","16-34 y.","middle vocational","","","","","2"
"No","1993","16-34 y.","higher vocational","","","","","2"
"No","1993","16-34 y.","inadequately","","","","","2"
"No","1993","16-34 y.","general elemantary","","","","","2"
"No","1993","16-34 y.","vocational + Abi","","","","","2"
"No","1993","66 and older","inadequately","","","","","2"
"No","1993","66 and older","general elemantary","","","","","2"
"No","1993","16-34 y.","in school","","","","","2"
"No","1993","66 and older","in school","","","","","2"
"No","1993","66 and older","higher vocational","","","","","2"
"No","1993","66 and older","higher education","","","","","2"
"No","1993","66 and older","middle vocational","","","","","2"
"No","1993","66 and older","vocational + Abi","","","","","2"
"No","1993","35-65 y.","in school","","","","","2"
"No","1993","35-65 y.","inadequately","","","","","2"
"No","1993","35-65 y.","general elemantary","","","","","2"
"No","1993","35-65 y.","middle vocational","","","","","2"
"No","1993","35-65 y.","vocational + Abi","","","","","2"
"No","1993","35-65 y.","higher vocational","","","","","2"
"No","1993","35-65 y.","higher education","","","","","2"
"Yes","1993","16-34 y.","in school","","","","","1"
"Yes","1993","16-34 y.","inadequately","","","","","1"
"Yes","1993","16-34 y.","general elemantary","","","","","1"
"Yes","1993","16-34 y.","middle vocational","","","","","1"
"Yes","1993","16-34 y.","vocational + Abi","","","","","1"
