"ple0044_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Yes","1988","(Married) couple without C. ","no migration background","467","0.232444605071694","0.213092101963765","0.251797108179623","1"
"Yes","1988","(Married) couple without C. ","direct migration background","127","0.265377757116198","0.222743001344721","0.308012512887674","1"
"Yes","1988","(Married) couple without C. ","indirect migration background","3","","","","1"
"Yes","1988","Single parent ","no migration background","144","0.392618226484539","0.344028065898279","0.441208387070799","1"
"Yes","1988","Single parent ","direct migration background","33","0.290624864684212","0.202509352491243","0.37874037687718","1"
"Yes","1988","Single parent ","indirect migration background","7","","","","1"
"Yes","1988","Couple + C. LE 16 ","no migration background","534","0.379440620762497","0.353940155219462","0.404941086305532","1"
"Yes","1988","Couple + C. LE 16 ","direct migration background","237","0.337981662837607","0.304483939997727","0.371479385677486","1"
"Yes","1988","Couple + C. LE 16 ","indirect migration background","9","","","","1"
"Yes","1988","Couple + C. GT 16 ","no migration background","533","0.336631261859826","0.313447368493661","0.359815155225991","1"
"Yes","1988","Couple + C. GT 16 ","direct migration background","137","0.291691653629512","0.251028537829104","0.332354769429919","1"
"Yes","1988","Couple + C. GT 16 ","indirect migration background","25","","","","1"
"Yes","1988","Couple + C. LE and GT 16","no migration background","203","0.39490444540873","0.353010116398004","0.436798774419457","1"
"Yes","1988","Couple + C. LE and GT 16","direct migration background","142","0.293916386432325","0.253162649431022","0.334670123433629","1"
"Yes","1988","Couple + C. LE and GT 16","indirect migration background","14","","","","1"
"No","1989","1-pers.-HH","direct migration background","116","0.752556170229407","0.686105654089749","0.819006686369064","2"
"No","1989","(Married) couple without C. ","indirect migration background","16","","","","2"
"No","1989","Single parent ","no migration background","253","0.701269058448338","0.653657065896683","0.748881050999993","2"
"No","1989","Single parent ","direct migration background","73","0.820100321406604","0.744053032163562","0.896147610649646","2"
"No","1989","1-pers.-HH","no migration background","704","0.81781107568843","0.79245158263898","0.84317056873788","2"
"No","1989","(Married) couple without C. ","direct migration background","290","0.752619573042717","0.710334360580849","0.794904785504586","2"
"No","1989","Single parent ","indirect migration background","9","","","","2"
"No","1989","Couple + C. LE 16 ","no migration background","879","0.640424115686885","0.615078068554895","0.665770162818876","2"
"No","1989","1-pers.-HH","indirect migration background","8","","","","2"
"No","1989","(Married) couple without C. ","no migration background","1352","0.760483299844163","0.740929314437667","0.78003728525066","2"
"No","1989","Couple + C. LE 16 ","direct migration background","512","0.726078774019443","0.69363850145599","0.758519046582896","2"
"No","1989","Couple + C. LE 16 ","indirect migration background","16","","","","2"
"No","1989","Couple + C. GT 16 ","no migration background","1002","0.657767109531908","0.63396992808838","0.681564290975435","2"
"No","1989","Couple + C. GT 16 ","direct migration background","353","0.747743600480606","0.709210351487939","0.786276849473272","2"
"No","1989","Couple + C. LE and GT 16","no migration background","301","0.658172944823152","0.614780414257413","0.701565475388891","2"
"No","1989","Couple + C. LE and GT 16","direct migration background","323","0.672721850215796","0.629655115784372","0.715788584647221","2"
"No","1989","Couple + C. LE and GT 16","indirect migration background","52","0.761213648058715","0.660617447252456","0.861809848864974","2"
"No","1989","Couple + C. GT 16 ","indirect migration background","79","0.724245024043998","0.639961894671411","0.808528153416585","2"
"Yes","1989","1-pers.-HH","no migration background","186","0.18218892431157","0.15682943126212","0.20754841736102","1"
"Yes","1989","1-pers.-HH","direct migration background","46","0.247443829770593","0.180993313630936","0.313894345910251","1"
"Yes","1989","1-pers.-HH","indirect migration background","3","","","","1"
"Yes","1989","(Married) couple without C. ","no migration background","478","0.239516700155837","0.21996271474934","0.259070685562333","1"
"Yes","1989","(Married) couple without C. ","direct migration background","110","0.247380426957283","0.205095214495414","0.289665639419151","1"
"Yes","1989","(Married) couple without C. ","indirect migration background","7","","","","1"
"Yes","1989","Single parent ","no migration background","102","0.298730941551662","0.251118949000007","0.346342934103317","1"
"Yes","1989","Single parent ","direct migration background","25","","","","1"
"Yes","1989","Single parent ","indirect migration background","3","","","","1"
"Yes","1989","Couple + C. LE 16 ","no migration background","498","0.359575884313115","0.334229837181124","0.384921931445105","1"
"Yes","1989","Couple + C. LE 16 ","direct migration background","214","0.273921225980557","0.241480953417105","0.30636149854401","1"
"Yes","1989","Couple + C. LE 16 ","indirect migration background","7","","","","1"
"Yes","1989","Couple + C. GT 16 ","no migration background","525","0.342232890468092","0.318435709024565","0.36603007191162","1"
"Yes","1989","Couple + C. GT 16 ","direct migration background","135","0.252256399519394","0.213723150526728","0.290789648512061","1"
"Yes","1989","Couple + C. GT 16 ","indirect migration background","29","","","","1"
"Yes","1989","Couple + C. LE and GT 16","no migration background","158","0.341827055176848","0.298434524611109","0.385219585742587","1"
"Yes","1989","Couple + C. LE and GT 16","direct migration background","133","0.327278149784204","0.284211415352779","0.370344884215628","1"
"Yes","1989","Couple + C. LE and GT 16","indirect migration background","17","","","","1"
"No","1990","1-pers.-HH","no migration background","","","","","2"
"No","1990","1-pers.-HH","direct migration background","","","","","2"
"No","1990","(Married) couple without C. ","direct migration background","","","","","2"
"No","1990","(Married) couple without C. ","indirect migration background","","","","","2"
"No","1990","Single parent ","no migration background","","","","","2"
"No","1990","Single parent ","direct migration background","","","","","2"
"No","1990","Single parent ","indirect migration background","","","","","2"
"No","1990","Couple + C. LE 16 ","no migration background","","","","","2"
"No","1990","1-pers.-HH","indirect migration background","","","","","2"
"No","1990","(Married) couple without C. ","no migration background","","","","","2"
"No","1990","Couple + C. LE 16 ","direct migration background","","","","","2"
"No","1990","Couple + C. LE 16 ","indirect migration background","","","","","2"
"No","1990","Couple + C. GT 16 ","no migration background","","","","","2"
"No","1990","Couple + C. GT 16 ","direct migration background","","","","","2"
"No","1990","Couple + C. LE and GT 16","no migration background","","","","","2"
"No","1990","Couple + C. LE and GT 16","direct migration background","","","","","2"
"No","1990","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"No","1990","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Yes","1990","1-pers.-HH","no migration background","","","","","1"
"Yes","1990","1-pers.-HH","direct migration background","","","","","1"
"Yes","1990","1-pers.-HH","indirect migration background","","","","","1"
"Yes","1990","(Married) couple without C. ","no migration background","","","","","1"
"Yes","1990","(Married) couple without C. ","direct migration background","","","","","1"
"Yes","1990","(Married) couple without C. ","indirect migration background","","","","","1"
"Yes","1990","Single parent ","no migration background","","","","","1"
"Yes","1990","Single parent ","direct migration background","","","","","1"
"Yes","1990","Single parent ","indirect migration background","","","","","1"
"Yes","1990","Couple + C. LE 16 ","no migration background","","","","","1"
"Yes","1990","Couple + C. LE 16 ","direct migration background","","","","","1"
"Yes","1990","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Yes","1990","Couple + C. GT 16 ","no migration background","","","","","1"
"Yes","1990","Couple + C. GT 16 ","direct migration background","","","","","1"
"Yes","1990","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Yes","1990","Couple + C. LE and GT 16","no migration background","","","","","1"
"Yes","1990","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Yes","1990","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"No","1991","1-pers.-HH","no migration background","990","0.860689113833758","0.84066728431856","0.880710943348956","2"
"No","1991","1-pers.-HH","direct migration background","117","0.732214813039192","0.666609109556312","0.797820516522073","2"
"No","1991","(Married) couple without C. ","direct migration background","369","0.786813375665139","0.750475961109214","0.823150790221063","2"
"No","1991","(Married) couple without C. ","indirect migration background","17","","","","2"
"No","1991","Single parent ","no migration background","434","0.7606239354718","0.724766931741788","0.796480939201812","2"
"No","1991","Single parent ","direct migration background","70","0.803706403269482","0.721646950415786","0.885765856123177","2"
"No","1991","Single parent ","indirect migration background","17","","","","2"
"No","1991","Couple + C. LE 16 ","no migration background","2208","0.740700132484243","0.724172594744224","0.757227670224262","2"
"No","1991","1-pers.-HH","indirect migration background","12","","","","2"
"No","1991","(Married) couple without C. ","no migration background","2298","0.840100943758468","0.826286499005551","0.853915388511385","2"
"No","1991","Couple + C. LE 16 ","direct migration background","516","0.709821155111788","0.676508391027335","0.74313391919624","2"
"No","1991","Couple + C. LE 16 ","indirect migration background","24","","","","2"
"No","1991","Couple + C. GT 16 ","no migration background","1695","0.721755477412209","0.70290481849574","0.740606136328679","2"
"No","1991","Couple + C. GT 16 ","direct migration background","349","0.711815942551623","0.671997091202319","0.751634793900927","2"
"No","1991","Couple + C. LE and GT 16","no migration background","587","0.72879109589449","0.696562387317772","0.761019804471207","2"
"No","1991","Couple + C. LE and GT 16","direct migration background","275","0.711262737500653","0.665936577800194","0.756588897201113","2"
"No","1991","Couple + C. LE and GT 16","indirect migration background","67","0.687986365522301","0.594819176957373","0.781153554087228","2"
"No","1991","Couple + C. GT 16 ","indirect migration background","85","0.639952652540288","0.558374099087217","0.721531205993359","2"
"Yes","1991","1-pers.-HH","no migration background","159","0.139310886166242","0.119289056651044","0.15933271568144","1"
"Yes","1991","1-pers.-HH","direct migration background","58","0.267785186960808","0.202179483477927","0.333390890443688","1"
"Yes","1991","1-pers.-HH","indirect migration background","7","","","","1"
"Yes","1991","(Married) couple without C. ","no migration background","406","0.159899056241532","0.146084611488615","0.173713500994449","1"
"Yes","1991","(Married) couple without C. ","direct migration background","119","0.213186624334861","0.176849209778937","0.249524038890786","1"
"Yes","1991","(Married) couple without C. ","indirect migration background","12","","","","1"
"Yes","1991","Single parent ","no migration background","110","0.2393760645282","0.203519060798188","0.275233068258212","1"
"Yes","1991","Single parent ","direct migration background","20","","","","1"
"Yes","1991","Single parent ","indirect migration background","5","","","","1"
"Yes","1991","Couple + C. LE 16 ","no migration background","493","0.259299867515757","0.242772329775738","0.275827405255776","1"
"Yes","1991","Couple + C. LE 16 ","direct migration background","197","0.290178844888212","0.25686608080376","0.323491608972665","1"
"Yes","1991","Couple + C. LE 16 ","indirect migration background","6","","","","1"
"Yes","1991","Couple + C. GT 16 ","no migration background","476","0.27824452258779","0.259393863671321","0.29709518150426","1"
"Yes","1991","Couple + C. GT 16 ","direct migration background","148","0.288184057448377","0.248365206099073","0.328002908797681","1"
"Yes","1991","Couple + C. GT 16 ","indirect migration background","48","0.360047347459712","0.278468794006641","0.441625900912783","1"
"Yes","1991","Couple + C. LE and GT 16","no migration background","144","0.27120890410551","0.238980195528793","0.303437612682228","1"
"Yes","1991","Couple + C. LE and GT 16","direct migration background","109","0.288737262499347","0.243411102798887","0.334063422199806","1"
"Yes","1991","Couple + C. LE and GT 16","indirect migration background","28","","","","1"
"No","1992","(Married) couple without C. ","indirect migration background","23","","","","2"
"No","1992","1-pers.-HH","no migration background","908","0.801798958124053","0.778698489558427","0.824899426689678","2"
"No","1992","Couple + C. LE 16 ","no migration background","1460","0.593910728176203","0.57503010630431","0.612791350048095","2"
"No","1992","(Married) couple without C. ","direct migration background","370","0.759924807365309","0.722182843571234","0.797666771159383","2"
"No","1992","Single parent ","direct migration background","74","0.691940053693464","0.603207439935469","0.78067266745146","2"
"No","1992","Single parent ","indirect migration background","24","","","","2"
"No","1992","1-pers.-HH","direct migration background","125","0.759311350610884","0.695972990100304","0.822649711121463","2"
"No","1992","1-pers.-HH","indirect migration background","13","","","","2"
"No","1992","(Married) couple without C. ","no migration background","2012","0.764517020271148","0.748621160135764","0.780412880406533","2"
"No","1992","Single parent ","no migration background","329","0.67381192994551","0.632553695691676","0.715070164199344","2"
"No","1992","Couple + C. LE 16 ","direct migration background","450","0.711034037247196","0.675440380469841","0.746627694024551","2"
"No","1992","Couple + C. LE 16 ","indirect migration background","24","","","","2"
"No","1992","Couple + C. GT 16 ","no migration background","1234","0.632681615561573","0.611736641615968","0.653626589507177","2"
"No","1992","Couple + C. GT 16 ","direct migration background","365","0.673830185644915","0.63326191239253","0.714398458897301","2"
"No","1992","Couple + C. LE and GT 16","no migration background","402","0.620791365762576","0.58429705663237","0.657285674892783","2"
"No","1992","Couple + C. LE and GT 16","direct migration background","260","0.697251636112077","0.649987638475484","0.74451563374867","2"
"No","1992","Couple + C. LE and GT 16","indirect migration background","76","0.681427610981086","0.59056162702655","0.772293594935621","2"
"No","1992","Couple + C. GT 16 ","indirect migration background","119","0.74346479849637","0.676421097965204","0.810508499027536","2"
"Yes","1992","1-pers.-HH","no migration background","236","0.198201041875947","0.175100573310322","0.221301510441573","1"
"Yes","1992","Single parent ","indirect migration background","7","","","","1"
"Yes","1992","Couple + C. LE 16 ","no migration background","1139","0.406089271823797","0.387208649951905","0.42496989369569","1"
"Yes","1992","Couple + C. LE 16 ","direct migration background","173","0.288965962752804","0.253372305975449","0.324559619530158","1"
"Yes","1992","Couple + C. LE 16 ","indirect migration background","13","","","","1"
"Yes","1992","Couple + C. GT 16 ","no migration background","801","0.367318384438427","0.346373410492823","0.388263358384032","1"
"Yes","1992","Couple + C. GT 16 ","direct migration background","148","0.326169814355085","0.285601541102699","0.36673808760747","1"
"Yes","1992","1-pers.-HH","direct migration background","50","0.240688649389117","0.177350288878537","0.304027009899696","1"
"Yes","1992","1-pers.-HH","indirect migration background","8","","","","1"
"Yes","1992","(Married) couple without C. ","no migration background","725","0.235482979728852","0.219587119593467","0.251378839864236","1"
"Yes","1992","(Married) couple without C. ","direct migration background","122","0.240075192634691","0.202333228840617","0.277817156428766","1"
"Yes","1992","(Married) couple without C. ","indirect migration background","5","","","","1"
"Yes","1992","Single parent ","no migration background","167","0.32618807005449","0.284929835800656","0.367446304308324","1"
"Yes","1992","Single parent ","direct migration background","30","0.308059946306535","0.21932733254854","0.396792560064531","1"
"Yes","1992","Couple + C. GT 16 ","indirect migration background","44","0.25653520150363","0.189491500972464","0.323578902034796","1"
"Yes","1992","Couple + C. LE and GT 16","no migration background","277","0.379208634237424","0.342714325107217","0.41570294336763","1"
"Yes","1992","Couple + C. LE and GT 16","direct migration background","103","0.302748363887923","0.25548436625133","0.350012361524516","1"
"Yes","1992","Couple + C. LE and GT 16","indirect migration background","25","","","","1"
"No","1993","1-pers.-HH","no migration background","","","","","2"
"No","1993","1-pers.-HH","direct migration background","","","","","2"
"No","1993","(Married) couple without C. ","direct migration background","","","","","2"
"No","1993","(Married) couple without C. ","indirect migration background","","","","","2"
"No","1993","Couple + C. LE 16 ","no migration background","","","","","2"
"No","1993","(Married) couple without C. ","no migration background","","","","","2"
"No","1993","1-pers.-HH","indirect migration background","","","","","2"
"No","1993","Single parent ","direct migration background","","","","","2"
"No","1993","Single parent ","indirect migration background","","","","","2"
"No","1993","Single parent ","no migration background","","","","","2"
"No","1993","Couple + C. LE 16 ","direct migration background","","","","","2"
"No","1993","Couple + C. LE 16 ","indirect migration background","","","","","2"
"No","1993","Couple + C. GT 16 ","no migration background","","","","","2"
"No","1993","Couple + C. GT 16 ","direct migration background","","","","","2"
"No","1993","Couple + C. LE and GT 16","no migration background","","","","","2"
"No","1993","Couple + C. LE and GT 16","direct migration background","","","","","2"
"No","1993","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"No","1993","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Yes","1993","1-pers.-HH","no migration background","","","","","1"
"Yes","1993","1-pers.-HH","direct migration background","","","","","1"
"Yes","1993","1-pers.-HH","indirect migration background","","","","","1"
"Yes","1993","(Married) couple without C. ","no migration background","","","","","1"
"Yes","1993","(Married) couple without C. ","direct migration background","","","","","1"
"Yes","1993","Single parent ","indirect migration background","","","","","1"
"Yes","1993","Couple + C. LE 16 ","no migration background","","","","","1"
"Yes","1993","Couple + C. LE 16 ","direct migration background","","","","","1"
"Yes","1993","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Yes","1993","Couple + C. GT 16 ","no migration background","","","","","1"
"Yes","1993","Couple + C. GT 16 ","direct migration background","","","","","1"
"Yes","1993","(Married) couple without C. ","indirect migration background","","","","","1"
