"ple0044_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Not a day","1999","vocational + Abi","Male","93","1","1","1"
"Not a day","1999","vocational + Abi","Female","79","1","1","1"
"Not a day","1999","higher vocational","Male","193","1","1","1"
"Not a day","1999","higher vocational","Female","96","1","1","1"
"Not a day","1999","higher education","Male","468","1","1","1"
"Not a day","1999","higher education","Female","312","1","1","1"
"Not a day","2000","in school","Male","17","","",""
"Not a day","2000","in school","Female","18","","",""
"Not a day","2000","inadequately","Male","33","1","1","1"
"Not a day","2000","inadequately","Female","32","1","1","1"
"Not a day","2000","general elemantary","Male","317","1","1","1"
"Not a day","2000","general elemantary","Female","337","1","1","1"
"Not a day","2000","middle vocational","Male","2012","1","1","1"
"Not a day","2000","middle vocational","Female","1700","1","1","1"
"Not a day","2000","vocational + Abi","Male","187","1","1","1"
"Not a day","2000","vocational + Abi","Female","178","1","1","1"
"Not a day","2000","higher vocational","Male","399","1","1","1"
"Not a day","2000","higher vocational","Female","239","1","1","1"
"Not a day","2000","higher education","Male","938","1","1","1"
"Not a day","2000","higher education","Female","545","1","1","1"
"Not a day","2001","in school","Male","28","","",""
"Not a day","2001","in school","Female","28","","",""
"Not a day","2001","inadequately","Male","33","1","1","1"
"Not a day","2001","inadequately","Female","25","","",""
"Not a day","2001","general elemantary","Male","283","1","1","1"
"Not a day","2001","general elemantary","Female","344","1","1","1"
"Not a day","2001","middle vocational","Male","1832","1","1","1"
"Not a day","2001","middle vocational","Female","1515","1","1","1"
"Not a day","2001","vocational + Abi","Male","173","1","1","1"
"Not a day","2001","vocational + Abi","Female","176","1","1","1"
"Not a day","2001","higher vocational","Male","355","1","1","1"
"Not a day","2001","higher vocational","Female","226","1","1","1"
"Not a day","2001","higher education","Male","843","1","1","1"
"Not a day","2001","higher education","Female","509","1","1","1"
"Not a day","2002","in school","Male","32","1","1","1"
"Not a day","2002","in school","Female","29","","",""
"Not a day","2002","inadequately","Male","24","","",""
"Not a day","2002","inadequately","Female","22","","",""
"Not a day","2002","general elemantary","Male","236","1","1","1"
"Not a day","2002","general elemantary","Female","315","1","1","1"
"Not a day","2002","middle vocational","Male","1838","1","1","1"
"Not a day","2002","middle vocational","Female","1558","1","1","1"
"Not a day","2002","vocational + Abi","Male","180","1","1","1"
"Not a day","2002","vocational + Abi","Female","192","1","1","1"
"Not a day","2002","higher vocational","Male","393","1","1","1"
"Not a day","2002","higher vocational","Female","238","1","1","1"
"Not a day","2002","higher education","Male","1182","1","1","1"
"Not a day","2002","higher education","Female","643","1","1","1"
"Not a day","2003","in school","Male","24","","",""
"Not a day","2003","in school","Female","19","","",""
"Not a day","2003","inadequately","Male","28","","",""
"Not a day","2003","inadequately","Female","20","","",""
"Not a day","2003","general elemantary","Male","245","1","1","1"
"Not a day","2003","general elemantary","Female","281","1","1","1"
"Not a day","2003","middle vocational","Male","1766","1","1","1"
"Not a day","2003","middle vocational","Female","1479","1","1","1"
"Not a day","2003","vocational + Abi","Male","169","1","1","1"
"Not a day","2003","vocational + Abi","Female","180","1","1","1"
"Not a day","2003","higher vocational","Male","396","1","1","1"
"Not a day","2003","higher vocational","Female","220","1","1","1"
"Not a day","2003","higher education","Male","1034","1","1","1"
"Not a day","2003","higher education","Female","620","1","1","1"
"Not a day","2004","in school","Male","19","","",""
"Not a day","2004","in school","Female","22","","",""
"Not a day","2004","inadequately","Male","29","","",""
"Not a day","2004","inadequately","Female","14","","",""
"Not a day","2004","general elemantary","Male","218","1","1","1"
"Not a day","2004","general elemantary","Female","275","1","1","1"
"Not a day","2004","middle vocational","Male","1680","1","1","1"
"Not a day","2004","middle vocational","Female","1489","1","1","1"
"Not a day","2004","vocational + Abi","Male","177","1","1","1"
"Not a day","2004","vocational + Abi","Female","201","1","1","1"
"Not a day","2004","higher vocational","Male","355","1","1","1"
"Not a day","2004","higher vocational","Female","231","1","1","1"
"Not a day","2004","higher education","Male","1029","1","1","1"
"Not a day","2004","higher education","Female","634","1","1","1"
"Not a day","2005","in school","Male","18","","",""
"Not a day","2005","in school","Female","23","","",""
"Not a day","2005","inadequately","Male","28","","",""
"Not a day","2005","inadequately","Female","19","","",""
"Not a day","2005","general elemantary","Male","175","1","1","1"
"Not a day","2005","general elemantary","Female","264","1","1","1"
"Not a day","2005","middle vocational","Male","1571","1","1","1"
"Not a day","2005","middle vocational","Female","1417","1","1","1"
"Not a day","2005","vocational + Abi","Male","166","1","1","1"
"Not a day","2005","vocational + Abi","Female","200","1","1","1"
"Not a day","2005","higher vocational","Male","344","1","1","1"
"Not a day","2005","higher vocational","Female","226","1","1","1"
"Not a day","2005","higher education","Male","971","1","1","1"
"Not a day","2005","higher education","Female","622","1","1","1"
"Not a day","2006","in school","Male","15","","",""
"Not a day","2006","in school","Female","12","","",""
"Not a day","2006","inadequately","Male","30","1","1","1"
"Not a day","2006","inadequately","Female","15","","",""
"Not a day","2006","general elemantary","Male","196","1","1","1"
"Not a day","2006","general elemantary","Female","251","1","1","1"
"Not a day","2006","middle vocational","Male","1644","1","1","1"
"Not a day","2006","middle vocational","Female","1576","1","1","1"
"Not a day","2006","vocational + Abi","Male","180","1","1","1"
"Not a day","2006","vocational + Abi","Female","234","1","1","1"
"Not a day","2006","higher vocational","Male","343","1","1","1"
"Not a day","2006","higher vocational","Female","239","1","1","1"
"Not a day","2006","higher education","Male","1020","1","1","1"
"Not a day","2006","higher education","Female","688","1","1","1"
"Not a day","2007","in school","Male","11","","",""
"Not a day","2007","in school","Female","10","","",""
"Not a day","2007","inadequately","Male","23","","",""
"Not a day","2007","inadequately","Female","14","","",""
"Not a day","2007","general elemantary","Male","170","1","1","1"
"Not a day","2007","general elemantary","Female","205","1","1","1"
"Not a day","2007","middle vocational","Male","1548","1","1","1"
"Not a day","2007","middle vocational","Female","1444","1","1","1"
"Not a day","2007","vocational + Abi","Male","177","1","1","1"
"Not a day","2007","vocational + Abi","Female","210","1","1","1"
"Not a day","2007","higher vocational","Male","315","1","1","1"
"Not a day","2007","higher vocational","Female","209","1","1","1"
"Not a day","2007","higher education","Male","928","1","1","1"
"Not a day","2007","higher education","Female","650","1","1","1"
"Not a day","2008","in school","Male","10","","",""
"Not a day","2008","in school","Female","6","","",""
"Not a day","2008","inadequately","Male","19","","",""
"Not a day","2008","inadequately","Female","20","","",""
"Not a day","2008","general elemantary","Male","161","1","1","1"
"Not a day","2008","general elemantary","Female","194","1","1","1"
"Not a day","2008","middle vocational","Male","1415","1","1","1"
"Not a day","2008","middle vocational","Female","1325","1","1","1"
"Not a day","2008","vocational + Abi","Male","162","1","1","1"
"Not a day","2008","vocational + Abi","Female","202","1","1","1"
"Not a day","2008","higher vocational","Male","263","1","1","1"
"Not a day","2008","higher vocational","Female","194","1","1","1"
"Not a day","2008","higher education","Male","829","1","1","1"
"Not a day","2008","higher education","Female","594","1","1","1"
"Not a day","2009","in school","Male","12","","",""
"Not a day","2009","in school","Female","9","","",""
"Not a day","2009","inadequately","Male","26","","",""
"Not a day","2009","inadequately","Female","11","","",""
"Not a day","2009","general elemantary","Male","134","1","1","1"
"Not a day","2009","general elemantary","Female","201","1","1","1"
"Not a day","2009","middle vocational","Male","1262","1","1","1"
"Not a day","2009","middle vocational","Female","1203","1","1","1"
"Not a day","2009","vocational + Abi","Male","135","1","1","1"
"Not a day","2009","vocational + Abi","Female","165","1","1","1"
"Not a day","2009","higher vocational","Male","238","1","1","1"
"Not a day","2009","higher vocational","Female","169","1","1","1"
"Not a day","2009","higher education","Male","757","1","1","1"
"Not a day","2009","higher education","Female","537","1","1","1"
"Not a day","2010","in school","Male","19","","",""
"Not a day","2010","in school","Female","5","","",""
"Not a day","2010","inadequately","Male","39","1","1","1"
"Not a day","2010","inadequately","Female","22","","",""
"Not a day","2010","general elemantary","Male","235","1","1","1"
"Not a day","2010","general elemantary","Female","275","1","1","1"
"Not a day","2010","middle vocational","Male","1659","1","1","1"
"Not a day","2010","middle vocational","Female","1770","1","1","1"
"Not a day","2010","vocational + Abi","Male","223","1","1","1"
"Not a day","2010","vocational + Abi","Female","335","1","1","1"
"Not a day","2010","higher vocational","Male","328","1","1","1"
"Not a day","2010","higher vocational","Female","206","1","1","1"
"Not a day","2010","higher education","Male","999","1","1","1"
"Not a day","2010","higher education","Female","758","1","1","1"
"Not a day","2011","in school","Male","9","","",""
"Not a day","2011","in school","Female","10","","",""
"Not a day","2011","inadequately","Male","41","1","1","1"
"Not a day","2011","inadequately","Female","23","","",""
"Not a day","2011","general elemantary","Male","192","1","1","1"
"Not a day","2011","general elemantary","Female","236","1","1","1"
"Not a day","2011","middle vocational","Male","1114","1","1","1"
"Not a day","2011","middle vocational","Female","1328","1","1","1"
"Not a day","2011","vocational + Abi","Male","130","1","1","1"
"Not a day","2011","vocational + Abi","Female","309","1","1","1"
"Not a day","2011","higher vocational","Male","219","1","1","1"
"Not a day","2011","higher vocational","Female","97","1","1","1"
"Not a day","2011","higher education","Male","583","1","1","1"
"Not a day","2011","higher education","Female","511","1","1","1"
"Not a day","2012","in school","Male","18","","",""
"Not a day","2012","in school","Female","17","","",""
"Not a day","2012","inadequately","Male","47","1","1","1"
"Not a day","2012","inadequately","Female","28","","",""
"Not a day","2012","general elemantary","Male","257","1","1","1"
"Not a day","2012","general elemantary","Female","336","1","1","1"
"Not a day","2012","middle vocational","Male","1710","1","1","1"
"Not a day","2012","middle vocational","Female","1978","1","1","1"
"Not a day","2012","vocational + Abi","Male","205","1","1","1"
"Not a day","2012","vocational + Abi","Female","385","1","1","1"
"Not a day","2012","higher vocational","Male","343","1","1","1"
"Not a day","2012","higher vocational","Female","211","1","1","1"
"Not a day","2012","higher education","Male","1075","1","1","1"
"Not a day","2012","higher education","Female","815","1","1","1"
"Not a day","2013","in school","Male","27","","",""
"Not a day","2013","in school","Female","25","","",""
"Not a day","2013","inadequately","Male","73","1","1","1"
"Not a day","2013","inadequately","Female","64","1","1","1"
"Not a day","2013","general elemantary","Male","360","1","1","1"
"Not a day","2013","general elemantary","Female","408","1","1","1"
"Not a day","2013","middle vocational","Male","1802","1","1","1"
"Not a day","2013","middle vocational","Female","2040","1","1","1"
"Not a day","2013","vocational + Abi","Male","291","1","1","1"
"Not a day","2013","vocational + Abi","Female","457","1","1","1"
"Not a day","2013","higher vocational","Male","343","1","1","1"
"Not a day","2013","higher vocational","Female","184","1","1","1"
"Not a day","2013","higher education","Male","1089","1","1","1"
"Not a day","2013","higher education","Female","976","1","1","1"
"Not a day","2014","in school","Male","45","1","1","1"
"Not a day","2014","in school","Female","48","1","1","1"
"Not a day","2014","inadequately","Male","81","1","1","1"
"Not a day","2014","inadequately","Female","109","1","1","1"
"Not a day","2014","general elemantary","Male","405","1","1","1"
"Not a day","2014","general elemantary","Female","483","1","1","1"
"Not a day","2014","middle vocational","Male","1699","1","1","1"
"Not a day","2014","middle vocational","Female","1896","1","1","1"
"Not a day","2014","vocational + Abi","Male","305","1","1","1"
"Not a day","2014","vocational + Abi","Female","445","1","1","1"
"Not a day","2014","higher vocational","Male","318","1","1","1"
"Not a day","2014","higher vocational","Female","180","1","1","1"
"Not a day","2014","higher education","Male","988","1","1","1"
"Not a day","2014","higher education","Female","952","1","1","1"
"Not a day","2015","in school","Male","15","","",""
"Not a day","2015","in school","Female","18","","",""
"Not a day","2015","inadequately","Male","60","1","1","1"
"Not a day","2015","inadequately","Female","50","1","1","1"
"Not a day","2015","general elemantary","Male","341","1","1","1"
"Not a day","2015","general elemantary","Female","330","1","1","1"
"Not a day","2015","middle vocational","Male","1509","1","1","1"
"Not a day","2015","middle vocational","Female","1659","1","1","1"
"Not a day","2015","vocational + Abi","Male","291","1","1","1"
"Not a day","2015","vocational + Abi","Female","400","1","1","1"
"Not a day","2015","higher vocational","Male","296","1","1","1"
"Not a day","2015","higher vocational","Female","169","1","1","1"
"Not a day","2015","higher education","Male","1020","1","1","1"
"Not a day","2015","higher education","Female","889","1","1","1"
"Not a day","2016","in school","Male","13","","",""
"Not a day","2016","in school","Female","15","","",""
"Not a day","2016","inadequately","Male","45","1","1","1"
"Not a day","2016","inadequately","Female","41","1","1","1"
"Not a day","2016","general elemantary","Male","265","1","1","1"
"Not a day","2016","general elemantary","Female","281","1","1","1"
"Not a day","2016","middle vocational","Male","1329","1","1","1"
"Not a day","2016","middle vocational","Female","1490","1","1","1"
"Not a day","2016","vocational + Abi","Male","248","1","1","1"
"Not a day","2016","vocational + Abi","Female","372","1","1","1"
"Not a day","2016","higher vocational","Male","273","1","1","1"
"Not a day","2016","higher vocational","Female","136","1","1","1"
"Not a day","2016","higher education","Male","915","1","1","1"
"Not a day","2016","higher education","Female","838","1","1","1"
"Not a day","2017","in school","Male","16","","",""
"Not a day","2017","in school","Female","20","","",""
"Not a day","2017","inadequately","Male","42","1","1","1"
"Not a day","2017","inadequately","Female","33","1","1","1"
"Not a day","2017","general elemantary","Male","259","1","1","1"
"Not a day","2017","general elemantary","Female","296","1","1","1"
"Not a day","2017","middle vocational","Male","1477","1","1","1"
"Not a day","2017","middle vocational","Female","1514","1","1","1"
"Not a day","2017","vocational + Abi","Male","255","1","1","1"
"Not a day","2017","vocational + Abi","Female","381","1","1","1"
"Not a day","2017","higher vocational","Male","281","1","1","1"
"Not a day","2017","higher vocational","Female","153","1","1","1"
"Not a day","2017","higher education","Male","967","1","1","1"
"Not a day","2017","higher education","Female","838","1","1","1"
"Not a day","2018","in school","Male","16","","",""
"Not a day","2018","in school","Female","10","","",""
"Not a day","2018","inadequately","Male","47","1","1","1"
"Not a day","2018","inadequately","Female","39","1","1","1"
"Not a day","2018","general elemantary","Male","267","1","1","1"
"Not a day","2018","general elemantary","Female","278","1","1","1"
"Not a day","2018","middle vocational","Male","1303","1","1","1"
"Not a day","2018","middle vocational","Female","1467","1","1","1"
"Not a day","2018","vocational + Abi","Male","233","1","1","1"
"Not a day","2018","vocational + Abi","Female","361","1","1","1"
"Not a day","2018","higher vocational","Male","251","1","1","1"
"Not a day","2018","higher vocational","Female","155","1","1","1"
"Not a day","2018","higher education","Male","896","1","1","1"
"Not a day","2018","higher education","Female","778","1","1","1"
"Not a day","2019","in school","Male","16","","",""
"Not a day","2019","in school","Female","12","","",""
"Not a day","2019","inadequately","Male","32","1","1","1"
"Not a day","2019","inadequately","Female","32","1","1","1"
"Not a day","2019","general elemantary","Male","241","1","1","1"
"Not a day","2019","general elemantary","Female","257","1","1","1"
"Not a day","2019","middle vocational","Male","1341","1","1","1"
"Not a day","2019","middle vocational","Female","1403","1","1","1"
"Not a day","2019","vocational + Abi","Male","266","1","1","1"
"Not a day","2019","vocational + Abi","Female","346","1","1","1"
"Not a day","2019","higher vocational","Male","361","1","1","1"
"Not a day","2019","higher vocational","Female","135","1","1","1"
"Not a day","2019","higher education","Male","1217","1","1","1"
"Not a day","2019","higher education","Female","856","1","1","1"
