"ple0044_h","year","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2008","indirect migration background","523","0.682661170562477","0.649394956409489","0.715927384715464","2"
"No","2008","no migration background","11735","0.728275442171301","0.721473364488892","0.73507751985371","2"
"No","2008","direct migration background","1307","0.700062017566246","0.67923186807799","0.720892167054503","2"
"Yes","2008","direct migration background","552","0.299937982433754","0.279107832945497","0.32076813192201","1"
"Yes","2008","no migration background","4695","0.271724557828699","0.26492248014629","0.278526635511108","1"
"Yes","2008","indirect migration background","229","0.317338829437523","0.284072615284536","0.350605043590511","1"
"No","2009","indirect migration background","479","0.701963518819632","0.66790910113192","0.736017936507345","2"
"No","2009","no migration background","11174","0.736291247230842","0.729335862435993","0.74324663202569","2"
"No","2009","direct migration background","1150","0.69303173184174","0.670619886512192","0.715443577171289","2"
"Yes","2009","direct migration background","477","0.30696826815826","0.284556422828711","0.329380113487808","1"
"Yes","2009","no migration background","4244","0.263708752769158","0.25675336797431","0.270664137564006","1"
"Yes","2009","indirect migration background","214","0.298036481180368","0.263982063492655","0.33209089886808","1"
"No","2010","indirect migration background","799","0.695599228757765","0.668817168436456","0.722381289079075","2"
"No","2010","no migration background","14025","0.73244471252312","0.726275820262782","0.738613604783458","2"
"No","2010","direct migration background","2017","0.707821092767652","0.691171785118407","0.724470400416897","2"
"Yes","2010","direct migration background","849","0.292178907232348","0.275529599583103","0.308828214881593","1"
"Yes","2010","no migration background","5757","0.26755528747688","0.261386395216542","0.273724179737217","1"
"Yes","2010","indirect migration background","335","0.304400771242235","0.277618710920925","0.331182831563544","1"
"No","2011","indirect migration background","717","0.769700623277217","0.742970008874684","0.796431237679749","2"
"No","2011","no migration background","13418","0.813646181158431","0.807853926251376","0.819438436065485","2"
"No","2011","direct migration background","2004","0.764772511137967","0.748853514431318","0.780691507844615","2"
"Yes","2011","direct migration background","723","0.235227488862034","0.219308492155385","0.251146485568682","1"
"Yes","2011","no migration background","3943","0.186353818841569","0.180561563934515","0.192146073748624","1"
"Yes","2011","indirect migration background","236","0.230299376722783","0.203568762320251","0.257029991125315","1"
"No","2012","indirect migration background","909","0.729638206509195","0.705172504534885","0.754103908483506","2"
"No","2012","no migration background","16837","0.745288597565569","0.739672422873871","0.750904772257267","2"
"No","2012","direct migration background","2127","0.711724521345266","0.695566940040134","0.727882102650397","2"
"Yes","2012","direct migration background","892","0.288275478654734","0.272117897349603","0.304433059959866","1"
"Yes","2012","no migration background","6283","0.254711402434431","0.249095227742733","0.260327577126129","1"
"Yes","2012","indirect migration background","357","0.270361793490805","0.245896091516494","0.294827495465115","1"
"No","2013","no migration background","16238","0.759968102337529","0.754321898805678","0.765614305869379","2"
"No","2013","direct migration background","4351","0.717058281397909","0.705953365510674","0.728163197285143","2"
"No","2013","indirect migration background","1548","0.737350781800348","0.718555707957078","0.756145855643618","2"
"Yes","2013","direct migration background","1969","0.282941718602091","0.271836802714856","0.294046634489326","1"
"Yes","2013","indirect migration background","558","0.262649218199652","0.243854144356382","0.281444292042922","1"
"Yes","2013","no migration background","5743","0.240031897662471","0.234385694130621","0.245678101194322","1"
"No","2014","no migration background","14743","0.750766015101443","0.744774311854925","0.756757718347961","2"
"No","2014","direct migration background","2836","0.621835496411295","0.608450298230509","0.635220694592081","2"
"No","2014","indirect migration background","1092","0.624782198423178","0.602187588845162","0.647376808001195","2"
"Yes","2014","direct migration background","2206","0.378164503588705","0.364779305407919","0.391549701769491","1"
"Yes","2014","indirect migration background","672","0.375217801576822","0.352623191998805","0.397812411154838","1"
"Yes","2014","no migration background","5279","0.249233984898557","0.243242281652039","0.255225688145075","1"
"No","2015","no migration background","14227","0.754261205052283","0.748152234460668","0.760370175643898","2"
"No","2015","direct migration background","3987","0.716104900321678","0.704573412052857","0.727636388590499","2"
"No","2015","indirect migration background","1214","0.740403200493034","0.71933216992997","0.761474231056099","2"
"Yes","2015","direct migration background","1886","0.283895099678322","0.272363611409501","0.295426587947143","1"
"Yes","2015","indirect migration background","449","0.259596799506966","0.238525768943901","0.28066783007003","1"
"Yes","2015","no migration background","4852","0.245738794947717","0.239629824356102","0.251847765539332","1"
"No","2016","no migration background","13260","0.75395269764465","0.747612010536405","0.760293384752896","2"
"No","2016","direct migration background","3356","0.713215498766512","0.700463658828862","0.725967338704162","2"
"No","2016","indirect migration background","1105","0.721796501467342","0.699480773324235","0.744112229610449","2"
"Yes","2016","direct migration background","1476","0.286784501233488","0.274032661295838","0.299536341171138","1"
"Yes","2016","indirect migration background","444","0.278203498532658","0.255887770389551","0.300519226675765","1"
"Yes","2016","no migration background","4465","0.24604730235535","0.239706615247104","0.252387989463595","1"
"No","2017","no migration background","15286","0.768443488910992","0.762612512030603","0.77427446579138","2"
"No","2017","direct migration background","3234","0.715233061022554","0.702209644286722","0.728256477758385","2"
"No","2017","indirect migration background","1252","0.744670665754827","0.723906051499762","0.765435280009893","2"
"Yes","2017","direct migration background","1379","0.284766938977446","0.271743522241615","0.297790355713278","1"
"Yes","2017","indirect migration background","442","0.255329334245173","0.234564719990107","0.276093948500238","1"
"Yes","2017","no migration background","4818","0.231556511089008","0.225725534208619","0.237387487969397","1"
"No","2018","no migration background","14885","0.77896398423654","0.773129807903929","0.784798160569151","2"
"No","2018","direct migration background","3090","0.727397598132719","0.714210118371726","0.740585077893711","2"
"No","2018","indirect migration background","1246","0.721941669009324","0.700574239661643","0.743309098357006","2"
"Yes","2018","direct migration background","1290","0.272602401867281","0.259414922106289","0.285789881628274","1"
"Yes","2018","indirect migration background","443","0.278058330990676","0.256690901642994","0.299425760338357","1"
"Yes","2018","no migration background","4547","0.22103601576346","0.215201839430849","0.226870192096071","1"
"No","2019","no migration background","14929","0.780274807049134","0.774542486770091","0.786007127328176","2"
"No","2019","direct migration background","2712","0.737608160491128","0.72364622056021","0.751570100422045","2"
"No","2019","indirect migration background","1211","0.726567165034948","0.705247225961019","0.747887104108878","2"
"Yes","2019","direct migration background","1102","0.262391839508873","0.248429899577955","0.27635377943979","1"
"Yes","2019","indirect migration background","468","0.273432834965052","0.252112895891122","0.294752774038981","1"
"Yes","2019","no migration background","5114","0.219725192950866","0.213992872671824","0.225457513229909","1"
