"ple0044_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1992","Full Time","Female","1279","0.592275301798822","0.571906873773801","0.612643729823842","2"
"No","1992","Part Time","Male","354","0.465783356158365","0.430178182500895","0.501388529815836","2"
"No","1992","Part Time","Female","848","0.507068609761415","0.483176104185833","0.530961115336996","2"
"No","1992","Not Working","Male","1348","0.986778323968225","0.980727710312419","0.992828937624031","2"
"No","1992","Not Working","Female","2858","0.990241121766931","0.986659586303032","0.993822657230831","2"
"Yes","1992","Full Time","Male","2111","0.491051601509639","0.476123290112877","0.505979912906401","1"
"Yes","1992","Part Time","Male","400","0.534216643841634","0.498611470184164","0.569821817499105","1"
"Yes","1992","Part Time","Female","834","0.492931390238585","0.469038884663004","0.516823895814167","1"
"Yes","1992","Not Working","Male","21","","","","1"
"Yes","1992","Full Time","Female","957","0.407724698201178","0.387356270176158","0.428093126226199","1"
"Yes","1992","Not Working","Female","36","0.00975887823306852","0.00617734276916928","0.0133404136969678","1"
"No","1993","Full Time","Male","","","","","2"
"No","1993","Full Time","Female","","","","","2"
"No","1993","Part Time","Male","","","","","2"
"No","1993","Part Time","Female","","","","","2"
"No","1993","Not Working","Male","","","","","2"
"No","1993","Not Working","Female","","","","","2"
"Yes","1993","Full Time","Male","","","","","1"
"Yes","1993","Full Time","Female","","","","","1"
"Yes","1993","Part Time","Male","","","","","1"
"Yes","1993","Part Time","Female","","","","","1"
"Yes","1993","Not Working","Male","","","","","1"
"Yes","1993","Not Working","Female","","","","","1"
"No","1994","Full Time","Male","2016","0.515874257276437","0.500263772141272","0.531484742411602","2"
"No","1994","Full Time","Female","1276","0.672320839804476","0.65175029515402","0.692891384454932","2"
"No","1994","Part Time","Male","350","0.477422556670078","0.440810690423038","0.514034422917119","2"
"No","1994","Part Time","Female","833","0.532410104219031","0.507916108593934","0.556904099844127","2"
"No","1994","Not Working","Male","1503","0.978661510917626","0.971441682642653","0.9858813391926","2"
"No","1994","Not Working","Female","3002","0.987478521633676","0.983530282063894","0.991426761203457","2"
"Yes","1994","Full Time","Male","1921","0.484125742723563","0.468515257588398","0.499736227858728","1"
"Yes","1994","Full Time","Female","724","0.327679160195524","0.307108615545068","0.34824970484598","1"
"Yes","1994","Part Time","Male","365","0.522577443329922","0.485965577082881","0.559189309576962","1"
"Yes","1994","Part Time","Female","761","0.467589895780969","0.443095900155872","0.492083891406066","1"
"Yes","1994","Not Working","Male","36","0.0213384890823737","0.0141186608073999","0.0285583173573475","1"
"Yes","1994","Not Working","Female","45","0.0125214783663244","0.00857323879654313","0.0164697179361056","1"
"No","1995","Full Time","Male","1993","0.526458090967974","0.510672021435242","0.542244160500707","2"
"No","1995","Full Time","Female","1196","0.648180190168332","0.626853278444045","0.66950710189262","2"
"No","1995","Part Time","Male","339","0.414970670690875","0.380123702258742","0.449817639123007","2"
"No","1995","Part Time","Female","750","0.46598640217496","0.441505324765443","0.490467479584477","2"
"No","1995","Not Working","Male","1616","0.9905338855084","0.985841680417912","0.995226090598889","2"
"No","1995","Not Working","Female","3164","0.99271149805803","0.989760184507078","0.995662811608983","2"
"Yes","1995","Full Time","Male","1850","0.473541909032026","0.457755839499293","0.489327978564758","1"
"Yes","1995","Full Time","Female","730","0.351819809831668","0.33049289810738","0.373146721555955","1"
"Yes","1995","Part Time","Male","429","0.585029329309125","0.550182360876993","0.619876297741258","1"
"Yes","1995","Part Time","Female","845","0.53401359782504","0.509532520415523","0.558494675234557","1"
"Yes","1995","Not Working","Male","20","","","","1"
"Yes","1995","Not Working","Female","27","","","","1"
"No","1996","Full Time","Male","2049","0.531035270883228","0.515067347129169","0.547003194637287","2"
"No","1996","Full Time","Female","1182","0.642156096050219","0.620464136273831","0.663848055826606","2"
"No","1996","Part Time","Male","355","0.442195178696421","0.407341475939283","0.477048881453559","2"
"No","1996","Part Time","Female","826","0.48828722965379","0.464161049080886","0.512413410226693","2"
"No","1996","Not Working","Male","1541","0.996261459334597","0.993220289643454","0.99930262902574","2"
"No","1996","Not Working","Female","3009","0.997670930200447","0.995952002384575","0.999389858016319","2"
"Yes","1996","Full Time","Male","1703","0.468964729116772","0.452996805362713","0.484932652870831","1"
"Yes","1996","Full Time","Female","694","0.357843903949782","0.336151944173394","0.379535863726169","1"
"Yes","1996","Part Time","Male","425","0.557804821303579","0.522951118546441","0.592658524060717","1"
"Yes","1996","Part Time","Female","823","0.511712770346211","0.487586589773307","0.535838950919114","1"
"Yes","1996","Not Working","Male","6","","","","1"
"Yes","1996","Not Working","Female","12","","","","1"
"No","1997","Full Time","Male","1903","0.52737281976168","0.511075594259221","0.543670045264138","2"
"No","1997","Full Time","Female","1122","0.62622589793771","0.604149916447003","0.648301879428416","2"
"No","1997","Part Time","Male","343","0.429157521517092","0.394243011900874","0.464072031133309","2"
"No","1997","Part Time","Female","736","0.495692112713691","0.470330779991422","0.521053445435959","2"
"No","1997","Not Working","Male","1619","0.998073076806441","0.99594149898544","1.00020465462744","2"
"No","1997","Not Working","Female","3044","0.996680581521405","0.994643283797681","0.998717879245128","2"
"Yes","1997","Full Time","Male","1702","0.47262718023832","0.456329954735862","0.488924405740779","1"
"Yes","1997","Full Time","Female","723","0.37377410206229","0.351698120571584","0.395850083552996","1"
"Yes","1997","Part Time","Male","429","0.570842478482908","0.535927968866691","0.605756988099126","1"
"Yes","1997","Part Time","Female","757","0.504307887286309","0.478946554564041","0.529669220008578","1"
"Yes","1997","Not Working","Male","7","","","","1"
"Yes","1997","Not Working","Female","18","","","","1"
"No","1998","Full Time","Male","1925","0.4926073836246","0.476794720858107","0.508420046391093","2"
"No","1998","Full Time","Female","1194","0.61771619530803","0.596290147744882","0.639142242871178","2"
"No","1998","Part Time","Male","414","0.471953248317306","0.439100480938894","0.504806015695718","2"
"No","1998","Part Time","Female","769","0.475877321805585","0.451794517887049","0.499960125724121","2"
"No","1998","Not Working","Male","1894","0.998619827630484","0.996950513585871","1.0002891416751","2"
"No","1998","Not Working","Female","3443","0.999051853304054","0.998024704708373","1.00007900189974","2"
"Yes","1998","Full Time","Male","1915","0.5073926163754","0.491579953608907","0.523205279141893","1"
"Yes","1998","Full Time","Female","782","0.38228380469197","0.360857757128822","0.403709852255118","1"
"Yes","1998","Part Time","Male","473","0.528046751682694","0.495193984304282","0.560899519061106","1"
"Yes","1998","Part Time","Female","883","0.524122678194415","0.500039874275878","0.548205482112951","1"
"Yes","1998","Not Working","Male","6","","","","1"
"Yes","1998","Not Working","Female","6","","","","1"
"No","1999","Full Time","Male","1980","0.522705793166689","0.506749021816896","0.538662564516483","2"
"No","1999","Full Time","Female","1158","0.642282065321657","0.620672280429086","0.663891850214228","2"
"No","1999","Not Working","Male","1668","0.976141508728614","0.968921007801006","0.983362009656223","2"
"No","1999","Part Time","Male","403","0.441794008594469","0.409149933497269","0.474438083691668","2"
"No","1999","Part Time","Female","862","0.486559046977141","0.463385162173505","0.509732931780778","2"
"No","1999","Not Working","Female","3040","0.971837853387033","0.966053234067565","0.977622472706501","2"
"Yes","1999","Full Time","Male","1784","0.477294206833311","0.461337435483518","0.493250978183105","1"
"Yes","1999","Part Time","Male","486","0.558205991405531","0.525561916308332","0.590850066502731","1"
"Yes","1999","Full Time","Female","732","0.357717934678343","0.336108149785772","0.379327719570914","1"
"Yes","1999","Part Time","Female","925","0.513440953022859","0.490267068219222","0.536614837826495","1"
"Yes","1999","Not Working","Male","48","0.0238584912713857","0.0166379903437773","0.0310789921989941","1"
"Yes","1999","Not Working","Female","102","0.0281621466129672","0.0223775272934995","0.0339467659324349","1"
"No","2000","Full Time","Male","3360","0.518460428940017","0.506318204987997","0.530602652892037","2"
"No","2000","Full Time","Female","1923","0.607191306210109","0.590219831769709","0.62416278065051","2"
"No","2000","Not Working","Male","3256","0.991792750876316","0.988708913558759","0.994876588193872","2"
"No","2000","Part Time","Male","675","0.468472590295583","0.442380140626198","0.494565039964967","2"
"No","2000","Part Time","Female","1510","0.466661238177433","0.449559389103609","0.483763087251256","2"
"No","2000","Not Working","Female","5738","0.994300687049709","0.992358324452278","0.996243049647139","2"
"Yes","2000","Full Time","Male","3145","0.481539571059983","0.469397347107963","0.493681795012003","1"
"Yes","2000","Part Time","Male","730","0.531527409704417","0.505434960035033","0.557619859373802","1"
"Yes","2000","Full Time","Female","1258","0.392808693789891","0.37583721934949","0.409780168230291","1"
"Yes","2000","Part Time","Female","1759","0.533338761822567","0.516236912748744","0.550440610896391","1"
"Yes","2000","Not Working","Male","32","0.00820724912368448","0.00512341180612798","0.011291086441241","1"
"Yes","2000","Not Working","Female","32","0.00569931295029141","0.00375695035286073","0.0076416755477221","1"
"No","2001","Full Time","Male","3057","0.514289082226804","0.501518686826122","0.527059477627485","2"
"No","2001","Full Time","Female","1779","0.620299914669062","0.602590818745633","0.63800901059249","2"
"No","2001","Not Working","Male","3031","0.995517767204177","0.993145158306789","0.997890376101566","2"
"No","2001","Part Time","Male","610","0.456642575303556","0.429902414192082","0.48338273641503","2"
"No","2001","Part Time","Female","1463","0.45645609846698","0.439124848919433","0.473787348014528","2"
"No","2001","Not Working","Female","5061","0.998239854981575","0.997086723145872","0.999392986817278","2"
"Yes","2001","Full Time","Male","2827","0.485710917773196","0.472940522372515","0.498481313173877","1"
"Yes","2001","Part Time","Male","723","0.543357424696444","0.51661726358497","0.570097585807918","1"
"Yes","2001","Full Time","Female","1106","0.379700085330938","0.36199098940751","0.397409181254366","1"
"Yes","2001","Part Time","Female","1710","0.54354390153302","0.526212651985472","0.560875151080567","1"
"Yes","2001","Not Working","Male","14","","","","1"
"Yes","2001","Not Working","Female","15","","","","1"
"No","2002","Full Time","Male","3079","0.509525567130692","0.497102063934783","0.5219490703266","2"
"No","2002","Not Working","Male","3158","0.992650185637074","0.989681454755588","0.99561891651856","2"
"No","2002","Full Time","Female","1825","0.605081569887499","0.587701824712746","0.622461315062252","2"
"No","2002","Part Time","Male","628","0.461415069776302","0.435217710749117","0.487612428803486","2"
"No","2002","Part Time","Female","1663","0.483621646080925","0.466934181468679","0.50030911069317","2"
"No","2002","Not Working","Female","5096","0.996853786742715","0.995319195791773","0.998388377693658","2"
"Yes","2002","Full Time","Male","3141","0.490474432869309","0.4780509296734","0.502897936065217","1"
"Yes","2002","Part Time","Male","763","0.538584930223698","0.512387571196514","0.564782289250883","1"
"Yes","2002","Part Time","Female","1782","0.516378353919075","0.49969088930683","0.533065818531321","1"
"Yes","2002","Not Working","Male","22","","","","1"
"Yes","2002","Full Time","Female","1214","0.394918430112501","0.377538684937748","0.412298175287254","1"
"Yes","2002","Not Working","Female","20","","","","1"
"No","2003","Full Time","Male","2909","0.510335801905443","0.497450747948053","0.523220855862834","2"
"No","2003","Full Time","Female","1728","0.6131947607628","0.595232494222664","0.631157027302936","2"
"No","2003","Part Time","Male","624","0.435553794334686","0.40978284171213","0.461324746957242","2"
"No","2003","Not Working","Male","3175","0.991953951082371","0.988856661613947","0.995051240550796","2"
"No","2003","Part Time","Female","1656","0.496810760152346","0.479967353886601","0.51365416641809","2"
"No","2003","Not Working","Female","4980","0.995644662851995","0.993820855316767","0.997468470387222","2"
"Yes","2003","Full Time","Male","2873","0.489664198094557","0.476779144137166","0.502549252051947","1"
"Yes","2003","Part Time","Male","798","0.564446205665314","0.538675253042758","0.59021715828787","1"
"Yes","2003","Part Time","Female","1729","0.503189239847654","0.48634583358191","0.520032646113399","1"
"Yes","2003","Full Time","Female","1096","0.3868052392372","0.368842972697064","0.404767505777336","1"
"Yes","2003","Not Working","Male","21","","","","1"
"Yes","2003","Not Working","Female","28","","","","1"
"No","2004","Full Time","Male","2766","0.520510451637297","0.507301494150783","0.533719409123811","2"
"No","2004","Full Time","Female","1629","0.601520789669269","0.583165703393497","0.619875875945041","2"
"No","2004","Part Time","Male","589","0.423498138277699","0.397409609282939","0.449586667272459","2"
"No","2004","Not Working","Male","3234","0.99147194318423","0.988317386955057","0.994626499413404","2"
"No","2004","Part Time","Female","1536","0.466802393562873","0.449796192902716","0.483808594223029","2"
"No","2004","Not Working","Female","4926","0.996228229443835","0.994520066914918","0.997936391972752","2"
"Yes","2004","Full Time","Male","2729","0.479489548362703","0.466280590876189","0.492698505849218","1"
"Yes","2004","Part Time","Male","789","0.576501861722301","0.550413332727541","0.602590390717061","1"
"Yes","2004","Part Time","Female","1770","0.533197606437127","0.516191405776971","0.550203807097284","1"
"Yes","2004","Full Time","Female","1104","0.398479210330731","0.380124124054959","0.416834296606503","1"
"Yes","2004","Not Working","Male","30","0.00852805681576954","0.00537350058659627","0.0116826130449428","1"
"Yes","2004","Not Working","Female","21","","","","1"
"No","2005","Full Time","Male","2676","0.524909373258441","0.511367557462943","0.538451189053938","2"
"No","2005","Full Time","Female","1520","0.601941966120622","0.583086704017364","0.62079722822388","2"
"No","2005","Part Time","Male","543","0.422716937249972","0.395811971761882","0.449621902738062","2"
"No","2005","Not Working","Male","3179","0.99627507796104","0.994161428730023","0.998388727192057","2"
"No","2005","Part Time","Female","1535","0.471723366811563","0.454587199791213","0.488859533831913","2"
"No","2005","Not Working","Female","4720","0.997622606733322","0.996235315571807","0.999009897894836","2"
"Yes","2005","Full Time","Male","2548","0.475090626741559","0.461548810946062","0.488632442537057","1"
"Yes","2005","Part Time","Male","752","0.577283062750028","0.550378097261938","0.604188028238118","1"
"Yes","2005","Part Time","Female","1725","0.528276633188437","0.511140466168087","0.545412800208787","1"
"Yes","2005","Full Time","Female","1069","0.398058033879378","0.37920277177612","0.416913295982637","1"
"Yes","2005","Not Working","Male","12","","","","1"
"Yes","2005","Not Working","Female","14","","","","1"
"No","2006","Full Time","Male","2770","0.516351549915182","0.503103531595209","0.529599568235155","2"
"No","2006","Full Time","Female","1596","0.598538050536954","0.580136549848894","0.616939551225015","2"
"No","2006","Part Time","Male","559","0.443439484834094","0.416690116645909","0.470188853022279","2"
"No","2006","Part Time","Female","1525","0.441908370411082","0.425288795959731","0.458527944862433","2"
"No","2006","Not Working","Male","3469","0.997918755916596","0.996404175270484","0.999433336562709","2"
"No","2006","Not Working","Female","5099","0.997630349632802","0.996297504682574","0.99896319458303","2"
"Yes","2006","Full Time","Male","2696","0.483648450084818","0.470400431764845","0.496896468404791","1"
"Yes","2006","Full Time","Female","1130","0.401461949463046","0.383060448774985","0.419863450151106","1"
"Yes","2006","Part Time","Male","766","0.556560515165906","0.529811146977721","0.583309883354091","1"
"Yes","2006","Part Time","Female","1905","0.558091629588918","0.541472055137567","0.57471120404027","1"
"Yes","2006","Not Working","Male","9","","","","1"
"Yes","2006","Not Working","Female","13","","","","1"
"No","2007","Full Time","Male","2597","0.516239921572521","0.50250040137867","0.529979441766372","2"
"No","2007","Full Time","Female","1501","0.62386437607155","0.604973645876409","0.64275510626669","2"
"No","2007","Part Time","Male","489","0.404737196341729","0.377046403653938","0.432427989029519","2"
"No","2007","Part Time","Female","1511","0.469322911468133","0.45214676781538","0.486499055120887","2"
"No","2007","Not Working","Male","3261","0.996719089892747","0.994759980701145","0.998678199084349","2"
"No","2007","Not Working","Female","4713","0.995156189935086","0.993178014064902","0.99713436580527","2"
"Yes","2007","Full Time","Male","2485","0.483760078427479","0.470020558233628","0.49749959862133","1"
"Yes","2007","Full Time","Female","1025","0.37613562392845","0.35724489373331","0.395026354123591","1"
"Yes","2007","Part Time","Male","718","0.595262803658271","0.567572010970481","0.622953596346062","1"
"Yes","2007","Part Time","Female","1732","0.530677088531867","0.513500944879113","0.547853232184621","1"
"Yes","2007","Not Working","Male","12","","","","1"
"Yes","2007","Not Working","Female","19","","","","1"
"No","2008","Full Time","Male","2577","0.536286126541932","0.522229756633572","0.550342496450293","2"
"No","2008","Full Time","Female","1488","0.633949071911153","0.614862451007279","0.653035692815027","2"
"No","2008","Part Time","Male","523","0.450139187007305","0.421397634373546","0.478880739641064","2"
"No","2008","Part Time","Female","1525","0.495595919906036","0.47803239474248","0.513159445069592","2"
"No","2008","Not Working","Male","3051","0.992506185065732","0.989456992139092","0.995555377992372","2"
"No","2008","Not Working","Female","4401","0.996810042370224","0.995148018022999","0.998472066717449","2"
"Yes","2008","Full Time","Male","2258","0.463713873458068","0.449657503549708","0.477770243366428","1"
"Yes","2008","Full Time","Female","959","0.366050928088847","0.346964307184973","0.385137548992721","1"
"Yes","2008","Part Time","Male","628","0.549860812992695","0.521119260358936","0.578602365626454","1"
"Yes","2008","Part Time","Female","1588","0.504404080093964","0.486840554930408","0.52196760525752","1"
"Yes","2008","Not Working","Male","22","","","","1"
"Yes","2008","Not Working","Female","21","","","","1"
"No","2009","Full Time","Male","2435","0.562383440979975","0.547840325077758","0.576926556882192","2"
"No","2009","Full Time","Female","1479","0.642976390044177","0.623571971788367","0.662380808299987","2"
"No","2009","Part Time","Male","552","0.488340941392763","0.458987610022458","0.517694272763068","2"
"No","2009","Part Time","Female","1494","0.509503687725088","0.491414895288105","0.527592480162071","2"
"No","2009","Not Working","Male","2862","0.99218178436848","0.988963476352103","0.995400092384857","2"
"No","2009","Not Working","Female","3981","0.99677508203842","0.995018284406959","0.998531879669882","2"
"Yes","2009","Full Time","Male","2035","0.437616559020025","0.423073443117808","0.452159674922242","1"
"Yes","2009","Full Time","Female","863","0.357023609955823","0.337619191700013","0.376428028211633","1"
"Yes","2009","Part Time","Male","562","0.511659058607237","0.482305727236932","0.541012389977542","1"
"Yes","2009","Part Time","Female","1440","0.490496312274912","0.47240751983793","0.508585104711895","1"
"Yes","2009","Not Working","Male","15","","","","1"
"Yes","2009","Not Working","Female","20","","","","1"
"No","2010","Full Time","Male","3479","0.555135681895854","0.542798587560747","0.567472776230961","2"
"No","2010","Full Time","Female","1892","0.657230336177962","0.639928825103794","0.67453184725213","2"
"No","2010","Part Time","Male","741","0.476509035967042","0.451334448615546","0.501683623318539","2"
"No","2010","Part Time","Female","2329","0.51534726069909","0.501053405813405","0.529641115584774","2"
"No","2010","Not Working","Male","3028","0.99438661774584","0.991734269446507","0.997038966045173","2"
"No","2010","Not Working","Female","5372","0.996266276302806","0.994639867920225","0.997892684685388","2"
"Yes","2010","Full Time","Male","2754","0.444864318104146","0.432527223769038","0.457201412439253","1"
"Yes","2010","Full Time","Female","999","0.342769663822038","0.32546815274787","0.360071174896205","1"
"Yes","2010","Part Time","Male","771","0.523490964032958","0.498316376681461","0.548665551384454","1"
"Yes","2010","Part Time","Female","2367","0.484652739300911","0.470358884415226","0.498946594186595","1"
"Yes","2010","Not Working","Male","20","","","","1"
"Yes","2010","Not Working","Female","30","0.00373372369719395","0.00210731531461235","0.00536013207977555","1"
"No","2011","Full Time","Male","2386","0.553476522903345","0.538396861083722","0.568556184722968","2"
"No","2011","Full Time","Female","1060","0.637554707813367","0.614478722645856","0.660630692980878","2"
"No","2011","Part Time","Male","667","0.594039790485115","0.566208585931601","0.62187099503863","2"
"No","2011","Part Time","Female","2029","0.530152750046367","0.514499070972954","0.545806429119781","2"
"No","2011","Not Working","Male","3696","0.991263095650006","0.988278564971382","0.99424762632863","2"
"No","2011","Not Working","Female","6301","0.994282479698392","0.99242990435119","0.996135055045594","2"
"Yes","2011","Full Time","Male","1789","0.446523477096655","0.431443815277032","0.461603138916278","1"
"Yes","2011","Full Time","Female","607","0.362445292186633","0.339369307019122","0.385521277354144","1"
"Yes","2011","Part Time","Male","529","0.405960209514884","0.37812900496137","0.433791414068399","1"
"Yes","2011","Part Time","Female","1876","0.469847249953632","0.454193570880219","0.485500929027046","1"
"Yes","2011","Not Working","Male","39","0.00873690434999402","0.00575237367137045","0.0117214350286176","1"
"Yes","2011","Not Working","Female","62","0.0057175203016078","0.00386494495440603","0.00757009564880956","1"
"No","2012","Full Time","Male","4001","0.578550687535507","0.566851163260112","0.590250211810903","2"
"No","2012","Not Working","Male","3789","0.986941766673484","0.983352073020622","0.990531460326346","2"
"No","2012","Full Time","Female","2290","0.679839017088235","0.664184819003122","0.695493215173347","2"
"No","2012","Part Time","Male","896","0.540110269637589","0.516515770883846","0.563704768391333","2"
"No","2012","Part Time","Female","3000","0.542774364398768","0.529750049644703","0.555798679152833","2"
"No","2012","Not Working","Female","5897","0.989981071806166","0.987455617242204","0.992506526370127","2"
"Yes","2012","Full Time","Male","2842","0.421449312464493","0.409749788189097","0.433148836739888","1"
"Yes","2012","Full Time","Female","1122","0.320160982911765","0.304506784826653","0.335815180996878","1"
"Yes","2012","Part Time","Male","818","0.459889730362411","0.436295231608667","0.483484229116154","1"
"Yes","2012","Part Time","Female","2620","0.457225635601232","0.444201320847167","0.470249950355297","1"
"Yes","2012","Not Working","Male","53","0.0130582333265163","0.00946853967365429","0.0166479269793783","1"
"Yes","2012","Not Working","Female","77","0.0100189281938342","0.00749347362987252","0.0125443827577958","1"
"No","2013","Full Time","Male","3844","0.606743635192284","0.594687403025084","0.618799867359484","2"
"No","2013","Full Time","Female","2211","0.68244266167351","0.666503920032905","0.698381403314114","2"
"No","2013","Part Time","Male","923","0.570642557964492","0.546980320380032","0.594304795548953","2"
"No","2013","Part Time","Female","3038","0.571089852720616","0.557877228277905","0.584302477163327","2"
