"ple0044_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1999","indirect migration background","Urban Area","331","0.690399758015934","0.649916058840732","0.730883457191136","2"
"No","1999","direct migration background","Urban Area","1295","0.723020393731801","0.70220782041548","0.743832967048122","2"
"No","1999","direct migration background","Rural Area","252","0.766504176957258","0.721667660926332","0.811340692988185","2"
"No","1999","indirect migration background","Rural Area","60","0.781152060821535","0.689394932800881","0.872909188842188","2"
"Yes","1999","no migration background","Urban Area","1999","0.283697886992358","0.272659721634904","0.294736052349812","1"
"Yes","1999","direct migration background","Urban Area","481","0.276979606268199","0.256167032951878","0.29779217958452","1"
"Yes","1999","no migration background","Rural Area","1319","0.289067714650688","0.275164374842656","0.30297105445872","1"
"Yes","1999","direct migration background","Rural Area","90","0.233495823042742","0.188659307011815","0.278332339073668","1"
"Yes","1999","indirect migration background","Urban Area","170","0.309600241984066","0.269116542808864","0.350083941159268","1"
"Yes","1999","indirect migration background","Rural Area","18","","","","1"
"No","2000","no migration background","Urban Area","8488","0.720125665948267","0.712114972557658","0.728136359338876","2"
"No","2000","no migration background","Rural Area","5074","0.709012556682874","0.698615726497547","0.719409386868202","2"
"No","2000","indirect migration background","Urban Area","484","0.713880692989911","0.68032871698739","0.747432668992433","2"
"No","2000","direct migration background","Urban Area","1937","0.718023531642409","0.700959292876711","0.735087770408107","2"
"No","2000","direct migration background","Rural Area","401","0.739858660067149","0.703093751089045","0.776623569045254","2"
"No","2000","indirect migration background","Rural Area","78","0.66767461315243","0.578002098310467","0.757347127994394","2"
"Yes","2000","no migration background","Urban Area","3577","0.279874334051733","0.271863640661124","0.287885027442342","1"
"Yes","2000","direct migration background","Urban Area","734","0.281976468357591","0.264912229591893","0.299040707123289","1"
"Yes","2000","no migration background","Rural Area","2258","0.290987443317126","0.280590613131798","0.301384273502453","1"
"Yes","2000","direct migration background","Rural Area","146","0.260141339932851","0.223376430954746","0.296906248910955","1"
"Yes","2000","indirect migration background","Urban Area","213","0.286119307010089","0.252567331007567","0.31967128301261","1"
"Yes","2000","indirect migration background","Rural Area","28","","","","1"
"No","2001","no migration background","Urban Area","7754","0.711827767149627","0.70340142171078","0.720254112588475","2"
"No","2001","no migration background","Rural Area","4677","0.711916088738532","0.701081102155718","0.722751075321346","2"
"No","2001","indirect migration background","Urban Area","459","0.696665846181819","0.661541515248046","0.731790177115593","2"
"No","2001","direct migration background","Urban Area","1682","0.705648204840441","0.687206054756184","0.724090354924698","2"
"No","2001","direct migration background","Rural Area","361","0.747106674967267","0.708659243052156","0.785554106882377","2"
"No","2001","indirect migration background","Rural Area","68","0.788023797014266","0.704508236931243","0.87153935709729","2"
"Yes","2001","no migration background","Urban Area","3344","0.288172232850373","0.279745887411526","0.29659857828922","1"
"Yes","2001","direct migration background","Urban Area","664","0.294351795159559","0.275909645075302","0.312793945243816","1"
"Yes","2001","no migration background","Rural Area","2034","0.288083911261468","0.277248924678654","0.298918897844282","1"
"Yes","2001","direct migration background","Rural Area","130","0.252893325032733","0.214445893117623","0.291340756947844","1"
"Yes","2001","indirect migration background","Urban Area","199","0.303334153818181","0.268209822884407","0.338458484751954","1"
"Yes","2001","indirect migration background","Rural Area","24","","","","1"
"No","2002","no migration background","Urban Area","8246","0.716324582337704","0.708285982629637","0.724363182045771","2"
"No","2002","indirect migration background","Urban Area","449","0.691709796216043","0.656425864754656","0.72699372767743","2"
"No","2002","no migration background","Rural Area","4726","0.712955486072266","0.702236285701001","0.723674686443532","2"
"No","2002","direct migration background","Urban Area","1622","0.728145576798607","0.709778144624227","0.746513008972986","2"
"No","2002","direct migration background","Rural Area","337","0.732159179243329","0.691822630656795","0.772495727829864","2"
"No","2002","indirect migration background","Rural Area","69","0.791833932776544","0.709759821771793","0.873908043781295","2"
"Yes","2002","no migration background","Urban Area","3834","0.283675417662296","0.275636817954229","0.291714017370363","1"
"Yes","2002","direct migration background","Urban Area","632","0.271854423201393","0.253486991027014","0.290221855375773","1"
"Yes","2002","direct migration background","Rural Area","126","0.267840820756671","0.227504272170136","0.308177369343205","1"
"Yes","2002","indirect migration background","Urban Area","209","0.308290203783957","0.27300627232257","0.343574135245344","1"
"Yes","2002","no migration background","Rural Area","2116","0.287044513927734","0.276325313556468","0.297763714298999","1"
"Yes","2002","indirect migration background","Rural Area","25","","","","1"
"No","2003","no migration background","Urban Area","8195","0.733070094497202","0.72506014501017","0.741080043984234","2"
"No","2003","no migration background","Rural Area","4569","0.705931619281853","0.694935329566685","0.716927908997021","2"
"No","2003","direct migration background","Urban Area","1475","0.70484608329686","0.685366021586285","0.724326145007435","2"
"No","2003","indirect migration background","Urban Area","441","0.698991649420063","0.663917215384524","0.734066083455603","2"
"No","2003","direct migration background","Rural Area","319","0.706326673635192","0.663963190493023","0.748690156777361","2"
"No","2003","indirect migration background","Rural Area","73","0.736241950115216","0.64943717126601","0.823046728964421","2"
"Yes","2003","no migration background","Urban Area","3521","0.266929905502798","0.258919956015765","0.27493985498983","1"
"Yes","2003","direct migration background","Urban Area","631","0.29515391670314","0.275673854992565","0.314633978413715","1"
"Yes","2003","direct migration background","Rural Area","125","0.293673326364808","0.251309843222639","0.336036809506977","1"
"Yes","2003","no migration background","Rural Area","2026","0.294068380718147","0.283072091002979","0.305064670433315","1"
"Yes","2003","indirect migration background","Urban Area","216","0.301008350579936","0.265933916544397","0.336082784615476","1"
"Yes","2003","indirect migration background","Rural Area","26","","","","1"
"No","2004","no migration background","Urban Area","7943","0.727737607011332","0.719575877099199","0.735899336923466","2"
"No","2004","no migration background","Rural Area","4410","0.701025909652316","0.689836004227457","0.712215815077175","2"
"No","2004","direct migration background","Urban Area","1472","0.73007028634301","0.710815978741236","0.749324593944784","2"
"No","2004","indirect migration background","Urban Area","467","0.725909393639187","0.692234484949944","0.75958430232843","2"
"No","2004","direct migration background","Rural Area","312","0.704026158080423","0.66127655383899","0.746775762321855","2"
"No","2004","indirect migration background","Rural Area","76","0.727744414970515","0.64567398501108","0.809814844929951","2"
"Yes","2004","no migration background","Urban Area","3483","0.272262392988668","0.264100663076534","0.280424122900801","1"
"Yes","2004","direct migration background","Urban Area","570","0.26992971365699","0.250675406055216","0.289184021258764","1"
"Yes","2004","direct migration background","Rural Area","126","0.295973841919577","0.253224237678145","0.33872344616101","1"
"Yes","2004","no migration background","Rural Area","2020","0.298974090347684","0.287784184922825","0.310163995772543","1"
"Yes","2004","indirect migration background","Urban Area","207","0.274090606360813","0.24041569767157","0.307765515050056","1"
"Yes","2004","indirect migration background","Rural Area","37","0.272255585029485","0.190185155070049","0.35432601498892","1"
"No","2005","no migration background","Urban Area","7690","0.724783161250543","0.716427373974724","0.733138948526363","2"
"No","2005","no migration background","Rural Area","4238","0.698441028715019","0.687008198216939","0.709873859213099","2"
"No","2005","direct migration background","Urban Area","1371","0.71588451481994","0.695711704116263","0.736057325523616","2"
"No","2005","indirect migration background","Urban Area","510","0.744460728943556","0.712332914370622","0.776588543516491","2"
"No","2005","direct migration background","Rural Area","294","0.69762329155531","0.652444200295056","0.742802382815565","2"
"No","2005","indirect migration background","Rural Area","70","0.671455951594813","0.580750154389916","0.76216174879971","2"
"Yes","2005","no migration background","Urban Area","3285","0.275216838749457","0.266861051473637","0.283572626025276","1"
"Yes","2005","direct migration background","Urban Area","549","0.28411548518006","0.263942674476384","0.304288295883737","1"
"Yes","2005","direct migration background","Rural Area","103","0.30237670844469","0.257197617184435","0.347555799704944","1"
"Yes","2005","no migration background","Rural Area","1952","0.301558971284981","0.290126140786901","0.312991801783061","1"
"Yes","2005","indirect migration background","Urban Area","198","0.255539271056444","0.223411456483509","0.287667085629378","1"
"Yes","2005","indirect migration background","Rural Area","33","0.328544048405187","0.23783825120029","0.419249845610084","1"
"No","2006","no migration background","Urban Area","8236","0.722749816921382","0.714640696550258","0.730858937292506","2"
"No","2006","no migration background","Rural Area","4563","0.692636380968859","0.681589879377169","0.703682882560549","2"
"No","2006","direct migration background","Urban Area","1356","0.710773066001249","0.690428719039481","0.731117412963017","2"
"No","2006","direct migration background","Rural Area","300","0.721370561472896","0.678545326889612","0.76419579605618","2"
"No","2006","indirect migration background","Urban Area","488","0.761142611687313","0.729235433997729","0.793049789376896","2"
"No","2006","indirect migration background","Rural Area","75","0.609394141920665","0.519834122511368","0.698954161329963","2"
"Yes","2006","no migration background","Urban Area","3470","0.277250183078618","0.269141062707494","0.285359303449742","1"
"Yes","2006","no migration background","Rural Area","2139","0.307363619031141","0.296317117439451","0.318410120622831","1"
"Yes","2006","direct migration background","Urban Area","552","0.289226933998751","0.268882587036983","0.309571280960519","1"
"Yes","2006","direct migration background","Rural Area","121","0.278629438527104","0.235804203943819","0.321454673110388","1"
"Yes","2006","indirect migration background","Urban Area","198","0.238857388312688","0.206950210623104","0.270764566002271","1"
"Yes","2006","indirect migration background","Rural Area","39","0.390605858079335","0.301045838670037","0.480165877488633","1"
"No","2007","no migration background","Urban Area","7755","0.731399068475134","0.723096894655186","0.739701242295081","2"
"No","2007","no migration background","Rural Area","4328","0.694120744809579","0.68272271051352","0.705518779105637","2"
"No","2007","direct migration background","Urban Area","1180","0.69036936586385","0.668267601144648","0.712471130583052","2"
"No","2007","direct migration background","Rural Area","282","0.740353904830348","0.69678427463353","0.783923535027166","2"
"No","2007","indirect migration background","Urban Area","449","0.703537661766856","0.66864263108333","0.738432692450383","2"
"No","2007","indirect migration background","Rural Area","78","0.681167821974108","0.593276833625025","0.769058810323192","2"
"Yes","2007","no migration background","Urban Area","3194","0.268600931524866","0.260298757704919","0.276903105344814","1"
"Yes","2007","no migration background","Rural Area","1950","0.305879255190421","0.294481220894362","0.31727728948648","1"
"Yes","2007","direct migration background","Urban Area","501","0.30963063413615","0.287528869416948","0.331732398855352","1"
"Yes","2007","direct migration background","Rural Area","107","0.259646095169652","0.216076464972834","0.30321572536647","1"
"Yes","2007","indirect migration background","Urban Area","209","0.296462338233144","0.261567307549617","0.33135736891667","1"
"Yes","2007","indirect migration background","Rural Area","30","0.318832178025892","0.230941189676808","0.406723166374975","1"
"No","2008","no migration background","Urban Area","7556","0.739601007587795","0.73118447796629","0.7480175372093","2"
"No","2008","no migration background","Rural Area","4179","0.706241138804022","0.694702575724757","0.717779701883287","2"
"No","2008","direct migration background","Urban Area","1057","0.685896434172401","0.662577619509189","0.709215248835613","2"
"No","2008","direct migration background","Rural Area","250","0.759994282426262","0.714395935654031","0.805592629198494","2"
"No","2008","indirect migration background","Urban Area","446","0.691858427773436","0.656170085991634","0.727546769555238","2"
"No","2008","indirect migration background","Rural Area","77","0.641427315846955","0.551395259713991","0.73145937197992","2"
"Yes","2008","no migration background","Urban Area","2888","0.260398992412205","0.251982462790699","0.26881552203371","1"
"Yes","2008","no migration background","Rural Area","1807","0.293758861195978","0.282220298116713","0.305297424275243","1"
"Yes","2008","direct migration background","Urban Area","465","0.314103565827599","0.290784751164387","0.337422380490811","1"
"Yes","2008","direct migration background","Rural Area","87","0.240005717573738","0.194407370801506","0.285604064345969","1"
"Yes","2008","indirect migration background","Urban Area","197","0.308141572226564","0.272453230444762","0.343829914008366","1"
"Yes","2008","indirect migration background","Rural Area","32","0.358572684153045","0.26854062802008","0.448604740286009","1"
"No","2009","no migration background","Urban Area","7098","0.747639841384454","0.739008652843371","0.756271029925537","2"
"No","2009","no migration background","Rural Area","4076","0.714486647904919","0.702750099500953","0.726223196308885","2"
"No","2009","direct migration background","Urban Area","923","0.676981191465978","0.651716013992161","0.702246368939794","2"
"No","2009","direct migration background","Rural Area","227","0.756083646140241","0.70835564147423","0.803811650806252","2"
"No","2009","indirect migration background","Urban Area","401","0.708465895167377","0.671511663004679","0.745420127330074","2"
"No","2009","indirect migration background","Rural Area","78","0.672711338431606","0.585811507085897","0.759611169777315","2"
"Yes","2009","no migration background","Urban Area","2631","0.252360158615546","0.243728970074463","0.260991347156629","1"
"Yes","2009","no migration background","Rural Area","1613","0.285513352095081","0.273776803691115","0.297249900499047","1"
"Yes","2009","direct migration background","Urban Area","393","0.323018808534022","0.297753631060206","0.348283986007839","1"
"Yes","2009","direct migration background","Rural Area","84","0.243916353859759","0.196188349193748","0.29164435852577","1"
"Yes","2009","indirect migration background","Urban Area","180","0.291534104832623","0.254579872669925","0.328488336995321","1"
"Yes","2009","indirect migration background","Rural Area","34","0.327288661568394","0.240388830222685","0.414188492914103","1"
"No","2010","no migration background","Urban Area","8987","0.74901187104598","0.74139390503307","0.75662983705889","2"
"No","2010","no migration background","Rural Area","5038","0.699429600839852","0.688938903793854","0.709920297885851","2"
"No","2010","direct migration background","Urban Area","1593","0.719963504726256","0.701443176453416","0.738483832999096","2"
"No","2010","direct migration background","Rural Area","424","0.660855642653686","0.623224977015123","0.69848630829225","2"
"No","2010","indirect migration background","Urban Area","651","0.682498583902912","0.652660839029724","0.712336328776099","2"
"No","2010","indirect migration background","Rural Area","148","0.76264968003091","0.703537223212685","0.821762136849135","2"
"Yes","2010","no migration background","Urban Area","3457","0.25098812895402","0.24337016294111","0.25860609496693","1"
"Yes","2010","no migration background","Rural Area","2300","0.300570399160148","0.290079702114149","0.311061096206146","1"
