"ple0044_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1988","direct migration background","vocational + Abi","64","0.751439499091255","0.66498740008724","0.837891598095269","2"
"No","1988","direct migration background","higher vocational","32","0.731771062925781","0.611354327397381","0.852187798454181","2"
"No","1988","direct migration background","higher education","42","0.546033147319591","0.4376087150043","0.654457579634881","2"
"No","1988","direct migration background","in school","20","","","","2"
"Yes","1988","no migration background","in school","6","","","","1"
"Yes","1988","no migration background","inadequately","12","","","","1"
"Yes","1988","no migration background","general elemantary","385","0.201145802216839","0.182146428585696","0.220145175847982","1"
"Yes","1988","no migration background","middle vocational","1222","0.303909580348162","0.289217928626583","0.318601232069742","1"
"Yes","1988","no migration background","vocational + Abi","55","0.300998709890193","0.231843318363045","0.370154101417341","1"
"Yes","1988","no migration background","higher vocational","179","0.35636090880756","0.312877721720775","0.399844095894346","1"
"Yes","1988","no migration background","higher education","290","0.470185237469332","0.430182103073954","0.510188371864709","1"
"Yes","1988","direct migration background","in school","","","","","1"
"Yes","1988","direct migration background","inadequately","139","0.224547005237196","0.19164781368953","0.257446196784862","1"
"Yes","1988","direct migration background","general elemantary","263","0.271633327954243","0.242653863096329","0.300612792812157","1"
"Yes","1988","direct migration background","middle vocational","281","0.320513478555496","0.288434805873496","0.352592151237495","1"
"Yes","1988","direct migration background","vocational + Abi","32","0.248560500908745","0.162108401904731","0.33501259991276","1"
"Yes","1988","direct migration background","higher vocational","20","","","","1"
"Yes","1988","direct migration background","higher education","39","0.453966852680409","0.345542420365118","0.5623912849957","1"
"Yes","1988","indirect migration background","in school","1","","","","1"
"Yes","1988","indirect migration background","inadequately","3","","","","1"
"Yes","1988","indirect migration background","general elemantary","20","","","","1"
"Yes","1988","indirect migration background","middle vocational","28","","","","1"
"Yes","1988","indirect migration background","vocational + Abi","2","","","","1"
"Yes","1988","indirect migration background","higher vocational","5","","","","1"
"Yes","1988","indirect migration background","higher education","1","","","","1"
"No","1989","no migration background","higher education","322","0.552755363754577","0.513103037131227","0.592407690377927","2"
"No","1989","indirect migration background","in school","27","","","","2"
"No","1989","indirect migration background","general elemantary","74","0.785445651746934","0.707296928244739","0.863594375249128","2"
"No","1989","indirect migration background","inadequately","9","","","","2"
"No","1989","no migration background","higher vocational","284","0.630079136480395","0.58581602354569","0.674342249415099","2"
"No","1989","indirect migration background","higher vocational","2","","","","2"
"No","1989","indirect migration background","higher education","3","","","","2"
"No","1989","no migration background","general elemantary","1241","0.807338577826017","0.787934863984771","0.826742291667263","2"
"No","1989","no migration background","middle vocational","2549","0.713280583210282","0.698681379154518","0.727879787266045","2"
"No","1989","no migration background","vocational + Abi","125","0.676585392635224","0.610071492377814","0.743099292892634","2"
"No","1989","no migration background","inadequately","55","0.847411633331785","0.761308568049465","0.933514698614106","2"
"No","1989","indirect migration background","middle vocational","64","0.704369004720296","0.609027531993272","0.799710477447321","2"
"No","1989","indirect migration background","vocational + Abi","4","","","","2"
"No","1989","no migration background","in school","117","0.975005940337783","0.947191044507791","1.00282083616778","2"
"No","1989","direct migration background","in school","24","","","","2"
"No","1989","direct migration background","inadequately","468","0.833047394098083","0.802538701221152","0.863556086975013","2"
"No","1989","direct migration background","general elemantary","621","0.740535786405101","0.711441908820264","0.769629663989937","2"
"No","1989","direct migration background","middle vocational","559","0.733579212784971","0.703394152541348","0.763764273028595","2"
"No","1989","direct migration background","vocational + Abi","61","0.717994515135308","0.626046254487186","0.809942775783431","2"
"No","1989","direct migration background","higher vocational","31","0.6646061642514","0.533741375159608","0.795470953343191","2"
"No","1989","direct migration background","higher education","47","0.606522370242335","0.505029269080737","0.708015471403933","2"
"Yes","1989","no migration background","in school","4","","","","1"
"Yes","1989","no migration background","inadequately","12","","","","1"
"Yes","1989","no migration background","general elemantary","346","0.192661422173983","0.173257708332738","0.212065136015229","1"
"Yes","1989","no migration background","middle vocational","1137","0.286719416789718","0.272120212733955","0.301318620845482","1"
"Yes","1989","no migration background","vocational + Abi","65","0.323414607364776","0.256900707107366","0.389928507622186","1"
"Yes","1989","no migration background","higher vocational","173","0.369920863519605","0.325657750584901","0.41418397645431","1"
"Yes","1989","no migration background","higher education","282","0.447244636245423","0.407592309622073","0.486896962868773","1"
"Yes","1989","direct migration background","in school","1","","","","1"
"Yes","1989","direct migration background","inadequately","106","0.166952605901917","0.136443913024987","0.197461298778848","1"
"Yes","1989","direct migration background","general elemantary","251","0.259464213594899","0.230370336010063","0.288558091179736","1"
"Yes","1989","direct migration background","middle vocational","265","0.266420787215029","0.236235726971405","0.296605847458652","1"
"Yes","1989","direct migration background","vocational + Abi","31","0.282005484864692","0.19005722421657","0.373953745512814","1"
"Yes","1989","direct migration background","higher vocational","19","","","","1"
"Yes","1989","direct migration background","higher education","42","0.393477629757665","0.291984528596067","0.494970730919263","1"
"Yes","1989","indirect migration background","in school","2","","","","1"
"Yes","1989","indirect migration background","inadequately","3","","","","1"
"Yes","1989","indirect migration background","general elemantary","32","0.214554348253066","0.136405624750872","0.292703071755261","1"
"Yes","1989","indirect migration background","middle vocational","24","","","","1"
"Yes","1989","indirect migration background","vocational + Abi","","","","","1"
"Yes","1989","indirect migration background","higher vocational","3","","","","1"
"Yes","1989","indirect migration background","higher education","1","","","","1"
"No","1990","no migration background","higher education","","","","","2"
"No","1990","indirect migration background","in school","","","","","2"
"No","1990","indirect migration background","inadequately","","","","","2"
"No","1990","indirect migration background","general elemantary","","","","","2"
"No","1990","no migration background","higher vocational","","","","","2"
"No","1990","indirect migration background","higher education","","","","","2"
"No","1990","indirect migration background","higher vocational","","","","","2"
"No","1990","no migration background","vocational + Abi","","","","","2"
"No","1990","no migration background","inadequately","","","","","2"
"No","1990","no migration background","general elemantary","","","","","2"
"No","1990","no migration background","middle vocational","","","","","2"
"No","1990","indirect migration background","middle vocational","","","","","2"
"No","1990","indirect migration background","vocational + Abi","","","","","2"
"No","1990","no migration background","in school","","","","","2"
"No","1990","direct migration background","in school","","","","","2"
"No","1990","direct migration background","inadequately","","","","","2"
"No","1990","direct migration background","general elemantary","","","","","2"
"No","1990","direct migration background","middle vocational","","","","","2"
"No","1990","direct migration background","vocational + Abi","","","","","2"
"No","1990","direct migration background","higher vocational","","","","","2"
"No","1990","direct migration background","higher education","","","","","2"
"Yes","1990","no migration background","in school","","","","","1"
"Yes","1990","no migration background","inadequately","","","","","1"
"Yes","1990","no migration background","general elemantary","","","","","1"
"Yes","1990","no migration background","middle vocational","","","","","1"
"Yes","1990","no migration background","vocational + Abi","","","","","1"
"Yes","1990","no migration background","higher vocational","","","","","1"
"Yes","1990","no migration background","higher education","","","","","1"
"Yes","1990","direct migration background","in school","","","","","1"
"Yes","1990","direct migration background","inadequately","","","","","1"
"Yes","1990","direct migration background","general elemantary","","","","","1"
"Yes","1990","direct migration background","middle vocational","","","","","1"
"Yes","1990","direct migration background","vocational + Abi","","","","","1"
"Yes","1990","direct migration background","higher vocational","","","","","1"
"Yes","1990","direct migration background","higher education","","","","","1"
"Yes","1990","indirect migration background","in school","","","","","1"
"Yes","1990","indirect migration background","inadequately","","","","","1"
"Yes","1990","indirect migration background","general elemantary","","","","","1"
"Yes","1990","indirect migration background","middle vocational","","","","","1"
"Yes","1990","indirect migration background","vocational + Abi","","","","","1"
"Yes","1990","indirect migration background","higher vocational","","","","","1"
"Yes","1990","indirect migration background","higher education","","","","","1"
"No","1991","no migration background","higher vocational","536","0.753435209556499","0.721275506418521","0.785594912694477","2"
"No","1991","no migration background","general elemantary","1621","0.855754704035411","0.83992353441475","0.871585873656072","2"
"No","1991","no migration background","vocational + Abi","206","0.733026451963166","0.680063201102426","0.785989702823906","2"
"No","1991","no migration background","middle vocational","4847","0.784087161562047","0.773614859772466","0.794559463351629","2"
"No","1991","no migration background","higher education","1295","0.748500302511038","0.726907604259835","0.770093000762241","2"
"No","1991","no migration background","inadequately","83","0.807569836884846","0.731806683902585","0.883332989867107","2"
"No","1991","no migration background","in school","102","0.941157980373837","0.896775531332593","0.985540429415082","2"
"No","1991","indirect migration background","in school","34","1","1","1","2"
"No","1991","indirect migration background","higher education","1","","","","2"
"No","1991","indirect migration background","inadequately","16","","","","2"
"No","1991","indirect migration background","general elemantary","89","0.627180448812406","0.545911576734783","0.708449320890029","2"
"No","1991","indirect migration background","higher vocational","4","","","","2"
"No","1991","indirect migration background","middle vocational","77","0.702660443274769","0.62087866202399","0.784442224525549","2"
"No","1991","indirect migration background","vocational + Abi","5","","","","2"
"No","1991","direct migration background","in school","20","","","","2"
"No","1991","direct migration background","inadequately","411","0.754427173691925","0.718056129557108","0.790798217826742","2"
"No","1991","direct migration background","general elemantary","600","0.729231730275239","0.699394400303664","0.759069060246814","2"
"No","1991","direct migration background","middle vocational","627","0.742028136112541","0.712854700484555","0.771201571740527","2"
"No","1991","direct migration background","vocational + Abi","71","0.68737029328317","0.597408416689294","0.777332169877045","2"
"No","1991","direct migration background","higher vocational","46","0.820785272528371","0.722081052746806","0.919489492309936","2"
"No","1991","direct migration background","higher education","91","0.756698864464014","0.681779095830256","0.831618633097772","2"
"Yes","1991","no migration background","in school","6","","","","1"
"Yes","1991","no migration background","inadequately","21","","","","1"
"Yes","1991","no migration background","general elemantary","271","0.144245295964589","0.128414126343928","0.16007646558525","1"
"Yes","1991","no migration background","middle vocational","1083","0.215912838437953","0.205440536648371","0.226385140227534","1"
"Yes","1991","no migration background","vocational + Abi","62","0.266973548036834","0.214010297176094","0.319936798897574","1"
"Yes","1991","no migration background","higher vocational","154","0.246564790443501","0.214405087305523","0.278724493581479","1"
"Yes","1991","no migration background","higher education","256","0.251499697488962","0.229906999237759","0.273092395740164","1"
"Yes","1991","direct migration background","in school","","","","","1"
"Yes","1991","direct migration background","inadequately","127","0.245572826308075","0.209201782173258","0.281943870442892","1"
"Yes","1991","direct migration background","general elemantary","252","0.270768269724761","0.240930939753186","0.300605599696336","1"
"Yes","1991","direct migration background","middle vocational","237","0.257971863887459","0.228798428259473","0.287145299515445","1"
"Yes","1991","direct migration background","vocational + Abi","31","0.312629706716831","0.222667830122955","0.402591583310706","1"
"Yes","1991","direct migration background","higher vocational","12","","","","1"
"Yes","1991","direct migration background","higher education","35","0.243301135535986","0.168381366902228","0.318220904169744","1"
"Yes","1991","indirect migration background","in school","","","","","1"
"Yes","1991","indirect migration background","inadequately","3","","","","1"
"Yes","1991","indirect migration background","general elemantary","47","0.372819551187594","0.291550679109971","0.454088423265216","1"
"Yes","1991","indirect migration background","middle vocational","43","0.297339556725231","0.215557775474451","0.37912133797601","1"
"Yes","1991","indirect migration background","vocational + Abi","4","","","","1"
"Yes","1991","indirect migration background","higher vocational","2","","","","1"
"Yes","1991","indirect migration background","higher education","1","","","","1"
"No","1992","no migration background","general elemantary","1444","0.832173814385018","0.814880678398513","0.849466950371523","2"
"No","1992","no migration background","inadequately","71","0.839229216445491","0.761596867495835","0.916861565395147","2"
"No","1992","no migration background","middle vocational","3676","0.68694657101495","0.674934135810095","0.698959006219805","2"
"No","1992","no migration background","higher education","795","0.567151167295612","0.542185328182192","0.592117006409032","2"
"No","1992","no migration background","vocational + Abi","181","0.669815422887717","0.614433992323864","0.72519685345157","2"
"No","1992","no migration background","higher vocational","397","0.624181980440015","0.588199766249615","0.660164194630416","2"
"No","1992","no migration background","in school","113","0.887186582210691","0.831726444276048","0.942646720145335","2"
"No","1992","indirect migration background","inadequately","25","","","","2"
"No","1992","indirect migration background","in school","46","0.974015365479481","0.929009545079004","1.01902118587996","2"
"No","1992","indirect migration background","general elemantary","113","0.727449812998085","0.659508978110956","0.795390647885213","2"
"No","1992","indirect migration background","higher vocational","5","","","","2"
"No","1992","indirect migration background","higher education","1","","","","2"
"No","1992","indirect migration background","middle vocational","84","0.71243721501628","0.631788947001965","0.793085483030594","2"
"No","1992","indirect migration background","vocational + Abi","11","","","","2"
"No","1992","direct migration background","in school","13","","","","2"
"No","1992","direct migration background","inadequately","418","0.821487990569085","0.788285400025145","0.854690581113024","2"
"No","1992","direct migration background","general elemantary","600","0.756210243224739","0.726714123085382","0.785706363364096","2"
"No","1992","direct migration background","middle vocational","587","0.715227229304704","0.684505753390355","0.745948705219052","2"
"No","1992","direct migration background","vocational + Abi","68","0.6932684393124","0.600539298596499","0.785997580028301","2"
"No","1992","direct migration background","higher vocational","36","0.629344875548757","0.509123525455442","0.749566225642071","2"
"No","1992","direct migration background","higher education","76","0.613614911096157","0.530233243890813","0.696996578301501","2"
"Yes","1992","no migration background","in school","12","","","","1"
"Yes","1992","no migration background","inadequately","15","","","","1"
"Yes","1992","no migration background","general elemantary","350","0.167826185614982","0.150533049628477","0.185119321601487","1"
"Yes","1992","no migration background","middle vocational","2049","0.31305342898505","0.301040993780195","0.325065864189905","1"
"Yes","1992","no migration background","vocational + Abi","96","0.330184577112283","0.27480314654843","0.385566007676136","1"
"Yes","1992","no migration background","higher vocational","299","0.375818019559985","0.339835805369584","0.411800233750385","1"
"Yes","1992","no migration background","higher education","718","0.432848832704388","0.407882993590968","0.457814671817807","1"
"Yes","1992","direct migration background","in school","","","","","1"
"Yes","1992","direct migration background","inadequately","93","0.178512009430915","0.145309418886976","0.211714599974855","1"
"Yes","1992","direct migration background","general elemantary","214","0.243789756775261","0.214293636635904","0.273285876914618","1"
"Yes","1992","direct migration background","middle vocational","242","0.284772770695297","0.254051294780948","0.315494246609645","1"
"Yes","1992","direct migration background","vocational + Abi","27","","","","1"
"Yes","1992","direct migration background","higher vocational","26","","","","1"
"Yes","1992","direct migration background","higher education","55","0.386385088903843","0.303003421698499","0.469766756109187","1"
"Yes","1992","indirect migration background","in school","2","","","","1"
"Yes","1992","indirect migration background","inadequately","2","","","","1"
"Yes","1992","indirect migration background","general elemantary","52","0.272550187001916","0.204609352114787","0.340491021889044","1"
"Yes","1992","indirect migration background","middle vocational","37","0.28756278498372","0.206914516969406","0.368211052998035","1"
"Yes","1992","indirect migration background","vocational + Abi","1","","","","1"
"Yes","1992","indirect migration background","higher vocational","2","","","","1"
"Yes","1992","indirect migration background","higher education","2","","","","1"
"No","1993","no migration background","higher education","","","","","2"
"No","1993","no migration background","middle vocational","","","","","2"
"No","1993","no migration background","higher vocational","","","","","2"
"No","1993","no migration background","inadequately","","","","","2"
"No","1993","no migration background","general elemantary","","","","","2"
"No","1993","no migration background","vocational + Abi","","","","","2"
"No","1993","indirect migration background","inadequately","","","","","2"
"No","1993","indirect migration background","general elemantary","","","","","2"
"No","1993","no migration background","in school","","","","","2"
"No","1993","indirect migration background","in school","","","","","2"
"No","1993","indirect migration background","higher vocational","","","","","2"
"No","1993","indirect migration background","higher education","","","","","2"
"No","1993","indirect migration background","middle vocational","","","","","2"
"No","1993","indirect migration background","vocational + Abi","","","","","2"
"No","1993","direct migration background","in school","","","","","2"
"No","1993","direct migration background","inadequately","","","","","2"
"No","1993","direct migration background","general elemantary","","","","","2"
"No","1993","direct migration background","middle vocational","","","","","2"
"No","1993","direct migration background","vocational + Abi","","","","","2"
"No","1993","direct migration background","higher vocational","","","","","2"
"No","1993","direct migration background","higher education","","","","","2"
"Yes","1993","no migration background","in school","","","","","1"
"Yes","1993","no migration background","inadequately","","","","","1"
"Yes","1993","no migration background","general elemantary","","","","","1"
"Yes","1993","no migration background","middle vocational","","","","","1"
"Yes","1993","no migration background","vocational + Abi","","","","","1"
"Yes","1993","no migration background","higher vocational","","","","","1"
"Yes","1993","no migration background","higher education","","","","","1"
"Yes","1993","direct migration background","in school","","","","","1"
"Yes","1993","direct migration background","inadequately","","","","","1"
"Yes","1993","direct migration background","general elemantary","","","","","1"
"Yes","1993","direct migration background","middle vocational","","","","","1"
"Yes","1993","direct migration background","vocational + Abi","","","","","1"
"Yes","1993","direct migration background","higher vocational","","","","","1"
"Yes","1993","direct migration background","higher education","","","","","1"
"Yes","1993","indirect migration background","in school","","","","","1"
"Yes","1993","indirect migration background","inadequately","","","","","1"
"Yes","1993","indirect migration background","general elemantary","","","","","1"
"Yes","1993","indirect migration background","middle vocational","","","","","1"
"Yes","1993","indirect migration background","vocational + Abi","","","","","1"
"Yes","1993","indirect migration background","higher vocational","","","","","1"
"Yes","1993","indirect migration background","higher education","","","","","1"
"No","1994","no migration background","middle vocational","3834","0.723772231670637","0.71204040555648","0.735504057784794","2"
"No","1994","no migration background","higher vocational","419","0.664975355790148","0.629499344270892","0.700451367309404","2"
"No","1994","no migration background","higher education","864","0.599597302996599","0.574908106314895","0.624286499678303","2"
